tr,en,fr,title,speaker,duration,tags
"
","
","
",What will a future without secrets look like?,Alessandro Acquisti,15:00,"business,policy,privacy,social media,technology"
"
											Size; son on yılda
											kamusal ve kişisel gizlilik arasındaki sınırlarda oluşan, dikkate değer kayma ile
											Adem ve Havva'nın da dahil olduğu
											iki meşhur mahremiyet olayını
											birbirine bağlayarak
											bir hikaye anlatmak istiyorum.
									","
											I would like to tell you a story
											connecting the notorious privacy incident
											involving Adam and Eve,
											and the remarkable shift in the boundaries
											between public and private which has occurred
											in the past 10 years.
									","
											Je voudrais vous raconter une histoire
											qui fait le lien
entre le célèbre incident qui s'est produit
											dans la vie privée d'Adam et Eve,
											et le remarquable
déplacement de la frontière
											entre vie publique et vie privée
qui s'est produit
											dans les 10 dernières années.
									",What will a future without secrets look like?,Alessandro Acquisti,15:00,"business,policy,privacy,social media,technology"
"
","
","
",What will a future without secrets look like?,Alessandro Acquisti,15:00,"business,policy,privacy,social media,technology"
"
											Hikayeyi biliyorsunuz.
											Adem ve Havva bir gün Cennet bahçesinde iken,
											çıplak olduklarını fark etmişler.
											Ödleri kopmuş
											ve gerisi malum..
									","
											You know the incident.
											Adam and Eve one day in the Garden of Eden
											realize they are naked.
											They freak out.
											And the rest is history.
									","
											Vous connaissez l'incident.
											Adam et Eve, un jour,
au Jardin d'Eden,
											réalisent qu'ils sont nus.
											Ils paniquent.
											On connait la suite.
									",What will a future without secrets look like?,Alessandro Acquisti,15:00,"business,policy,privacy,social media,technology"
"
","
","
",What will a future without secrets look like?,Alessandro Acquisti,15:00,"business,policy,privacy,social media,technology"
"
											Bugünlerde, Adem ve Havva
											muhtemelen daha farklı davranırlardı.
									","
											Nowadays, Adam and Eve
											would probably act differently.
									","
											De nos jours, Adam et Eve
											se comporteraient sans doute
différemment.
									",What will a future without secrets look like?,Alessandro Acquisti,15:00,"business,policy,privacy,social media,technology"
"
","
","
",What will a future without secrets look like?,Alessandro Acquisti,15:00,"business,policy,privacy,social media,technology"
"
											(@Adem: Geçen gece süperdir! Elmaya byldm LOL)
									","
											[@Adam Last nite was a blast! loved dat apple LOL]
									","
											[@Adam Cette nuit était trop top ! Adoré 7 pom LOL]
									",What will a future without secrets look like?,Alessandro Acquisti,15:00,"business,policy,privacy,social media,technology"
"
","
","
",What will a future without secrets look like?,Alessandro Acquisti,15:00,"business,policy,privacy,social media,technology"
"
											(@Havva: Ewt...Aşkm, pantoluma ne oldğn blymsn ?)
									","
											[@Eve yep.. babe, know what happened to my pants tho?]
									","
											[@Eve Ok...Baby, T sais ce ki est arrivé à mon pantalon ?
									",What will a future without secrets look like?,Alessandro Acquisti,15:00,"business,policy,privacy,social media,technology"
"
","
","
",What will a future without secrets look like?,Alessandro Acquisti,15:00,"business,policy,privacy,social media,technology"
