en,tr,de,es,title,speaker,duration,tags
"
","
","
","
",The surprising solution to ocean plastic,David Katz,11:53,"plastic,oceans,pollution,poverty,business,innovation"
"
											We've had it all wrong.
											Everybody.
											We've had it all wrong.
											The very last thing we need to do
											is clean the ocean.
											Very last.
											Yeah, there is a garbage truck of plastic
											entering the ocean
											every minute
											of every hour of every day.
											And countless birds and animals
											are dying just from encountering plastic.
											We are experiencing
the fastest rate of extinction ever,
											and plastic is in the food chain.
											And I'm still here,
standing in front of you,
											telling you the very last
thing we need to do
											is clean the ocean.
											Very last.
									","
											Konuyu hep yanlış anladık.
											Hepimiz.
											Konuyu yanlış anladık.
											Okyanusu temizlemek
											yapmamız gereken son şey.
											En son.
											Evet, günün her saati
											her dakika
											okyanusa bir kamyon dolusu
											çöp girdiği doğru.
											Sayamadığımız kadar kuş ve hayvan
											plastik yüzünden ölüyor.
											Tarihin en hızlı nesil tükenme
hızını yaşıyoruz
											ve plastik de besin zinciri içinde.
											Bense karşınızda durmuş
											okyanusu temizlemenin
yapılması gereken
											en son şey olduğunu söylüyorum.
											En son.
									","
											Wir haben uns alle geirrt.
											Alle.
											Wir haben uns total geirrt.
											Das Allerletzte, was wir tun sollten,
											ist, den Ozean zu reinigen.
											Das Allerletzte.
											Sicher gerät eine Riesenladung Plastikmüll
											in jeder Minute, in jeder Stunde,
Tag für Tag in den Ozean.
											Zahllose Vögel und Tiere sterben,
											weil sie mit Plastik in Kontakt geraten.
											Wir erleben eine der schnellsten
Aussterberaten aller Zeiten.
											Plastik ist in der Nahrungskette.
											Trotzdem stehe ich hier und sage Ihnen,
											dass wir den Ozean
als allerletztes reinigen sollten.
											Ganz zuletzt.
									","
											Nos hemos equivocado.
											Todos.
											Nos hemos equivocado.
											Lo último que hay que hacer
											es limpiar el océano.
											Lo último de todo.
											Sí, un camión entero de residuos plásticos
											acaba en el océano
											cada minuto,
											de cada hora, de cada día.
											Y un sinnúmero de aves y animales
											están muriendo simplemente
porque encuentran plástico.
											Nunca se ha visto un ritmo
de extinción tan acelerado
											y el plástico ha entrado
en la cadena alimentaria.
											Y, pese a eso, estoy aquí frente a Uds.
											diciéndoles que lo último
que debemos hacer
											es limpiar el océano.
											Lo último de todo.
									",The surprising solution to ocean plastic,David Katz,11:53,"plastic,oceans,pollution,poverty,business,innovation"
"
","
","
","
",The surprising solution to ocean plastic,David Katz,11:53,"plastic,oceans,pollution,poverty,business,innovation"
"
											If you were to walk into a kitchen,
											sink overflowing,
											water spilling all over the floor,
											soaking into the walls,
											you had to think fast,
you're going to panic;
											you've got a bucket, a mop or a plunger.
											What do you do first?
											Why don't we turn off the tap?
											It would be pointless to mop
											or plunge or scoop up the water
											if we don't turn off the tap first.
											Why aren't we doing the same
for the ocean?
											Even if the Ocean Cleanup project,
											beach plastic recycling programs
											or any well-meaning
											ocean plastic company
											was a hundred percent successful,
											it would still be too little, too late.
									","
											Bir mutfağa girip
											lavabonun taştığını,
											suyun yerlere aktığını,
											duvarın nemlendiğini görseniz
											hızlı düşünmeniz gerek,
panik yaparsınız;
											elinize ya bir kova ya bir yer bezi
ya da bir pompa alırsınız.
											İlk yapacağınız şey nedir?
											O musluğu neden kapatmıyorsunuz?
											İlk önce musluğu kapamazsanız
											yeri silmenin de
suyu pompalamanın da
											hiçbir anlamı olmaz.
											Aynısını okyanuslar için neden yapmıyoruz?
											Ocean Cleanup projesi,
											sahil plastik geridönüşüm programları
											veya iyi niyetli diğer tüm
											okyanus plastiği şirketi
											yüzde yüz başarılı olsalar dahi,
											yine de çok geç kalınmış olur.
									","
											Stellen Sie sich vor,
Sie betreten eine Küche.
											Die Spüle läuft über.
											Wasser läuft über den Boden
											und sickert in die Wände.
											Sie müssen schnell denken
und Sie sind in Panik:
											Sie haben einen Eimer,
einen Mopp oder eine Saugglocke.
											Was tun Sie zuerst?
											Wieso stellen wir nicht das Wasser ab?
											Es ist doch sinnlos, das Wasser
aufzuwischen oder abzuschöpfen,
											wenn wir nicht zuerst das Wasser abdrehen.
											Wieso tun wir dasselbe
nicht mit dem Ozean?
											Selbst wenn das ""Ocean Cleanup""-Projekt,
											Recycling-Programme für Strandplastik
											und sonstige gut gemeinte Projekte,
											die sich um Ozeanplastik kümmern,
											zu hundert Prozent erfolgreich wären,
											wäre das trotzdem nur ein Tropfen
auf dem heißen Stein.
									","
											Imaginen que entran en una cocina
											y el fregadero está rebalsando,
											el agua se derrama por el piso,
											se mojan las paredes...
											Tienen que pensar rápido
para no entrar en pánico.
											Tienen un balde, una fregona
o un desatascador.
											¿Qué harían primero?
											¿Por qué no cerramos el grifo?
											Sería inútil fregar,
											o desatascar, o sacar el agua con el balde
											si no cerramos el grifo primero.
											¿Por qué no hacemos
lo mismo con el océano?
											Aunque el proyecto ""Ocean Cleanup"",
											los programas de reciclaje
de plástico en las playas,
											o cualquiera de las empresas
que con buenas intenciones
											se ocupan del plástico en los océanos
											tuvieran un 100 % de éxito,
											aun así sería demasiado poco,
demasiado tarde.
									",The surprising solution to ocean plastic,David Katz,11:53,"plastic,oceans,pollution,poverty,business,innovation"
"
","
","
","
",The surprising solution to ocean plastic,David Katz,11:53,"plastic,oceans,pollution,poverty,business,innovation"
"
											We're trending to produce
over 300 million ton
											of plastic this year.
											Roughly eight million ton
											are racing to flow into the ocean
											to join the estimated
150 million ton already there.
											Reportedly, 80 percent of ocean plastic
											is coming from those countries
that have extreme poverty.
											And if you live in the grips of poverty
											concerned, always, about food
											or shelter
											or a sense of security,
											recycling —
											it's beyond your realm of imagination.
									","
											Bu yıl 300 milyon ton 

											plastik üretmeye meyilliyiz.
											Bunun kabaca sekiz milyon tonu
											zaten içinde 150 milyon ton bulunan
											okyanusun içine gitmek için yarışıyor.
											Verilere göre, okyanusun plastiğinin %80'i
											aşırı yoksulluğun olduğu 
ülkelerden geliyor.
											Yoksulluğun pençesinde
											sürekli yiyecek,
											barınak,
											güvenlik
											veya geri dönüşüm endişesiyle yaşıyorsanız
											bunu hayal bile edemezsiniz.
									","
											Unsere Plastikproduktion
tendiert dieses Jahr
											zu über 300 Millionen Tonnen.
											Fast acht Millionen Tonnen wetteifern,
um in den Ozean zu gelangen
											und sich zu den geschätzten
150 Millionen Tonnen zu gesellen,
											die schon da sind.
											Berichten zufolge kommen
80 % des Ozeanplastiks
											aus Ländern mit extremer Armut.
											Wenn die Armut Ihr Leben im Griff hat
											und Sie sich ständig Sorgen
um Ihr Essen machen müssen,
											um Ihre Unterkunft oder Ihre Sicherheit,
											dann ist Recycling
jenseits Ihrer Vorstellungskraft.
									","
											Estamos cerca de producir
más de 300 millones de toneladas
											de plástico este año.
											Unos ocho millones de toneladas
											fluyen rápidamente hacia el océano
											para sumarse a los 150 millones
de toneladas que estimativamente ya hay.
											Los informes indican que el 80 %
del plástico en los océanos
											proviene de los países
con pobreza extrema.
											Y para quien vive en la pobreza,
											siempre preocupado por la comida,
											o el techo,
											o la seguridad,
											el reciclaje...
											es algo que está totalmente 
fuera de su realidad.
									",The surprising solution to ocean plastic,David Katz,11:53,"plastic,oceans,pollution,poverty,business,innovation"
"
","
","
","
",The surprising solution to ocean plastic,David Katz,11:53,"plastic,oceans,pollution,poverty,business,innovation"
"
											And that is exactly why
											I created the Plastic Bank.
											We are the world's largest chain of stores
											for the ultra-poor,
											where everything in the store
is available to be purchased
											using plastic garbage.
											Everything.
											School tuition.
											Medical insurance.
											Wi-Fi, cell phone minutes, power.
											Sustainable cooking fuel,
high-efficiency stoves.
											And we keep wanting to add everything else
											that the world may need and can't afford.
									","
											İşte tam da bu sebepten,
											Plastik Bankasını kurdum.
											Çok yoksullar için
plastik atık kullanarak
											her şeyin satın alınabileceği
											dünyanın en büyük
											mağaza zinciriyiz.
											Her şey.
											Okul harçları.
											Sağlık sigortası.
											Wi-Fi, dakika hakkı, elektrik.
											Mutfak yakıtı,
çok etkili ocaklar.
											Dünyanın ihtiyaç duyup karşılayamadığı
											her şeyi eklemeye çabalıyoruz.
									","
											Genau das ist der Grund,
											weshalb ich The Plastic Bank
gegründet habe.
											Wir sind die größte Ladenkette weltweit
											für die extrem Armen,
											wo alles im Laden
im Tausch gegen Plastikmüll
											gekauft werden kann.
											Alles.
											Schulgeld.
											Krankenversicherung.
											Wi-Fi, Handy-Minuten, Strom.
											Nachhaltige Brennstoffe
und höchst effiziente Herde.
											Und wir möchten immer mehr hinzufügen,
											das die Welt braucht,
aber sich nicht leisten kann.
									","
											Y esa es exactamente la razón
											por la que creé ""Plastic Bank"".
											Somos la cadena de tiendas
más grande del mundo
											para quienes están en la pobreza extrema,
											donde todo se puede comprar
											usando residuos plásticos.
											Todo.
											La matrícula escolar,
											el seguro médico,
											wifi, minutos de celular, electricidad,
											combustible sostenible para cocinar,
estufas de alto rendimiento.
											Y queremos seguir agregando
todas las demás cosas
											que el mundo puede necesitar
pero a las que no puede acceder.
									",The surprising solution to ocean plastic,David Katz,11:53,"plastic,oceans,pollution,poverty,business,innovation"
"
","
","
","
",The surprising solution to ocean plastic,David Katz,11:53,"plastic,oceans,pollution,poverty,business,innovation"
"
											Our chain of stores in Haiti
are more like community centers,
											where one of our collectors,
											Lise Nasis,
											has the opportunity to earn a living
											by collecting material from door to door,
											from the streets,
											from business to business.
											And at the end of her day,
she gets to bring the material back to us,
											where we weigh it,
we check it for quality,
											and we transfer the value
into her account.
											Lise now has a steady,
											reliable source of income.
											And that value we transfer
into an online account for her.
											And because it's a savings account,
it becomes an asset
											that she can borrow against.
											And because it's online,
											she has security against robbery,
											and I think more importantly,
											she has a new sense of worth.
											And even the plastic
											has a new sense of value.
											Hm.
									","
											Haiti'deki mağaza zincirlerimiz
toplum merkezleri gibi,
											Lisa Nasis isminde
											müşterilerimizden biri
											kapı kapı dolaşarak
											ve sokaklardan topladığı materyallerle
											para kazanma
											fırsatına sahip oldu.
											Gün sonunda topladığı materyalleri
bize getiriyor,
											değerlendiriyor, kalitesine bakıyoruz
											ve değerini hesabına yatırıyoruz.
											Lisa'nın şu anda dengeli
											ve güvenilir bir geliri var.
											Bunu, onun için
online bir hesaba transfer ediyoruz.
											Mevduat hesabı olduğu için de
varlık niteliğinde
											ve teminat olarak gösterilebilir.
											Hesap çevrimiçi olduğu için
											soygunculuğa karşı koruma altında
											ve daha da önemlisi
											Lisa'nın yeni bir değer anlayışı var.
											Hatta plastiğin bile
											yeni bir değer niteliği var.
											Evet.
									","
											Unsere Ladenketten in Haiti
haben etwas von Gemeindezentren,
											wo eine unserer Sammlerinnen,
											Lise Nasis, die Möglichkeit hat,
											sich durch das Materialsammeln 
einen Lebensunterhalt zu verdienen,
											indem sie von Tür zu Tür geht,
die Straßen durchkämmt
											oder bei Firmen anfragt.
											Am Ende des Tages
bringt sie uns das Material.
											Wir wiegen es, überprüfen die Qualität
											und überweisen
den Gegenwert auf ihr Konto.
											Lise hat nun eine regelmäßige,
											verlässliche Einkommensquelle.
											Den Gegenwert überweisen wir
für sie auf ein Online-Konto.
											Da es ein Sparkonto ist,
dient es als Kapital,
											womit sie sich Dinge ausleihen kann.
											Da es online ist, 

											ist sie vor Diebstahl geschützt.
											Wichtiger noch ist,
											dass sie einen neuen Selbstwert hat.
											Selbst das Plastik hat einen neuen Wert.
											Hm.
									","
											Nuestras tiendas en Haití son más bien
como centros comunitarios,
											donde una de nuestras recolectoras,
											Lise Nasis,
											tiene la oportunidad de ganarse la vida
											recolectando material puerta a puerta,
											en las calles,
											de comercio en comercio.
											Y al final del día nos trae el material,
											lo pesamos, controlamos la calidad,
											y transferimos el valor a su cuenta.
											Lise ahora tiene una fuente de ingreso
											confiable y estable.
											Le transferimos el valor del plástico
a una cuenta electrónica.
											Y como es una cuenta de ahorros,
se convierte en un activo
											con el que puede obtener crédito.
											Y como es electrónica,
											no se la pueden robar.
											Y lo que considero más importante:
											ahora se siente valorizada.
											Y hasta el plástico
											se revaloriza.
									",The surprising solution to ocean plastic,David Katz,11:53,"plastic,oceans,pollution,poverty,business,innovation"
