en,fr,de,tr,pt,es,title,speaker,duration,tags
"
","
","
","
","
","
",The refugee crisis is a test of our character,David Miliband,18:38,"big problems,activism,collaboration,children,community,future,disaster relief,global issues,history,government,humanity,policy,refugees,security,social change,society,TED Books"
"
											I'm going to speak to you
about the global refugee crisis
											and my aim is to show you that this crisis
											is manageable, not unsolvable,
											but also show you that this is
as much about us and who we are
											as it is a trial of the refugees
on the front line.
									","
											Je vais vous parler de la crise
mondiale des réfugiés.
											Mon but est de vous montrer
qu'elle est gérable, pas insoluble,
											mais aussi de vous montrer qu'elle en dit
autant sur nous et qui nous sommes
											que sur les réfugiés présents
sur la ligne de front.
									","
											Ich werde zu Ihnen über
die globale Flüchtlingskrise sprechen.
											Mein Ziel ist, Ihnen zu zeigen,
dass diese Krise handhabbar ist,
											nicht unlösbar.
											Aber ich möchte auch zeigen, dass es
genauso um uns geht und wer wir sind,
											so wie es eine Prüfung
der Flüchtlinge an der Front ist.
									","
											Sizinle küresel mülteci krizi
hakkında konuşacağım
											ve amacım size bu krizin
											çözümlenemez değil, yönetilebilir
olduğunu
											ve size bu konunun
ön saflardaki mülteciler kadar
											bizler ve kim olduğumuz hakkında
da bir dava olduğunu anlatacağım.
									","
											Eu vou falar-vos sobre 
a crise global de refugiados
											e o meu objetivo é mostrar-vos
que esta crise
											é controlável, tem solução,
											mas também vos quero mostrar
											que isto é tanto sobre nós mesmos
e sobre quem somos
											como é uma provação para os refugiados
na linha da frente.
									","
											Voy a hablarles acerca de la crisis
mundial de los refugiados
											y mi objetivo es mostrar que esta crisis
											es manejable y tiene solución.
											También quiero que vean que se trata
tanto de nosotros y quiénes somos,
											como de los refugiados
que enfrentan directamente la crisis.
									",The refugee crisis is a test of our character,David Miliband,18:38,"big problems,activism,collaboration,children,community,future,disaster relief,global issues,history,government,humanity,policy,refugees,security,social change,society,TED Books"
"
","
","
","
","
","
",The refugee crisis is a test of our character,David Miliband,18:38,"big problems,activism,collaboration,children,community,future,disaster relief,global issues,history,government,humanity,policy,refugees,security,social change,society,TED Books"
"
											For me, this is not
just a professional obligation,
											because I run an NGO supporting refugees
and displaced people around the world.
											It's personal.
									","
											Pour moi, c'est plus que la simple
occupation professionnelle du dirigeant,
											que je suis, d'une ONG qui aide
les réfugiés et les personnes déplacées.
											C'est d'abord personnel.
									","
											Für mich ist das nicht nur
eine berufliche Pflicht,
											denn ich leite eine NGO, die weltweit
Flüchtlinge und Vertriebene unterstützt.
											Es ist persönlich.
									","
											Bu konu benim için, 
sadece mültecilere destek olan bir STÖ
											yönetmemden kaynaklı bir profesyönel
yükümlülük değil.
											Bu konu kişisel.
									","
											Para mim, isto não é
apenas uma obrigação profissional
											porque administro uma ONG que apoia 
refugiados e deslocados em todo o mundo.
											É pessoal.
									","
											Para mí esto no es solo
una obligación profesional,
											porque dirijo una ONG para refugiados
y desplazados en todo el mundo,
											es personal.
									",The refugee crisis is a test of our character,David Miliband,18:38,"big problems,activism,collaboration,children,community,future,disaster relief,global issues,history,government,humanity,policy,refugees,security,social change,society,TED Books"
"
","
","
","
","
","
",The refugee crisis is a test of our character,David Miliband,18:38,"big problems,activism,collaboration,children,community,future,disaster relief,global issues,history,government,humanity,policy,refugees,security,social change,society,TED Books"
"
											I love this picture.
											That really handsome guy on the right,
											that's not me.
											That's my dad, Ralph, in London, in 1940
											with his father Samuel.
											They were Jewish refugees from Belgium.
											They fled the day the Nazis invaded.
											And I love this picture, too.
											It's a group of refugee children
											arriving in England in 1946 from Poland.
											And in the middle is my mother, Marion.
											She was sent to start a new life
											in a new country
											on her own
											at the age of 12.
											I know this:
											if Britain had not admitted refugees
											in the 1940s,
											I certainly would not be here today.
									","
											J'aime cette photo.
											Cet homme très beau, à droite,
											n'est pas moi.
											C'est mon père, Ralph, à Londres en 1940,
											avec son père, Samuel.
											Ils étaient des Juifs belges réfugiés.
											Ils ont fui le jour
où les Nazis ont envahi le pays.
											J'aime celle-là aussi.
											C'est un groupe d'enfants polonais
											arrivant en Angleterre en 1946.
											Au milieu, on voit ma mère, Marion.
											On l'avait envoyée
démarrer une nouvelle vie
											dans un nouveau pays,
											toute seule,
											à tout juste 12 ans.
											Une chose est certaine :
											si la Grande-Bretagne n'avait pas
accueilli des réfugiés
											dans les années 40,
											je ne serais pas ici aujourd'hui.
									","
											Ich liebe dieses Bild.
											Der gutaussehende Typ rechts
											bin nicht ich.
											Das ist mein Vater, Ralph, 1940 in London,
											mit seinem Vater Samuel.
											Sie waren jüdische
Flüchtlinge aus Belgien.
											Sie flohen an dem Tag,
an dem die Nazis einmarschierten.
											Dieses Foto liebe ich auch.
											Es ist ein Gruppe Flüchtlingskinder,
											die 1946 aus Polen in England ankamen.
											In der Mitte ist meine Mutter, Marion.
											Man hatte sie losgeschickt,
um ein neues Leben zu beginnen,
											in einem neuen Land,
											ganz alleine,
											im Alter von 12.
											Ich weiß nur eins:
											Hätte Großbritannien keine Flüchtlinge
											in den 1940ern aufgenommen,
											wäre ich heute sicher nicht hier.
									","
											Bu resmi çok seviyorum.
											Sağdaki o çok yakışıklı adam,
											o ben değilim.
											O benim babam Ralph, 1940'ta 
Londra'da
											babası Samuel ile birlikteyken.
											Belçika'dan gelen Yahudi
mültecilerdiler.
											Naziler işgâle başladıkları gün
kaçmışlardı.
											Bu resmi de çok seviyorum.
											Bir grup mülteci çocuğun
											Polonya'dan İngiltere'ye 1946'da
varışları.
											Ortadaki benim annem, Marion.
											12 yaşında, yeni bir hayata, 

											yeni bir ülkede
											tek başına
											başlaması için gönderilmiş.
											Şunu biliyorum:
											Eğer İngiltere 1940'larda
											mültecileri kabul etmeseydi,
											kesinlikle bugün burada olamayacaktım.
									","
											Eu adoro esta fotografia.
											Esse rapaz giro à direita,
											não sou eu.
											É o meu pai, Ralph, em Londres, em 1940,
											com o seu pai Samuel.
											Eram refugiados judeus vindos da Bélgica.
											Fugiram no dia da invasão nazi.
											E eu também adoro esta foto
											É um grupo de crianças refugiadas
											a chegar à Inglaterra em 1946 da Polónia.
											E no meio está a minha mãe, Marion.
											Ela foi enviada para começar uma nova vida
											num novo país,
											sozinha,
											com 12 anos.
											Eu sei uma coisa:
											se a Grã-Bretanha
não tivesse acolhido refugiados
											nos anos 40,
											eu certamente não estaria aqui hoje.
									","
											Me encanta esta foto.
											Ese joven tan atractivo de la derecha,
											no soy yo.
											Ese mi papá, Ralph, en Londres, en 1940,
											con su padre, Samuel.
											Eran refugiados judíos de Bélgica.
											Escaparon el mismo día 
en que los nazis invadieron.
											Y también amo esta foto.
											Es un grupo de niños refugiados
											que en 1946 llegaron
a Inglaterra desde Polonia.
											La de en medio es mi madre, Marion.
											La enviaron a empezar una nueva vida
											en un nuevo país,
											sola,
											a los 12 años.
											Esto es lo que sé:
											si la Gran Bretaña 
no hubiese admitido refugiados
											en la década de los 40,
											ciertamente, hoy yo no estaría aquí.
									",The refugee crisis is a test of our character,David Miliband,18:38,"big problems,activism,collaboration,children,community,future,disaster relief,global issues,history,government,humanity,policy,refugees,security,social change,society,TED Books"
"
","
","
","
","
","
",The refugee crisis is a test of our character,David Miliband,18:38,"big problems,activism,collaboration,children,community,future,disaster relief,global issues,history,government,humanity,policy,refugees,security,social change,society,TED Books"
"
											Yet 70 years on,
the wheel has come full circle.
											The sound is of walls being built,
											vengeful political rhetoric,
											humanitarian values and principles on fire
											in the very countries
that 70 years ago said never again
											to statelessness and hopelessness
for the victims of war.
											Last year, every minute,
											24 more people were displaced
from their homes
											by conflict, violence and persecution:
											another chemical weapon attack in Syria,
											the Taliban on the rampage in Afghanistan,
											girls driven from their school
in northeast Nigeria by Boko Haram.
											These are not people
moving to another country
											to get a better life.
											They're fleeing for their lives.
									","
											70 ans plus tard,
la roue a fait un tour complet.
											On entend des murs se construire,
											une rhétorique politique de vengeance,
											la destruction des principes
et des valeurs humanitaires,
											dans les mêmes pays, qui, 70 ans
auparavant, avaient promis de tout faire
											face au désespoir des victimes de guerre
qui n'avaient plus de pays.
											L'an dernier, chaque minute,
											24 personnes ont dû fuir leur foyer
											pour cause de guerre, de violences
ou de persécution :
											une nouvelle attaque chimique en Syrie,
											les Talibans en Afghanistan,
											des jeunes filles enlevées par Boko Haram
dans leur école au Nigeria.
											Ce ne sont pas des gens
qui fuient leur pays
											pour trouver une vie meilleure.
											Ils fuient pour sauver leur vie.
									","
											70 Jahre später
schließt sich nun der Kreis.
											Man hört von Mauern,
die gebaut werden sollen,
											rachsüchtiger politischer Rhetorik,
											gefährdeten humanitären
Werten und Prinzipien,
											genau in den Ländern, die vor
70 Jahren ""niemals wieder"" sagten
											zu Staatenlosigkeit und
Verzweiflung für Kriegsopfer.
											Letztes Jahr wurden, minütlich,
											24 weitere Menschen
durch Konflikt, Gewalt und Verfolgung
											aus ihrer Heimat vertrieben:
											noch ein Chemiewaffenangriff in Syrien,
											die Taliban randalieren in Afghanistan,
											in Nordost-Nigeria werden Mädchen
von Boko Haram aus der Schule vertrieben.
											Das sind keine Leute,
die für ein besseres Leben
											in ein anderes Land ziehen.
											Sie fliehen um ihr Leben.
									","
											Fakat bundan 70 yıl sonra,
tarih yine tekerrür ediyor.
											Duvarların örülüşünün sesini,
											kin dolu siyasi konuşmaları,
											insani değerlerin ve prensiplerin 
yakılışını,
											bundan daha 70 yıl önce
savaş mağdurlarının
											ülkesizliğine ve umutsuzluğuna
çare olan ülkelerde gözlemliyoruz.
											Geçen yıl, her dakikada
24 insan daha
											savaş, şiddet 
veya zulüm yüzünden
											evinden olmuştu:
											Suriye'de bir yeni kimyasal silah
kullanıldığı için,
											Afganistan'da Taliban'ın saldırıları
yüzünden,
											Kuzeydoğu Nijerya'da kızların 
okullardan Boko Haram tarafından
											kaçırıldıkları için.
											Bu insanlar yeni bir ülkeye
daha iyi bir hayat kurmak
											için taşınmıyorlar.
											Hayatlarını kurtarmak için
kaçıyorlar.
									","
											No entanto, 70 anos depois,
a situação repete-se.
											O som é de muros a serem construídos,
											retórica política de vingança,
											valores e princípios humanitários
em chamas
											nos mesmo países que há 70 anos
disseram ""nunca mais""
											à perda de nacionalidade e ao desespero 
das vítimas de guerra.
											No ano passado, a cada minuto,
											24 pessoas eram deslocadas das suas casas
											por conflito, violência ou perseguição:
											outro ataque de armas químicas na Síria,
											os talibãs cada vez 
mais fortes no Afeganistão,
											raparigas expulsas da sua escola
no nordeste da Nigéria pelo Boko Haram.
											Estas não são pessoas que vão para
outro país
											para terem uma vida melhor.
											Elas fogem para salvarem a própria vida.
									","
											Aún así, 70 años más tarde,
hemos vuelto al mismo sitio.
											Se habla de muros en construcción,
											retóricas políticas amenazantes,
											y la violación de los valores
y principios humanitarios
											en los mismos países 
que hace 70 años dijeron: ""nunca más""
											al limbo y a la desesperanza
para las víctimas de la guerra.
											El año pasado, cada minuto
											24 personas más huyeron de sus hogares
											a causa de un conflicto,
la violencia o una persecución:
											otro ataque con armas químicas en Siria,
											los talibanes generando
violencia en Afganistán,
											niñas secuestradas de sus escuelas
en el noreste de Nigeria por Boko Haram.
											Estas no son personas
desplazándose a otro país
											en busca de una vida mejor.
											Están huyendo por sus vidas.
									",The refugee crisis is a test of our character,David Miliband,18:38,"big problems,activism,collaboration,children,community,future,disaster relief,global issues,history,government,humanity,policy,refugees,security,social change,society,TED Books"
"
","
","
","
","
","
",The refugee crisis is a test of our character,David Miliband,18:38,"big problems,activism,collaboration,children,community,future,disaster relief,global issues,history,government,humanity,policy,refugees,security,social change,society,TED Books"
"
											It's a real tragedy
											that the world's most famous refugee
can't come to speak to you here today.
											Many of you will know this picture.
											It shows the lifeless body
											of five-year-old Alan Kurdi,
											a Syrian refugee who died
in the Mediterranean in 2015.
											He died alongside 3,700 others
trying to get to Europe.
											The next year, 2016,
											5,000 people died.
											It's too late for them,
											but it's not too late
for millions of others.
									","
											C'est une vraie tragédie
											que le réfugié le plus célèbre au monde
n'ait pas pu venir parler ici aujourd'hui.
											Beaucoup ici connaissent cette photo.
											C'est le corps sans vie
											du petit Alan Kurdi, 5 ans,
											un réfugié syrien mort noyé
dans la Méditerranée en 2015,
											un parmi les 3 700 qui sont morts
en essayant de rejoindre l'Europe.
											L'année suivante, en 2016,
											5 000 personnes sont mortes.
											Il est trop tard pour elles,
											mais par pour des millions d'autres.
									","
											Es ist eine echte Tragödie,
											dass die berühmtesten Flüchtlingen
der Welt nicht heute hier sprechen können.
											Viele von Ihnen werden dieses Foto kennen.
											Es zeigt den leblosen Körper
											des fünfjährigen Alan Kurdi,
											ein syrischer Flüchtling,
der 2015 im Mittelmeer starb.
											Er starb mit 3 700 anderen,
die versuchten, nach Europa zu kommen.
											2016, im Jahr darauf,
											starben 5 000 Menschen.
											Für sie ist es zu spät,
											aber für Millionen andere
ist es nicht zu spät.
									","
											Dünyadaki en ünlü
mültecinin bugün
											size konuşamıyor oluşu 
büyük bir trajedidir.
											Bu resmi birçoğunuz 
biliyorsunuzdur.
											Bu resim 2015'te 
Akdeniz'de ölen
											beş yaşındaki Alan Kurdi'nin
											cansız bedenini gösteriyor.
											O, Avrupa'ya varmaya çalışan
3.700 diğer mülteciyle birlikte öldü.
											Bir sonraki yıl, 2016'da
											5.000 kişi öldü.
											Onlar için artık çok geç,
											ama milyonlarca diğerleri
için henüz geç değil.
									","
											É uma autêntica tragédia
											que o refugiado mais famoso do mundo
não possa vir falar aqui hoje.
											Muitos de vocês conhecem esta foto.
											Mostra o corpo sem vida
											de Alan Kurdi, de 5 anos,
											um refugiado sírio que morreu no
mar mediterrâneo em 2015.
											Ele morreu ao lado de 3700 indivíduos
que tentavam chegar à Europa.
											No ano seguinte, 2016,
											5 mil pessoas morreram.
											Para eles, 
é demasiado tarde.
											Mas não é demasiado tarde
para milhões de outros.
									","
											Es una verdadera tragedia
											que el refugiado más conocido del mundo
no pueda venir hoy a hablarles.
											Muchos de Uds. han visto esta foto.
											Muestra el cuerpo inerte
											de Alan Kurdi, de 5 años,
											un refugiado sirio que pereció
en el Mediterráneo en el 2015.
											Pereció junto con otras 3700 personas
que trataban de llegar a Europa.
											El año siguiente, en el 2016,
											perecieron 5000 personas.
											Ya es muy tarde para ellos,
											pero no es tarde para millones más.
									",The refugee crisis is a test of our character,David Miliband,18:38,"big problems,activism,collaboration,children,community,future,disaster relief,global issues,history,government,humanity,policy,refugees,security,social change,society,TED Books"
