de,en,es,pt,tr,fr,title,speaker,duration,tags
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											Meine Damen und Herren,
											die gesamte Geschichte von
Musik und Fernsehen im Internet
											in nur drei Minuten!
											Ein TED-Medley.
											Ein ""TEDley"".
									","
											Ladies and gentlemen,
											the history of music and television on the Internet
											in three minutes.
											A TED medley —
											a TEDley.
									","
											Damas y Caballeros
											La historia de la música y la televisión en la Internet
											en tres minutos.
											un pot-pourri de TED
											un TEDpourri
									","
											Senhoras e senhores:
											A história da música
e da televisão na Internet
											em três minutos.
											Uma rapsódia TED.
											Uma rapsTEDia.
									","
											Bayanlar ve baylar:
											Müzik ve televizyonun İnternetteki
											3 dakikalık tarihi.
											Bir TED potpurisi
											Bir TEDpuri.
									","
											Mesdames et messieurs:
											L' Histoire de la musique et de la télévision sur Internet
											en trois minutes.
											Un pot-pourri de TED.
											Un poTED-pourri.
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Es ist Samstagabend und schon um neun ♫
									","
											♫ It's nine o' clock on a Saturday ♫
									","
											♫ Son las nueve en sábado ♫
									","
											♫ São nove horas e é sábado ♫
									","
											♫ Cumartesi günü saat 21:00 ♫
									","
											♫ Il est neuf heures du soir un samedi ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Der Plattenladen hat schon zu ♫
									","
											♫ The record store's closed for the night ♫
									","
											♫ La tienda de discos a cerrado ♫
									","
											♫ É noite e a loja de discos fechou ♫
									","
											♫ Müzik marketi gece olduğu için kapalı ♫
									","
											♫ Le disquaire a fermé pour la nuit ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Also rein in den iTunes Music Store ♫
									","
											♫ So I fire up the old iTunes music store ♫
									","
											♫ Entonces enciendo la vieja tienda de música "" iTunes ""♫
									","
											♫ Por isso dei gás à loja iTunes ♫
									","
											♫ O yüzden ben de eski iTunes müzik marketimi açtım ♫
									","
											♫ Alors je lance l' iTunes Music Store ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Und bald fühl ich mich nicht mehr blue ♫
									","
											♫ And soon I am feelin' all right ♫
									","
											♫ Y pronto me siento bien ♫
									","
											♫ E fico logo na boa ♫
									","
											♫ Sonunda rahatladım ♫
									","
											♫ Et rapidement je me sens bien ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Ich weiß Steve Jobs,
der findet ein Lied für mich ♫
									","
											♫ I know Steve Jobs can find me a melody ♫
									","
											♫ Sé que Steve Jobs me puede encontrar una melodía ♫
									","
											♫ Sei que o Steve Jobs consegue
encontrar-me uma melodia ♫
									","
											♫ Steve Jobs bana bir melodi bulabilir biliyorum ♫
									","
											♫ Je sais que Steve Jobs peut me trouver une mélodie ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Und das für 'nen Dollar, das rockt ♫
									","
											♫ With one dollar pricing that rocks ♫
									","
											♫ A un dolar, precio genial ♫
									","
											♫ Espetacular que custa um dólar ♫
									","
											♫ Bir dolarlık fiyatı da harika ♫
									","
											♫ Pour un dollar, c'est un sacré prix ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Mit nem Titel nur seh ich die ganze CD ♫
									","
											♫ I can type in the track and get album names back ♫
									","
											♫ Puedo teclear la canción y obtener nombres de discos ♫
									","
											♫ Basta-me escrever o nome da faixa
para obter o nome dos álbuns ♫
									","
											♫ Parçanın ismini yazıp albüm adını görebilirim ♫
									","
											♫ Je peux entrer le titre et avoir des noms d'albums en retour ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Im Schlafanzug noch und besockt ♫
									","
											♫ While still in my PJs and socks ♫
									","
											♫ Aún en pijama y calcetines ♫
									","
											♫ Ainda de pijama e meias ♫
									","
											♫ Pijamalarımla ve çoraplarımla iken bile ♫
									","
											♫ En restant en pyjama et en chaussettes ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Verkauf uns ein Lied, alter Musikmann ♫
									","
											♫ Sell us a song, you're the music man ♫
									","
											♫ Véndenos una canción, tu eres el "" Music Man "" ♫
									","
											♫ Vende-nos uma canção,
és o homem da música ♫
									","
											♫ Bana parça sat, sen müzik adamısın ♫
									","
											♫ Vends-nous une chanson, tu incarnes la musique ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
											♫ Mein iPod hat noch 10 GB frei ♫
									","
											♫ My iPod's still got 10 gigs to go ♫
									","
											♫ Mi iPod aún tiene 10 gigas libres ♫
									","
											♫ Ainda tenho 10 gigas no iPod ♫
									","
											♫ iPod'umda 10 gigabaytlık yer var daha ♫
									","
											♫ Mon iPod a encore 10 gigas de place ♫
									",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
"
","
","
","
","
","
",The music wars,David Pogue,4:15,"entertainment,humor,music,technology"
