en,pt,es,fr,title,speaker,duration,tags
"
","
","
","
",How racism makes us sick,David R. Williams,17:27,"health care,health,identity,inequality,humanity,medicine,illness,race,TEDMED,public health,society"
"
											An article in the Yale Alumni Magazine
											told the story of Clyde Murphy,
											a black man who was a member
of the Class of 1970.
											Clyde was a success story.
											After Yale and a law degree from Columbia,
											Clyde spent the next 30 years
											as one of America's
top civil rights lawyers.
											He was also a great husband and father.
											But despite his success,
											personally and professionally,
											Clyde's story had a sad ending.
									","
											Um artigo na 
Revista de Antigos Alunos de Yale
											contava a história de Clyde Murphy,
											um negro que era membro
da Turma de 1970.
											Clyde era uma história de sucesso.
											Depois de Yale 
e do curso de Direito em Colúmbia,
											Clyde passou os 30 anos seguintes
											como um dos principais 
advogados de direitos civis nos EUA.
											Também era um óptimo marido e pai.
											Mas, apesar do sucesso
											a nível pessoal e profissional,
											a história de Clyde teve um fim triste.
									","
											Un artículo de la revista
de exalumnos de Yale
											contaba la historia de Clyde Murphy,
											un hombre afroamericano
que fue parte de la promoción de 1970.
											Clyde fue una historia de éxito.
											Luego de Yale y de un doctorado
en Abogacía en Columbia,
											Clyde pasó los siguientes 30 años
											como uno de los mejores abogados
de derechos civiles de EE.UU.
											También fue un gran esposo y padre.
											Pero a pesar de su éxito
											personal y profesional,
											la historia de Clyde tuvo un triste final.
									","
											Un article dans le magazine 
d'anciens élèves de Yale
											racontait l'histoire de Clyde Murphy,
											un homme noir qui faisait partie
de la promo de 1970.
											Clyde avait réussi.
											Après Yale et un diplôme
de droit à Columbia,
											Clyde a passé les 30 années suivantes
											comme l'un des meilleurs avocats
en droit civique de l'Amérique.
											Il était aussi un bon mari
et un bon père de famille.
											Mais malgré son succès
											personnel et professionnel,
											l'histoire de Clyde 
a connu une fin triste.
									",How racism makes us sick,David R. Williams,17:27,"health care,health,identity,inequality,humanity,medicine,illness,race,TEDMED,public health,society"
"
","
","
","
",How racism makes us sick,David R. Williams,17:27,"health care,health,identity,inequality,humanity,medicine,illness,race,TEDMED,public health,society"
"
											In 2010,
											at the age of 62,
											Clyde died from a blood clot in his lung.
											Clyde's experience was not unique.
											Many of his black classmates from Yale
											also died young.
											In fact, the magazine article indicated
											that 41 years after graduation from Yale,
											the black members of the Class of 1970
											had a death rate
that was three times higher
											than that of the average class member.
											It's stunning.
									","
											Em 2010,
											aos 62 anos,
											Clyde morreu devido 
a um coágulo num pulmão.
											A experiência de Clyde não é única.
											Muitos dos seus colegas negros de Yale
											também morreram cedo.
											De facto, o artigo na revista indicava
											que, 41 anos depois
de se formarem em Yale,
											os negros da Turma de 1970
											tinham uma taxa de mortalidade
três vezes superior
											à média da turma.
											É espantoso!
									","
											En 2010,
											a la edad de 62 años,
											Clyde murió a causa de un
coágulo de sangre en su pulmón.
											La experiencia de Clyde no fue única.
											Muchos de sus compañeros
afroamericanos de Yale
											también murieron jóvenes.
											De hecho, el artículo
de la revista indicaba
											que 41 años después de graduarse de Yale,
											los miembros afroamericanos
de la promoción de 1970
											tenían una tasa de mortalidad
tres veces mayor
											que el del promedio de la clase.
											Es impresionante.
									","
											En 2010,
											à l'âge de 62 ans,
											Clyde est mort d'un caillot de sang
dans le poumon.
											L'expérience de Clyde 
n'est pas un cas isolé.
											Beaucoup de ses camarades
de classe noirs de Yale
											sont aussi morts jeunes.
											L'article du magazine indiquait
											que 41 ans après 
la remise de diplômes à Yale,
											les membres noirs de la classe de 1970
											avaient un taux de mortalité
trois fois supérieur
											à celui du reste de la classe.
											C'est surprenant.
									",How racism makes us sick,David R. Williams,17:27,"health care,health,identity,inequality,humanity,medicine,illness,race,TEDMED,public health,society"
"
","
","
","
",How racism makes us sick,David R. Williams,17:27,"health care,health,identity,inequality,humanity,medicine,illness,race,TEDMED,public health,society"
"
											America has recently awakened
											to a steady drumbeat
											of unarmed black men
being shot by the police.
											What is even a bigger story
											is that every seven minutes,
											a black person dies prematurely
in the United States.
											That is over 200 black people
											die every single day
											who would not die if the health
of blacks and whites were equal.
									","
											Recentemente, os EUA acordaram
											para a realidade constante
											de homens negros desarmados 
a serem mortos a tiro pela polícia.
											Mas a história mais importante
											é que, a cada sete minutos,
											uma pessoa negra morre
prematuramente, nos EUA.
											Isto é, mais de 200 negros
											que morrem todos os dias
											não morreriam se a saúde 
dos brancos e dos negros fosse igual.
									","
											EE.UU recientemente ha despertado
											ante el constante sonido
											de policías dispárandole
a afroamericanos desarmados.
											Lo que es incluso más grave
											es que cada siete minutos
											una persona negra muere 
prematuramente en EE. UU.
											Eso significa que 200 personas negras
											mueren cada día
											y que no morirían si la salud
de blancos y de negros fuera igual.
									","
											L'Amérique vient de se réveiller
											face à des drames répétés
											d'hommes noirs non armés
tués par balle par la police.
											Ce qui est une histoire 
encore plus surprenante,
											c'est que toutes les 7 minutes,
											une personne noire meurt 
prématurément en Amérique.
											C'est plus de 200 personnes noires
par jour
											qui ne seraient pas mortes
											si la santé des Noirs et celle des Blancs
étaient les mêmes.
									",How racism makes us sick,David R. Williams,17:27,"health care,health,identity,inequality,humanity,medicine,illness,race,TEDMED,public health,society"
"
","
","
","
",How racism makes us sick,David R. Williams,17:27,"health care,health,identity,inequality,humanity,medicine,illness,race,TEDMED,public health,society"
"
											For the last 25 years,
											I have been on a mission
											to understand why does race
											matter so profoundly for health.
											When I started my career,
											many believed that it was simply
about racial differences
											in income and education.
											I discovered that while
economic status matters for health,
											there is more to the story.
											So for example, if we look
at life expectancy at age 25,
											at age 25 there's a five-year gap
between blacks and whites.
											And the gap by education
for both whites and blacks
											is even larger than the racial gap.
											At the same time,
at every level of education,
											whites live longer than blacks.
											So whites who are high school dropouts
											live 3.4 years longer
than their black counterparts,
											and the gap is even larger
											among college graduates.
											Most surprising of all,
											whites who have graduated from high school
											live longer than blacks
with a college degree
											or more education.
									","
											Nos últimos 25 anos,
											a minha missão tem sido compreender
											por que razão a etnia tem implicações
tão profundas na saúde.
											No início da minha carreira,
											muitos acreditavam que se devia
simplesmente a diferenças raciais,
											nos rendimentos e na educação.
											Descobri que, embora o estatuto económico
seja importante para a saúde,
											a história não acaba aí.
											Por exemplo, se considerarmos
a esperança de vida aos 25 anos,
											aos 25 anos há uma diferença
de cinco anos, entre brancos e negros.
											E a diferença no nível de educação
de brancos e negros
											é ainda maior do que a diferença étnica.
											Ao mesmo tempo,
a todos os níveis de escolaridade,
											os brancos vivem 
mais tempo do que os negros.
											Portanto, os brancos 
que não completaram o secundário
											vivem mais 3,4 anos
do que os seus homólogos negros.
											A diferença ainda é maior
entre licenciados.
											O mais surpreendente de tudo
											é que os brancos 
que completaram o secundário
											vivem mais tempo
do que os negros com licenciaturas
											ou com mais habilitações.
									","
											Durante los últimos 25 años,
											he tenido la misión
											de comprender por qué la raza
											es tan profundamente
importante para la salud.
											Cuando comencé mi carrera,
											muchos creían que simplemente 
se trataba de diferencias raciales
											en cuanto a ingresos y educación.
											Descubrí que si bien la posición económica
es importante para la salud,
											va más allá de eso.
											Por ejemplo, si echamos un vistazo
a la esperanza de vida a los 25,
											a los 25 hay una brecha de cinco años
entre negros y blancos.
											Y la brecha educacional
tanto para blancos como para negros
											es aún mayor que la brecha racial.
											A la vez, independientemente
del nivel de educación,
											los blancos viven más que los negros.
											Así que los blancos que
abandonan la secundaria
											viven 3.4 años más
que sus homólogos negros,
											y la brecha es aún mayor
											entre graduados de universidades.
											Lo más sorprendente de todo
											es que los blancos que terminaron
la escuela secundaria
											viven más que los negros
que obtuvieron licenciaturas
											o más títulos universitarios.
									","
											Durant les 25 dernières années,
											je me suis donné la mission
											de comprendre pourquoi la race
											a une importance majeure pour la santé.
											Quand j'ai commencé ma carrière,
											beaucoup pensaient que c'était dû
simplement aux différences raciales
											en termes de revenus et d'éducation.
											J'ai découvert que même si le statut 
économique importe pour la santé,
											ce n'est pas tout.
											Par exemple, si nous regardons
l’espérance de vie à l'âge de 25 ans,
											il y a un écart de 5 ans
entre Blancs et Noirs.
											Et l'écart d'éducation 
pour les deux parties
											est plus important que l'écart racial.
											En même temps,
à chaque niveau d'éducation,
											les Blancs vivent plus 
longtemps que les Noirs.
											Les Blancs qui quittent le lycée
											vivent 3,4 ans de plus
que leurs homologues noirs
											et l'écart est encore plus large
											entre les diplômés universitaires.
											Ce qui surprend le plus,
											les Blancs qui ont été diplômés du lycée
											vivent plus longtemps que les Noirs
ayant un diplôme universitaire
											ou plus d'éducation.
									",How racism makes us sick,David R. Williams,17:27,"health care,health,identity,inequality,humanity,medicine,illness,race,TEDMED,public health,society"
"
","
","
","
",How racism makes us sick,David R. Williams,17:27,"health care,health,identity,inequality,humanity,medicine,illness,race,TEDMED,public health,society"
"
											So why does race matter
so profoundly for health?
											What else is it
beyond education and income
											that might matter?
									","
											Então, porque é que a etnia
tem uma importância tão profunda na saúde?
											Que outros aspectos,
para além da educação e dos rendimentos,
											poderão ser importantes?
									","
											Entonces, ¿por qué la raza
es tan importante para la salud?
											¿Qué hay, además de la educación
y del ingreso económico,
											que pueda ser tan importante?
									","
											Alors, pourquoi la race
importe-t-elle tant pour la santé ?
											Qu'est-ce qu'il y a au-delà
de l'éducation et des revenus
											qui aurait de l'importance ?
									",How racism makes us sick,David R. Williams,17:27,"health care,health,identity,inequality,humanity,medicine,illness,race,TEDMED,public health,society"
"
","
","
","
",How racism makes us sick,David R. Williams,17:27,"health care,health,identity,inequality,humanity,medicine,illness,race,TEDMED,public health,society"
"
											In the early 1990s,
											I was asked to review a new book
											on the health of black America.
											I was struck that almost every single one
											of its 25 chapters
											said that racism
											was a factor that was hurting
the health of blacks.
											All of these researchers
											were stating that racism was a factor
adversely impacting blacks,
											but they provided no evidence.
											For me, that was not good enough.
									","
											No início da década de 1990,
											pediram-me para comentar um novo livro
											sobre a saúde dos negros nos EUA.
											Impressionou-me como
quase todos os 25 capítulos
											diziam que o racismo
											era um factor que prejudicava 
a saúde dos negros.
											Todos estes investigadores
											afirmavam que o racismo era um factor
que afectava negativamente os negros,
											mas não apresentavam provas.
											Para mim, isso não bastava.
									","
											A principios de los 90,
											me encargaron la corrección
de un nuevo libro
											sobre la salud de los negros en EE.UU.
											Me consternó que casi todos
											los 25 capítulos
											dijeran que el racismo
											era un factor que lastimaba
la salud de los negros.
											Todos estos investigadores afirmaban
											que el racismo era un factor que 
impactaba negativamente en los negros ,
											pero no presentaban evidencias.
											Para mí no era suficiente.
									","
											Au début des années 90,
											on m'a demandé de me pencher 
sur un nouveau livre
											sur la santé des Noirs aux États-Unis.
											J'étais subjugué que
presque tous les chapitres,
											de les 25 du livre,
											impliquaient que le racisme
											était un facteur qui nuisait
à la santé des Noirs.
											Tous les chercheurs déclaraient
											que le racisme était un facteur 
qui affectait défavorablement les Noirs
											mais ils n'avaient aucune preuve.
											Pour moi, ce n'était pas suffisant.
									",How racism makes us sick,David R. Williams,17:27,"health care,health,identity,inequality,humanity,medicine,illness,race,TEDMED,public health,society"
"
","
","
","
",How racism makes us sick,David R. Williams,17:27,"health care,health,identity,inequality,humanity,medicine,illness,race,TEDMED,public health,society"
"
											A few months later,
											I was speaking at a conference
in Washington, DC,
											and I said that one
of the priorities for research
											was to document the ways
in which racism affected health.
											A white gentleman stood in the audience
											and said that while he agreed
with me that racism was important,
											we could never measure racism.
											""We measure self-esteem,"" I said.
											""There's no reason
											why we can't measure racism
if we put our minds to it.""
									","
											Alguns meses depois,
											discursei numa conferência 
em Washington, DC,
											e disse que uma 
das prioridades da investigação
											era documentar as formas
como o racismo afectava a saúde.
											Um senhor branco 
levantou-se no meio do público
											e disse que concordava comigo
sobre a importância do racismo,
											mas nunca poderíamos
medir o racismo.
											""Medimos a auto-estima"", respondi.
											""Não há nenhuma razão
											""para não conseguirmos medir o racismo,
se decidirmos fazê-lo.""
									","
											Unos meses después,
											participé en una conferencia
en Washington, DC,
											y dije que una de las prioridades
de investigación
											era documentar la manera
cómo el racismo afectaba a la salud.
											Un señor blanco se levantó 
ante la audiencia
											y dijo que, si bien concordaba conmigo
en que el racismo era importante,
											era algo que nunca podríamos medir.
											""Medimos la autoestima"", dije.
											""No hay razón
											para que no podamos medir el racismo
si nos lo proponemos"".
									","
											Quelques mois plus tard,
											J'intervenais à une conférence
à Washington
											et j'ai dit qu'une des priorités
de la recherche
											était de documenter comment
que le racisme affectait la santé.
											Dans le public, un homme blanc s'est levé
											et a dit que même s'il était d'accord
que le racisme était important,
											nous ne pourrions jamais
mesurer le racisme.
											« Nous mesurons
l'estime de soi », ai-je dit.
											« Pourquoi ne pourrions-nous pas
											mesurer le racisme
si nous en faisons l'effort ? »
									",How racism makes us sick,David R. Williams,17:27,"health care,health,identity,inequality,humanity,medicine,illness,race,TEDMED,public health,society"
"
","
","
","
",How racism makes us sick,David R. Williams,17:27,"health care,health,identity,inequality,humanity,medicine,illness,race,TEDMED,public health,society"
"
											And so I put my mind to it
											and developed three scales.
											The first one captured
major experiences of discrimination,
											like being unfairly fired
or being unfairly stopped by the police.
											But discrimination also occurs
in more minor and subtle experiences,
											and so my second scale,
called the Everyday Discrimination Scale,
											captures nine items
											that captures experiences
											like you're treated
with less courtesy than others,
											you receive poorer service
than others in restaurants or stores,
											or people act as if they're afraid of you.
											This scale captures
											ways in which the dignity and the respect
											of people who society does not value
											is chipped away on a daily basis.
									","
											E eu decidi fazê-lo.
											Desenvolvi três escalas.
											A primeira regista experiências 
de discriminação significativas,
											como ser despedido injustamente ou ser 
mandado parar pela polícia injustamente.
											Mas a discriminação também ocorre
em experiências menores e mais subtis,
											e a minha segunda escala,
a Escala de Discriminação Quotidiana,
											regista nove itens
											que registam experiências
											como ser tratado com menos cortesia 
do que as outras pessoas,
											receber um serviço pior do que os outros
em restaurantes e lojas,
											ou as pessoas agirem 
com medo de nós.
											Esta escala regista
											como a dignidade
e o respeito pelas pessoas
											que a sociedade não valoriza
											são erodidos diariamente.
									","
											Entonces me lo propuse
											y desarrollé tres escalas.
											La primera capturaba experiencias graves
de discriminación,
											como ser despedido injustamente
o ser detenido por la policía sin motivos.
											Pero la discriminación también ocurre
en experiencias menores y más sutiles,
											por lo que mi segunda escala, llamada
""Escala de discriminación cotidiana"",
											captura nueve ítems
											que capturan experiencias
											como ser tratado
menos amablemente que otros,
											recibir peor servicio
en tiendas o restaurantes,
											o ser temido por la gente que te rodea.
											Esta escala captura
											maneras en las que
la dignidad y el respeto
											de las personas a quienes
la sociedad no valora
											son socavados cotidianamente.
									","
											Alors j'ai fait l'effort
											et j'ai développé trois barèmes.
											Le premier reflète les expériences
de discrimination majeures,
											comme être licencié
ou arrêté par la police injustement.
											Mais la discrimination apparaît aussi
dans des situations moins sérieuses,
											donc mon deuxième barème,
											ou « le barème
de discrimination quotidienne »,
											reflète neuf éléments
											qui regroupent les expériences
											où vous êtes traité
avec moins de politesse que les autres,
											vous recevez un service de moindre qualité
que les autres au restaurant ou au magasin
											ou les gens manifestent
de la peur envers vous.
											Ce barème reflète
											comment la dignité et le respect
											des gens que la société n'estime pas
											sont piétinés quotidiennement.
									",How racism makes us sick,David R. Williams,17:27,"health care,health,identity,inequality,humanity,medicine,illness,race,TEDMED,public health,society"
"
","
","
","
",How racism makes us sick,David R. Williams,17:27,"health care,health,identity,inequality,humanity,medicine,illness,race,TEDMED,public health,society"
