en,es,tr,de,fr,pt,title,speaker,duration,tags
"
","
","
","
","
","
",The hidden ways stairs shape your life,David Rockwell,3:08,"emotions,history,design,architecture"
"
											I think stairs may be
											one of the most emotionally
malleable physical elements
											that an architect has to work with.
									","
											Creo que la escalera puede ser
											uno de los elementos físicos
más emocionalmente maleables
											con que un arquitecto trabaja.
									","
											Bence merdivenler
											bir mimarın üzerinde çalışması gereken
duygusal olarak en şekillendirilebilir
											fiziksel elementlerden biri.
									","
											Treppen sind wahrscheinlich
											eine der emotional biegsamsten
physischen Elemente,
											mit denen ein Architekt zu tun hat.
									","
											Les escaliers sont peut-être
											l'un des éléments physiques
les plus émotionnellement malléables
											avec lesquels un architecte
doit travailler.
									","
											Penso que as escadas podem ser
											um dos elementos físicos 
mais emotivamente maleáveis
											com que um arquiteto tem de trabalhar.
									",The hidden ways stairs shape your life,David Rockwell,3:08,"emotions,history,design,architecture"
"
","
","
","
","
","
",The hidden ways stairs shape your life,David Rockwell,3:08,"emotions,history,design,architecture"
"
											[Small thing. Big idea.]
									","
											[Cosa pequeña. Idea grande.]
									","
											[Küçük şey. Büyük fikir.]
									","
											[Kleine Sache. Große Idee.]
									","
											[Petite chose. Grande idée]
									","
											[Coisa pequena]
											[Grande ideia]
									",The hidden ways stairs shape your life,David Rockwell,3:08,"emotions,history,design,architecture"
"
","
","
","
","
","
",The hidden ways stairs shape your life,David Rockwell,3:08,"emotions,history,design,architecture"
"
											[David Rockwell on
the Stairs]
									","
											[David Rockwell habla de las escaleras]
									","
											[David Rockwell
Merdivenler hakkında konuşuyor.]
									","
											[David Rockwell über Treppen]
									","
											[David Rockwell au sujet des escaliers]
									","
											[O que diz David Rockwell
sobre as Escadas]
									",The hidden ways stairs shape your life,David Rockwell,3:08,"emotions,history,design,architecture"
"
","
","
","
","
","
",The hidden ways stairs shape your life,David Rockwell,3:08,"emotions,history,design,architecture"
"
											At its most basic, a stair is a way
to get from point A to point B
											at different elevations.
											Stairs have a common language.
											Treads, which is the thing
that you walk on.
											Riser, which is the vertical element
that separates the two treads.
											A lot of stairs have nosings
that create a kind of edge.
											And then, the connected piece
is a stringer.
											Those pieces, in different forms,
make up all stairs.
									","
											En el sentido más básico, una escalera
es una manera de ir de un lugar a otro
											a diferentes alturas.
											Las escaleras tienen un lenguaje en común.
											La huella, la parte en que se pisa.
											La contrahuella, el elemento vertical
que separa las dos huellas.
											Muchas escaleras tienen voladizos,
que forman una clase de borde.
											Y la parte conectada es una zanca.
											Esas piezas, en diferentes formas,
constituyen toda escalera.
									","
											En kolay hâliyle bir merdiven
sizi yükseklikleri farklı olan
											A noktasından B noktasına götürür.
											Merdivenlerin ortak bir dili var.
											Basamaklar, yani üzerine
bastığınız kısım.
											Basamak altı, yani iki basamağı
birbirinden ayıran dikey kısım.
											Merdivenlerin pek çoğunda
bir boşluk yaratan bir ön kenar olur.
											Bir de bağlı olan trabzan kısmı vardır.
											Bu parçalar, farklı biçimlerde
bir merdiven oluştururlar.
									","
											Eine Treppe ist im Grunde eine Art,
um von A nach B
											auf verschiedenen Höhen zu gelangen.
											Treppen haben eine gemeinsame Sprache:
											Trittstufe, worauf man geht.
											Setzstufe, der vertikale Teil,
der die zwei Trittstufen trennt.
											Einige Treppen haben
sogenannte Nasen, die eine Kante bilden.
											Und dann gibt es die Treppenwange, 
die alles zusammenhält.
											Diese Teile bilden in
verschiedenen Formen Treppen.
									","
											A la base, un escalier est un moyen
d'aller d'un point A à un point B
											situés à différentes hauteurs.
											Les escaliers ont un langage commun.
											Les marches, qui sont la chose
sur laquelle vous marchez.
											Les contremarches, qui sont
l'élément vertical séparant deux marches.
											Beaucoup d'escaliers ont des nez
qui créent un rebord.
											Et la pièce liant le tout est un limon.
											Ces éléments, sous différentes formes,
composent tous les escaliers.
									","
											No sentido mais básico, uma escada
é uma forma de ir do ponto A ao ponto B
											situados em diferentes níveis.
											As escadas têm uma linguagem comum.
											Os degraus, que é aquilo que pisamos.
											Os espelhos, que é o elemento vertical
que separa dois degraus.
											Muitas escadas têm saliências
que criam uma espécie de borda.
											E depois, a peça de ligação
é um rodapé.
											Estas peças, de formas diferentes,
compõem todas as escadas.
									",The hidden ways stairs shape your life,David Rockwell,3:08,"emotions,history,design,architecture"
"
","
","
","
","
","
",The hidden ways stairs shape your life,David Rockwell,3:08,"emotions,history,design,architecture"
"
											I assume stairs came to be
from the first time someone said,
											""I want to get to this higher rock
from the lower rock.""
											People climbed
using whatever was available:
											stepped logs, ladders
											and natural pathways
that were worn over time.
											Some of the earliest staircases,
like the pyramids in Chichén Itzá
											or the roads to Mount Tai in China,
											were a means of getting
to a higher elevation,
											which people sought
for worship or for protection.
									","
											Supongo que la escalera se originó
la primera vez que alguien dijo:
											""Quiero subir a esa roca alta
desde la roca más baja"".
											La gente escalaba usando
cualquier cosa disponible:
											troncos escalonados, escaleras de mano
											y senderos naturales que
se formaron con el tiempo.
											Algunas de las escaleras más antiguas,
como las pirámides en Chichén Itzá
											o los caminos al Monte Tai en China
											eran una manera de subir
a una elevación más alta
											que la gente buscaba para venerar
o en busca de protección.
									","
											Bence merdivenler birinin
şöyle demesiyle ortaya çıktı:
											''Ben bu alçak kayadan
üstteki kayaya çıkmak istiyorum.''
											İnsanlar neleri varsa
kullanarak çıktılar:
											taşınan kütükler, el merdivenleri
											ve zaman içinde yok olan
doğal yaya yolları.
											Bilinen en eski merdivenler
Chichén Itzá piramitleri
											veya Çin'deki Mount Tai yolları
											daha yüksek bir yere
gitmekte kullanılan araçlardı,
											insanların ibadet veya korunma
amaçlı gittikleri yerler.
									","
											Wahrscheinlich entstand
die erste Treppe, als jemand sagte:
											""Ich möchte vom niedrigeren Felsen
auf den höheren.""
											Menschen verwendeten
fürs Klettern, was es gab:
											abgestufte Baumstämme, Leitern
											und natürliche Pfade,
die über die Zeit entstanden.
											Einige der ersten Treppen waren
die Pyramiden von Chichén Itzá
											und die Wege zum Tai Shan in China.
											Durch sie gelangte man
auf höher gelegene Ebenen,
											was für Menschen zum Beten 
und zum Schutz wichtig war.
									","
											Les escaliers ont dû être inventés
quand quelqu'un a dit :
											« Je veux atteindre le rocher du haut
depuis celui du bas. »
											Les gens montaient
à l'aide de ce qu'il y avait :
											des rondins étagés, des échelles
											et des passages naturels
façonnés par le temps.
											Certains des premiers escaliers,
comme les pyramides de Chichén Itzá
											ou les routes du mont Tai en Chine,
											étaient un moyen d'aller
à une altitude plus élevée,
											ce que les gens recherchaient
par culte ou par protection.
									","
											Penso que as escadas apareceram
na primeira vez que alguém disse:
											""Quero subir desta rocha mais baixa
para a rocha mais alta"".
											As pessoas trepavam
usando o que houvesse disponível:
											troncos empilhados, escadas de mão,
											caminhos naturais formados com o tempo.
											Algumas das escadas mais antigas
como as pirâmides em Chichén Itzá
											ou as estradas para o Monte Tai, na China,
											eram um meio para chegar
a uma elevação mais alta
											que as pessoas procuravam
para adoração ou proteção.
									",The hidden ways stairs shape your life,David Rockwell,3:08,"emotions,history,design,architecture"
