en,es,pt,de,title,speaker,duration,tags
"
","
","
","
",4 ways we can avoid a catastrophic drought,David Sedlak,13:37,"TEDx,chemistry,climate change,design,engineering,environment,future,global issues,industrial design,innovation,public health,sustainability,urban planning,water,population,infrastructure"
"
											Our grandparents' generation
created an amazing system
											of canals and reservoirs
that made it possible
											for people to live in places
where there wasn't a lot of water.
											For example, during the Great Depression,
											they created the Hoover Dam,
											which in turn, created Lake Mead
											and made it possible for the cities
of Las Vegas and Phoenix
											and Los Angeles to provide water
											for people who lived
in a really dry place.
									","
											La generación de nuestros abuelos 
crearon un sistema asombroso
											de canales y embalses 
que hicieron posible
											que las personas vivieran en lugares 
donde no había mucha agua.
											Por ejemplo, durante la Gran Depresión,
											crearon la presa Hoover,
											que a su vez, creó el lago Mead
											e hicieron posible en las ciudades 
de Las Vegas y Phoenix
											y Los Ángeles proporcionar agua
											a personas que vivían 
en un lugar muy seco.
									","
											A geração dos nossos avós
criou um sistema fantástico
											de canais e reservatórios
que tornou possível
											que as pessoas vivessem em locais
onde não havia muita água
											Por exemplo, durante a Grande Depressão,
											criaram a Barragem Hoover
											que, por sua vez, criou o Lago Mead
											e tornou possível que as cidades
de Las Vega, Phoenix
											e Los Angeles fornecessem água
											às pessoas que viviam
num local muito seco.
									","
											Die Generation unserer Großeltern
schuf ein großartiges System
											von Kanälen und Speichern,
das es Menschen ermöglichte,
											an Orten zu leben, an denen
wenig Wasser vorhanden war.
											Zum Beispiel bauten sie
während der Großen Depression
											die Hoover-Talsperre,
											die wiederum den 
Stausee Mead entstehen ließ,
											und ermöglichten es den Städten
Las Vegas, Phoenix und Los Angeles
											Menschen mit Wasser zu versorgen,
											die in sehr trockenen Gebieten wohnten.
									",4 ways we can avoid a catastrophic drought,David Sedlak,13:37,"TEDx,chemistry,climate change,design,engineering,environment,future,global issues,industrial design,innovation,public health,sustainability,urban planning,water,population,infrastructure"
"
","
","
","
",4 ways we can avoid a catastrophic drought,David Sedlak,13:37,"TEDx,chemistry,climate change,design,engineering,environment,future,global issues,industrial design,innovation,public health,sustainability,urban planning,water,population,infrastructure"
"
											In the 20th century,
we literally spent trillions of dollars
											building infrastructure
to get water to our cities.
											In terms of economic development,
it was a great investment.
											But in the last decade,
we've seen the combined effects
											of climate change, population growth
and competition for water resources
											threaten these vital lifelines
and water resources.
									","
											En el siglo XX, hemos literalmente 
gastado billones de dólares
											en construir infraestructura para 
abastecer de agua a las ciudades.
											En términos de desarrollo económico, 
fue una gran inversión.
											Pero en la última década, se ven los 
efectos combinados del cambio climático,
											el crecimiento demográfico y 
la competencia por los recursos hídricos
											poner en peligro estas arterias vitales 
y los recursos hídricos.
									","
											No século XX,
gastámos biliões de dólares
											na construção de infraestruturas
para abastecer as cidades de água.
											Em termos de desenvolvimento económico,
foi um investimento ótimo.
											Mas, na década passada,
vimos os efeitos combinados
											da alteração climática, do crescimento
populacional e da competição pela água
											ameaçar estas fontes de vida
e estes recursos de água.
									","
											Im 20. Jahrhundert haben wir
mit Billionen Dollar
											Infrastrukturen errichtet,
die Wasser in unsere Städte bringen.
											Rein wirtschaftlich gesehen,
war das eine große Investition.
											Aber in den letzten 10 Jahren
haben wir gesehen,
											wie Klimawandel, Bevölkerungswachstum
und Konkurrenz um Wasservorräte
											diese wichtigen Lebensadern
und Wasservorräte bedrohen.
									",4 ways we can avoid a catastrophic drought,David Sedlak,13:37,"TEDx,chemistry,climate change,design,engineering,environment,future,global issues,industrial design,innovation,public health,sustainability,urban planning,water,population,infrastructure"
"
","
","
","
",4 ways we can avoid a catastrophic drought,David Sedlak,13:37,"TEDx,chemistry,climate change,design,engineering,environment,future,global issues,industrial design,innovation,public health,sustainability,urban planning,water,population,infrastructure"
"
											This figure shows you the change
in the lake level of Lake Mead
											that happened in the last 15 years.
											You can see starting around the year 2000,
											the lake level started to drop.
											And it was dropping at such a rate
											that it would have left the drinking water
intakes for Las Vegas high and dry.
											The city became so concerned about this
											that they recently constructed
a new drinking water intake structure
											that they referred to as the ""Third Straw""
											to pull water out
of the greater depths of the lake.
									","
											Esta gráfica muestra 
el cambio en el nivel del lago Mead
											ocurrido en los últimos 15 años.
											Se puede ver a partir 
del año 2000 más o menos,
											que el nivel del lago 
comenzó a descender.
											Y disminuyó a un ritmo tal
											que podría haber dejado 
sin agua potable a Las Vegas.
											La ciudad llegó a estar 
tan preocupada por esto
											que recientemente construyeron una 
nueva estructura de toma de agua potable
											que se conoce como la ""Tercer paja""
											para extraer agua de 
las profundidades del lago.
									","
											Este gráfico mostra a alteração
do nível do Lago Mead
											que ocorreu nos últimos 15 anos.
											Podemos ver que, por volta de 2000,
											o nível do lago começou a descer.
											Foi descendo a um tal ritmo
											que, por esse andar, deixaria
de abastecer Las Vegas com água potável. 

											A cidade ficou tão preocupada com isso
											que construiu uma nova estrutura
de captação de água potável 

											que designou por a ""Terceira Gota"",
											para ir buscar a água
às profundezas do lago.
									","
											Diese Grafik zeigt Ihnen die Veränderung
des Wasserspiegels des Mead-Stausees
											im Laufe der letzten 15 Jahre.
											Sie können sehen, dass der Spiegel
											seit dem Jahr 2000 gesunken ist.
											Er ist so enorm gesunken,
											dass die Trinkwassereinspeisung für
Las Vegas in Bedrängnis geriet.
											Die Stadt machte sich 
so große Sorgen darüber,
											dass sie vor kurzem ein neues
Trinkwassereinspeisungswerk
											namens ""Der dritte Strohhalm"" gebaut hat,
											um Wasser aus den größeren Tiefen 
des Sees zu schöpfen.
									",4 ways we can avoid a catastrophic drought,David Sedlak,13:37,"TEDx,chemistry,climate change,design,engineering,environment,future,global issues,industrial design,innovation,public health,sustainability,urban planning,water,population,infrastructure"
"
","
","
","
",4 ways we can avoid a catastrophic drought,David Sedlak,13:37,"TEDx,chemistry,climate change,design,engineering,environment,future,global issues,industrial design,innovation,public health,sustainability,urban planning,water,population,infrastructure"
"
											The challenges associated
with providing water to a modern city
											are not restricted
to the American Southwest.
											In the year 2007, the third largest
city in Australia, Brisbane,
											came within 6 months
of running out of water.
											A similar drama is playing out today
in São Paulo, Brazil,
											where the main reservoir for the city
											has gone from being
completely full in 2010,
											to being nearly empty today
											as the city approaches
the 2016 Summer Olympics.
									","
											Los retos asociados con el suministro 
de agua a una ciudad moderna
											no se restringen a suroeste de EE.UU.
											En el año 2007, la tercera ciudad 
más grande de Australia, Brisbane,
											llegó en 6 meses a quedarse sin agua.
											Un drama similar sucede 
hoy en São Paulo, Brasil,
											donde el depósito principal de la ciudad
											ha pasado de estar 
completamente lleno en 2010,
											a estar casi vacío hoy
											mientras la ciudad se acerca 
a los Juegos Olímpicos de 2016.
									","
											Os problemas associados ao fornecimento
de água às cidades modernas
											não se restringem ao sudoeste americano.
											Em 2007, a terceira maior cidade
da Austrália, Brisbane, 

											em seis meses, viu-se 
com falta de água corrente. 

											Um drama semelhante está hoje 
a acontecer em São Paulo, no Brasil, 

											onde o principal reservatório da cidade
											que estava totalmente cheio
em 2010,
											está quase vazio atualmente,
											altura em que a cidade se aproxima
dos Jogos Olímpicos de Verão de 2016.
									","
											Die Probleme, eine moderne Stadt
mit Wasser zu versorgen,
											beschränken sich nicht auf 
den amerkanischen Südwesten.
											2007 wurde in der drittgrößten
Stadt Australiens, Brisbane,
											innerhalb von 6 Monaten das Wasser knapp.
											Ein ähnliches Drama spielt sich heute
in São Paulo, Brasilien, ab.
											Dort war das Hauptreservoir der Stadt
											im Jahr 2010 komplett voll
											und ist heute beinahe leer,
											während die Olympischen
Sommerspiele 2016 heranrücken.
									",4 ways we can avoid a catastrophic drought,David Sedlak,13:37,"TEDx,chemistry,climate change,design,engineering,environment,future,global issues,industrial design,innovation,public health,sustainability,urban planning,water,population,infrastructure"
"
","
","
","
",4 ways we can avoid a catastrophic drought,David Sedlak,13:37,"TEDx,chemistry,climate change,design,engineering,environment,future,global issues,industrial design,innovation,public health,sustainability,urban planning,water,population,infrastructure"
"
											For those of us who are fortunate enough
											to live in one
of the world's great cities,
											we've never truly experienced
the effects of a catastrophic drought.
											We like to complain
about the navy showers we have to take.
											We like our neighbors to see
our dirty cars and our brown lawns.
											But we've never really faced
the prospect of turning on the tap
											and having nothing come out.
											And that's because when things
have gotten bad in the past,
											it's always been possible
to expand a reservoir
											or dig a few more groundwater wells.
											Well, in a time when all
of the water resources are spoken for,
											it's not going to be possible
to rely on this tried and true way
											of providing ourselves with water.
									","
											Para quienes tenemos la suerte
											de vivir en una de 
las grandes ciudades del mundo,
											en realidad, nunca hemos experimentado 
los efectos de una sequía catastrófica.
											Nos gusta quejarnos de las duchas marinas 
que tenemos que tomar.
											Nos gusta que nuestros vecinos vean 
nuestros autos sucios y el césped marrón.
											Pero nunca nos confrontamos 
con la perspectiva de abrir el grifo
											y ver que no sale nada.
											Y eso es porque cuando las cosas 
fueron mal en el pasado,
											siempre fue posible ampliar un depósito
											o cavar más profundos 
en pozos de agua subterránea.
											Cuando se reserven
todos los recursos hídricos,
											no será viable confiar 
en esta probada y verdadera
											manera de autoabastecernos con agua.
									","
											Aqueles que têm a sorte
											de viver numa das maiores 
cidades do mundo,
											nunca experimentaram 
os efeitos duma seca catastrófica.
											Gostamos de nos queixar
dos duches militares que temos que tomar.
											Gostamos que os vizinhos vejam
											os nossos carros sujos
e os relvados amarelos.
											Mas nunca enfrentámos a sério
a perspetiva de abrir a torneira
											e não sair nada.
											Isso é possível porque, quando
as coisas correram mal no passado,
											foi sempre possível
aumentar um reservatório
											ou escavar mais alguns poços subterrâneos.
											Numa época em que todos
os recursos de água estão utilizados
											não vai mais ser possível
depender deste modo antes utilizado
									","
											Diejenigen von uns, die das Glück haben,
											in einer der größten Städte
der Welt zu leben,
											haben nie die Auswirkungen einer
katastrophalen Trockenheit erlebt.
											Wir klagen gerne darüber, dass wir
beim Duschen Wasser sparen müssen.
											Wir zeigen gerne unsere schmutzigen
Autos oder den braunen Rasen her.
											Aber wir standen niemals 
tatsächlich vor dem Problem,
											dass nichts mehr aus dem Wasserhahn kommt.
											Denn bisher war es immer möglich, 
ein Reservoir auszubauen
											oder ein paar weitere 
Grundwasserbrunnen zu graben,
											wenn sich die Lage verschlechterte.
											In einer Zeit, in der alle
Wasservorräte vergeben sind,
											werden wir uns nicht auf
diesen altbewährten Weg
											der Wasserversorgung verlassen können.
									",4 ways we can avoid a catastrophic drought,David Sedlak,13:37,"TEDx,chemistry,climate change,design,engineering,environment,future,global issues,industrial design,innovation,public health,sustainability,urban planning,water,population,infrastructure"
