es,pt,fr,title,speaker,duration,tags
"
","
","
",Want to be happy? Be grateful,David Steindl-Rast,14:30,"culture,faith,happiness,mindfulness"
"
											Hay algo
											que conocen de mí, 
algo muy personal,
											y hay algo que sé de
											cada uno de Uds.
											y que es muy central 
a sus inquietudes.
											Hay algo que sabemos acerca
											de todos a quienes conocemos 
en cualquier parte del mundo,
											en la calle,
											que es el motivo 
harto fundamental
											de lo que ellos hacen
											y de cualquier 
cosa que toleran,
											y es que todos nosotros
											queremos ser felices.
											En esto, estamos todos juntos.
											Como nos imaginamos 
nuestra felicidad,
											difiere de uno al otro,
											pero ya es mucho lo 
que tenemos en común,
											que queremos ser felices.
									","
											Existe uma coisa
											que vocês sabem sobre mim, 
algo muito pessoal,
											e há algo que eu sei sobre
											cada um de vocês
											e que está no centro das vossas preocupações.
											Existe algo que sabemos
											sobre cada pessoa que conhecemos 
em qualquer lugar do mundo,
											na rua,
											que é a verdadeira motivação
											de tudo o que fazem
											e de tudo o que suportam,
											e esse algo é que todos nós
											queremos ser felizes.
											Nisto, estamos todos juntos.
											Na maneira como imaginamos a felicidade,
											isso depende de cada um,
											mas já é bastante termos em comum
											querermos ser felizes.
									","
											Il y a quelque chose
											que vous savez sur moi,
											quelque chose de très personnel,
											et il y a quelque chose que je sais
											à propos de chacun d'entre vous
											qui est au cœur de vos préoccupations.
											Il y a quelque chose que nous savons
											sur chaque personne qu'on rencontre &lt;br&gt; n'importe où dans le monde,
											dans la rue,
											C'est le ressort principal
											de tout ce qu'ils font
											et de tout ce qu'ils acceptent.
											Cette chose, c'est que chacun d'entre nous
											veut être heureux.
											En cela, nous sommes tous semblables.
											Comment on imagine notre bonheur,
											cela diffère de l'un à l'autre,
											mais c'est déjà beaucoup
											d'avoir tous en commun,
											de vouloir être heureux.
									",Want to be happy? Be grateful,David Steindl-Rast,14:30,"culture,faith,happiness,mindfulness"
"
","
","
",Want to be happy? Be grateful,David Steindl-Rast,14:30,"culture,faith,happiness,mindfulness"
"
											Mi tema es la gratitud.
											¿Cómo es la conexión entre
											felicidad y gratitud?
											Mucha gente diría, 
bueno, es muy fácil.
											Cuando eres feliz, 
estás agradecido.
											Pero vuelvan a pensar.
											¿Es realmente la gente 
feliz la que está agradecida?
											Todos conocemos a un 
buen número de personas
											que tienen todo lo que 
se necesitaría para ser feliz,
											y que no son felices,
											porque quieren algo adicional
											o quieren más de lo mismo.
											Y todos conocemos personas
											que sufren muchas desgracias,
											desgracias que nosotros 
mismos no querríamos tener,
											y que son profundamente felices.
											Irradian felicidad. 
Uno se sorprende.
											¿Por qué? Porque 
se sienten agradecidas.
											Así que no es la felicidad 
la que nos hace agradecidos.
											Es el agradecimiento 
el que nos hace felices.
											Si creen que es su felicidad 
la que los hace agradecidos,
											piénsalo de nuevo.
											Es la gratitud la que 
los hace felices.
									","
											Agora, o meu tema é a gratidão.
											Qual é a ligação entre
											a felicidade e a gratidão?
											Muitas pessoas diriam: bem, é muito fácil.
											Quando vocês estão felizes, estão gratos.
											Mas pensem novamente.
											Será verdade que as pessoas felizes são gratas?
											Todos conhecemos um grande número de pessoas
											que têm tudo o que precisariam para serem felizes,
											mas não são felizes,
											porque eles querem outra coisa
											ou querem mais do mesmo.
											E todos conhecemos pessoas
											que têm tantos infortúnios,
											desgraças que nós próprios não gostaríamos de ter,
											e que são extremamente felizes.
											Elas irradiam felicidade. Vocês estão surpreendidos.
											Porquê? Porque eles são gratos.
											Então não é a felicidade que nos faz ser gratos.
											É a gratidão que nos faz ser felizes.
											Se vocês pensam que é a felicidade
que vos faz ser gratos,
											pensem novamente.
											É a gratidão que vos faz ser felizes.
									","
											Mon sujet est la gratitude.
											Comment se fait le lien entre
											bonheur et gratitude ?
											Beaucoup de gens diraient : et bien, c'est très facile.
											Quand vous êtes satisfait, vous êtes reconnaissant.
											Mais détrompez-vous.
											Est-ce vraiment
											les gens heureux qui sont reconnaissants ?
											Nous connaissons tous des personnes
											qui ont tout ce qu'il faudrait pour être heureux,
											et qui ne sont pas heureux,
											parce qu'ils veulent quelque chose d'autre
											ou ils veulent plus de ce qu'ils ont.
											Et nous connaissons tous des gens
											qui ont souffert de nombreux malheurs,
											malheurs que nous ne voudrions pas avoir,
											et qui sont profondément heureux.
											Ils rayonnent de bonheur. Vous êtes surpris.
											Pourquoi ? Parce qu'ils sont reconnaissants.
											Ce n'est donc pas le bonheur
											qui nous rend reconnaissant.
											C'est le fait d'être reconnaissant
											qui nous rend heureux.
											Si vous pensez que c'est le bonheur &lt;br&gt;qui vous rend reconnaissant,
											détrompez-vous.
											C'est la gratitude qui nous rend heureux.
									",Want to be happy? Be grateful,David Steindl-Rast,14:30,"culture,faith,happiness,mindfulness"
"
","
","
",Want to be happy? Be grateful,David Steindl-Rast,14:30,"culture,faith,happiness,mindfulness"
"
											Podemos preguntar,
											¿realmente qué 
entendemos por gratitud?
											¿Y cómo funciona?
											Apelo a su propia experiencia.
											Todos sabemos por 
experiencia qué pasa.
											Experimentamos algo
											que es valioso 
para nosotros.
											Se nos da algo que es 
valioso para nosotros.
											Y realmente es dado.
											Estas dos cosas tienen 
que venir juntas.
											Tiene que ser algo valioso,
											y ser un verdadero regalo.
											No lo compraron. 
No se lo han ganado.
											No lo han intercambiado. 
No han trabajado por él.
											Solo les fue dado.
											Y cuando estas dos 
cosas vienen juntas,
											algo que es muy 
valioso para mí
											y que me doy cuenta 
de que se me da gratis,
											entonces el agradecimiento, 
espontáneamente,
											surge en mi corazón,
											la felicidad crece 
espontáneamente en mi corazón.
											Así es como se da 
el agradecimiento.
									","
											Agora, podemos perguntar,
											o que realmente queremos dizer com gratidão?
											E como funciona?
											Eu apelo à vossa própria experiência.
											Todos sabemos por experiência como isto funciona.
											Nós experienciamos algo
											que tem valor para nós.
											É-nos dado algo que tem valor para nós.
											E é realmente dado.
											Essas duas coisas precisam de vir juntas.
											Tem de ser algo com valor,
											e é um presente verdadeiro.
											Vocês não o compraram. Não o ganharam.
											Vocês não o comercializaram. 
Vocês não trabalharam para o obter.
											Simplesmente é-vos dado.
											E quando essas duas coisas se encontram,
											algo que realmente tem valor para mim
											e eu apercebo-me de que é dado livremente,
											então a gratidão nasce
											espontaneamente no meu coração,
											a felicidade nasce espontaneamente no meu coração.
											É assim que a gratidão acontece.
									","
											On peut se demander,
											qu'entendons-nous vraiment par gratitude ?
											Et comment cela fonctionne-t-il ?
											Je fais appel à votre propre expérience.
											Nous savons tous par expérience &lt;br&gt;comment ça se passe.
											On vit une expérience
											qui nous apporte quelque chose de précieux.
											Une chose nous est donnée qui nous est précieuse.
											Et qui est vraiment donnée.
											Ces deux choses doivent aller de pair.
											Il doit y avoir quelque chose de précieux,
											et qui soit à la fois un vrai cadeau.
											Vous ne l'avez pas acheté. &lt;br&gt;Vous ne l'avez pas gagné.
											Vous ne l'avez pas échangé. &lt;br&gt;Vous n'avez pas travaillé pour ça.
											Ça vous est seulement donné.
											Et quand ces deux choses vont de pair,
											une chose qui est vraiment précieuse pour moi
											et dont je réalise qu'elle m'est réellement donnée,
											alors spontanément, la gratitude
											monte dans mon cœur,
											la joie s'élève spontanément dans mon cœur.
											Voilà comment arrive la gratitude.
									",Want to be happy? Be grateful,David Steindl-Rast,14:30,"culture,faith,happiness,mindfulness"
"
","
","
",Want to be happy? Be grateful,David Steindl-Rast,14:30,"culture,faith,happiness,mindfulness"
"
											La clave de todo esto es que
											no podemos solo 
experimentarlo de vez en cuando.
											No podemos solo tener 
experiencias de agradecimiento.
											Podemos ser las personas 
que viven con gratitud.
											Un vida agradecida, 
ese es el punto.
											¿Y cómo podemos 
vivir con gratitud?
											Experimentándola, 
haciéndonos conscientes
											de que cada momento es 
un momento dado, como decimos.
											Es un regalo. 
No lo hemos ganado.
											No lo conseguimos 
de ninguna manera.
											No tenemos de ninguna 
manera asegurar que habrá
											otro momento 
dado a nosotros,
											y sin embargo, es lo más valioso
											que nos puede ser dado,
											este momento, con toda 
la oportunidad que trae.
											Si no tuviéramos 
este momento presente,
											no tendríamos ninguna 
oportunidad de hacer nada
											o experimentar nada,
											y este momento 
es un regalo.
											Es un momento dado, 
como decimos.
									","
											Portanto, a chave para tudo isto é que
											não podemos experienciar isto apenas de vez em quando.
											Não podemos ter apenas experiências de gratidão.
											Podemos ser pessoas que vivem com gratidão.
											Viver com gratidão, essa é a questão.
											E como podemos viver com gratidão?
											Experienciando, tornando-nos conscientes
											de que cada momento é um momento dado, 
como dizemos.
											É uma dádiva. Vocês não o ganharam.
											Vocês não o provocaram de maneira nenhuma.
											Não têm maneira de assegurar que haverá
											outro momento que vos seja dado,
											e mesmo assim, é a coisa mais valiosa
											que alguma vez nos pode ser dada,
											este momento, com 
todas as oportunidades que contém.
											Se não tivéssemos este momento presente,
											não teríamos a oportunidade de fazer alguma coisa
											ou experienciar alguma coisa,
											e este momento é uma dádiva.
											É um momento dado, como dizemos.
									","
											Maintenant la clé de tout ça est que
											on ne peut pas faire cette expérience &lt;br&gt;seulement de temps en temps.
											On ne peut pas avoir uniquement &lt;br&gt;des expériences de gratitude.
											On peut être des gens qui vivent avec gratitude.
											Une vie de gratitude, voilà ce qu'il faut.
											Et comment peut-on vivre avec gratitude ?
											En vivant, en devenant conscient
											que chaque instant
											est un moment donné, comme on dit.
											C'est un cadeau. Vous ne l'avez pas gagné.
											Vous ne l'avez provoqué en aucune façon.
											Vous n'avez aucun moyen de vous assurer
											qu'un autre moment vous sera donné,
											et pourtant, c'est la chose la plus précieuse
											qui puisse jamais vous être donnée,
											ce moment, avec toutes les opportunités qu'il contient.
											Si nous n'avions pas ce moment présent,
											nous n'aurions aucune occasion &lt;br&gt;de faire quelque chose
											ou de vivre quoi que ce soit,
											et ce moment est un cadeau.
											C'est un moment donné, comme on dit.
									",Want to be happy? Be grateful,David Steindl-Rast,14:30,"culture,faith,happiness,mindfulness"
"
","
","
",Want to be happy? Be grateful,David Steindl-Rast,14:30,"culture,faith,happiness,mindfulness"
"
											Decimos que el regalo 
dentro de este regalo
											es la oportunidad.
											Por lo que estás realmente 
agradecido es por la oportunidad,
											no la cosa que nos es dada,
											porque si esa cosa 
lo fuera en otro lugar
											y no tuvieran 
la oportunidad de disfrutarla
											para hacer algo con ella,
											no estarían agradecidos por ello.
											La oportunidad es el regalo 
dentro de cada regalo,
											y tenemos este dicho,
											la oportunidad toca 
solamente una vez.
											Bueno, piénsalo de nuevo.
											Cada momento es un 
nuevo regalo, una y otra vez,
											y si pierden la oportunidad 
de este momento,
											otro momento nos 
es dado, y en otro más.
											Podemos aprovechar 
esta oportunidad,
											o podemos perderla
											y si aprovechamos 
la oportunidad,
											esa es la clave 
de la felicidad.
											He aquí la llave maestra 
para nuestra felicidad
											en nuestras propias manos.
											Momento a momento,
											podemos estar agradecidos 
por este regalo.
									","
											Agora, dizemos que a dádiva dentro nesta dádiva
											é realmente a oportunidade.
											Aquilo por que vocês estão 
realmente gratos é a oportunidade,
											não a coisa que vos é dada,
											porque se essa coisa estivesse noutro local
											e vocês não tivessem 
a oportunidade de desfrutar dela,
											de fazer algo com ela,
											não estariam gratos por ela.
											A oportunidade é a dádiva dentro de cada dádiva,
											e temos este ditado,
											a oportunidade só bate à porta uma vez.
											Bem, pensem novamente.
											Cada momento é uma nova dádiva, uma e outra vez,
											e se perderem a oportunidade deste momento,
											é-nos dado outro momento, e outro.
											Podemos aproveitar esta oportunidade,
											ou perdê-la,
											e se aproveitarmos a oportunidade,
											essa é a chave para a felicidade.
											Observem a chave mestra da nossa felicidade
											nas nossas mãos.
											A cada momento
											podemos ser gratos por esta dádiva.
									","
											Nous disons que le cadeau dans ce cadeau,
											c'est vraiment l'opportunité.
											Ce qui vous rend si reconnaissant, c'est l'opportunité,
											pas ce qui vous est donné,
											parce que si cette chose était ailleurs
											et que vous n'aviez pas la possibilité d'en profiter,
											d'en faire quelque chose,
											vous n'en seriez pas reconnaissant.
											La chance à saisir est le cadeau dans chaque cadeau,
											et on dit souvent,
											la chance ne frappe pas deux fois à la même porte.
											Et bien, détrompez-vous.
											Chaque instant est un nouveau cadeau, &lt;br&gt;encore et encore,
											et si vous manquez l'occasion de ce moment,
											un autre moment vous est donné, et un autre encore.
											On peut saisir cette chance,
											ou bien on peut la manquer,
											et si on saisit cette chance,
											c'est la clé du bonheur.
											Voici la clé principale de notre bonheur
											entre nos mains.
											Moment après moment,
											on peut être reconnaissant pour ce cadeau.
									",Want to be happy? Be grateful,David Steindl-Rast,14:30,"culture,faith,happiness,mindfulness"
