en,pt,es,fr,de,tr,title,speaker,duration,tags
"
","
","
","
","
","
",A young scientist's quest for clean water,Deepika Kurup,7:59,"bacteria,chemistry,big problems,children,design,global issues,humanity,health,india,illness,innovation,invention,product design,motivation,public health,science,society,water,technology,solar energy"
"
											Every summer, my family and I
travel across the world,
											3,000 miles away
											to the culturally diverse
country of India.
											Now, India is a country infamous
for its scorching heat and humidity.
											For me, the only relief from this heat
is to drink plenty of water.
											Now, while in India,
											my parents always remind me
to only drink boiled or bottled water,
											because unlike here in America,
											where I can just turn on a tap
and easily get clean, potable water,
											in India, the water is often contaminated.
											So my parents have to make sure
											that the water we drink is safe.
									","
											Todos os verões, a minha família e eu
viajamos pelo mundo,
											a 5000 km de distância,
											até à Índia, um país
com grande diversidade cultural.
											A Índia é um país famigerado
com um calor e humidade insuportáveis.
											Para mim, o único alívio para o calor
é beber muita água.

											Quando estamos na Índia,
											os meus pais lembram-me sempre
para só beber água fervida ou engarrafada,
											porque, ao contrário dos EUA,
											onde basta abrirmos uma torneira
para obter água limpa, potável,
											na Índia, a água está muitas vezes
contaminada.
											Por isso, os meus pais têm a preocupação
											de que a água que bebemos
não traga problemas.
									","
											Cada verano, mi familia y yo 
viajamos por todo el mundo,
											5000 km de distancia
											hacia a la diversidad cultural de India.
											India es un país famoso 
por su calor abrasador y su humedad.
											Para mí, el único alivio de 
este calor es beber mucha agua.
											Mientras que en India,
											mis padres siempre me recuerdan 
beber solo agua hervida o embotellada,
											porque a diferencia de en EE.UU.
											donde puedo abrir un grifo y fácilmente 
obtener agua limpia y potable,
											en India, el agua 
a menudo está contaminada.
											Así que mis padres tienen que asegurarse
											que el agua que bebemos es segura.
									","
											Chaque été, ma famille et moi
voyageons à l'autre du bout du monde,
											parcourons près de 5 000 km
											pour aller dans le pays
culturellement diversifié qu'est l'Inde.
											L'Inde est terriblement célèbre
pour sa chaleur torride et son humidité.
											Pour moi, le seul remède à cette chaleur
est de boire beaucoup d'eau.
											En Inde,
											mes parents me rappellent toujours
											de ne boire que de l'eau
bouillie ou en bouteille
											car, contrairement à ici, en Amérique,
											où je peux tourner un robinet
et avoir de l'eau potable,
											en Inde, l'eau est souvent contaminée.
											Mes parents doivent s'assurer
											que l'eau que nous buvons est saine.
									","
											Jeden Sommer reisen meine 
Familie und ich um die Welt,
											fast 5000 km weit,
											in das kulturell vielfältige Indien.
											Indien ist berüchtigt für seine
sengende Hitze und Feuchtigkeit.
											Für mich ist das einzige Mittel gegen
diese Hitze, viel Wasser zu trinken.
											Wenn wir in Indien sind,
											mahnen meine Eltern mich, nur abgekochtes 
oder abgefülltes Wasser zu trinken.
											Denn anders als hier in den USA,
											wo ich ganz einfach sauberes Trinkwasser
aus dem Wasserhahn bekomme,
											ist das Wasser in Indien oft verschmutzt.
											Meine Eltern müssen also sicherstellen,
											dass wir sauberes Wasser trinken.
									","
											Her yaz, ailem ve ben
											3.000 mil uzakta
											kültürel çeşitliliğin olduğu
Hindistan'a gideriz.
											Hindistan, kavurucu sıcakları ve
nemiyle nam salmış bir ülkedir.
											Benim için, bu sıcaklıkta
tek rahatlama yolu bol su içmektir.
											Hindistan'da iken,
											ailem bana her zaman sadece şişe suyu
veya kaynamış su içmemi hatırlatırlar,
											çünkü Amerika'nın aksine
											burada musluklardan
temiz, içilebilir su akmaz.
											Hindistan'da su genellikle kirlidir.
											Bundan dolayı ailem, içtiğimiz suyun
											güvenli olduğundan emin olmak zorunda.
									",A young scientist's quest for clean water,Deepika Kurup,7:59,"bacteria,chemistry,big problems,children,design,global issues,humanity,health,india,illness,innovation,invention,product design,motivation,public health,science,society,water,technology,solar energy"
"
","
","
","
","
","
",A young scientist's quest for clean water,Deepika Kurup,7:59,"bacteria,chemistry,big problems,children,design,global issues,humanity,health,india,illness,innovation,invention,product design,motivation,public health,science,society,water,technology,solar energy"
"
											However, I soon realized
											that not everyone is fortunate enough
											to enjoy the clean water we did.
											Outside my grandparents' house
in the busy streets of India,
											I saw people standing in long lines
											under the hot sun
											filling buckets with water from a tap.
											I even saw children,
											who looked the same age as me,
											filling up these clear plastic bottles
											with dirty water
from streams on the roadside.
											Watching these kids
											forced to drink water
											that I felt was too dirty to touch
											changed my perspective on the world.
											This unacceptable social injustice
											compelled me to want to find a solution
											to our world's clean water problem.
											I wanted to know
why these kids lacked water,
											a substance that is essential for life.
											And I learned that we are facing
											a global water crisis.
									","
											No entanto, eu cedo percebi
											que nem todos têm tanta sorte
											de dispor de água limpa como nós.
											Nas ruas apinhadas da Índia,
em volta da casa dos meus avós,
											eu via pessoas, em grandes filas,
											sob o tórrido sol,
											a encher baldes com água
numa torneira.
											Até via crianças,
											que pareciam ter a minha idade,
											a encher garrafas
de plástico transparentes
											com água suja,
em regatos à beira da estrada.
											Observar aquelas crianças
											forçadas a beber água
											que eu achava demasiado suja
para lhe tocar,
											alterou a minha perspetiva do mundo.
											Estas injustiças sociais inaceitáveis
											forçaram-me a querer encontrar
uma solução
											para o problema mundial da água potável.
											Eu queria saber porque é
que aqueles miúdos não tinham água,
											uma substância essencial à vida.
											Aprendi que enfrentamos
											uma crise mundial de água.
									","
											Sin embargo, pronto me di cuenta
											de que no todo el mundo tiene la suerte
											de disfrutar de agua limpia.
											Afuera de la casa de mis abuelos 
en las concurridas calles de India,
											vi a gente en largas filas
											bajo el sol
											llenando baldes con agua de un grifo.
											Incluso vi a niños,
											que parecían de la misma edad que yo,
											llenar estas botellas 
de plástico transparente
											con agua sucia de las corrientes 
en el borde de la carretera.
											Al ver a estos niños
											obligados a beber agua
											que incluso estaba demasiado sucia 
para tocarla
											cambió mi perspectiva sobre el mundo.
											Esta injusticia social inaceptable
											me obligó a querer encontrar una solución
											al problema del agua limpia 
de nuestro mundo.
											Yo quería saber por qué 
estos niños carecían de agua,
											una sustancia esencial para la vida.
											Y aprendí que nos enfrentamos
											a una crisis mundial del agua.
									","
											Cependant, j'ai vite réalisé
											que tout le monde n'avait pas la chance
											d'avoir l'eau potable que nous avions.
											Hors de la maison de mes grands-parents,
dans les rues animées de l'Inde,
											j'ai vu des gens dans de longues queues
											sous le soleil brûlant
											pour remplir des seaux
de l'eau d'un robinet.
											J'ai même vu des enfants,
											qui devaient avoir mon âge,
											remplir ces bouteilles
en plastique transparent
											avec de l'eau sale issue d'un ruisseau
sur le bord de la route.
											Regarder ces enfants
											obligés de boire de l'eau
											qui me semblait trop sale
pour être touchée
											a changé ma vision du monde.
											Cette injustice sociale inacceptable
											m'a poussée à vouloir trouver une solution
											à notre problème mondial d'eau potable.
											Je voulais savoir pourquoi
ces enfants manquaient d'eau,
											une substance essentielle à la vie.
											J'ai appris que nous faisions face
											à une crise mondiale de l'eau.
									","
											Ich habe aber schnell gemerkt,
											dass nicht jeder das Glück hat,
											so sauberes Wasser wie wir zu genießen.
											Vor dem Haus meiner Großeltern
in den geschäftigen Straßen Indiens
											sah ich, wie Menschen Schlange standen,
											in der heißen Sonne,
											und Eimer mit Wasser 
aus einem Hahn füllten.
											Ich sah sogar Kinder,
											die anscheinend in meinem Alter waren,
											wie sie saubere Plastikflaschen
											mit schmutzigem Wasser aus 
Rinnsälen entlang der Straße füllten.
											Zu sehen, wie diese Kinder
Wasser trinken mussten,
											das ich sogar zu dreckig 
zum Berühren fand,
											veränderte meine Sicht auf die Welt.
											Diese inakzeptable soziale Ungerechtigkeit
											trieb mich dazu an, nach einer Lösung
											für das Trinkwasserproblem
der Welt zu suchen.
											Ich wollte wissen, warum es 
diesen Kindern an Wasser fehlte,
											einem so lebenswichtigen Gut.
											Ich erfuhr, dass wir es
											mit einer globalen 
Wasserkrise zu tun haben.
									","
											Ancak, şunu fark ettim ki,
											buradaki herkes temiz suya
erişme konusunda
											bizim kadar şanslı değil.
											Büyükannemlerin evinin dışında,
Hindistan'ın kalabalık sokaklarında
											insanların, kavurucu güneşin altında
											çeşmeden su doldurmak için

											epey uzun bir kuyrukta beklediğini gördüm.
											Benimle aynı yaşta olan
											çocukların bile
											temiz plastik şişeleri
dere ve yol kenarlarındaki
											pis sudan doldurduklarını gördüm.
											Dokunamayacağım kadar kirli suyu
											içmek zorunda olan
											bu çocukları izlemek
											dünyaya bakış açımı değiştirdi.
											Bu kabul edilemez sosyal adaletsizlik,
											beni, dünyamızdaki temiz su problemi için
											bir çözüm bulmaya zorladı.
											Bu çocukların yaşam için
temel ihtiyaçları olan sudan,
											neden yoksun olduklarını öğrenmek istedim.
											Ve küresel temiz su kriziyle
											karşı karşıya olduğumuzu öğrendim.
									",A young scientist's quest for clean water,Deepika Kurup,7:59,"bacteria,chemistry,big problems,children,design,global issues,humanity,health,india,illness,innovation,invention,product design,motivation,public health,science,society,water,technology,solar energy"
"
","
","
","
","
","
",A young scientist's quest for clean water,Deepika Kurup,7:59,"bacteria,chemistry,big problems,children,design,global issues,humanity,health,india,illness,innovation,invention,product design,motivation,public health,science,society,water,technology,solar energy"
"
											Now, this may seem surprising,
											as 75 percent of our planet
is covered in water,
											but only 2.5 percent
of that is freshwater,
											and less than one percent
of Earth's freshwater supply
											is available for human consumption.
											With rising populations,
											industrial development
and economic growth,
											our demand for clean water is increasing,
											yet our freshwater resources
are rapidly depleting.
											According to the
World Health Organization,
											660 million people in our world
											lack access to a clean water source.
											Lack of access to clean water
is a leading cause of death
											in children under the age of five
in developing countries,
											and UNICEF estimates that 3,000 children
											die every day from
a water-related disease.
									","
											Isto pode parecer surpreendente,
											porque 75% do nosso planeta
está coberto de água,
											mas só 2,5% dela é água doce,
											e menos de 1% do abastecimento
de água doce da Terra
											está disponível para consumo humano.
											Com populações a aumentar,
											o desenvolvimento industrial
e o crescimento económico,
											a nossa procura de água limpa
está a aumentar,
											mas os nossos recursos de água doce
estão a esgotar-se rapidamente.
											Segundo a Organização
Mundial de Saúde,
											há 660 milhões de pessoas no mundo
											que não têm acesso a água potável.
											A falta de acesso a água potável
é uma causa importante de morte
											em crianças com menos de cinco anos
nos países em desenvolvimento.
											A UNICEF calcula que 3000 crianças
											morrem, por dia, por doenças
relacionadas com a água.
									","
											Esto puede parecer sorprendente,
											porque el 75 % de nuestro planeta 
está cubierto de agua,
											pero solo el 2,5 % es de agua dulce,
											y menos del 1 % del suministro 
de agua dulce de la Tierra
											está disponible para el consumo humano.
											Con el aumento de la población,
											el desarrollo industrial 
y el crecimiento económico,
											nuestra demanda de agua potable 
es cada vez mayor,
											sin embargo, nuestros recursos de agua 
dulce se están agotando rápidamente.
											De acuerdo con la 
Organización Mundial de la Salud,
											660 millones de personas en el mundo
											no tienen acceso a 
una fuente de agua limpia.
											La falta de acceso a agua limpia 
es una causa principal de muerte
											en niños menores de cinco años 
en países en vías de desarrollo,
											y UNICEF estima que 3000 niños
											mueren cada día por una enfermedad 
relacionada con el agua.
									","
											Cela peut sembler surprenant
											puisque 75% de notre planète
est couverte d'eau,
											mais seulement 2,5% dont de l'eau douce
											et moins de 1%
de l'eau douce sur Terre
											est accessible à la consommation humaine.
											Avec des populations grandissantes,
											le développement industriel
et la croissance économique,
											notre besoin en eau potable augmente,
											pourtant nos ressources en eau douce
s'épuisent rapidement.
											Selon l'Organisation Mondiale de la Santé,
											660 millions de personnes dans le monde
											n'ont pas accès
à une source d'eau potable.
											L'absence d'accès à de l'eau potable
est une cause de mortalité majeure
											chez les enfants de moins de 5 ans
dans les pays en développement
											et l'UNICEF estime que 3 000 enfants
											meurent chaque jour
d'une maladie liée à l'eau.
									","
											Das scheint vielleicht überraschend,
											da 75 % unseres Planeten
von Wasser bedeckt ist,
											aber nur 2,5 % davon ist Süßwasser,
											und weniger als ein Prozent 
des Süßwasservorrats der Erde
											steht den Menschen zur Verfügung.
											Mit einer wachsenden Bevölkerung,
											industrieller Entwicklung
und Wirtschaftswachstum
											steigt auch unser Bedarf 
an sauberem Wasser,
											doch unsere Süßwasserressourcen
sind schnell aufgebraucht.
											Laut der Weltgesundheitsorganisation
											haben 660 Millionen 
Menschen in unserer Welt
											keinen Zugang zu
einer sauberen Wasserquelle.
											Der fehlende Zugang zu sauberem 
Wasser ist eine häufige Todesursache
											bei Kindern unter fünf Jahren
in Entwicklungsländern,
											und UNICEF schätzt, 
dass täglich 3000 Kinder
											an einer durch Wasser
verursachten Krankheit sterben.
									","
											Bu durum, dünyamızın %75'i
											sularla kaplı olduğu için
şaşırtıcı görünebilir,
											ama bunun sadece %2'si
temiz sulardan oluşuyor
											ve bu temiz suların %1'den daha azı
											insanların tüketimi için uygun.
											Nüfusun artması,
											endüstriyel yapılanma
ve ekonomik gelişim;
											temiz suya olan ihtiyacımızı arttırıyor,
											ancak temiz su kaynaklarımız
hızla tükenmekte.
											Dünya Sağlık Örgütü'ne göre,
											Dünya'da 660 milyon insan
											temiz su kaynaklarına erişemiyor.
											Temiz su kaynaklarına erişememek,
gelişmekte olan ülkelerde
											beş yaşın altındaki çocukların
ölümüne neden olmakta
											ve UNICEF her gün yaklaşık
3.000 çocuğun
											su kaynaklı hastalıklardan
öldüğünü söylüyor.
									",A young scientist's quest for clean water,Deepika Kurup,7:59,"bacteria,chemistry,big problems,children,design,global issues,humanity,health,india,illness,innovation,invention,product design,motivation,public health,science,society,water,technology,solar energy"
"
","
","
","
","
","
",A young scientist's quest for clean water,Deepika Kurup,7:59,"bacteria,chemistry,big problems,children,design,global issues,humanity,health,india,illness,innovation,invention,product design,motivation,public health,science,society,water,technology,solar energy"
"
											So after returning home
one summer in eighth grade,
											I decided that I wanted
to combine my passion
											for solving the global water crisis
											with my interest in science.
											So I decided that the best thing to do
											would be to convert my garage
into a laboratory.
									","
											Portanto, quando voltei para casa,
um verão, no oitavo ano,
											decidi que queria
aliar a minha paixão
											por resolver a crise mundial de água
											com o meu interesse pela ciência.
											Decidi que a melhor coisa a fazer
											seria transformar a minha garagem
num laboratório.
									","
											Así que después de volver a casa 
un verano en el octavo grado,
											decidí que quería combinar mi pasión
											para resolver la crisis mundial del agua
											con mi interés por la ciencia.
											Así que decidí que lo mejor 
que podría hacer,
											sería convertir 
mi garaje en un laboratorio.
									","
											Après être rentrée à la maison,
un été quand j'étais en 4ème,
											j'ai décidé que je voulais
combiner ma passion
											pour la résolution de la crise de l'eau
											et mon intérêt pour la science.
											J'ai décidé que le mieux à faire
											était de convertir mon garage
en laboratoire.
									","
											Als ich in einem Sommer in der
achten Klasse nach Hause kam,
											beschloss ich, meine Leidenschaft dafür,
											die globale Wasserkrise zu lösen,
											mit meinem naturwissenschaftlichen 
Interesse zu kombinieren.
											Ich beschloss, das Beste wäre,
											meine Garage in ein Labor zu verwandeln.
									","
											Sekizinci sınıfın yaz tatilinden
eve döndüğümde
											bilime olan ilgimle

											küresel su krizininin
çözümüne yönelik tutkumu
											birleştirmeye karar verdim.
											Garajımın laboratuvara dönüştürülmesinin
											yapılacak en iyi şey 
olduğuna karar verdim.
									",A young scientist's quest for clean water,Deepika Kurup,7:59,"bacteria,chemistry,big problems,children,design,global issues,humanity,health,india,illness,innovation,invention,product design,motivation,public health,science,society,water,technology,solar energy"
"
","
","
","
","
","
",A young scientist's quest for clean water,Deepika Kurup,7:59,"bacteria,chemistry,big problems,children,design,global issues,humanity,health,india,illness,innovation,invention,product design,motivation,public health,science,society,water,technology,solar energy"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									","
											(Rires)
									","
											(Lachen)
									","
											(Gülüşmeler)
									",A young scientist's quest for clean water,Deepika Kurup,7:59,"bacteria,chemistry,big problems,children,design,global issues,humanity,health,india,illness,innovation,invention,product design,motivation,public health,science,society,water,technology,solar energy"
