fr,de,tr,title,speaker,duration,tags
"
","
","
",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
											Diana Reiss : Vous pourriez penser que 
vous êtes en train de regarder
											à travers une fenêtre un dauphin 
en train de tourner pour s'amuser,
											mais en réalité, 
ce que vous êtes en train de regarder
											est un dauphin à travers un miroir sans tain
											qui se regarde alors qu'il s'amuse à tourner.
											C'est un dauphin qui est conscient de lui-même.
											Ce dauphin a la conscience de soi.
											C'est un jeune dauphin nommé Bayley.
									","
											Diana Reiss: Sie glauben vielleicht, 
dass Sie durch ein Fenster
											einen Delphin sehen, 
der sich verspielt dreht,
											aber in Wirklichkeit sehen Sie durch ein
											Zwei-Wege-Spiegelglas einen Delphin an,
											der sich selbst beim Spielen zuschaut.
											Dieser Delphin ist sich 
seiner selbst bewusst.
											Dieser Delphin hat 
ein eigenes Selbstbewusstsein:
											Es ist ein junger Delphin namens Bayley.
									","
											Diana Reiss: Dönerek oynayan bir yunusa
											bir pencereden baktığınızı düşünebilirsiniz,
											ama aslında aynada dönerek oynayışını
											izleyen yunusa iki taraflı aynadan
											bakıyorsunuz.
											Bu kendini bilen bir yunus.
											Bu yunus kendinin farkında.
											Bayley adında genç bir yunus.
									",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
","
","
",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
											Je me suis beaucoup intéressée 
à la compréhension de la nature
											et à l'intelligence des dauphins 
depuis les 30 dernières années.
											Comment explorons-nous
l'intelligence chez ces animaux
											qui sont si différents de nous ?
											Ce que nous avons utilisé 
est un outil de recherche très simple,
											un miroir, et nous avons récolté 
beaucoup d'informations,
											comme le reflet des esprits des animaux.
											Les dauphins ne sont pas seulement des animaux, 
ce sont les seuls animaux non-humains,
											à montrer l'auto-reconnaissance
face à un miroir.
											Nous pensions que c'était une capacité unique
pour l'espèce humaine,
											mais nous avons appris que les grands singes,
nos parents les plus proches,
											montraient également cette capacité.
											Ensuite nous l'avons montré chez les dauphins,
											et plus tard chez les éléphants.
											Nous avons fait ce travail dans mon laboratoire 
avec les dauphins et les éléphants,
											et ça a été récemment montré chez la pie.
									","
											Seit 30 Jahren interessiere ich mich sehr
											für die Intelligenz von Delphinen.
											Wie untersuchen wir 
die Intelligenz dieser Tiere,
											die so anders ist als unsere?
											Dabei habe ich ein 
sehr simples Forschungstool benutzt,
											einen Spiegel; 
und wir erhielten viele Informationen,
											Spiegelbilder des Geistes dieser Tiere.
											Delphine sind nicht die einzigen 
nichtmenschlichen Tiere,
											die sich selbst im Spiegel erkennen.
											Früher dachten wir, das wäre eine
ausschließlich menschliche Eigenschaft,
											aber die Menschenaffen, 
unsere nächsten Verwandten,
											sind dazu auch fähig.
											Dann bewiesen wir es bei Delphinen,
											und dann bei Elefanten.
											Wir haben diese Arbeit in meinem Labor 
mit Delphinen und Elephanten gemacht
											und kürzlich auch bei Elstern 
diese Fähigkeit gefunden.
									","
											30 yıldır yunusların zekasının doğasını
											anlamaya çok ilgi duydum.
											Bizden çok farklı olan bu hayvandaki zekayı
											nasıl keşfederiz?
											Benim kullandığım çok basit bir araştırma aleti:
											Bir ayna. Bununla çok müthiş bilgiler
											ve bu hayvanın zekasının yansımalarını elde ettik.
											Yunuslar insana benzemediği halde aynada kendini tanıma özelliği gösteren
											tek hayvanlar değil.
											Bunun sadece insanlara has bir yetenek olduğunu düşünürdük,
											ama bize en fazla benzeyen hayvan olan büyük maymunların da
											bu yeteneğe sahip olduklarını gördük.
											Sonra yunuslarda ve
											fillerde de olduğunu gözlemledik.
											Bu gözlemleri benim laboratuvarımda yunuslar ve filler üzerinde yaptık
											ve geçenlerde bu özelliğin saksağan kuşunda da olduğu gözlemlendi.
									",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
","
","
",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
											Maintenant, c'est intéressant, 
parce que nous avons compris
											cet aspect darwinien dans l'évolution physique,
											cette continuité physique.
											Mais nous avons été bien plus réticents, plus lents
											face à la reconnaissance de cette continuité
en matière de cognition,
											d'émotion et de conscience
chez les autres animaux.
											Les autres animaux ont une conscience.
											Ils sont émotionnels. Ils sont conscients.
											Il y a eu de multitudes études 
avec de nombreuses espèces
											pendant des années qui nous ont fourni 
des preuves délicieuses
											de la pensée et de la conscience
chez les autres animaux,
											les autres animaux sont très différents de nous.
											Nous ne sommes pas seuls.
											Nous ne sommes pas seuls avec ces capacités.
											Et j'espère, l'un de mes plus grands rêves,
											est, qu'avec notre prise de conscience grandissante
											de la conscience des autres
											et notre relation avec le reste du monde animal,
											que nous leur donnerons le respect et la protection
											qu'ils méritent.
											C'est donc un souhait 
que je lance ici pour tout le monde,
											et j'espère que je peux vraiment 
vous impliquer dans cette idée.
									","
											Das ist interessant, denn wir sind
											Darwins Sicht bei der Kontinuität
in der physischen Evolution gefolgt
											dieser physischen Kontinuität.
											Aber wir waren viel 
zurückhaltender, langsamer
											die Kontinuität in der Wahrnehmung,
											in den Gefühlen, im Selbstbewusstsein
anderer Tiere anzuerkennen.
											Andere Tiere sind sich ihrer selbst bewusst.
											Sie haben Gefühle. 
Sie sind sich ihrer gewahr.
											Es gibt unzählige Studien 
mit vielen Spezies,
											die uns über die Jahre bewiesen haben,
											dass Denken und Selbstbewusstsein
bei anderen Tieren existiert,
											bei Tieren, die eine ganz 
andere Form haben als wir.
											Wir sind nicht allein.
											Wir sind nicht die einzigen 
mit diesen Fähigkeiten.
											Und mein größter Traum ist,
											dass mit unserer wachsenden Erkenntnis
											über das Bewusstsein von anderen
											und unserer Beziehung zur restlichen Tierwelt
											wir ihnen den Respekt 
und den Schutz geben werden,
											den sie verdienen.
											Diesen Wunsch möchte ich 
Ihnen allen mitgeben,
											und ich hoffe, 
Sie für diese Idee zu begeistern.
									","
											Şimdi, ilginçtir. Darwin'in fiziksel evrimin devamı
											fiziksel devamlılık görüşünü
											benimsiyoruz.
											Ama diğer hayvanlardaki bilişsel, duygusal ve
											bilinçsel devamlılığı tanımakta
											suskun ve çok yavaş kalıyoruz.
											Diğer hayvanlar bilinçli.
											Duygusal ve farkındalar.
											Senelerdir bir çok farklı tür üzerinde yapılan
											ve şekil olarak bizden çok farklı olan diğer hayvanlarda da
											düşünce ve bilinç olduğuna dair ciddi deliller sunan
											bir çok araştırma yapıldı.
											Yalnız değiliz.
											Bu yeteneklere sahip olan sadece biz değiliz.
											Umarım, en büyük hayallerimden biri de
											diğer varlıkların bilinçli olduğuna dair
											farkındalığımızın artmasıyla
											ve hayvanlar aleminin geri kalanıyla olan ilişkimiz vesilesiyle
											onlara hak ettikleri saygı ve himayeyi
											sağlayabileceğiz.
											Aslında bu herkesin onlar için dilemesini istediğim bir şey,
											ve inşallah hepiniz hakikaten bu fikrime katılırsınız.
									",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
","
","
",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
											Maintenant, je veux revenir aux dauphins,
											parce qu'avec ces animaux, j'ai l'impression
											d'avoir travaillé de façon 
très proche et personnelle avec eux
											pendant plus de 30 ans.
											Ce sont de vraies personnalités.
											Ce ne sont pas des personnes, 
mais ils ont leurs personnalités
											dans chaque sens du mot.
											Vous ne pouvez pas avoir
plus étranger que le dauphin.
											Ils sont très différents de nous
en matière de forme de corps.
											Ils sont radicalement différents. Ils viennent
d'un environnement radicalement différent.
											En fait, nous sommes séparés
par 95 millions d'années
											d'évolution divergente.
											Regardez ce corps.
											Dans tous les sens, pour faire un jeu de mots,
											ils sont vraiment extra-terrestres.
									","
											Kehren wir nun zu den Delphinen zurück,
											denn ich arbeite mit diesen Tieren
											persönlich und nah
											seit über 30 Jahren zusammen.
											Und sie sind richtige Persönlichkeiten.
											Sie sind keine Personen, 
sondern Persönlichkeiten,
											im wahrsten Sinne des Wortes.
											Fremdartiger als ein Delphin geht es kaum.
											Ihr Körper unterscheidet sich
grundlegend von unserem.
											Sie sind radikal anders. Sie kommen 
aus einem ganz anderen Umfeld.
											Tatsächlich trennen uns 95 Millionen Jahre
											unterschiedlicher Evolution.
											Schauen Sie sich diesen Körper an.
											Im wahrsten Sinne von Wortspielereien
											sind das wahre Außerirdische.
									","
											Şimdi yunuslara geri dönmek istiyorum.
											Çünkü bu hayvanlar için olan hissiyatım,
											30 seneden daha uzun bir süredir bu hayvanlarla
											kişisel olarak yakın çalışıyorum.
											Bunlar gerçek kişilikler.
											İnsan veya kişi değiller, ama kelimenin tam anlamıyla
											kişilikleri var.
											Tabi yunustan daha değişiğini de bulamazsınız.
											Vücut yapıları bizden çok farklı.
											Tamamen farklılar. Tamamen farklı bir çevreden geliyorlar.
											Aslında, 95 milyon yıllık ayrı evrim
											bizi ayırıyor.
											Şu vücuda bir bakın.
											Kelimenin tam manasıyla...
											bunlar karada yaşamak için yaratılmamışlar.
									",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
","
","
",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
"
											Je me demandais comment nous pourrions
interagir avec ces animaux.
											Dans les années 80, 
j'ai développé un clavier aquatique.
											C'était un clavier tactile sur mesure.
											Ce que je voulais faire, c'était donner 
aux dauphins le choix et le contrôle.
											Ils sont intelligents, 
des animaux très sociaux,
											et je pensais, eh bien, 
si nous leur donnons le choix et le contrôle,
											s'ils peuvent toucher un symbole sur ce clavier —
											et au fait, ils étaient reliés 
par des câbles en fibres optiques
											d'Hewlett-Packard avec un ordinateur Apple II.
											Ça semble préhistorique maintenant,
											mais c'était là où on en était avec la technologie.
											Donc les dauphins pouvaient 
taper sur une touche, un symbole,
											ils entendaient un sifflement
généré par un ordinateur,
											et ils obtenaient un objet ou une activité.
									","
											Ich fragte mich, wie wir 
diese Tiere erreichen könnten.
											In den 1980ern entwickelte ich 
ein Unterwasser-Keyboard.
											Es war eine Spezialanfertigung
eines Touch-Screen-Keyboards.
											Ich wollte den Delphinen 
Auswahl und Kontrolle ermöglichen.
											Sie sind sehr intelligente 
und hoch soziale Wesen,
											und wenn man ihnen die Option 
der Auswahl und Kontrolle gibt,
											wenn sie ein Symbol 
auf diesem Keyboard anstupsen können –
											übrigens wurde es 
über einen Glasfaseranschluss
											von Hewlett-Packard mit
einem Apple II Computer verbunden.
											Heute klingt das prähistorisch,
											aber das war der Technologiestand damals.
											Die Delphine konnten 
eine Taste drücken, ein Symbol,
											sie hörten ein computergeneriertes Pfeifen
											und sie bekamen ein Objekt
oder eine Aufgabe.
									","
											Bu hayvanlarla aradaki arabağı nasıl kurarız diye merak ediyordum.
											1980'lerde, bir su altı klavyesi geliştirdim.
											Bu el yapımı, dokunmatik ekranlı bir klavyeydi.
											Yapmaya çalıştığım şey yunuslara seçme ve kontrol imkanı sunmaktı.
											Bunlar büyük beyinli, bir hayli sosyal hayvanlardır.
											Ben de, eğer seçme ve kontrol imkanı versek
											klavyedeki bir sembole vurabilirler mi ki diye düşündüm.
											Bu arada, Apple II bilgisayar ve Hewlett-Packard fiber optik kablolarıyla...
											ara bağlantıları sağlanmıştı.
											Şimdi tarih öncesine ait gibi gözükebilir.
											Ama teknolojideki seviyemiz buydu.
											Yunuslar bir tuşa, bir sembole vurunca,
											bilgisayarın ürettiği bir ıslık sesi duydular.
											Bu onlara bir hedef veya etkinlik sağlıyordu.
									",The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",20:01,"Internet,animals,technology"
