fr,de,en,es,title,speaker,duration,tags
"
","
","
","
",Lessons from past presidents,Doris Kearns Goodwin,18:48,"entertainment,history,politics,sports,storytelling,work-life balance"
"
											Donc, vraiment, j'ai passé ma vie
											à examiner la vie de présidents qui ne sont plus de ce monde.
											A me lever le matin avec Abraham Lincoln,
											A penser à Franklin Roosevelt le soir en allant au lit.
											Mais quand j'essaye de penser à ce que j'ai appris
											au sujet du sens de la vie, je ne cesse de me remémorer
											un séminaire que j'ai suivi quand j'étais étudiante en maîtrise à Harvard
											par le grand psychologue Erik Erikson.
									","
											Also, tatsächlich, ich habe mein Leben damit verbracht,
											mich mit dem Leben von Präsidenten zu beschäftigen, die nicht mehr leben.
											Morgens mit Abraham Lincoln aufwachen,
											an Franklin Roosevelt denken, wenn ich abends ins Bett ging.
											Aber wenn ich versuche daran zu denken, was ich gelernt habe
											über die Bedeutung im Leben, denke ich immer wieder
											an ein Seminar, das ich während meiner Zeit als Harvard-Studentin belegt habe,
											mit dem großartigen Psychologen Erik Erikson.
									","
											So, indeed, I have spent my life
											looking into the lives of presidents who are no longer alive.
											Waking up with Abraham Lincoln in the morning,
											thinking of Franklin Roosevelt when I went to bed at night.
											But when I try and think about what I've learned
											about the meaning in life, my mind keeps wandering back
											to a seminar that I took when I was a graduate student at Harvard
											with the great psychologist Erik Erikson.
									","
											En efecto, he dedicado mi vida
											a investigar las vidas de los presidentes que ya no están vivos.
											Despertándome con Abraham Lincoln por la mañana,
											pensando en Franklin Roosevelt cuando me iba a dormir por la noche.
											Pero cuando intento pensar en lo que he aprendido
											sobre el sentido de la vida, mi mente sigue volviendo
											a un seminario en el que tomé parte cuando era una estudiante de postgrado en Harvard
											con el gran psicólogo Erik Erikson.
									",Lessons from past presidents,Doris Kearns Goodwin,18:48,"entertainment,history,politics,sports,storytelling,work-life balance"
"
","
","
","
",Lessons from past presidents,Doris Kearns Goodwin,18:48,"entertainment,history,politics,sports,storytelling,work-life balance"
"
											Il nous a enseigné que les vies les plus riches et les plus remplies
											tentent d'atteindre un équilibre interne entre trois domaines:
											le travail, l'amour et le jeu.
											Et que se livrer à un domaine au détriment d'un autre
											c'est s'ouvrir à une ultime tristesse dans la vieillesse.
											Alors que de se dédier aux trois domaines avec le même dévouement
											c'est rendre possible une vie remplie, non seulement de réussite,
											mais aussi de sérénité.
									","
											Er brachte uns bei, dass die erfülltesten Leben
											versuchen, einen inneren Ausgleich zwischen drei Bereichen zu finden:
											Arbeit, Liebe und Freizeit.
											Und dass man, wenn man einen Bereich verfolgt und die anderen zurückstellt,
											die Tür für ultimative Traurigkeit im Alter aufstößt.
											Wohingegen man, wenn man alle drei Bereiche mit gleicher Hingabe beachtet,
											sich ein Leben ermöglicht, dass nicht nur mit dem Erreichen von Zielen gefüllt ist,
											sondern auch mit Gelassenheit.
									","
											He taught us that the richest and fullest lives
											attempt to achieve an inner balance between three realms:
											work, love and play.
											And that to pursue one realm to the disregard of the other,
											is to open oneself to ultimate sadness in older age.
											Whereas to pursue all three with equal dedication,
											is to make possible a life filled not only with achievement,
											but with serenity.
									","
											Nos enseñó que las vidas más ricas y plenas
											intentan conseguir un equilibrio interior de tres factores:
											el trabajo, el amor y la diversión.
											Y que concentrarse en uno de los factores descuidando los otros
											es abrirse a una tristeza absoluta en el futuro.
											Mientras que intentar conseguir los tres con igual dedicación
											es hacer posible una vida llena, no sólo de grandes logros,
											sino también de serenidad.
									",Lessons from past presidents,Doris Kearns Goodwin,18:48,"entertainment,history,politics,sports,storytelling,work-life balance"
"
","
","
","
",Lessons from past presidents,Doris Kearns Goodwin,18:48,"entertainment,history,politics,sports,storytelling,work-life balance"
"
											Donc étant donné que je raconte des histoires, permettez-moi de faire une rétrospective
											de la vie de deux présidents que j'ai étudiées pour illustrer cette idée —
											Abraham Lincoln et Lyndon Johnson.
											Pour ce premier domaine de travail,
											je pense que la vie d'Abraham Lincoln nous laisse penser
											que l'ambition acharnée est une bonne chose.
											Il était extrêmement ambitieux.
											Mais son ambition ne visait pas seulement sa fonction, son pouvoir, sa célébrité ou sa gloire
											son ambition visait à accomplir quelque chose dans la vie qui valait suffisamment la peine
											pour qu'il puisse rendre le monde un peu meilleur en y ayant vécu.
									","
											Weil ich Geschichten erzähle, lassen Sie uns zurückschauen
											auf das Leben von zwei der Präsidenten, mit denen ich mich beschäftigt habe, um diesen Punkt zu verdeutlichen -
											Abraham Lincoln and Lyndon Johnson.
											In Bezug auf den ersten Bereich, Arbeit,
											verdeutlicht Abraham Lincolns Leben meiner Meinung nach,
											dass entschlossender Ehrgeiz eine gute Sache ist.
											Er hatte einen riesigen Ehrgeiz.
											Aber nicht danach, Amt oder Macht oder Berühmtheit oder Ruhm zu erlangen,
											sondern dafür, etwas Großes im Leben zu erreichen,
											sodass er die Welt dadurch, dass er ihn ihr gelebt hatte, zu einem etwas besseren Ort machen konnte.
									","
											So since I tell stories, let me look back
											on the lives of two of the presidents I've studied to illustrate this point —
											Abraham Lincoln and Lyndon Johnson.
											As for that first sphere of work,
											I think what Abraham Lincoln's life suggests
											is that fierce ambition is a good thing.
											He had a huge ambition.
											But it wasn't simply for office or power or celebrity or fame —
											what it was for was to accomplish something worthy enough in life
											so that he could make the world a little better place for his having lived in it.
									","
											Ya que cuento historias, permítanme mirar hacia atrás
											a la vida de dos de los presidentes que he estudiado para ilustrar este punto —
											Abraham Lincoln y Lyndon Johnson.
											Sobre la primera esfera, el trabajo,
											pienso que la vida de Abraham Lincoln sugiere
											que una intensa ambición es algo bueno.
											Él tenía una gran ambición
											pero no era simplemente por ser elegido o por el poder o por la celebridad o por la fama —
											la razón de su ambición era conseguir algo suficientemente valioso en la vida
											para que pudiera hacer del mundo un lugar mejor por el hecho de haber vivido en él.
									",Lessons from past presidents,Doris Kearns Goodwin,18:48,"entertainment,history,politics,sports,storytelling,work-life balance"
"
","
","
","
",Lessons from past presidents,Doris Kearns Goodwin,18:48,"entertainment,history,politics,sports,storytelling,work-life balance"
"
											Même enfant, il semblait que Lincoln faisait des rêves héroïques.
											D'une manière ou d'une autre, il devait fuir la ferme de dur labeur
											où il était né.
											Il n'avait pas la possibilité d'aller à l'école,
											excepté pour quelques semaines de temps à autres.
											Mais il lisait des livres dès qu'il trouvait du temps libre.
											On dit que quand il eut un exemplaire de la bible du roi James
											ou des fables d'Esope, il fut si excité qu'il ne dormit plus.
											Il était incapable de manger.
											La grande poètesse Emily Dickinson un jour dit
											""Aucune frégate ne peut nous amener dans des contrées lointaines aussi bien qu'un livre.""
											C'était si vrai pour Lincoln.
									","
											Sogar als Kind, scheint es, träumte Lincoln heroische Träume.
											Er musste irgendwie dem harten Farmleben entfliehen,
											in das er hineingeboren wurde.
											Er konnte nicht zur Schule gehen,
											außer für ein paar Wochen hier, ein paar Wochen dort.
											Aber er las in jedem freien Moment, den er hatte, Bücher.
											Als er eine Ausgabe der King-James-Bibel hatte, heißt es,
											oder von ""Äsops Fabeln"", dann war er so aufgeregt, dass er nicht schlafen konnte.
											Er konnte nicht mal essen.
											Die große Dichterin Emily Dickinson sagte einmal,
											""Kein Schiff trägt uns besser in eine andere Welt als ein Buch!""
											Wie wahr für Lincoln.
									","
											Even as a child, it seemed, Lincoln dreamed heroic dreams.
											He somehow had to escape that hard-scrabble farm
											from which he was born.
											No schooling was possible for him,
											except a few weeks here, a few weeks there.
											But he read books in every spare moment he could find.
											It was said when he got a copy of the King James Bible
											or ""Aesop's Fables,"" he was so excited he couldn't sleep.
											He couldn't eat.
											The great poet Emily Dickinson once said,
											""There is no frigate like a book to take us lands away.""
											How true for Lincoln.
									","
											Incluso de niño, aparentemente, Lincoln tuvo sueños heroicos.
											Tuvo que encontrar una manera de escapar de esa granja empobrecida
											donde nació.
											No tuvo posibilidad de ir al colegio,
											excepto algunas semanas aquí y allá.
											Pero leía libros en todo rato libre que podía encontrar.
											Se decía que cuando consiguió una copia de la biblia del Rey Jaime
											o de las ""Fábulas de Esopo"", la excitación le impedía dormir.
											No podía comer.
											La gran poetisa Emily Dickinson dijo una vez,
											""No hay fragata mejor que un libro para llevarnos a tierras lejanas.""
											Qué apropiado para Lincoln.
									",Lessons from past presidents,Doris Kearns Goodwin,18:48,"entertainment,history,politics,sports,storytelling,work-life balance"
"
","
","
","
",Lessons from past presidents,Doris Kearns Goodwin,18:48,"entertainment,history,politics,sports,storytelling,work-life balance"
"
											Bien qu'il ne voyagea jamais en Europe,
											il suivit les rois de Shakespeare dans la belle Angleterre,
											la poésie de Lord Byron l'amena en Espagne et au Portugal.
											La littérature lui permit d'aller au-delà son entourage.
											Mais il y eut tant de pertes au début de sa vie
											que la mort le hantait.
											Sa mère mourut quand il avait seulement neuf ans.
											Sa seule soeur, Sarah, mourut en couches quelques années plus tard.
											Et son premier amour, Ann Rutledge, à l'âge de 22ans.
											De plus, quand sa mère agonisait
											elle ne formula pas l'espoir
											de se rencontrer dans un autre monde.
											Elle lui dit simplement,
											""Abraham, à présent je te quitte, et je ne reviendrai jamais.""
											Le résultat fut qu'il était obsédé par l'idée
											qu'à notre mort, notre vie est emportée, de la poussière à la poussière.
									","
											Obwohl er nie nach Europa reisen konnte,
											begleitete er Shakespears Könige ins gute alte England
											und ging mit Lord Byrons Poesie nach Spanien und Portugal.
											Die Literatur erlaubte es ihm, die Grenzen seiner Umgebung zu überwinden.
											Aber er musste so viele Verluste in seinen frühen Jahren hinnehmen,
											dass der Tod ihn stets begleitete.
											Seine Mutter starb, als er erst neun Jahre alt war.
											Seine einzige Schwester Sarah einige Jahre später, als sie ein Kind gebar.
											Und seine erste Liebe, Ann Rutledge, im Alter von 22.
											Noch schlimmer, als seine Mutter im Sterben lag,
											machte sie ihm keine Hoffnungen,
											dass sie sich im Jenseits treffen würden.
											Sie sagte nur zu ihm:
											""Abraham, ich verlasse dich jetzt und werde nie zurückkehren.""
											Als Konsequenz daraus wurde er besessen von dem Gedanken,
											dass unser Leben weggewischt wird, wenn wir sterben - Staub zu Staub.
									","
											Though he never would travel to Europe,
											he went with Shakespeare's kings to merry England,
											he went with Lord Byron's poetry to Spain and Portugal.
											Literature allowed him to transcend his surroundings.
											But there were so many losses in his early life
											that he was haunted by death.
											His mother died when he was only nine years old;
											his only sister, Sarah, in childbirth a few years later;
											and his first love, Ann Rutledge, at the age of 22.
											Moreover, when his mother lay dying,
											she did not hold out for him the hope
											that they would meet in an afterworld.
											She simply said to him,
											""Abraham, I'm going away from you now, and I shall never return.""
											As a result he became obsessed with the thought
											that when we die our life is swept away — dust to dust.
									","
											Aunque nunca viajó a Europa,
											fue con los reyes de Shakespeare a la alegre Inglaterra,
											y viajó con la poesía de Lord Byron a España y Portugal.
											La literatura le permitió trascender sus alrededores.
											Pero sufrió tantas pérdidas tan temprano en su vida
											que se sentía perseguido por la muerte.
											Su madre murió cuando él tenía sólo nueve años.
											Su única hermana, Sarah, murió de parto unos años después.
											Y su primer amor, Ann Rutledge, a los 22 años.
											Además, cuando su madre yacía moribunda
											no le dio esperanzas
											de volver a encontrarse en el otro mundo.
											Simplemente le dijo:
											""Abraham, ahora me voy a ir lejos de ti, y nunca volveré.""
											Como resultado acabó obsesionado con la idea
											de que cuando morimos nuestra vida desaparece, polvo al polvo.
									",Lessons from past presidents,Doris Kearns Goodwin,18:48,"entertainment,history,politics,sports,storytelling,work-life balance"
