en,fr,pt,de,tr,title,speaker,duration,tags
"
","
","
","
","
",The science of hearing,Douglas L. Oliver,5:18,"science,TED-Ed,hearing,Senses"
"
											You hear the gentle lap of waves,
											the distant cawing of a seagull.
											But then an annoying whine
interrupts the peace,
											getting closer, and closer, and closer.
											Until...whack!
											You dispatch the offending mosquito, 
and calm is restored.
									","
											Tu entends le gentil mouvement des vagues,
											le cri lointain d'un goéland.
											Mais après, un bruit strident
interrompt le calme,
											s'approchant encore et encore et encore.
											Jusqu'à ce que... Clap!
											Tu t'es débarrassé du moustique
irritant et le calme est rétabli.
									","
											Ouvimos o suave marulhar das ondas,
											o grasnido distante duma gaivota.
											Mas depois, um zumbido irritante
interrompe a paz,
											aproximando-se cada vez mais
											até que... zás!
											damos cabo do mosquito agressivo
e repomos a calma.
									","
											Du hörst das sanfte Rauschen der Wellen,
											das weit entfernte Krächzen einer Seemöwe.
											Aber dann stört ein 
nerviges Summen die Ruhe,
											es kommt näher, und näher, und näher.
											Bis ... klatsch!
											Du erledigst die angreifende Mücke
und es kehrt wieder Ruhe ein.
									","
											Nazikçe çarpan dalga seslerini duyuyorsun,
											martıların uzaktan gelen
seslerini duyuyorsun.
											Fakat rahatsız edici bir vızıldama
bütün huzuru bozuyor,
											gitgide yaklaşıyor, yaklaşıyor, 
yaklaşıyor.
											Pat diye vurana kadar!
											Can sıkıcı sivrisineği öldürüyorsun
ve huzur geri geliyor.
									",The science of hearing,Douglas L. Oliver,5:18,"science,TED-Ed,hearing,Senses"
"
","
","
","
","
",The science of hearing,Douglas L. Oliver,5:18,"science,TED-Ed,hearing,Senses"
"
											How did you detect that noise from afar
and target its maker with such precision?
											The ability to recognize sounds 
and identify their location
											is possible thanks to the auditory system.
											That’s comprised of two main parts: 
the ear and the brain.
											The ear’s task is to convert sound energy
into neural signals;
											the brain’s is to receive and process 
the information those signals contain.
									","
											Comment as-tu pu détecter ce son au loin
											et comprendre qui le produisait
avec cette précision ?
											La capacité de reconnaître les sons
et d'identifier leur position
											est possible grâce au système auditif.
											Il est formé de deux parties principales :
l'oreille et le cerveau.
											Le rôle de l'oreille est de transformer
l'énergie sonore en signaux nerveux ;
											tandis que le cerveau reçoit et traite
les infos contenues dans ces signaux.
									","
											Como é que detetámos
aquele ruído longínquo
											e acertámos no alvo
com tanta precisão?
											É possível reconhecermos sons
e apercebermo-nos de onde vêm
											graças ao sistema auditivo.
											Este é formado por duas partes:
o ouvido e o cérebro.
											A tarefa do ouvido é transformar
a energia sonora em impulsos nervosos;
											a do cérebro é receber e processar
as informações que esses impulsos contêm.
									","
											Wie hast du das Geräusch
von weitem erkannt
											und den Verursacher
so genau ins Ziel genommen?
											Die Fähigkeit, Geräusche zu erkennen
und ihre Herkunft zu identifizieren,
											verdanken wir unserem Hörsystem.
											Das hat zwei Hauptbestandteile:
das Ohr und das Gehirn.
											Die Aufgabe des Ohrs ist es, Schallenergie
in neurale Signale zu verwandeln;
											die des Gehirns ist es, die Informationen
dieser Signale zu empfangen
											und zu verarbeiten.
									","
											Bu sesi uzak mesafeden nasıl fark ettin
ve sesi yapanı nasıl anladın?
											Sesleri fark etmek ve lokasyonunu bulmak
											işitme sistemi sayesinde mümkün olur.
											İki ana kısmı vardır: Kulak ve beyin.
											Kulağın görevi ses enerjisini
sinirsel sinyale dönüştürmektir;
											beynin görevi, sinyallerin içerdiği
bilgiyi almak ve işlemektir.
									",The science of hearing,Douglas L. Oliver,5:18,"science,TED-Ed,hearing,Senses"
"
","
","
","
","
",The science of hearing,Douglas L. Oliver,5:18,"science,TED-Ed,hearing,Senses"
"
											To understand how that works,
											we can follow a sound 
on its journey into the ear.
											The source of a sound creates vibrations
											that travel as waves of pressure 
through particles in air,
											liquids,
											or solids.
											But our inner ear, called the cochlea,
											is actually filled 
with saltwater-like fluids.
											So, the first problem to solve 
is how to convert those sound waves,
											wherever they’re coming from,
											into waves in the fluid.
											The solution is the eardrum, 
or tympanic membrane,
											and the tiny bones of the middle ear.
											Those convert the large movements 
of the eardrum
											into pressure waves 
in the fluid of the cochlea.
									","
											Pour comprendre comment ça marche,
											on peut suivre un son
dans son voyage vers l'oreille.
											La source d'un son produit des vibrations
											qui voyagent sous forme
d'ondes de pression
											à travers des particules dans l'air,
dans les liquides
											ou dans les solides.
											Mais l'oreille interne, appelée cochlée,
											est en réalité remplie de fluides salés.
											Le premier problème est de comprendre
comment transformer ces ondes sonores,
											peu importe d'où elles proviennent,
											en ondes dans le fluide.
											La solution est une membrane, le tympan,
											et les osselets de l'oreille moyenne.
											Ceux-ci transforment
les larges mouvements du tympan
											en ondes de pression
dans le fluide de la cochlée.
									","
											Para compreendermos como isso funciona,
											podemos acompanhar um som
no seu percurso pelo ouvido.
											A origem de um som cria vibrações
											que viajam, como ondas de pressão
através de partículas no ar,
											nos líquidos ou nos sólidos.
											Mas o nosso ouvido interno,
chamado a cóclea,
											está cheio de fluidos
do tipo de água salgada.
											O primeiro problema a resolver
é como transformar essas ondas sonoras,
											venham lá de onde vierem,
											em ondas no fluido.
											A solução é a membrana do tímpano
											e os ossículos do ouvido médio.
											Estes transformam
os grandes movimentos do tímpano
											em ondas de pressão
no fluido da cóclea.
									","
											Um zu verstehen wie das funktioniert,
											können wir einem Geräusch 
auf seiner Reise ins Ohr folgen.
											Die Quelle des Geräuschs
macht Vibrationen,
											die sich als Druckwellen
durch Partikel in der Luft,
											Flüssigkeiten oder Feststoffe verbreiten.
											Aber unser inneres Ohr, Cochlea genannt,
											ist eigentlich mit salzwasserähnlichen
Flüssigkeiten gefüllt.
											Das erste Problem ist also,
wie man diese Schallwellen,
											wo immer sie auch herkommen,
											in Wellen in der Flüssigkeit umwandelt.
											Die Lösung ist das Trommelfell,
auch Myrinx genannt,
											und die winzigen Knochen des Mittelohrs.
											Diese wandeln die großen
Bewegungen des Trommelfells
											in Druckwellen in der
Flüssigkeit der Cochlea um.
									","
											Nasıl çalıştığını anlamak için,
											sesin kulağa olan yolculuğunu
takip edebiliriz.
											Bir sesin kaynağı, havadaki, sıvılardaki
											veya katı parçacıklardaki
basınç dalgaları olarak
											hareket eden
											titreşimleri yaratır.
											Fakat koklea denen iç kulağımız
											aslında tuzlu suya benzer
sıvılar ile doludur.
											Yani, çözülmesi gereken ilk problem,
ses dalgalarını
											nereden gelirlerse gelsinler,
											sıvıdaki dalgalara dönüştürmektir.
											Çözüm kulak zarı veya timpanik membran
											ve orta kulağın minik kemikleridir.
											Bunlar kulak zarının büyük hareketlerini
											koklea sıvısındaki
basınç dalgalarına dönüştürür.
									",The science of hearing,Douglas L. Oliver,5:18,"science,TED-Ed,hearing,Senses"
"
","
","
","
","
",The science of hearing,Douglas L. Oliver,5:18,"science,TED-Ed,hearing,Senses"
"
											When sound enters the ear canal,
											it hits the eardrum and makes it vibrate 
like the head of a drum.
											The vibrating eardrum jerks a bone 
called the hammer,
											which hits the anvil and
moves the third bone called the stapes.
											Its motion pushes the fluid 
within the long chambers of the cochlea.
											Once there,
											the sound vibrations have finally
been converted into vibrations of a fluid,
											and they travel like a wave 
from one end of the cochlea to the other.
											A surface called the basilar membrane 
runs the length of the cochlea.
											It’s lined with hair cells that have 
specialized components
											called stereocilia,
											which move with the vibrations of the
cochlear fluid and the basilar membrane.
											This movement triggers a signal 
that travels through the hair cell,
											into the auditory nerve,
											then onward to the brain, 
which interprets it as a specific sound.
									","
											Quand le son entre
dans le conduit auditif,
											il frappe le tympan et le fait vibrer
comme une peau de tambour.
											Le tympan vibrant tape un osselet
appelé marteau,
											qui frappe l'enclume et fait bouger
le troisième osselet appelé étrier.
											Ce mouvement pousse le fluide
dans les cavités de la cochlée.
											Une fois là,
											les vibrations sonores ont finalement été
transformées en vibrations d'un fluide,
											et elles voyagent sous forme d'onde
d'une extrémité à l'autre de la cochlée.
											Une surface appelée membrane basilaire
recouvre la longueur de la cochlée.
											Elle est revêtue de cellules ciliées
qui ont des composants spécialisés
											appelés stéréocils,
											qui bougent avec les vibrations du fluide
cochléaire et de la membrane basilaire.
											Ce mouvement déclenche un signal
qui voyage à travers les cellules ciliées,
											vers le nerf auditif,
											et puis vers le cerveau, qui l'interprète
comme un son spécifique.
									","
											Quando o som entra no canal auditivo,
											bate no tímpano e põe-no a vibrar
como a pele de um tambor.
											O tímpano em vibração sacode
um osso, chamado martelo
											que vai atingir a bigorna e faz mover
o terceiro osso, chamado estribo.
											Este movimento empurra o fluido
dentro das compridas câmaras da cóclea.
											Uma vez ali,
											as vibrações sonoras transformaram-se
finalmente em vibrações de um fluido,
											e viajam como uma onda
de um lado da cóclea até ao outro.
											A todo o comprimento da cóclea
há uma superfície chamada membrana basilar
											forrada de células ciliadas
que têm componentes especializados
											chamados estereocílios
											que se movem com as vibrações
do fluido coclear e da membrana basilar.
											Este movimento desencadeia um sinal
que percorre a célula ciliosa
											até chegar ao nervo auditivo
											e depois até ao cérebro
que o interpreta como um som específico.
									","
											Wenn Schall in unseren Gehörgang eintritt,
											trifft er auf das Trommelfell,
sodass es wie eine Trommel vibriert.
											Das vibrierende Trommelfell stößt
gegen einen Knochen, genannt Hammer,
											der auf den Amboss schlägt
und den dritten Knochen bewegt,
											genannt Steigbügel.
											Seine Bewegung drückt die Flüssigkeit
innerhalb der langen Kammern der Cochlea.
											Dort angelangt,
											werden die Schallvibrationen endlich
zu Vibrationen der Flüssigkeit,
											und bewegen sich wie eine Welle
											von einem Ende der Cochlea
zum anderen fort.
											Eine Oberfläche, Basilarmembran genannt, 
erstreckt sich entlang der Cochlea.
											Sie ist gesäumt von Haarzellen
mit speziellen Bauteilen,
											genannt Stereozilien,
											die sich mit den Vibrationen
der Cochleaflüssigkeit
											und der Basilarmembran bewegen.
											Diese Bewegung erzeugt ein Signal,
											das durch die Haarzelle in den Hörnerv
und dann zum Gehirn wandert,
											wo es als bestimmtes Geräusch
interpretiert wird.
									","
											Ses kulak kanalına girdiğinde
											kulak zarına çarpar 
ve davulun üstü gibi titreşir.
											Titreşimli kulak zarı, çekiç adı verilen,
örseye çarpan kemiği titreştirir
											ve üzengi adı verilen
üçüncü kemiği hareket ettirir.
											Hareketi, sıvıyı kokleanın
uzun odacıklarına iter.
											Bir kez oraya ulaşınca,
											ses titreşimleri en sonunda
bir sıvının titreşimlerine dönüşür
											ve kokleanın bir ucundan diğerine
bir dalga gibi hareket ederler.
											Bazilar membran denilen bir yüzey,
koklea uzunluğunu yönetir.
											Koklear sıvının ve bazilar membranın
titreşimleriyle hareket eden,
											stereosilya adı verilen
											özel bileşenlere sahip
saç hücreleri ile kaplıdır.
											Bu hareket saç hücresinden,
işitsel sinire,
											daha sonra beyine doğru giden
											ve onu belirli bir ses olarak
yorumlayan bir sinyali tetikler.
									",The science of hearing,Douglas L. Oliver,5:18,"science,TED-Ed,hearing,Senses"
"
","
","
","
","
",The science of hearing,Douglas L. Oliver,5:18,"science,TED-Ed,hearing,Senses"
"
											When a sound makes 
the basilar membrane vibrate,
											not every hair cell moves -
											only selected ones, 
depending on the frequency of the sound.
											This comes down to some fine engineering.
											At one end, 
the basilar membrane is stiff,
											vibrating only in response to short
wavelength, high-frequency sounds.
											The other is more flexible,
											vibrating only in the presence of longer
wavelength, low-frequency sounds.
											So, the noises made by the seagull 
and mosquito
											vibrate different locations 
on the basilar membrane,
											like playing different keys on a piano.
									","
											Lorsqu'un son fait vibrer
la membrane basilaire,
											pas toutes les cellules ciliées bougent,
											seulement celles sélectionnées,
selon la fréquence du son.
											C'est un bel exemple d'ingénierie.
											D'un côté, la membrane
basilaire est rigide,
											et elle vibre juste en réponse
à des sons à longueur d'onde courte
											et à haute fréquence.
											L'autre est plus flexible
											et vibre juste en présence de sons
à basse longueur d'onde et fréquence.
											Les sons faits par le goéland
et le moustique
											font vibrer de zone différentes
sur la membrane basilaire,
											comme si on jouait
de différentes touches sur un piano.
									","
											Quando um som põe
a membrana basilar a vibrar,
											nem todas as células ciliosas
se movimentam,
											apenas as selecionadas,
consoante a frequência do som.
											Isto revela uma engenharia sofisticada.
											Numa das extremidades,
a membrana basilar é rígida,
											vibrando apenas em reação a sons
de ondas curtas, de alta frequência.
											Na outra, é mais flexível,
											vibrando apenas na presença
de ondas mais compridas,
											de sons de baixa frequência.
											Assim, os ruídos feitos
pelas gaivotas e pelos mosquitos
											fazem vibrar locais diferentes
na membrana basilar,
											como se tocassem
diferentes teclas num piano.
									","
											Wenn ein Geräusch die
Basilarmembran vibrieren lässt,
											bewegt sich nicht jede Haarzelle —
											nur ausgewählte Zellen,
abhängig von der Geräuschfrequenz.
											Das hat mit der Feinkonstruktion
der Membran zu tun.
											An einem Ende ist die Basilarmembran steif
											und vibriert nur bei Geräuschen
mit kurzer Wellenlänge und hoher Frequenz.
											Das andere Ende ist flexibler
											und vibriert nur bei Geräuschen mit
langer Wellenlänge und niedriger Frequenz.
											Die Geräusche der Seemöwe und der Mücke
											lassen also verschiedene Stellen
der Basilarmembran vibrieren,
											wie wenn man verschiedene Tasten
auf einem Klavier spielt.
									","
											Bir ses, bazilar membranı
titreştirdiğinde,
											her bir saç hücresi hareket etmez -
											sesin frekansına bağlı olarak yalnızca
seçilmiş olanlar dışında.
											Bu iyi bir mühendislik demek.
											Bir ucunda, bazilar membran serttir,
											sadece kısa dalga boyuna, yüksek
frekanslı seslere tepki olarak titreşir.
											Diğer ucu ise daha esnektir
											ve sadece daha uzun dalga boylu, düşük
frekanslı seslerin varlığında titreşir.
											Bu nedenle, martı ve sivrisinek
tarafından yapılan sesler,
											bazilar membrandaki
farklı yerleri titreştirir,
											bir piyanoda farklı tuşlar çalmak gibi.
									",The science of hearing,Douglas L. Oliver,5:18,"science,TED-Ed,hearing,Senses"
