es,pt,tr,fr,de,title,speaker,duration,tags
"
","
","
","
","
",Animations of unseeable biology,Drew Berry,9:08,"TEDx,biology,science,visualizations,molecular biology,biotech,genetics,science and art,computers,programming,sustainability,DNA"
"
											Lo que les voy a mostrar
											son las sorprendentes máquinas moleculares
											que crean el tejido vivo de su cuerpo.
											Ahora, las moléculas son muy, muy diminutas.
											Y con diminutas,
											quiero decir muy diminutas.
											Son más pequeñas que la longitud de onda de la luz,
											así que no hay forma de observarlas directamente.
											Pero gracias a la ciencia tenemos una idea bastante buena
											de lo que ocurre a escala molecular.
											Lo que podemos hacer es hablarles acerca de las moléculas,
											pero realmente no tenemos una manera directa de mostrárselas.
									","
											O que vos vou mostrar
											são as espantosas máquinas moleculares
											que criam o tecido vivo
que é o nosso corpo.
											As moléculas são mesmo pequenas.
											Quando digo pequenas,
quero dizer mesmo minúsculas.
											São mais pequenas
que o comprimento de onda da luz,
											e assim não temos forma
de as observar diretamente.
											Mas através da ciência,
temos uma boa ideia
											do que se passa a nível molecular.
											Assim o que podemos fazer
é falar-vos das moléculas,
											mesmo não tendo nenhuma maneira
de as mostrar diretamente.
									","
											Sizlere...
											vücudunuzun yaşayan kumaşını oluşturan
											şaşırtıcı moleküler makineler göstereceğim.
											Moleküller gerçekten ama gerçekten çok küçüktür.
											Ve küçük derken,
											çok ciddiyim.
											Işığın bir dalgaboyundan daha küçükler,
											bu yüzden onları direkt olarak gözlemleyemiyoruz.
											Ancak bilim sayesinde, moleküler düzeyde ne olduğu hakkında
											oldukça iyi bir fikrimiz var.
											Yani, bizim aslında yapabileceğimiz size molekülleri anlatmak,
											ama molekülleri gerçekten, doğrudan size gösterebilmemiz mümkün değil.
									","
											Ce que je vais vous montrer
											ce sont les étonnantes machines moléculaires
											qui créent le tissu vivant de votre corps.
											Les molécules sont vraiment minuscules.
											Et par minuscules
											je veux dire vraiment minuscules.
											Elles sont plus petites que la longueur d’onde de la lumière,
											il n’y a donc pas moyen de les observer directement.
											Mais grâce à la science, nous avons une idée
											de ce qui se passe au niveau moléculaire.
											Ce que nous pouvons donc faire c’est vous raconter les molécules,
											mais il n’y a pas moyen de vous montrer directement les molécules.
									","
											Ich möchte Ihnen die erstaunlichen
											molekularen Maschinen zeigen,
											die jede lebende Faser Ihres Körpers ausmachen.
											Moleküle sind wirklich sehr, sehr klein.
											Und mit klein,
											da meine ich,
											dass sie kleiner als die Wellenlänge des Lichts sind,
											so dass wir sie nicht direkt beobachten können.
											Die Wissenschaft gibt uns eine ziemlich gute Vorstellung,
											was auf molekularer Ebene passiert.
											Wir können Ihnen also von den Molekülen erzählen,
											aber wir haben keine Möglichkeiten, Ihnen diese direkt zu zeigen.
									",Animations of unseeable biology,Drew Berry,9:08,"TEDx,biology,science,visualizations,molecular biology,biotech,genetics,science and art,computers,programming,sustainability,DNA"
"
","
","
","
","
",Animations of unseeable biology,Drew Berry,9:08,"TEDx,biology,science,visualizations,molecular biology,biotech,genetics,science and art,computers,programming,sustainability,DNA"
"
											Un modo de resolver el problema es haciendo dibujos.
											Esta idea no es nada nueva.
											Los científicos siempre han creado imágenes
											como parte de su pensamiento y proceso de descubrimiento.
											Dibujan lo que están observando con sus propios ojos
											usando tecnologías como telescopios y microscopios,
											y también lo que les pasa por la mente.
											Escogí dos ejemplos famosos
											porque expresan la ciencia a través del arte.
									","
											Uma forma de fazer isto
é desenhando imagens.
											Esta ideia não é nova.
											Os cientistas sempre criaram imagens
											como parte do seu processo
de pensamento e descoberta.
											Desenham imagens daquilo
que observam com os olhos,
											através da tecnologia
como os telescópios e microscópios,
											e ainda sobre aquilo que pensam.
											Escolhi dois exemplos muito conhecidos
											porque eles são muito conhecidos
por exprimirem ciência através da arte.
									","
											Bu sorunu aşmanın bir yolu resim çizmek.
											Ve bu fikir aslında yeni değil.
											Bilim insanları her zaman düşünme ve keşfetme süreçlerinin
											bir parçası olarak resimler oluşturdular.
											Onlar resimlerinde, teleskop ve mikroskop gibi
											teknolojiler kullanarak gördüklerini
											ve gördükleri hakkında düşündüklerini çizerler.
											Sanat yoluyla bilimi ifade etmek için,
											çok iyi bilinen iki örnek seçtim.
									","
											Une façon de résoudre le problème est de dessiner.
											Cette idée n’est pas nouvelle.
											Les scientifiques ont toujours créé des images
											selon leur pensée et leur parcours de découvertes.
											Ils dessinent ce qu’ils observent avec les yeux,
											avec les technologies comme les télescopes et les microscopes,
											et également ce qu’ils pensent et leur vient à l’esprit.
											J’ai pris deux exemples célèbres,
											parce qu’ils expriment la science à travers l’art.
									","
											Eine Herangehensweise wäre, ein Bild zu zeichnen.
											Und diese Idee ist in Wirklichkeit nichts neues.
											Wissenschaftler haben immer Bilder eingesetzt,
											um ihren Denk- und Entdeckungsprozess zu unterstützen.
											Sie haben Bilder davon gemacht, was sie mit Ihren Augen
											durch Apparate wie Teleskope und Mikroskope beobachteten,
											und außerdem über die Dinge, über die sie nachdachten.
											Ich habe zwei bekannte Beispiele herausgesucht,
											weil diese für den Ausdruck von Wissenschaft mithilfe der Kunst bekannt sind.
									",Animations of unseeable biology,Drew Berry,9:08,"TEDx,biology,science,visualizations,molecular biology,biotech,genetics,science and art,computers,programming,sustainability,DNA"
"
","
","
","
","
",Animations of unseeable biology,Drew Berry,9:08,"TEDx,biology,science,visualizations,molecular biology,biotech,genetics,science and art,computers,programming,sustainability,DNA"
"
											Y empiezo con Galileo
											que utilizó el primer telescopio del mundo
											para observar la Luna.
											Él transformó nuestra comprensión de la Luna.
											La percepción en el siglo XVII
											era que se trataba de una esfera celeste perfecta.
											Pero lo que Galileo vio fue un mundo rocoso y árido
											que expresó a través de su pintura a la acuarela.
									","
											E começo com Galileu
											que usou o primeiro telescópio
no mundo para observar a lua.
											E assim transformou
o nosso conhecimento da lua.
											A perceção no século XVII
											era que a lua era
uma esfera celestial perfeita.
											Mas o que Galileu viu,
foi um mundo árido e rochoso
											que ele retratou através
das suas pinturas a aguarelas.
									","
											Ay'a bakmak için
											dünyanın ilk teleskopunu kullanan
											ve ay hakkında bildiklerimizi değiştiren
											Galileo ile başlıyorum.
											17. yüzyıl anlayışında
											Ay, kusursuz kutsal bir küre idi.
											Ama Galileo'nun gördüğü, suluboya resminde de
											gösterdiği gibi kayalık ve ıssız bir dünya idi.
									","
											Et je commence avec Galileo
											qui a utilisé le premier télescope au monde
											pour observer la Lune.
											Il a transformé notre connaissance de la Lune.
											Au 17° siècle, on voyait la lune
											comme une sphère céleste parfaite.
											Mais ce que Galileo a vu c’est un monde aride et rocheux
											qu’il a exprimé à travers ses aquarelles.
									","
											Und ich möchte mit Galileo beginnen,
											der das erste Teleskop der Welt benutzte,
											um den Mond anzusehen.
											Und er hat unser Verständnis des Mondes verändert.
											Die Wahrnehmung im 17. Jahrhundert
											war, dass der Mond eine perfekte Himmelssphäre darstellte.
											Aber Galileo sah eine steinige, kahle Welt,
											welche er durch ein Aquarellgemälde abbildete.
									",Animations of unseeable biology,Drew Berry,9:08,"TEDx,biology,science,visualizations,molecular biology,biotech,genetics,science and art,computers,programming,sustainability,DNA"
"
","
","
","
","
",Animations of unseeable biology,Drew Berry,9:08,"TEDx,biology,science,visualizations,molecular biology,biotech,genetics,science and art,computers,programming,sustainability,DNA"
"
											Otro científico con grandes ideas,
											la superestrella de la biología, es Charles Darwin.
											Y con esta famosa nota en su cuaderno
											comienza en la parte superior izquierda con: ""Yo pienso"",
											y luego traza el primer árbol de la vida,
											que es su percepción
											sobre cómo todas las especies, todos los seres vivos de la Tierra,
											están relacionadas a través de la historia evolutiva;
											el origen de las especies mediante la selección natural
											y su divergencia de una población ancestral.
									","
											Outro cientista com grandes ideias,
											a superestrela da biologia,
foi Charles Darwin.
											Com o famoso começo do seu bloco-notas,
											ele começa no canto superior esquerdo
com ""Eu penso"".
											Depois desenhou a primeira árvore da vida,
											que era a sua perceção
de como todas as espécies,
											todos os seres vivos na Terra,
estão ligados na história da evolução,
											a origem das espécies
através da seleção natural
											e a divergência a partir
de uma população ancestral.
									","
											Büyük fikirlere sahip bir başka bilim-insanı
											biyolojinin süperstarı, Charles Darwin.
											Ve not defterindeki bu ünlü kayıt ile,
											sol üst köşeye ""Bence,"" yazarak başlıyor
											ve ardından, dünya üzerinde yaşayan herşeyin,
											bir ata topluluktan farklılaşması
											ve doğal seçillimi sayesinde türlerin kökeninin
											evrimsel tarih ile bağlantısı olduğu düşüncesinin
											nasıl oluştuğunu gösteren
											ilk yaşam ağacı taslağını çiziyor.
									","
											Un autre scientifique avec de grandes idées,
											la vedette de la biologie, c’est Charles Darwin.
											Et avec sa célèbre note sur son carnet,
											il a commencé en haut à gauche avec, « Je pense, »
											et ensuite il ébauche le premier arbre de la vie,
											qui est l’idée qu’il se fait
											de comment les espèces qui vivent su Terre,
											sont liées à travers l’évolution historique —
											l’origine des espèces à travers la sélection naturelle
											et les différences avec une population ancestrale.
									","
											Ein anderer Wissenschaftler mit bahnbrechenden Ideen,
											der Superstar der Biologie, war Charles Darwin.
											Und mit diesem berühmten Eintrag in sein Notizbuch
											beginnt er in der linken oberen Ecke mit, ""Ich denke""
											und skizziert dann den ersten Lebensbaum,
											der seine Wahrnehmung ist
											wie alle Spezies, alle lebenden Dinge auf der Erde
											durch die Evolution miteinander verbunden –
											die Entstehung der Spezies durch natürliche Auslese
											und Divergenz zu der Ahnenpopulation.
									",Animations of unseeable biology,Drew Berry,9:08,"TEDx,biology,science,visualizations,molecular biology,biotech,genetics,science and art,computers,programming,sustainability,DNA"
"
","
","
","
","
",Animations of unseeable biology,Drew Berry,9:08,"TEDx,biology,science,visualizations,molecular biology,biotech,genetics,science and art,computers,programming,sustainability,DNA"
"
											A pesar de ser un científico,
											asistía a conferencias de biólogos moleculares
											y me parecían totalmente incomprensibles,
											con todo el lenguaje técnico sofisticado y jerga
											que usaban para describir su trabajo,
											hasta que encontré las obras de David Goodsell,
											un biólogo molecular del Scripps Institute.
											En sus cuadros
											todo es exacto y a escala.
											Su trabajo me aclaró
											cómo es el mundo molecular dentro de nosotros.
									","
											Apesar de cientista,
											eu costumava ir a seminários
de biólogos moleculares
											e achá-los totalmente incompreensíveis,
											com toda a pomposa
linguagem técnica e jargão
											que eles usavam
para descrever o seu trabalho,
											até encontrar os trabalhos artísticos
de David Goodsell,
											que é um biólogo molecular
no Instituto Scripps.
											As suas imagens
— tudo é rigoroso e à escala.
											E o seu trabalho revelou-me
											o aspeto do mundo molecular dentro de nós.
									","
											Bir bilim-insanı olmama rağmen,
											moleküler biologların konferanslarına gittiğimde,
											çalışmalarını anlatmak için kullandıkları
											süslü teknik ve mesleki dilleri yüzünden
											onları tamamen anlaşılmaz bulurdum,
											ta ki Scripps Enstitüsü'nde bir moleküler biolog olan
											David Goodsell'in sanat eserleri ile karşılaşana dek.
											Onun resimlerinde
											herşey olması gereken boyutta ve tutarlıydı.
											Benim için, onun çalışmaları
											içimizdeki moleküler dünyayı ışıklandırdı.
									","
											Même en tant que scientifique,
											j’assistais à des conférences de biologistes moléculaires
											et je les trouvais complètement incompréhensibles
											avec tout ce langage technique sophistiqué et ce jargon
											qu’ils utilisaient pour décrire leur travail,
											jusqu’à ce que je tombe sur les œuvres de David Goodsell,
											qui est biologiste moléculaire au Scripps Instistute.
											Et dans ses images,
											tout est précis et à l’échelle.
											Et son travail a éclairé pour moi
											ce qu’est le monde moléculaire en nous.
									","
											Selbst als Wissenschaftler
											ging ich zu Vorlesungen von Molekularbiologen
											und fand diese absolut unverständlich,
											mit der ganzen technischen Sprache und dem Jargon,
											mit dem sie ihre Arbeit beschreiben,
											jedenfalls, bis ich die Kunst von David Goodsell entdeckte,
											der ein Molekularbiologe am Scripps-Institut ist.
											In seinen Bildern
											ist alles akkurat und alles maßstabsgerecht
											und seine Arbeit machte mir klar,
											wie die molekulare Welt in uns aussieht.
									",Animations of unseeable biology,Drew Berry,9:08,"TEDx,biology,science,visualizations,molecular biology,biotech,genetics,science and art,computers,programming,sustainability,DNA"
