en,pt,es,tr,de,title,speaker,duration,tags
"
","
","
","
","
",The dangerous evolution of HIV,Edsel Salvaña,4:44,"TED Fellows,science,medical research,virus,HIV"
"
											The Philippines: an idyllic country
											with some of the clearest water
and bluest skies on the planet.
											It is also the epicenter
											of one of the fastest-growing
HIV epidemics in the world.
											On the surface, it seems
as if we are just a late bloomer.
											However, the reasons
for our current epidemic
											are much more complicated
											and may foreshadow
a global resurgence of HIV.
									","
											As Filipinas: um país idílico
											com as águas mais transparentes
e os céus mais azuis do planeta.
											Também é o epicentro
											de uma das epidemias de VIH
de crescimento mais rápido do mundo.
											À primeira vista, parece que
estamos apenas num pico tardio
											mas as razões para a atual epidemia
											são muito mais complicadas
											e podem prenunciar
o reaparecimento global do VIH.
									","
											Filipinas: un país idílico
											con las aguas más cristalinas
y los cielos más azules del planeta.
											Pero también el epicentro
											de una de las epidemias de VIH 
de más rápida propagación en el mundo.
											A primera vista, parecería simplemente
un desarrollo tardío.
											Pero las razones de la actual epidemia
											son bastante más complicadas
											y pueden ser el presagio de un nuevo
brote de VIH a nivel mundial.
									","
											Filipinler: cennet gibi bir ülke.
											Gezegendeki en berrak sulara 
ve en mavi gökyüzüne sahip.
											Ayrıca dünyada en hızlı yayılan
											HIV salgınlarının merkezlerinden biri.
											İlk bakışta sadece geç başlamışız 
gibi görünüyor
											ama şu anki salgının nedeni
											çok daha karmaşık
											ve küresel bir HIV salgınının
habercisi olabilir.
									","
											Die Philippinen sind ein idyllisches Land
											mit einigen der klarsten Gewässer
und blauesten Himmel dieses Planeten.
											Sie sind auch das Epizentrum
											einer der am schnellsten wachsenden
HIV-Epidemien der Welt.
											Oberflächlich scheint es,
als wären wir nur ein Spätzünder.
											Aber die Gründe
für unsere momentane Epidemie
											sind um einiges komplizierter
											und deuten vielleicht
einen globalen Wiederanstieg von HIV an.
									",The dangerous evolution of HIV,Edsel Salvaña,4:44,"TED Fellows,science,medical research,virus,HIV"
"
","
","
","
","
",The dangerous evolution of HIV,Edsel Salvaña,4:44,"TED Fellows,science,medical research,virus,HIV"
"
											While overall new cases of HIV
continue to drop in the world,
											this trend may be short-lived
											when the next wave of more aggressive
and resistant viruses arrive.
											HIV has a potential to transform itself
into a new and different virus
											every time it infects a cell.
											Despite the remarkable progress
we've made in reversing the epidemic,
											the truth is that we are just a few
viral mutations away from disaster.
									","
											Embora, genericamente, os novos casos
de VIH continuem a baixar a nível mundial,
											esta tendência pode ser
de curta duração
											quando chegar a próxima vaga
de vírus mais agressivos e resistentes.
											O VIH tem o potencial de se transformar
num vírus novo e diferente
											sempre que infeta uma célula.
											Apesar dos notáveis progressos
feitos em fazer regredir a epidemia,
											a verdade é que faltam poucas
mutações virais para o desastre.
									","
											Si bien los nuevos casos de VIH
siguen disminuyendo en el mundo,
											esta tendencia podría durar poco tiempo,
											hasta que llegue la próxima ola
de virus más agresivos y resistentes.
											El VIH tiene el potencial de transformarse
en un virus nuevo y diferente
											cada vez que infecta una célula.
											A pesar del enorme progreso 
logrado en revertir la epidemia,
											lo cierto es que estamos a 
unas pocas mutaciones virales
											para que ocurra un desastre.
									","
											Dünyada yeni HIV vakaları
azalmaya devam etse de
											daha agresif ve dirençli bir virüs 
dalgası geldiğinde
											bu eğilimin fazla sürmeyebilir.
											Ne zaman bir hücreyi enfekte etse
											HIV'in kendini yeni ve farklı bir 
virüse dönüştürme potansiyeli var.
											Salgını tersine çevirmekteki 
olağanüstü ilerlemelerimize rağmen,
											gerçek şu ki bir faciaya 
sadece birkaç virüs mutasyonu uzaktayız.
									","
											Auch wenn nach wie vor die Zahl
neuer HIV-Fälle weltweit sinkt,
											hält dieser Trend
womöglich nicht lange an,
											wenn die nächste Welle an aggressiveren
und resistenteren Viren eintrifft.
											HIV hat das Potential sich zu einem 
neuen, andersartigen Virus zu entwickeln,
											jedes Mal, wenn es eine Zelle befällt.
											Trotz der bemerkenswerten Fortschritte
bei der Bekämpfung der Epidemie,
											sind wir nur wenige virale Mutationen 
von einer Katastrophe entfernt.
									",The dangerous evolution of HIV,Edsel Salvaña,4:44,"TED Fellows,science,medical research,virus,HIV"
"
","
","
","
","
",The dangerous evolution of HIV,Edsel Salvaña,4:44,"TED Fellows,science,medical research,virus,HIV"
"
											To appreciate the profound way
in which HIV transforms itself
											every time it reproduces,
											let's make a genetic comparison.
											If we look at the DNA variation
among humans of different races
											from different continents,
											the actual DNA difference
is only 0.1 percent.
											If we look at the genetic difference
											between humans, great apes,
and rhesus macaques,
											that number is seven percent.
											In contrast, the genetic difference
between HIV subtypes
											from different patients
											may be as much as 35 percent.
											Within a person infected with HIV,
											the genetic difference
between an infecting mother virus
											and subsequent daughter viruses
											has been shown to be
as much as five percent.
											This is the equivalent of a gorilla
giving birth to a chimpanzee,
											then to an orangutan,
											then to a baboon,
											then to any random great ape
within its lifetime.
									","
											Para apreciar a forma profunda
como o VIH se transforma
											sempre que se reproduz,
											vou fazer uma comparação genética.
											Se olharmos para a variação do ADN
entre seres humanos de diferentes etnias,
											de diferentes continentes,
											a diferença do ADN é de apenas 0,1 %.
											Se olharmos para a diferença genética
											entre seres humanos, grandes primatas
e macacos Rhesus,
											esse número é de 7%.
											Em contraste, a diferença genética
entre subtipos do VIH
											de diferentes doentes
											pode chegar a ser de 35%.
											Numa pessoa infetada com VIH
											a diferença genética
entre um vírus mãe infeccioso
											e os vírus filhos subsequentes
											chega a ser de 5%.
											Isto é o equivalente a um gorila
dar à luz um chimpanzé
											depois a um orangotango,
											depois a um babuíno,
											e depois a um qualquer dos
grandes primatas, durante a vida.
									","
											Para comprender la profunda
transformación del VIH
											cada vez que se reproduce,
											hagamos una comparación genética.
											Si observamos la variación del ADN
entre personas de razas diferentes
											y de distintos continentes,
											la diferencia real en el ADN
es de tan solo el 0,1 %.
											Si consideramos la diferencia genética
											entre los seres humanos, los grandes
simios y los macacos Rhesus,
											esa cifra es del 7 %.
											Por el contrario, la diferencia genética
entre los subtipos de VIH
											de distintos pacientes
											puede llegar hasta el 35 %.
											En una persona infectada de HIV,
											la diferencia genética entre un virus
infeccioso ""madre""
											y sus virus descendientes
											ha llegado hasta el 5 %.
											Esto equivale a un gorila
que da a luz un chimpancé,
											luego a un orangután,
											luego a un babuino,
											y finalmente a cualquier gran simio
a lo largo de su vida.
									","
											HIV'in her çoğalışında kendini 
etkili bir şekilde dönüştürmesinin
											önemini anlamak adına
											genetik bir karşılaştırma yapalım.
											Farklı ırk ve kıtalardan insanların
											DNA farklılıklarına bakarsak
											gerçek DNA farkı sadece %0,1.
											İnsanlar, büyük apeler ve makaklardaki
											genetik farklılıklara bakarsak
											bu rakam sadece %7.
											Tam tersine, farklı hastalardan alınan
HIV alt tipleri
											arasındaki genetik farklılıklar
											%35'e kadar ulaşabiliyor.
											HIV'e yakalanmış bir insanın içinde
											enfekte eden ana virüs 
ve sonradan gelen yavru virüs
											arasındaki genetik farklılık
											%5 kadar yüksek olduğu gösterildi.
											Bu bir gorilin hayatı boyunca
rastgele büyük bir ape yerine
											bir şempanze,
											sonra bir orangutan,
											sonra da bir babun 
dünyaya getirmesiyle eşdeğer.
									","
											Um das Ausmaß der HIV-Transformation
bei jeder Reproduktion zu verstehen,
											hier ein genetischer Vergleich:
											Betrachten wir die DNA-Variation 
von Menschen verschiedener Rassen,
											aus verschiedenen Kontinenten,
											ist der tatsächliche Unterschied
in der DNA nur 0,1 Prozent.
											Wenn wir den genetischen Unterschied
											zwischen Menschen, Menschenaffen
und Rhesusaffen betrachten,
											beläuft sich dieser Wert 
auf sieben Prozent.
											Im Gegensatz dazu kann 
der Unterschied zwischen HIV-Subtypen
											von verschiedenen Patienten
											bis zu 35 Prozent ausmachen.
											Bei HIV-infizierten Menschen
wurde gezeigt,
											dass der genetische Unterschied zwischen
einem ansteckenden Mutter-Virus
											und folgenden Tochter-Viren
											bis zu fünf Prozent ausmachen kann.
											Dies entspricht einem Gorilla,
der in seinem Leben einen Schimpansen,
											dann einen Orang-Utan,
											dann einen Pavian
											und dann irgendeinen
Menschenaffen gebiert.
									",The dangerous evolution of HIV,Edsel Salvaña,4:44,"TED Fellows,science,medical research,virus,HIV"
"
","
","
","
","
",The dangerous evolution of HIV,Edsel Salvaña,4:44,"TED Fellows,science,medical research,virus,HIV"
"
											There are nearly 100 subtypes of HIV,
											with new subtypes
being discovered regularly.
											HIV in the developed world
is almost all of one subtype:
											subtype B.
											Mostly everything we know
and do to treat HIV
											is based on studies on subtype B,
											even though it only
accounts for 12 percent
											of the total number
of cases of HIV in the world.
											But because of the profound
genetic difference
											among different subtypes,
											some subtypes are more likely
to become drug-resistant
											or progress to AIDS faster.
									","
											Há quase 100 subtipos de VIH
											e descobrem-se regularmente
novos subtipos.
											O VIH no mundo desenvolvido
é quase todo do mesmo subtipo,
											o subtipo B.
											A maior parte daquilo que sabemos
e fazemos para tratar o VIH
											baseia-se em estudos sobre
o subtipo B,
											embora ele seja responsável
apenas por 12%
											do número total de casos
de VIH no mundo.
											Mas, dada a profunda diferença genética
											entre diferentes subtipos,
											alguns subtipos são mais propensos
a ficarem resistentes aos medicamentos
											ou a progredirem mais depressa
para a SIDA.
									","
											Existen casi 100 subtipos de VIH,
											además de los nuevos subtipos
que se van descubriendo.
											En el mundo desarrollado, el VIH
es casi siempre del mismo subtipo:
											el subtipo B.
											Casi toda la información sobre el VIH
y los tratamientos para combatirlo
											se basan en estudios sobre el subtipo B,
											a pesar de que es responsable 
de apenas el 12 %
											del número total de casos 
de VIH en el mundo.
											Pero debido a la enorme
diferencia genética
											entre los distintos subtipos,
											algunos de ellos son más propensos
a crear resistencia a los fármacos
											o a evolucionar hacia el SIDA
de manera más rápida.
									","
											Sürekli keşfedilen 
yeni alt tipleriyle birlikte
											HIV'in yaklaşık 100 tane alt tipi var.
											Gelişmiş dünyada HIV neredeyse
tamamen tek bir alt tipe denk geliyor:
											Alt tip B.
											HIV hakkında bildiğimiz
ve tedavisi için yaptığımız her şey
											Alt tip B üzerine yaptığımız
araştırmalara dayanıyor,
											dünyadaki toplam HIV vakalarının
											sadece %12'si için geçerli olsa bile.
											Fakat farklı alt tiplerin arasındaki
											derin genetik farklılıklardan ötürü
											bazı alt tiplerin ilaçlara 
dirençli olmasının yanı sıra
											daha hızlı AIDS'e ilerlemesi de muhtemel.
									","
											Es gibt fast 100 Subtypen von HIV
											und es werden regelmäßig neue entdeckt.
											Das HI-Virus in den Industriestaaten
entspricht fast immer einem Subtyp:
											Subtyp B.
											Fast alles, was wir wissen
und tun, um HIV zu behandeln,
											basiert auf Studien des Subtyps B,
											obwohl dieser weltweit nur 12 Prozent
											der gesamten HIV-Fälle ausmacht.
											Aufgrund der großen
genetischen Unterschiede
											zwischen den verschiedenen Subtypen
											werden manche Subtypen eher 
arzneimittelresistent
											oder entwickeln sich schneller zu AIDS.
									",The dangerous evolution of HIV,Edsel Salvaña,4:44,"TED Fellows,science,medical research,virus,HIV"
"
","
","
","
","
",The dangerous evolution of HIV,Edsel Salvaña,4:44,"TED Fellows,science,medical research,virus,HIV"
"
											We discovered that the explosion
of HIV cases in the Philippines
											is due to a shift
from the Western subtype B
											to a more aggressive
Southeast Asian subtype AE.
											We are seeing younger and sicker patients
											with high rates of drug resistance.
											Initial encroachment of this subtype
											is already occurring
in developed countries,
											including Australia,
Canada and the United States.
											We may soon see a similar
explosion of cases in these countries.
									","
											Descobrimos que a explosão
dos casos de VIH nas Filipinas
											se deve a uma mudança 
do subtipo B ocidental
											para um subtipo AE
do sudeste asiático, mais agressivo.
											Estamos a ter doentes mais novos
e mais doentes
											com altas taxas de resistência
a medicamentos.
											A invasão inicial deste subtipo
											já está a ocorrer
em países desenvolvidos,
											incluindo a Austrália,
o Canadá e os EUA.
											Em breve podemos vir a ter
											uma explosão semelhante
de casos nestes países.
									","
											Hemos descubierto que la explosión
de casos de VIH en Filipinas
											se debe a que el subtipo
occidental B ha mutado
											a un subtipo más agresivo: 
el AE del sudeste asiático.
											Estamos viendo pacientes cada vez
más graves y más jóvenes,
											con mayor nivel de resistencia
a los fármacos.
											Este subtipo ya está empezando a penetrar
											en países desarrollados,
											como Australia, Canadá y EE. UU..
											Es posible que dentro de poco
se registre en estos países
											una explosión similar de casos.
									","
											Filipinlerde HIV vakalarının 
patlamasının nedeninin
											daha agresif olan Güneydoğu Asya
alt tipi AE'nin
											Batıya ait olan alt tip B'nin yerini
alması olduğunu keşfettik.
											Daha genç, durumu daha ağır
ve ilaca karşı dirençleri
											daha yüksek hastalarla karşılaşıyoruz.
											Bu alt tipin ilk istilası
											gelişmiş ülkelerde çoktan başladı,
											Avustralya, Kanada 
ve Birleşik Devletler dahil.
											Bu ülkelerde yakında benzer vakaların
patlamasını görebiliriz.
									","
											Wir entdeckten, dass die HIV-Explosion
auf den Philippinen
											auf einer Verlagerung
von dem westlichen Subtyp B
											zu einem südostasiatischen Subtyp AE,
der aggressiver ist, beruht.
											Wir sehen, dass die Patienten
jünger und kränker sind
											und starke Resistenzen
gegen Arzneimittel aufweisen.
											Dieser Subtyp dringt
											bereits in die Industriestaaten vor.
											Dies betrifft auch Australien,
Kanada und die USA.
											Wir werden dort vielleicht bald 
eine Explosion ähnlichen Ausmaßes sehen.
									",The dangerous evolution of HIV,Edsel Salvaña,4:44,"TED Fellows,science,medical research,virus,HIV"
