en,pt,fr,tr,de,title,speaker,duration,tags
"
","
","
","
","
",The myth of Loki and the master builder,Alex Gendler,4:25,"TED-Ed,education,animation,history,culture,storytelling,world cultures"
"
											Asgard, a realm of wonders, was where 
the Norse Gods made their home.
											There Odin’s great hall of Valhalla 
towered above the mountains
											and Bifrost, the rainbow bridge, 
anchored itself.
											But though their domain was magnificent,
											it stood undefended from the giants 
and trolls of Jotunheim,
											who despised the gods and 
sought to destroy them.
									","
											Asgard, um reino de maravilhas,
era a morada dos deuses nórdicos.
											Aí, Valhalla, o grande palácio de Odin,
elevava-se acima das montanhas
											e era aí que Bifrost, a ponte arco-íris,
estava ancorada.
											Embora o seu domínio fosse magnífico,
											não tinha proteção contra os gigantes
e os ""trolls"" de Jotunheim
											que odiavam os deuses
e procuravam destruí-los.
									","
											Asgard, royaume de merveilles,
était la patrie des dieux nordiques.
											Là, le grand hall d’Odin du Valhalla 
dominait les montagnes
											et le Bifröst, le pont arc-en-ciel,
y était amarré.
											Mais bien que leur royaume
fût merveilleux,
											il se retrouvait vulnérable
face aux géants et aux trolls de Jötunheim
											qui détestaient les dieux
et avaient juré leur perte.
									","
											Harikalar diyarı Asgard 
İskandinav Tanrılarının eviydi.
											Odin'in Valhalla salonu orada
dağların üstüne kadar yükseldi.
											Gökkuşağı köprüsü Bifrost 
orada temellerini attı.
											Tanrıların yaşadığı yer harikuladeydi
											ama Jotunheim'in 
tanrılardan nefret eden
											ve onları yok etmek isteyen 
troll ve devlerine karşı korumasızdı.
									","
											Asgard, ein Reich der Wunder,
war der Wohnort der nordischen Götter.
											Odins mächtige Halle Walhall
thronte dort über den Bergen
											und die Regenbogenbrücke Bifröst
nahm dort ihren Anfang.
											Obwohl das Götterreich prächtig war,
											besaß es keinen Schutz
vor den Riesen und Trollen von Jötunheim.
											Sie verachteten die Götter
und wollten sie vernichten.
									",The myth of Loki and the master builder,Alex Gendler,4:25,"TED-Ed,education,animation,history,culture,storytelling,world cultures"
"
","
","
","
","
",The myth of Loki and the master builder,Alex Gendler,4:25,"TED-Ed,education,animation,history,culture,storytelling,world cultures"
"
											One day when Thor, strongest of the 
gods, was off fighting these foes,
											a stranger appeared, 
riding a powerful gray horse.
											The visitor made the gods 
an astonishing offer.
											He would build them the greatest 
wall they’d ever seen,
											higher than any giant could climb 
and stronger than any troll could break.
											All he asked in return was the beautiful 
goddess Freya’s hand in marriage—
											along with the sun and moon from the sky.
									","
											Um dia, quando Thor,
o mais forte dos deuses,
											estava a combater esses inimigos,
											apareceu um estranho, cavalgando
um poderoso cavalo cinzento.
											O visitante propôs aos deuses
uma oferta surpreendente,
											Construiria a maior muralha jamais vista,
											mais alta do que
qualquer gigante podia trepar,
											mais forte do que
qualquer ""troll"" podia destruir.
											Só queria, em troca, a mão da bela
deusa Freya em casamento
											— assim como o sol e a lua do céu.
									","
											Un jour, alors que Thor, le plus fort
des dieux, combattait ces ennemis,
											un étranger apparut,
chevauchant un puissant destrier gris.
											Le visiteur fit aux dieux
une offre étonnante.
											Il construirait
le plus haut mur jamais vu,
											si haut qu'aucun géant
ne pourrait le franchir
											et si solide qu'aucun troll
ne pourrait le détruire.
											Tout ce qu'il demandait en échange était
la main de la belle princesse Freyja -
											ainsi que le soleil et la lune.
									","
											Bir gün en güçlü tanrı Thor,
bu düşmanlarla savaşırken
											güçlü gri bir at süren
yabancı biri belirdi.
											Bu ziyaretçi tanrılara 
şaşırtıcı bir teklif sundu.
											Görülebilecek en büyük 
duvarı inşa edicekti.
											Devlerin tırmanamayacağı kadar yüksek,
trollerin kıramayacağı kadar güçlü.
											Karşılığında ise tanrıça 
Freya'yla evlenmeyi
											ve güneş ile ayı istedi.
									","
											Als Thor, der stärkste Gott, einst
auf einem Feldzug gegen diese Feinde war,
											erschien ein Fremder
auf einem mächtigen Schimmel.
											Der Besucher machte den Göttern
ein überraschendes Angebot:
											den Bau der größten Mauer,
die sie je gesehen hatten,
											zu hoch für jeden Riesen
und zu stark für jeden Troll.
											Alles, was er im Gegenzug wollte,
war die Hand der schönen Göttin Freya,
											dazu Sonne und Mond vom Himmelszelt.
									",The myth of Loki and the master builder,Alex Gendler,4:25,"TED-Ed,education,animation,history,culture,storytelling,world cultures"
"
","
","
","
","
",The myth of Loki and the master builder,Alex Gendler,4:25,"TED-Ed,education,animation,history,culture,storytelling,world cultures"
"
											The gods balked at this request 
and were ready to send him away.
											But the trickster Loki 
concocted a devious plan.
											He told the gods they should 
accept the stranger’s offer,
											but set such strict conditions that he 
would fail to complete the wall in time.
											That way, they would lose nothing, while 
getting most of the wall built for free.
											Freya didn’t like this idea at all,
											but Odin and the other 
gods were convinced
											and came to an agreement 
with the builder.
											He would only have one winter 
to complete the wall.
											If any part was unfinished by 
the first day of summer,
											he would receive no payment.
											And he could have no help 
from any other people.
											The gods sealed the deal with solemn oaths
											and swore the mason would come 
to no harm in Asgard.
									","
											Os deuses hesitaram com este pedido
e estavam dispostos a mandá-lo embora.
											Mas Loki, o vigarista, 
engendrou um plano maquiavélico.
											Disse aos deuses que deviam
aceitar a proposta do estranho,
											mas impondo condições tão rigorosas
											que ele não conseguisse acabar
a muralha dentro do prazo.
											Dessa forma, não perderiam nada,
											e ficariam com a maior parte da muralha
construída de graça.
											Freya não gostou nada dessa ideia,
											mas Odin e os outros deuses
ficaram convencidos
											e chegaram a acordo com o construtor.
											Só teria um inverno
para completar a muralha.
											Se qualquer parte dela estivesse
por terminar no primeiro dia do verão,
											ele não receberia qualquer pagamento.
											E não podia ter ajuda
de qualquer outra pessoa.
											Os deuses selaram o acordo
com juramentos solenes
											e obrigaram o pedreiro a prometer
que não faria mal a Asgard.
									","
											Les dieux, dubitatifs,
étaient sur le point de le renvoyer.
											Mais le rusé Loki avait concocté
un plan machiavélique.
											Il conseilla aux dieux d'accepter
l'offre de l'étranger,
											mais d'imposer des conditions telles
											qu'il ne pourrait pas construire
le mur à temps.
											Ainsi, ils ne perdraient rien tout en
ayant un mur presque achevé gratuitement.
											Freya n'aimait pas du tout cette idée,
											mais Odin et les autres dieux
furent convaincus
											et firent un accord avec le bâtisseur.
											Il n'aurait qu'un hiver
pour construire le mur.
											Si une partie du mur n'était pas finie
au premier jour de l'été,
											il ne recevrait aucun paiement.
											Et il ne pouvait avoir l'aide de personne.
											Les dieux scellèrent cet accord
par des serments solennels
											et promirent au maçon qu'aucun mal
ne lui serait fait à Asgard.
									","
											Tanrılar teklifini reddetti 
ve onu göndereceklerdi.
											Fakat Loki sinsi bir plan yaptı.
											Tanrılara, teklifi kabul etmelerini 

											ama duvarı zamanında tamamlayamasın diye
çok zor şartlar koşmalarını söyledi.
											Böylece, hem bir şey kaybetmeyecek hem de
duvarın çoğunu bedavaya getireceklerdi.
											Freya bu fikri hiç beğenmedi
											ama Odin ve diğer tanrılar ikna oldu
											ve anlaşmayı kabul ettiler.
											Duvarı bitirmek için sadece bir kışı vardı
											ve yaza kadar bitirmezse
											karşılığında hiçbir şey alamayacaktı.
											Başkalarından da yardım alması yasaktı.
											Tanrılar anlaşma üzerine yemin ettiler
											ve duvarcının Asgard'da başına 
hiçbir şey gelmeyeceğine söz verdiler.
									","
											Die Götter lehnten die Forderung ab
und wollten ihn wegschicken.
											Doch der listige Loki
schmiedete einen durchtriebenen Plan.
											Die Götter sollten das Angebot annehmen
jedoch so harte Bedingungen stellen,
											dass die Mauer nicht
rechtzeitig fertig würde.
											So verlören sie nichts
und bekämen fast die ganze Mauer umsonst.
											Freya gefiel die Idee gar nicht,
											doch Odin und die anderen
ließen sich überzeugen
											und einigten sich mit dem Baumeister.
											Er würde nur einen Winter
für den Bau bekommen.
											Wäre die Mauer am ersten
Sommertag nicht fertig,
											bekäme er keinen Lohn,
											und kein Mensch dürfte ihm
beim Bau helfen.
											Die Götter besiegelten den Handel
mit feierlichen Eiden und schworen,
											der Baumeister würde in Asgard
keinen Schaden erleiden.
									",The myth of Loki and the master builder,Alex Gendler,4:25,"TED-Ed,education,animation,history,culture,storytelling,world cultures"
"
","
","
","
","
",The myth of Loki and the master builder,Alex Gendler,4:25,"TED-Ed,education,animation,history,culture,storytelling,world cultures"
"
											In the morning, the stranger began to dig 
the foundations at an astonishing speed,
											and at nightfall he set off towards the 
mountains to obtain the building stones.
											But it was only the next morning, 
when they saw him returning,
											that the gods began to worry.
											As agreed, no other people 
were helping the mason.
											But his horse Svadilfari was hauling 
a load of stones so massive
											it left trenches in the ground 
behind them.
									","
											De manhã, o estranho começou a cavar
os caboucos com uma velocidade espantosa
											e, à noite, partiu para as montanhas
para obter as pedras para a construção.
											Mas foi só na manhã seguinte,
quando o viram regressar,
											que os deuses começaram
a ficar preocupados.
											Conforme acordado, não havia
outras pessoas a ajudar o pedreiro.
											Mas o cavalo Svadilfari transportava
uma carga de pedras tão gigantesca
											que deixava valas abertas
no solo, atrás deles.
									","
											Le matin, l'étranger commença à creuser
les fondations à une vitesse incroyable,
											et à la tombée de la nuit il se dirigea
vers les montagnes
											pour trouver les pierres de construction.
											Mais ce fut seulement le lendemain matin
lorsqu'ils le virent revenir
											que les dieux s'inquiétèrent.
											Comme convenu,
personne ne devait aider le maçon.
											Mais Svadilfari, son cheval, transportait
un chargement de pierre si impressionnant
											qu'il laissaient des sillons derrière lui.
									","
											Sabah, yabancı çok hızlı bir şekilde
duvar için temel kazmaya başladı
											akşam olunca da 
taş toplamak için dağlara gitti.
											Fakat sonraki sabah onu dönerken görünce
											tanrılar endişelenmeye başladılar.
											Anlaşıldığı gibi kimse
duvarcıya yardım etmiyordu.
											Fakat atı Svadilfari o kadar 
büyük taşlar taşıyordu ki
											geçtiği yerlerde çukur açılıyordu.
									","
											Am Morgen grub der Fremde
erstaunlich schnell die Fundamente.
											Am Abend zog er in die Berge,
um die Bausteine zu holen.
											Doch erst als die Götter ihn
tags darauf zurückkommen sahen,
											begannen sie, sich zu sorgen:
											Wie vereinbart, half ihm kein Mensch.
											Doch sein Pferd Svadilfari
zog eine Ladung so massiver Steine,
											dass tiefe Furchen im Boden zurückblieben.
									",The myth of Loki and the master builder,Alex Gendler,4:25,"TED-Ed,education,animation,history,culture,storytelling,world cultures"
"
","
","
","
","
",The myth of Loki and the master builder,Alex Gendler,4:25,"TED-Ed,education,animation,history,culture,storytelling,world cultures"
"
											Winter came and went.
											The stranger kept building, 
Svadilfari kept hauling,
											and neither snow nor rain could 
slow their progress.
											With only three days left until summer, 
the wall stood high and impenetrable,
											with only the gate left to be built.
											Horrified, the gods realized that not 
only would they lose
											their fertility goddess forever,
											but without the sun and moon the world 
would be plunged into eternal darkness.
											They wondered why they’d made 
such a foolish wager—
											and then remembered Loki 
and his terrible advice.
									","
											O inverno chegou e partiu.
											O estranho continuava a construir
e Svadilfari continuava a transportar.
											Nem a neve nem a chuva
abrandavam o seu avanço.
											Três dias antes da chegada do verão,
a muralha elevava-se, alta e impenetrável,
											faltando apenas construir o portão.
											Horrorizados, os deuses perceberam
que não só iam perder para sempre
											a sua deusa da fertilidade
											como, sem o sol e sem a lua,
											o mundo ficaria mergulhado
numa escuridão eterna.
											Interrogaram-se porque é que tinham feito
uma aposta tão louca
											e então, lembraram-se de Loki
e do seu terrível conselho.
									","
											L'hiver arriva puis repartit.
											L'étranger continuait à construire,
Svadilfari à transporter des pierres,
											et ni la neige ni la pluie
ne ralentissaient leurs progrès.
											À seulement trois jours de l'été,
le mur était fini, haut et impénétrable,
											seule la porte restait à construire.
											Horrifiés, les dieux comprirent
qu'ils allaient perdre
											leur déesse de la fertilité pour toujours,
											mais sans le soleil et la lune, le monde
serait plongé dans d'éternelles ténèbres.
											Ils se demandèrent comment ils avaient
bien pu faire un pari si risqué,
											avant de se souvenir de Loki
et de son terrible conseil.
									","
											Kış geldi ve geçti.
											Yabancı inşa etmeye,
Svadilfari yük taşımaya devam etti.
											Ne kar ne yağmur işlerini yavaşlattı.
											Yazın gelmesine 3 gün kala
duvar upuzun ve aşılamaz hâldeydi.
											Sadece kapısının inşaası kalmıştı.
											Tanrılar dehşete düştüler.
											Hem bereket tanrıçası 
Freya'yı kaybedeceklerdi
											hem de güneşsiz ve aysız 
dünyaları sonsuz karanlığa bürünecekti.
											Neden bu kadar saçma bir 
iddiaya girdiklerine anlam veremediler.
											Sonra Loki'nin verdiği
berbat tavsiyeyi hatırladılar.
									","
											Der Winter kam und ging.
											Der Fremde baute weiter,
Svadilfari zog weiter Steine.
											Weder Schnee noch Regen
konnten die beiden aufhalten.
											Drei Tage vor dem Sommer stand die Mauer,
hoch und undurchdringlich.
											Nur das Tor fehlte noch.
											Entsetzt merkten die Götter,
											dass sie ihre Fruchtbarkeitsgöttin
verlieren würden
											und die Welt ohne Sonne und Mond
der ewigen Finsternis geweiht wäre.
											Warum waren sie so töricht gewesen?
											Dann erinnerten sie sich an Loki
und seinen verderblichen Rat.
									",The myth of Loki and the master builder,Alex Gendler,4:25,"TED-Ed,education,animation,history,culture,storytelling,world cultures"
