es,en,fr,tr,de,pt,title,speaker,duration,tags
"
","
","
","
","
","
",Would you sacrifice one person to save five?,Eleanor Nelsen,4:35,"TED-Ed,morality,psychology,animation,decision-making"
"
											Imagina que estás viendo un tren 
fuera de control por las vías
											que va hacia cinco trabajadores 
que no pueden escapar.
											Te encuentras junto a un interruptor
											que permite desviar el tren
a una segunda vía.
											Este es el problema.
											En esa vía también hay 
un trabajador, pero solo uno.
									","
											Imagine you're watching a runaway trolley
barreling down the tracks
											straight towards five workers
who can't escape.
											You happen to be standing next to a switch
											that will divert the trolley
onto a second track.
											Here's the problem.
											That track has a worker on it, too,
but just one.
									","
											Imaginez que vous regardiez un tramway fou
filant à toute allure sur les rails
											tout droit vers 5 travailleurs
qui ne peuvent pas s'échapper.
											Vous êtes juste à côté d'un aiguillage
											qui détournerait le tramway
vers une deuxième voie.
											Voici le problème.
											Il y a aussi un travailleur
sur la voie, seulement un.
									","
											Kontrolden çıkmış bir tramvayın 
raylardan aşağı doğru
											kaçması mümkün olmayan beş işçinin üzerine
hızla gittiğini gördüğünüzü düşünün.
											Her nasıl olduysa tramvayı
											diğer raya geçirecek olan bir düğmenin
yanında duruyorsunuz.
											Soru şu:
											Rayda çalışan bir işçi var,
ama tek bir tane.
									","
											Stell dir vor, du siehst einen
Straßenbahnwagen die Gleise entlangrasen
											und direkt auf fünf Arbeiter zusteuern,
die nicht fliehen können.
											Zufällig stehst du neben einer Weiche,
											die den Waggon auf 
ein zweites Gleis umleiten kann.
											Hier ist das Problem:
											Auf jenem Gleis gibt es auch 
einen Arbeiter, aber nur einen.
									","
											Imaginem que veem um elétrico
descontrolado pelos carris abaixo
											em direção a cinco trabalhadores
que não podem fugir.
											Acontece que estão ao pé de uma agulha
											que desviará o elétrico
para uma outra linha.
											Mas há um problema.
											Nessa linha também há
um trabalhador, mas apenas um.
									",Would you sacrifice one person to save five?,Eleanor Nelsen,4:35,"TED-Ed,morality,psychology,animation,decision-making"
"
","
","
","
","
","
",Would you sacrifice one person to save five?,Eleanor Nelsen,4:35,"TED-Ed,morality,psychology,animation,decision-making"
"
											¿Qué haces?
											¿Sacrificas a una persona 
para salvar a cinco?
									","
											What do you do?
											Do you sacrifice one person to save five?
									","
											Que faire ?
											Sacrifiez-vous une personne
pour en sauver cinq ?
									","
											Ne yaparsınız?
											Beş kişiyi kurtarmak için
bir kişiyi feda eder misiniz?
									","
											Was tust du?
											Opferst du einen Menschen, 
um fünf zu retten?
									","
											O que é que fazem?
											Sacrificam uma pessoa para salvar cinco?
									",Would you sacrifice one person to save five?,Eleanor Nelsen,4:35,"TED-Ed,morality,psychology,animation,decision-making"
"
","
","
","
","
","
",Would you sacrifice one person to save five?,Eleanor Nelsen,4:35,"TED-Ed,morality,psychology,animation,decision-making"
"
											Este es el problema del tren,
											una versión de un dilema ético que
la filósofa Philippa Foot pensó en 1967.
											Es popular porque nos obliga
a pensar cómo elegir
											cuando no hay buenas opciones.
											¿Elegimos la acción 
que da el mejor resultado
											o nos apegamos a un código moral que 
prohíbe causar la muerte a alguien?
									","
											This is the trolley problem,
											a version of an ethical dilemma that
philosopher Philippa Foot devised in 1967.
											It's popular because it forces us
to think about how to choose
											when there are no good choices.
											Do we pick the action 
with the best outcome
											or stick to a moral code that prohibits
causing someone's death?
									","
											C'est le problème du tramway,
											une version d'un dilemme éthique élaboré
par le philosophe Philippa Foot en 1967.
											Il est populaire car il nous force
à réfléchir à comment choisir
											quand il n'y a pas de bons choix.
											Choisissons-nous l'action
menant au meilleur résultat
											ou nous en tenons-nous au code moral
interdisant de causer la mort ?
									","
											Bu tramvay problemi,
											1967 yılında Philippa Foot adlı filozofun
kurguladığı bir etik ikilemdir.
											Oldukça meşhurdur çünkü
bizi iyiyi seçmenin olmadığı zamanları
											düşünmeye zorluyor.
											En iyi sonucu olan davranışı mı seçeriz
											yoksa birinin ölümüne sebep olmayı 
engelleyen ahlaki değere mi bağlı kalırız?
									","
											Das ist das Trolley-Problem,
											eine Version eines ethischen Dilemmas,
											das 1967 von der Philosophin
Philippa Foot entwickelt wurde.
											Es ist beliebt, weil es uns zwingt,
eine Entscheidung zu treffen,
											wenn es keine guten Optionen gibt.
											Wählen wir die Handlung
mit dem besten Resultat
											oder halten wir uns an einen Moralkodex,
											der es uns verbietet,
einen Tod zu verursachen?
									","
											Este é o problema do elétrico,
											uma versão de um dilema ético
											que a filósofa Philippa Foot
concebeu em 1967.
											É muito conhecido porque nos obriga
a pensar como escolher
											quando não há nenhuma opção boa.
											Optamos pela ação
com o melhor resultado?
											Ou agarramo-nos a um código moral
que proíbe causar a morte de alguém?
									",Would you sacrifice one person to save five?,Eleanor Nelsen,4:35,"TED-Ed,morality,psychology,animation,decision-making"
"
","
","
","
","
","
",Would you sacrifice one person to save five?,Eleanor Nelsen,4:35,"TED-Ed,morality,psychology,animation,decision-making"
"
											En un estudio un 90 % de los encuestados
dijo que está bien girar el interruptor,
											dejar que muera un trabajador 
para salvar a cinco.
											Y otros estudios, que incluyen 
una simulación del dilema,
											han encontrado resultados similares.
									","
											In one survey, about 90% of respondents
said that it's okay to flip the switch,
											letting one worker die to save five,
											and other studies, including a virtual
reality simulation of the dilemma,
											have found similar results.
									","
											Dans une étude,
environ 90% des participants
											ont dit que l'on pouvait
actionner l'aiguillage
											et de laisser un travailleur mourir
pour en sauver cinq.
											D'autres études, dont une simulation
en réalité virtuelle du dilemme,
											ont trouvé des résultats similaires.
									","
											Bir araştırmada deneklerin %90'ı
beş kişiyi kurtarmak için
											bir kişinin ölmesine müsaade ederek
düğmeyi çevirmeyi seçmiştir,
											ikilemin sanal gerçeklik simülasyonu
olan diğer araştırmalar da
											benzer sonuçlara ulaşmıştır.
									","
											In einer Umfrage fanden es
90 % der Befragten in Ordnung,
											die Weiche umzustellen
											und einen Arbeiter sterben
zu lassen, um fünf zu retten.
											Andere Studien, darunter eine virtuelle
Realitätssimulation des Dilemmas,
											kamen zu ähnlichen Ergebnissen.
									","
											Num inquérito, cerca de 90% dos inquiridos
disseram que era melhor manobrar a agulha,
											fazendo morrer um trabalhador
para salvar cinco.
											E outros estudos, incluindo 
uma simulação virtual do dilema,

											chegaram ao mesmo resultado.
									",Would you sacrifice one person to save five?,Eleanor Nelsen,4:35,"TED-Ed,morality,psychology,animation,decision-making"
"
","
","
","
","
","
",Would you sacrifice one person to save five?,Eleanor Nelsen,4:35,"TED-Ed,morality,psychology,animation,decision-making"
"
											Estos juicios son coherentes con el
principio filosófico del utilitarismo
											que sostiene que la decisión 
moralmente correcta
											es el que maximiza el bienestar
para el mayor número de personas.
											Cinco vidas superan a una,
											incluso si el logro de ese resultado 
requiere condenar a muerte a alguien.
									","
											These judgments are consistent with the
philosophical principle of utilitarianism
											which argues that 
the morally correct decision
											is the one that maximizes well-being
for the greatest number of people.
											The five lives outweigh one,
											even if achieving that outcome requires
condemning someone to death.
									","
											Ces jugements sont cohérents avec
le principe philosophique d'utilitarisme
											selon lequel la décision
moralement correcte
											est celle qui maximise le bien-être
pour le plus grand nombre de personnes.
											Cinq vies prennent le pas sur une,
											même si atteindre ce résultat nécessite
de condamner quelqu'un à mort.
									","
											Bu görüşler, ahlaken doğru olan davranışın
iyi olmayı azami sayıda insan için
											maksimuma çıkarmasını savunan
											faydacılık felsefesinin
prensibiyle tutarlıdır.
											Beş kişinin hayatı bir kişinin
hayatına ağır basar,
											bu sonuca ulaşmak bir kişiyi
öldürmeyi gerektirse bile.
									","
											Diese Urteile entsprechen dem 
philosophischen Prinzip des Utilitarismus,
											nachdem die moralisch
richtige Entscheidung
											das Wohlergehen für die größte 
Anzahl an Menschen maximiert.
											Die fünf Leben überwiegen eines,
											selbst wenn das Ergebnis
den Tod einer Person in Kauf nimmt.
									","
											Este julgamento é coerente
com o princípio filosófico do utilitarismo
											que defende que a decisão
moralmente correta
											é a que maximiza o bem-estar
para o maior número de pessoas.
											As cinco vidas superam uma,
											mesmo que, para chegar a esse resultado,
seja preciso condenar alguém à morte.
									",Would you sacrifice one person to save five?,Eleanor Nelsen,4:35,"TED-Ed,morality,psychology,animation,decision-making"
