en,pt,tr,es,fr,de,title,speaker,duration,tags
"
","
","
","
","
","
",The science of cells that never get old,Elizabeth Blackburn,18:46,"aging,biology,bioethics,biomechanics,health,human body,innovation,life,discovery,nature,DNA,science,Nobel Prize"
"
											Where does the end begin?
											Well, for me, it all began
with this little fellow.
											This adorable organism —
											well, I think it's adorable —
											is called Tetrahymena
and it's a single-celled creature.
											It's also been known as pond scum.
											So that's right, my career
started with pond scum.
									","
											Onde começa o fim?
											Bom, para mim, tudo começou
com este pequenito.
											Este adorável organismo
— bem, eu acho que é adorável —
											chama-se Tetrahymena
e é uma criatura unicelular.
											Também é conhecido como ""lodo lacustre"".
											Portanto, sim é verdade, a minha
carreira começou com lodo.
									","
											Sonun başlangıcı neresidir?
											Bana göre her şey
bu küçük arkadaşla başladı.
											Bu sevimli organizma,
											yani bence sevimli,
											Tetrahymena denilen tek hücreli bir canlı.
											Yosun olarak da biliniyor.
											Benim kariyerim yosunla başladı.
									","
											¿Dónde comienza el final?
											Bueno, para mí, todo comenzó 
con este pequeño compañero.
											Este adorable organismo.
											Bueno, creo que es adorable.
											Se llama Tetrahymena 
y es una criatura unicelular.
											También se le conoce 
como escoria de estanque.
											Así que eso es correcto, mi carrera 
comenzó con la escoria del estanque.
									","
											Où commence la fin ?
											Pour moi, elle est arrivée en même temps
que cette petite créature.
											Cet organisme tout mignon
											(enfin, je le trouve mignon)
											s'appelle Tetrahymena.
C'est un organisme unicellulaire.
											On l'appelle « créature des mares ».
											Ma carrière a commencé avec
la créature des mares.
									","
											Wo beginnt das Ende?
											Nun, für mich begann
alles mit diesem kleinen Kerl.
											Dieser liebenswerte Organismus —
											für mich ist er liebenswert —
											heißt „Tetrahymena“ und ist ein Einzeller.
											Man kennt ihn auch als Entengrütze.
											Ja, meine Karriere
startete mit Entengrütze.
									",The science of cells that never get old,Elizabeth Blackburn,18:46,"aging,biology,bioethics,biomechanics,health,human body,innovation,life,discovery,nature,DNA,science,Nobel Prize"
"
","
","
","
","
","
",The science of cells that never get old,Elizabeth Blackburn,18:46,"aging,biology,bioethics,biomechanics,health,human body,innovation,life,discovery,nature,DNA,science,Nobel Prize"
"
											Now, it was no surprise
I became a scientist.
											Growing up far away from here,
											as a little girl I was deadly curious
											about everything alive.
											I used to pick up lethally poisonous
stinging jellyfish and sing to them.
											And so starting my career,
											I was deadly curious
about fundamental mysteries
											of the most basic building blocks of life,
											and I was fortunate to live in a society
where that curiosity was valued.
									","
											Não é com grande surpresa
que me tornei cientista.
											Cresci longe daqui,
											e em criança era
extremamente curiosa
											sobre tudo o que estivesse vivo.
											Costumava apanhar alforrecas mortalmente
venenosas e cantar para elas.
											E então, no início da minha carreira,
											eu era muito curiosa
sobre os mistérios fundamentais
											das peças mais básicas
que constroem a vida,
											e tive a sorte de viver numa sociedade
em que a curiosidade era valorizada.
									","
											Bilim insanı olmam
pek de şaşırtıcı değildi.
											Buradan uzakta büyüdüm,
											yaşayan her şeye çok meraklı
											küçük bir kızdım.
											Zehirli denizanası toplar
ve onlara şarkı söylerdim.
											Kariyerime başlarken de
											hayatın en temel taşlarına ilişkin
											sırlara çok meraklıydım.
											Meraka değer verilen bir toplumda
yaşadığım için şanslıydım.
									","
											No fue una sorpresa 
que me convirtiera en científica.
											Creciendo lejos de aquí,
											de niña, tenía una curiosidad voraz
											sobre todo lo vivo.
											Solía ​​recoger medusas venenosas 
letalmente venenosas y les cantaba.
											Y así comencé mi carrera.
											Tenía una curiosidad voraz 
por los misterios fundamentales
											de los bloques de construcción 
más básicos de la vida,
											y tuve la suerte de vivir en una sociedad 
donde se valoraba esa curiosidad.
									","
											Sans surprise, je suis donc
devenue une scientifique.
											J'ai grandi loin d'ici.
											Dans mon enfance déjà,
j'étais très curieuse,
											surtout concernant les êtres vivants.
											J'attrapais des méduses venimeuses
et je leur chantais des chansons.
											Et donc, dès le début de ma carrière,
											j'étais avide d'en savoir plus sur
les mystères fondamentaux
											des principes de base de la vie
											et j'ai eu la chance de vivre dans une
société qui encourageait la curiosité.
									","
											Es war keine Überraschung,
dass ich Wissenschaftlerin wurde.
											Ich wuchs sehr weit von hier entfernt auf
											und schon als kleines Mädchen
											interessierte ich mich brennend
für alles Lebende.
											Ich habe oft hochgiftige Fadenquallen
aufgesammelt und für sie gesungen.
											Zu Beginn meiner Karriere
											war ich brennend an den
fundamentalen Mysterien
											der grundlegendsten
Bausteine des Lebens interessiert.
											Glücklicherweise wuchs
ich in einer Gesellschaft auf,
											in der Neugier wertgeschätzt wurde.
									",The science of cells that never get old,Elizabeth Blackburn,18:46,"aging,biology,bioethics,biomechanics,health,human body,innovation,life,discovery,nature,DNA,science,Nobel Prize"
"
","
","
","
","
","
",The science of cells that never get old,Elizabeth Blackburn,18:46,"aging,biology,bioethics,biomechanics,health,human body,innovation,life,discovery,nature,DNA,science,Nobel Prize"
"
											Now, for me, this little
pond scum critter Tetrahymena
											was a great way to study
the fundamental mystery
											I was most curious about:
											those bundles of DNA
in our cells called chromosomes.
											And it was because I was curious
about the very ends of chromosomes,
											known as telomeres.
											Now, when I started my quest,
											all we knew was that they helped
protect the ends of chromosomes.
											It was important when cells divide.
											It was really important,
											but I wanted to find out
what telomeres consisted of,
											and for that, I needed a lot of them.
											And it so happens
that cute little Tetrahymena
											has a lot of short linear chromosomes,
											around 20,000,
											so lots of telomeres.
											And I discovered that telomeres
consisted of special segments
											of noncoding DNA right
at the very ends of chromosomes.
									","
											Para mim, a Tetrahymena,
esta pequena criatura do lodo,

											foi uma maneira óptima
de estudar o mistério vital
											sobre o qual era mais curiosa:
											aqueles molhos de ADN nas nossas
células, chamados cromossomas.
											Isto porque eu estava curiosa
sobre as extremidades dos cromossomas,
											chamadas telómeros.
											Agora, quando comecei a minha pesquisa,
											tudo o que sabíamos era que eles
protegiam as extremidades dos cromossomas
											Era importante na divisão das células.
											Era mesmo importante,
											mas o que eu queria descobrir
era do que eram feitos os telómeros,
											e para isso, precisava de muitos.
											Acontece que a pequena Tetrahymena
											tem muitos cromossomas curtos e lineares,
											cerca de 20 000,
											portanto imensos telómeros.
											E eu descobri que os telómeros
são constituídos por segmentos especiais
											de ADN não-codificante
mesmo nos finais dos cromossomas.
									","
											Bana göre Tetrahymena adlı
bu yosun canlısı
											çok merak ettiğim
temel bir sır hakkında
											çalışmak için harikaydı:
											hücrelerimizde kromozom adı verilen
DNA sarmalları.
											Telomerler dediğimiz 
kromozomun uç noktaları
											merakımı cezbediyordu.
											Araştırmama başladığımda,
telomerler hakkında
											tek bildiğimiz kromozomun uç noktalarının
korunmasına yardım ettikleriydi.
											Bu, hücreler bölündüğü zaman önemliydi.
											Gerçekten önemliydi
											ama telomerlerin
neler içerdiğini anlamak istedim,
											bunun için de
çok fazlasına ihtiyacım vardı.
											Görünen o ki
Tetrahymena sevimli canlısının
											çok sayıda kısa lineer kromozomu var,
											20.000 kadar,
											bu çok sayıda telomer demek.
											Telomerlerin, kromozomların ucunda
kodlanmayan
											özel DNA parçalarından oluştuğunu
ortaya çıkardım.
									","
											Para mí, esta pequeña escoria Tetrahymena
											fue una excelente manera 
de estudiar el misterio fundamental.
											Tenía mucha curiosidad acerca
											de esos paquetes de ADN 
en nuestras células llamados cromosomas.
											Y tenía curiosidad sobre 
los extremos de los cromosomas,
											conocidos como telómeros.
											Cuando empecé mi búsqueda,
											sabíamos que ayudaban a proteger 
los extremos de los cromosomas.
											Era importante 
cuando las células se dividen.
											Era realmente importante
											pero quería saber 
en qué consistían los telómeros,
											y para eso, necesitaba muchos de ellos.
											Y sucede que 
ese pequeño y lindo Tetrahymena
											tiene muchos cromosomas lineales cortos,
											unos 20 000,
											muchos telómeros.
											Y descubrí que los telómeros 
consistían en segmentos especiales
											de ADN no codificante justo 
en los extremos de los cromosomas.
									","
											Cette créature des mares,
Tetrahymena, a été pour moi
											une opportunité d'étudier
le mystère fondamental
											qui m'intéressait tant :
											ces paquets d'ADN dans nos cellules
appelés les chromosomes.
											En réalité, je m'intéressais à
l'extrémité des chromosomes,
											les télomères.
											J'ai donc commencé ma quête.
											On pensait à l'époque que les télomères
protégeaient l'extrémité des chromosomes
											pendant la division cellulaire.
											C'était vraiment important.
											Mais moi, je voulais connaître le but
réel des télomères,
											et pour cela, il allait m'en falloir
un paquet.
											C'est alors que mon petit Tetrahymena
entre en jeu.
											Il possède plein de petits chromosomes
linéaires,
											environ 20 000.
											Donc un tas de télomères.
											J'ai alors découvert que les télomères
constituent un segment spécifique
											porteur d'ADN non-codant 
à l'extrémité des chromosomes.
									","
											Für mich war dieses kleine Tetrahymena
											ein großartiger Zugang zum
Objekt meiner Neugierde,
											den DNA-Bündeln in den Zellen,
Chromosomen genannt.
											Besonders faszinierten mich
die Enden der Chromosome —
											die Telomere.
											Als ich meine Forschung begann,
											war nur bekannt, dass sie
die Chromosomen schützen.
											Das war für die Zellteilung
äußerst wichtig,
											aber ich wollte wissen,
woraus die Telomere bestehen.
											Dafür brauchte ich viele davon.
											Zufälligerweise hat das niedliche
											Tetrahymena viele
kurze lineare Chromosome —
											etwa 20.000 —
											also auch viele Telomere.
											Ich fand heraus, dass diese Telomere
aus speziellen Segmenten
											aus nicht-kodierender DNA
an den Kappen der Chromosome bestehen.
									",The science of cells that never get old,Elizabeth Blackburn,18:46,"aging,biology,bioethics,biomechanics,health,human body,innovation,life,discovery,nature,DNA,science,Nobel Prize"
"
","
","
","
","
","
",The science of cells that never get old,Elizabeth Blackburn,18:46,"aging,biology,bioethics,biomechanics,health,human body,innovation,life,discovery,nature,DNA,science,Nobel Prize"
"
											But here's a problem.
											Now, we all start life as a single cell.
											It multiples to two.
Two becomes four. Four becomes eight,
											and on and on to form
the 200 million billion cells
											that make up our adult body.
											And some of those cells
have to divide thousands of times.
											In fact, even as I stand here before you,
											all throughout my body,
cells are furiously replenishing
											to, well, keep me
standing here before you.
											So every time a cell divides,
all of its DNA has to be copied,
											all of the coding DNA
inside of those chromosomes,
											because that carries
the vital operating instructions
											that keep our cells in good working order,
											so my heart cells can keep a steady beat,
											which I assure you
they're not doing right now,
											and my immune cells
											can fight off bacteria and viruses,
											and our brain cells
can save the memory of our first kiss
											and keep on learning throughout life.
									","
											Mas há aqui um problema.
											Todos nós começamos a vida
como uma única célula.
											Em múltiplos de dois.
Dois passam a 4, quatro passam a 8
											e por aí fora até formarem 
200 mil biliões de células
											que constituem o corpo adulto.
											Algumas dessas células
têm de se dividir milhares de vezes.
											Aliás, enquanto estou aqui
à vossa frente,
											por todo o meu corpo,
as células estão a reabastecer rapidamente
											para eu poder estar aqui à vossa frente.
											Cada vez que uma célula se divide, 
todo o seu ADN tem de ser copiado,
											todo o ADN codificante
que está dentro dos cromossomas,
											porque ele carrega
o manual de instruções vital
											que mantém as nossas células
em bom funcionamento,
											para que as minhas células cardíacas
mantenham um bom ritmo
											— o que, garanto, não estão
a fazer neste momento —
											para que as minhas células imunitárias
											possam combater bactérias e vírus,
											e as nossas células cerebrais
possam guardar memórias do primeiro beijo
											e continuar a aprender por toda a vida.
									","
											Ancak bir sorun var.
											Hepimiz hayata tek hücreli başlıyoruz.
											Önce ikiye katlanıyor,
iki dörde, dört sekize,
											bu şekilde devam ederek
200 milyon milyar hücreye ulaşıyor
											ve yetişkin bedenimiz oluşuyor.
											Bu hücrelerden bazılarının
binlerce kez bölünmesi gerek.
											Burada durduğum şu an bile,
											vücudumun her yerinde
hücreler hızlı bir şekilde yenileniyor,
											böylelikle karşınızda
ayakta durabiliyorum.
											Bir hücre her bölündüğünde,
tüm DNA'sı kopyalanmak zorunda,
											o kromozomlar içindeki
DNA kodlarının tamamı
											çünkü bu süreç, hücrelerimizin
iyi işlerliğini mümkün kılmak için
											kalp hücrelerimizin dengeli bir
kalp atışı sağlaması için
											çok önemli işleyiş talimatları taşıyor,
											bu arada kalp hücrelerim
şu an isyan durumunda,
											bu talimatlar, bağışıklık hücrelerimizin
											bakteri ve virüslerle savaşabilmesi
											ve beyin hücrelerimizin
ilk öpücüğümüzün anısını saklayabilmesi
											ve hayat boyu öğrenmeyi sürdürebilmesi 
bakımından hayati öneme sahip.
									","
											Pero aquí hay un problema.
											Todos comenzamos la vida 
como una sola célula
											que se multiplica por dos; dos se 
convierten en cuatro; cuatro en ocho,
											y así sucesivamente hasta formar 
los 200 000 billones de células
											que componen nuestro cuerpo adulto.
											Y algunas de esas células tienen 
que dividirse miles de veces.
											De hecho, incluso mientras 
estoy aquí delante de Uds.,
											en todo mi cuerpo, las células 
están recargándose furiosamente
											para, mantenerme parada 
aquí delante de Uds.
											Y cada vez que una célula se divide, 
todo su ADN debe ser copiado,
											todo el ADN codificante 
dentro de esos cromosomas,
											porque eso lleva a las instrucciones 
de funcionamiento vitales
											que mantienen nuestras células 
en buen estado de funcionamiento,
											para que las células del corazón 
puedan mantener un ritmo constante
											que les aseguro que en este momento,
no lo están haciendo,
											y mis células inmunes
											puedan luchar contra las bacterias y virus,
											y las células cerebrales puedan almacenar 
el recuerdo de nuestro primer beso
											y seguir aprendiendo durante toda la vida.
									","
											Mais un problème apparaît alors.
											Nous commençons tous notre vie en étant
une unique cellule.
											Elle se divise en deux, puis en quatre,
puis en huit,
											et ainsi de suite jusqu'à devenir
les 200 milliards de cellules
											qui composent notre corps d'adulte.
											Certaines de ces cellules iront jusqu'à
se diviser plusieurs milliers de fois.
											En réalité, alors que je me tiens là,
devant vous,
											des cellules se régénèrent à grande
vitesse dans tout mon corps,
											pour m'aider à me tenir debout,
devant vous.
											À chaque fois qu'il y a multiplication
de cellules, tout l'ADN doit être copié,
											du moins, l'ADN codant contenu
dans les chromosomes,
											qui est porteur 
d'informations essentielles
											pour le bon fonctionnement
de nos cellules.
											Mes cellules cardiaques permettent à 
mon cœur de battre à un rythme régulier,
											même si là, ce n'est pas vraiment le cas.
											Les cellules immunitaires
											combattent les bactéries et les virus.
											Les cellules cérébrales gardent en mémoire
notre premier baiser
											et nous permettent d'apprendre
au cours de notre vie.
									","
											Aber hier tut sich ein Problem auf.
											Wir alle starten unser Leben
mit nur einer einzigen Zelle.
											Sie verdoppelt sich,
dann entstehen vier, acht usw.
											und schlussendlich formen
200 Billiarden Zellen
											den erwachsenen Körper.
											Manche Zellen teilen sich tausende Male.
											Sogar während ich vor Ihnen stehe,
											füllen die Zellen meinen Körper wieder auf
											und lassen mich aufrecht stehen.
											Bei jeder Zellteilung muss
die DNA kopiert werden,
											die ganze kodierende
DNA in den Chromosomen,
											weil sie die lebenswichtigen Anweisungen
											für die Arbeitsweise der Zellen enthalten.
											Deshalb halten meine Herzzellen
einen stetigen Rhythmus —
											im Moment arbeiten sie schneller —
											und meine Immunzellen
											können Bakterien und Viren abwehren,
											und unsere Gehirnzellen speichern
die Erinnerung an den ersten Kuss
											und lernen ein ganzes Leben lang dazu.
									",The science of cells that never get old,Elizabeth Blackburn,18:46,"aging,biology,bioethics,biomechanics,health,human body,innovation,life,discovery,nature,DNA,science,Nobel Prize"
"
","
","
","
","
","
",The science of cells that never get old,Elizabeth Blackburn,18:46,"aging,biology,bioethics,biomechanics,health,human body,innovation,life,discovery,nature,DNA,science,Nobel Prize"
"
											But there is a glitch
in the way DNA is copied.
											It is just one of those facts of life.
											Every time the cell divides
and the DNA is copied,
											some of that DNA from the ends
gets worn down and shortened,
											some of that telomere DNA.
											And think about it
											like the protective caps
at the ends of your shoelace.
											And those keep the shoelace,
or the chromosome, from fraying,
											and when that tip
gets too short, it falls off,
											and that worn down telomere
sends a signal to the cells.
											""The DNA is no longer being protected.""
											It sends a signal. Time to die.
											So, end of story.
									","
											Mas há um obstáculo na maneira
como o ADN é copiado.
											É mais um daqueles factos da vida.
											Cada vez que uma célula se divide
e o ADN é copiado,
											algum daquele ADN nas extremidades
gasta-se e fica encurtado,
											algum daquele ADN dos telómeros.
											E pensem nisso
											como naqueles pequenos plásticos 
protectores dos atacadores.
											Esses plásticos impedem que o atacador,
ou o cromossoma, se desgaste,
											e quando essas pontas ficam
demasiado curtas, elas caem,
											e esse telómero desgastado
envia um sinal às células:
											""O ADN já não está a ser protegido.""
											Envia um sinal. Altura de morrer.
											E assim, final da história.
									","
											Ancak DNA'nın kopyalanmasında
bir hata var.
											Hayatın gerçeklerinden biri.
											Hücre her bölündüğünde
ve DNA her kopyalandığında,
											uç noktalardaki DNA'nın bir kısmı
hasar görüyor ve kısalıyor,
											telomere DNA'nın bir kısmı.
											Bunu bir düşünün,
											tıpkı ayakkabı bağcıklarınızın
ucundaki koruyucu kısım gibi.
											O kısımlar bağcıklarınızı,
yani kromozomları aşınmadan korur
											ve o uçlar kısalır veya düşerse,
											aşınan o telomer
hücrelere bir sinyal gönderir.
											''DNA artık korunmuyor.''
											Sinyal gider. Ölme vakti geldi.
											Hikâyenin sonu.
									","
											Pero hay un problema técnico 
en la forma en que se copia el ADN.
											Es solo uno de esos hechos de la vida.
											Cada vez que se divide la célula 
y se copia el ADN,
											se desgasta y acorta 
parte de ese ADN de los extremos,
											algo de ese ADN telomérico.
											Y piénsenlo
											como las puntas protectoras 
en los extremos de un cordón.
											Evitan que el cordón del zapato, 
o el cromosoma, se deshilache,
											y cuando esa punta es 
demasiado corta, se cae,
											y ese desgastado telómero 
envía una señal a las células.
											""El ADN ya no está siendo protegido"".
											Envía una señal. Tiempo de morir.
											Y fin de la historia.
									","
											Mais il y a un hic dans la
transmission de l'ADN.
											C'est juste un de ces faits de la vie.
											Chaque fois qu'une cellule se divise
et que l'ADN est recopié,
											une partie de l'ADN située aux extrémités
s'abîme et se raccourcit,
											la partie de l'ADN sur les télomères.
											Il faut le voir comme
											le morceau de plastique qui se trouve
aux bouts de vos lacets.
											Il protège le lacet, ou le chromosome, 
pour éviter qu'il ne s'effrite.
											Lorsque ce morceau devient trop court,
il tombe.
											Le télomère abîmé envoie alors
une sorte de signal aux cellules :
											« L'ADN n'est plus protégé. »
											Le signal est envoyé. L'ADN meurt.
											Fin de l'histoire.
									","
											Aber es gibt beim
Kopieren der DNA eine Panne.
											Es ist einfach eine
Gegebenheit des Lebens.
											Bei jeder Zellteilung und DNA-Duplikation
											baut sich ein Stück der DNA
am Ende ab und sie wird kürzer.
											Ein Stück der Telomer-DNA.
											Stellen Sie sich das
											wie die Schutzkappen Ihrer Senkel vor.
											Sie verhindern das Ausfransen
der Schnürsenkel oder des Chromosoms.
											Wenn diese Kappe
zu kurz wird, fällt sie ab.
											Dieses abfallende Telomer
sendet ein Signal an die Zelle.
											„Die DNA ist nun ungeschützt.“
											Es sendet ein Signal: Zeit zu Sterben.
											Das war's.
									",The science of cells that never get old,Elizabeth Blackburn,18:46,"aging,biology,bioethics,biomechanics,health,human body,innovation,life,discovery,nature,DNA,science,Nobel Prize"
