en,tr,fr,es,title,speaker,duration,tags
"
","
","
","
",How to build a thriving music scene in your city,Elizabeth Cawein,9:57,"music,live music,performance,entertainment,art,creativity,culture,cities,TEDx"
"
											Each of these songs
represents a scene, a movement,
											in some cases, a sonic revolution
											that completely altered
the course of popular music.
											They're all also calling cards,
almost, for those cities,
											songs totally linked
with their city's identity,
											and it might be why you probably
consider them to be music cities.
											Now, the magical mythical thing,
the thing we kind of all love
											about stories like these
											is that those cities weren't doing
anything in particular
											to make those moments happen.
											There's no formula for capturing
lightning in a bottle.
											A formula didn't give us grunge music
											or introduce Tupac to Dr. Dre,
											and there's definitely no blueprint
for how to open your record business
											in a South Memphis neighborhood
											that, turns out,
is home to Booker T. Jones,
											William Bell and Albert King.
									","
											Bu şarkıların her biri, 
bir olayı veya bir hareketi,
											bazen de popüler müziğin 
seyrini değiştiren bir ses devrimini
											temsil eder.
											Bu şarkılar ayrıca şehirlerin kimlikleri
ile tamamen bağlantılı olup
											onları tanımlayan simgeler
											ve onları müzik şehirleri olarak 
değerlendirmenizin sebebi bu olabilir.
											Bu gibi hikâyelerle ilgili
											herkesin sevdiği bu sihirli olay,
											bu anlar yaşanırken
											şehirlerin özel bir şey yapmıyor oluşudur.
											Yıldırımı şişeye hapsetmek gibi 
imkânsız bir şeyin formülü yoktur.
											Grunge müziği bize veren
											veya Tupac'ı Dr. Dre'ye tanıtan
bir formül değildi,
											plak şirketinizi South Memphis'te,
											Booker T. Jones, William Bell
											ve Albert King'in memleketinde
											açmanız için bir kılavuz da yok.
									","
											Chacune de ses chansons 
représente un genre, un mouvement,
											dans certains cas, une révolution sonore
											qui a totalement transformé l'évolution
de la musique populaire.
											Elles sont aussi des marques de fabrique 
pour la plupart de ces villes,
											indissociables de l'identité 
de leur ville d'origine,
											et c'est probablement pourquoi 
elles sont vues comme villes de musique.
											Cet aspect un peu magique, 
ce petit truc qu'on aime tous
											dans ce genre d'histoires,
											c'est que ces villes n'ont rien fait 
de spécial
											pour provoquer ces moments.
											Il n'y a pas de méthode 
pour mettre la foudre en bouteille.
											Il n'existe pas de recette
à l'origine du grunge
											ou de la rencontre entre Tupac et Dr Dre.
											Et il n'existe pas de mode d'emploi
pour ouvrir son magasin de disques
											dans un quartier sud de Memphis
											dans lequel, comme par hasard,
habitent Booker T. Jones,
											William Bell et Albert King.
									","
											Cada una de estas canciones
representa una escena, un movimiento,
											en algunos casos, una revolución sónica
											que ha alterado completamente
el curso de la música popular.
											Son como tarjetas de presentación
de todas estas ciudades,
											las canciones están vinculadas
con su identidad
											y probablemente por eso sean
consideradas ciudades musicales.
											Lo mítico y mágico, lo que todos amamos
											sobre historias como estas
											es que esas ciudades no
hicieron nada en particular
											para que esos momentos ocurrieran.
											No hay una fórmula para capturar
un relámpago en una botella.
											La música grunge no provino de una fórmula
											y una fórmula no originó
a Tupac o a Dr. Dre
											y, definitivamente, no hay un bosquejo
sobre cómo abrir un negocio discogáfico
											en un barrio del sur de Memphis
											que, resulta ser cuna de Booker T. Jones,
											William Bell y Albert King.
									",How to build a thriving music scene in your city,Elizabeth Cawein,9:57,"music,live music,performance,entertainment,art,creativity,culture,cities,TEDx"
"
","
","
","
",How to build a thriving music scene in your city,Elizabeth Cawein,9:57,"music,live music,performance,entertainment,art,creativity,culture,cities,TEDx"
"
											So this is just something
that happens, then, right?
											When the stars perfectly align,
											great music just happens.
											And in the meantime,
New York and Nashville
											can churn out the hits
that come through our radios,
											define our generations
											and soundtrack our weddings
and our funerals
											and everything in between.
									","
											O zaman bu, bir anda olan
bir şey, değil mi?
											Yıldızlar doğru hizalandığında
											güzel müzik bir anda oluveriyor.
											Bu sırada New York ve Nashville'de
											radyolarda duyduğumuz,
											nesillerimizi tanımlayan
											ve düğünümüze, cenazemize 
ve aradaki her şeye fon müziği olan
											hit şarkıları üretebiliyor.
									","
											C'est donc par pur hasard 
que cela arrive, non ?
											Quand les étoiles sont
parfaitement alignées,
											de la bonne musique se crée.
											Et pendant ce temps,
New York et Nashville
											pondent les tubes qui passent à la radio,
définissent nos générations,
											qui deviennent la bande-son de
nos mariages, de nos enterrements, etc.
									","
											Así que simplemente ocurre.
											Cuando las estrellas
se alinean perfectamente,
											la buena música simplemente sucede.
											Mientras tanto, Nueva York y Nashville
											producen los éxitos
que llegan por la radio,
											definen a generaciones,
											son las bandas sonoras
de nuestras bodas y funerales
											y todo lo demás.
									",How to build a thriving music scene in your city,Elizabeth Cawein,9:57,"music,live music,performance,entertainment,art,creativity,culture,cities,TEDx"
"
","
","
","
",How to build a thriving music scene in your city,Elizabeth Cawein,9:57,"music,live music,performance,entertainment,art,creativity,culture,cities,TEDx"
"
											Well, I don't know about you,
											but the very idea of that
is just deadly boring to me.
											There are musicians all around you,
making powerful, important music,
											and thanks to the internet
and its limitless possibilities
											for creators to create music
											and fans to discover that music,
											those zeitgeist songs
don't have to be handed down to us
											from some conference room
full of songwriters
											in a corporate high-rise.
											But also, and more importantly,
											we can't decide that it's just
something that happens,
											because music is about
so much more than hits,
											those big, iconic moments
that change everything.
											It's more than just entertainment.
											For so many of us,
											music is truly a way to navigate life.
											A means of self-expression, sure,
											but it also helps us find our self-worth
and figure out who we are.
											It connects us with other people
as almost nothing else can,
											across language barriers,
											across social and cultural
and economic divides.
											Music makes us smarter
and healthier and happier.
									","
											Sizi bilmem ama bana göre,
											bu fikir fazlasıyla sıkıcı.
											Etrafınızda güçlü ve önemli müzik yapan
müzisyenler var,
											internet ve onun sınırsız 
imkânları sayesinde
											yaratıcılar müzik yaratabiliyor,
											hayranları o müziği keşfedebiliyor,
											o zeitgeist şarkıları, 
kurumsal bir gökdelendeki
											şarkı yazarlarıyla dolu 
bir konferans salonundan
											aşağı gönderilmiyor.
											Ayrıca ve daha önemlisi,
											bir anda olan bir şey olduğuna 
karar veremeyiz
											çünkü müzik hit şarkılardan,
											her şeyi değiştiren büyük, 
ikonik anlardan çok daha fazlasıdır.
											Eğlenceden çok daha fazlasıdır.
											Birçoğumuz için,
											müzik hayatımızı yönlendirmenin 
bir yoludur.
											Kendimizi ifade etmenin bir yoludur,
											ayrıca kendi değerimizi ve kim olduğumuzu
bulmamıza da yardımcı olur.
											Başka hiç bir şeyin yapmayacağı kadar,
bizi diğer insanlarla bağlar,
											dil bariyerlerini,
											sosyokültürel ve ekonomik
farklılıklarını gözetmeksizin.
											Müzik bizi daha akıllı, 
sağlıklı ve mutlu yapar.
									","
											Je ne sais pas pour vous,
											mais ce genre d'idée m'ennuie à en mourir.
											Vous êtes entourés de musiciens,
qui produisent de la musique poignante,
											et grâce à Internet et son infinité
de possibilités
											pour que les artistes créent de la musique
											et que les fans puissent la découvrir,
											ces chansons emblématiques
n'ont pas besoin de nous être données
											par une salle remplie de compositeurs
											dans un gratte-ciel.
											Le plus important, c'est que
											nous ne pouvons plus prétendre 
que c'est seulement du hasard,
											car la musique ne se limite pas aux tubes,
											ces grands moments marquants
qui ont tout changé.
											La musique est plus qu'un divertissement.
											Pour beaucoup d'entre nous,
											la musique es un guide dans la vie.
											C'est un moyen de s'exprimer,
											mais elle nous aide à définir notre valeur
et qui nous sommes.
											Elle rassemble mieux les individus
que tout autre chose,
											malgré des langues différentes,
											malgré des écarts sociaux, 
culturels et économiques.
											La musique rend plus heureux,
plus intelligents et améliore la santé.
									","
											No sé que piensan Uds.
											pero la simple idea de esto
es mortalmente aburrida para mí.
											Hay músicos a su alrededor, 
creando poderosa música importante
											y gracias a internet
y sus posibilidades ilimitadas
											para que los creadores creen música
											y para que los fans descubran esa música,
											no necesitamos que nos entreguen
estas canciones inmortales
											en una sala de conferencias
llena de compositores
											en un rascacielos corporativo.
											Pero además, lo más importante,
											no podemos decir que solo
se trata de algo que sucede,
											porque la música es mucho más
que los grandes éxitos,
											estos grandes e icónicos momentos
que lo cambian todo.
											Es más que solo entretenimiento.
											Para muchos de nosotros,
											la música es una forma
de guiarnos por la vida.
											Un medio de autoexpresión
											que también nos ayuda a encontrar
nuestro valor y descubrir quiénes somos.
											Nos conecta con otras personas,
como casi nada más lo puede,
											a través de las barreras del lenguaje,
											a través de las divisiones sociales,
culturales y económicas.
											La música nos hace
más astutos, sanos y felices.
									",How to build a thriving music scene in your city,Elizabeth Cawein,9:57,"music,live music,performance,entertainment,art,creativity,culture,cities,TEDx"
"
","
","
","
",How to build a thriving music scene in your city,Elizabeth Cawein,9:57,"music,live music,performance,entertainment,art,creativity,culture,cities,TEDx"
"
											Music is necessary.
											What if you lived in a city
that believed that,
											that said, ""We're not waiting
for that hit song to define us.
											We're a music city
because music is necessary.""
									","
											Müzik gereklidir.
											Buna inanan bir şehirde
yaşasaydınız ne olurdu?
											""Bir hit şarkının
bizi tanımlamasını beklemiyoruz.
											Müzik gerekli olduğu için 
bir müzik şehriyiz."" diyen bir şehir.
									","
											La musique est essentielle.
											Et si vous viviez
dans une ville qui y croit ?
											Une ville qui proclame : « On ne va pas 
attendre qu'un hit nous caractérise.
											Nous sommes une ville musicale
car la musique est essentielle. »
									","
											La música es necesaria.
											¿Y si viviéramos en
una ciudad que creyera eso,
											que dijera, ""No esperamos a que
una canción de éxito nos defina.
											Somos una ciudad musical
porque la música es necesaria"".
									",How to build a thriving music scene in your city,Elizabeth Cawein,9:57,"music,live music,performance,entertainment,art,creativity,culture,cities,TEDx"
"
","
","
","
",How to build a thriving music scene in your city,Elizabeth Cawein,9:57,"music,live music,performance,entertainment,art,creativity,culture,cities,TEDx"
"
											By seeing music as necessary,
a city can build two things:
											first, an ecosystem to support
the development of professional musicians
											and music business;
											and second, a receptive and engaged
audience to sustain them.
											And those are the two critical
elements of a music city,
											a city whose leaders recognize
the importance of music
											for our development as individuals,
											our connection as a community
											and our viability
as a vibrant place to live.
											See, smart cities, music cities,
											know that thriving nightlife,
a creative class, culture
											is what attracts young,
talented people to cities.
											It's what brings that lightning.
											And no, we can't predict
the next egg that will hatch,
											but we can create a city
that acts like an incubator.
									","
											Müziğin gerekli olduğunu gören bir şehir
iki şey inşa edebilir:
											birincisi, profesyonel müzisyen 
ve müzik endüstrisinin
											gelişimini destekleyen bir ekosistem;
											ikincisi, onları sürdürebilecek 
kavrayıcı ve bağlı bir kitle.
											Bu ikisi bir müzik şehri için
iki kritik unsurdur,
											şehrin liderlerinin, kişisel gelişimimiz,
											toplum olarak bağlantımız
											ve canlı bir yer olarak yaşanabilirlik
											için müziğin önemini anladığı şehirlerde.
											Bakın, akıllı şehirler, müzik şehirleri,
											genç ve yetenekli insanları 
şehirlere çeken şeyin
											büyüyen gece hayatı, yaratıcı sınıf 
ve kültür olduğunu bilirler.
											O yıldırımı getiren şey budur.
											Bir sonraki civcivin hangi yumurtadan
çıkacağını bilemeyiz,
											fakat bir kuluçka merkezi gibi davranan
bir şehir yaratabiliriz.
									","
											En la considérant comme telle,
une ville peut bâtir deux choses :
											tout d'abord, un écosystème encourageant
la formation de musiciens professionnels
											et la vente de la musique ;
											ensuite, un public réceptif et impliqué
qui soutient ces musiciens.
											Voilà les deux éléments-clés
d'une ville de musique,
											d'une ville dont les dirigeants
reconnaissent l'importance de la musique
											dans le développement des individus,
											dans la cohésion d'une communauté
											et dans la viabilité de la ville 
en tant qu'environnement vivant.
											Les villes intelligentes, de musique,
											savent qu'une vie nocturne prospère,
une communauté créative et de la culture
											attirent des individus jeunes 
et talentueux dans les villes.
											C'est ce qui dynamise une ville.
											On ne peut pas prévoir
où éclora le talent,
											mais on peut transformer
nos villes en incubateurs.
									","
											Al ver la música como algo necesario,
una ciudad puede construir dos cosas:
											primero, un ecosistema que apoya
el desarrollo de los músicos profesionales
											y el negocio de la música;
											y segundo, una audiencia receptiva
y comprometida para apoyarlos.
											Y estos son los dos elementos cruciales
de una ciudad musical,
											una ciudad cuyos líderes reconocen
la importancia de la música
											en nuestro desarrollo como individuos,
											nuestra conexión como comunidad,
											y nuestro potencial como
un lugar vibrante para vivir.
											Las ciudades inteligentes y musicales
											saben que una vida nocturna próspera,
la creatividad y la cultura
											es lo que atrae a la gente joven
y talentosa a las ciudades.
											Es lo que atrae a ese relámpago.
											Y no, no podemos predecir
dónde se producirá el siguiente éxito,
											pero podemos crear una ciudad
que actúe como incubadora.
									",How to build a thriving music scene in your city,Elizabeth Cawein,9:57,"music,live music,performance,entertainment,art,creativity,culture,cities,TEDx"
