en,pt,tr,fr,title,speaker,duration,tags
"
","
","
","
",What causes hallucinations?,Elizabeth Cox,5:43,"TED-Ed,science,brain,blindness"
"
											An elderly woman named Rosalie 
was sitting in her nursing home
											when her room suddenly burst 
to life with twirling fabrics.
											Through the elaborate drapings,
											she could make out animals,
											children,
											and costumed characters.
											Rosalie was alarmed,
not by the intrusion,
											but because she knew this entourage 
was an extremely detailed hallucination.
											Her cognitive function was excellent,
											and she had not taken any medications 
that might cause hallucinations.
											Strangest of all, had a real-life crowd 
of circus performers burst into her room,
											she wouldn’t have been able to see them:
											she was completely blind.
									","
											Uma senhora idosa, chamada Rosalie,
estava num lar de idosos,
											quando, de repente, o quarto dela
é inundado de tecidos de cores vivas.
											Por entre os tecidos rebuscados
											ela distinguia animais, crianças
											e figuras fantasiadas.
											Rosalie ficou alarmada,
não por causa daquela invasão,
											mas porque sabia que aquela comitiva
											era uma alucinação extremamente minuciosa.
											A sua função cognitiva era excelente
											e não tinha tomado nenhum medicamento
que pudesse causar alucinações.
											O mais estranho de tudo é que,
											se uma multidão real do circo
tivesse invadido o quarto dela,
											ela não teria podido vê-la
											porque estava totalmente cega.
									","
											Rosalie isimli yaşlı bir kadın,
huzur evinde otururken
											odası bir anda fırıl fırıl dönen kumaşlar
ile doldu.
											Desenli kumaşların arasından
											hayvanlar,
											çocuklar
											ve kostümlü karakterleri seçebiliyordu.
											Rosalie , gördüğü şeylerin çok detaylı bir
											halüsinasyon olduğunu bildiği için
endişelenmişti.
											İdrak yeteneği gayet iyiydi,
											ve halüsinasyona yol açabilecek
bir ilaç almamıştı.
											En garibi ise, kanlı canlı 
sirk çalışanları odasına dalsa bile
											onları göremeyecek olmasıydı.
											Çünkü tamamen kör birisi.
									","
											Une vieille dame du nom de Rosalie
se reposait dans sa maison de retraite
											quand sa chambre prit soudain vie
dans un tourbillon de couleurs.
											À travers les rideaux élaborés,
											elle pouvait distinguer
des animaux, des enfants
											et des personnages costumés.
											Rosalie s'inquiéta,
non à cause cette intrusion
											mais parce qu'elle savait
que cette compagnie
											était une hallucination
extrêmement détaillée.
											Ses fonctions cognitives 
étaient excellentes,
											et elle n'avait pris aucun médicament
susceptible de causer ces hallucinations.
											Plus étrange encore,
											si une vraie troupe d’artistes de cirque
avait fait irruption dans sa chambre,
											elle n'aurait pas pu les voir :
											elle était complètement aveugle.
									",What causes hallucinations?,Elizabeth Cox,5:43,"TED-Ed,science,brain,blindness"
"
","
","
","
",What causes hallucinations?,Elizabeth Cox,5:43,"TED-Ed,science,brain,blindness"
"
											Rosalie had developed a condition known 
as Charles Bonnet Syndrome,
											in which patients with either impaired 
vision or total blindness
											suddenly hallucinate whole scenes 
in vivid color.
											These hallucinations appear suddenly,
											and can last for mere minutes 
or recur for years.
											We still don’t fully understand 
what causes them to come and go,
											or why certain patients develop them 
when others don’t.
											We do know from fMRI studies 
that these hallucinations
											activate the same brain areas as sight,
											areas that are not activated 
by imagination.
									","
											Rosalie sofria de uma doença
conhecida por Síndroma de Charles Bonnet
											em que os doentes com deficiência visual
ou totalmente cegos
											de repente veem cenas inteiras
em cores vivas.
											Estas alucinações aparecem
subitamente,
											e podem durar alguns minutos
ou repetir-se durante anos.
											Ainda não percebemos bem o que faz
com que elas apareçam e desapareçam
											ou porque é que alguns doentes
as têm e outros não.
											Só sabemos, pelos estudos de fMRI
que estas alucinações
											ativam as mesmas áreas
do cérebro que a visão.
											áreas que não são ativadas
pela imaginação.
									","
											Rosalie'nin,bir sorunu var.
Charles Bonnet Sendromu:
											Tamamen kör ya da 
zayıf görüş kabiliyeti olan kişilerin
											birdenbire canlı renklerle 
dolu halüsinasyonlar görmesi.
											Bu halüsinasyonlar birden belirip,
											dakikalarca sürebiliyor ve aralıklarla 
yıllar boyu devam edebiliyorlar.
											Halüsinasyonun oluşup kaybolmasının sebebi
											ya da neden bazı kişilerde olurken 
bazılarında olmadığı bilinmiyor.
											Ama fMRI araştırmalarından biliyoruz ki
halüsinasyonlar, beynimizde
											hayal kurduğumuzda çalışan yerleri değil
											görmek için kullanılan yerleri 
harekete geçiriyor.
									","
											Rosalie avait développé une maladie connue
sous le nom de syndrome de Charles Bonnet,
											où les patients présentant
une déficience visuelle
											ou une cécité totale,
											hallucinent soudainement
des scènes entières de couleurs vives.
											Ces hallucinations apparaissent
soudainement
											et peuvent durer quelques minutes
ou se répéter pendant des années.
											Nous ne comprenons toujours pas exactement
pourquoi elles vont et viennent

											ou pourquoi certains patients
les développent, alors que d'autres non.
											Nous savons par des études IRMf
que ces hallucinations
											activent les mêmes zones du cerveau
que la vue,
											des zones qui ne sont pas activées
par l'imagination.
									",What causes hallucinations?,Elizabeth Cox,5:43,"TED-Ed,science,brain,blindness"
"
","
","
","
",What causes hallucinations?,Elizabeth Cox,5:43,"TED-Ed,science,brain,blindness"
"
											Many other hallucinations, 
including smells,
											sights,
											and sounds,
											also involve the same brain areas 
as real sensory experiences.
											Because of this, the cerebral cortex is
thought to play a part in hallucinations.
											This thin layer of grey matter 
covers the entire cerebrum,
											with different areas processing 
information from each of our senses.
											But even in people
with completely unimpaired senses,
											the brain constructs the world we perceive
from incomplete information.
											For example, our eyes have blind spots
											where the optic nerve 
blocks part of the retina.
											When the visual cortex processes light 
into coherent images,
											it fills in these blind spots with 
information from the surrounding area.
											Occasionally, we might notice a glitch,
but most of the time we’re none the wiser.
									","
											Muitas outras alucinações,
incluindo os cheiros,
											as visões e os sons,
											também envolvem
as mesmas áreas do cérebro
											que as experiências sensórias reais.
											Por isso, pensa-se que o córtex cerebral
desempenha um papel nas alucinações.
											Esta delgada camada de matéria cinzenta
envolve todo o cérebro
											em que diferentes áreas processam
as informações de cada um dos sentidos.
											Mas, mesmo em pessoas
com sentidos totalmente perfeitos
											o cérebro constrói o mundo
que apreendemos
											a partir de informações incompletas.
											Por exemplo, os nossos olhos
têm locais cegos
											em que o nervo ótico
bloqueia parte da retina.
											Quando o córtex visual processa a luz
em imagens coerentes
											preenche estes locais cegos
com informações da área envolvente.
											Por vezes, podemos reparar numa falha,
mas quase sempre não damos por nada.
									","
											Görme ve duyma gibi
											diğer halüsinasyon
											türleri de
											beyinde aynı bölgeyi,
sanki gerçekmişçesine, çalıştırıyor.
											Bu yüzden serebral korteksin halüsinasyon
oluşumunda etkisi olduğu düşünülüyor.
											Bu ince gri madde, 
farklı bölgeler ve farklı duyulardan gelen
											bilgileri işlerken bütün 
serebroyu çevreliyor.
											Duyuları hiç zarar görmemiş kişilerde bile
											beyin, algıladığımız dünyayı
yarım bilgilerden kuruyor.
											Örneğin; gözümüz optik sinirlerin
retinanın bir kısmı tarafından
											bloke edildiği yerlerde kör
noktalara sahip.
											Görsel korteks: ışığı, 
görsellere çevirirken
											kör noktaları, 
çevredeki diğer bilgilerle dolduruyor.
											Nadiren, küçük bir aksaklık olur
ama genellikle bunun farkında olmayız.
									","
											De nombreuses autres hallucinations,
pouvant être olfactives,
											visuelles,
											et auditives
											impliquent les mêmes zones cérébrales
que les expériences sensorielles réelles.
											On pense donc que le cortex cérébral
joue un rôle dans les hallucinations.
											Cette fine couche de matière grise
recouvre tout le cerveau,
											des zones différentes traitant
les informations de chacun de nos sens.
											Même chez des personnes
ayant des sens complètement intacts,
											le cerveau construit le monde
que nous percevons
											à partir d'informations incomplètes.
											Par exemple, nos yeux
ont des points aveugles
											où le nerf optique bloque
une partie de la rétine.
											Lorsque le cortex visuel traite la lumière
en images cohérentes,
											il remplit ces points aveugles
avec des informations se trouvant autour.
											Parfois, nous pouvons remarquer
un problème,
											mais la plupart du temps,
nous n'y voyons que du feu.
									",What causes hallucinations?,Elizabeth Cox,5:43,"TED-Ed,science,brain,blindness"
"
","
","
","
",What causes hallucinations?,Elizabeth Cox,5:43,"TED-Ed,science,brain,blindness"
"
											When the visual cortex is deprived 
of input from the eyes, even temporarily,
											the brain still tries 
to create a coherent picture,
											but the limits of its abilities 
become a lot more obvious.
											The full-blown hallucinations of
Charles Bonnet Syndrome are one example.
											Because Charles Bonnet Syndrome 
only occurs in people
											who had normal vision 
and then lost their sight,
											not those who were born blind,
											scientists think the brain uses
remembered images
											to compensate for 
the lack of new visual input.
											And the same is true for other senses.
											People with hearing loss 
often hallucinate music or voices,
											sometimes as elaborate as the cacophony 
of an entire marching band.
									","
											Quando o córtex visual é privado
de informações dos olhos,
											mesmo temporariamente,
											o cérebro continua a tentar
criar uma imagem coerente
											mas os limites da sua capacidade
tornam-se muito mais evidentes.
											As alucinações do Síndroma
de Charles Bonnet são exemplo disso.
											Como o Síndroma de Charles Bonnet
só acontece em pessoas
											que tiveram uma visão normal
e depois perderam a visão.
											e nunca nas pessoas que nasceram cegas,
											os cientistas pensam que o cérebro
usa recordações de imagens
											para compensar a falta de
novas informações visuais.
											O mesmo é verdade para outros sentidos.
											As pessoas que perderam o ouvido
podem ter alucinações de música ou vozes,
											por vezes tão elaboradas como
a cacofonia de uma banda militar.
									","
											Geçici süreliğine bile olsa görsel korteks
gözün verilerinden yoksun kaldığında
											beynimiz uyumlu resimler
oluşturmaya çalışır.
											Bu özelliğin sınırları daha belirginleşti.
											Bu etkili Charles Bonnet Sendromu 
halüsinasyonları sadece bir örnek.
											Charles Bonnet Sendromu 
sadece önceden görebilen
											ve sonra görüşünü kaybeden
insanlarda görülüyor.
											Doğuştan kör olanlarda görülmediği için;
											bilim insanları, beynin hatırlanan 
görselleri, yeni görsel veri eksikliğini
											karşılaması için kullandığını düşünüyor.
											Aynısı diğer duyularımız için de geçerli.
											İşitme kaybı olanlar genellikle 
müzik ve seslerle,
											bazen de ahenksiz, kocaman müzik
guruplarıyla ilgili halüsinasyon görür.
									","
											Lorsque le cortex visuel est privé
de la contribution des yeux,
											même temporairement,
											le cerveau tente quand même
de créer une image cohérente
											mais les limites de ses capacités
se révèlent vite.
											Les hallucinations avérées du syndrome
de Charles Bonnet en sont un bon exemple.
											Car le syndrome de Charles Bonnet
ne survient que chez les personnes
											ayant eu une vision normale
avant de perdre la vue,
											non chez ceux nés aveugles,
											les scientifiques pensent que le cerveau
utilise des images mémorisées
											pour compenser le manque
de nouvelles entrées visuelles.
											Et la même chose est vraie
pour les autres sens.
											Les personnes malentendantes hallucinent
souvent de la musique ou des voix,
											parfois aussi complexe
que la cacophonie d'une fanfare.
									",What causes hallucinations?,Elizabeth Cox,5:43,"TED-Ed,science,brain,blindness"
"
","
","
","
",What causes hallucinations?,Elizabeth Cox,5:43,"TED-Ed,science,brain,blindness"
"
											In addition to sensory deprivation,
											recreational and therapeutic drugs,
											conditions like epilepsy and narcolepsy,
											and psychiatric disorders 
like schizophrenia,
											are a few of the many known causes 
of hallucinations,
											and we’re still finding new ones.
									","
											Para além da privação sensorial,
											as drogas recreativas e terapêuticas,
											doenças como a epilepsia
e a narcolepsia
											e as perturbações psiquiátricas
como a esquizofrenia,
											são algumas das muitas causas
conhecidas de alucinações
											e continuamos a descobrir outras.
									","
											Duyu eksikliği haricinde:
											eğlence için alınan uyuşturucular
ve tedavisel ilaçlar,
											epilepsi ve narkolepsi gibi durumlar
											ve şizofreni gibi psikolojik rahatsızlıklar
											halüsinasyonun bilinen birkaç sebebi
											ve hergün daha başkalarını buluyoruz.
									","
											En plus de la privation sensorielle,
											les drogues récréatives et thérapeutiques,
											des maladies comme
l’épilepsie et la narcolepsie,
											ainsi que les troubles psychiatriques
comme la schizophrénie
											sont quelques-unes des nombreuses causes
connues d'hallucinations,
											et nous en trouvons encore de nouvelles.
									",What causes hallucinations?,Elizabeth Cox,5:43,"TED-Ed,science,brain,blindness"
