en,pt,fr,es,de,tr,title,speaker,duration,tags
"
","
","
","
","
","
",What really happened to the Library of Alexandria?,Elizabeth Cox,4:59,"books,TED-Ed,literature,library,history"
"
											2,300 years ago,
											the rulers of Alexandria 
set out to fulfill
											one of humanity’s most audacious goals:
											to collect all the knowledge in the world 
under one roof.
											In its prime,
											the Library of Alexandria housed 
an unprecedented number of scrolls
											and attracted some of 
the Greek world’s greatest minds.
											But by the end of the 5th century CE,
the great library had vanished.
											Many believed it was destroyed 
in a catastrophic fire.
											The truth of the library’s rise 
and fall is much more complex.
									","
											Há 2300 anos,
											os governantes de Alexandria
decidiram concretizar
											um dos mais audaciosos 
objetivos da Humanidade:
											reunir todos os conhecimentos
do mundo debaixo do mesmo teto.
											No seu auge, a Biblioteca de Alexandria
											continha um número surpreendente
de rolos de manuscritos
											e atraía alguns dos maiores espíritos
do mundo grego.
											Mas, no final do século V da nossa era,
a grande biblioteca tinha desaparecido.
											Muitos pensaram que ela tinha 
sido destruída num incêndio catastrófico.
											A verdade sobre a ascensão
e a decadência da biblioteca
											é muito mais complexa.
									","
											Il y a 2 300 ans,
											les dirigeants d'Alexandrie
décidèrent d'accomplir
											l'un des objectifs les plus audacieux
de l'humanité :
											réunir toute la connaissance
du monde sous un seul toit.
											À son apogée,
											la Bibliothèque d'Alexandrie abritait
un nombre inégalé de rouleaux
											et attirait certains des plus grands
esprits du monde grec.
											Mais, à la fin du Ve siècle après J.-C.,
la grande bibliothèque avait disparu.
											Beaucoup croyaient qu'elle avait brûlée
dans un incendie catastrophique.
											La vérité de la grandeur et décadence
de la bibliothèque est bien plus complexe.
									","
											Hace 2300 años,
											los gobernantes de Alejandría
se propusieron cumplir
											uno de los objetivos 
más audaces de la humanidad:
											reunir todo el conocimiento 
del mundo bajo un mismo techo.
											En su esplendor,
											la Biblioteca de Alejandría alojó
un número sin precedentes de manuscritos
											y atrajo a algunas de las mentes
más brillantes de Grecia.
											Pero a fines del siglo V d. C.
la gran biblioteca había desaparecido.
											Muchos creyeron que fue destruida
en un voraz incendio.
											La verdad del auge y la caída 
de la biblioteca es mucho más compleja.
									","
											Vor 2.300 Jahren beschlossen
die Herrscher von Alexandria,
											eines der kühnsten Ziele
der Menschheit zu verwirklichen
											und das gesamte Wissen der Welt
unter einem Dach zu vereinen.
											In ihrer Blüte beherbergte
die Bibliothek von Alexandria
											eine nie dagewesene
Anzahl von Schriftrollen
											und zog die größten Gelehrten
der griechischen Welt an.
											Doch Ende des 5. Jahrhunderts n. Chr.
war die große Bibliothek verschwunden.
											Viele glaubten, sie sei
einer Brandkatastrophe zum Opfer gefallen.
											Aufstieg und Fall der Bibliothek
sind jedoch viel komplexer.
									","
											2,300 yıl önce
											İskenderiye yöneticileri insanlığın 

											en cesur amaçlarından biriyle 
yola çıktılar;
											dünyadaki bütün bilgileri bir 
çatı altında toplamak.
											En parlak zamanında
											İskenderiye kütüphanesi 
eşi benzeri olmayan parşömenlere sahipti
											ve Yunan aleminin en başarılılarının 
ilgisini çekti.
											Fakat, M.Ö. 5. yüzyıl sonunda 
bu büyük kütüphane yok oldu.
											Çoğu insan kütüphanenin
yıkıcı bir yangında yok olduğuna inandı.
											Kütüphanenin yükselişi ve düşüşünün
arkasındaki gerçekler daha karmaşık.
									",What really happened to the Library of Alexandria?,Elizabeth Cox,4:59,"books,TED-Ed,literature,library,history"
"
","
","
","
","
","
",What really happened to the Library of Alexandria?,Elizabeth Cox,4:59,"books,TED-Ed,literature,library,history"
"
											The idea for the library came 
from Alexander the Great.
											After establishing himself as a conqueror,
											the former student of Aristotle 
turned his attention
											to building an empire of knowledge 
headquartered in his namesake city.
											He died before construction began,
											but his successor, Ptolemy I,
											executed Alexander’s plans 
for a museum and library.
									","
											A ideia da biblioteca 
partiu de Alexandre Magno.
											Depois de se ter instalado
como conquistador,
											o antigo aluno de Aristóteles
virou a sua atenção
											para criar um império de conhecimento
com sede na cidade com o seu nome.
											Morreu antes de começar a construção,
											mas o seu sucessor, Ptolomeu I,
											executou os planos de Alexandre
para um museu e uma biblioteca.
									","
											L'idée de la bibliothèque
venait d'Alexandre le Grand.
											Après s’être imposé comme conquérant,
											l'ancien étudiant d'Aristote décida
											de construire un empire de connaissance
situé dans sa cité éponyme.
											Il mourut avant le début des travaux,
											mais son successeur, Ptolémée I,
											exécuta les plans d'Alexandre
pour un musée et une bibliothèque.
									","
											La idea de erigir esta biblioteca 
fue de Alejandro Magno.
											Luego de establecerse como conquistador,
											el primer alumno de Aristóteles
se propuso firmemente
											construir un imperio de conocimiento
situado en su ciudad homónima.
											Alejandro murió antes 
de que la construcción comenzara,
											pero su sucesor, Ptolomeo I,
											llevó a cabo los planes de Alejandro
de construir un museo y una biblioteca.
									","
											Die Idee für die Bibliothek
stammte von Alexander dem Großen.
											Der ehemalige Aristoteles-Schüler
eroberte die Stadt,
											die später nach ihm benannt wurde,
											und plante, sie in ein Zentrum
des Wissens zu verwandeln.
											Er starb vor Beginn der Bauarbeiten,
											aber sein Nachfolger Ptolemäus I.
											verwirklichte Alexanders Pläne
für ein Museum und eine Bibliothek.
									","
											Böyle bir kütüphane fikri
Büyük İskender'den çıkmıştır.
											""Fatih"" olarak nam saldıktan sonra,
											Aristo'nun eski öğrencisi, 
ismini verdiği şehirde
											bilgi imparatorluğu kurmak için 
bütün ilgisini İskenderiye'ye verdi.
											İnşaası başlamadan önce öldü
											ama varisi I. Ptolemaios
											Büyük İskender'in müze ve kütüphane için
planlarını gerçekleştirdi.
									",What really happened to the Library of Alexandria?,Elizabeth Cox,4:59,"books,TED-Ed,literature,library,history"
"
","
","
","
","
","
",What really happened to the Library of Alexandria?,Elizabeth Cox,4:59,"books,TED-Ed,literature,library,history"
"
											Located in the royal district of the city,
											the Library of Alexandria
											may have been built 
with grand Hellenistic columns,
											native Egyptian influences,
											or a unique blend of the two—there are 
no surviving accounts of its architecture.
											We do know it had lecture halls, 
classrooms, and, of course, shelves.
											As soon as the building was complete,
											Ptolemy I began to fill it with
primarily Greek and Egyptian scrolls.
											He invited scholars to live 
and study in Alexandria at his expense.
											The library grew as they contributed 
their own manuscripts,
											but the rulers of Alexandria still wanted 
a copy of every book in the world.
									","
											Situada no bairro real da cidade,
											a Biblioteca de Alexandria
											pode ter sido construída
com grandes colunas helenísticas,
											influências nativas egípcias,
											ou uma mistura das duas coisas
— não ficaram relatos da sua arquitetura.
											Mas sabemos que tinha salas de leitura,
salas de aulas e, claro, prateleiras.
											Logo que o edifício ficou pronto,
											Ptolomeu I começou a enchê-lo
com rolos de manuscritos gregos e egípcios.
											Convidou eruditos para viverem
e estudarem em Alexandria,
											a expensas suas.
											A biblioteca aumentou com as contribuições
dos manuscritos deles
											mas os governantes de Alexandria
											queriam uma cópia
de todos os livros do mundo.
									","
											Située dans le quartier royal de la cité,
											la Bibliothèque d'Alexandrie
											avait peut-être été construite
avec de grandes colonnes hellénistiques,
											avec des influences égyptiennes
											ou avec un mélange unique des deux, mais
il n'y pas de récits sur son architecture.
											Nous savons qu'elle avait
des salles de cours, des classes
											et, bien sûr, des étagères.
											Aussitôt que le bâtiment fut complet,
											Ptolémée I commença à le remplir
avec des rouleaux grecs et égyptiens.
											Il invita les érudits à vivre et étudier
à Alexandrie à ses dépens.
											La bibliothèque grandissait alors
qu'ils y ajoutaient leurs manuscrits,
											mais les dirigeants d'Alexandrie voulaient
une copie de tous les livres du monde.
									","
											Situada en el distrito real de la ciudad,
											la Biblioteca de Alejandría
											pudo haber sido construida 
con grandiosas columnas helenísticas,
											influencias egipcias originales,
											o una singular combinación
de ambos estilos.
											En realidad, no se han conservado
evidencias de su arquitectura.
											Sí sabemos que tuvo salas de lectura,
aulas y, por supuesto, estanterías.
											Tan pronto como el edificio 
fue terminado,
											Ptolomeo I comenzó a llenarlo, ante todo
de manuscritos griegos y egipcios.
											Invitó a eruditos a vivir y estudiar 
en Alejandría a su cargo.
											La biblioteca creció conforme ellos 
contribuían con sus propios manuscritos,
											pero los gobernantes de Alejandría
querían una copia de cada libro del mundo.
									","
											Die Bibliothek lag
im Palastviertel der Stadt
											und wies wohl große hellenistische Säulen,
											ägyptische Stilelemente
											oder eine einzigartige Mischung
aus beidem auf.
											Ihre Architektur ist nicht überliefert.
											Wir wissen aber, dass es dort Hörsäle,
Klassenräume und natürlich Regale gab.
											Als das Gebäude fertig war,
											füllte es Ptolemäus mit meist griechischen
und ägyptischen Schriftrollen.
											Er lud auf eigene Kosten Gelehrte
zum Studium nach Alexandria ein.
											Dank deren Manuskripte
wuchs die Bibliothek weiter,
											aber die Herrscher Alexandrias wollten
jedes Buch auf der Welt besitzen.
									","
											Şehrin kraliyet bölgesinde olan

											İskenderiye Kütüphanesi,
											büyük Helenistik sütunlarla,
yerel Mısır etkileriyle
											ya da ikisinin eşsiz birleşimiyle
inşa edilmiş olabilir
											ancak mimarisinden günümüze kalan 
hiçbir kanıt yoktur.
											Amfilerin, sınıfların ve tabii ki 
rafların olduğunu biliyoruz.
											Bina tamamlanır tamamlanmaz
I. Ptolemaios binayı
											öncelikli olarak Yunan ve Mısır 
parşömenleriyle doldurmaya başladı.
											Masrafları karşılayıp alimleri, yaşamaları
ve çalışmaları için İskenderiye'ye
											çağırdı ve onların el yazmalarıyla beraber
kütüphane büyümeye başladı ancak
											İskenderiye yöneticileri hâlâ dünyadaki 
her kitabın bir kopyasını istiyorlardı.
									",What really happened to the Library of Alexandria?,Elizabeth Cox,4:59,"books,TED-Ed,literature,library,history"
"
","
","
","
","
","
",What really happened to the Library of Alexandria?,Elizabeth Cox,4:59,"books,TED-Ed,literature,library,history"
"
											Luckily, Alexandria was a hub for ships
traveling through the Mediterranean.
											Ptolemy III instituted a policy requiring 
any ship that docked in Alexandria
											to turn over its books for copying.
											Once the Library’s scribes 
had duplicated the texts,
											they kept the originals 
and sent the copies back to the ships.
											Hired book hunters also scoured 
the Mediterranean
											in search of new texts,
											and the rulers of Alexandria attempted 
to quash rivals
											by ending all exports of the Egyptian 
papyrus used to make scrolls.
									","
											Felizmente, Alexandria
era um porto de abrigo
											para os barcos que viajavam
pelo Mediterrâneo.
											Ptolomeu III instituiu
uma política que exigia
											que qualquer navio
que ancorasse em Alexandria
											entregasse os seus livros
para serem copiados.
											Depois de os escribas da biblioteca
terem duplicado os textos,
											guardavam os originais
e devolviam as cópias aos navios.
											Caçadores de livros contratados
também esquadrinhavam o Mediterrâneo
											em busca de novos textos,
											e os governantes de Alexandria
tentavam suplantar os seus rivais
											proibindo a exportação
do papiro egípcio
											usado para fazer os rolos.
									","
											Heureusement, Alexandrie était un centre
pour les navires de la Méditerranée.
											Ptolémée III élabora une politique
											qui imposait à tous les navires
amarrés à Alexandrie
											de remettre leurs livres pour les copier.
											Une fois copiés,
les scribes de la Bibliothèque
											gardaient les originaux
et renvoyaient les copies aux navires.
											Il y avait même des chasseurs de livres
qui parcouraient la Méditerranée
											à la recherche de nouveaux textes,
											et les dirigeants d'Alexandrie
essayèrent de supprimer leurs rivaux
											en cessant toute exportation de papyrus
égyptien utilisé pour les rouleaux.
									","
											Por suerte, Alejandría 
era un centro neurálgico
											para los barcos que pasaban
por el Mediterráneo.
											Ptolomeo III instituyó una política 
por la que cada barco que allí atracaba
											debía ceder sus libros
para hacerles una copia.
											Una vez que los escribas 
de la biblioteca duplicaban los textos,
											se quedaban con los originales 
y regresaban las copias a los barcos.
											Había también cazadores de libros
que recorrían el Mediterráneo
											por encargo, en busca de nuevos textos,
											y los gobernantes de Alejandría
intentaron neutralizar a los rivales
											prohibiendo las exportaciones 
de papiro egipcio,
											material con que se hacían
los manuscritos.
									","
											Zum Glück kamen auf ihrer Mittelmeerreise
viele Schiffe nach Alexandria.
											Ptolemäus III. ordnete an,
											dass jedes anlegende Schiff seine Bücher
zum Abschreiben abgeben musste.
											Sobald die Bibliotheksschreiber
die Texte kopiert hatten,
											behielten sie die Originale
											und schickten die Kopien
zurück auf die Schiffe.
											Bezahlte Buchjäger
durchkämmten das Mittelmeer
											auf der Suche nach neuen Texten
											und die Herrscher von Alexandria
schalteten Rivalen aus,
											indem sie den Export von Papyrus
zur Produktion von Schriftrollen stoppten.
									","
											Neyse ki, İskenderiye Akdeniz'den geçen
gemiler için bir merkez konumundaydı.
											III. Ptolemy İskenderiye'de demirlemiş 
her geminin kopyalaması için kitaplarını
											teslim etmesini gerektiren 
bir yasa çıkardı.
											Kütüphanenin katipleri metinleri
kopyaladıktan sonra
											orijinal metinleri alarak kopyaları 
gemilere geri gönderdiler.
											Parayla tutulan kitap avcıları 
yeni metinler bulmak için
											tüm Akdeniz'i taradılar
											ve İskenderiye yöneticileri parşömen
yapımında kullanılan Mısır papirüsünün
											ihracatını sonlandırarak 
rakiplerini bastırmaya çalıştılar.
									",What really happened to the Library of Alexandria?,Elizabeth Cox,4:59,"books,TED-Ed,literature,library,history"
"
","
","
","
","
","
",What really happened to the Library of Alexandria?,Elizabeth Cox,4:59,"books,TED-Ed,literature,library,history"
"
											These efforts brought hundreds 
of thousands of books to Alexandria.
											As the library grew,
											it became possible to find information 
on more subjects than ever before,
											but also much more difficult to find 
information on any specific subject.
											Luckily, a scholar named Callimachus of
Cyrene set to work on a solution,
											creating the pinakes,
											a 120-volume catalog 
of the library’s contents,
											the first of its kind.
									","
											Estes esforços contribuíram para centenas
ou milhares de livros para Alexandria.
											À medida que a biblioteca aumentava,
											tornou-se possível encontrar informações
sobre mais temas do que nunca
											mas também era muito mais difícil
											encontrar informações sobre
qualquer assunto específico.
											Felizmente, um erudito chamado Calímaco
de Cirene descobriu uma solução,
											criando o Pinakes,
											um catálogo de 120 volumes
com o conteúdo da biblioteca,
											o primeiro do seu género.
									","
											Ces efforts portèrent des centaines
de milliers de livres à Alexandrie.
											Alors que la bibliothèque grandissait,
											il devint possible de trouver plus d'infos
que jamais auparavant,
											mais aussi plus difficile de trouver
des infos sur un sujet spécifique.
											Heureusement, un savant appelé Callimaque
de Cyrène trouva une solution
											en créant les pinakes,
											un catalogue de 120 volumes
des œuvres détenues dans la bibliothèque,
											le premier dans son genre.
									","
											Estas medidas atrajeron cientos
de miles de libros a Alejandría.
											A medida que la biblioteca crecía,
											mayor era la posibilidad de encontrar
información en más cantidad de temas,
											pero también era más difícil encontrar
información sobre un tema específico.
											Por suerte, un erudito llamado 
Calímaco de Cirene puso manos a la obra
											y creó las ""pinakes"":
											un catálogo de 120 volúmenes
con el contenido de la biblioteca,
											el primero en su clase.
									","
											Das alles brachte
Unmengen Bücher nach Alexandria.
											Die Bibliothek wuchs
											und man fand zwar Informationen
zu immer mehr Themen,
											doch wurde es immer schwieriger,
Informationen zu Spezialthemen zu finden.
											Zum Glück kam der Gelehrte
Kallimachos von Kyrene auf eine Lösung.
											Er schuf die Pinakes,
											einen 120-bändigen Katalog
der Bibliotheksbestände,
											das erste Werk dieser Art.
									","
											Bu çabalar İskenderiye'ye yüz binlerce 
kitabın gelmesine neden oldu.
											Kütüphane büyüdükçe,
											birçok konu hakkında bilgi bulmak 
öncekinden daha kolay hâle geldi
											fakat aynı zamanda herhangi bir konu 
hakkında bilgi bulmak daha da zorlaştı.
											Neyse ki, Kireneli Callimachus,
											türünün ilk örneği olan ve
kütüphanenin içeriğini gösteren
											120 ciltlik panolar hazırlayarak
											bir çözüm üzerinde çalışmaya başladı.
									",What really happened to the Library of Alexandria?,Elizabeth Cox,4:59,"books,TED-Ed,literature,library,history"
