en,fr,pt,es,tr,de,title,speaker,duration,tags
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											Like many of us,
											I've had several careers in my life,
											and although they've been varied,
											my first job set the foundation
for all of them.
											I was a home-birth midwife
throughout my 20s.
											Delivering babies taught me
valuable and sometimes surprising things,
											like how to start a car at 2am.
											when it's 10 degrees below zero.
									","
											Comme beaucoup parmi nous,
											j'ai eu plusieurs carrières
au cours de ma vie
											et bien qu'elles aient été variées,
											mon premier emploi a établi les fondements
pour toutes ces carrières.
											J'étais sage-femme pour les accouchements
à domicile de mes 20 à 30 ans.
											Mettre au monde des bébés m'a appris
des choses utiles et parfois surprenantes,
											par exemple comment
démarrer une voiture à 2h du matin
											alors qu'il fait -10°C.
									","
											Tal como muita gente,
											tenho tido várias carreiras na minha vida
											e, embora tenham sido variadas,
											foi o meu primeiro emprego
que criou a base para todas elas.
											Fui parteira ao domicílio,
entre os 20 e os 30 anos.
											Ajudar bebés a nascer ensinou-me
coisas úteis e, por vezes, surpreendentes,
											como pôr um carro a andar,
às duas da manhã,
											com uma temperatura
de 10 graus negativos.
									","
											Como muchos de nosotros,
											he tenido varias carreras en mi vida,
											y aunque han sido variadas,
											mi primer trabajo sentó 
las bases para el resto.
											Era partera en casa 
durante la década de mis 20 años.
											Ayudar a nacer bebés me enseñó cosas 
valientes y, a veces, sorprendentes
											como arrancar un auto a las 2 am.
											a una temperatura de -10 ºC.
									","
											Çoğumuz gibi,
											hayatımda farklı kariyerlerim oldu
											ve hepsi çeşitli olmasına rağmen
											ilk işim hepsinin temeli oldu.
											20'li yaşlarım boyunca 
ev doğumu yapan bir ebeydim.
											Bebekleri doğurtmak bana değerli ve
bazen de şaşırtıcı şeyler öğretti.
											Sıfırın altında 10 dereceyken,
											sabahın ikisinde arabayı çalıştırmak gibi
									","
											Wie viele von uns
											habe ich in meinem Leben
mehrere Berufe gehabt,
											und obwohl sie verschieden waren,
											legte meine erste Tätigkeit 
das Fundament für alle anderen.
											In meinen Zwanzigern war ich
Hebamme für Hausgeburten.
											Die Geburtshilfe lehrte mich wertvolle
und manchmal überraschende Dinge,
											wie z. B. um zwei Uhr nachts
ein Auto zu starten,
											bei 10 Grad unter Null.
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											(Laughter)
									","
											(Rires)
									","
											(Risos)
									","
											(Risas)
									","
											(Gülüşmeler)
									","
											(Lachen)
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											Or how to revive a father
who's fainted at the sight of blood.
									","
											Ou ranimer un père
qui s'est évanoui à la vue du sang.
									","
											Ou como reanimar um pai
que desmaiou quando viu sangue.
									","
											O a revivir a un padre desmayado 
al ver sangre.
									","
											ya da kan görmesiyle bayılan
babayı ayıltmak gibi.
									","
											Oder einen Vater wiederzubeleben, der beim
Anblick von Blut in Ohnmacht gefallen ist.
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											(Laughter)
									","
											(Rires)
									","
											(Risos)
									","
											(Risas)
									","
											(Gülüşmeler)
									","
											(Lachen)
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											Or how to cut the umbilical cord just so,
											to make a beautiful belly button.
									","
											Ou comment couper le cordon ombilical
											pour qu'il fasse un beau nombril.
									","
											Ou como cortar o cordão umbilical
											de modo a fazer um umbigo muito bonito.
									","
											O a cortar el cordón umbilical
											para hacer un ombligo hermoso.
									","
											Ya da güzel bir göbek deliği yapmak için
											göbek bağını nasıl kesmem gerektiği gibi.
											Ebeliği bıraktığım ve diğer işlere 
başladığım zaman,
											bu şeyler benimle kalan ya da bana 
rehberlik eden şeyler olmadı.
											Bende kalan temel şey her birimizin
											bu dünyaya eşsiz bir değerle 
gelmesi inancıydı.
											Yeni doğan bebeğin yüzüne baktığım zaman,
											bu değere gözüm ilişti,
											pişmanlık duymayan benlik hissine,
											o benzersiz kıvılcıma.
											Her bebeği odaya getirdiklerinde
											bu kıvılcımı tanımlamak için
""ruh"" kelimesini kullanırım,
											çünkü bu anlama yakın olan
İngilizce'deki tek kelime.
									","
											Oder die Nabelschnur so zu durchtrennen,
											dass daraus ein schöner Bauchnabel wird.
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
