es,tr,en,de,title,speaker,duration,tags
"
","
","
","
",How reliable is your memory?,Elizabeth Loftus,17:36,"memory,psychology,science,crime,mind,cognitive science,sight,brain,neuroscience,bioethics,medical research,mental health,morality"
"
											Quisiera contarles acerca de un caso jurídico en el que trabajé
											que involucró a un hombre llamado Steve Titus.
									","
											Size Steve Titus isimli bir kişinin hikayesini anlatan
											üzerinde çalıştığım adli bir davadan bahsetmek istiyorum.
									","
											I'd like to tell you about a legal case that I worked on
											involving a man named Steve Titus.
									","
											Ich möchte Ihnen von einem Fall erzählen, 
an dem ich gearbeitet habe,
											der einen Mann 
namens Steve Titus betraf.
									",How reliable is your memory?,Elizabeth Loftus,17:36,"memory,psychology,science,crime,mind,cognitive science,sight,brain,neuroscience,bioethics,medical research,mental health,morality"
"
","
","
","
",How reliable is your memory?,Elizabeth Loftus,17:36,"memory,psychology,science,crime,mind,cognitive science,sight,brain,neuroscience,bioethics,medical research,mental health,morality"
"
											Titus dirigía un restaurante.
											Tenía 31 años, vivía en Seattle, Washington,
											estaba comprometido con Gretchen
											a punto de casarse. Ella era el amor de su vida.
											Una noche, la pareja salió
											para cenar románticamente a un restaurante.
											Iban de regreso a casa,
											y los detuvo un oficial de policía.
											El carro de Titus se tenía algún parecido
											con un carro que antes esa misma tarde manejaba
											un hombre que había violado a una mujer que le pidió un aventón.
											Titus se parecía algo a ese violador.
											Así que la policía tomó una fotografía de Titus,
											la pusieron junto con otras
											y se las mostraron a la víctima.
											Ella señaló la foto de Titus
											y dijo, ""ese es el más parecido"".
											La policía y la fiscalía iniciaron un juicio
											contra Steve Titus quien fue inculpado por violación.
											Cuando la víctima de la violación subió al estrado,
											dijo, ""estoy completamente segura
de que ese es el hombre"".
											Y Titus fue condenado.
											Él declaró su inocencia,
											su familia le gritó al jurado,
											su novia se colapsó al piso sollozando
											y Titus fue llevado a la cárcel.
									","
											Titus bir restoran müdürüydü.
											31 yaşındaydı ve Seattle, Washington'da yaşıyordu.
											Gretchen'le nişanlıydı,
											evlilik planları yapıyorlardı, Gretchen, onun hayatının aşkıydı.
											Bir gece çift, romantik bir akşam yemeği için
											birlikte dışarı çıktı.
											Eve dönmek üzere yoldaydılar,
											bir polis memuru tarafından arabaları kenara çekildi.
											Titus'un arabası o akşam bayan bir otostopçuya
											tecavüz eden bir adam tarafından
											kullanılan bir arabaya benzerdi
											ve aynı zamanda Titus da tecavüzcüyü andırıyordu.
											Bunun üzerine polis Titus'un fotoğrafını çekti
											ve zanlı teşhis odasına koydu.
											Fotoğrafı tecavüz mağduruna gösterdiler
											Kadın Titus'un fotoğrafını işaret etti ve
											""Bu fotoğraf tecavüzcüye çok benziyor"" dedi.
											Polis ve başsavcılık tarafından açıldı
											ve Steve Titus tecavüzle yargılandı.
											Tecavüz mağduru kürsüye geçti ve
											""Tecavüzcünün bu adam olduğundan kesinlikle eminim."" dedi.
											Titus suçlu bulundu.
											Titus masum olduğunu savundu,
											ailesi jüriye çıkıştı,
											nişanlısı ağlayarak olduğu yere yığıldı.
											Titus cezaevine götürüldü.
									","
											Titus was a restaurant manager.
											He was 31 years old, he lived in Seattle, Washington,
											he was engaged to Gretchen,
											about to be married, she was the love of his life.
											And one night, the couple went out
											for a romantic restaurant meal.
											They were on their way home,
											and they were pulled over by a police officer.
											You see, Titus' car sort of resembled
											a car that was driven earlier in the evening
											by a man who raped a female hitchhiker,
											and Titus kind of resembled that rapist.
											So the police took a picture of Titus,
											they put it in a photo lineup,
											they later showed it to the victim,
											and she pointed to Titus' photo.
											She said, ""That one's the closest.""
											The police and the prosecution proceeded with a trial,
											and when Steve Titus was put on trial for rape,
											the rape victim got on the stand
											and said, ""I'm absolutely positive that's the man.""
											And Titus was convicted.
											He proclaimed his innocence,
											his family screamed at the jury,
											his fiancée collapsed on the floor sobbing,
											and Titus is taken away to jail.
									","
											Titus war Restaurantchef.
											Er war 31 Jahre alt, 
lebte in Seattle, Washington,
											war verlobt mit Gretchen,
											die er bald heiraten wollte. 
Sie war die Liebe seines Lebens.
											Eines Abends ging das Paar
romantisch essen.
											Auf dem Heimweg wurden sie 
von einem Polizisten angehalten.
											Der Grund: Titus' Auto 
sah einem Auto ähnlich,
											das früher am Abend
von einem Mann gefahren wurde,
											der eine Tramperin vergewaltigt hatte.
											Weil Titus diesem Mann 
offenbar ähnlich sah,
											machte die Polizei ein Foto von ihm
											und nahm es in ihre 
Gegenüberstellungskartei auf,
											um es später 
dem Opfer zu zeigen.
											Sie zeigte auf Titus' Foto 
und sagte:
											""Der da sieht dem Täter 
am ähnlichsten.""
											Polizei und Staatsanwaltschaft 
erhoben Anklage.
											Als Steve Titus wegen Vergewaltigung 
vor Gericht stand,
											trat das Vergewaltigungsopfer 
in den Zeugenstand
											und sagte: ""Ich bin mir absolut sicher, 
dass er der Täter ist.""
											Titus wurde verurteilt.
											Er beteuerte seine Unschuld,
											seine Familie schrie die Jury an,
											seine Verlobte brach weinend zusammen,
											und Titus musste ins Gefängnis.
									",How reliable is your memory?,Elizabeth Loftus,17:36,"memory,psychology,science,crime,mind,cognitive science,sight,brain,neuroscience,bioethics,medical research,mental health,morality"
"
","
","
","
",How reliable is your memory?,Elizabeth Loftus,17:36,"memory,psychology,science,crime,mind,cognitive science,sight,brain,neuroscience,bioethics,medical research,mental health,morality"
"
											Entonces, ¿qué harían ustedes en este punto?
											¿Qué harían?
											Bien, Titus perdió completamente su
fe en el sistema legal
											pero tuvo una idea.
											Llamó al diario local,
											consiguió interesar a un periodista investigativo
											y éste logró encontrar al verdadero violador.
											Un hombre que al final confesó la violación.
											Un hombre que creía haber cometido 50 violaciones
											en esa área.
											Cuando esta información fue presentada al juez,
											él liberó a Titus.
									","
											Peki siz bu durumda ne yapardınız ?
											Ne yapardınız ?
											Titus hukuk sistemine olan bütün inancını kaybetti,
											fakat aklına bir fikir gelmişti.
											Yerel gazeteyi arayarak yardım istedi,
											bir araştırmacı gazetecinin ilgisini çekmişti.
											Gazeteci gerçek tecavüzcüyü buldu.
											Suçunu itiraf eden adamın
											o civarda daha önce 50 tecavüz davasına
											karıştığı düşünülüyordu.
											Hakime bu bilgi verildiğinde,
											hakim Titus'u serbest bıraktı.
									","
											So what would you do at this point?
											What would you do?
											Well, Titus lost complete faith in the legal system,
											and yet he got an idea.
											He called up the local newspaper,
											he got the interest of an investigative journalist,
											and that journalist actually found the real rapist,
											a man who ultimately confessed to this rape,
											a man who was thought to have committed 50 rapes
											in that area,
											and when this information was given to the judge,
											the judge set Titus free.
									","
											Was würden Sie 
in dieser Situation tun?
											Was würden Sie tun?
											Titus verlor jeglichen Glauben 
an das Rechtssystem,
											doch er hatte eine Idee.
											Er rief bei 
einer Lokalzeitung an
											und weckte das Interesse 
eines Enthüllungsjournalisten.
											Dieser fand tatsächlich 
den eigentlichen Vergewaltiger,
											der die Tat schließlich gestand.
											Er stand unter Verdacht,
											50 Vergewaltigungen 
in der Umgebung begangen zu haben.
											Als dies dem Richter zugetragen wurde,
											setzte dieser Titus auf freien Fuß.
									",How reliable is your memory?,Elizabeth Loftus,17:36,"memory,psychology,science,crime,mind,cognitive science,sight,brain,neuroscience,bioethics,medical research,mental health,morality"
"
","
","
","
",How reliable is your memory?,Elizabeth Loftus,17:36,"memory,psychology,science,crime,mind,cognitive science,sight,brain,neuroscience,bioethics,medical research,mental health,morality"
"
											Y realmente, ahí es donde el caso 
debería haber terminado.
											Debía haberse acabado.
											Titus debió pensar que ese fue un año horrible,
											un año de acusación y juicio, pero que ya pasó.
									","
											Dava burada bitmeliydi.
											Bu olayın, davanın sonu olması gerekirdi.
											Titus bu olayı berbat bir yıl olarak kabul etmeliydi,
											korkunç bir suçlama ve hapishanede geçen bir yıl, ama artık sona ermişti.
									","
											And really, that's where this case should have ended.
											It should have been over.
											Titus should have thought of this as a horrible year,
											a year of accusation and trial, but over.
									","
											An diesem Punkt hätte der Fall 
eigentlich beendet sein sollen.
											Es hätte vorbei sein sollen.
											Titus würde sich zwar 
an ein schreckliches Jahr erinnern,
											ein Jahr der Beschuldigungen und Prozesse,
das jedoch vorbei war.
									",How reliable is your memory?,Elizabeth Loftus,17:36,"memory,psychology,science,crime,mind,cognitive science,sight,brain,neuroscience,bioethics,medical research,mental health,morality"
"
","
","
","
",How reliable is your memory?,Elizabeth Loftus,17:36,"memory,psychology,science,crime,mind,cognitive science,sight,brain,neuroscience,bioethics,medical research,mental health,morality"
"
											Pero no terminó así.
											Titus estaba muy amargado.
											Perdió su empleo. No pudo recuperarlo.
											Perdió a su novia.
											Ella no podía soportar la permenente ira de Titus.
											Además perdió todos su ahorros
											y decidió presentar una demanda
											contra la policía y contra todos los que pensaba que
											eran responsables de su sufrimiento.
									","
											Ancak bu şekilde sonlanmadı.
											Titus fazlasıyla üzgündü.
											İşini kaybetmişti, geri alamadı.
											Nişanlısını kaybetti.
											Gretchen, Titus'un dinmeyen öfkesine daha fazla tahammül edemedi.
											Titus bütün birikimini kaybetti.
											Bunun üzerine polise ve bu ızdırabı yaşamasına
											neden olan diğer kişilere
											dava açmaya karar verdi.
									","
											It didn't end that way.
											Titus was so bitter.
											He'd lost his job. He couldn't get it back.
											He lost his fiancée.
											She couldn't put up with his persistent anger.
											He lost his entire savings,
											and so he decided to file a lawsuit
											against the police and others whom he felt
											were responsible for his suffering.
									","
											Allerdings 
sollte es anders kommen.
											Titus war verbittert.
											Er hatte seinen Job verloren 
und bekam ihn nicht wieder.
											Er verlor seine Verlobte,
											weil sie seine anhaltende Wut 
nicht ertragen konnte.
											Er hatte seine gesamten 
Ersparnisse verloren;
											deshalb entschied er sich, 
Klage einzureichen
											gegen die Polizei und alle weiteren,
											die er für seinen Leidensweg 
verantwortlich machte.
									",How reliable is your memory?,Elizabeth Loftus,17:36,"memory,psychology,science,crime,mind,cognitive science,sight,brain,neuroscience,bioethics,medical research,mental health,morality"
