en,es,pt,de,tr,fr,title,speaker,duration,tags
"
","
","
","
","
","
",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
"
											After decades of research
											and billions of dollars
spent in clinical trials,
											we still have a problem
with cancer drug delivery.
											We still give patients chemotherapy,
											which is so non-specific
											that even though
it kills the cancer cells,
											it kind of kills
the rest of your body, too.
											And yes, we have developed
more selective drugs,
											but it's still a challenge
to get them into the tumor,
											and they end up accumulating
in the other organs as well
											or passing through your urine,
											which is a total waste.
											And fields like mine have emerged
											where we try to encapsulate these drugs
											to protect them as they
travel through the body.
											But these modifications cause problems
											that we make more modifications to fix.
									","
											Tras décadas de investigación
											y miles de millones de dólares
en ensayos clínicos,
											aún existe un problema con el suministro 
de medicamentos contra el cáncer.
											Todavía damos quimioterapia 
a los pacientes,
											que es tan poco específica
											que si bien mata a las células cancerosas,
											también mata al resto del cuerpo.
											Y sí, hemos desarrollado
fármacos más selectivos,
											pero sigue siendo un desafío
hacer que lleguen al tumor,
											y acaban acumulándose
en otros órganos también
											o diluyéndose en la orina,
											lo cual es un desperdicio total.
											Por eso han surgido campos como el mío
											para tratar de encapsular estos fármacos,
											para protegerlos conforme
viajan a través del cuerpo.
											Pero estas modificaciones causan problemas
											y hacemos modificaciones 
para solucionarlos.
									","
											Após décadas de investigação
											e milhares de milhões de dólares 
gastos em ensaios clínicos,
											a administração de medicamentos
contra o cancro ainda é um problema.
											Ainda submetemos os pacientes
à quimioterapia,
											que é tão pouco específica
											que embora mate
as células cancerígenas,
											também mata o resto do corpo.
											E sim, já desenvolvemos
medicamentos mais seletivos,
											mas ainda é um desafio
fazê-los chegar ao tumor,
											e acabam por se acumular 
também noutros órgãos
											ou passar para a urina,
											o que é um grande desperdício.
											Então, surgiram áreas como a minha,
											onde tentamos encapsular estes fármacos
											para protegê-los na sua viagem pelo corpo.
											Mas estas modificações causam problemas
											que temos de resolver
com mais modificações ainda.
									","
											Nach jahrzehntelanger Forschung
											und Milliarden-Ausgaben
für klinische Studien
											gibt es immer noch Probleme

											bei der Verabreichung
von Krebsmedikamenten.
											Man setzt immer noch Chemotherapie ein,
											die so unspezifisch ist,
											dass wenn auch dadurch
die Krebszellen getötet werden,
											davon irgendwie auch
der Rest des Körpers zerstört wird.
											Ja, man entwickelte
trennschärfere Medikamente,
											aber es ist immer noch schwer,
sie in den Tumor zu bekommen.
											Sie häufen sich auch in anderen Organen an
											oder werden über den Urin ausgeschieden,
was eine vollkommene Verschwendung ist.
											Arbeitsfelder wie meines entstanden,
											wo man versucht, sie zu umhüllen,
											um sie zu schützen, während sie
durch den Körper wandern.
											Aber diese Abwandlungen
verursachen Probleme,
											die weitere Änderungen
zur Lösung nach sich ziehen.
									","
											On yıllarca yıllık araştırma
											ve klinik çalışmalara harcanan 
milyarlarca dolardan sonra
											hala kanser ilacının vücut içerisindeki 
taşınımı ile ilgili problemimiz var.
											Hastalara halen nonspesifik
											kemoterapi tedavisi uyguluyoruz.
											Tedavi, kanser hücrelerini 
öldürmesine rağmen,
											vücudumuzun geri 
kalanını da öldürüyor.
											Daha selektif ilaçlar geliştirdik
fakat ilacın tümünün tümöre
											nüfus ettirilebilmesi hala 
zorlu bir görev.
											Etmeyenler ya diğer 
organlarda birikiyor
											ya da atık olan idrarınızın
											içine geçiyor.
											Bu ilaçların vücut içerisindeki seyahatlerinde
											korunabilmesi için kaplama (kapsülleme)
											çabalarından benimki gibi 
çalışma alanları ortaya çıktı.
											Fakat bu değişikliklerin yarattığı problemleri
											düzeltmek için daha fazla değişiklik yapıyoruz.
									","
											Après des décennies de recherche
											et des milliards de dollars
dépensé dans des essais cliniques,
											nous avons toujours un problème avec la 
livraison de médicaments contre le cancer.
											Nous donnons encore une 
chimiothérapie aux patients,
											qui est si non spécifique
											que même si elle tue
les cellules cancéreuses,
											elle tue un peu le reste du corps aussi.
											Et oui, nous avons développé
des médicaments plus sélectifs,
											mais c'est toujours un défi
pour les amener dans la tumeur.
											Ils finissent par s'accumuler
dans les autres organes
											ou à passer dans notre urine,
											ce qui est un gaspillage total.
											Des spécialités comme 
la mienne ont émergé
											où nous essayons d'encapsuler 
ces médicaments
											et de les protéger lors de leur
voyage à travers le corps.
											Ces modifications posent des problèmes
											que nous corrigeons avec
plus de modifications.
									",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
"
","
","
","
","
","
",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
"
											So what I'm really trying to say
is we need a better drug delivery system.
											And I propose,
											rather than using solely human design,
											why not use nature's?
									","
											Con esto trato de decir que debemos 
mejorar el suministro de medicamentos.
											Y para ello propongo
											en vez de usar únicamente 
el diseño humano,
											¿por qué no usar el diseño 
de la naturaleza?
									","
											O que estou a tentar dizer é que
precisamos de um sistema melhor.
											E eu proponho:
											em vez de depender
apenas de modelos artificiais,
											porque não utilizar
os da Natureza?
									","
											Wir benötigen ein besseres System
zur Verabreichung von Medikamenten.
											Ich schlage vor,
											anstatt nur menschliche
Entwicklungen zu verwenden,
											warum keine der Natur einsetzen?
									","
											Daha iyi bir ilaç taşınım sistemine ihtiyacımız 
olduğunu, söylemeye çalışıyorum.
											Yalnızca insan tasarımının
											kullanılması yerine doğanınkini niçin
											kullanmıyoruzu öneriyorum.
									","
											J'essaie de dire que nous avons
besoin d'un meilleur système
											de distribution de médicaments.
											Et je propose,
											plutôt que d'utiliser uniquement 
le design humain,
											pourquoi ne pas utiliser 
celui de la nature ?
									",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
"
","
","
","
","
","
",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
"
											Immune cells are these versatile vehicles
that travel throughout our body,
											patrolling for signs of disease
											and arriving at a wound
mere minutes after injury.
											So I ask you guys:
											If immune cells are already traveling
to places of injury or disease
											in our bodies,
											why not add an extra passenger?
											Why not use immune cells to deliver drugs
											to cure some of our biggest problems
											in disease?
									","
											Las células inmunológicas son vehículos 
versátiles que viajan por el cuerpo,
											patrullan en busca 
de signos de enfermedad
											y llegan a una herida
minutos después de la lesión.
											Así que les pregunto:
											Si las células inmunológicas ya están 
viajando a la lesión o enfermedad
											en nuestros cuerpos,
											¿por qué no sumar un pasajero adicional?
											¿Por qué no usar células inmunológicas 
para suministrar medicamentos
											y así curar algunos de 
nuestros mayores problemas
											con la enfermedad?
									","
											As células imunitárias são 
veículos versáteis que viajam pelo corpo,
											em busca de sinais de doença
											e chegam a uma ferida
poucos minutos após a lesão.
											Então, eu pergunto-vos:
											Se as células imunitárias já viajam
											até aos locais com lesões
ou doenças no nosso corpo,
											porque não acrescentar
um passageiro extra?
											Porque não utilizar estas células
para transportar medicamentos
											e tratar de alguns dos nossos
maiores problemas com as doenças?
									","
											Immunzellen sind diese
vielseitigen Fahrzeuge,
											die durch unseren Körper reisen,
um nach Krankheitsanzeichen zu suchen.
											Sie kommen bei einer Wunde
nur Minuten nach einer Verletzung an.
											Also frage ich Sie:
											Wenn Immunzellen bereits
zu Stellen mit Verletzungen
											oder Krankheiten im Körper wandern,
											warum fügt man keinen
zusätzlichen Passagier hinzu?
											Warum keine Immunzellen
für die Wirkstoffabgabe einsetzen,
											um eines unserer größten Probleme
bei Krankheiten zu heilen?
									","
											Bağışıklık hücreleri; vücudumuzda seyahat 
eden, hastalık belirtilerini bulmak için
											devriye gezen ve bir yaralanmadan sonraki
											birkaç dakika içersinde yaraya 
ulaşan çok amaçlı araçlardır.
											Sizlere soruyorum:
											Eğer bağışıklık hücreleri halihazırda
vücudumuzdaki hastalık
											veya yara bölgesine seyahat ediyorsa
											ona neden ekstra bir yolcu eklenmesin?
											Hastalıktaki en büyük problemlerden 
bazılarını tedavi etmek için
											bağışıklık hücreleri ilaç taşınımında
											niçin kullanılmasın?
									","
											Les cellules immunitaires sont 
ces véhicules polyvalents
											qui voyagent dans tout le corps,
											patrouillant pour des 
signes de maladie
											et arriver à une plaie
quelques minutes après une blessure.
											Alors je vous demande :
											si les cellules immunitaires voyagent
vers le site de blessures ou de maladies
											dans nos corps,
											pourquoi ne pas ajouter un 
passager supplémentaire ?
											Pourquoi ne pas utiliser
des cellules immunitaires
											pour administrer des médicaments
											et guérir certaines
de nos plus grandes maladies ?
									",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
"
","
","
","
","
","
",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
"
											I am a biomedical engineer,
											and I want to tell you guys a story
about how I use immune cells
											to target one of the largest
problems in cancer.
											Did you know that over 90 percent
of cancer deaths
											can be attributed to its spread?
											So if we can stop these cancer cells
											from going from the primary tumor
to a distant site,
											we can stop cancer right in its tracks
											and give people more of their lives back.
									","
											Soy ingeniera biomédica,
											y quiero contarles una historia
de cómo uso las células inmunológicas
											para abordar uno de los problemas 
más grandes en el cáncer.
											¿Sabían que más del 90 %
de las muertes por cáncer
											pueden atribuirse a su propagación?
											Así que si podemos evitar 
que estas células cancerosas
											viajen del tumor primario
a un sitio lejano,
											podemos detener el cáncer 
justo en su trayectoria
											y devolver a las personas 
gran parte de sus vidas.
									","
											Sou engenheira biomédica,
											e quero contar-vos como
uso células imunitárias
											para atacar um dos maiores
problemas do cancro.
											Sabiam que mais de 90%
das mortes por cancro
											podem ser atribuídas à sua propagação?
											Então, se conseguirmos impedir
estas células cancerígenas
											de se dispersarem
a partir do tumor primário
											conseguimos travar o cancro
									","
											Ich bin Biomedizintechnikerin
											und ich möchte Ihnen erzählen,
wie ich Immunzellen einsetze,
											um eines der größten Probleme
bei Krebs ins Visier zu nehmen.
											Wussten Sie, dass über 90 % der Krebstoten
											seiner Streuung zuzuschreiben ist?
											Wenn man die Krebszellen abhalten kann,
											vom Primärtumor ausgehend
zu einem entfernten Ort zu streuen,
											kann man Krebs geradewegs
zum Stillstand bringen
											und Menschen mehr von
ihrem Leben zurückgeben.
									","
											Biyomedikal mühendisiyim.
											Ve size bir hikaye anlatmak istiyorum. Bu 
hikaye kanserin en büyük sorunlarından
											birinin çözümü için bağışıklık hücrelerini
nasıl kullandığım hakkında.
											Kanser ölümlerinin %90'dan fazlasının
											tümörün yayılmasına dayandığını 
biliyor muydunuz?
											Demek ki bu kanser hücrelerini, 
ilk oluştuğu bölgeden
											başka bir bölgeye gidişini 
durdurabilirsek,
											kanserin yayılışını başladığı tümörde
durdurabiliriz
											ve insanlara geri kalan hayatlarının
daha da fazlasını veririz.
									","
											Je suis ingénieur en biomédical,
											je veux vous raconter comment
j'utilise les cellules immunitaires
											pour cibler l'un des plus grands
problèmes du cancer.
											Saviez-vous que plus de 90%
des décès par cancer
											peuvent être attribués à sa propagation ?
											Si nous pouvons 
arrêter ces cellules cancéreuses
											d'aller de la tumeur primaire
à un site distant,
											nous pouvons arrêter 
le cancer dans son chemin
											et redonner leur vie aux gens.
									",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
"
","
","
","
","
","
",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
"
											To do this special mission,
											we decided to deliver
a nanoparticle made of lipids,
											which are the same materials
that compose your cell membrane.
											And we've added two special molecules.
											One is called e-selectin,
											which acts as a glue
											that binds the nanoparticle
to the immune cell.
											And the second one is called trail.
											Trail is a therapeutic drug
that kills cancer cells
											but not normal cells.
											Now, when you put both of these together,
											you have a mean killing machine on wheels.
									","
											Para lograr esta misión especial,
											decidimos proporcionar
una nanopartícula compuesta de lípidos,
											que son los mismos materiales
que componen la membrana celular.
											Y hemos añadido dos moléculas especiales.
											Una se llama E-selectina,
											que actúa como un pegamento
											que liga a la nanopartícula
con la célula inmune.
											Y la segunda se llama TRAIL.
											TRAIL es una droga terapéutica
que mata a las células cancerosas
											pero no a las células normales.
											Ahora, si juntamos ambas cosas,
											tenemos una máquina de matar, 
sobre ruedas.
									","
											e devolver mais vida às pessoas.
											Para esta missão especial
											decidimos usar
uma nanopartícula de lípidos,
											que é o mesmo material
que compõe a membrana celular.
											E acrescentámos duas moléculas especiais.
											Uma chama-se e-selectina,
											e funciona como uma cola
											que fixa a nanopartícula
à célula imunitária.
											E a outra chama-se TRAIL.
											O TRAIL é uma substância terapêutica 
que mata as células cancerígenas
											mas não mata as células normais.
											Se combinarmos as duas,
									","
											Für diese besondere Mission
											entschieden wir uns, ein Nanopartikel
aus Lipiden zu verabreichen,
											was dasselbe Material ist,
das unsere Zellmembran bildet.
											Wir fügten zwei besondere Moleküle hinzu.
											Eines ist E-Selektin,
											das als Klebstoff dient,
											der das Nanopartikel
an die Immunzelle bindet.
											Das zweite nennt sich TRAIL.
											TRAIL ist ein Heilmittel,
das Krebszellen zerstört,
											nicht aber normale Zellen.
											Setzt man beide zusammen,
											hat man eine klasse Waffe auf Rädern.
									","
											Bu ayrıcaklı görevi gerçekleştirmek için,
											hücre zarlarımız ile aynı yapıdaki
											lipitlerden yapılmış bir nanopartikülü 
göndermeye karar verdik.
											Ve ona iki adet özel molekül ekledik.
											Birincisi,
											nanopartikülü bağışıklık hücresine
											bağlayan bir yapıştırıcı gibi 
davranan E-selektindir.
											İkincisi Trail olarak isimlendirilir.
											Trail normal hücreler 
değil de kanser hücrelerini
											öldüren iyileştirici bir ilaçtır.
											Her ikisi bir araya getirildiğinde,
											acımasız öldürücü bir makinaya dönüşür.
									","
											Pour accomplir cette mission spéciale,
											nous avons décidé de livrer
une nanoparticule de lipides,
											qui est composée des mêmes matériaux
que notre membrane cellulaire.
											Nous y avons ajouté
deux molécules spéciales,
											l'une est appelé e-selectin,
											qui agit comme une colle
											qui lie la nanoparticule
à la cellule immunitaire ;
											la seconde s'appelle trail.
											Trail est une drogue thérapeutique
qui tue les cellules cancéreuses,
											mais pas les cellules saines.
											Maintenant, quand vous les
mettez toutes les deux ensemble,
											vous avez une méchante machine 
à tuer sur roues.
									",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
"
","
","
","
","
","
",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
