en,de,fr,tr,es,title,speaker,duration,tags
"
","
","
","
","
",What you need to know about CRISPR,Ellen Jorgensen,9:53,"biology,biomechanics,biotech,curiosity,disease,DNA,engineering,future,genetics,innovation,nature,molecular biology,nanoscale,potential,science,technology,virus,CRISPR"
"
											So, has everybody heard of CRISPR?
											I would be shocked if you hadn't.
									","
											Hat jeder von CRISPR gehört?
											Ich wäre überrascht, wenn nicht.
									","
											Tout le monde a entendu parler de CRISPR ?
											Le contraire me choquerait.
									","
											Herkes CRISPR'ı duydu mu?
											Duymasaydınız şaşardım.
									","
											¿Todos han oído hablar de CRISPR?
											Me sorprendería de no ser así.
									",What you need to know about CRISPR,Ellen Jorgensen,9:53,"biology,biomechanics,biotech,curiosity,disease,DNA,engineering,future,genetics,innovation,nature,molecular biology,nanoscale,potential,science,technology,virus,CRISPR"
"
","
","
","
","
",What you need to know about CRISPR,Ellen Jorgensen,9:53,"biology,biomechanics,biotech,curiosity,disease,DNA,engineering,future,genetics,innovation,nature,molecular biology,nanoscale,potential,science,technology,virus,CRISPR"
"
											This is a technology —
it's for genome editing —
											and it's so versatile and so controversial
											that it's sparking all sorts
of really interesting conversations.
											Should we bring back the woolly mammoth?
											Should we edit a human embryo?
											And my personal favorite:
											How can we justify
wiping out an entire species
											that we consider harmful to humans
											off the face of the Earth,
											using this technology?
									","
											Es ist eine Technik, 
das Genom zu verändern.
											Sie ist so vielseitig und widersprüchlich,
											dass sie für spannende Diskussionen sorgt.
											Sollten wir das Mammut auferstehen lassen?
											Sollten wir Embryonen verändern?
											Mein persönlicher Favorit:
											Wie können wir eine Spezies,

											die wir als gefährlich
für Menschen erachten,
											mit Hilfe dieser Technik
											zuverlässig von der Erde tilgen?
									","
											C'est une technologie
de modification de génome
											versatile et controversée
											qui suscite toutes sortes
de conversations très intéressantes.
											Devrions-nous ramener
le mammouth laineux ?
											Devrions-nous modifier un embryon humain ?
											Et, mon préféré :
											comment pouvons-nous justifier
l'élimination d'espèces entières
											que nous considérons
dangereuses pour les humains,
											une élimination totale,
											en utilisant cette technologie ?
									","
											Bu genom düzenleme için
kullanılan bir teknoloji
											ve o kadar çok yönlü ve o kadar
çok tartışmaya açık ki,
											birçok ilginç konuşmayı
beraberinde getiriyor.
											Tüylü mamutları geri getirmeli miyiz?
											İnsan embriyosuna müdahale etmeli miyiz?
											Ve benim en sevdiğim soru:
											Bu teknolojiyi kullanarak insan ırkına
											zararlı olduğu düşünülen türleri
											dünya üzerinden silmeyi
											nasıl yasal hale getirebiliriz?
									","
											Esta es una tecnología
para editar el genoma,
											y es tan versátil y tan controvertida
											que ha generado una serie de
conversaciones muy interesantes.
											¿Deberíamos revivir al mamut lanudo?
											¿Deberíamos editar un embrión humano?
											Y mi favorita:
											¿Cómo podemos justificar
la eliminación de toda una especie,
											que consideramos perjudicial 
para los humanos,
											de la faz de la Tierra,
											mediante esta tecnología?
									",What you need to know about CRISPR,Ellen Jorgensen,9:53,"biology,biomechanics,biotech,curiosity,disease,DNA,engineering,future,genetics,innovation,nature,molecular biology,nanoscale,potential,science,technology,virus,CRISPR"
"
","
","
","
","
",What you need to know about CRISPR,Ellen Jorgensen,9:53,"biology,biomechanics,biotech,curiosity,disease,DNA,engineering,future,genetics,innovation,nature,molecular biology,nanoscale,potential,science,technology,virus,CRISPR"
"
											This type of science
is moving much faster
											than the regulatory mechanisms
that govern it.
											And so, for the past six years,
											I've made it my personal mission
											to make sure that as many people
as possible understand
											these types of technologies
and their implications.
									","
											Die Forschung entwickelt 
sich sehr viel schneller
											als die Regulärien, die sie begleiten.
											Deshalb habe ich es 
in den letzten 6 Jahren
											zu meiner persönlichen Mission gemacht,
											sicherzustellen, dass so viele Menschen
wie möglich verstehen,
											was diese Techniken und ihre Folgen sind.
									","
											Ce type de science
avance beaucoup plus vite
											que les mécanismes régulateurs
qui la gouvernent.
											Au cours des six dernières années,
											ma mission personnelle a été
											de m'assurer qu'un maximum
de personnes comprennent
											ce genre de technologies
et leurs implications.
									","
											Bilimin bu türü, onu yöneten kontrol
mekanizmalarından
											çok daha hızlı hareket ediyor.
											Bu yüzden geçen altı yıl boyunca
											mümkün olduğunca çok insanın
											bu tür teknolojileri ve bunların olası 
sonuçlarını anlayabilmesini
											kişisel misyonum haline getirdim.
									","
											Este tipo de ciencia
se mueve mucho más rápido
											que los mecanismos de regulación
que la rigen.
											Así que en los últimos seis años,
											he asumido la misión personal
											de hacer que la mayor cantidad
de personas entienda
											estas tecnologías y sus consecuencias.
									",What you need to know about CRISPR,Ellen Jorgensen,9:53,"biology,biomechanics,biotech,curiosity,disease,DNA,engineering,future,genetics,innovation,nature,molecular biology,nanoscale,potential,science,technology,virus,CRISPR"
"
","
","
","
","
",What you need to know about CRISPR,Ellen Jorgensen,9:53,"biology,biomechanics,biotech,curiosity,disease,DNA,engineering,future,genetics,innovation,nature,molecular biology,nanoscale,potential,science,technology,virus,CRISPR"
"
											Now, CRISPR has been the subject
of a huge media hype,
											and the words that are used most often
are ""easy"" and ""cheap.""
											So what I want to do is drill down
a little bit deeper
											and look into some of the myths
and the realities around CRISPR.
									","
											CRISPR wurde in den Medien sehr gehypt.
											Sie verwendeten meist Worte 
wie ""einfach"" und ""billig"".
											Darauf will ich näher eingehen
											und einige Mythen und Wahrheiten
von CRISPR betrachten.
									","
											CRISPR a été le sujet
d'un fort battage médiatique
											et les mots les plus souvent utilisés
sont « simple » et « bon marché ».
											Je voudrais creuser un peu plus profond
											et considérer certains des mythes
et réalités entourant CRISPR.
									","
											CRISPR, büyük bir medya abartısının
konusu haline geldi
											ve sıklıkla kullanılan kelimeler
""kolay"" ve ""ucuz"".
											Benim yapmak istediğim şey ise,
biraz daha derine inip
											CRISPR hakkındaki efsanelere ve
işin gerçeğine bir göz atmak.
									","
											CRISPR ha sido tema de 
un enorme bombo mediático,
											y a menudo se lo asocia 
con algo ""fácil"" y ""barato"".
											Por eso quiero profundizar un poco
											y analizar algunos de los mitos
y realidades en torno a CRISPR.
									",What you need to know about CRISPR,Ellen Jorgensen,9:53,"biology,biomechanics,biotech,curiosity,disease,DNA,engineering,future,genetics,innovation,nature,molecular biology,nanoscale,potential,science,technology,virus,CRISPR"
"
","
","
","
","
",What you need to know about CRISPR,Ellen Jorgensen,9:53,"biology,biomechanics,biotech,curiosity,disease,DNA,engineering,future,genetics,innovation,nature,molecular biology,nanoscale,potential,science,technology,virus,CRISPR"
"
											If you're trying to CRISPR a genome,
											the first thing that you have to do
is damage the DNA.
											The damage comes in the form
of a double-strand break
											through the double helix.
											And then the cellular repair
processes kick in,
											and then we convince
those repair processes
											to make the edit that we want,
											and not a natural edit.
											That's how it works.
											It's a two-part system.
											You've got a Cas9 protein
and something called a guide RNA.
											I like to think of it as a guided missile.
											So the Cas9 —
I love to anthropomorphize —
											so the Cas9 is kind of this Pac-Man thing
											that wants to chew DNA,
											and the guide RNA is the leash
that's keeping it out of the genome
											until it finds the exact spot
where it matches.
											And the combination of those two
is called CRISPR.
											It's a system that we stole
											from an ancient, ancient
bacterial immune system.
									","
											Wenn Sie mit CRISPR 
ein Genom verändern wollen,
											müssen sie zuerst die DNA schädigen.
											Man führt einen Doppelstrang-Bruch
											in der Doppelhelix der DNA durch.
											Nun greift der Zellreparaturvorgang ein.
											Wir bringen den Reparaturvorgang dazu,
											so zu reparieren, wie wir es wollen,
											und nicht auf natürlichem Wege.
											So funktioniert es.
											Es ist ein zweistufiges System.
											Sie brauchen das Cas9-Protein
und eine sogenannte guide-RNA
											Ich denke da an eine gelenkte Rakete.
											Das Cas9 — ich vermenschliche gerne —
											das Cas9 ist wie Pac-Man,
											und es will DNA schlucken.
											Die guide-RNA ist die Leine,
die Cas9 vom Genom solange fern hält,
											bis es die genau passende Stelle findet.
											Diese Paarkombination heisst CRISPR.
											Wir klauten dieses System
											von einem sehr alten 
bakteriellen Immunsystem.
									","
											Si vous utilisez CRISPR sur un génome,
											la première chose à faire
est d'endommager l'ADN.
											Les dégâts s'expriment sous la forme
d'une cassure double-brin
											au milieu de la double hélice.
											Puis commencent les processus
de réparation cellulaire
											et nous convainquons
ces processus de réparation
											de faire la modification voulue
											et non pas une naturelle.
											Cela fonctionne ainsi.
											C'est un système en deux parties.
											Vous avez une protéine Cas9
et ce qu'on appelle de l'ARN guidé.
											J'aime les voir comme un missile guidé.
											Alors, le Cas9 —
j'aime l'anthropomorphiser —
											alors, le Cas9 est un peu comme un Pac-Man
											voulant manger l'ADN
											et l'ARN guidé est la laisse
qui le retient hors du génome
											jusqu'à ce qu'il trouve
l'endroit exact qui corresponde.
											La combinaison de ces deux choses
est appelée CRISPR.
											Nous avons volé ce sytème
											à un très, très vieux système
immunitaire bactérien.
									","
											Eğer bir genoma CRISPR'ı
uygulamak istiyorsanız,
											önce DNA'ya zarar vermek zorundasınız.
											Bu zarar, çift sarmalın iki sarmalında da
											oluşan bir yırtılma şeklinde oluşuyor.
											Sonra hücresel yenilenme devreye giriyor
											ve biz bu yenilenme sürecini
											istediğimiz düzenlemeyi yapmaya
ikna ediyoruz
											ve bu doğal bir düzenleme değil.
											İşte böyle çalışıyor.
											Bu iki bölümlü bir sistem.
											Elinizde ""Cas9"" adlı bir protein
ve ""rehber RNA"" denen bir şey var.
											Bu sistemi güdülmüş füze sistemi
gibi düşünmeyi seviyorum!
											""Cas9""-Antropomorfozu severim.
											""Cas9"" aslında biraz Pac-Man'a benziyor,
											DNA'yı çiğneyip kesmek istiyor.
											Bu noktada ""rehber RNA"" ,
											Cas9'un bütün genomu çiğnemesini,
											onu, gitmesi gereken yere
gitmesini sağlayarak önlüyor.
											Bu ikilinin beraber yaptığı işe
CRISPR deniliyor.
											Bu sistemi, bakterilerdeki kadim
bağışıklık sisteminden çaldık.
									","
											Si tratan de editar un genoma,
											primero deben dañar el ADN.
											El daño se presenta en forma
de rotura de la doble cadena
											a través de la doble hélice.
											Y luego entra en juego 
el proceso de reparación
											para entonces convencer
a los procesos de reparación
											para que hagan la edición que queremos,
											y no una edición natural.
											Así funciona.
											Es un sistema de dos partes.
											Existe una proteína Cas9
y algo que se llama un ARN guía.
											Me gusta pensarlo como un misil guiado.
											Entonces, la Cas9,
me encanta antropomorfizar,
											la Cas9 es como un Pac-Man
											que quiere masticar ADN,
											y el ARN guía es la correa
que está fuera del genoma
											hasta que encuentra el punto exacto
donde coincide.
											Y la combinación de ambos
se llama CRISPR.
											Es un sistema que robamos
											a un sistema inmune bacteriano
muy, muy antiguo.
									",What you need to know about CRISPR,Ellen Jorgensen,9:53,"biology,biomechanics,biotech,curiosity,disease,DNA,engineering,future,genetics,innovation,nature,molecular biology,nanoscale,potential,science,technology,virus,CRISPR"
