en,es,pt,tr,fr,de,title,speaker,duration,tags
"
","
","
","
","
","
",The mystery of chronic pain,Elliot Krane,8:14,"Senses,brain,health,health care,pain,science"
"
											I'm a pediatrician and an anesthesiologist,
											so I put children to sleep for a living.
											(Laughter)
											And I'm an academic, so I put audiences to sleep for free.
											(Laughter)
											But what I actually mostly do
											is I manage the pain management service
											at the Packard Children's Hospital up at Stanford in Palo Alto.
											And it's from the experience
											from about 20 or 25 years of doing that
											that I want to bring to you the message this morning,
											that pain is a disease.
									","
											Soy pediatra y anestesiólogo,
											así que me gano la vida durmiendo niños.
											(Risas)
											Y soy académico, así que duermo gratuitamente al público.
											(Risas)
											Pero sobre todo trabajo
											con el manejo del dolor
											en el Packard Children's Hospital de Stanford en Palo Alto.
											Y con la experiencia ganada
											en 20 ó 25 años de hacer esto
											esta mañana quiero contarles
											que el dolor es una enfermedad.
									","
											Sou pediatra e anestesista,
											logo, ganho a vida a por crianças a dormir.
											(Risos)
											E sou um académico, então adormeço audiências de graça.
											(Risos)
											Mas na realidade, o que eu faço mais
											é a gestão de um serviço de controlo de dor
											no Hospital Pediátrico Packard, em Palo Alto, Stanford.
											E é da experiência
											de cerca de 20 ou 25 anos a fazer isso
											que eu quero, esta manhã, trazer-vos a mensagem
											de que a dor é uma doença.
									","
											Ben bir çocuk hastalıkları uzmanıyım, aynı zamanda da bir anestezi doktoruyum,
											yani hayatımı çocukları uyutarak kazanıyorum.
											(Gülüşmeler)
											Aynı zamanda öğretim görevlisiyim, böylece seyircileri de bedavaya uyutabiliyorum.
											(Gülüşmeler)
											Ama esas uğraştığım şey
											Palo Alto Packard Çocuk Hastanesi'nde
											ağrı merkezini yönetmek.
											Bu işi yaptığım 20-25 yıl boyunca
											edindiğim tecrübe ile size
											şu mesaji vermek istiyoum ki
											ağrı bir hastalıktır.
									","
											Je suis un pédiatre et un anesthésiste.
											donc j'endors les enfants pour gagner ma vie.
											(Rires)
											Et je suis un académicien, donc j'endors des audiences gratuitement.
											(Rires)
											Mais ce que je fais le plus souvent
											c'est diriger le service de gestion de la douleur
											à l'hôpital pour enfants Packard de Stanford à Palo Alto.
											Et c'est à partir de l'expérience
											tirée de 20 ou 25 années à faire cela
											que je veux vous apporter le message ce matin,
											que la douleur est une maladie.
									","
											Ich bin Kinderarzt und Anästhesist,
											also verdiene ich meinen Lebensunterhalt damit, Kindern beim Einschlafen zu helfen.
											(Gelächter)
											Und ich bin Akademiker, also schläfere ich Zuhörer umsonst ein.
											(Gelächter)
											Aber tatsächlich leite ich hauptsächlich
											den Schmerz Management Service der
											Packard Kinder Klinik, oben in Stanford in Palo Alto.
											Und nach etwa 20 bis 25
											Jahren Erfahrung in dieser Arbeit,
											möchte ich Ihnen heute Morgen die Botschaft bringen,
											dass Schmerzen eine Krankheit sind.
									",The mystery of chronic pain,Elliot Krane,8:14,"Senses,brain,health,health care,pain,science"
"
","
","
","
","
","
",The mystery of chronic pain,Elliot Krane,8:14,"Senses,brain,health,health care,pain,science"
"
											Now most of the time,
											you think of pain as a symptom of a disease,
											and that's true most of the time.
											It's the symptom of a tumor or an infection
											or an inflammation or an operation.
											But about 10 percent of the time,
											after the patient has recovered from one of those events,
											pain persists.
											It persists for months
											and oftentimes for years,
											and when that happens,
											it is its own disease.
											And before I tell you about how it is that we think that happens
											and what we can do about it,
											I want to show you how it feels for my patients.
											So imagine, if you will,
											that I'm stroking your arm with this feather,
											as I'm stroking my arm right now.
											Now, I want you to imagine
											that I'm stroking it with this.
											Please keep your seat.
											(Laughter)
											A very different feeling.
											Now what does it have to do with chronic pain?
											Imagine, if you will, these two ideas together.
											Imagine what your life would be like
											if I were to stroke it with this feather,
											but your brain was telling you
											that this is what you are feeling —
											and that is the experience of my patients with chronic pain.
											In fact, imagine something even worse.
											Imagine I were to stroke your child's arm with this feather,
											and their brain [was] telling them
											that they were feeling this hot torch.
									","
											Ahora, la mayoría de las veces
											se piensa que el dolor es el síntoma de una enfermedad.
											Y la mayoría de las veces es cierto.
											Es el síntoma de un tumor, o de una infección
											o de una inflamación, o de una operación.
											Pero cerca del 10% de las veces,
											después que el paciente se ha recuperado de uno de esos casos,
											el dolor persiste.
											Persiste por meses
											y muchas veces durante años.
											Y cuando eso ocurre,
											esa es su propia enfermedad.
											Y antes de contarles qué creemos que sucede
											y qué podemos hacer en este caso,
											quiero mostrarles qué sienten mis pacientes.
											Imagínense, si quieren,
											que estoy acariciándoles el brazo con esta pluma,
											como estoy acariciando el mío en este momento.
											Ahora quiero que imaginen
											que lo estoy acariciando con esto.
											Por favor, quédense en sus puestos.
											(Risas)
											Una sensación muy diferente.
											Ahora, ¿qué tiene que ver esto con el dolor crónico?
											Imagínense, si quieren, estas dos ideas juntas.
											Imagínense cómo serían sus vidas
											si fueran acariciados con esta pluma,
											pero sus cerebros les dijeran
											que esto es lo que están sintiendo -
											y esa es la experiencia de mis pacientes con el dolor crónico.
											De hecho, imagínense algo todavía peor.
											Imagínense que estuviera acariciando el brazo de sus niños con esta pluma
											y su cerebro les dijera
											que lo sintieran como una antorcha caliente.
									","
											Maior parte das vezes,
											pensamos na dor como um sintoma de uma doença.
											E isso é verdade na maioria das vezes.
											É sintoma de um tumor, ou de uma infecção,
											ou de uma inflamação ou de uma operação.
											Mas cerca de 10 por cento das vezes,
											depois de um paciente ter recuperado de uma destas situações,
											a dor persiste.
											Ela persiste por meses
											e muitas vezes, anos.
											E quando isso acontece,
											ela é a sua própria doença.
											E, antes de vos falar sobre como é que nós achamos que isto acontece,
											e o que podemos fazer para o resolver,
											quero mostrar-vos, como é que os meus pacientes o sentem.
											Imaginem, por favor,
											que estou a acariciar o vosso braço com esta pena,
											tal como estou a fazer agora.
											Agora, quero que imaginem
											que o estou a acariciar com isto.
											Por favor, mantenham o vosso lugar.
											(Risos)
											Uma sensação muito diferente.
											Agora, o que é que isso tem que ver com dor crónica?
											Imaginem, por favor, estas duas ideias juntas.
											Imaginem como seria a vossa vida
											se eu vos acariciasse o braço com esta pena,
											mas o vosso cérebro vos dissesse
											que era isto que estavam a sentir …
											e esta é a experiência dos meus pacientes com dor crónica.
											Aliás, imaginem algo pior.
											Imaginem-me a acariciar o braço da vossa criança com esta pena
											e que o cérebro dela lhe dizia
											que o que elas estavam a sentir era este maçarico.
									","
											Çoğu zaman
											ağrıyı bir hastalığın belirtisi olarak düşünürsünüz.
											Ve bu genelde doğrudur da.
											Bazen bir tümörün, bir enfeksiyonun
											bir yangısal sürecin ya da ameliyatın semptomudur.
											Ama yaklaşık %10 vakada
											hastanın bu rahatsızlıkları iyileştiği halde
											ağrı kalır.
											Bazen aylarca,
											bazen de yıllarca kalır.
											Bu durumda, o artık
											kendi başına bir hastalıktır.
											Size bunun neden olduğunu veya
											bu durumda neler yapılabileceğini anlatmadan önce
											hastalarımın neler hissettiğini göstermek istiyorum.
											Şunu düşünün, diyelim ki
											kolunuzda bir kuş tüyü gezdiriyorum
											şu anda koluma yaptığım gibi.
											Şu anda kolunuza bu şekilde
											dokunduğumu düşünün.
											Lütfen sandalyenizden kalkmayın.
											(Gülüşmeler)
											Çok farklı bir his değil mi.
											Bunun kronik ağrı ile ne ilgisi var peki?
											Şimdi bu iki kavramın birlikte olduğunu hayal edin.
											Düşünün ki ben kolunuza
											bu şekilde dokunmama rağmen
											beyniniz size
											size aslında böyle hissettiğinizi söylüyor —
											işte krinik ağrı çeken hastalarımın başına gelen bu.
											Aslında daha da kötüsünü hayal edin.
											Düşünün kü ben çocuğunuzun koluna bu tüy ile dokunuyorum,
											ve onun beyni aslında hissetiklerinin
											kızgın bir alev olduğunu söylüyor.
									","
											La plupart du temps,
											on pense à la douleur comme d'un symptôme d'une maladie.
											Et c'est vrai la plupart du temps.
											C'est le symptôme d'une tumeur ou d'une infection
											ou une inflammation ou une opération.
											Mais environ 10 pour cent du temps,
											après que le patient se soit remis d'une de ces conditions,
											la douleur persiste.
											Elle persiste pendant des mois
											et parfois pendant des années.
											Et quand cela arrive,
											elle devient sa propre maladie.
											Et avant de vous dire comment nous pensons que cela arrive
											et ce que nous pouvons y faire,
											je veux vous montrer à quoi cela ressemble pour mes patients.
											Donc imaginez, si vous voulez,
											que je caresse votre bras avec cette plume,
											comme je caresse mon bras en ce moment.
											Maintenant, je veux que vous imaginiez
											que je vous caresse avec ceci.
											Veuillez rester assis.
											(Rires)
											Une sensation très différente.
											Qu'est ce que cela à voir avec la douleur chronique?
											Imaginez, si vous le voulez bien, ces deux idées ensemble.
											Imaginez à quoi ressemblerait votre vie
											si je vous caressais avec celle plume,
											mais que votre cerveau vous disait
											que ceci est ce que vous ressentez —
											et cela est ce que ressentent mes patients avec des douleurs chroniques.
											En fait, imaginez quelque chose encore pire.
											Imaginez si je caressais le bras de votre enfant avec cette plume,
											et que leur cerveau leur disait
											que ce qu'ils sentent est cette torche.
									","
											Meist stellt man sich Schmerz
											als Symptom einer Krankheit vor.
											Und das stimmt in den meisten Fällen.
											Sie sind ein Symptom für einen Tumor, eine Infektion,
											einer Entzündung oder einer Operation.
											Aber in ungefähr 10 Prozent der Fälle
											bleibt der Schmerz bestehen nachdem der Patient sich von einem
											dieser Ereignisse erholt hat.
											Er bleibt für Monate
											und oftmals für Jahre.
											Und wenn das passiert,
											ist es eine eigene Krankheit.
											Bevor ich Ihnen erzähle, was wir denken, wie sowas passiert
											und was wir dagegen tun können,
											möchte ich Ihnen zeigen, wie es sich für meine Patienten anfühlt.
											Stellen Sie sich bitte vor,
											dass ich Ihren Arm mit dieser Feder streichle,
											wie ich gerade meinen Arm streichle.
											Jetzt möchte ich, dass Sie sich vorstellen,
											dass ich ihn hiermit streichle.
											Bitte bleiben Sie sitzen.
											(Gelächter)
											Ein ganz anderes Gefühl.
											Was hat das jetzt mit chronischen Schmerzen zu tun?
											Stellen Sie sich bitte diese beiden Ideen zusammen vor.
											Stellen Sie sich vor, wie Ihr Leben sein würde,
											wenn ich Sie mit dieser Feder streicheln würde
											und Ihr Gehirn würde Ihnen sagen,
											dass es dies ist, was Sie fühlen —
											und das ist es, wie meine Patienten mit chronischen Schmerzen es erleben.
											In Wahrheit, stellen Sie sich etwas noch Schlimmeres vor.
											Stellen Sie sich vor, ich würde den Arm Ihres Kindes mit dieser Feder streicheln
											und dessen Gehirn würde ihm sagen
											dass es diesen heißen Brenner fühlen würde.
									",The mystery of chronic pain,Elliot Krane,8:14,"Senses,brain,health,health care,pain,science"
"
","
","
","
","
","
",The mystery of chronic pain,Elliot Krane,8:14,"Senses,brain,health,health care,pain,science"
"
											That was the experience of my patient, Chandler,
											whom you see in the photograph.
											As you can see, she's a beautiful, young woman.
											She was 16 years old last year when I met her,
											and she aspired to be a professional dancer.
											And during the course of one of her dance rehearsals,
											she fell on her outstretched arm and sprained her wrist.
											Now you would probably imagine, as she did,
											that a wrist sprain is a trivial event
											in a person's life.
											Wrap it in an ACE bandage,
											take some ibuprofen for a week or two,
											and that's the end of the story.
											But in Chandler's case, that was the beginning of the story.
											This is what her arm looked like
											when she came to my clinic about three months after her sprain.
											You can see that the arm is discolored,
											purplish in color.
											It was cadaverically cold to the touch.
											The muscles were frozen, paralyzed —
											dystonic is how we refer to that.
											The pain had spread from her wrist to her hands,
											to her fingertips, from her wrist up to her elbow,
											almost all the way to her shoulder.
									","
											Esa fue la experiencia de mi paciente Chandler,
											que pueden ver en esta fotografía.
											Como pueden ver, es una hermosa joven.
											Cuando la conocí el año pasado tenía 16 años
											y aspiraba a ser una bailarina profesional.
											Y durante el curso de uno de sus ensayos de baile,
											cayó sobre su brazo extendido y se torció la muñeca.
											Probablemente ahora imaginarán lo mismo que pensó ella,
											que un esguince de muñeca es un caso trivial
											en la vida de una persona.
											Se lo envuelve con una venda,
											Se toma ibuprofeno por 1 ó 2 semanas
											y caso resuelto.
											Pero en el caso de Chandler, ese fue el inicio de la historia.
											Así le quedó el brazo
											cuando vino a mi clínica unos tres meses después del esguince.
											Observen que el brazo tiene una decoloración
											púrpura.
											Era frío como si estuviera muerto.
											Los músculos estaban helados, paralizados -
											distónicos como decimos.
											El dolor se había extendido de la muñeca a sus manos,
											a las yemas de los dedos, desde la muñeca hasta el codo,
											casi llegándole hasta el hombro.
									","
											Esta era a experiência de uma paciente minha, Chandler,
											que vêem na fotografia.
											Como podem ver, ela é uma bela jovem.
											Conheci-a ano passado, tinha ela 16 anos,
											e ela queria ser dançarina profissional.
											E, no decurso de um dos seus ensaios de dança,
											ela caiu em cima do seu braço ficando com uma entorse no pulso.
											Bem, vocês provavelmente imaginam, tal como ela fez,
											que uma entorse num pulso é um acontecimento trivial
											na vida de uma pessoa.
											Uma ligadura elástica,
											uma ou duas semanas a tomar ibuprofeno
											e era o fim da história.
											Mas no caso da Chandler, isso foi o início da história.
											Era assim que estava o braço dela,
											quando apareceu na minha clinica, cerca de três meses depois da entorse.
											Vocês conseguem ver que o braço está sem cor,
											arroxeado.
											Estava cadavericamente frio ao toque.
											Os músculos estavam congelados, paralisados …
											aquilo a que chamamos ‘distónicos’.
											A dor tinha-se espalhado do seu pulso para as suas mãos,
											para as pontas dos dedos, subiu para o cotovelo,
											quase até ao ombro.
									","
											Resimde gördüğünüz Chandler isimli hastamın
											deneyimi bu şekilde idi.
											Gördüğünüz gibi çok güzel, genç bir kız.
											Ona rastladığımda 16 yaşındaydı,
											ve profesyonel dansçı olmak istiyordu.
											Ama dans provalarının biri sırasında
											uzanmış kolunun üzerine düştü ve bileğini burktu.
											Siz de eminin o zaman onun da düşündüğü gibi
											bilek burkulmasının bir insan için
											oldukça sıradan bir olay olduğu görüşündesiniz.
											Elastik bandajla sarıp
											bir iki hafta ibuprofen aldınız mı
											olay biter.
											Ama Chandler için bu sadece hikayenin başlangıcıydı.
											Bana, elini burktuktan üç ay sonra geldiğinde
											kolu böyle görünüyordu.
											Kolun rengine dikkat edin, normal değil,
											rengi mora kaçıyor.
											Kolu bir kadavra kolu kadar soğuktu.
											Kasları donmuştu, adeta felç olmuşlardı —
											bu duruma distonik diyoruz.
											Ağrı bileğinden ellerine, oradan da parmak uçlarına,
											bileğinden dirseğine ve hatta neredeyse
											omuzuna kadar çıkmıştı.
									","
											C'était l'expérience de ma patiente, Chandler,
											que vous pouvez voir sur cette photo.
											Comme vous pouvez le voir, elle est une jolie, jeune femme.
											Elle avait 16 ans l'année dernière quand je l'ai rencontrée,
											et elle désirait devenir une danseuse professionnelle.
											Et pendant une de ses répétitions de danse,
											elle est tombée sur son bras tendu et s'est faite une entorse du poignet.
											Vous allez probablement imaginer, comme elle l'a fait,
											qu'une entorse du poignet est anodine
											dans la vie d'une personne.
											Enroulez-la dans une bande Velpeau,
											prenez de l'ibuprofen pendant une semaine ou deux,
											et c'est la fin de l'histoire.
											Mais dans le cas de Chandler, c'était le début de l'histoire.
											C'est ce à quoi ressemblait son bras
											quand elle est venue dans ma clinique trois mois après son entorse.
											Vous pouvez voir que le bras est décoloré,
											de couleur violacée.
											Il était d'une froideur cadavérique au toucher.
											Les muscles étaient gelés, paralysés —
											dystonique est comment nous qualifions cette condition.
											La douleur s'était répandue du poignet à ses mains,
											aux bout des doigts, de son poignet jusqu'à son coude,
											presque jusqu'à son épaule,
									","
											Das war es, was meine Patientin, Chandler, erlebte
											die Sie auf dem Foto sehen.
											Wie Sie sehen können, ist sie eine schöne junge Frau.
											Sie war 16 Jahre alt als ich sie letztes Jahr kennen lernte
											und strebte danach eine professionelle Tänzerin zu werden.
											Und während einem ihrer Tanztrainings
											fiel sie auf ihren ausgestreckten Arm und verstauchte sich das Handgelenk.
											Jetzt nehmen Sie vermutlich an – genauso wie sie –
											dass ein verstauchtes Handgelenk ein unbedeutendes Ereignis
											im Leben eines Menschen ist.
											Verbinden Sie es mit einem Verband,
											nehmen Sie ein oder zwei Wochen Ibuprofen
											und dann ist die Geschichte vorbei.
											Aber in Chandler's Fall, war das der Anfang der Geschichte.
											So sah ihr Arm aus
											als sie ungefähr drei Monate nach ihrer Verstauchung zu mir in die Klinik kam.
											Sie können sehen, dass ihr Arm verfärbt ist,
											lila verfärbt ist.
											Er war beim Berühren kalt wie eine Leiche.
											Die Muskeln waren erstarrt, gelähmt —
											dystonisch nennen wie das.
											Der Schmerz hatte sich vom Handgelenk zu den Händen,
											zu den Fingerspitzen, vom Handgelenk hoch zu ihrem Ellenbogen,
											bis fast ganz hoch zu den Schultern ausgebreitet.
									",The mystery of chronic pain,Elliot Krane,8:14,"Senses,brain,health,health care,pain,science"
"
","
","
","
","
","
",The mystery of chronic pain,Elliot Krane,8:14,"Senses,brain,health,health care,pain,science"
"
											But the worst part was,
											not the spontaneous pain that was there 24 hours a day.
											The worst part was that she had allodynia,
											the medical term for the phenomenon that I just illustrated
											with the feather and with the torch.
											The lightest touch of her arm —
											the touch of a hand,
											the touch even of a sleeve, of a garment, as she put it on —
											caused excruciating, burning pain.
									","
											Pero lo peor no era
											el dolor espontáneo que sentía 24 horas al día.
											Lo peor era que tenía alodinia,
											un término médico usado para el fenómeno que acabé de explicar
											con la pluma y la antorcha.
											El menor roce en el brazo -
											el roce con una mano,
											incluso el contacto de una manga, de una prenda al ponérsela -
											le causaba un dolor insoportable, mucho ardor.
									","
											Mas a pior parte não
											eram as dores espontâneas que sentia 24 horas por dia.
											A pior parte era ela estar a sofrer de ‘allodynia’,
											o termo médico para o fenómeno que descrevi há pouco
											usando a pena e o maçarico.
											O mais leve toque no seu braço …
											o toque de uma mão,
											até o toque de uma manga, de uma peça de roupa, enquanto ela a veste …
											causava dores ardentes e excruciantes.
									","
											Ama en kötüsü,
											24 saat kesintisiz olarak süren ağrı hissinden daha da kötüsü
											beraberinde allodini sorunu da vardı.
											Bu size demin bahsettiğim olayın tıbbi adı,
											tüy ve alev ile iglili olan durum.
											Koluna en hafif bir dokunma —
											elle hafifçe değme,
											ya da giyinirken koluna değen kıyafetinin kolunun teması —
											inanılmaz, yakıcı bir ağrı oluşturuyordu.
									","
											Mais le pire n'était pas
											la douleur spontanée qui était présente 24 heures sur 24.
											Le pire est qu'elle avait l'allodynie,
											le terme médical pour le phénomène que je viens d'illustrer
											avec la plume et avec la torche.
											Le plus léger toucher sur son bras —
											le toucher d'une main,
											le toucher même d'une manche, d'un vêtement, comme elle l'enfile —
											cause une douleur atroce, brûlante.
									","
											Aber das Schlimmste daran war nicht
											der plötzliche Schmerz, der 24 Stunden am Tag da war.
											Das Schlimmste daran war, dass sie Allodynia hatte,
											den medizinischen Begriff für das Phänomen, das ich gerade mit der
											Feder und dem Brenner veranschaulicht habe.
											Die leichteste Berührung ihres Arms —
											die Berührung einer Hand,
											die Berührung eines Ärmels, eines Stoffes, den sie anzog —
											verursachte unglaubliche brennende Schmerzen.
									",The mystery of chronic pain,Elliot Krane,8:14,"Senses,brain,health,health care,pain,science"
"
","
","
","
","
","
",The mystery of chronic pain,Elliot Krane,8:14,"Senses,brain,health,health care,pain,science"
"
											How can the nervous system get this so wrong?
											How can the nervous system
											misinterpret an innocent sensation
											like the touch of a hand
											and turn it into the malevolent sensation
											of the touch of the flame?
											Well you probably imagine that the nervous system in the body
											is hardwired like your house.
											In your house, wires run in the wall,
											from the light switch to a junction box in the ceiling
											and from the junction box to the light bulb.
											And when you turn the switch on, the light goes on.
											And when you turn the switch off, the light goes off.
											So people imagine the nervous system is just like that.
											If you hit your thumb with a hammer,
											these wires in your arm — that, of course, we call nerves —
											transmit the information into the junction box in the spinal cord
											where new wires, new nerves,
											take the information up to the brain
											where you become consciously aware that your thumb is now hurt.
									","
											¿Cómo puede el sistema nervioso equivocarse así?
											¿Cómo puede el sistema nervioso
											malinterpretar una sensación inocente
											como el roce de una mano
											y convertirla en una sensación tan maligna
											como el contacto con el fuego?
											Bien, probablemente imaginarán que el sistema nervioso
											es como el cableado de su casa.
											En su casa los cables pasan por la pared
											desde el interruptor de la luz a una caja de conexiones en el techo
											y desde la caja de conexiones a la bombilla.
											Y cuando se enciende el interruptor, la luz se enciende.
											Y cuando se apaga el interruptor, la luz se apaga.
											La gente se imagina que el sistema nervioso funciona así.
											Si se golpea el pulgar con un martillo,
											estos cables del brazo - que obviamente nosotros llamamos nervios -
											transmiten la información a la caja de conexiones en la médula espinal
											donde los cables nuevos, los nervios nuevos,
											llevan la información hasta el cerebro
											cuando se da cuenta que su pulgar se ha lesionado.
									","
											Como pode o sistema nervoso entender isto tão mal?
											Como pode o sistema nervoso interpretar
											incorrectamente uma sensação tão inocente quanto
											o toque de uma mão
											e transformá-lo na sensação malévola
											do toque de uma chama.
											Bem, vocês provavelmente imaginam que as ligações do sistema nervoso
											estão instaladas como as das vossas casas.
											Na vossa casa, os fios estão dentro das paredes,
											desde os interruptores até uma caixa no tecto
											e dessa caixa para uma lâmpada.
											E quando vocês ligam o interruptor, a lâmpada acende-se.
											E quando vocês desligam o interruptor, a lâmpada desliga-se.
											As pessoas pensam que o sistema nervoso é mesmo assim.
											Se vocês derem com um martelo no vosso dedo,
											estes fios no vosso braço – a que nós, obviamente, chamamos nervos –
											transmitem a informação para a caixa na medula espinal,
											onde novos fios, novos nervos,
											levam a informação para o cérebro,
											onde vocês passam a ter a consciência de que o vosso dedo está magoado.
									","
											Sinir sistemi nasıl bu kadar yanılabilir?
											Sinir sistemi nasıl olur da
											elin hafifçe değmesi gibi
											masum bir hissi
											alevle yanmaya benzer böylesine korkunç
											bir algılamaya çevirebilir?
											Muhtemelen sinir sisteminin vücudunuzda
											evinizdeki kablolar gibi olduğunu düşünüyorsunuz.
											Evinizde kablolar duvarın içinden geçiyor,
											elektrik anahtarından tavandaki bağlantı kutusuna,
											oradan da elektrik ampulüne gidiyor.
											Anahtarı açtığınızda ışık yanıyor.
											Kapadığınızda da ışık sönüyor.
											İnsanlar sinir sisteminin de aynen böyle olduğunu hayal ediyorlar.
											Eğer elinize çekiç ile vuracak olursanız,
											kolunuzdaki kablolar — ki elbette biz onlara sinir diyoruz—
											sinyali omurilikteki bağlantı noktasına taşırlar,
											burada yeni kablolar, yeni sinirler,
											bu bilgiyi alıp beyne götürürler
											böylece parmağınızın zedelenmiş olduğunu bilinçli olarak fark edersiniz.
									","
											Comment le système nerveux peut-il se tromper à ce point?
											Comment le système nerveux peut-il
											mal interpréter une sensation innocente
											comme le toucher d'une main
											et la transformer en la sensation malveillante
											du toucher d'une flamme?
											Et bien vous imaginez probablement que le système nerveux dans le corps
											est un câblage comme dans votre maison.
											Dans votre maison, les câbles courent dans les murs,
											de l'interrupteur aux boîtiers de raccordement dans le plafond
											et du boîtiers de raccordement à l'ampoule.
											Et quand vous déclenchez l'interrupteur, l'ampoule s'allume.
											Et quand vous fermez l'interrupteur, l'ampoule s'éteint.
											Et les gens s'imaginent que le système nerveux est identique.
											Si vous tapez sur votre pouce avec un marteau,
											ces câbles dans votre bras — c'est ce que l'on appelle, bien sûr, les nerfs —
											transmettent l'information vers le boîtiers de raccordement dans la moelle épinière
											où des nouveaux câbles, des nouveaux nerfs,
											amène l'information jusqu'au cerveau
											où vous devenez consciemment informé que votre pouce est maintenant blessé.
									","
											Wie kann das Nervensystem das so falsch verstehen?
											Wie kann das Nervensystem
											ein harmloses Gefühl
											wie die Berührung einer Hand falsch verstehen
											und daraus das grausame Gefühl
											der Berührung mit Feuer machen.
											Nun, Sie stellen sich vermutlich vor, dass das Nervensystem in Körper
											genauso fest verdraht ist wir Ihr Haus.
											In Ihrem Haus verlaufen die Kabel in der Wand,
											vom Lichtschalter zur Verteilerdose an der Decke
											und von der Verteilerdose zur Glühbirne.
											Wenn Sie am Schalter einschalten geht das Licht an.
											Und wenn Sie den Schalter ausschalten geht das Licht aus.
											Menschen stellen das Nervensystem genauso vor.
											Wenn Sie sich mit dem Hammer auf den Daumen schlagen,
											übermitteln die Kabel in Ihrem Arm – die wir natürlich Nerven nennen –
											die Information zur Verteilerdose im Rückenmark,
											wo die neuen Kabel, neuen Nerven
											die Information an das Gehirn weiterleiten
											wo es Ihnen bewußt wird, dass Ihr Daumen jetzt schmerzt.
									",The mystery of chronic pain,Elliot Krane,8:14,"Senses,brain,health,health care,pain,science"
