tr,de,title,speaker,duration,tags
"
","
",The future we're building — and boring,Elon Musk,40:50,"aircraft,cities,energy,design,business,engineering,entrepreneur,environment,exploration,global development,future,humanity,industrial design,infrastructure,intelligence,innovation,invention,manufacturing,Mars,product design,science,social change,society,solar energy,technology,universe"
"
											Chris Anderson: 
Elon, selam TED'e yeniden hoş geldin.
											Seni burada ağırlamak güzel.
									","
											Chris Anderson: Hallo Elon,
willkommen zurück bei TED.
											Schön, dass Sie da sind.
									",The future we're building — and boring,Elon Musk,40:50,"aircraft,cities,energy,design,business,engineering,entrepreneur,environment,exploration,global development,future,humanity,industrial design,infrastructure,intelligence,innovation,invention,manufacturing,Mars,product design,science,social change,society,solar energy,technology,universe"
"
","
",The future we're building — and boring,Elon Musk,40:50,"aircraft,cities,energy,design,business,engineering,entrepreneur,environment,exploration,global development,future,humanity,industrial design,infrastructure,intelligence,innovation,invention,manufacturing,Mars,product design,science,social change,society,solar energy,technology,universe"
"
											Elon Musk: Çağırdığınız için teşekkürler.
									","
											Elon Musk: Danke für die Einladung.
									",The future we're building — and boring,Elon Musk,40:50,"aircraft,cities,energy,design,business,engineering,entrepreneur,environment,exploration,global development,future,humanity,industrial design,infrastructure,intelligence,innovation,invention,manufacturing,Mars,product design,science,social change,society,solar energy,technology,universe"
"
","
",The future we're building — and boring,Elon Musk,40:50,"aircraft,cities,energy,design,business,engineering,entrepreneur,environment,exploration,global development,future,humanity,industrial design,infrastructure,intelligence,innovation,invention,manufacturing,Mars,product design,science,social change,society,solar energy,technology,universe"
"
											CA: Gelecek yarım saatte
											heyecanlı bir geleceğin
											nasıl olabileceğine dair vizyonunu 
keşfetmeye zaman harcayacağız,
											ki bu ilk soruyu sanırım 
biraz ironik yapıyor:
											Neden kazıyorsun?
									","
											CA: Wir werden die nächste
halbe Stunde damit verbringen,
											über Ihre Vorstellung von
einer spannenden Zukunft zu sprechen.
											Daher klingt die erste Frage
vielleicht etwas ironisch:
											Warum sind Sie so tiefgründig?
									",The future we're building — and boring,Elon Musk,40:50,"aircraft,cities,energy,design,business,engineering,entrepreneur,environment,exploration,global development,future,humanity,industrial design,infrastructure,intelligence,innovation,invention,manufacturing,Mars,product design,science,social change,society,solar energy,technology,universe"
"
","
",The future we're building — and boring,Elon Musk,40:50,"aircraft,cities,energy,design,business,engineering,entrepreneur,environment,exploration,global development,future,humanity,industrial design,infrastructure,intelligence,innovation,invention,manufacturing,Mars,product design,science,social change,society,solar energy,technology,universe"
"
											EM: Evet.
											Bunu kendime sıkça sorarım.
											LA'in altını [trafik] 
sıkışıklığını azaltmak için
											ve umarım, sonunda 3B tünel ağlarının
											da başlangıcı olabilmesi için
											kazmaya çalışıyoruz.
											Şu an trafik insanı 
en bezdiren şeylerden biri.
											Dünyanın her yanındaki 
insanları etkiliyor.
											Hayatınızdan çok fazlasını götürüyor.
											Bu korkunç.
											Özellikle de LA'de korkunç.
									","
											EM: Ja.
											Das frage ich mich auch oft.
											Wir versuchen uns gerade
an einer Bohrung unter L. A.
											Daraus soll dann hoffentlich
											ein 3D-Tunnelnetzwerk entstehen,
											um das Verkehrsaufkommen zu verringern.
											Derzeit ist der Straßenverkehr eines
der nervtötendsten Dinge überhaupt.
											Überall auf der Welt
sind Menschen davon betroffen.
											Das nimmt einem so viel vom Leben.
											Es ist schrecklich.
											Besonders schlimm ist es in L.A.
									",The future we're building — and boring,Elon Musk,40:50,"aircraft,cities,energy,design,business,engineering,entrepreneur,environment,exploration,global development,future,humanity,industrial design,infrastructure,intelligence,innovation,invention,manufacturing,Mars,product design,science,social change,society,solar energy,technology,universe"
"
","
",The future we're building — and boring,Elon Musk,40:50,"aircraft,cities,energy,design,business,engineering,entrepreneur,environment,exploration,global development,future,humanity,industrial design,infrastructure,intelligence,innovation,invention,manufacturing,Mars,product design,science,social change,society,solar energy,technology,universe"
"
											(Gülüşmeler)
									","
											(Lachen)
									",The future we're building — and boring,Elon Musk,40:50,"aircraft,cities,energy,design,business,engineering,entrepreneur,environment,exploration,global development,future,humanity,industrial design,infrastructure,intelligence,innovation,invention,manufacturing,Mars,product design,science,social change,society,solar energy,technology,universe"
