en,pt,es,fr,tr,de,title,speaker,duration,tags
"
","
","
","
","
","
",How do your hormones work?,Emma Bryce,5:00,"TED-Ed,science,human body,physiology"
"
											Over the course of our lifetimes,
											our bodies undergo a series 
of extraordinary metamorphoses:
											we grow,
											experience puberty,
											and many of us reproduce.
											Behind the scenes,
											the endocrine system works 
constantly to orchestrate these changes.
											Alongside growth and sexual maturity,
											this system regulates everything 
from your sleep
											to the rhythm of your beating heart,
											exerting its influence over each 
and every one of your cells.
									","
											Ao longo da nossa vida,
											o nosso corpo sofre uma série
de metamorfoses extraordinárias:
											crescemos,
											passamos pela puberdade
											e muitos de nós reproduzem-se.
											Nos bastidores, o sistema endócrino
funciona permanentemente
											para orquestrar estas alterações
											Durante o crescimento
e a maturidade sexual,
											este sistema regula tudo,
											desde o sono ao ritmo do nosso coração,
											exercendo a sua influência
em todas as nossas células.
									","
											En el transcurso de la vida,
											nuestro cuerpo se somete a una serie
de metamorfosis extraordinarias:
											crecemos, pasamos por la pubertad
											y muchos nos reproducimos.
											En un segundo plano, el sistema endocrino
											funciona constantemente 
para orquestar estos cambios.
											Junto al crecimiento y la madurez sexual,
											este sistema lo regula todo,
desde el sueño hasta el ritmo cardíaco,
											ejerciendo su influencia 
sobre cada una de las células.
									","
											Tout au long de notre vie,
											notre corps subit une série
de métamorphoses extraordinaires :
											on grandit,
											on connaît la puberté
											et beaucoup parmi nous procréent.
											Dans les coulisses, le système endocrinien
travaille sans cesse
											pour orchestrer ces changements.
											En parallèle de la croissance
et de la maturité sexuelle,
											ce système contrôle tout, du sommeil
											au rythme des battements cardiaques,
											exerçant son influence
sur toutes les cellules.
									","
											Hayatımız boyunca,
											vücudumuz birçok sıra dışı değişime uğrar:
											büyürüz,
											ergenliğe gireriz
											ve çoğumuz ürer.
											Sahne arkasında,
											endokrin sistemi bu değişiklikleri
düzenlemek için sürekli çalışır.
											Büyümenin ve cinsel olgunluğun yanısıra,
											bu sistem uykunuzdan
											kalp ritminize kadar her şeyi düzenler.
											Gücünü
hücrelerinizin her birinde kullanır.
									","
											Im Laufe unseres Lebens
											durchläuft unser Körper eine Reihe
von außergewöhnlichen Verwandlungen:
											wir wachsen,
											durchleben die Pubertät
											und viele von uns haben Nachkommen.
											Im Hintergrund
											arbeitet das Hormonsystem ständig,
um diese Veränderungen zu koordinieren.
											Neben Wachstum und Geschlechtsreife
											reguliert dieses System alles, vom Schlaf
											bis zum Rhythmus des Herzschlags,
											indem es jede einzelne
seiner Zellen beeinflusst.
									",How do your hormones work?,Emma Bryce,5:00,"TED-Ed,science,human body,physiology"
"
","
","
","
","
","
",How do your hormones work?,Emma Bryce,5:00,"TED-Ed,science,human body,physiology"
"
											The endocrine system relies 
on interactions
											between three features to do its job:
											glands,
											hormones,
											and trillions of cell receptors.
											Firstly, there are several
hormone-producing glands:
											three in your brain,
											and seven in the rest of your body.
											Each is surrounded by 
a network of blood vessels,
											from which they extract ingredients 
to manufacture dozens of hormones.
											Those hormones are then
pumped out in tiny amounts,
											usually into the bloodstream.
									","
											O sistema endócrino
repousa nas interações
											de três características,
para exercer a sua função:
											glândulas, hormonas
											e biliões de células recetoras.
											Primeiro, há várias glândulas
que produzem hormonas:
											três delas situadas no cérebro,
											e sete no resto do corpo.
											Cada uma delas está cercada
por uma rede de vasos sanguíneos,
											dos quais extraem ingredientes
para fabricar dezenas de hormonas.
											Essas hormonas são depois
lançadas em pequenas quantidades,
											normalmente na corrente sanguínea.
									","
											El sistema endocrino 
se basa en la interacción
											de tres piezas fundamentales
para hacer su trabajo:
											las glándulas,
											las hormonas
											y billones de receptores celulares.
											En primer lugar, hay varias glándulas 
productoras de hormonas:
											tres en el cerebro
											y siete en el resto del cuerpo.
											Cada una está rodeada
por una red de vasos sanguíneos,
											de donde extraen los ingredientes
para fabricar docenas de hormonas.
											Luego, esas hormonas son 
liberadas en pequeñas cantidades
											e ingresan, por lo general,
al torrente sanguíneo.
									","
											Le système endocrinien se base
sur les interactions
											entre trois acteurs
pour faire son travail :
											les glandes,
											les hormones
											et des milliards de récepteurs
de lymphocytes.
											Tout d'abord, il y a plusieurs
glandes produisant des hormones :
											trois dans le cerveau
											et sept dans le reste du corps.
											Chacune est entourée d'un réseau
de vaisseaux sanguins,
											d'où elles prélèvent les ingrédients
pour produire des dizaines d'hormones.
											Ces hormones sont alors
pompées dehors en très petites quantités,
											d'habitude dans le sang.
									","
											Endokrin sistemi
											üç yapı arasındaki etkileşime dayanır:
											salgı bezleri,
											hormonlar
											ve trilyonlarca hücre reseptörü.
											Öncelikle, vücudunuzda
birçok hormon üreten salgı bezi var.
											Üç tanesi beyinde,
											yedi tanesi de vücudun geri kalanında.
											Her biri, düzinelerce hormon üretmek için
											bileşenlerin aktarıldığı
kan damarı ağları ile sarılıdır.
											Daha sonra bu hormonlar
çoğunlukla kan dolaşımına
											küçük miktarlarda pompalanır.
									","
											Das Hormonsystem beruht
auf dem Zusammenwirken
											von drei Merkmalen,
um seine Aufgaben zu erfüllen:
											Drüsen,
											Hormonen
											und Billionen von Zellrezeptoren.
											Zunächst gibt es mehrere
hormonproduzierende Drüsen:
											drei im Gehirn
											und sieben im Rest des Körpers.
											Alle sind mit einem Netzwerk
von Blutgefäßen umgeben,
											aus denen sie Bestandteile entnehmen,
um Dutzende von Hormonen zu erzeugen.
											Diese Hormone werden dann in
winzigen Mengen hinausgepumpt,
											in der Regel in den Blutkreislauf.
									",How do your hormones work?,Emma Bryce,5:00,"TED-Ed,science,human body,physiology"
"
","
","
","
","
","
",How do your hormones work?,Emma Bryce,5:00,"TED-Ed,science,human body,physiology"
"
											From there, each hormone needs 
to locate a set of target cells
											in order to bring about a specific change.
											To find its targets, 
it’s helped along by receptors,
											which are special proteins inside 
or on the cell’s surface.
											Those receptors recognise
specific hormones as they waft by,
											and bind to them.
											When this happens,
											that hormone-receptor combination 
triggers a range of effects
											that either increase or decrease 
specific processes inside the cell
											to change the way that cell behaves.
									","
											A partir daí, cada hormona precisa
de localizar um conjunto de células alvo
											a fim de provocar
uma alteração específica.
											Para encontrar esses alvos,
é ajudada por recetores
											que são proteínas especiais
no interior ou na superfície da célula.
											Esses recetores reconhecem
hormonas especificas, quando elas passam
											e ligam-se com elas.
											Quando isso acontece,
											essa combinação hormona-recetor
desencadeia uma série de efeitos
											que aumentam ou diminuem
processos específicos dentro da célula
											para alterar a forma
como a célula se comporta.
									","
											Una vez allí, cada hormona necesita
localizar un conjunto de células meta
											para provocar un cambio específico.
											Para encontrar sus objetivos,
se vale de receptores,
											que son proteínas especiales 
dentro o en la superficie de la célula.
											Esos receptores reconocen hormonas 
específicas cuando pasan cerca,
											y se unen a ellas.
											Cuando esto sucede,
											esa combinación hormona-receptor
desencadena una serie de efectos
											que aumentan o bien disminuyen
procesos específicos en la célula
											para cambiar la forma 
en que esta se comporta.
									","
											De là, chaque hormone a besoin
de localiser un groupe de cellules cibles
											pour entamer un changement spécifique.
											Pour trouver ses cibles,
il est aidé par des récepteurs,
											qui sont des protéines spéciales situées
dans la cellule ou sur sa surface.
											Ces récepteurs reconnaissent
des hormones spécifiques qui flottent
											et se lient à elles.
											Quand ça arrive,
											cette combinaison hormone-récepteur
déclenche une série d'effets
											qui augmentent ou réduisent
des processus spécifiques dans la cellule
											pour changer le comportement
de cette cellule.
									","
											Oradan, her bir hücre
belli bir değişime neden olmak için
											bir hedef hücre takımının
yerini saptamalıdır.
											Hedeflerini bulabilmesi için, hücrenin
yüzeyinin içinde ya da üzerinde bulunan
											özel proteinler olan reseptörlerden 
yardım alır.
											Bu reseptörler, onlar tarafından
taşındığından ve onlara bağlı olduğundan
											belli hormonları tanır.
											Bu olduğunda,
											hormon reseptörü kombinasyonu
bir dizi etkiye neden olur.
											Bu etkiler, bir hücrenin hareketini
değiştirmek için
											hücredeki belli işlemlerin artmasına
ya da azalmasına neden olur.
									","
											Von dort muss jedes Hormon
eine Reihe von Zielzellen finden,
											um eine bestimmte Veränderung zu bewirken.
											Um seine Ziele zu finden,
helfen ihm Rezeptoren,
											das sind spezielle Proteine in
oder auf der Zelloberfläche.
											Diese Rezeptoren erkennen
bestimmte Hormone beim Vorbeischweben
											und heften sich an sie.
											Wenn das geschieht,
											löst die Kombination aus Hormonrezeptoren
eine Reihe von Effekten aus,
											die bestimmte Prozesse in der Zelle
entweder vermehren oder verringern,
											um das Zellverhalten zu verändern.
									",How do your hormones work?,Emma Bryce,5:00,"TED-Ed,science,human body,physiology"
"
","
","
","
","
","
",How do your hormones work?,Emma Bryce,5:00,"TED-Ed,science,human body,physiology"
"
											By exposing millions of cells at a time
											to hormones
in carefully-regulated quantities,
											the endocrine system drives 
large-scale changes across the body.
									","
											Ao expor milhões de células
às hormonas, ao mesmo tempo,
											em quantidades cuidadosamente reguladas,
											o sistema endócrino comanda
alterações de grande escala no corpo.
									","
											Al exponer de manera simultánea
millones de células a las hormonas
											en cantidades cuidadosamente reguladas,
											el sistema endocrino impulsa cambios
a gran escala por todo el cuerpo.
									","
											En exposant des millions
de cellules à la fois
											aux hormones en quantités
soigneusement régulées,
											le système endocrinien entraîne
de grands changements dans tout le corps.
									","
											Milyonlarca hücreyi
dikkatle düzenlenmiş miktarlarda
											hormonlara birden maruz bırakarak
											endokrin sistemi vücut üzerinde
geniş kapsamlı değişiklere neden olur.
									","
											Indem Millionen von Zellen
gleichzeitig Hormonen
											in genau regulierter Menge
ausgesetzt werden,
											steuert das Hormonyystem
weitreichende körperliche Veränderungen.
									",How do your hormones work?,Emma Bryce,5:00,"TED-Ed,science,human body,physiology"
"
","
","
","
","
","
",How do your hormones work?,Emma Bryce,5:00,"TED-Ed,science,human body,physiology"
"
											Take, for instance, the thyroid 
and the two hormones it produces,
											triiodothyronine and thyroxine.
											These hormones travel to most 
of the body’s cells,
											where they influence how quickly 
those cells use energy
											and how rapidly they work.
											In turn, that regulates everything 
from breathing rate
											to heartbeat,
											body temperature,
											and digestion.
									","
											Por exemplo, a tiroide
produz duas hormonas
											- a triiodotironina e a tiroxina.
											Estas hormonas chegam à maior parte
das células do corpo
											onde influenciam a rapidez
com que essas células usam a energia
											e a rapidez com que elas funcionam.
											Por sua vez, isso regula tudo,
desde o ritmo da respiração
											até ao batimento cardíaco,
											à temperatura do corpo
											e à digestão.
									","
											Tomemos, por ejemplo, la tiroides
y las dos hormonas que produce:
											la triyodotironina y la tiroxina.
											Estas hormonas viajan a la mayoría
de las células del cuerpo,
											e influyen en la rapidez de las células
para consumir energía
											y para funcionar.
											A su vez, esto lo regula todo,
desde la frecuencia respiratoria
											hasta el latido del corazón,
											la temperatura corporal
											y la digestión.
									","
											Prenez, par exemple, la thyroïde
et les deux hormones qu'elle produit,
											la triiodothyronine et la thyroxine.
											Ces hormones voyagent vers
la majorité des cellules du corps,
											où elles influencent la vitesse avec
laquelle celles-ci utilisent l'énergie
											et la rapidité de leur travail.
											Cela régule tout :
de la fréquence respiratoire
											au rythme cardiaque,
											à la température corporelle,
											jusqu'à la digestion.
									","
											Örneğin, tiroit
ve onun ürettiği iki hormon olan
											triiyodotironin ve tiroksin.
											Bu hormonlar
çoğu vücut hücresini ziyaret eder
											ve bu hücrelerin enerjiyi
ne kadar çabuk kullandığını
											ve çalışma hızlarını etkiler.
											Bu sırayla, solunum hızından
											kalp atışına,
											vücut sıcaklığından
											sindirime her şeyi düzenler.
									","
											Nehmen wir z. B. die Schilddrüse und
die beiden Hormone, die sie produziert,
											Triiodthyronin und Thyroxin.
											Diese Hormone wandern
zu den meisten Körperzellen,
											wo sie beeinflussen, wie schnell
die Zellen Energie verbrauchen
											und wie schnell sie arbeiten.
											Das wiederum reguliert alles
von der Atemfrequenz
											bis hin zu Herzschlag,
											Körpertemperatur
											und Verdauung.
									",How do your hormones work?,Emma Bryce,5:00,"TED-Ed,science,human body,physiology"
