en,tr,pt,fr,de,title,speaker,duration,tags
"
","
","
","
","
",How does the immune system work?,Emma Bryce,5:08,"health,public health,human body,health care,TED-Ed,healthcare,education,animation,medicine,illness,bacteria"
"
											A mosquito lands on your arm,
											injects its chemicals into your skin, 
and begins to feed.
											You wouldn’t even know it was there,
if not for the red lump that appears,
											accompanied by a telltale itch.
											It’s a nuisance, but that bump 
is an important signal
											that you’re protected 
by your immune system,
											your body’s major safeguard 
against infection, illness, and disease.
									","
											Kolunuza bir sivrisinek konuyor,
											kimyasal maddelerini teninize
enjekte edip beslenmeye başlıyor.
											Ortaya çıkan kırmızı kabarcık
ve arkasından gelen kaşıntı olmasa
											orada olduğunu bile bilmezsiniz.
											Küçük bir ayrıntı da olsa
o kabarcık
											bağışıklık sisteminiz tarafından
korunduğunuza işaret eder,
											vücudunuzun enfeksiyon
ve hastalıklara karşı temel koruması.
									","
											""Um corpo humano é uma conversa
											""no interior das células
e entre as células"".
											Um mosquito poisa no nosso braço,
											injeta os seus químicos na nossa pele
e começa a alimentar-se.
											Nem saberíamos que ele está ali,
											se não fosse o inchaço vermelho
que aparece,
											acompanhado por uma comichão denunciadora.
											É incómodo, mas aquele inchaço
é um sinal importante
											de estarmos a ser protegidos
pelo nosso sistema imunitário,
											uma importante salvaguarda
contra infeções e doenças.
									","
											Un moustique se pose sur votre bras,
											injecte sa salive sous votre peau
et commence à se nourrir.
											Vous ne vous apercevriez pas qu'il est là
sans ce bouton rouge qui apparaît,
											accompagné d'une envie 
révélatrice de se gratter.
											C'est désagréable, mais ce bouton
est un signe important
											que vous êtes protégé 
par votre système immunitaire,
											système de défense du corps
contre les infections et maladies.
									","
											Ein Moskito landet auf deinem Arm,
											injiziert Chemikalien in deine Haut
und beginnt zu saugen.
											Du wüsstest nicht, dass er da war,
ohne die rote Beule, die erscheint,
											zusammen mit einem verräterischen Jucken.
											Sie ist lästig, doch diese Beule
ist ein wichtiges Zeichen,
											dass dein Immunsystem dich beschützt:
											der Schutz deines Körpers
gegen Infektionen und Krankheit.
									",How does the immune system work?,Emma Bryce,5:08,"health,public health,human body,health care,TED-Ed,healthcare,education,animation,medicine,illness,bacteria"
"
","
","
","
","
",How does the immune system work?,Emma Bryce,5:08,"health,public health,human body,health care,TED-Ed,healthcare,education,animation,medicine,illness,bacteria"
"
											This system is a vast network of cells, 
tissues, and organs
											that coordinate your body’s defenses 
against any threats to your health.
											Without it, you’d be exposed to billions 
of bacteria, viruses, and toxins
											that could make something as minor
as a paper cut or a seasonal cold fatal.
									","
											Bu sistem, 
sağlığınıza yönelik tüm tehditlere karşı
											vücut savunmanızı koordine eden
dev bir hücre, doku ve organ işbirliği.
											Bu sistem olmadan, kağıt kesiği 
veya nezle gibi basit bir şey bile
											milyarlarca bakteri, virüs ve toksine
maruz kalacağınız için ölümcül olabilir.
									","
											Este sistema é uma enorme rede
de células, tecidos e órgãos
											que coordenam as defesas do nosso corpo
contra quaisquer ameaças à nossa saúde.
											Sem ele, estaríamos expostos a milhares
de milhões de bactérias, vírus e toxinas
											que podiam tornar fatal
uma coisa tão banal
											como um corte feito por um papel
ou uma constipação sazonal.
									","
											Ce système est un vaste réseau 
de cellules, tissus et organes
											qui coordonnent les défenses du corps
contre ce qui menace votre santé.
											Sans lui, on serait exposé à des milliards
de bactéries, virus et toxines
											pouvant rendre mortels une coupure 
ou un rhume saisonnier bénins.
									","
											Dieses System ist ein riesiges Netzwerk
aus Zellen, Gewebe und Organen,
											die den Schutz deines Körpers gegen alle
gesundheitlichen Bedrohungen koordinieren.
											Ohne es wärst du Milliarden Bakterien,
Viren und Giften ausgesetzt,
											die etwas Kleines wie einen Kratzer
oder eine Erkältung tödlich werden ließen.
									",How does the immune system work?,Emma Bryce,5:08,"health,public health,human body,health care,TED-Ed,healthcare,education,animation,medicine,illness,bacteria"
"
","
","
","
","
",How does the immune system work?,Emma Bryce,5:08,"health,public health,human body,health care,TED-Ed,healthcare,education,animation,medicine,illness,bacteria"
"
											The immune system relies on millions 
of defensive white blood cells,
											also known as leukocytes,
											that originate in our bone marrow.
											These cells migrate into the bloodstream
and the lymphatic system,
											a network of vessels which helps 
clear bodily toxins and waste.
											Our bodies are teeming with leukocytes:
											there are between 4,000 
and 11,000 in every microliter of blood.
									","
											Bağışıklık sistemi, 
lökosit olarak bilinen
											ve kemik iliğimizde oluşan
											milyarlarca beyaz kan hücresine dayanır.
											Bu hücreler, vücudun toksin ve atıklardan
temizlenmesine yardım eden
											kan dolaşımı 
ve lenf sistemlerine yerleşirler.
											Vücudumuz lökositlerle doludur:
											Her bir mikrolitre kanda
4.000-11000 arası lökosit vardır.
									","
											O sistema imunitário baseia-se
em milhões de glóbulos brancos defensivos,
											conhecidos por leucócitos
											que têm origem na medula óssea.
											Estas células migram para a corrente
sanguínea e para o sistema linfático,
											uma rede de vasos que ajuda a limpar
as toxinas e os desperdícios corporais.
											O nosso corpo está cheio de leucócitos:
											há entre 4000 e 11 000
em cada microlitro de sangue.
									","
											Le système immunitaire repose
sur des millions de globules blancs,
											également appelés leucocytes,
											qui proviennent de la moelle osseuse.
											Ces cellules se déplacent dans le système
sanguin et le système lymphatique,
											un réseau de vaisseaux qui aide le corps
à se nettoyer des toxines et des déchets.
											Notre corps regorge de leucocytes :
											il y en a entre 4 000 et 11 000 
dans chaque microlitre de sang.
									","
											Das Immunsystem ist auf Millionen
von weißen Blutzellen angewiesen,
											den Leukozyten,
											die in unserem Knochenmark entstehen.
											Diese Zellen bewegen sich durch das Blut
und durch das Lymphsystem,
											einem Netzwerk aus Gefäßen, die helfen,
körperliche Gifte und Abfall zu entfernen.
											In unserem Körper wimmelt es
von Leukozyten.
											Es gibt zwischen 4 000 und 11 000
in jedem Mikroliter Blut.
									",How does the immune system work?,Emma Bryce,5:08,"health,public health,human body,health care,TED-Ed,healthcare,education,animation,medicine,illness,bacteria"
"
","
","
","
","
",How does the immune system work?,Emma Bryce,5:08,"health,public health,human body,health care,TED-Ed,healthcare,education,animation,medicine,illness,bacteria"
"
											As they move around, leukocytes 
work like security personnel,
											constantly screening the blood, 
tissues, and organs for suspicious signs.
											This system mainly relies 
on cues called antigens.
											These molecular traces on the surface 
of pathogens and other foreign substances
											betray the presence of invaders.
											As soon as the leukocytes detect them,
											it takes only minutes for the body’s 
protective immune response to kick in.
									","
											Bunlar hareket ederken
adeta güvenlik görevlisi gibidirler,
											sürekli kan, doku ve organları
şüpheli semptomlar için tararlar.
											Bu sistem temel olarak
antijen denilen ipuçlarına güvenir.
											Patojen ve diğer yabancı maddelerin 
yüzeyinde bulunan bu moleküler izler
											istilacıların varlığına isyan ederler.
											Lökositler onları fark ettiği an,
											vücudun koruyucu bağışıklık sisteminin
devreye girmesi yalnızca dakikalar sürer.
									","
											À medida que circulam, os leucócitos
funcionam como pessoal de segurança,
											procurando permanentemente no sangue,
nos tecidos e nos órgãos sinais suspeitos.
											Este sistema baseia-se sobretudo
em pistas chamadas antigénios.
											Estes indícios moleculares
na superfície dos agentes patogénicos
											e noutras substâncias estranhas
											denunciam a presença de invasores.
											Logo que os leucócitos os detetam,
											o sistema imunitário protetor
demora apenas minutos a expulsá-los.
									","
											En se déplaçant, les leucocytes agissent
comme du personnel de sécurité,
											toujours à la recherche de signes suspects
dans le sang, les tissus et les organes.
											Ce système repose principalement
sur des signaux appelés antigènes.
											Ces traces moléculaires à la surface
des pathogènes et autres corps étrangers
											trahissent la présence d'intrus.
											Dès que les leucocytes les détectent,
											la réponse immunitaire ne prend que
quelques minutes pour entrer en action.
									","
											Leukozyten funktionieren
wie Sicherheitspersonal,
											das ständig Blut, Gewebe und Organe
nach verdächtigen Zeichen durchsucht.
											Dieses System ist auf Signale angewiesen,
die Antigene genannt werden.
											Diese molekularen Spuren
auf Krankheitserregern und anderen Stoffen
											verraten die Anwesenheit der Angreifer.
											Sobald die Leukozyten diese entdecken,
											braucht es nur Minuten,
bis eine Immunreaktion einsetzt.
									",How does the immune system work?,Emma Bryce,5:08,"health,public health,human body,health care,TED-Ed,healthcare,education,animation,medicine,illness,bacteria"
"
","
","
","
","
",How does the immune system work?,Emma Bryce,5:08,"health,public health,human body,health care,TED-Ed,healthcare,education,animation,medicine,illness,bacteria"
"
											Threats to our bodies are hugely variable,
											so the immune response 
has to be equally adaptable.
											That means relying on many 
different types of leukocytes
											to tackle threats in different ways.
									","
											Vücudumuza gelen tehditler
oldukça değişkendir,
											bağışıklık sisteminin de aynı ölçüde
adapte olması gerekir.
											Bu da tehditlerle farklı yollarla savaşan
											çok sayıda değişik türde lökosit demektir.
									","
											As ameaças ao nosso corpo
variam imenso,
											por isso a reação imunitária
tem que ser igualmente adaptável.
											Isso significa que nos baseamos
em muitos tipos diferentes de leucócitos
											para tratar de ameaças
de formas diferentes.
									","
											Les menaces à notre santé
varient énormément,
											la réponse immunitaire se doit donc
d'être tout aussi variable.
											Pour cela, il existe
différents types de leucocytes
											combattant les menaces
de différentes manières.
									","
											Die Gefahren sind sehr unterschiedlich,
											also müssen Immunreaktionen
gleichermaßen anpassbar sein.
											Der Körper verlässt sich auf
verschiedene Typen von Leukozyten,
											um Gefahren unterschiedlich zu bekämpfen.
									",How does the immune system work?,Emma Bryce,5:08,"health,public health,human body,health care,TED-Ed,healthcare,education,animation,medicine,illness,bacteria"
