tr,pt,fr,title,speaker,duration,tags
"
","
","
",A futuristic vision of the age of holograms,Alex Kipman,19:05,"communication,computers,engineering,creativity,design,exploration,innovation,interface design,microsoft,invention,potential,NASA,product design,prediction,visualizations,technology,future"
"
											Günümüzden binlerce yıl sonra
											bilgisayar kullanımımızın ilk yüzyılını
											ilgi çekici ama garip bir zaman
olarak göreceğiz.
											İnsan yaşamının ilk defa
iki boyutlu alana indirgendiği
											ve tıpkı makineymişiz gibi
teknoloji ile etkileşim içinde
											olduğumuz ve hep bir ekranın ardından

											iletişim kurduğumuz, eğlendiğimiz ve
											hayatlarımızı idare ettiğimiz
											bir asır olarak göreceğiz.
									","
											Daqui a milhares de anos,
											olharemos para trás, para o primeiro
século de computação
											como um tempo fascinante mas peculiar.
											A única época em que os seres humanos
foram reduzidos a viver num espaço 2D,
											interagindo com a tecnologia 
como se fôssemos máquinas.
											Um período singular, de cem anos,
na vastidão do tempo,
											em que os seres humanos comunicavam,
											se entretinham e geriam as suas vidas
atrás de um ecrã.
									","
											D'ici quelques milliers d'années,
											nous repenserons au premier siècle
de l'informatique
											et nous en souviendrons comme d'une époque
fascinante mais très particulière :
											la seule dans l'histoire où les humains
étaient réduits à vivre dans un espace 2D,
											interagissant avec la technologie
comme si nous étions des machines ;
											une période singulière de 100 ans
perdue dans le temps infini
											durant laquelle
les humains communiquaient,
											se divertissaient et géraient leurs vies
											derrière un écran.
									",A futuristic vision of the age of holograms,Alex Kipman,19:05,"communication,computers,engineering,creativity,design,exploration,innovation,interface design,microsoft,invention,potential,NASA,product design,prediction,visualizations,technology,future"
"
","
","
",A futuristic vision of the age of holograms,Alex Kipman,19:05,"communication,computers,engineering,creativity,design,exploration,innovation,interface design,microsoft,invention,potential,NASA,product design,prediction,visualizations,technology,future"
"
											Bugün, zamanımızın çoğunu tuşlara basarak
ve ekrana bakarak geçiriyoruz.
											Başkalarıyla iletişime geçmeye ne oldu?
											Siz nasıl hissediyorsunuz bilmiyorum, 
ama ben iki boyutlu
											monitörlerin ve piksellerin
dünyasında kısıtlanmış hissediyorum.
											Bu kısıtlanma
											ve benim insanlarla iletişim kurma tutkum
											bana bir yaratıcı olarak ilham veriyor.
											Kısacası, yeni bir gerçeklik 
yaratmak istiyorum.
											Teknolojinin bizi birbirimize 
olabildiğince yaklaştırdığı,
											her şeyin odağında makineler yerine
insanların olduğu
											bir gerçeklik.
									","
											Hoje, passamos a maior parte do tempo
a tocar e a olhar para ecrãs.
											O que aconteceu com
a interação uns com os outros?
											Não sei em relação a vós,
mas sinto-me limitado
											dentro deste mundo 2D
de monitores e píxeis.
											É esta limitação e o meu desejo
de me ligar às pessoas
											que me inspiram como criador.
											De forma simples: quero criar
uma nova realidade
											em que a tecnologia nos aproxime
infinitamente mais.
											Uma realidade em que as pessoas,
e não os dispositivos,
											sejam o centro de tudo.
									","
											Aujourd'hui, nous passons le plus clair
de notre temps à tapoter
											et regarder des écrans.
											Où est passée l'interactivité ?
											Je ne sais pas pour vous,
mais je me sens limité
											à l'intérieur de ce monde en 2D
de moniteurs et de pixels.
											Et c'est cette limite
											et mon désir de connexion avec les gens
											qui m'ont poussé à devenir un créateur.
											En deux mots, je veux créer
une nouvelle réalité,
											une réalité où la technologie
nous rapproche les uns des autres,
											une réalité où les gens, 
pas les appareils,
											sont au centre de tout.
									",A futuristic vision of the age of holograms,Alex Kipman,19:05,"communication,computers,engineering,creativity,design,exploration,innovation,interface design,microsoft,invention,potential,NASA,product design,prediction,visualizations,technology,future"
"
","
","
",A futuristic vision of the age of holograms,Alex Kipman,19:05,"communication,computers,engineering,creativity,design,exploration,innovation,interface design,microsoft,invention,potential,NASA,product design,prediction,visualizations,technology,future"
"
											Teknolojinin ne gördüğümüzü, 
neye dokunduğumuzu, neyi hissettiğimizi
											anladığı, teknolojinin yolumuza
karışmak yerine bizi
											olduğumuz gibi sardığı
bir gerçeklik yaratmak istiyorum.
											İnsanın izinden giden
											bir teknoloji hayal ediyorum.
											Herkes daha insansı hareketlere 
izin veren teknolojileri
											ve doğal etkileşim, 
ses tanıma, biyometriye
											imkân sağlayan cihazları görmüşüzdür.
									","
											Sonho com uma realidade onde a tecnologia
sinta o que vemos, tocamos e sentimos.
											Uma realidade em que a tecnologia
não se meta no nosso caminho,
											mas aceite quem nós somos.
											Sonho com uma tecnologia
											numa direção humana.
											Todos experimentámos tecnologia
											que permite às pessoas agirem como tal.
											Produtos que possibilitam interações
naturais, controlos de voz ou biométricos.
									","
											Je rêve d'une réalité où la technologie
											ressent ce que nous voyons, touchons, 
et ressentons ;
											une réalité où la technologie
n'est plus un obstacle
											mais au contraire, se fond en nous.
											Je rêve d'une technologie
plus humaine.
											Nous avons tous expérimenté
des technologies
											qui nous permettent d'agir en humains,
											des produits qui permettent
une interaction naturelle :
											les commandes vocales, la biométrie.
									",A futuristic vision of the age of holograms,Alex Kipman,19:05,"communication,computers,engineering,creativity,design,exploration,innovation,interface design,microsoft,invention,potential,NASA,product design,prediction,visualizations,technology,future"
"
","
","
",A futuristic vision of the age of holograms,Alex Kipman,19:05,"communication,computers,engineering,creativity,design,exploration,innovation,interface design,microsoft,invention,potential,NASA,product design,prediction,visualizations,technology,future"
"
											Bu evrimin bir sonraki aşaması.
											Bu Microsoft HoloLens,
											ilk tam bağımsız holografik bilgisayar.
											Bunun gibi cihazlar, 3 boyutlu 
holografik veriyi hayatımıza sokarak,
											hayatı sıradan algılarımızın ötesinde
											daha güçlü bir şekilde
											deneyimlememizi sağlayacak.
											Şu an, uzak gelecek hakkında düşünmüyorum.
											Günümüz hakkında konuşuyorum.
											Günümüzde Volvo gibi şirketlerin
arabalarını HoloLens'le farklı şekilde
											tasarladıklarını, Case Western gibi
üniversitelerin
											tıp öğrencilerinin öğrenme yollarını
yeniden tanımladıklarını
											-ve işte benim favorim olan-
											NASA bilim insanlarının gezegenleri
holografik olarak keşfetmesi için
											HoloLens'i kullandığını görüyoruz.
									","
											Isto é o novo passo na evolução.
											Isto é a HoloLens da Microsoft,
											o primeiro computador holográfico
totalmente autónomo.
											Dispositivos como este 
trarão conteúdo holográfico 3D
											diretamente para o nosso mundo,
											realçando o modo como
experimentamos a vida,
											para além do nosso leque
usual de perceções.
											Não estou a pensar num futuro distante.
											Estou a falar de hoje.
											Já vemos empresas automóvel como a Volvo
											a desenhar carros de forma
diferente com a HoloLens.
											Universidades como a
Case Western a redefinir
											o modo como os estudantes
de medicina aprendem.
											E o meu favorito, a NASA
está a usar a HoloLens
											para que os cientistas explorem
holograficamente os planetas.
									","
											Voici la prochaine étape
de cette évolution.
											Voici le HoloLens de Microsoft :
											le premier ordinateur holographique
entièrement autonome.
											Ces appareils vont apporter
des hologrammes en 3D
											directement dans notre univers,
											augmentant notre façon de vivre
											au-delà de nos perceptions normales.
											Et je ne parle pas d'un futur lointain.
											Je parle d'aujourd'hui.
											Déjà, des constructeurs automobiles,
comme Volvo,
											pensent leurs voitures différemment
grâce aux HoloLens ;
											des universités, comme Case Western,
											redéfinissent l'apprentissage
de la médecine
											et mon préféré :
											la NASA utilise le HoloLens pour permettre
aux scientifiques d'explorer des planètes
											par hologrammes.
									",A futuristic vision of the age of holograms,Alex Kipman,19:05,"communication,computers,engineering,creativity,design,exploration,innovation,interface design,microsoft,invention,potential,NASA,product design,prediction,visualizations,technology,future"
"
","
","
",A futuristic vision of the age of holograms,Alex Kipman,19:05,"communication,computers,engineering,creativity,design,exploration,innovation,interface design,microsoft,invention,potential,NASA,product design,prediction,visualizations,technology,future"
"
											Şimdi bu önemli.
											Hologramları hayatımıza sokmak derken
											sadece yeni bir cihaz ya da daha iyi
bir bilgisayardan bahsetmiyorum.
											Kendimizi geleneksel bilgisayarların
iki boyutlu sınırlarından kurtarmaktan
											bahsediyorum.
									","
											Isto é importante.
											Trazendo os hologramas para o nosso mundo,
											não falo apenas de um novo dispositivo
ou de um computador melhor,
											mas de nos libertarmos dos limites 2D
											da computação tradicional.
									","
											Ça, c'est important !
											En apportant les hologrammes
dans notre univers,
											et pas seulement avec de nouveaux
appareils ou de meilleurs ordinateurs ;
											on se libère des contraintes de la 2D
											issues des ordinateurs traditionnels.
									",A futuristic vision of the age of holograms,Alex Kipman,19:05,"communication,computers,engineering,creativity,design,exploration,innovation,interface design,microsoft,invention,potential,NASA,product design,prediction,visualizations,technology,future"
