en,es,tr,fr,title,speaker,duration,tags
"
","
","
","
",Why ordinary people need to understand power,Eric Liu,17:15,"democracy,policy,politics"
"
											I'm a teacher and a practitioner
											of civics in America.
											Now, I will kindly ask those of
you who have just fallen asleep
											to please wake up. (Laughter)
											Why is it that the very word ""civics""
											has such a soporific, 
even a narcoleptic effect
											on us?
											I think it's because the very 
word signifies something
											exceedingly virtuous, 
exceedingly important,
											and exceedingly boring.
											Well, I think it's the responsibility of people like us,
											people who show up for gatherings like this
											in person or online, in any way we can,
											to make civics sexy again,
											as sexy as it was during the American Revolution,
											as sexy as it was during the Civil Rights Movement.
											And I believe the way we make civics sexy again
											is to make explicitly about the teaching of power.
											The way we do that, I believe,
											is at the level of the city.
									","
											Soy profesor y practicante
											de cívica en EE. UU.
											Les pido amablemente 
a los que se han quedado dormidos
											que despierten. 
(Risas)
											¿Por qué la palabra ""cívica""
											tiene este efecto soporífico 
y narcoléptico
											en nosotros?
											Creo que es porque la palabra misma
significa algo
											extremadamente virtuoso, 
extremadamente importante
											y extremadamente aburrido.
											Pues creo que es responsabilidad 
de gente como nosotros,
											gente en reuniones como esta,
											ya sea en persona o en línea, 
de cualquier manera posible,
											hacer que la educación cívica
sea atractiva de nuevo,
											al igual que como lo fue 
durante la revolución estadounidense,
											o durante el movimiento 
por los derechos civiles en EE. UU.
											Creo que la forma de hacer 
que sea nuevamente atractiva,
											es hacer que trate explícitamente
de la enseñanza del poder.
											Creo que la forma de hacer esto
											es a nivel urbano.
									","
											Amerika'da Vatandaşlık Bilgisi öğretmeni
											ve uygulayıcısıyım.
											Kibar bir şekilde bunu duyar duymaz
uykuya dalanlardan,
											uyanmalarını rica edeceğim. (Gülüşmeler)
											Neden ""Vatandaşlık"" kelimesinin,
											üzerimizde böyle uyku getiren ve hatta
											narkoleptik bir etkisi var?
											Bana göre bunu sebebi,
											bu kelimenin çok erdemli, çok önemli ve
											çok da sıkıcı bir şeyi sembolize etmesi.
											Vatandaşlık Bilgisini tekrar,
											Amerikan Devrimi zamanındaki gibi,
											İnsan Hakları Hareketi zamanındaki gibi
											çekici bir hale dönüştürmek,
											bizim gibi böyle toplantılara gerek bizzat
gerek online
											olarak katılan insanların
sorumluluğundadır.
											İnanıyorum ki,
tekrar çekici bir hale getirmenin yolu,
											""Güç"" kavramının açık ve detaylı bir
şekilde öğretilmesinden geçiyor.
											Bunu başarmanın yolu da bana göre
											konuyu şehir kapsamında ele
almaktan geçiyor.
									","
											Je suis professeur et praticien
											d'éducation civique aux États-Unis.
											Maintenant, je vais gentiment demander
											à ceux qui viennent de s'endormir
											de bien vouloir se réveiller. 
(Rires)
											Pourquoi ce terme de « civisme »
											a un effet si soporifique, 
voire narcoleptique,
											sur nous ?
											Je pense que c'est parce que 
ce même mot signifie quelque chose
											d'extrêmement vertueux, 
d'extrêmement important,
											et d'extrêmement ennuyeux.
											Eh bien, je pense qu'il est de
notre responsabilité,
											à nous qui participons à
des rassemblements comme celui-ci,
											réel ou virtuel,
											de toutes les manières possibles,
											de rendre le civisme sexy à nouveau,
											aussi sexy qu'il l'était lors 
de la Révolution Américaine,
											aussi sexy que lors du 
Mouvement des droits civiques.
											Je pense que la façon de rendre 
le civisme sexy à nouveau
											est de rendre clair 
l'apprentissage du pouvoir.
											La façon de le faire, je pense,
											est au niveau de la ville.
									",Why ordinary people need to understand power,Eric Liu,17:15,"democracy,policy,politics"
"
","
","
","
",Why ordinary people need to understand power,Eric Liu,17:15,"democracy,policy,politics"
"
											This is what I want to talk about today,
											and I want to start by defining some terms
											and then I want to describe the scale
											of the problem I think we face
											and then suggest the ways that I believe cities
											can be the seat of the solution.
											So let me start with some definitions.
											By civics, I simply mean the art
											of being a pro-social, problem-solving contributor
											in a self-governing community.
											Civics is the art of citizenship,
											what Bill Gates Sr. calls simply
											showing up for life,
											and it encompasses three things:
											a foundation of values,
											an understanding of the systems
that make the world go round,
											and a set of skills
											that allow you to pursue goals
											and to have others join in that pursuit.
									","
											De esto quiero hablarles hoy;
											comenzaré definiendo algunos términos,
											y luego describiré la magnitud
del problema
											al cual creo que nos enfrentamos,
											y sugeriré maneras
en que creo que las ciudades
											pueden ser la clave de la solución.
											Comencemos con algunas definiciones.
											Por educación cívica
entiendo realmente
											el arte de ser prosocial,
											un participante activo
que ofrece soluciones
											a los problemas 
de una comunidad autogobernada.
											La cultura cívica 
es el arte de ser ciudadano
											lo que Bill Gates Sr. simplemente llama
											exponerse a la vida,
											e incluye tres cosas:
											una base de valores,
											un entendimiento de los sistemas 
que hacen que el mundo gire,
											y un conjunto de habilidades
											que permita perseguir metas
											y que otros se unan a este propósito.
									","
											Bugün konuşmak istediğim konu da bu.
											Öncelikle bazı terimleri tanımlayarak
başlamak
											sonra karşı karşıya olduğumuzu
düşündüğüm problemin
											boyutlarını belirtmek ve sonra da
											şehirlerin çözüm merkezi olabileceğine
											inandığım bazı yollar önermek istiyorum.
											O zaman bazı tanımlarla başlayalım.
											Vatandaşlık Bilgisi derken, basitçe
											kendi kendini yöneten bir toplulukta,
toplum odaklı, problem çözücü
											bir katılımcı olma sanatını kastediyorum.
											Bill Gates Sr.'ın basitçe
hayata katılmak olarak
											ifade ettiği Vatandaşlık Bilgisi,
											vatandaş olma sanatıdır
											ve üç şeyi kapsar:
											Değerlerden oluşan bir temel,
											dünyayı döndüren sistemlerin nasıl
çalıştığının anlaşılması,
											hedeflerinizin peşinden koşmanızı ve
											başkalarını da bu kovalamaya
											dahil etmenizi sağlayacak beceriler.
									","
											C'est ce dont j'aimerais vous 
parler aujourd'hui,
											et je veux commencer en 
définissant certains termes
											puis décrire l'ampleur du problème
auquel nous faisons face,
											et enfin suggérer de quelles manières 
je pense que les villes
											peuvent être la solution.
											Laissez-moi donc commencer avec 
quelques définitions.
											Par civisme, j'entends l'art
											d'être pro-social, contributeur à la 
résolution de problèmes
											dans une communauté auto-dirigée.
											Le civisme est l'art de la citoyenneté,
											ce que Bill Gates 
appelle simplement
											se manifester pour la vie,
											et cela inclut trois choses :
											une base de valeurs,
											une compréhension du système
qui régit le monde,
											et un ensemble de compétences
											qui vous permettent 
de poursuivre un but
											et d'avoir d'autres personnes 
pour vous rejoindre dans cette quête.
									",Why ordinary people need to understand power,Eric Liu,17:15,"democracy,policy,politics"
"
","
","
","
",Why ordinary people need to understand power,Eric Liu,17:15,"democracy,policy,politics"
"
											And that brings me to my definition of power,
											which is simply this:
											the capacity to make others do
											what you would have them do.
											It sounds menacing, doesn't it?
											We don't like to talk about power.
											We find it scary. We find it somehow evil.
											We feel uncomfortable naming it.
											In the culture and mythology of democracy,
											power resides with the people.
											Period. End of story.
											Any further inquiry not necessary
											and not really that welcome.
											Power has a negative moral valence.
											It sounds Machiavellian inherently.
											It seems inherently evil.
											But in fact power is no more inherently good or evil
											than fire or physics.
											It just is.
											And power governs
											how any form of government operates,
											whether a democracy or a dictatorship.
											And the problem we face today,
here in America in particular,
											but all around the world,
											is that far too many people 
are profoundly illiterate
											in power —
											what it is, who has it,
											how it operates, how it flows,
											what part of it is visible, 
what part of it is not,
											why some people have it, 
why that's compounded.
											And as a result of this illiteracy,
											those few who do understand
											how power operates in civic life,
											those who understand
											how a bill becomes a law, yes,
											but also how a friendship 
becomes a subsidy,
											or how a bias becomes a policy,
											or how a slogan becomes a movement,
											the people who understand those things
											wield disproportionate influence,
											and they're perfectly happy
											to fill the vacuum created by the ignorance
											of the great majority.
									","
											Esto me lleva a la definición del poder
											que es simplemente esta:
											la capacidad de hacer que otros que hagan
											lo que tú quieres que hagan.
											Suena amenazante ¿verdad?
											No nos gusta hablar de poder.
											Nos suena aterrorizante, 
de alguna forma malvado.
											Nos incomoda nombrarlo.
											En la culture y la mitología 
de la democracia
											el poder reside en el pueblo.
											Punto. Fin de la historia.
											Ninguna otra pregunta es necesaria
											o incluso bienvenida.
											El poder tiene un valor moral negativo.
											Suena inherentemente maquiavélico.
											Parece ser inherentemente malo.
											Pero el poder no es 
inherentemente más bueno o malo
											que el fuego o la física.
											Es lo que es.
											Y el poder determina
											cómo funciona cualquier tipo de gobierno,
											ya sea este una democracia 
o una dictadura.
											El problema al que nos enfrentamos, 
particularmente aquí en EE. UU.,
											y en todo el mundo,
											es que demasiada gente 
es profundamente ignorante
											acerca del poder,
											qué es, quién lo controla,
											cómo funciona, cómo actúa,
											cuál son sus mecanismos visibles, 
y cuáles no,
											por qué algunos lo ejercen, 
por qué se acumula.
											Como resultado de esta ignorancia,
											los pocos que entienden
											cómo funciona el poder 
en el ámbito civil,
											aquellos que entienden
											cómo una propuesta
se convierte en ley, sí,
											pero también cómo una relación 
se vuelve una subvención,
											cómo un sesgo 
se convierte en política,
											o cómo un eslogan 
se convierte en movimiento,
											la gente que entiende estas cosas
											tiene una influencia enorme
											y es perfectamente feliz
											de llenar el vacío 
creado por la ignorancia
											de la gran mayoría.
									","
											Bu, bana kendi ''güç'' tanımımı
çağrıştırıyor.
											Basitçe şöyle diyebiliriz:
											Başkalarına istediğiniz şeyleri
											yaptırma kabiliyeti.
											Kulağa biraz tehditkar geliyor değil mi?
											Güç hakkında konuşmaktan hoşlanmayız.
											Onu korkutucu ve nedense şeytani buluruz.
											Adını telaffuz etmek rahatsız eder.
											Demokrasi kültürü ve mitolojisinde,
											güç halktadır.
											Nokta. Bu kadar.
											Bundan fazlasını sorgulamak gereksizdir
											ve çok hoş karşılanmaz.
											Gücün negatif bir ahlaki değeri vardır.
											Kulağa gelen Makyavelist bir tınısı
mevcuttur.
											Yapısal olarak şeytanidir.
											Ama aslında güç, yapısal olarak ateşten
veya fizik biliminden
											daha iyi ya da daha kötü değildir.
											Sadece vardır.
											Güç,
											tüm yönetim şekillerinin, demokrasi
ya da diktatörlük
											çalışmasının temelinde yer alır.
											Bugün yüzyüze kaldığımız problem,
özellikle Amerika'da
											ama aynı zamanda bütün Dünya'da,
											güç hakkında şaşırtıcı derecede
bilgisiz olan
											çok fazla insan mevcut olmasıdır —
											ne olduğu, kimin ona sahip olduğu,
											nasıl işlediği, nasıl yayıldığı,
											hangi kısmının görünür hangi kısmının
görünmez olduğu,
											neden bazı insanların ona sahip olduğu
ve neden bu kadar karışık olduğu.
											Bu bilgisizliğin sonucu olarak,
											gücün toplum hayatındaki etkilerini,
											bir kanun teklifinin kanuna nasıl
dönüştüğünü,
											bir dostluğun mali desteğe nasıl
dönüştüğünü,
											bunların yanı sıra
											bir eğilimin nasıl bir politikaya
dönüştüğünü,
											veya bir sloganın nasıl bir harekete
dönüştüğünü
											küçük bir azınlık anlamıştır.
											Bu konuları anlayan bu insanların,
											toplumda orantısız bir etki gücü var.
											Onlar da çoğunluğun cehaletinin
											yarattığı boşluğu doldurmaktan
											son derece memnundurlar.
									","
											Ce qui m'amène à ma 
définition du pouvoir,
											qui est simplement :
											la capacité de faire faire aux autres
											ce que vous auriez pu faire vous-même.
											Ça semble menaçant, n'est-ce pas ?
											On n'aime pas parler de pouvoir.
											On trouve ça effrayant. 
D'une certaine manière, diabolique.
											On se sent mal à l'aise
en en parlant.
											Dans la culture et mythologie 
de la démocratie,
											le pouvoir réside en chacun de nous.
											Point final.
											Toute autre demande 
n'est pas nécessaire
											et pas vraiment la bienvenue.
											Le Pouvoir a une connotation négative.
											Ça sonne intrinsèquement machiavélique.
											Ça semble mauvais par définition.
											Mais en réalité le pouvoir n'est
ni meilleur ni moins bon
											que le feu ou la physique.
											C'est simplement le Pouvoir.
											Le pouvoir gouverne
											quelle que soit la forme 
du gouvernement,
											que ce soit une démocratie 
ou une dictature.
											Notre problème aujourd'hui,
notamment ici en Amérique,
											mais aussi partout 
dans le monde,
											c'est que bien trop de gens 
sont profondément illettrés
											en matière de pouvoir -
											ce que c'est, qui l'a,
											comment ça fonctionne, 
comment ça évolue,
											quelle part est visible,
quelle part ne l'est pas,
											pourquoi certaines personnes en ont,
pourquoi est-ce complexe.
											A cause de cet illettrisme,
											le peu de personnes qui 
comprennent réellement
											comment fonctionne
le pouvoir dans la vie civile,
											ceux qui comprennent
											comment un projet de loi 
devient une loi, oui,
											mais aussi comment une amitié
se transforme en subvention,
											ou comment un penchant 
devient une politique,
											ou comment un slogan 
devient un mouvement,
											les gens qui comprennent ces choses
											jouissent d'une influence 
disproportionnée,
											et ils sont parfaitement heureux
											de remplir le vide créé par l'ignorance
											de la grande majorité.
									",Why ordinary people need to understand power,Eric Liu,17:15,"democracy,policy,politics"
"
","
","
","
",Why ordinary people need to understand power,Eric Liu,17:15,"democracy,policy,politics"
"
											This is why it is so fundamental for us right now
											to grab hold of this idea of power
											and to democratize it.
											One of the things that is so profoundly exciting
											and challenging about this moment
											is that as a result of this power illiteracy
											that is so pervasive,
											there is a concentration
											of knowledge, of understanding, of clout.
											I mean, think about it:
											How does a friendship become a subsidy?
											Seamlessly,
											when a senior government official decides
											to leave government and become a lobbyist
											for a private interest
											and convert his or her relationships into capital
											for their new masters.
											How does a bias become a policy?
											Insidiously, just the way that
											stop-and-frisk, for instance,
											became over time a bureaucratic numbers game.
											How does a slogan become a movement?
											Virally, in the way that the Tea Party, for instance,
											was able to take the ""Don't Tread on Me"" flag
											from the American Revolution,
											or how, on the other side,
											a band of activists could take a magazine headline,
											""Occupy Wall Street,""
											and turn that into a global meme and movement.
											The thing is, though, most people
											aren't looking for and don't
want to see these realities.
											So much of this ignorance, this civic illiteracy,
											is willful.
											There are some millennials, for instance,
											who think the whole business is just sordid.
											They don't want to have anything to do with politics.
											They'd rather just opt out
											and engage in volunteerism.
											There are some techies out there
											who believe that the cure-all
											for any power imbalance or power abuse
											is simply more data,
											more transparency.
											There are some on the left who think power resides
											only with corporations,
											and some on the right who think power
											resides only with government,
											each side blinded by their selective outrage.
											There are the naive who believe that
											good things just happen
											and the cynical who believe
that bad things just happen,
											the fortunate and unfortunate alike
											who think that their lot is simply what they deserve
											rather than the eminently alterable result
											of a prior arrangement, an inherited allocation,
											of power.
									","
											Es por eso que ahora 
es fundamental para nosotros
											entender la idea de poder
											y democratizarla.
											Una de las cosas 
más profundamente emocionantes
											y desafiantes acerca de este momento
											es que como resultado 
de este desconocimiento sobre el poder,
											que está tan extendido,
											es que hay una concentración
											de conocimiento, 
de entendimiento, de influencia.
											Piensen en esto:
											¿Cómo se vuelve una relación 
una subvención?
											Naturalmente,
											cuando un importante 
oficial del gobierno decide
											dejar el gobierno para hacer lobby
											en favor de intereses privados,
											convierte todas sus relaciones 
en capital
											para sus nuevos amos.
											¿Cómo se convierte 
un sesgo en política?
											De forma insidiosa, igual
a la práctica de la policía neoyorkina
											de parar y cachear a la gente,
											que a la larga se ha convertido
en una lotería burocrática.
											¿Cómo se vuelve un eslogan 
un movimiento?
											Viralmente, de la forma 
que el movimiento Tea Party
											tomó prestado el eslogan 
""No te metas conmigo""
											de la bandera de Gadsden
durante la Revolución Estadounidense,
											o cómo por otra parte,
											un grupo de activistas tomaron 
el titular de una revista
											como ""Ocupen Wall Street""
											y lo convirtieron
en un movimiento a nivel mundial.
											Pero la mayoría de la gente
											no busca o no quiere ver 
estas realidades.
											Parte de este ignorancia, 
este desconocimiento cívico,
											es deliberado.
											Por ejemplo, hay algunos
de la generación Y
											que piensan que todo esto 
es un asunto sórdido.
											No quieren tener nada que ver 
con la política.
											Más bien prefieren ignorarla
											y a cambio hacer voluntariado.
											Hay algunos tecnócratas allí afuera
											que creen que la cura a todo
											este desequilibrio o abuso de poder
											es simplemente más información,
											más transparencia.
											Algunos de izquierda 
creen que el poder reside
											solo en las corporaciones,
											mientras que algunos de derecha 
creen que el poder
											reside únicamente en el gobierno,
											cada partido cegado 
por su propia indignación.
											Están los ingenuos que creen
											que lo bueno pasa porque sí,
											y los cínicos que creen que lo malo
pasa porque sí,
											el afortunado y el desafortunado
											que piensan que lo que les ocurren
es simplemente lo que se merecen,
											en vez de que sufren
un efecto alterado,
											producto de un acuerdo anterior, 
del reparto heredado
											del poder.
									","
											Bu sebeple, bahsettiğimiz bu ""Güç"" kavramı
fikrine sıkı sıkı tutunarak,
											onu demokratik bir hale getirmemiz
											çok önemlidir.
											Bu an hakkında son derece heyecan verici
ve zor olan
											şeylerden birisi de
											güç hakkındaki bu yaygın bilgisizliğin,
											bilginin, olayları kavramanın, nüfuzun
											tek bir noktada yoğunlaşması
											sonucunu doğurmasıdır.
											Demek istediğim, düşünün bir kere,
											Bir dostluk nasıl bir mali
desteğe dönüşür?
											Sorunsuzca.
											Üst düzey bir hükümet yetkilisi
											görevindan ayrılıp özel çıkarlar için
											lobi yapmaya karar verdiğinde
											ve bağlantılarını yeni patronları için
											sermayeye dönüştürdüğünde.
											Bir temayül nasıl bir politikaya dönüşür?
											Sinsice. Örneğin ""Durdur ve ara""
											uygulamasının zamanla bürokratik bir sayı
											oyununa dönüşmesi gibi.
											Bir slogan nasıl bir harekete dönüşür?
											Viral bir şekilde. ""Tea Party"" hareketinin
											""Üzerime basma"" bayrağını,
											Amerikan Devrimin'den alması gibi.
											Ya da bir grup aktivitistin
											bir derginin ""Wall Street'i işgal et""
başlığını alıp
											bunu küresel bir simgeye ve harekete
											dönüştürmeleri gibi.
											Durum şu ki, çoğu insan
											bu gerçekliklerin peşinde değil ve bunları
görmek de istemiyor.
											Vatandaşlık cehaletinin büyük bir kısmı
											bilinçli.
											80 ve 90'larda doğanlardan bazıları,
											tüm bu vatandaşlık kavramını iç karartıcı
olarak düşünüyor.
											Siyaset ile hiç ilgilenmek istemiyorlar.
											Olayın tamamen dışında kalıp,
											gönüllü olarak çalışmak istiyorlar.
											Bazı teknoloji düşkünleri ise,
											güç istismarı ya da
											dengesizliğiyle ilgili her türlü
sorunun ilacının
											basit bir şekilde daha fazla veri ve
											şeffaflık olduğuna inanıyorlar.
											Sol görüşlü bazıları gücün sadece
şirketlerde
											varolduğuna inanırken,
											sağ görüşlü bazıları da sadece
											devlette olduğuna inanıyorlar.
											Her iki tarafın seçici öfkeleri gözlerini
kör etmiş.
											Sadece iyi şeylerin olacağına
											inanan iyimserler
											ve kötü şeylerin olacağına inanan
kötümserler var.
											Durumu iyi olanlar da kötü olanlar da
											bunun daha önceden ayarlanmış,
paylaştırılmış
											ve son derece değiştirilebilir bir güç
paylaşımı olduğundan ziyade
											ellerindekilerin hakettikleri olduğunu
											düşünüyorlar.
									","
											C'est pourquoi il est si important
pour nous maintenant
											de s'emparer de cette notion de pouvoir
											et de la démocratiser.
											Une des choses qui est
profondément passionnante
											et stimulante à ce propos
											c'est qu'à cause de cette 
incompréhension du pouvoir
											qui est omniprésente,
											il y a une concentration
											de savoir, de connaissances, d'influence.
											Je veux dire, réfléchissez-y :
											comment une amitié se 
transforme en subvention ?
											Tout simplement,
											quand un membre expérimenté 
du gouvernement décide
											de quitter ce dernier et 
de devenir lobbyiste
											au profit d'intérêts privés
											et de transformer 
ses relations en capital
											pour ses nouveaux patrons.
											Comment une tendance 
devient une politique ?
											Insidieusement, 
de la même manière que
											la politique du « interpeller
et fouiller »,
											est devenue au fil du temps 
une question de chiffres.
											Comment un slogan devient un mouvement ?
											Viralement, tout comme le Tea Party,
par exemple,
											a été capable de s'emparer du drapeau
« Ne me Marche pas Dessus »
											hérité de la Révolution Américaine.
											ou comment, d'autre part,
											une bande d'activistes ont pu 
s'emparer du titre d'un magazine,
											« <i>Occupy Wall Street</i> »,
											et en faire un mouvement mondial.
											Le fait est que la plupart des gens
											ne cherchent pas à comprendre et 
ne veut pas voir ces réalités.
											Toute cette ignorance,
cette incompétence civique,
											est volontaire.
											Certains au sein de la génération Y,
par exemple,
											pensent que tout ça
est tout simplement sordide.
											Ils ne veulent pas de la politique.
											Ils restent à l'écart,
											et s'engagent dans le volontariat.
											Il y a certains geeks
											pour qui le remède
											à tout abus ou déséquilibre au sein
du pouvoir
											est simplement plus de données,
											plus de transparence.
											Certains à gauche pensent
que le pouvoir réside
											exclusivement au sein des entreprises
											et d'autres à droite pour qui le pouvoir
											réside exclusivement 
au sein du gouvernement,
											les deux bords aveuglés par leur 
obsession.
											Il y a les naïfs qui pensent que
											seules les bonnes choses arrivent
											et le cyniques qui pensent que 
seules les mauvaises choses arrivent,
											les chanceux et les malchanceux 
au contraire
											qui pensent qu'ils n'ont 
que ce qu'ils méritent,
											plutôt que de voir que c'est là
l'inexorable résultat
											de dispositions antérieures,
											d'un partage hérité du pouvoir.
									",Why ordinary people need to understand power,Eric Liu,17:15,"democracy,policy,politics"
"
","
","
","
",Why ordinary people need to understand power,Eric Liu,17:15,"democracy,policy,politics"
"
											As a result of all of this
creeping fatalism in public life,
											we here, particularly in America today,
											have depressingly low levels
											of civic knowledge, civic engagement, participation,
											awareness.
											The whole business of politics has been
											effectively subcontracted out
to a band of professionals,
											money people, outreach people,
											message people, research people.
											The rest of us are meant to feel like amateurs
											in the sense of suckers.
											We become demotivated to learn more
											about how things work.
											We begin to opt out.
									","
											Como resultado de todo este fatalismo 
que invade la vida pública,
											hoy en día, 
y particularmente aquí en EE. UU.
											tenemos unos niveles 
extremadamente bajos
											de conocimiento y compromiso cívico, 
de participación,
											de concientización.
											Todo este negocio de la política
											se ha abandonado a manos de profesionales,
											gente con dinero, con influencia,
											mensajeros y analistas.
											El resto debemos sentirnos 
unos aficionados,
											en el sentido de bobos.
											Perdemos la motivación
de aprender más
											acerca de cómo funcionan las cosas.
											Decidimos ignorarlas.
									","
											Kamusal hayatta giderek artan bu kaderci
anlayışın sonucu olarak,
											bugün özellikle Amerika'da,
											vatandaşlık bilgisi, katılım,
											dahil olma, farkındalık konularında
sıkıntı verecek kadar
											aşağı seviyelerdeyiz.
											Tüm siyaset işleri
											gerçekte bir grup profesyonele emanet
edilmiş durumda,
											para uzmanları, yardım uzmanları,
											mesaj uzmanları, araştırma uzmanları.
											Geri kalanlarımızın kendini acemi olarak
hissetmesi isteniyor,
											enayiler anlamında.
											İşlerin nasıl yürüdüğü hakkında daha fazla
											öğrenme isteğimizi kaybediyoruz.
											Vazgeçmeye başlıyoruz.
									","
											La conséquence de tout ce 
désolant fatalisme dans la vie publique,
											est que nous avons, particulièrement 
en Amérique actuellement,
											un niveau navrant
											de connaissance civique, 
d'engagement civique, de participation,
											de conscience.
											Toute la politique a été
											laissé au bon vouloir d'un groupe
de professionnels,
											des gens d'argent,
des gens hors d'atteinte,
											des gens de message,
des gens de recherche.
											Nous autres sommes voués 
à nous sentir comme des amateurs
											au sens de bonne poire.
											On n'a plus la motivation
d'en apprendre davantage
											sur le fonctionnement
des choses.
											Nous commençons à laisser tomber.
									",Why ordinary people need to understand power,Eric Liu,17:15,"democracy,policy,politics"
