es,tr,en,fr,de,title,speaker,duration,tags
"
","
","
","
","
",Psychedelic science,Fabian Oefner,12:05,"photography,science,science and art,microbiology,nanoscale,physics,creativity,sound,demo,film,beauty,art"
"
											Una imagen vale más 
que mil palabras,
											así que voy a empezar mi charla
											dejando de hablar y 
mostrando algunas imágenes
											que tomé recientemente.
									","
											Bir resim bin kelimeden daha çok anlam ifade eder,
											bu yüzden konuşmama
											konuşmayı keserek ve yakın zamanda çektiğim
											birkaç fotoğrafı göstererek devam edeceğim.
									","
											An image is worth more than a thousand words,
											so I'm going to start my talk
											by stop talking and show you a few images
											that I recently captured.
									","
											Une image vaut mieux que 1000 mots,
											aussi vais-je commencer mon exposé
											en arrêtant de parler
et en vous montrant quelques images
											que j'ai prises récemment.
									","
											Ein Bild ist mehr wert als tausend Worte,
											daher beginne ich meinen Vortrag damit,
											mit dem Sprechen aufzuhören 
und Ihnen einige Bilder zu zeigen,
											die ich kürzlich aufgenommen habe.
									",Psychedelic science,Fabian Oefner,12:05,"photography,science,science and art,microbiology,nanoscale,physics,creativity,sound,demo,film,beauty,art"
"
","
","
","
","
",Psychedelic science,Fabian Oefner,12:05,"photography,science,science and art,microbiology,nanoscale,physics,creativity,sound,demo,film,beauty,art"
"
											Así que hasta ahora mi charla
ya alcanza las 6 mil palabras
											y siento que debo 
detenerme aquí.
									","
											Şu ana kadar konuşmam neredeyse 6,000 kelimeye ulaştı
											ve ben artık burada durmam gerektiğini hissediyorum.
									","
											So by now, my talk is already 6,000 words long,
											and I feel like I should stop here.
									","
											Mon intervention compte donc
déjà 6000 mots,
											et je sens que je devrais m'arrêter ici.
									","
											Mittlerweile ist mein Vortrag schon 6.000 Worte lang,
											und mein Gefühl sagt mir, ich sollte hier aufhören.
									",Psychedelic science,Fabian Oefner,12:05,"photography,science,science and art,microbiology,nanoscale,physics,creativity,sound,demo,film,beauty,art"
"
","
","
","
","
",Psychedelic science,Fabian Oefner,12:05,"photography,science,science and art,microbiology,nanoscale,physics,creativity,sound,demo,film,beauty,art"
"
											(Risas)
									","
											(Gülüşmeler)
									","
											(Laughter)
									","
											(Rires)
									","
											(Lachen)
									",Psychedelic science,Fabian Oefner,12:05,"photography,science,science and art,microbiology,nanoscale,physics,creativity,sound,demo,film,beauty,art"
"
","
","
","
","
",Psychedelic science,Fabian Oefner,12:05,"photography,science,science and art,microbiology,nanoscale,physics,creativity,sound,demo,film,beauty,art"
"
											Al mismo tiempo, probablemente les debo
											alguna explicación
											sobre las imágenes 
que acaban de ver.
											Lo que trato de 
hacer como fotógrafo,
											como artista, es juntar al mundo
											del arte con el de la ciencia.
											Ya sea de una imagen 
de una burbuja de jabón
											atrapada en el preciso momento
en que está a punto de reventar,
											como pueden ver en esta imagen,
											ya sea que es un universo 
hecho de pequeñas cuentas
											de pintura de aceite,
											líquidos extraños que se comportan 
en una manera peculiar,
											o pintura que es moldeada 
por fuerza centrífuga,
											siempre estoy tratando 
de unir a esos dos campos.
									","
											Aynı zamanda, size büyük ihtimalle
											az önce gördüğünüz fotoğraflarla ilgili
											bir açıklama borçluyum.
											Bir fotoğrafçı, bir sanatçı olarak yapmaya çalıştığım,
											sanat ve bilim dünyasını
											bir araya getirmektir.
											İster tam patladığı anda fotoğrafı çekilen
											bir sabun köpüğü olsun,
											ister, bu fotoğrafta gördüğünüz gibi,
											küçük boncuklardan yapılmış bir evrenin
											yağlı boya tablosu,
											farklı şekillerde hareket eden garip sıvılar,
											ya da merkezkaç kuvvetleriyle oluşturulmuş bu resim olsun,
											ben daima bu iki alanı birleştirmeye çalışıyorum.
									","
											At the same time, I probably owe you
											some explanation
											about the images that you just saw.
											What I am trying to do as a photographer,
											as an artist, is to bring the world
											of art and science together.
											Whether it is an image of a soap bubble
											captured at the very moment where it's bursting,
											as you can see in this image,
											whether it's a universe made of tiny little beads
											of oil paint,
											strange liquids that behave in very peculiar ways,
											or paint that is modeled by centrifugal forces,
											I'm always trying to link those two fields together.
									","
											Et,en même temps,
je vous dois probablement
											quelques explications
											sur les images que vous venez de voir.
											Ce que j'essaie de faire
en tant que photographe,
											en tant qu' artiste,
consiste à réunir
											le monde de l'art
et le monde des sciences.
											Qu'il s'agisse de l'image
d'une bulle de savon
											capturée au moment précis
où elle éclate,
											comme vous pouvez le voir
sur cette image,
											qu'il s'agisse d'un univers constitué 
de minuscules petites perles
											de peinture à l'huile,
											de liquides étranges qui se comportent
de manière très particulière,
											où de peinture façonnée
par la force centrifuge,
											j'essaie toujours de relier
ces deux domaines.
									","
											Aber ich schulde Ihnen gleichzeitig auch
											eine Erklärung
											über die Bilder, die Sie eben gesehen haben.
											Was ich als Fotograf und Künstler
											versuche zu tun, ist die Welt
											der Kunst und der Wissenschaft zusammenzubringen.
											Ob es ein Bild einer Seifenblase ist,
											die in dem Moment, in dem sie zerplatzte, aufgenommen wurde,
											wie Sie es in diesem Bild sehen,
											oder es ein Universium ist, 
das aus winzig kleinen Perlen
											aus Ölfarbe besteht,
											oder Flüssigkeiten, die sich sehr eigenartig verhalten,
											oder Farbe, die durch Fliehkräfte geformt wurde,
											ich versuche immer diese zwei 
Felder miteinander zu verbinden.
									",Psychedelic science,Fabian Oefner,12:05,"photography,science,science and art,microbiology,nanoscale,physics,creativity,sound,demo,film,beauty,art"
"
","
","
","
","
",Psychedelic science,Fabian Oefner,12:05,"photography,science,science and art,microbiology,nanoscale,physics,creativity,sound,demo,film,beauty,art"
"
											Lo que encuentro muy intrigante 
acerca de los dos
											es que ambos ven 
hacia la misma cosa:
											son una respuesta a 
lo que los rodea.
											Y aun así, lo hacen de
una manera muy diferente.
											Si ven a la ciencia en un lado,
											la ciencia es un enfoque muy racional
											a lo que la rodea,
											mientras que el arte por otro lado
											es usualmente un enfoque
emocional a lo que lo rodea.
											Lo que yo estoy tratando 
de hacer es que intento
											unir esas dos visiones en una,
											así que mis imágenes hablan 
tanto al corazón del observador
											como a su cerebro.
											Déjenme demostrar esto 
con base en tres proyectos.
									","
											Bu ikisi hakkında çok ilgi çekici bulduğum şey,
											her ikisinin de aynı şeye bakmasıdır:
											Her ikisi de çevrelerine karşı bir tepkidir.
											Aynı zamanda bunu farklı bir yolla yaparlar.
											Bir tarafta bilime bakarsanız,
											bilim çevresindekilere
											oldukça mantıklı bir açıdan yaklaşır,
											oysa ki sanat
											çevresindekilere karşı duygusal bir yaklaşım içindedir.
											Benim yapmaya çalıştığım,
											bu iki bakış açısını bire indirgeyip
											fotoğraflarımın bakanın hem kalbine
											hem de beynine hitap etmesini sağlamaktır.
											Bunu üç proje üstünden açıklamama izin verin.
									","
											What I find very intriguing about those two
											is that they both look at the same thing:
											They are a response to their surroundings.
											And yet, they do it in a very different way.
											If you look at science on one hand,
											science is a very rational approach
											to its surroundings,
											whereas art on the other hand
											is usually an emotional approach to its surroundings.
											What I am trying to do is I'm trying
											to bring those two views into one
											so that my images both speak to the viewer's heart
											but also to the viewer's brain.
											Let me demonstrate this based on three projects.
									","
											Ce que je trouve fascinant
dans ces deux domaines,
											c'est qu'ils ont tous les deux
le même sujet d'étude :
											ils réagissent
à leur environnement.
											Cependant,
ils le font de manière très différente.
											Prenez la science d'un côté,
											la science a une approche
très rationnelle
											de son environnement,
											tandis que l'art, de l'autre côté,
											a généralement une approche émotionnelle
de son environnement.
											Ce que j'essaie de faire,
											c'est de combiner ces deux images
pour en former une seule,
											pour que mes images parlent non seulement
au cœur du spectateur
											mais aussi à son cerveau.
											Je vais vous le montrer
à partir de trois projets.
									","
											An diesen beiden Feldern finde ich so faszinierend,
											dass sie beide auf die selben Dinge schauen:
											Sie sind eine Antwort auf ihre Umwelt.
											Und dennoch tun sie es auf sehr verschiedene Weise.
											Wissenschaft auf der einen Seite
											hat eine sehr rationale Herangehensweise
											an ihre Umgebung,
											während Kunst auf der anderen Seite
											normalerweise eine emotionale 
Herangehensweise an seine Umgebung hat.
											Was ich zu tun versuche, ist,
											diese beiden Ansichten in Einem zusammenzubringen,
											sodass meine Bilder sowohl das Herz,
											als auch das Gehirn des Betrachters ansprechen.
											Lassen Sie mich dies anhand von 
drei Projekten demonstrieren.
									",Psychedelic science,Fabian Oefner,12:05,"photography,science,science and art,microbiology,nanoscale,physics,creativity,sound,demo,film,beauty,art"
