en,fr,es,tr,pt,title,speaker,duration,tags
"
","
","
","
","
",Could the Earth be swallowed by a black hole?,Fabio Pacucci,4:58,"TED-Ed,space,science,big bang,universe,cosmos,solar system,Planets"
"
											From asteroids capable 
of destroying entire species,
											to gamma-ray bursts and supernovae 
that could exterminate life on Earth,
											outer space has no shortage of forces
that could wreak havoc on our tiny planet.
											But there’s something in space
											that seems more terrifying 
than any of these –
											something that wipes out 
everything it comes near.
											Could the Earth 
be swallowed by a black hole?
									","
											Des astéroïdes capables
de détruire des espèces entières,
											aux rayons gamma et aux supernovæ
qui pourraient éliminer la vie sur Terre,
											l'espace ne manque pas de forces
en mesure de ravager notre petite planète.
											Mais quelque chose dans l'espace
											semble plus effrayant que tout cela,
											quelque chose qui anéantit
tout ce qui s'en approche.
											La Terre pourrait-elle
être engloutie par un trou noir ?
									","
											Desde asteroides capaces 
de destruir especies enteras
											a explosiones de rayos gama y supernovas
											que podrían exterminar
la vida en la Tierra,
											las fuerzas del espacio exterior bien
podrían destruir nuestro pequeño planeta.
											Pero hay algo en el espacio
											que parece más aterrador
que todo lo anterior,
											algo que hace desaparecer
cualquier objeto que se acerque.
											¿Es posible que la Tierra sea 
absorbida por un agujero negro?
									","
											Bütün türleri 
imha edebilecek astroidlerden
											Dünya'daki yaşamı yok edebilecek 
gama ışını patlamaları ve süpernovalara,
											uzay boşluğu bizim minik gezegenimizi 
mahvedecek güçlerde kıtlık yaşamıyor.
											Ama uzayda bunlardan 
daha korkutucu görünen
											bir şey var...
											Yanına yaklaşan her şeyi 
silip süpüren bir şey.
											Dünya bir kara delik tarafından 
yutulabilir mi?
									","
											Dos asteroides capazes de destruir
espécies inteiras
											até aos raios-gama e às supernovas
que podem exterminar a vida na Terra,
											o espaço exterior não tem falta de forças
que podem criar o caos no nosso planeta.
											Mas há uma coisa no espaço
											que parece ser mais aterrorizador
do que quaisquer outros
											— uma coisa que pode destruir
tudo o que se aproxime dela.
											Será que a Terra pode ser engolida
por um buraco negro?
									",Could the Earth be swallowed by a black hole?,Fabio Pacucci,4:58,"TED-Ed,space,science,big bang,universe,cosmos,solar system,Planets"
"
","
","
","
","
",Could the Earth be swallowed by a black hole?,Fabio Pacucci,4:58,"TED-Ed,space,science,big bang,universe,cosmos,solar system,Planets"
"
											A black hole is an object so dense
											that space and time around it 
are inescapably modified,
											warped into an infinite sink.
											Nothing, not even light,
can move fast enough
											to escape a black hole’s 
gravitational pull
											once it passes a certain boundary,
											known as the event horizon.
											Thus, a black hole is like a cosmic
vacuum cleaner with infinite capacity,
											gobbling up everything in its path, 
and letting nothing out.
									","
											Un trou noir est un objet tellement dense
											que l'espace-temps environnant
est inéluctablement modifié,
											transformé en un évier infini.
											Rien, pas même la lumière,
ne peut aller assez vite
											pour échapper à l'attraction
gravitationnelle d'un trou noir
											une fois passée une certaine frontière,
											nommée horizon des événements.
											Ainsi, un trou noir est comme
un aspirateur cosmique à capacité infinie,
											engloutissant tout sur son passage,
et ne laissant rien sortir.
									","
											Un agujero negro es un cuerpo tan denso
											que el espacio y el tiempo circundantes
se alteran inexorablemente,
											curvándose hasta un punto infinito.
											Nada, ni siquiera la luz, puede 
moverse lo suficientemente rápido
											como para escapar a la atracción 
gravitatoria de un agujero negro
											una vez que atraviesa
una frontera específica,
											llamada ""horizonte de sucesos"".
											Un agujero negro es, por tanto, 
como una aspiradora cósmica
											de capacidad infinita
											que absorbe todo lo que hay en su camino
y no permite que nada escape.
									","
											Kara delik o kadar yoğun bir madde ki
											etrafındaki boşluk ve zaman
sonsuz bir çukura bükülerek
											kaçınılmaz biçimde değişiyor.

											Hiçbir şey, ışık bile 
belirli bir sınırı aşınca
											kara deliğin olay ufku denilen
											yer çekimi kuvvetinden kaçabilecek kadar
											hızlı hareket edemez.
											Bu sebeple kara delik sonsuz kapasiteye
sahip kozmik bir süpürgeye benzer,
											yoluna çıkan her şeyi silip süpürür 
ve hiçbir şeyi dışarı çıkarmaz.
									","
											Um buraco negro é um objeto tão denso
											que o espaço e o tempo à sua volta
são inevitavelmente modificados,
											deformados num sorvedouro infinito.
											Nada, nem mesmo a luz,
se movimenta tão depressa
											que consiga escapar à atração
gravitacional de um buraco negro
											depois de passar um determinado limite,
											conhecido por ponto de não-retorno.
											Um buraco negro é como um aspirador
cósmico com uma capacidade infinita,
											engolindo tudo o que houver no seu caminho
sem lhe escapar nada.
									",Could the Earth be swallowed by a black hole?,Fabio Pacucci,4:58,"TED-Ed,space,science,big bang,universe,cosmos,solar system,Planets"
"
","
","
","
","
",Could the Earth be swallowed by a black hole?,Fabio Pacucci,4:58,"TED-Ed,space,science,big bang,universe,cosmos,solar system,Planets"
"
											To determine whether a black hole 
could swallow the Earth,
											we first have to figure out 
where they are.
											But since they don’t emit light, 
how’s that possible?
											Fortunately, we’re able to observe 
their effect on the space around them.
											When matter approaches a black hole,
											the immense gravitational field
accelerates it to high speed.
											This emits an enormous amount of light.
											And for objects too far away 
to be sucked in,
											the massive gravitational force 
still affects their orbits.
											If we observe several stars orbiting
around an apparently empty point,
											a black hole could be leading the dance.
											Similarly, light that passes
close enough to an event horizon
											will be deflected in a phenomenon 
known as gravitational lensing.
									","
											Pour déterminer si un trou noir
pourrait avaler la Terre,
											nous devons d'abord trouver où ils sont.
											Mais comme ils n'émettent pas de lumière,
comment est-ce possible ?
											Heureusement, nous pouvons observer
leur effet sur l'espace autour d'eux.
											Lorsque de la matière
approche d'un trou noir,
											l'immense champ gravitationnel
l'accélère à une vitesse élevée.
											Cela émet une énorme quantité de lumière.
											Et pour les objets trop éloignés
pour être aspirés,
											la force gravitationnelle massive
affecte tout de même leur orbite.
											Si l'on observe plusieurs étoiles orbitant
autour d'un point apparemment vide,
											un trou noir pourrait mener la danse.
											Similairement, la lumière qui passe
assez proche d'un horizon des événements
											est déviée par un phénomène
nommé lentille gravitationnelle.
									","
											Para saber si la Tierra podría ser
absorbida por un agujero negro,
											primero es necesario 
determinar dónde se encuentran.
											Pero ¿cómo detectarlos si no emiten luz?
											Por suerte, es posible ver los efectos
que producen en el espacio circundante.
											Cuando la materia se acerca
a un agujero negro,
											el inmenso campo gravitatorio
la acelera a una alta velocidad.
											Esto produce una enorme cantidad de luz.
											Y los objetos que están demasiado 
lejos como para ser absorbidos
											sufren una alteración en sus órbitas
a causa de la inmensa fuerza gravitatoria.
											Si hay varias estrellas que orbitan
alrededor de un punto aparentemente vacío,
											es que un agujero negro podría
estar dirigiendo sus trayectorias.
											De la misma manera, la luz que pasa
cerca de un horizonte de sucesos
											es desviada por un fenómeno
denominado ""lente gravitatoria"".
									","
											Bir kara deliğin Dünya'yı
yutup yutamayacağını belirlemek için
											öncelikle nerede olduklarını bulmalıyız.
											Peki ışık yaymıyorlarsa 
bu nasıl mümkün olabilir?
											Neyse ki etrafındaki boşluğa etkilerini
gözlemleyebiliyoruz.
											Madde kara deliğe yaklaştığında,
											devasa yer çekim alanı 
onu yüksek hıza çıkarıyor.
											Bu olay muazzam miktarda ışık yansıtıyor.
											İçine çekilemeyecek kadar uzaktaki
nesnelere gelince
											muazzam yer çekimi kuvveti 
yörüngelerini etkiliyor.
											Eğer birkaç yıldızın görünürde
boş bir nokta etrafında
											yörüngelendiğini gözlemlersek 
bu bir kara deliğin işi olabilir.
											Aynı şekilde olay ufkuna
yeterince yakından geçen ışık
											yer çekimsel kırılma olarak bilinen 
bir fenomene dönüşecek.
									","
											Para determinar se um buraco negro
pode engolir a Terra
											primeiro temos de imaginar
onde é que eles estão.
											Mas, se eles não emitem luz,
como é que isso é possível?
											Felizmente, podemos observar
o seu efeito no espaço à volta deles.
											Quando a matéria se aproxima
de um buraco negro,
											o enorme campo gravitacional
acelera-a a uma alta velocidade.
											Isso emite uma quantidade enorme de luz.
											Mesmo para os objetos demasiado
afastados para serem engolidos,
											a enorme força gravitacional
também afeta as suas órbitas.
											Se observarmos várias estrelas 
a orbitar um ponto aparentemente vazio,
											pode ser um buraco negro
a liderar essa dança.
											A luz que passa suficientemente perto
de um ponto sem-retorno
											também será desviada num fenómeno
conhecido por distorção gravitacional.
									",Could the Earth be swallowed by a black hole?,Fabio Pacucci,4:58,"TED-Ed,space,science,big bang,universe,cosmos,solar system,Planets"
"
","
","
","
","
",Could the Earth be swallowed by a black hole?,Fabio Pacucci,4:58,"TED-Ed,space,science,big bang,universe,cosmos,solar system,Planets"
"
											Most of the black holes that we’ve found 
can be thought of as two main types.
											The smaller ones, 
called stellar mass black holes,
											have a mass up to 100 times larger 
than that of our sun.
											They’re formed when a massive star 
consumes all its nuclear fuel
											and its core collapses.
											We’ve observed several of these
objects as close as 3000 light-years away,
											and there could be up to 100 million 
small black holes
											just in the Milky Way galaxy.
											So should we be worried?
											Probably not.
											Despite their large mass,
											stellar black holes only have a radius 
of around 300 kilometers or less,
											making the chances 
of a direct hit with us miniscule.
											Although because 
their gravitational fields
											can affect a planet from a large distance,
											they could be dangerous 
even without a direct collision.
											If a typical stellar-mass black hole 
were to pass in the region of Neptune,
											the orbit of the Earth 
would be considerably modified,
											with dire results.
									","
											La plupart des trous noirs connus
se classent en deux types principaux.
											Les plus petits,
appelés trous noirs à masse stellaire,
											ont une masse jusqu'à 100 fois supérieure
à celle de notre soleil.
											Ils se forment quand une étoile massive
consomme toute son énergie nucléaire
											puis quand son noyau s'effondre.
											Nous en avons observé plusieurs
à une distance de 3 000 années-lumière,
											et il pourrait y avoir
jusqu'à 100 millions de petits trous noirs
											juste dans notre galaxie, la Voie Lactée.
											Devrions-nous nous inquiéter ?
											Probablement pas.
											Malgré leur masse importante,
											les trous noirs stellaires n'ont
qu'un rayon de 300 kilomètres ou moins,
											ce qui rend minime la probabilité
de collision directe avec nous.
											Néanmoins, leur champ gravitationnel
											pouvant affecter une planète
à longue distance,
											ils pourraient être dangereux
sans collision directe.
											Si un trou noir stellaire commun
passait dans la région de Neptune,
											l'orbite de la Terre
serait considérablement modifiée,
											avec des conséquences terribles.
									","
											La mayoría de los agujeros
negros conocidos
											se pueden dividir 
en dos grupos principales.
											Los más pequeños, llamados 
""agujeros negros de masa estelar"",
											tienen una masa de hasta 100 veces
superior a la de nuestro Sol.
											Se forman cuando una estrella gigante
consume todo su combustible nuclear
											y su núcleo colapsa.
											Varios objetos como estos 
han sido detectados a unos 3000 años luz,
											y podría haber hasta 100 millones
de pequeños agujeros negros
											tan solo en la Vía Láctea.
											¿Debería esto preocuparnos, entonces?
											Posiblemente no.
											A pesar de su enorme masa,
											los agujeros negros estelares tienen
un radio de tan solo unos 300 km o menos,
											reduciendo al mínimo la probabilidad
de una colisión directa con la Tierra.
											Sin embargo, sus campos gravitatorios
											pueden afectar a un planeta
desde una distancia remota,
											y por eso pueden ser peligrosos,
aunque no haya una colisión directa.
											Si un agujero negro estelar típico
pasara por la zona de Neptuno,
											la órbita de la Tierra 
se alteraría significativamente,
											con resultados nefastos.
									","
											Bulduğumuz kara deliklerin çoğu
iki ana tip olarak düşünülebilir.
											Küçük olanlar, yıldız kütleli 
kara delikler olarak adlandırılır,
											güneşimizden 100 kata kadar
daha fazla kütleye sahipler.
											Devasa bir yıldız tüm çekirdek yakıtını 
tüketip çekirdeği çöktüğünde
											meydana gelirler.
											Bu nesnelerden birkaç tanesini 
3000 ışık yılı kadar ötede gözlemledik
											ve sadece Samanyolu Galaksisi'nde
											100 milyon civarında 
küçük kara delik olabilir.
											Endişelenmeli miyiz?
											Muhtemelen hayır.
											Büyük kütlelerine rağmen
											yıldız kara delikleri aşağı yukarı 300 km
ya da daha az yarıçapa sahip
											bu da bizimle doğrudan bir çarpışma
ihtimalini küçültür.
											Buna karşın, yer çekimi alanlarının
											gezegenleri çok uzaktan 
etkileyebilmelerinden dolayı
											doğrudan bir çarpışma olmadan da 
tehlikeli olabilirler.
											Eğer tipik bir yıldız-kütle kara delik, 
Neptün bölgesinden geçecek olursa
											Dünya yörüngesi için
											korkunç sonuçlar doğurabilir.
									","
											A maioria dos buracos negros conhecidos
pertencem a dois tipos principais.
											Os mais pequenos, chamados
buracos negros de massa estelar,
											têm uma massa 100 vezes maior
do que a do nosso Sol.
											Formam-se quando uma enorme estrela
consome todo o seu combustível nuclear
											e o núcleo colapsa.
											Já observámos vários destes objetos
à distância de 3000 anos-luz
											e pode haver uns 100 milhões
de pequenos buracos negros
											só na galáxia da Via Láctea.
											Então, devemos estar preocupados?
											Provavelmente não.
											Apesar da sua enorme massa,
											os buracos negros estelares só têm um raio
de cerca de 300 km, ou menos,
											o que torna minúscula a hipótese
de um impacto direto connosco.
											Contudo, como os seus
campos gravitacionais
											podem afetar um planeta
a uma grande distância,
											poderão ser perigosos,
mesmo sem uma colisão direta.
											Se um buraco negro de massa estelar
vulgar passar na região de Neptuno,
											a órbita da Terra poderá ser
consideravelmente modificada,
											com consequências terríveis.
									",Could the Earth be swallowed by a black hole?,Fabio Pacucci,4:58,"TED-Ed,space,science,big bang,universe,cosmos,solar system,Planets"
"
","
","
","
","
",Could the Earth be swallowed by a black hole?,Fabio Pacucci,4:58,"TED-Ed,space,science,big bang,universe,cosmos,solar system,Planets"
"
											Still, the combination of how small 
they are and how vast the galaxy is
											means that stellar black holes
don’t give us much to worry about.
											But we still have to meet the second type:
											supermassive black holes.
											These have masses millions or billions
times greater than that of our sun
											and have event horizons that
could span billions of kilometers.
											These giants have grown 
to immense proportions
											by swallowing matter 
and merging with other black holes.
											Unlike their stellar cousins,
											supermassive black holes aren’t
wandering through space.
											Instead, they lie at the center 
of galaxies, including our own.
											Our solar system is in a stable orbit 
around a supermassive black hole
											that resides 
at the center of the Milky Way,
											at a safe distance of 25,000 light-years.
											But that could change.
											If our galaxy collides with another,
											the Earth could be thrown towards 
the galactic center,
											close enough 
to the supermassive black hole
											to be eventually swallowed up.
											In fact, a collision 
with the Andromeda Galaxy
											is predicted to happen 
4 billion years from now,
											which may not be great news
for our home planet.
									","
											Malgré cela, leur petite taille
liée à l'immensité de la galaxie
											fait que les trous noirs stellaires
ne sont pas très inquiétants.
											Mais nous devons parler du second type :
											les trous noirs supermassifs.
											Leur masse, des millions ou des milliards
de fois supérieure à celle du Soleil,
											ont un horizon des événements pouvant
couvrir des milliards de kilomètres.
											Ces géants ont atteint
des proportions gigantesques
											en absorbant de la matière et
en fusionnant avec d'autres trous noirs.
											Contrairement à leurs cousins,
											les trous noirs supermassifs
ne vagabondent pas à travers l'espace.
											Au lieu de ça, ils reposent au centre
des galaxies, y compris la nôtre.
											Notre système solaire est en orbite stable
autour d'un trou noir supermassif
											qui réside au centre de la Voie Lactée,
											à une distance sûre
de 25 000 années-lumière.
											Mais cela pourrait changer.
											Si notre galaxie en percute une autre,
											la Terre pourrait être projetée
vers le centre galactique,
											assez proche du trou noir supermassif
											pour être éventuellement engloutie.
											De fait, une collision
avec la Galaxie d'Andromède
											est prévue dans quatre milliards d'années,
											ce qui ne présage rien de bon
pour notre planète natale.
									","
											Aun así, considerando su reducido tamaño
con respecto a la vastedad de la galaxia,
											los agujeros negros estelares no
deben ser motivo de preocupación.
											Pero veamos ahora el segundo tipo:
											los agujeros negros supermasivos.
											Tienen una masa que es millones
o miles de millones de veces
											más grande que la del Sol
											y sus horizontes de sucesos pueden 
tener miles de millones de kilómetros.
											Estos gigantes han crecido
en inmensas proporciones
											por la materia que han absorbido y por
fusionarse con otros agujeros negros.
											A diferencia de sus parientes estelares,
											los agujeros negros supermasivos
no viajan por el espacio.
											Por el contrario, residen en el centro
de las galaxias, incluyendo la nuestra.
											Nuestro sistema solar 
está en una órbita estable
											alrededor de un agujero negro supermasivo
que reside en el centro de la Vía Láctea,
											a una distancia segura de 25 000 años luz.
											Pero eso podría cambiar.
											Si nuestra galaxia colisionara con otra,
											la Tierra podría ser expulsada
hacia el centro galáctico,
											suficientemente cerca
del agujero negro supermasivo
											como para ser finalmente absorbida por él.
											De hecho, se predice que habrá 
una colisión con la galaxia Andrómeda
											dentro de 4 mil millones de años,
											lo cual podría no ser una buena
noticia para nuestro planeta.
									","
											Öyle bile olsa onların küçüklüğünün ve
galaksinin genişliğinin birbirine oranı
											yıldız kara deliklerinin çok da 
endişelenecek bir şey olmadığını söylüyor.
											Yine de ikinci tip ile 
tanışmak zorundayız:
											Süper kütleli kara delikler.
											Bunların kütlesi güneşimizden 
milyonlarca ya da milyarlarca daha büyük
											ve milyarlarca kilometre uzunluğunda
olay ufukları var.
											Bu devler, maddeleri yutarak 
ve diğer kara deliklerle birleşerek
											muazzam oranlarda büyüdüler.
											Yıldız kuzenlerinin aksine
											süper kütleli kara delikler 
uzay boyunca gezinmiyor.
											Yerine, galaksimiz de dâhil olmak üzere 
galaksilerin merkezinde bulunuyorlar.
											Güneş sistemimiz 
Samanyolu'nun merkezindeki
											süper kütleli bir kara deliğin
yörüngesinde
											25.000 ışık yıllık güvenli 
bir mesafede bulunmakta.
											Ama bu değişebilir.
											Eğer galaksimiz
başka bir galaksi ile çarpışırsa,
											Dünya galaktik merkeze doğru
											eninde sonunda 
bir süper kütleli kara delik tarafından
											yutulmak üzere savrulabilir.
											Aslında, gezegenimiz için 
iyi bir haber olmasa da
											4 milyar yıl sonra 
Andromeda Galaksisi ile
											bir çarpışmanın meydana gelmesi 
öngörülüyor.
									","
											Apesar disso, o seu diminuto tamanho
e a vasta dimensão da galáxia
											significa que os buracos negros estelares
não nos causam muita preocupação.
											Mas ainda falta conhecer o segundo tipo:
											os buracos negros super maciços.
											A sua massa, de milhões ou milhares
de milhões de vezes superiores à do Sol,
											têm pontos de não-retorno,
											podendo atingir milhares
de milhões de quilómetros.
											Estes gigantes cresceram
a proporções fantásticas
											engolindo matéria e fundindo-se
com outros buracos negros.
											Ao contrário dos seus primos estelares,
											os buracos negros super maciços
não andam a vaguear pelo espaço.
											Mantêm-se no centro das galáxias,
incluindo a nossa.
											O nosso sistema solar
tem uma órbita estável
											em volta de um buraco negro super maciço
											que reside no centro da Via Láctea,
											a uma distância segura 
de 25 000 anos-luz.
											Mas isso pode mudar.
											Se a nossa galáxia colidir com outra,
											a Terra pode ser projetada
para o centro galáctico,
											perto demais do buraco negro
super maciço
											e acabar por ser engolida.
											Com efeito, está prevista uma colisão
com a Galáxia Andromeda
											daqui a 4 mil milhões de anos
											o que pode ser uma má notícia
para o nosso planeta natal.
									",Could the Earth be swallowed by a black hole?,Fabio Pacucci,4:58,"TED-Ed,space,science,big bang,universe,cosmos,solar system,Planets"
