en,es,tr,fr,title,speaker,duration,tags
"
","
","
","
",Hawking's black hole paradox explained,Fabio Pacucci,5:20,"animation,universe,TED-Ed,science,time,physics,space,quantum physics,astronomy"
"
											Scientists work on the boundaries of 
the unknown,
											where every new piece of knowledge 
forms a path into a void of uncertainty.
											And nothing is more uncertain–
											or potentially enlightening– 
than a paradox.
											Throughout history,
											paradoxes have threatened to 
undermine everything we know,
											and just as often, they’ve reshaped our 
understanding of the world.
											Today, one of the biggest paradoxes in 
the universe
											threatens to unravel the fields of general
relativity and quantum mechanics:
											the black hole information paradox.
									","
											Los científicos se dedican a investigar
las fronteras de lo desconocido,
											donde cada nuevo conocimiento
											abre un camino 
hacia un vacío de incertidumbre.
											Y nada es más incierto,
											o potencialmente revelador,
											que una paradoja.
											A lo largo de la historia,
											las paradojas han desafiado
la certeza de nuestro conocimiento
											y, asimismo, han reformulado
nuestra percepción del mundo.
											Actualmente, una de las mayores 
paradojas del universo
											desafía con echar luz 
sobre el campo de la relatividad general
											y de la mecánica cuántica:
											la paradoja de la información
en los agujeros negros.
									","
											Bilim insanları, her yeni bilgi parçasıyla
belirsizlik boşluğuna yol oluşturan,
											bilinmeyenin sınırları üzerinde çalışıyor.
											Ve hiçbir şey bir 
paradokstan daha belirsiz
											ya da potansiyel olarak 
daha aydınlatıcı değil.
											Tarih boyunca paradokslar,
											bildiğimiz her şeyi 
baltalamakla tehdit ettiler
											ve aynı sıklıkla dünyayı algılayışımızı 
yeniden şekillendirdiler.
											Bugün evrendeki en büyük 
paradokslardan birisi genel görelilik
											ve kuantum mekaniği alanlarının
sırrını çözmekle tehdit ediyor:
											Kara delik bilgi paradoksu.
									","
											Les scientifiques travaillent
aux frontières de l'inconnu,
											où chaque nouvelle connaissance forme
un chemin vers un vide d'incertitude.
											Et rien n'est plus incertain -
											ou potentiellement parlant -
qu'un paradoxe.
											Á travers l'histoire,
											les paradoxes ont menacé d'ébranler
tout ce que nous savons,
											et tout aussi souvent, ils ont remodelé
notre compréhension du monde.
											Aujourd'hui, l'un des plus grands
paradoxes de l'univers
											menace de réduire à néant les domaines
											de la relativité générale et
de la mécanique quantique :
											le paradoxe de l'information du trou noir.
									",Hawking's black hole paradox explained,Fabio Pacucci,5:20,"animation,universe,TED-Ed,science,time,physics,space,quantum physics,astronomy"
"
","
","
","
",Hawking's black hole paradox explained,Fabio Pacucci,5:20,"animation,universe,TED-Ed,science,time,physics,space,quantum physics,astronomy"
"
											To understand this paradox,
											we first need to define what we mean
by ""information.""
											Typically, the information we talk about 
is visible to the naked eye.
											For example,
											this kind of information tells us that 
an apple is red, round, and shiny.
											But physicists are more concerned with 
quantum information.
											This refers to the quantum properties of 
all the particles that make up that apple,
											such as their position, velocity and spin.
											Every object in the universe is composed
											of particles with unique 
quantum properties.
									","
											Para comprender esta paradoja,
											es preciso definir primero
qué entendemos por ""información"".
											En general, la información
que solemos manejar
											se puede apreciar a simple vista.
											Por ejemplo, este tipo de información
											revela que esta manzana 
es roja, redonda y lustrosa.
											Pero los físicos centran su investigación
en la información cuántica,
											es decir, en las propiedades cuánticas 
de todas las partículas
											que conforman esa manzana,
											como su posición, velocidad y rotación.
											Todos los objetos del universo
											están compuestos por partículas
con características cuánticas únicas.
									","
											Bu paradoksu anlamak için
											öncelikle ""bilgi"" ile ne kastettiğimizi
tanımlamamız gerek.
											Genel anlamda bahsettiğimiz bilgi,
çıplak gözle görülebilir olan.
											Örneğin bu tarz bir bilgi bize 

											elmanın kırmızı, yuvarlak
ve parlak olduğunu söyler.
											Fakat fizikçiler kuantum bilgisi 
ile daha çok ilgilidirler.
											Bu da elmayı elma yapan 
konum, hız ve dönü gibi
											tüm zerrelerin kuantum
özelliklerine gönderme yapar.
											Evrendeki her nesne eşsiz 
kuantum özelliklerine sahip
											parçacıklardan oluşur.
									","
											Pour comprendre ce paradoxe,
											nous devons d'abord définir ce que
nous entendons par « information ».
											Généralement, l'information dont
nous parlons est visible à l’œil nu.
											Par exemple, ce genre
d'informations nous indique
											qu'une pomme est rouge,
ronde, et brillante.
											Mais les physiciens s'intéressent
davantage à l'information quantique.
											Il s'agit des propriétés quantiques
de toutes les particules
											qui composent cette pomme,
telles que leur position,
											leur vitesse et leur rotation.
											Chaque objet de l'univers est composé
											de particules aux propriétés
quantiques uniques.
									",Hawking's black hole paradox explained,Fabio Pacucci,5:20,"animation,universe,TED-Ed,science,time,physics,space,quantum physics,astronomy"
"
","
","
","
",Hawking's black hole paradox explained,Fabio Pacucci,5:20,"animation,universe,TED-Ed,science,time,physics,space,quantum physics,astronomy"
"
											This idea is evoked most significantly 
in a vital law of physics:
											the total amount of quantum information
in the Universe must be conserved.
											Even if you destroy an object beyond 
recognition,
											its quantum information is never 
permanently deleted.
											And theoretically, knowledge of that 
information
											would allow us to recreate the object 
from its particle components.
											Conservation of information isn’t just an 
arbitrary rule,
											but a mathematical necessity, upon which 
much of modern science is built.
											But around black holes, 
those foundations get shaken.
									","
											Este concepto está claramente expresado 
en una ley fundamental de la física:
											toda la información cuántica
del universo siempre se conserva.
											Si destruimos un objeto,
aunque pierda su forma original,
											su información cuántica nunca
desaparece de manera permanente.
											Y, en teoría, el acceso
a dicha información
											nos permitiría recrear el objeto a partir 
de las partículas que lo componen.
											La conservación de la información
no es tan solo una regla arbitraria,
											sino una necesidad matemática
											sobre la cual se construye 
gran parte de la ciencia moderna.
											Pero cuando de agujeros negros se trata,
esos postulados colapsan.
									","
											Bu fikir en belirgin olarak hayati 
bir fizik yasasında akla gelmiştir:
											Evrendeki toplam kuantum 
bilgi miktarı korunmalıdır.
											Bir nesneyi tanınmayacak hale 
gelecek kadar tahrip etseniz bile
											kuantum bilgisi asla tamamen silinmez.
											Teorik olarak bu bilgi, 
nesneyi parçacık bileşenlerinden
											yeniden oluşturmamıza olanak tanır.
											Bilginin korunumu, 
nedensiz bir kural değil
											modern bilimin çoğunun inşa edildiği 
matematiksel bir gerekliliktir.
											Ancak kara deliklerin etrafındayken 
bu dayanaklar sarsılır.
									","
											Cette idée est évoquée
plus significativement
											dans une loi vitale de la physique :
											« La quantité totale d'informations
quantiques dans l'Univers
											doit être conservée. »
											Même si vous détruisez
totalement un objet,
											ses informations quantiques
ne sont jamais effacées définitivement.
											Et en théorie, la connaissance
de cette information
											nous permettrait de recréer l'objet
à partir de ses composants particulaires.
											La conservation de l'information
n'est pas juste une règle arbitraire,
											mais une nécessité mathématique,
											sur laquelle repose une grande
partie de la science moderne.
											Mais autour des trous noirs,
ces fondations sont ébranlées.
									",Hawking's black hole paradox explained,Fabio Pacucci,5:20,"animation,universe,TED-Ed,science,time,physics,space,quantum physics,astronomy"
"
","
","
","
",Hawking's black hole paradox explained,Fabio Pacucci,5:20,"animation,universe,TED-Ed,science,time,physics,space,quantum physics,astronomy"
"
											When an apple enters a black hole,
											it seems as though it leaves the universe,
											and all its quantum information 
becomes irretrievably lost.
											However, this doesn’t immediately 
break the laws of physics.
											The information is out of sight,
											but it might still exist within the 
black hole’s mysterious void.
											Alternatively, some theories suggest
											that information doesn’t even make it
inside the black hole at all.
											Seen from outside, it’s as if the apple’s 
quantum information
											is encoded on the surface layer of the
black hole, called the event horizon.
											As the black hole’s mass increases,
											the surface of the event horizon 
increases as well.
											So it’s possible that as a black hole 
swallows an object,
											it also grows large enough to conserve
the object’s quantum information.
											But whether information is conserved 
inside the black hole or on its surface,
											the laws of physics remain intact–
											until you account for Hawking Radiation.
									","
											Cuando una manzana 
entra en un agujero negro,
											parece como que se fuera del universo,
											y que toda su información cuántica
se perdiera sin posibilidad de rescatarse.
											Pero este fenómeno no tiene por qué
infringir las leyes de la física.
											La información desaparece a simple vista,
											pero podría seguir existiendo dentro
del misterioso vacío de un agujero negro.
											Por otro lado, algunas teorías sugieren
											que esa información ni siquiera
entra al agujero negro.
											Vista del exterior, es como 
si la información cuántica de la manzana
											estuviera codificada en la capa 
superficial del agujero negro,
											llamada ""horizonte de eventos"".
											A medida que la masa 
del agujero negro aumenta,
											también lo hace el horizonte de eventos.
											Es posible entonces que cuando
un agujero negro absorbe un objeto,
											aumenta su tamaño de tal modo
											que puede conservar 
la información cuántica del objeto.
											De todas maneras, independientemente de
dónde se conserve la información cuántica,
											las leyes de la física 
permanecen intactas...
											hasta que aparece
la ""radiación de Hawking"".
									","
											Bir elma kara deliğe girdiğinde
											evrenden ayrılıyormuş gibi görünür
											ve tüm kuantum bilgisi geri dönüşü 
olmayan bir şekilde kaybolur.
											Oysa bu ille de fizik kurallarını 
kırdığı anlamına gelmez.
											Bilgi görüş alanı dışında
											ama hala kara deliğin 
gizemli boşluğunda var olabilir.
											Alternatif olarak bazı teoriler bilginin
											kara deliğin içine geçemediğini 
öne sürmektedir.
											Dışarıdan bakıldığında,
elmanın kuantum bilgisi
											olay ufku denilen kara delik 
yüzey katmanında şifrelenmiş gibidir.
											Kara deliğin kütlesi arttıkça,
											olay ufkunun yüzeyi de artmaktadır.
											Kara delik bir nesneyi içine çektiğinde,

											nesnenin kuantum bilgisini de 
koruyacak kadar genişlemesi mümkündür.
											İster bilgi kara deliğin içinde,
ister yüzeyinde saklansın
											Hawking ışınımı açıklanana kadar
											fizik yasaları geçerlidir.
									","
											Lorsqu'une pomme entre dans un trou noir,
											il semblerait qu'elle quitte l'univers,
											et que toutes ses informations quantiques
soient irréparablement perdues.
											Cependant, cela ne brise pas
immédiatement les lois de la physique.
											L'information est hors de vue,
											mais elle peut encore exister dans
le vide mystérieux du trou noir.
											Parallèlement,
certaines théories suggèrent
											que cette information ne parvient
même pas à l'intérieur du trou noir.
											Vu de l'extérieur, c'est comme si
l'information quantique de la pomme
											était codée sur la couche
superficielle du trou noir,
											appelée l'horizon des événements.
											Plus la masse du trou noir augmente,
											plus la surface de l'horizon
des événements augmente également.
											Il est donc possible qu'à mesure
qu'un trou noir avale un objet,
											il devienne assez grand pour conserver
l'information quantique de l'objet.
											Mais que l'information soit conservée
à l'intérieur du trou noir
											ou à sa surface, les lois
de la physique restent intactes -
											jusqu'à ce que vous preniez en compte
le rayonnement de Hawking.
									",Hawking's black hole paradox explained,Fabio Pacucci,5:20,"animation,universe,TED-Ed,science,time,physics,space,quantum physics,astronomy"
"
","
","
","
",Hawking's black hole paradox explained,Fabio Pacucci,5:20,"animation,universe,TED-Ed,science,time,physics,space,quantum physics,astronomy"
"
											Discovered by Stephen Hawking in 1974,
											this phenomenon shows that black 
holes are gradually evaporating.
											Over incredibly long periods of time
											black holes lose mass as they shed 
particles away from their event horizons.
											Critically, it seems as though the 
evaporating particles
											are unrelated to the information 
the black hole encodes–
											suggesting that a black hole and all the
quantum information it contains
											could be completely erased.
									","
											Descubierto por Stephen Hawking en 1974,
											este fenómeno demuestra que los agujeros
negros se están evaporando de a poco.
											A lo largo de períodos de tiempo
increíblemente largos,
											los agujeros negros pierden masa
											al desprender partículas 
de su horizonte de eventos.
											Llama la atención que, al parecer,
las partículas evaporadas
											no guardan relación con la información
codificada en los agujeros negros,
											lo cual sugiere que un agujero negro
y toda la información que contiene
											podrían desaparecer por completo.
									","
											Stephan Hawking tarafından 
1974 yılında keşfedilen bu hadise,
											kara deliklerin yavaş yavaş 
buharlaştığını göstermektedir.
											Aşırı derecede uzun bir zaman diliminde,
											kara delikler olay ufuklarından uzaklara 
parçacık saçarken kütle kaybederler.
											Buharlaşan parçacıklar,

											kara deliğin şifrelediği bilgiyle 
alakasız gibi görünebilir.
											bu bir kara deliğin 
ve içerdiği tüm kuantum bilgisinin
											tamamen silinebileceğini gösterir.
									","
											Découvert par Stephen Hawking en 1974,
											ce phénomène montre que les trous noirs
s'évaporent progressivement.
											Sur des périodes incroyablement longues,
											les trous noirs perdent de la masse
à mesure qu'ils relâchent des particules
											de leur horizon des événements.
											D'un point de vue critique, il semblerait
que les particules évaporées
											ne soient plus liées à l'information
que le trou noir code -
											suggérant qu'un trou noir et toute
l'information quantique qu'il contient
											pourraient être complètement effacés.
									",Hawking's black hole paradox explained,Fabio Pacucci,5:20,"animation,universe,TED-Ed,science,time,physics,space,quantum physics,astronomy"
