en,tr,pt,es,fr,title,speaker,duration,tags
"
","
","
","
","
",What everyday citizens can do to claim power on the internet,Fadi Chehadé and Bryn Freedman,8:34,"Internet,future,economics,humanity,society,community,technology"
"
											Bryn Freedman: So you said
that in the 20th century,
											global power was in the hands
of government.
											At the beginning of this digital century,
											it really moved to corporations
											and that in the future,
it would move to individuals.
											And I've interviewed a lot of people,
											and they say you're wrong,
											and they are betting on the companies.
											So why are you right,
											and why are individuals going to win out?
									","
											Bryn Freedman:
Söylediğinize göre 20. yüzyılda
											küresel güç hükûmetlerin elindeydi.
											Bu dijital çağın başlarında ise
											güç, kurumların eline geçti,
											gelecekte de bireylerin eline geçecek.
											Pek çok insanla görüştüm,
											sizin yanıldığınızı söylüyorlar
											ve tahminleri şirketlerden yana.
											Sizce neden haklısınız
											ve neden bireyler kazanacak?
									","
											Bryn Freedman:
Disseste que, no século XX,
											o poder global estava
nas mãos do governo.
											No início deste século digital,
											isso passou para as empresas
											e, no futuro, irá passar
para os indivíduos.
											Tenho entrevistado muitas pessoas,
											e elas dizem que estás errado.
											Elas apostam nas empresas.
											Então, porque é que tens razão
											e porque é que os indivíduos vão vencer?
									","
											Bryn Freedman: Ud. indica
que en el siglo XX,
											el poder mundial estuvo
en manos del gobierno.
											Al inicio de este siglo digital,
											pasó a las corporaciones
											y, en el futuro, pasará a las personas.
											He entrevistado a muchas personas,
											y dicen que Ud. está equivocado,
											ellos apuestan a las compañías.
											¿Por qué cree que no se equivoca
											y por qué los personas se impondrán?
									","
											Bryn Freedman :
Vous avez dit qu'au XXe siècle,
											le pouvoir mondial
appartenait aux gouvernements.
											Qu'au début de ce siècle numérique,
											il avait glissé vers les entreprises
											et que dans un futur proche,
il serait entre les mains des individus.
											J'ai interviewé beaucoup de personnes
											qui disent que vous vous trompez
											et qui misent plutôt sur les entreprises.
											Pourquoi pensez-vous avoir raison
											et pourquoi les individus
vont-ils se l'approprier ?
									",What everyday citizens can do to claim power on the internet,Fadi Chehadé and Bryn Freedman,8:34,"Internet,future,economics,humanity,society,community,technology"
"
","
","
","
","
",What everyday citizens can do to claim power on the internet,Fadi Chehadé and Bryn Freedman,8:34,"Internet,future,economics,humanity,society,community,technology"
"
											Fadi Chehadé: Because companies
cater to individuals,
											and we as the citizenry
											need to start understanding
that we have a big role
											in shaping how the world
will be governed, moving forward.
											Yes, indeed, the tug of war right now
is between governments,
											who lost much of their power to companies
											because the internet is not built
around the nation-state system
											around which governments have power.
											The internet is transnational.
											It's not international,
and it's not national,
											and therefore the companies
became very powerful.
											They shape our economy.
											They shape our society.
											Governments don't know what to do.
											Right now, they're reacting.
											And I fear that if we do not,
as the citizenry —
											which are, in my opinion,
the most important leg of that stool —
											don't take our role,
											then you are right.
											The detractors, or the people telling you
that businesses will prevail, are right.
											It will happen.
									","
											Fadi Chehade: Çünkü şirketler
bireylere hizmet ediyor
											ve biz de vatandaşlar olarak
											ileriye gitmek için
dünyanın nasıl yönetileceği konusunda
											büyük bir rolümüz olduğunu
anlamak zorundayız.
											Evet, doğru, şu anki çekişme
hükûmetler arasında,
											güçlerinin çoğunu şirketlere kaybettiler
											çünkü internet hükûmetlerin
gücü elinde tuttuğu
											ulus-devlet sistemi üzerine kurulmadı.
											İnternet sınırlar arası.
											Uluslararası değil, ulusal da değil
											ve bu yüzden şirketler
çok güçlü hâle geldi.
											Ekonomimizi şekillendiriyorlar.
											Toplumumuzu da.
											Hükûmetler ne yapacağını bilmiyor.
											Şu an tepki veriyorlar.
											Ve korkarım biz vatandaşlar olarak
											-ki bence bu konuda en önemli husus-
											üzerimize düşeni yapmazsak
											o zaman haklısınız.
											Karamsarlar veya işletmelerin
öne çıkacağını söyleyen insanlar haklı.
											Bu gerçekleşecek.
									","
											Fadi Chehadé: Porque as empresas
servem os indivíduos,
											e nós, como população,
											temos de começar a entender
que desempenhamos um grande papel
											em modelar como o mundo
será governado, e avançará.
											Sim, de facto, a guerra atualmente
é entre governos,
											que perderam muito do seu poder
para as empresas
											porque a Internet não está construída
em torno do sistema nação-estado
											sobre o qual o governo tem poder.
											A Internet é transnacional.
											Não é internacional, e não é nacional.
											Por isso as empresas
tornaram-se muito poderosas.
											Elas modelam a nossa economia.
											Elas modelam a nossa sociedade.
											Os governos não sabem o que fazer.
											Neste momento, estão a reagir.
											E eu temo que, se nós,
enquanto população
											— que, na minha opinião,
é a peça mais importante desta máquina —
											não assumirmos o nosso papel,
											então tu estás certa.
											Os críticos, ou os que te dizem que
os negócios irão prevalecer, estão certos.
											Acontecerá isso.
									","
											Fadi Chehadé: Porque las empresas
sirven a las personas,
											y nosotros como ciudadanía
											necesitamos empezar a entender
que tenemos un gran papel
											para modelar la gobernanza 
del mundo en el futuro.
											Sí, por supuesto, existe 
una pugna entre gobiernos,
											que han cedido mucho poder 
a las compañías
											porque Internet no está construida
sobre un sistema Estado nación,
											sobre el cual los gobiernos tienen poder.
											Internet es transnacional.
											No es internacional, no es nacional,
											por lo tanto, las compañías
se han vuelto muy poderosas.
											Ellas moldean nuestra economía.
											Moldean nuestra sociedad.
											Los gobiernos no saben qué hacer.
											Ahora mismo, están reaccionando.
											Y temo que, si no lo hacemos,
como ciudadanía,
											lo que, en mi opinión, es la pieza
más importante del rompecabezas,
											no asumir nuestro papel,
											entonces Uds. acertarán.
											Los detractores, o quienes les dicen
que los negocios prevalecerán, acertarán.
											Eso pasará.
									","
											Fade Chehadé : Les entreprises
satisfont les besoins des individus,
											et nous, en tant que citoyens,
											nous devons comprendre
que nous avons un rôle essentiel
											dans la manière dont la gouvernance
du monde sera façonnée dans le futur.
											C'est vrai, actuellement les frictions
ont lieu entre des gouvernements
											qui ont perdu beaucoup de leur pouvoir
au profit des entreprises
											car Internet n'est pas fondé
sur le système de l'État-nation
											sur lequel les États
légitimisent leur pouvoir.
											L'Internet est une entité transnationale.
											L'Internet n'est
ni international, ni national,
											ce qui a rendu les entreprises
très puissantes.
											Elles façonnent notre économie.
											Elles façonnent notre société.
											Les autorités ne savent pas quoi faire.
											Maintenant, elles sont réactives.
											Je crains que si nous, citoyens,
											qui sommes l'élément le plus important,
											si nous n'assumons pas notre rôle,
											vous avez raison.
											Mes détracteurs, les partisans
des entreprises, ont raison.
											Cela va se produire.
									",What everyday citizens can do to claim power on the internet,Fadi Chehadé and Bryn Freedman,8:34,"Internet,future,economics,humanity,society,community,technology"
"
","
","
","
","
",What everyday citizens can do to claim power on the internet,Fadi Chehadé and Bryn Freedman,8:34,"Internet,future,economics,humanity,society,community,technology"
"
											BF: So are you saying that individuals
will force businesses
											or business will be forced
to be responsive,
											or is there a fear that they won't be?
									","
											BF: O hâlde bireyler
işletmeleri zorlayacak
											veya işletmeler tepki vermeye zorlanacak
											ya da böyle olmayacağı
endişesi taşıyor musunuz?
									","
											BF: Portanto, estás a dizer
que os indivíduos vão forçar os negócios
											ou os negócios vão ser forçados
a ser responsivos,
											ou há o receio de que não vão ser?
									","
											BF: ¿Está Ud. diciendo que las personas
forzarán a los negocios
											o el negocio será forzado a ser receptivo,
											o hay un miedo de que no lo sean?
									","
											BF : Vous dites que les individus
vont obliger les entreprises
											ou que les entreprises
vont être obligées de réagir
											ou craignez-vous
que ce ne soit pas le cas ?
									",What everyday citizens can do to claim power on the internet,Fadi Chehadé and Bryn Freedman,8:34,"Internet,future,economics,humanity,society,community,technology"
"
","
","
","
","
",What everyday citizens can do to claim power on the internet,Fadi Chehadé and Bryn Freedman,8:34,"Internet,future,economics,humanity,society,community,technology"
"
											FC: I think they will be.
											Look at two weeks ago,
											a small company called Skip
winning over Uber and Lyft and everyone
											to actually get the license
for the San Francisco scooter business.
											And if you read why did Skip win,
											because Skip listened
to the people of San Francisco,
											who were tired of scooters
being thrown everywhere,
											and actually went to the city and said,
											""We will deploy the service,
											but we will respond
to the people's requirements
											that we organize ourselves
around a set of rules.""
											They self-governed their behavior,
and they won the contract
											over some very powerful companies.
									","
											FC: Bence olacak.
											Bakın, iki hafta önce,
											Skip adında küçük bir şirket
San Fransisco scooter işi için
											Uber, Lyft ve diğer tüm şirketleri
geride bırakarak lisans almayı başardı.
											Skip'in neden kazandığını okuduysanız
											çünkü San Fransisco
halkına kulak verdiler,
											halk scooter'ların dört bir yana
savrulmasından bıkmıştı
											ve Skip şehre giderek şunu söyledi:
											''Bu hizmeti başlatacağız,
											ama bir dizi kuralla
kendimiz organize ettiğimiz
											insanların gereksinimlerine
yanıt vereceğiz.''
											Davranışlarını kendi kendilerine yönetip
o sözleşmeyi kazandılar,
											üstelik çok güçlü bazı şirketlere karşı.
									","
											FC: Eu penso que vão ser.
											Repara, há duas semanas
											uma pequena companhia chamada Skip
venceu a Uber, a Lyft e todos
											para obter a licença para
o negócio de ""scooters"" em São Francisco.
											Se leres porque é que a Skip venceu,
											venceu porque a Skip
ouviu as pessoas de São Francisco,
											que estavam cansadas de ""scooters""
espalhadas por todo o lado.
											Foram à cidade e disseram:
											""Nós vamos implementar o serviço,
											""mas vamos satisfazer
os requisitos das pessoas
											""para nos organizarmos
segundo um conjunto de regras.""
											Eles autogovernaram o seu comportamento,
e ganharam o contrato
											a companhias muito poderosas.
									","
											FC: Creo que lo serán.
											Hace dos semanas,
											una pequeña empresa llamada Skip
le gana a Uber, Lyft y a todos
											al sacar licencias para el negocio
de scooters en San Francisco.
											Y si Uds. leen por qué ganó Skip,
											porque Skip escuchó
a las personas de San Francisco,
											que estaban cansados de scooters
arrojados en cualquier lugar,
											y fueron a la ciudad y dijeron,
											""Implementaremos el servicio,
											pero responderemos 
a los requerimientos de la gente
											organizados con base en
un conjunto de reglas"".
											Regularon su comportamiento
y ganaron el contrato
											sobre muy poderosas compañías.
									","
											FC : Je pense que si.
											Rappelez-vous, il y a deux semaines,
											une petite entreprise nommée Skip
a gagné contre Uber, Lyft et les autres.
											Elle a obtenu la licence pour le marché
des trottinettes à San Francisco.
											Si vous voulez savoir
pourquoi Skip a gagné,
											c'est parce qu'elle a écouté
les habitants de San Francisco,
											qui en avaient marre des trottinettes
abandonnées partout,
											et que l'entreprise est allée
à la mairie et leur a dit :
											« Nous allons déployer le service,
											mais nous répondrons
aux exigences des citoyens
											et nous allons nous organiser
autour d'un ensemble de règles. »
											Ils ont autogéré leur conduite
et ont obtenu le contrat
											face à des entreprises très puissantes.
									",What everyday citizens can do to claim power on the internet,Fadi Chehadé and Bryn Freedman,8:34,"Internet,future,economics,humanity,society,community,technology"
"
","
","
","
","
",What everyday citizens can do to claim power on the internet,Fadi Chehadé and Bryn Freedman,8:34,"Internet,future,economics,humanity,society,community,technology"
"
											BF: So speaking of guidelines
and self-governance,
											you've spent an entire lifetime
creating guidelines and norms
											for the internet.
											Do you think those days are over?
											Who is going to guide,
who is going to control,
											and who is going to create those norms?
									","
											BF: Genel kurallar ve kendi kendine
yönetişim demişken
											internet için genel kurallar
ve normlar oluşturmak için
											hayat boyu çalıştınız.
											Sizce bu günler geride mi kaldı?
											Bu normları kim kontrol edecek,
kim bunlara yön verecek
											ve dahası bunları artık kim oluşturacak?
									","
											BF: Então, falando de diretrizes
e de autogovernação,
											passaste a vida inteira
a criar diretrizes e normas
											para a Internet.
											Pensas que esses dias terminaram?
											Quem irá orientar, quem irá controlar,
											e quem irá criar essas normas?
									","
											BF: Hablando de lineamientos
y de auto-gobierno,
											Ud. ha pasado toda su vida
creando lineamientos y normas
											para Internet.
											¿Cree Ud. que esos días terminaron?
											¿Quién va a guiar, quién va a controlar,
											y quién va a crear esas normas?
									","
											BF : En parlant de règles
et d'autogestion,
											vous avez passé une vie entière
à créer des règles et des normes
											pour Internet.
											Cette époque est-elle révolue ?
											Qui va orienter, contrôler
											et créer ces normes ?
									",What everyday citizens can do to claim power on the internet,Fadi Chehadé and Bryn Freedman,8:34,"Internet,future,economics,humanity,society,community,technology"
