en,es,pt,fr,tr,title,speaker,duration,tags
"
","
","
","
","
",Is your country at risk of becoming a dictatorship? Here's how to know,Farida Nabourema,11:18,"activism,protests,social change,democracy,Africa,politics,leadership,corruption,society"
"
											A few weeks ago,
											somebody tweeted during the midterm
elections in the United States
											that Election Day
should be made a holiday.
											And I retweeted, saying,
											""Well, you're welcome to come
to my country and vote.
											You'll get the whole week off
to allow the military to count it.""
									","
											Hace pocas semanas,
											durante las elecciones parciales
de EE. UU, alguien tuiteó
											que el día de las elecciones
debería convertirse en festivo.
											Y lo retuiteé con el comentario:
											""Bueno, te invitó a que 
vengas a votar en mi país.
											Te darán toda la semana libre
para que el ejército cuente los votos"".
									","
											Há algumas semanas,
											alguém disse num ""tweet"" durante
as eleições intermédias nos EUA
											que o Dia de Eleições devia ser feriado.
											E eu respondi ao ""tweet"", dizendo:
											""Bem, está convidado a vir
até ao meu país e votar.
											""Tem toda a semana de folga para
deixar os militares fazerem a contagem.""
									","
											Il y a quelques semaines,
											quelqu'un a tweeté durant les élections
américaines de mi-mandat
											que le jour des élections
devrait être un jour férié.
											J'ai retweeté en disant :
											« Vous pouvez venir dans mon pays voter.
											Vous aurez une semaine de congé
											pour laisser le temps
à l'armée de compter. »
									","
											Birkaç hafta önce,
											ABD ara seçimleri sırasında atılmış 
bir tweet gördüm.
											Seçim gününün 
tatil olması gerektiği yazıyordu.
											Tweet'i alıntılayarak,
											""İstiyorsan benim ülkeme gelip 
oy verebilirsin.
											Ordunun oyları sayması için
bir hafta tatilimiz var"" dedim.
									",Is your country at risk of becoming a dictatorship? Here's how to know,Farida Nabourema,11:18,"activism,protests,social change,democracy,Africa,politics,leadership,corruption,society"
"
","
","
","
","
",Is your country at risk of becoming a dictatorship? Here's how to know,Farida Nabourema,11:18,"activism,protests,social change,democracy,Africa,politics,leadership,corruption,society"
"
											I come from Togo, by the way.
											It is a beautiful country
located in West Africa.
											There are some cool,
interesting facts about my country.
											Togo has been ruled
by the same family for 51 years,
											making us the oldest autocracy in Africa.
											That's a record.
											We have a second-coolest record:
											we have been ranked three times
as the unhappiest country on earth.
											You are all invited.
									","
											Soy de Togo, por cierto.
											Es un país precioso de África Occidental.
											Aquí van algunos datos
interesantes sobre mi país:
											Togo lleva 51 años bajo
el control de una misma familia,
											lo que nos convierte en 
la autocracia más antigua de África.
											Es un récord.
											Tenemos un segundo récord:
											Hemos sido elegidos tres veces
la nación más infeliz del planeta.
											Están todos invitados.
									","
											Eu venho do Togo, já agora.
											É um país lindo
localizado na África Ocidental.
											Existem alguns factos giros,
interessantes sobre o meu país.
											O Togo é governado pela mesma família
há 51 anos,
											tornando-nos na autocracia
mais antiga de África.
											É um recorde.
											Temos um segundo recorde mais fixe:
											já fomos classificados três vezes
como o país mais infeliz do mundo.
											Estão todos convidados.
									","
											Je viens du Togo, au passage.
											C'est un magnifique pays
situé en Afrique de l'ouest.
											Voici quelques faits cools
et intéressants au sujet de mon pays.
											Le Togo est dirigé depuis 51 ans
par la même famille,
											faisant de nous la plus ancienne
autocratie d'Afrique.
											C'est un record.
											Un autre record, plus cool :
											nous avons été classés trois fois
											comme le pays le plus
malheureux sur Terre.
											Vous êtes tous invités.
									","
											Togoluyum bu arada.
											Batı Afrika'da, güzel bir ülke.
											Yalnız ülkemle ilgili farklı olan
bazı şeyler var.
											Togo son 51 yıldır, aynı ailenin üyeleri
tarafından yönetiliyor,
											bu da bizi Afrika'da otokrasi ile
yönetilen en eski ülke yaptı.
											Bu bir rekor.
											Farklı olan bir başka şey de
											üç kez dünya üzerindeki 
en mutsuz ülke olarak seçilmemiz.
											Ülkemize hepiniz davetlisiniz.
									",Is your country at risk of becoming a dictatorship? Here's how to know,Farida Nabourema,11:18,"activism,protests,social change,democracy,Africa,politics,leadership,corruption,society"
"
","
","
","
","
",Is your country at risk of becoming a dictatorship? Here's how to know,Farida Nabourema,11:18,"activism,protests,social change,democracy,Africa,politics,leadership,corruption,society"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Rires)
									","
											(Gülüşmeler)
									",Is your country at risk of becoming a dictatorship? Here's how to know,Farida Nabourema,11:18,"activism,protests,social change,democracy,Africa,politics,leadership,corruption,society"
"
","
","
","
","
",Is your country at risk of becoming a dictatorship? Here's how to know,Farida Nabourema,11:18,"activism,protests,social change,democracy,Africa,politics,leadership,corruption,society"
"
											So just to let you know,
											it's not very cool
to live under an autocracy.
											But the interesting thing is that I have
met, throughout the course of my activism,
											so many people from different countries,
											and when I tell them about Togo,
their reaction is always,
											""How can you guys allow the same people
to terrorize you for 51 years?
											You know, like, you Togolese,
you must be very patient.""
											That's their diplomatic way
of saying ""stupid.""
									","
											Así que, para que lo sepan,
											vivir en una autocracia
no es tan maravilloso.
											Lo más interesante es que en
el transcurso de mi activismo he conocido
											mucha gente de distintos países
											y cuando les hablo de Togo
siempre reaccionan igual.
											""¿Cómo han permitido que esas personas
los hayan aterrorizado durante 51 años?
											Quiero decir, los togoleses
deben de ser muy pacientes"".
											Esa es su manera diplomática
de llamarnos ""estúpidos"".
									","
											Para que saibam,
											não é muito agradável
viver sob uma autocracia.
											Mas o mais interessante é que,
durante o meu activismo,
											tenho conhecido, muitas pessoas
de diferentes países,
											e quando lhes conto algo sobre o Togo,
a reacção é sempre:
											""Como é que vocês deixam a mesma gente
aterrorizar-vos durante 51 anos?""
											""Vocês, os togoleses,
devem ser muito pacientes.""
											É a forma diplomática
de dizerem ""estúpidos"".
									","
											Que vous le sachiez,
											il n'est pas très cool
de vivre sous une autocratie.
											Mais ce qui est intéressant
c'est que j'ai rencontré,
											durant mon activisme,
											de nombreuses personnes
venant d'autres pays
											et quand je leur parle du Togo,
leur réaction est toujours :
											« Comment pouvez-vous laisser
											les mêmes personnes
vous opprimer durant 51 ans ?
											Vous, les Togolais,
devez être très patients. »
											C'est leur façon diplomatique
de dire « stupides ».
									","
											Yani bilin diye söylüyorum,
											otokrasi ile yönetilmek
pek de iyi sayılmaz.
											Şaşırtıcı ama aktivist yaşamım 
boyunca karşılaştığım,
											farklı ülkelerden birçok insan,
											Togo'yu anlattığımda bana
ne diyorlar biliyor musunuz?
											""Nasıl 51 yıl boyunca aynı insanların
sizi sindirmesine izin verebilirsiniz?
											Siz Togo halkı
çok sabırlı insanlar olmalısınız.""
											Bu birisine ""aptal"" demenin
daha kibar hâli sadece.
									",Is your country at risk of becoming a dictatorship? Here's how to know,Farida Nabourema,11:18,"activism,protests,social change,democracy,Africa,politics,leadership,corruption,society"
"
","
","
","
","
",Is your country at risk of becoming a dictatorship? Here's how to know,Farida Nabourema,11:18,"activism,protests,social change,democracy,Africa,politics,leadership,corruption,society"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Rires)
									","
											(Gülüşmeler)
									",Is your country at risk of becoming a dictatorship? Here's how to know,Farida Nabourema,11:18,"activism,protests,social change,democracy,Africa,politics,leadership,corruption,society"
"
","
","
","
","
",Is your country at risk of becoming a dictatorship? Here's how to know,Farida Nabourema,11:18,"activism,protests,social change,democracy,Africa,politics,leadership,corruption,society"
"
											And when you live in a free country,
											there's this tendency of assuming
that those who are oppressed
											tolerate their oppression
or are comfortable with it,
											and democracy is projected
as a progressive form of governance
											in such a way that those people
who don't live under democratic countries
											are seen as people who are not
intellectually or maybe morally
											as advanced as others.
									","
											Cuando vives en un país libre,
											existe la tendencia a asumir
que aquellos que viven oprimidos
											toleran su opresión o incluso, 
están conformes con ella,
											y la democracia se proyecta como
una forma de gobierno progresista
											de manera que esa gente
que no vive en países democráticos
											son consideradas menos avanzadas
moral e intelectualmente que otras.
									","
											E quando se vive num país livre,
											há a tendência de assumir
que aqueles que são oprimidos
											toleram a opressão
ou estão confortáveis com ela,
											e a democracia é descrita
como uma forma de governo progressista
											em tal medida que essas pessoas
que não vivem em países democráticos
											são vistas como pessoas que não são
intelectualmente ou mesmo moralmente
											tão avançadas como as outras.
									","
											Quand vous vivez dans un pays libre,
											il y a cette tendance à supposer
que ceux qui sont opprimés
											tolèrent leur oppression
ou se sentent bien sous l'oppression
											et une démocratie est projetée comme
une forme de gouvernance progressiste
											dans le sens où les gens ne vivant pas
dans des pays démocratiques
											sont perçus comme des gens
intellectuellement ou moralement
											pas aussi avancés que les autres.
									","
											Özgür bir ülkede yaşayanların,
											demokrasinin ilerici bir yönetim şekli
olarak ortaya çıktığını,
											onunla yönetilmeyen,
yani baskıcı rejimle yönetilen
											ve buna karşı çıkmayan 
ya da bununla mutlu olan insanların
											eğitimsel ve ahlaki olarak
											diğerleri kadar iyi olamayacağına
											inanma eğilimi var.
									",Is your country at risk of becoming a dictatorship? Here's how to know,Farida Nabourema,11:18,"activism,protests,social change,democracy,Africa,politics,leadership,corruption,society"
"
","
","
","
","
",Is your country at risk of becoming a dictatorship? Here's how to know,Farida Nabourema,11:18,"activism,protests,social change,democracy,Africa,politics,leadership,corruption,society"
