en,es,fr,tr,de,title,speaker,duration,tags
"
","
","
","
","
",Easy DIY projects for kid engineers,Fawn Qiu,7:03,"children,education,computers,innovation,personal growth,design,programming,invention,engineering,technology,teaching,creativity,TED Residency"
"
											I design engineering projects
											for middle school
and high school students,
											often using materials
that are pretty unexpected.
											My inspiration comes
from problems in my daily life.
											For example,
											one time I needed a costume
to go to a comic convention,
											but I didn't want to spend too much money,
											so I made my own ...
											with a light-up crown and skirt.
									","
											Diseñé proyectos de ingeniería
											para estudiantes de primaria y secundaria,
											a menudo usando materiales
bastante inesperados.
											Mi inspiración viene de problemas 
de mi vida cotidiana.
											Por ejemplo,
											una vez necesitaba un traje
para ir a una convención de cómics,
											pero no quería gastar demasiado dinero,
											así que hice mis propias...
											corona y falda luminosas.
									","
											Je conçois des projets d'ingénierie
											pour des collégiens et des lycéens
											en utilisant souvent des matériaux
assez inattendus.
											Je puise mon inspiration des problèmes
de ma vie quotidienne.
											Par exemple,
											un jour, j'avais besoin d'un costume
pour aller à un festival de la BD,
											mais je ne voulais pas
dépenser trop d'argent,
											donc j'ai fabriqué mon propre costume...
											avec une guirlande lumineuse et une jupe.
									","
											Ortaokul ve lise öğrencileri için
											mühendislik projeleri tasarlıyorum.
											Daha çok beklenmedik
malzemeler kullanıyorum.
											İlhamım günlük problemlerimden geliyor.
											Mesela,
											bir kez, çizgi film toplantısına gitmek
için bir kostüme ihtiyaç duydum
											ama çok para harcamak da istemiyordum,
											ben de kendim yaptım...
											ışıklı bir taç ve etekle.
									","
											Ich entwerfe technische Projekte
											für Schüler zwischen 11 und 18 Jahren,
											wobei ich oft ziemlich 
unerwartete Materialen verwende.
											Inspiration ziehe ich dabei
aus alltäglichen Problemen.
											Zum Beispiel brauchte ich
einmal ein Kostüm,
											um an einer Comic-Tagung teilzunehmen,
											wobei ich nicht viel Geld 
ausgeben wollte.
											Mein selbst kreiertes Kostüm
											hatte eine leuchtende Krone 
und einen leuchtenden Rock.
									",Easy DIY projects for kid engineers,Fawn Qiu,7:03,"children,education,computers,innovation,personal growth,design,programming,invention,engineering,technology,teaching,creativity,TED Residency"
"
","
","
","
","
",Easy DIY projects for kid engineers,Fawn Qiu,7:03,"children,education,computers,innovation,personal growth,design,programming,invention,engineering,technology,teaching,creativity,TED Residency"
"
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									",Easy DIY projects for kid engineers,Fawn Qiu,7:03,"children,education,computers,innovation,personal growth,design,programming,invention,engineering,technology,teaching,creativity,TED Residency"
"
","
","
","
","
",Easy DIY projects for kid engineers,Fawn Qiu,7:03,"children,education,computers,innovation,personal growth,design,programming,invention,engineering,technology,teaching,creativity,TED Residency"
"
											Another time,
											I was devastated
because my favorite mobile game,
											Flappy Bird,
											was being taken off the app store.
									","
											Otra vez,
											estaba devastada porque habían sacado 
mi juego favorito para móviles,
											Flappy Bird,
											lo habían sacado del app store.
									","
											Une autre fois,
											j'étais anéantie
parce que mon jeu préféré sur mobile,
											Flappy Bird,
											avait être retiré de l'App Store.
									","
											Bir başka seferde,
											en sevdiğim telefon oyunu,
Flappy Bird,
											app store'dan
											çıkarılınca çok üzülmüştüm.
									","
											Ein anderes Mal war ich am Boden zerstört,
											als mein liebstes Handyspiel,
											Flappy Bird,
											aus dem App-Store genommen wurde.
									",Easy DIY projects for kid engineers,Fawn Qiu,7:03,"children,education,computers,innovation,personal growth,design,programming,invention,engineering,technology,teaching,creativity,TED Residency"
"
","
","
","
","
",Easy DIY projects for kid engineers,Fawn Qiu,7:03,"children,education,computers,innovation,personal growth,design,programming,invention,engineering,technology,teaching,creativity,TED Residency"
"
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									",Easy DIY projects for kid engineers,Fawn Qiu,7:03,"children,education,computers,innovation,personal growth,design,programming,invention,engineering,technology,teaching,creativity,TED Residency"
"
","
","
","
","
",Easy DIY projects for kid engineers,Fawn Qiu,7:03,"children,education,computers,innovation,personal growth,design,programming,invention,engineering,technology,teaching,creativity,TED Residency"
"
											So I was faced with the dilemma
											to either never update my phone
or never play Flappy Bird again.
									","
											Así que me enfrenté al dilema
											de no actualizar el teléfono
o nunca volver a jugar Flappy Bird.
									","
											J'étais donc face à un dilemme :
											soit ne plus jamais
mettre à jour mon téléphone,
											soit ne plus jamais
jouer à Flappy Bird.
									","
											Bir ikilem içinde kaldım.
											Ya telefonumu hiç güncellemeyecektim
ya da artık Flappy Bird oynamayacaktım.
									","
											Also stand ich vor dem Problem,
											mein Telefon nie wieder zu aktualisieren
oder nie wieder Flappy Bird zu spielen.
									",Easy DIY projects for kid engineers,Fawn Qiu,7:03,"children,education,computers,innovation,personal growth,design,programming,invention,engineering,technology,teaching,creativity,TED Residency"
"
","
","
","
","
",Easy DIY projects for kid engineers,Fawn Qiu,7:03,"children,education,computers,innovation,personal growth,design,programming,invention,engineering,technology,teaching,creativity,TED Residency"
"
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									",Easy DIY projects for kid engineers,Fawn Qiu,7:03,"children,education,computers,innovation,personal growth,design,programming,invention,engineering,technology,teaching,creativity,TED Residency"
"
","
","
","
","
",Easy DIY projects for kid engineers,Fawn Qiu,7:03,"children,education,computers,innovation,personal growth,design,programming,invention,engineering,technology,teaching,creativity,TED Residency"
"
											Unhappy with both options,
											I did the only thing
that made sense to me.
											I made a physical version of Flappy Bird
											that could never be
taken off the app store.
									","
											Poco feliz con ambas opciones,
											hice lo único que tenía sentido para mí.
											Hice una versión física de Flappy Bird
											que nunca pudieran sacar del app store.
									","
											Comme aucune de ces options
ne me séduisait,
											j'ai fais ce qui me semblait
la seule chose à faire.
											J'ai fabriqué une version physique 
de Flappy Bird
											impossible à retirer de l'App Store !
									","
											Ben bu iki seçeneğin de
											beni mutsuz ettiğini hissederek 
mantıklı olan şeyi yaptım.
											Flappy Bird'in app store'den bir daha asla

											çıkarılamayacak fiziki versiyonunu yaptım.
									","
											Ich war unzufrieden
mit beiden Optionen,
											daher habe ich das für mich
einzig Sinnvolle getan:
											Ich fertigte eine physische Version
von Flappy Bird an,
											die niemals aus dem App-Store
entfernt werden kann.
									",Easy DIY projects for kid engineers,Fawn Qiu,7:03,"children,education,computers,innovation,personal growth,design,programming,invention,engineering,technology,teaching,creativity,TED Residency"
"
","
","
","
","
",Easy DIY projects for kid engineers,Fawn Qiu,7:03,"children,education,computers,innovation,personal growth,design,programming,invention,engineering,technology,teaching,creativity,TED Residency"
"
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									",Easy DIY projects for kid engineers,Fawn Qiu,7:03,"children,education,computers,innovation,personal growth,design,programming,invention,engineering,technology,teaching,creativity,TED Residency"
"
","
","
","
","
",Easy DIY projects for kid engineers,Fawn Qiu,7:03,"children,education,computers,innovation,personal growth,design,programming,invention,engineering,technology,teaching,creativity,TED Residency"
"
											(Music)
									","
											(Música)
									","
											(Musique)
									","
											(Müzik)
									","
											(Musik)
									",Easy DIY projects for kid engineers,Fawn Qiu,7:03,"children,education,computers,innovation,personal growth,design,programming,invention,engineering,technology,teaching,creativity,TED Residency"
"
","
","
","
","
",Easy DIY projects for kid engineers,Fawn Qiu,7:03,"children,education,computers,innovation,personal growth,design,programming,invention,engineering,technology,teaching,creativity,TED Residency"
"
											(Beeping)
									","
											(Pitido)
									","
											(Signaux sonores)
									","
											(Bip sesi)
									","
											(Piepgeräusche)
									",Easy DIY projects for kid engineers,Fawn Qiu,7:03,"children,education,computers,innovation,personal growth,design,programming,invention,engineering,technology,teaching,creativity,TED Residency"
"
","
","
","
","
",Easy DIY projects for kid engineers,Fawn Qiu,7:03,"children,education,computers,innovation,personal growth,design,programming,invention,engineering,technology,teaching,creativity,TED Residency"
"
											(Music)
									","
											(Música)
									","
											(Musique)
									","
											(Müzik)
									","
											(Musik)
									",Easy DIY projects for kid engineers,Fawn Qiu,7:03,"children,education,computers,innovation,personal growth,design,programming,invention,engineering,technology,teaching,creativity,TED Residency"
"
","
","
","
","
",Easy DIY projects for kid engineers,Fawn Qiu,7:03,"children,education,computers,innovation,personal growth,design,programming,invention,engineering,technology,teaching,creativity,TED Residency"
"
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									",Easy DIY projects for kid engineers,Fawn Qiu,7:03,"children,education,computers,innovation,personal growth,design,programming,invention,engineering,technology,teaching,creativity,TED Residency"
"
","
","
","
","
",Easy DIY projects for kid engineers,Fawn Qiu,7:03,"children,education,computers,innovation,personal growth,design,programming,invention,engineering,technology,teaching,creativity,TED Residency"
