en,tr,de,pt,fr,title,speaker,duration,tags
"
","
","
","
","
",How we use astrophysics to study earthbound problems,Federica Bianco,5:17,"astronomy,universe,physics,space,pollution,urban,cities,science,complexity,sustainability,TED Fellows"
"
											I am an astrophysicist.
											I research stellar explosions
across the universe.
											But I have a flaw:
											I'm restless, and I get bored easily.
											And although as an astrophysicist,
I have the incredible opportunity
											to study the entire universe,
											the thought of doing
only that, always that,
											makes me feel caged and limited.
											What if my issues with
keeping attention and getting bored
											were not a flaw, though?
											What if I could turn them into an asset?
									","
											Ben bir astrofizikçiyim.
											Evrendeki yıldız 
patlamalarını araştırıyorum.
											Ancak bir kusurum var:
											Tez canlıyım ve çok kolay sıkılıyorum.
											Bir astrofizikçi olmama rağmen
											tüm evreni araştırmak gibi
harika bir olanağım var,
											sadece bunu, her zaman
bunu yapma düşüncesi
											beni hapsolmuş 
ve kısıtlanmış hissettiriyor.
											Peki ya dikkatimi sürdürmek ve sıkılmakla 
ilgili olan sorunlarım bir kusur değilse?
											Peki ya onları değerli bir niteliğe 
dönüştürebilseydim?
									","
											Ich bin Astrophysikerin.
											Ich erforsche stellare Explosionen
im ganzen Universum.
											Doch ich habe eine Schwachstelle:
											Ich bin ruhelos und leicht gelangweilt.
											Und obwohl sich mir als Astrophysikerin
die Möglichkeit zur Untersuchung
											des gesamten Universums bietet,
											lässt mich die Vorstellung
nur dem mein Leben zu widmen
											gefangen und eingeschränkt fühlen.
											Doch was, wenn meine fehlende Fixierung
											keine Schwachstelle ist?
											Wenn ich sie nutzen könnte?
									","
											Eu sou astrofísica.
											Investigo explosões estelares
pelo universo.
											Mas tenho um defeito:
											sou inquieta e aborreço-me facilmente.
											E, apesar de, como astrofísica,
ter a oportunidade incrível
											de estudar todo o universo,
											o pensamento de fazer
apenas isso, sempre isso,
											faz-me sentir presa e limitada.
											E se os meus problemas 
em manter a atenção e aborrecer-me
											deixassem de ser um defeito?
											E se pudesse transformá-los 
numa vantagem?
									","
											Je suis astrophysicienne.
											Je recherche des explosions stellaires
dans l'univers entier.
											Mais j'ai un défaut.
											Je suis impatiente
et je me lasse facilement.
											Bien qu'en tant qu'astrophysicienne, 
j'aie l'opportunité incroyable
											d'étudier l'univers entier,
											cette idée de ne faire que cela
et toujours cela,
											me fait me sentir enfermée et limitée.
											Et si mes problèmes d'attention et d'ennui
											n'étaient pas un défaut ?
											Et si je pouvais
les transformer en un atout ?
									",How we use astrophysics to study earthbound problems,Federica Bianco,5:17,"astronomy,universe,physics,space,pollution,urban,cities,science,complexity,sustainability,TED Fellows"
"
","
","
","
","
",How we use astrophysics to study earthbound problems,Federica Bianco,5:17,"astronomy,universe,physics,space,pollution,urban,cities,science,complexity,sustainability,TED Fellows"
"
											An astrophysicist cannot
touch or interact with
											the things that she studies.
											No way to explode a star in a lab
to figure out why or how it blew up.
											Just pictures and movies of the sky.
											Everything we know about the universe,
											from the big bang
that originated space and time,
											to the formation and evolution
of stars and galaxies,
											to the structure of our own solar system,
											we figured out studying images of the sky.
											And to study a system
as complex as the entire universe,
											astrophysicists are experts
at extracting simple models and solutions
											from large and complex data sets.
											So what else can I do with this expertise?
									","
											Bir astrofizikçi araştırdığı şeylere
dokunamaz veya etkileşimde bulunamaz.
											Neden veya nasıl patladığını bulmak için
											laboratuvarda bir yıldızı 
patlatmanın hiçbir yolu yok.
											Sadece resimler ve gökyüzünün videoları.
											Evren hakkında bildiğimiz her şeyi,
											uzay ve zamanı yaratan 
büyük patlamadan tutun
											yıldızların ve galaksilerin 
oluşumuna ve evrimine,
											kendi Güneş sistemimizin 
yapısına kadar her şeyi
											gökyüzünün resimlerini inceleyerek bulduk.
											Tüm evren kadar karışık 
bir sistemi incelemek için
											astrofizikçiler ve uzmanlar
büyük ve karışık veri setlerinden
											örnek modeller ve çözümler çıkarıyorlar.
											O hâlde bu uzmanlıkla
başka ne yapabiliriz?
									","
											Eine Astrophysikerin kann nicht
mit ihren Studienobjekten interagieren.
											Eine Explosion im Labor
zur genaueren Untersuchung geht nicht.
											Nur Bilder und Videos des Himmels.
											All unser Wissen über das Universum
											seit dem Urknall,
der Raum und Zeit hervorbrachte,
											über die Entstehung und Evolution
von Sternen und Galaxien
											bis zur Struktur unseres Sonnensystems
											haben wir aus Himmelsaufnahmen gewonnen.
											Um ein so komplexes System wie
das gesamte Universum zu erfoschen,
											sind Astrophysiker Meister im Aufstellen
mathematischer Modelle und Lösungen
											aus großen und komplexen Datenmengen.
											Wofür kann ich diese Expertise
noch verwenden?
									","
											Um astrofísico não pode tocar 
ou interagir com as coisas que estuda.
											Não há forma de fazer explodir 
uma estrela num laboratório
											para compreender porquê e como explodiu.
											Apenas fotos e filmes do espaço.
											Tudo o que sabemos acerca do universo,
											desde o Big Bang que originou 
o tempo e o espaço,
											à formação e evolução 
das estrelas e galáxias,
											até à estrutura do nosso próprio 
sistema solar,
											todos os estudos são feitos 
através de imagens do espaço.
											E para estudar um sistema 
tão complexo como o universo,
											os astrofísicos são especialistas 
em extrair modelos e soluções simples
											de conjuntos de dados longos e complexos.
											Então que mais posso fazer
com este conhecimento?
									","
											Une astrophysicienne ne peut pas
toucher ou interagir
											avec les choses qu'elle étudie.
											On n'explose pas d'étoile dans un labo
pour comprendre le phénomène.
											Nous n'avons que des images
et des vidéos du ciel.
											Tout ce que nous savons de l'univers,
											du Big Bang qui est à l'origine
de l'espace et du temps,
											de la formation, de l'évolution
des étoiles et des galaxies,
											de la structure de notre
propre système solaire,
											nous l'avons découvert en étudiant
des images du ciel.
											Pour étudier un système
aussi complexe qu'est l'univers entier,
											les astrophysiciens savent extraire
des modèles et des solutions simples
											à partir d'ensembles de données
vastes et complexes.
											Alors, que puis-je faire d'autre
avec cette expertise ?
									",How we use astrophysics to study earthbound problems,Federica Bianco,5:17,"astronomy,universe,physics,space,pollution,urban,cities,science,complexity,sustainability,TED Fellows"
"
","
","
","
","
",How we use astrophysics to study earthbound problems,Federica Bianco,5:17,"astronomy,universe,physics,space,pollution,urban,cities,science,complexity,sustainability,TED Fellows"
"
											What if we turned the camera
around towards us?
											At the Urban Observatory,
that is exactly what we are doing.
											Greg Dobler, also an astrophysicist
											and my husband,
											created the first urban observatory
in New York University in 2013,
											and I joined in 2015.
											Here are some of the things that we do.
											We take pictures of the city at night
											and study city lights like stars.
											By studying how light changes over time
											and the color of astronomical lights,
											I gain insight about the nature
of exploding stars.
											By studying city lights the same way,
											we can measure and predict how much energy
the city needs and consumes
											and help build a resilient grid
											that will support the needs
of growing urban environments.
									","
											Peki kamerayı kendimize 
doğrultsak ne olurdu?
											Urban Observatory'de 
yaptığımız şey tam olarak da bu.
											Bir astrofizikçi olan kpcam Greg Dobler
											2013'te New York Üniversitesi'nde
ilk şehir gözlemevini kurdu
											ve ben de 2015'te katıldım.
											Yaptığımız bazı şeyler şunlar:
											Geceleyin şehrin resimlerini çekiyoruz
											ve şehir ışıklarını 
yıldızlar gibi inceliyoruz.
											Işıkların zaman içinde nasıl değiştiğini
											ve astronomik ışıkların 
rengini inceleyerek
											patlayan yıldızların doğası 
hakkında fikir sahibi oluyorum.
											Aynı şekilde şehir ışıklarını inceleyerek
											şehrin ne kadar enerjiye gerek duyduğunu,
tükettiğini ölçüp tahmin edebiliyoruz
											ve kentsel çevrenin büyümesini
veya ihtiyaçlarını destekleyecek
											dayanaklı bir sistem kurmaya 
yardımcı olabiliyoruz.
									","
											Was, wenn wir die Kamera
auf uns selbst richten?
											Am Urban Observatory machen wir genau das.
											Greg Dobler — auch Astrophysiker
											und mein Ehemann —
											hat 2013 das erste urbane Observatorium
der Universität New York geschaffen,
											dem ich 2015 beitrat.
											Hier sind einige unserer Tätigkeiten.
											Wir fotografieren die Stadt bei Nacht
											und analysieren die Lichter wie Sterne.
											Durch die Veränderung des Lichts
											und der Lichtfarbe
											gewinne ich Erkenntnisse
über explodierende Sterne.
											Indem wir das Stadtlicht
gleichermaßen untersuchen,
											können wir den Energieverbrauch
in der Stadt messen
											und beim Aufbau eines leistungsfähigen
Stromnetzes für wachsende Kommunen helfen.
									","
											E se virássemos a câmara 
para nós mesmos?
											No Observatório Urbano, 
é exactamente isso que fazemos.
											Greg Dobler, também um astrofísico
											e meu marido,
											criou o primeiro observatório urbano
em Nova Iorque, em 2013,
											a que me juntei em 2015.
											Aqui estão algumas
das coisas que fazemos:
											Nós tiramos fotos da cidade à noite
											e estudamos as luzes da cidade, 
como estrelas.
											Ao estudar como mudam as luzes 
durante um período de tempo
											e a cor das luzes astronómicas,
											obtenho uma ideia do processo
da explosão das estrelas.
											Ao estudar as luzes da cidade 
da mesma forma,
											podemos medir e prever
											quanta energia a cidade precisa e consome
											e ajudar a elaborar uma rede resiliente
											que satisfaça as necessidades
do crescente ambiente urbano.
									","
											Et si l'on retournait
la caméra vers nous ?
											A l'Observatoire Urbain,
c'est précisément ce que nous faisons.
											Greg Dobler, astrophysicien comme moi
											et mon mari,
											a créé le premier observatoire urbain
à l'Université de New York en 2013
											et je l'ai rejoint en 2015.
											Voici quelques-uns de nos travaux.
											La nuit, nous prenons
des photos de la ville
											et nous étudions sa lumière
comme celle des étoiles.
											En étudiant comment la lumière évolue
											et la couleur des lumières astronomiques,
											j'en apprends plus sur la nature
des étoiles qui explosent.
											En étudiant la lumière urbaine
de la même façon,
											nous pouvons mesurer et prédire
la consommation et les besoins d'énergie
											et aider à concevoir un réseau robuste
											qui soutiendra les exigences
des zones urbaines en pleine expansion.
									",How we use astrophysics to study earthbound problems,Federica Bianco,5:17,"astronomy,universe,physics,space,pollution,urban,cities,science,complexity,sustainability,TED Fellows"
"
","
","
","
","
",How we use astrophysics to study earthbound problems,Federica Bianco,5:17,"astronomy,universe,physics,space,pollution,urban,cities,science,complexity,sustainability,TED Fellows"
"
											In daytime images,
we capture plumes of pollution.
											Seventy-five percent
of greenhouse gases in New York City
											come from a building like this one,
burning oil for heat.
											You can measure pollution
with air quality sensors.
											But imagine putting a sensor
on each New York City building,
											reading in data from a million monitors.
											Imagine the cost.
											With a team of NYU students,
we built a mathematical model,
											a neural network that can detect
and track these plumes
											over the New York City skyline.
											We can classify them —
											harmless steam plumes,
white and evanescent;
											polluting smokestacks,
dark and persistent —
											and provide policy makers
with a map of neighborhood pollution.
									","
											Gündüz resimlerinde
kirliliğin dumanlarını yakalıyoruz.
											New York'taki sera gazlarının yüzde 75'i
											bunun gibi ısı için petrol 
yakan bir binadan geliyor.
											Hava kirliliği sensörleri ile
kirliliği ölçebilirsiniz.
											Ancak her New York binasının üzerine
bir sensör koyduğunuzu hayal edin,
											bir milyon monitörden veri okurdu.
											Masrafı hayal edin.
											NYU öğrencilerinden oluşan bir ekiple
matematiksel bir model yaptık,
											New York üzerindeki 
bu dumanları belirleyebilen
											ve takip edebilen bir sinir ağı.
											Onları şöyle sınıflandırabiliriz —
											Zararsız buhar dumanları, 
beyaz ve gözden çabuk kaybolan;
											kirletici bacalar, siyah ve kalıcı —
											ve siyasete yön verenlere semt 
kirliliğinin haritasını temin edebiliriz.
									","
											Durch Tagaufnahmen erfassen wir Abgase.
											75% aller Treibhausgase in New York City
											kommen von Gebäuden wie diesem hier
bei der Ölverbrennung zum Heizen.
											Man kann die Luftverschmutzung
mit Sensoren messen.
											Aber einen Sensor auf jedem Gebäude
in New York City zu installieren
											und Millionen Monitore zu überwachen.
											Stellen Sie sich die Kosten vor!
											Mit einigen Studenten der NYU entwickeln
wir ein mathematisches Modell,
											ein neuronales Netzwerk zum Aufspüren
dieser Abgaswolken in der Stadt.
											Wir klassifizieren sie —
											harmlose Dampfwolken,
weiß und dahinschwindend;
											schmutzige Abgase; dunkel und langlebig —
											und geben den Politikern eine Karte
der Luftverschmutzung in den Vierteln.
									","
											Nas imagens diurnas,
captamos névoas de poluição.
											75% dos gases com efeito de estufa 
na cidade de Nova Iorque
											são provenientes de edifícios como este,
que queimam petróleo para aquecimento.
											Podemos medir a poluição 
com sensores de qualidade do ar.
											Mas imaginem colocar um sensor
em cada edifício da cidade de Nova Iorque,
											ler dados de um milhão de monitores.
											Imaginem os custos.
											Com uma equipa de estudantes da NYU,
construímos um modelo matemático,
											uma rede central que pode detectar
e rastrear essas névoas,
											sobre o céu de Nova Iorque.
											Podemos classificá-las:
											Inofensivas névoas de vapor, 
brancas e passageiras;
											chaminés de fumo poluente, 
negro e persistente,
											e fornecer aos governantes
um mapa da poluição dos bairros.
									","
											Dans les images prises en journée,
on voit des panaches de pollution.
											75% des gaz à effet de serre de New York
											proviennent de bâtiments comme celui-ci
qui brûlent du pétrole pour se chauffer.
											On peut mesurer la pollution
avec des capteurs
											mais si vous voulez mettre un capteur
sur chaque immeuble new-yorkais
											et lire les données
d'un million d'appareils,
											imaginez le coût.
											Avec une équipe d'étudiants de NYU,
on a conçu un modèle mathématique,
											un réseau de neurones artificiel
qui peut détecter et suivre ces fumées
											au-dessus des immeubles new-yorkais.
											On peut les classer —
											vapeurs inoffensives, blanches et fugaces,
											ou fumées de cheminée polluantes,
sombres et persistantes —
											et fournir une carte de la pollution
du quartier aux législateurs.
									",How we use astrophysics to study earthbound problems,Federica Bianco,5:17,"astronomy,universe,physics,space,pollution,urban,cities,science,complexity,sustainability,TED Fellows"
"
","
","
","
","
",How we use astrophysics to study earthbound problems,Federica Bianco,5:17,"astronomy,universe,physics,space,pollution,urban,cities,science,complexity,sustainability,TED Fellows"
"
											This cross-disciplinary project
created transformational solutions.
											But the data analysis methodologies
we use in astrophysics
											can be applied to all sorts of data,
											not just images.
											We were asked to help
a California district attorney
											understand prosecutorial delays
in their jurisdiction.
											There are people on probation
or sitting in jail,
											awaiting for trial sometimes for years.
											They wanted to know
what kind of cases dragged on,
											and they had a massive data set
to explore to understand it,
											but didn't have the expertise
											or the instruments
in their office to do so.
											And that's where we came in.
											I worked with my colleague,
public policy professor Angela Hawken,
											and our team first created
a visual dashboard
											for DAs to see and better understand
the prosecution process.
											But also, we ourselves
analyzed their data,
											looking to see if the duration
of the process
											suffered from social inequalities
in their jurisdiction.
											We did so using methods
											that I would use to classify
thousands of stellar explosions,
											applied to thousands of court cases.
											And in doing so,
											we built a model that can be applied
to other jurisdictions
											who are willing to explore their biases.
									","
											Bu çapraz disiplinli proje
dönüşümsel çözümler yarattı.
											Ancak astrofizikte kullandığımız 
veri analizi yöntemleri
											her tür veriye uygulanabilir,
											sadece resimlere değil.
											Bir Kaliforniya bölge savcısının
											yargıdaki gecikmeleri anlamasına
yardımcı olmamız istenmişti.
											Şartlı tahliyede veya hapiste 
olan insanlar var,
											bazen yıllarca duruşma için bekliyorlar.
											Bitmek bilmeyen ne tür davaların
olduğunu bilmek istediler
											ve bunu anlamak için bakılacak
devasa bir veri seti vardı
											ancak ofislerinde bunu yapacak
uzmanlıkları veya araçları yoktu.
											İşte bu noktada biz dâhil oluyoruz.
											Meslektaşım kamu politikası profesörü 
Angela Hawken ile çalıştım
											ve ekibimiz ilk olarak bölge savcılarının
yargılama sürecini görmesi
											ve daha iyi anlaması için 
görsel bir pano oluşturdu.
											Ama aynı zamanda 
biz de verilerini inceledik,
											sürecin süresinin yargılama güçlerindeki
											sosyal eşitsizliklerden
etkilenip etkilenmediğine baktık.
											Bunu, binlerce yıldız patlamasını 
sınıflandırmak için
											kullandığım yöntemleri kullanarak yaptık
											ve bu yöntemleri
binlerce davaya uyguladık.
											Bunu yaparken
											ön yargılarını keşfetmeye gönüllü olan
											diğer yargı yetkililerine 
uygulanabilecek bir model kurduk.
									","
											Dieses multidisziplinäre Projekt
hat revolutionäre Lösungen geschaffen.
											Doch die Datenanalysemethoden
der Astrophysik
											kann auf alle möglichen Daten
angewendet werden,
											nicht nur Bilder.
											Ein kalifornischer Staatsanwalt
fragte uns um Hilfe,
											zum Verständnis
der Verzögerungen bei Gericht.
											Manchmal warten Menschen
in Untersuchungshaft oder im Gefängnis
											Jahrelang auf ihre Verfahren.
											Er wollte wissen,
welche Fälle sich hinziehen
											und hatte dafür
einen gigantischen Datensatz.
											Doch die Expertise fehlte,
											ebenso wie die Analysegeräte.
											Und dort wurden wir aktiv.
											Ich arbeitete mit Professor Angela Hawken
für öffentliches Recht
											und wir entwickelten eine Übersicht
der Verfahrensprozesse
											für die Gerichtsangestellten.
											Doch wir untersuchten auch
											den Zusammenhang zwischen Prozesslänge
											und sozialen Ungleichheiten.
											Diese Methoden
											sind zur Klassifikation tausender
stellarer Explosionen gedacht
											und wurden nun im Gericht verwendet.
											Und dabei entwarfen wir ein Modell
für alle möglichen Gerichtsbezirke,
											die ihre Tendenzen untersuchen möchten.
									","
											Este projecto multidisciplinar
criou soluções transformativas.
											Mas os métodos de análise de dados
que usamos na astrofísica
											podem ser aplicados 
a todos os tipos de dados,
											não apenas a imagens.
											Pediram-nos para ajudar
um procurador do distrito da Califórnia
									","
											Ce projet interdisciplinaire
a créé des solutions de transformation.
											Toutefois, les méthodes d'analyse
utilisées en astrophysique
											fonctionnent avec d'autres
types de données,
											et pas seulement les images.
											On nous a demandé d'aider
un procureur de Californie
											à comprendre les retards
des poursuites de son tribunal.
											Il y a des gens en liberté
conditionnelle ou en prison
											qui attendent leur procès,
parfois plusieurs années.
											Ils voulaient savoir
quels dossiers s'éternisaient.
											Cela nécessitait d'explorer
un énorme ensemble de données
											mais ils n'avaient ni l'expertise,
ni les outils pour ce faire.
											C'est là que nous sommes intervenus.
											Je travaillais avec Angela Hawken,
professeur de politique publique,
											et notre équipe a commencé par créer
un tableau de bord visuel
											pour que les procureurs suivent mieux
les processus juridiques.
											Nous avons également analysé
les données nous-mêmes,
											pour regarder si la durée des procès
											traduisait des inégalités sociales
au sein de la justice.
											A l'aide de méthodes
											que j'utilisais pour répertorier
les explosions stellaires,
											des milliers de dossiers
judiciaires ont été classés.
											Ce faisant,
											le modèle construit pouvait
s'appliquer à d'autres juridictions
											disposées à examiner leurs failles.
									",How we use astrophysics to study earthbound problems,Federica Bianco,5:17,"astronomy,universe,physics,space,pollution,urban,cities,science,complexity,sustainability,TED Fellows"
