fr,en,es,de,title,speaker,duration,tags
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											""Le Meilleur homme""
									","
											""The Better Man.""
									","
											""El mejor hombre.""
									","
											""Der bessere Mann.""
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											J'étais le meilleur, pour prendre et pour garder.
									","
											I was the better at getting and keeping.
									","
											Yo fui el mejor en obtener y guardar.
									","
											Ich war besser im Haben und Halten.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Tu étais le meilleur, pour dépenser, dépenser.
									","
											You were the better at spend and spend;
									","
											Tú fuiste el mejor en gastar y gastar.
									","
											Du warst besser im Verschwenden;
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											J'étais le meilleur, pour déterrer et mettre en tas.
									","
											I was the better at grubbing and heaping,
									","
											Yo era el mejor en zampar y amontonar.
									","
											Ich war besser im Raffen und Ballen,
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Mais qui était le meilleur homme à la fin ?
									","
											But who was the better man in the end?
									","
											Pero ¿quién fue el mejor hombre al final?
									","
											Aber wer war am Ende der bessere Mann?
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Oui, qui était le meilleur homme, mon ami ?
									","
											Yes, who was the better man, my friend?
									","
											Sí, ¿quién fue el mejor hombre, mi amigo?
									","
											Ja, wer war der bessere Mann, mein Freund?
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
