de,en,tr,fr,title,speaker,duration,tags
"
","
","
","
",Sanitation is a basic human right,Francis de los Reyes,8:21,"TED Fellows,global issues,health,public health,sanitation,infrastructure"
"
											Ich bin Professor 
für Ingenieurwissenschaften,
											und über die letzten 14 Jahre
											habe ich Scheiße unterrichtet.
											(Gelächter)
											Nicht, dass ich
ein schlechter Lehrer wäre,
											aber ich lehre über und erforsche
											menschlichen Abfall
											und wie Abfall
											durch diese Klärwerke befördert wird,
											und wie wir Klärwerke entwickeln,
											so dass wir Oberflächenwasser
											wie Flüsse schützen können.
									","
											I am an engineering professor,
											and for the past 14 years
											I've been teaching crap.
											(Laughter)
											Not that I'm a bad teacher,
											but I've been studying and teaching
											about human waste
											and how waste is conveyed
											through these wastewater treatment plants,
											and how we engineer and design
											these treatment plants so that we can protect
											surface water like rivers.
									","
											Bir mühendislik profesörüyüm,
											ve son 14 yıldır
											çerçöp öğretmekteydim.
											(Gülüşmeler)
											Kötü bir öğretmen olduğumdan değil,
											ama insanların atıklarını,
											bu atıkların atık su işletmelerinden
											nasıl iletildiğini ve
											bu atık su işletmelerini nasıl
											yüzey sularını koruyacak şekilde
											dizayn ve inşa ettiğimizi
											araştırıyorum ve öğretiyorum.
									","
											Je suis professeur
en école d'ingénieur,
											et pendant ces 14 dernières années,
											j'ai enseigné de la merde.
											(Rires)
											Non pas que je sois
un mauvais professeur,
											mais mon sujet d' étude
et d'enseignement
											étaient les déchets humains
											et les moyens utilisés pour les traiter
											dans les stations d'épuration
											et comment on conçoit
et construit
											ces stations,
afin de protéger
											les eaux de surface,
comme les rivières, par exemple.
									",Sanitation is a basic human right,Francis de los Reyes,8:21,"TED Fellows,global issues,health,public health,sanitation,infrastructure"
"
","
","
","
",Sanitation is a basic human right,Francis de los Reyes,8:21,"TED Fellows,global issues,health,public health,sanitation,infrastructure"
"
											Meine wissenschaftliche Karriere
basiert auf der Nutzung
											allerneuester molekularer Techniken,
											DNA- und RNA-gestützte Methoden,
											um Mikrobenstämme
in Bioreaktoren zu beobachten,
											und diese Systeme zu verbessern.
											Und über die Jahre
											entwickelte ich eine ungesunde
Obsession für Toiletten,
											und man sah mich überall auf der Welt
											in Toiletten schleichen —
											zusammen mit meiner Handykamera.
											Aber auf diesem Weg habe ich gelernt,
											dass es nicht nur
die fachliche Seite gibt,
											sondern auch etwas namens
""Die Kultur der Scheiße"".
											Zum Beispiel:
											Wie viele von Ihnen sind Spüler
											und wie viele sind Wischer?
											(Gelächter)
											Na ja, Sie wissen, was ich meine.
											Wenn Sie ein Spüler sind,
dann nutzen sie Wasser
											für die Analwäsche.
Das ist der Fachbegriff dafür.
											Wenn Sie ein Wischer sind,
											nehmen Sie Toilettenpapier
											oder, in manchen Regionen der Welt,
											wo es das nicht gibt, Zeitungspapier,
											Lumpen oder Maiskolben.
									","
											I've based my scientific career
											on using leading-edge molecular techniques,
											DNA- and RNA-based methods
											to look at microbial populations in biological reactors,
											and again to optimize these systems.
											And over the years,
											I have developed an unhealthy obsession with toilets,
											and I've been known to sneak into toilets
											and take my camera phone
											all over the world.
									","
											Bilimsel kariyerimi öncü 
moleküler teknikleri,
											biyolojik reaktörlerdeki 
mikrobal topluluklara
											bakmak amacıyla DNA ve RNA bazlı metotları
											kullanmaya ve bu sistemleri uygun hale
											getirmeye adadım.
											Ve yıllar içinde,
											tuvaletlere karşı bir takıntı geliştirdim
											ve tüm dünyada gizlice tuvalete girip
											kameralı telefonumu da yanıma almakla
											tanındım.
									","
											J'ai basé toute ma carrière scientifique
											sur l'utilisation de techniques
moléculaires de pointe,
											des méthodes basées
sur l'ARN et l'ADN
											qui permettent d'observer
les populations bactériennes
											dans les réacteurs biologiques
											et d'optimiser ces systèmes.
											Et au fil des années,
											j'ai développé une obsession maladive 
pour les toilettes.
											J'étais connu pour me glisser
dans les WC
											avec mon appareil photo
											partout dans le monde.
									",Sanitation is a basic human right,Francis de los Reyes,8:21,"TED Fellows,global issues,health,public health,sanitation,infrastructure"
"
","
","
","
",Sanitation is a basic human right,Francis de los Reyes,8:21,"TED Fellows,global issues,health,public health,sanitation,infrastructure"
"
											Und das ist nicht nur Trivialwissen,
											denn es ist wirklich wichtig,
											dass wir dieses Hygieneproblem
verstehen und lösen.
											Es ist ein großes Problem:
											Es gibt 2,5 Milliarden Menschen,
											die keinen Zugang zu
angemessenen Sanitäranlagen haben.
											Für sie gibt es keine moderne Toilette.
											Es gibt 1,1 Milliarde Menschen,
											deren Toilette die Straßen,
											das Flussufer
oder öffentliche Plätze sind.
											Der Fachbegriff hierfür ist
											""öffentliche Defäkation"".
									","
											But along the way, I've learned
											that it's not just the technical side,
											but there's also this thing called the culture of crap.
											So for example,
											how many of you are washers
											and how many of you are wipers?
											(Laughter)
											If, well, I guess you know what I mean.
											If you're a washer, then you use water
											for anal cleansing. That's the technical term.
											And if you're a wiper,
											then you use toilet paper
											or, in some regions of the world
											where it's not available, newspaper
											or rags or corncobs.
									","
											Ama bu sırada öğrendim ki
											bu sadece teknik tarafı değildi,
											dışkı kültürü diye bir şey de vardı.
											Örnek olarak,
											kaçınız yıkarsınız,
											kaçınız silersiniz?
											(Gülüşmeler)
											Eğer, neden bahsettiğimi bildiğinizi 
sanıyorum.
											Eğer yıkıyorsanız, anal temizlik için
											su kullanıyorsunuz. 
Bu teknik bir terim.
											Ve eğer siliyorsanız,
											tuvalet kağıdı kullanıyorsunuz
											ya da bunun mevcut olmadığı
											bazı yerlerde, gazete kağıdı, paçavra
											ya da mısır yaprağı kullanıyorsunuz.
									","
											Mais ce faisant,
j'ai appris
											qu'il n'y a pas seulement 
l'aspect technique,
											mais qu'il y a aussi
ce qu'on pourrait appeler
											la culture de la merde.
											Ainsi, par exemple,
											combien d'entre vous se lavent
											et combien s'essuient ?
											(Rires)
											Je suppose que vous voyez
de quoi je parle.
											Si vous vous lavez,
vous utilisez de l'eau
											pour le nettoyage anal. 
C'est le terme technique.
											Et si vous vous essuyez,
											alors vous utilisez du papier toilette
											ou bien,
dans certaines régions du monde,
											où il n'y en a pas,
du papier journal,
											des chiffons,
ou des feuilles de maïs.
									",Sanitation is a basic human right,Francis de los Reyes,8:21,"TED Fellows,global issues,health,public health,sanitation,infrastructure"
"
","
","
","
",Sanitation is a basic human right,Francis de los Reyes,8:21,"TED Fellows,global issues,health,public health,sanitation,infrastructure"
"
											Aber das ist einfach nur
											im Freien scheißen.
											Wenn man in Fäkalmasse lebt
											und sie einen umgibt, wird man krank.
											Sie gelangt ins Trinkwasser,
											ins Essen, in die unmittelbare Umgebung.
											Die Vereinten Nationen nehmen an,
											dass jedes Jahr 1,5 Millionen Kinder
											wegen unzureichender Hygiene sterben.
											Das ist ein vermeidbarer Tod, 
alle 20 Sekunden,
											171 in der Stunde,
											4100 jeden Tag.
											Um Defäkation im Freien zu verhindern,
											bauen Gemeinden und Städte Infrastruktur,
											wie zum Beispiel Latrinengruben,
											in stadtnahen und ländlichen Gebieten.
											Zum Beispiel wurden in der
südafrikanischen Provinz KwaZulu-Natal
											Zehntausende dieser Latrinengruben gebaut.
											Aber wenn man das Ganze 
so sehr aufbläht,
											gibt es folgendes Problem:
											Was passiert, wenn die Gruben voll sind?
											Das hier passiert:
											Die Menschen entleeren sich
neben der Toilette.
											In Schulen entleeren sich
die Kinder auf den Böden,
											hinterlassen eine Spur aus dem Gebäude,
											und entleeren sich um das Gebäude herum.
											Diese Gruben müssen gereinigt
											und von Hand geleert werden.
											Und wer entleert sie?
											Es gibt diese Arbeiter,
											die in die Gruben steigen
											und sie entleeren müssen.
											Es ist eine dreckige
und gefährliche Angelegenheit.
											Denn es gibt keine Schutzausrüstung,
											keine Schutzkleidung.
											Dort unten ist ein Arbeiter,
											ich hoffe, Sie können ihn sehen,
											er trägt eine Maske, aber kein Hemd.
											In manchen Ländern, wie Indien,
											sind die unteren Kasten dazu verdammt,
											die Gruben zu leeren,
											wodurch die Gesellschaft
sie noch mehr verdammt.
									","
											And this is not just a piece of trivia,
											but it's really important to understand
											and solve the sanitation problem.
											And it is a big problem:
											There are 2.5 billion people in the world
											who don't have access to adequate sanitation.
											For them, there's no modern toilet.
											And there are 1.1 billion people
											whose toilets are the streets
											or river banks or open spaces,
											and again, the technical term for that is
											open defecation,
											but that is really simply
											shitting in the open.
											And if you're living in fecal material
											and it's surrounding you, you're going to get sick.
											It's going to get into your drinking water,
											into your food, into your immediate surroundings.
											So the United Nations estimates
											that every year, there are 
1.5 million child deaths
											because of inadequate sanitation.
											That's one preventable death every 20 seconds,
											171 every hour,
											4,100 every day.
											And so, to avoid open defecation,
											municipalities and cities
											build infrastructure, for example, like pit latrines,
											in peri-urban and rural areas.
											For example, in KwaZulu-Natal 
province in South Africa,
											they've built tens of thousands of these pit latrines.
											But there's a problem when you scale up
											to tens of thousands, and the problem is,
											what happens when the pits are full?
											This is what happens.
											People defecate around the toilet.
											In schools, children defecate on the floors
											and then leave a trail outside the building
											and start defecating around the building,
											and these pits have to be cleaned
											and manually emptied.
											And who does the emptying?
											You've got these workers
											who have to sometimes go down into the pits
											and manually remove the contents.
											It's a dirty and dangerous business.
											As you can see, there's no protective equipment,
											no protective clothing.
											There's one worker down there.
											I hope you can see him.
											He's got a face mask on, but no shirt.
											And in some countries, like India,
											the lower castes are condemned
											to empty the pits,
											and they're further condemned by society.
									","
											Ve bunlar bir parça önemsiz şey değil,
											ama temizlik problemini anlamak
											ve çözmek çok önemli.
											Bu büyük bir problem:
											Dünyada yeterli hijyene sahip olmayan
											2.5 milyar insan var.
											Onlar için modern tuvaletler yok.
											Tuvaletleri sokaklar, nehir kıyıları,
											ya da açık mekanlar olan
											1.1 milyar insan var
											yeniden, bunun için teknik terim
											açık dışkılama,
											ama bu da gerçekte basitçe
											ortalıkta sıçmak.
											Eğer dışkılı materyal içinde yaşıyorsanız
											ve etrafınızı sarıyorsa, 
hastalanacaksınız.
											İçme suyunuzun, yemeğinizin,
											yakın çevrenizin içine girecek.
											Birleşmiş Milletler yetersiz temizlik 
yüzünden
											her yıl 1.5 milyon çocuğun
											öldüğünü tahmin ediyor.
											Bu her 20 saniyede 1,
											her saatte 171, her gün 4.100
											engellenebilir ölüm demek.
											Ve açık dışkılamayı engellemek için,
											belediyeler ve şehirler kentsel ve kırsal
											bölgelerde tuvalet çukuru gibi
											altyapı çalışmaları yapıyor.
											Örneğin Güney Afrika'daki
KwaZulu-Natal ilinde
											on binlerce tuvalet çukuru yaptılar.
											Ama on bin gibi sayılara çıkılmasında
											bir problem var, bu problem,
											çukurlar dolunca ne olacak?
											Olan şey bu.
											İnsanlar tuvaletin etrafında dışkılıyor.
											Okullarda öğrenciler yerlere dışkılıyor
											sonra binanın dışında bir iz bırakıyor
											ve binanın etrafında dışkılamaya başlıyor,
											ve bu çukurların temizlenmesi
											ve elle boşaltılması gerekiyor.
											Bu boşaltımı kim yapıyor?
											Böyle ara sıra çukura girip
											içindekileri elle çıkarması gereken
											çalışanlarınız olmalı.
											Bu kirli ve tehlikeli bir iş.
											Gördüğünüz gibi ne koruyucu ekipman,
											ne de koruyucu kıyafetler var.
											Orada bir çalışan var
											umarım onu görebiliyosunuz.
											Yüzünde maske var ama üstü yok.
											Hindistan gibi bazı ülkelerde,
											daha düşük sınıflardan insanlar
											çukurları boşaltmakla görevlendiriliyor
											ve toplum tarafından daha da 
küçümseniyorlar.
									","
											Il ne s'agit pas
d'une question futile,
											mais il est très important
de comprendre
											et de résoudre
le problème des sanitaires.
											Et c'est un gros problème :
											il y a 2,5 milliards de personnes
dans le monde
											qui n'ont pas accès
à des sanitaires corrects.
											Pour eux,
pas de toilettes modernes.
											Il y a 1,1 milliard de personnes
											pour qui les toilettes
sont les rues,
											ou les berges des rivières,
ou les terrains vagues.
											En terme scientifique,
on appelle ça
											la défécation
à ciel ouvert,
											mais en fait c'est juste
											chier dehors.
											Et si l'on vit au milieu
des matières fécales,
											et qu'elles vous entourent,
on tombe malade.
											Elles s'insinuent
dans l'eau potable,
											dans les aliments,
dans l'environnement immédiat.
											Les Nations-Unies estiment
											que chaque année,
1,5 million d 'enfants meurent
											à cause de sanitaires inadaptés.
											C'est une mort évitable
toutes les 20 secondes,
											171 par heure,
											4 100 par jour.
											Pour éviter la défécation à ciel ouvert,
											les villes et les municipalités
											construisent des infrastructures,
par exemple des latrines à fosse,
											dans les espaces ruraux
ou périurbains.
											Par exemple, dans la province
du KwaZulu-Natal, en Afrique du Sud,
											ils ont construit des dizaines de milliers
de fosses de ce genre.
											Mais un problème se pose
lorsqu' on passe
											à l'échelle des dizaines de milliers :
											qu'arrive-t-il quand
la fosse est pleine ?
											Voilà ce qui arrive :
											les gens défèquent autour.
											Dans les écoles,
les enfants défèquent par terre,
											et puis ils laissent des traces
à l'extérieur du bâtiment,
											et commencent à déféquer
autour du bâtiment,
											et ces fosses
doivent être nettoyées
											et vidées manuellement.
											Et qui s'en charge ?
											Il y a ces travailleurs
											qui doivent parfois descendre
au fond des fosses
											pour en vider contenu
à la main.
											C'est un travail sale et dangereux.
											Comme vous pouvez le voir,
pas d'équipements
											ni de vêtements de protection.
											Il y a un ouvrier
là-dedans.
											J'espère que vous pouvez le voir.
											Il porte un masque,
mais pas de chemise.
											Et dans certains pays,
comme en Inde,
											les castes les plus basses
sont condamnées
											à vider ces fosses,
											et elles sont de plus blâmées
par la société.
									",Sanitation is a basic human right,Francis de los Reyes,8:21,"TED Fellows,global issues,health,public health,sanitation,infrastructure"
"
","
","
","
",Sanitation is a basic human right,Francis de los Reyes,8:21,"TED Fellows,global issues,health,public health,sanitation,infrastructure"
"
											Jetzt fragen Sie sich:
Wie können wir das lösen,
											und warum bauen wir nicht einfach
westliche Spülklosetts
											für diese 2,5 Milliarden?
											Die Antwort: Es ist einfach nicht möglich.
											In einigen dieser Gegenden
gibt es nicht genug Wasser,
											es gibt keine Elektrizität,
											es würde zig Billionen Dollar kosten,
											die Rohre zu verlegen,
											die Einrichtungen zu bauen,
											diese Anlagen zu betreiben
und zu warten,
											und wenn man es nicht richtig macht,
											hat man Spülklosetts,
											die direkt in die Flüsse spülen,
											genau wie es in vielen Städten
in den Entwicklungsländern
											bereits der Fall ist.
											Und ist das wirklich die Lösung?
											Denn man tut Folgendes:
											Man nutzt sauberes Wasser,
											um die Toilette zu spülen,
											leitet es in eine Kläranlage,
											welche es in einen Fluss abführt,
											und dieser Fluss ist wiederum
eine Trinkwasserquelle.
									","
											So you ask yourself, how can we solve this
											and why don't we just build Western-style flush toilets
											for these two and a half billion?
											And the answer is, it's just not possible.
											In some of these areas, there's not enough water,
											there's no energy,
											it's going to cost tens of trillions of dollars
											to lay out the sewer lines
											and to build the facilities
											and to operate and maintain these systems,
											and if you don't build it right,
											you're going to have flush toilets
											that basically go straight into the river,
											just like what's happening in many cities
											in the developing world.
											And is this really the solution?
											Because essentially, what you're doing is
											you're using clean water
											and you're using it to flush your toilet,
											convey it to a wastewater treatment plant
											which then discharges to a river,
											and that river, again, is a drinking water source.
									","
											Şimdi kendinize bir sorun, 
bunu nasıl çözebiliriz
											ve neden bu iki buçuk milyon için
											batı tarzı sifonlu tuvaletler yapmıyoruz?
											Cevap şu ki, bu imkansız.
											Bazı bölgelerde yeterli su yok,
											yeterli enerji yok,
											kanalizasyon borularının döşenmesi,
											işletmelerin kurulması
											ve çalıştırılması
											trilyonlarca dolara mal olacak
											ve doğru inşa edilmezse,
											gelişen dünyada
											bir çok şehirde olduğu gibi,
											doğrudan nehirlere giden
											sifonlu tuvaletleriniz olacak
											Gerçekten çözüm bu mu?
											Çünkü esasen yaptığınız,
											temiz suyu sifon çekmek için
											kullanıp,
											atıklarını, sonradan yine
											içme suyu kaynağı olarak kullanılacak olan
											nehire boşaltan bir atık su 
işletmesine iletiyorsunuz.
											Yani temizliği tekrar düşünmemiz ve
									","
											Vous vous demandez :
« Que peut-on faire ? »
											Pourquoi ne pas construire des toilettes
à l'occidentale avec chasse d'eau
											pour ces deux milliards et demi
de personnes ?
											Et la réponse est :
c'est juste impossible.
											Dans certains endroits, 
il n'y a pas assez d'eau,
											pas d'énergie.
											Cela coûterait des milliards
de milliards de dollars
											pour poser le réseau d’égouts
											pour construire les installations,
											et pour faire marcher
et entretenir ces systèmes.
											Et si on ne les construit pas
comme il faut,
											les chasses d'eau rejetteront
											directement dans les rivières,
											comme c'est le cas
dans de nombreuses villes
											dans les pays
en voie de développement.
											Est-ce la solution ?
											Parce que ce qu'on fait réellement,
											c'est qu'on utilise de l'eau propre
											pour tirer la chasse d'eau,
											qu'on la conduit
en station d'épuration
											et se retrouve dans une rivière
											qui est elle-même
une source d'eau potable.
									",Sanitation is a basic human right,Francis de los Reyes,8:21,"TED Fellows,global issues,health,public health,sanitation,infrastructure"
