en,pt,fr,tr,es,title,speaker,duration,tags
"
","
","
","
","
","Why should you read ""One Hundred Years of Solitude""?",Francisco Díez-Buzo,5:27,"TED-Ed,education,literature,culture,history,world cultures,books,Nobel Prize,book,novel,Latin America"
"
											One day in 1965, while driving to Acapulco
for a vacation with his family,
											Colombian journalist Gabriel García 
Márquez abruptly turned his car around,
											asked his wife to take care of the
family’s finances for the coming months,
											and returned home.
											The beginning of a new book 
had suddenly come to him:
											“Many years later, 
as he faced the firing squad,
											Colonel Aureliano Buendía was to remember 
that distant afternoon
											when his father took him to discover ice.”
									","
											Um dia, em 1965,
quando se dirigia a Acapulco,
											para passar férias com a família,
											o jornalista colombiano,
Gabriel García Márquez
											deu meia volta com o carro,
											pediu à mulher que cuidasse
das finanças da família
											durante os meses seguintes
											e regressou a casa.
											Tinha-lhe surgido de repente
o começo de um novo livro.
											""Muitos anos depois, quando enfrentou
o pelotão de execução,
											""o coronel Aureliano Buendía
iria recordar aquela tarde distante
											""quando o pai o tinha levado
a descobrir o gelo"".
									","
											Un jour de 1965, alors qu'il roulait vers
Acapulco pour des vacances en famille,
											le journaliste colombien Gabriel García
Márquez fit brusquement demi-tour,
											demanda à sa femme
											de s'occuper des finances familiales
pendant les mois suivants,
											et rentra chez lui.
											Le début d'un nouveau roman
lui était soudain venu à l'esprit :
											« Bien des années plus tard,
face au peloton d'exécution,
											le colonel Aureliano Buendía
devait se rappeler ce jour lointain
											où son père l'avait emmené
découvrir la glace. »
									","
											1965 yılında bir gün, ailesi ile tatil
yapmak için Acapulco'ya giderken
											Kolombiyalı gazeteci Gabriel García
Márquez aniden arabasını çevirdi,
											karısına gelecek aylarda ailesinin
finansıyla ilgilenmesini söyledi
											ve eve döndü.
											Yeni kitabının başlangıcı
bir anda kafasında belirmişti:
											Yıllar sonra, atış mangası ile 
karşılaştığı sırada,
											Albay Aureliano Buendía, babasının onu
buzları keşfetmeye götürdüğü
											uzak öğleden sonrayı hatırlayacaktı.”
									","
											Un día, en 1965,
											cuando manejaba hacia Acapulco 
de vacaciones con su familia,
											el periodista colombiano
Gabriel García Márquez,
											abruptamente dio media 
vuelta con su coche,
											pidió a su mujer que cuidara las finanzas
de la familia los próximos meses,
											y volvió a casa.
											El comienzo de un nuevo libro
vino a él súbitamente:
											""Muchos años después,
frente al pelotón de fusilamiento,
											el coronel Aureliano Buendía
había de recordar aquella tarde remota
											en que su padre lo llevó
a conocer el hielo"".
									","Why should you read ""One Hundred Years of Solitude""?",Francisco Díez-Buzo,5:27,"TED-Ed,education,literature,culture,history,world cultures,books,Nobel Prize,book,novel,Latin America"
"
","
","
","
","
","Why should you read ""One Hundred Years of Solitude""?",Francisco Díez-Buzo,5:27,"TED-Ed,education,literature,culture,history,world cultures,books,Nobel Prize,book,novel,Latin America"
"
											Over the next eighteen months,
											those words would blossom 
into One Hundred Years of Solitude.
											A novel that would go on 
to bring Latin American literature
											to the forefront 
of the global imagination,
											earning García Márquez 
the 1982 Nobel Prize for Literature.
									","
											Durante os 18 meses seguintes,
											aquelas palavras desabrocharam
em ""Cem Anos de Solidão"",
											um romance que iria transportar
a literatura da América Latina
											para a ribalta da imaginação mundial,
											granjeando a García Márquez
o Prémio Nobel da Literatura em 1982.
									","
											En l'espace de dix-huit mois,
											ces mots avaient fleuri pour
devenir « Cent ans de solitude »,
											un roman qui allait porter
la littérature latino-américaine
											au premier plan
de l'imagination mondiale,
											et valoir à Gabriel García Márquez
le prix Nobel de littérature en 1982.
									","
											Sonraki on sekiz ay boyunca,
											o sözler tomurcuklanıp çiçek açarak
Yüzyıllık Yalnızlık romanına dönüşecekti.
											Latin Amerika edebiyatını
küresel hayal gücünün
											ön saflarına taşıyan hikâye
											García Márquez'e 1982 yılında
edebiyat dalında Nobel Ödülü kazandırdı.
									","
											En los 18 meses siguientes,
											aquellas palabras hicieron florecer
""Cien años de soledad"",
											una novela que llevaría
la literatura latinoamericana
											a la vanguardia del imaginario popular,
											y que le valdría a García Márquez
el Premio Nobel de Literatura de 1982.
									","Why should you read ""One Hundred Years of Solitude""?",Francisco Díez-Buzo,5:27,"TED-Ed,education,literature,culture,history,world cultures,books,Nobel Prize,book,novel,Latin America"
"
","
","
","
","
","Why should you read ""One Hundred Years of Solitude""?",Francisco Díez-Buzo,5:27,"TED-Ed,education,literature,culture,history,world cultures,books,Nobel Prize,book,novel,Latin America"
"
											What makes One Hundred Years of Solitude 
so remarkable?
											The novel chronicles the fortunes
and misfortunes
											of the Buendía family 
over seven generations.
											With its lush, detailed sentences,
											large cast of characters,
											and tangled narrative,
											One Hundred Years of Solitude 
is not an easy book to read.
											But it’s a deeply rewarding one,
											with an epic assortment 
of intense romances,
											civil war,
											political intrigue,
											globe-trotting adventurers,
											and more characters 
named Aureliano than you’d think possible.
									","
											O que torna tão notável
""Cem Anos de Solidão""?
											O romance faz a crónica
das fortunas e más fortunas
											da família Buendía
durante sete gerações.
											Com as suas frases deslumbrantes
e pormenorizadas,
											uma grande profusão de personagens,
											e uma narrativa emaranhada,
											""Cem Anos de Solidão""
não é um livro fácil de ler.
											Mas é profundamente gratificante,
											com uma diversidade épica
de romances intensos,
											guerra civil,
											intrigas políticas,
											aventureiros pelo mundo inteiro
											e mais personagens chamadas Aureliano
do que julgaríamos possível.
									","
											Mais qu'est-ce qui rend « Cent ans
de solitude » si remarquable ?
											Le roman raconte les bonheurs
et les malheurs
											de la famille Buendía
sur sept générations.
											Avec ses phrases riches et détaillées,
											sa variété de personnages
											et sa narration emmêlée,
											« Cent ans de solitude »
n'est pas un livre facile à lire.
											Mais il est profondément gratifiant,
											avec une incroyable variété
de passions intenses
											guerre civile,
											intrigue politique,
											aventuriers parcourant le monde
											et plus de personnages appelés Aureliano
que vous ne le pensiez possible.
									","
											Yüzyıllık Yalnızlık'ı bu kadar
dikkat çekici kılan nedir?
											Roman, yedi kuşak boyunca
Buendía ailesinin
											talihini ve talihsizliğini anlatıyor.
											Cafcaflı, detaylı cümleleri,
											geniş karakter kadrosu
											ve girift hikâyesi ile
											Yüzyıllık Yalnızlık okunması
kolay bir kitap değil.
											Ancak, yoğun bir romantizm,
											iç savaş, politik entrika,
dünya çapında maceraperestler
											ve tahmin edebileceğinizden
çok daha fazla
											Aureliano adlı karakter içeren
											epeyce ödüllendirici bir kitap.
									","
											¿Qué hace esta novela tan extraordinaria?
											La novela cuenta
las fortunas e infortunios
											de siete generaciones
de la familia Buendía.
											Con su prosa elaborada y detallista,
											su gran variedad de personajes,
											y su narrativa enmarañada,
											""Cien años de soledad""
no es un libro fácil de leer.
											Pero es muy gratificante,
											con una variedad épica
de romances intensos,
											guerras civiles,
											intrigas políticas,
											aventureros trotamundos
											y más personajes llamados Aureliano
de los que te puedas imaginar.
									","Why should you read ""One Hundred Years of Solitude""?",Francisco Díez-Buzo,5:27,"TED-Ed,education,literature,culture,history,world cultures,books,Nobel Prize,book,novel,Latin America"
"
","
","
","
","
","Why should you read ""One Hundred Years of Solitude""?",Francisco Díez-Buzo,5:27,"TED-Ed,education,literature,culture,history,world cultures,books,Nobel Prize,book,novel,Latin America"
"
											Yet this is no mere historical drama.
											One Hundred Years of Solitude 
is one of the most famous examples
											of a literary genre 
known as magical realism.
											Here, supernatural events or abilities
											are described in a realistic 
and matter-of-fact tone,
											while the real events of human life 
and history
											reveal themselves 
to be full of fantastical absurdity.
											Surreal phenomena within the
fictional village of Macondo
											intertwine seamlessly with events taking
place in the real country of Colombia.
											The settlement begins 
in a mythical state of isolation,
											but is gradually exposed 
to the outside world,
											facing multiple calamities along the way.
											As years pass, 
characters grow old and die,
											only to return as ghosts,
											or to be seemingly reincarnated 
in the next generation.
											When the American fruit company 
comes to town,
											so does a romantic mechanic who is
always followed by yellow butterflies.
											A young woman up and floats away.
									","
											Mas não é um mero drama histórico.
											""Cem Anos de Solidão""
é um dos exemplos mais famosos
											de um género literário
conhecido por realismo mágico.
											Nele, acontecimentos
ou capacidades sobrenaturais
											são descritos num tom realista
e de modo objetivo,
											enquanto os acontecimentos reais
da vida e história das pessoas
											se revelam cheios 
de um absurdo fantástico.
											Os fenómenos surrealistas
na aldeia fictícia de Macondo
											entrelaçam-se com os acontecimentos
que ocorrem no país real da Colômbia.
											A povoação começa
num estado mítico de isolamento
											mas vai-se abrindo gradualmente
ao mundo exterior,
											enfrentando múltiplas
calamidades, durante esse percurso.
											À medida que os anos passam,
as personagens envelhecem e morrem,
											para regressarem como fantasmas
											ou para, aparentemente,
reincarnarem na geração seguinte.
											Quando a companhia de frutas
norte-americana chega à cidade,
											o mesmo acontece
com um mecânico romântico
											que é sempre seguido
por borboletas amarelas.
											Uma rapariga sobe e afasta-se a flutuar.
									","
											Mais il n'est pas
qu'un mélodrame historique.
											« Cent ans de solitude »
est l'un des exemples les plus célèbres
											d'un genre littéraire connu
sous le nom de réalisme magique.
											Ici, des événements
ou capacités surnaturels
											sont décrits d'un ton réaliste
et pragmatique,
											tandis que les vrais événements
de la vie humaine et de l'histoire
											se révèlent riches
en absurdité fantastique.
											Les phénomènes surréels
dans le village fictif de Macondo
											s'entrelacent parfaitement avec des faits
qui se passent dans la vraie Colombie.
											La colonie s'installe
dans un état mythique d'isolement,
											mais elle est peu à peu exposée
au monde extérieur
											et doit affronter de nombreuses
catastrophes en route.
											Au fil des années,
les personnages vieillissent et meurent,
											et retournent sous forme de fantômes,
											ou apparemment réincarnés
dans la génération suivante.
											Un jour, la compagnie fruitière
américaine arrive en ville,
											tout comme un mécanicien romantique
toujours suivi par des papillons jaunes.
											Une jeune femme s'envole.
									","
											Ancak bu sadece tarihsel bir dram değil.
											Yüzyıllık Yalnızlık, büyülü gerçekçilik 
olarak bilinen edebi türün
											en ünlü örneklerinden biri.
											Burada, doğaüstü olaylar
											ya da kabiliyetler gerçekçi
ve olgusal bir tonda anlatılırken
											insan yaşamı ve tarihinin gerçek olayları
											fantastik bir absürtlükle 
ortaya çıkmaktadır.
											Kurgusal bir köy olan Macondo'daki 
gerçeküstü olaylar,
											gerçek Kolombiya'da meydana gelen 
olaylarla iç içe geçiyor.
											Yerleşim efsanevi bir izolasyon
hâlinde başlar,
											yol boyunca çok sayıda felaketle
karşı karşıya kalarak
											yavaş yavaş dış dünyaya maruz kalır.
											Yıllar geçtikçe
karakterler yaşlanır ve ölür
											ancak hayalet olarak geri dönmek
											veya diğer nesilde reenkarne olmak için.
											Amerikan meyve şirketi
kasabaya gelince
											her zaman sarı kelebekler tarafından 
takip edilen bir tamirci de gelir.
											Genç bir kadın havalanır.
									","
											Pero no es un mero drama histórico.
											""Cien años de soledad""
es uno de los ejemplos más famosos
											del género literario conocido
como realismo mágico.
											En él, los hechos y poderes sobrenaturales
											se describen con un tono
realista y objetivo,
											mientras los hechos reales 
de la vida y la historia humana
											se revelan llenos de absurdos fantásticos.
											Los fenómenos surrealistas que ocurren
en el pueblo ficticio de Macondo
											se mezclan con los hechos que ocurren
en el país real de Colombia.
											Todo empieza con un estado
mítico de aislamiento,
											que es gradualmente expuesto
al mundo externo,
											y pasa por múltiples calamidades.
											Con el pasar de los años,
los personajes envejecen y mueren,
											y vuelven como fantasmas,
											o reencarnados en la siguiente generación.
											Cuando llega a la ciudad
una empresa de frutas estadounidense,
											llega también un mecánico romántico,
siempre rodeado de mariposas amarillas.
											Una joven mujer empieza a flotar.
									","Why should you read ""One Hundred Years of Solitude""?",Francisco Díez-Buzo,5:27,"TED-Ed,education,literature,culture,history,world cultures,books,Nobel Prize,book,novel,Latin America"
"
","
","
","
","
","Why should you read ""One Hundred Years of Solitude""?",Francisco Díez-Buzo,5:27,"TED-Ed,education,literature,culture,history,world cultures,books,Nobel Prize,book,novel,Latin America"
"
											Although the novel moves forward 
through subsequent generations,
											time moves in an almost cyclical manner.
											Many characters have similar names 
and features to their forebears,
											whose mistakes they often repeat.
											Strange prophecies 
and visits from mysterious gypsies
											give way to the skirmishes 
and firing squads of repeated civil wars.
											An American fruit company opens 
a plantation near the village
											and ends up massacring thousands 
of striking workers,
											mirroring the real-life 
‘Banana Massacre’ of 1928.
											Combined with the novel’s magical realism,
											this produces a sense 
of history as a downward spiral
											the characters seem powerless to escape.
											Beneath the magic is a story 
about the pattern of Colombian
											and Latin American history 
from colonial times onward.
									","
											Embora o romance avance
ao longo das gerações seguintes,
											o tempo move-se de forma quase cíclica.
											Muitas personagens têm nomes
e características
											semelhantes aos seus antepassados,
											cujos erros têm tendência a repetir.
											Estranhas profecias e visitas
de ciganos misteriosos
											dão azo às escaramuças
e aos pelotões de execução
											de repetidas guerras civis.
											Uma companhia de frutas norte-americana
abre uma plantação perto da aldeia
											e acaba massacrando milhares
de trabalhadores em greve,
											espelhando o Massacre das Bananas
da vida real, em 1928.
											Combinado com o realismo
mágico do romance,
											isto provoca uma sensação
da história como uma espiral descendente
											a que as personagens parecem
impotentes para escapar.
											Por detrás da magia está uma história
sobre o padrão da história
											da Colômbia e da América Latina,
dos tempos coloniais em diante.
									","
											Même si le roman continue
à travers les générations suivantes,
											le temps écoule d'une façon
presque cyclique.
											De nombreux personnages
ont des prénoms et des traits
											qui rappellent leurs ancêtres,
dont ils répètent souvent les erreurs.
											Des prophéties bizarres et des visites
de gitans mystérieux laissent la place
											aux accrochages et aux pelotons
d'exécution de guerres civiles répétées.
											Une compagnie fruitière américaine ouvre
une plantation près du village
											et finit par massacrer des milliers
de travailleurs en grève,
											reflétant le vrai « massacre
des bananeraies » de 1928.
											Combiné avec le réalisme magique du roman,
											cela produit un sens de l'histoire
comme un cercle vicieux
											duquel les personnages
n'arrivent pas à s'échapper.
											En dessous de la magie, il y a un conte
sur les tendances historiques
											de la Colombie et de l'Amérique Latine
de l'époque coloniale et après.
									","
											Roman sonraki nesiller boyunca
ilerlemesine rağmen
											zaman neredeyse döngüsel
bir şekilde hareket eder.
											Birçok karakterin, hatalarını 
tekrarladıkları ataları için
											benzer isimleri ve özellikleri vardır.
											Garip kehanetler ve gizemli
çingenelerden gelen ziyaretler,
											iç savaşların çatışmalarına
ve tekrarlarına yol açar.
											Bir Amerikan meyve şirketi, köyün
yakınında büyük bir çiftlik açar
											ve sonunda binlerce grevci
işçiyi katleder,
											yazar burada 1928'de yaşanan
“Muz Katliamı”na ayna tutar.
											Romanın büyülü gerçekçiliği
ile birleşince bu,
											aşağı doğru bir sarmal olarak
bir tarih duygusu yaratır;
											karakterler kaçmak için güçsüzdür.
											Büyünün altında, Kolombiya
ve Latin Amerika tarihinin,
											sömürgecilik döneminden kalma tarihi
hakkında bir hikâye var.
									","
											Si bien la novela evoluciona
a través de generaciones,
											el tiempo pasa de forma cíclica.
											Muchos personajes tienen nombres
y características de sus antepasados,
											cuyos errores ellos siempre repiten.
											Extrañas profecías
y visitas de gitanos misteriosos
											dan lugar a batallas y fusilamientos
de repetidas guerras civiles.
											La empresa de frutas abre
una plantación cerca del pueblo
											y termina masacrando miles
de trabajadores en huelga,
											en alusión a la verdadera
""Masacre de las bananeras"", de 1928.
											Combinado con el realismo
mágico de la novela,
											esto produce una percepción de
la historia como una espiral descendente
											de la cual los personajes
no consiguen escapar.
											Abajo de esta magia, se presenta
el modelo histórico colombiano
											y latinoamericano desde
la era colonial en adelante.
									","Why should you read ""One Hundred Years of Solitude""?",Francisco Díez-Buzo,5:27,"TED-Ed,education,literature,culture,history,world cultures,books,Nobel Prize,book,novel,Latin America"
