en,pt,de,title,speaker,duration,tags
"
","
","
","The leaders who ruined Africa, and the generation who can fix it",Fred Swaniker,13:26,"Africa,TED Fellows,entrepreneur"
"
											I experienced my first coup d'état at the age of four.
											Because of the coup d'état,
											my family had to leave my native home of Ghana
											and move to the Gambia.
											As luck would have it,
											six months after we arrived,
											they too had a military coup.
											I vividly remember being woken
up in the middle of the night
											and gathering the few belongings we could
											and walking for about two hours
											to a safe house.
											For a week, we slept under our beds
											because we were worried that bullets
might fly through the window.
									","
											Assisti ao meu primeiro golpe de estado 
quando tinha quatro anos.
											Por causa desse golpe de estado,
											a minha família teve que sair 
da nossa terra natal do Gana
											e mudar-se para a Gâmbia.
											Mas o destino quis
											que, seis meses depois de ali chegarmos,
											também eles tivessem 
um golpe de estado militar.
											Lembro-me bem de ser acordado 
a meio da noite
											e de reunir as poucas coisas que pudemos.
											Caminhámos duas horas
											até chegar a uma casa segura.
											Durante uma semana, 
dormimos debaixo das camas
											porque tínhamos medo 
que as balas voassem pelas janelas.
									","
											Ich erlebte meinen 
ersten Putsch mit vier Jahren.
											Wegen dieses Putsches
											musste meine Familie Ghana verlassen
											und nach Gambia ziehen.
											Wie das Glück es wollte,
											gab es nur 6 Monate nach unserer Ankunft
											dort auch einen Militärputsch.
											Ich erinnere mich genau,
wie ich nachts geweckt wurde,
											wir ein paar Habseligkeiten einsammelten
											und 2 Stunden lang
											zu einem sicheren Unterschlupf lief.
											Eine Woche lang schliefen wir
unter unseren Betten,
											weil wir Angst hatten, dass Kugeln
durch die Fenster fliegen würden.
									","The leaders who ruined Africa, and the generation who can fix it",Fred Swaniker,13:26,"Africa,TED Fellows,entrepreneur"
"
","
","
","The leaders who ruined Africa, and the generation who can fix it",Fred Swaniker,13:26,"Africa,TED Fellows,entrepreneur"
"
											Then, at the age of eight,
											we moved to Botswana.
											This time, it was different.
											There were no coups.
											Everything worked. Great education.
											They had such good infrastructure
that even at the time they had
											a fiber-optic telephone system,
											long before it had reached Western countries.
									","
											Depois, quando tinha oito anos,
											mudámo-nos para o Botswana.
											Desta vez, foi diferente.
											Não houve golpes.
											Tudo funcionava. Um ensino ótimo.
											Umas infraestruturas 
tão boas que, naquela época,
											até tinham um sistema telefónico 
por fibra ótica,
											muito antes de ele ter chegado 
aos países ocidentais.
									","
											Als ich dann acht Jahre alt war,
											zogen wir nach Botswana.
											Dieses Mal war es anders.
											Dort gab es keinen Putsch.
											Alles funktionierte. Gute Ausbildung.
											Sie hatten eine solch gute Infrastruktur,
dass sie sogar damals
											Glasfaser-Telefonkabel hatten,
											lange bevor es sie
in den westlichen Ländern gab.
									","The leaders who ruined Africa, and the generation who can fix it",Fred Swaniker,13:26,"Africa,TED Fellows,entrepreneur"
"
","
","
","The leaders who ruined Africa, and the generation who can fix it",Fred Swaniker,13:26,"Africa,TED Fellows,entrepreneur"
"
											The only thing they didn't have
											is that they didn't have
											their own national television station,
											and so I remember watching
											TV from neighboring South Africa,
											and watching Nelson Mandela in jail
											being offered a chance to come out
											if he would give up the apartheid struggle.
											But he didn't. He refused to do that
											until he actually achieved his objective
											of freeing South Africa from apartheid.
											And I remember feeling how just one good leader
											could make such a big difference in Africa.
									","
											A única coisa que não tinham
											é que não havia
											uma estação nacional de televisão.
											Por isso, lembro-me de ver
											a TV do país vizinho, a África do Sul.
											Vi Nelson Mandela na cadeia
											a oferecerem-lhe uma possibilidade de sair,
											se ele desistisse da luta 
contra o <i>apartheid</i>.
											Mas ele não aceitou.
											Recusou-se a isso 
até atingir o seu objetivo
											de libertar a África do Sul do <i>apartheid</i>.
											Lembro-me de pensar como um bom líder
											podia fazer uma diferença 
tão grande em África.
									","
											Das Einzige, was sie nicht hatten,
											war ein nationaler Fernsehsender,
											und ich erinnere mich,
											wie ich südafrikanische Sender guckte
											und sah, wie Nelson Mandela im Gefängnis
											das Angebot bekam, 
das Gefängnis zu verlassen,
											wenn er den Kampf gegen
die Apartheit aufgibt.
											Aber er lehnte ab
											und erreichte es schlussendlich,
											Südafrika von der Apartheit zu befreien.
											Und ich merkte, wie bloß 
ein einziger guter Anführer
											etwas so Großes in Afrika bewirken kann.
									","The leaders who ruined Africa, and the generation who can fix it",Fred Swaniker,13:26,"Africa,TED Fellows,entrepreneur"
"
","
","
","The leaders who ruined Africa, and the generation who can fix it",Fred Swaniker,13:26,"Africa,TED Fellows,entrepreneur"
"
											Then at the age of 12,
											my family sent me to high school in Zimbabwe.
											Initially, this too was amazing:
											growing economy, excellent infrastructure,
											and it seemed like it was a model
											for economic development in Africa.
											I graduated from high school in Zimbabwe
											and I went off to college.
									","
											Depois, aos 12 anos,
											a minha família mandou-me 
para a faculdade no Zimbabué.
											Inicialmente, foi espantoso:
											economia florescente, 
infraestruturas excelentes,
											parecia que era um modelo
											do desenvolvimento económico em África.
											Concluí o ensino secundário no Zimbabué
											e fui para a faculdade.
									","
											Dann, mit 12 Jahren,
											schickte man mich auf 
eine High School nach Zimbabwe.
											Anfangs war das genauso verblüffend:
											wachsende Wirtschaft,
exzellente Infrastruktur,
											und es schien wie ein Modell
											für wirtschaftliche Entwicklung in Afrika.
											Ich machte meinen Abschluss in Zimbabwe,
											und ging zum College.
									","The leaders who ruined Africa, and the generation who can fix it",Fred Swaniker,13:26,"Africa,TED Fellows,entrepreneur"
"
","
","
","The leaders who ruined Africa, and the generation who can fix it",Fred Swaniker,13:26,"Africa,TED Fellows,entrepreneur"
"
											Six years later, I returned to the country.
											Everything was different.
											It had shattered into pieces.
											Millions of people had emigrated,
											the economy was in a shambles,
											and it seemed all of a sudden that 30 years
											of development had been wiped out.
											How could a country go so bad so fast?
											Most people would agree
											that it's all because of leadership.
											One man, President Robert Mugabe,
											is almost single-handedly responsible
											for having destroyed this country.
									","
											Seis anos depois, voltei ao país.
											Estava tudo diferente.
											Estava tudo estilhaçado.
											Milhões de pessoas tinham emigrado,
											a economia estava de rastos.
											Parecia que, de repente, aqueles 30 anos
											de desenvolvimento tinham desaparecido.
											Como é que um país podia 
ter piorado tanto, tão depressa?
											Muitas pessoas achavam
											que era um problema de liderança.
											Um homem, o presidente Robert Mugabe,
											é praticamente o único responsável
											pela destruição deste país.
									","
											Nach sechs Jahren
kehrte ich zurück in das Land.
											Alles war anders.
											Es war zertrümmert.
											Millionen Menschen waren ausgewandert,
											die Wirtschaft war am Boden,
											und auf einmal schienen
											30 Jahre Entwicklung wie ausgelöscht.
											Wie konnte ein Land so schnell verkommen?
											Viele Menschen würden zustimmen,
											dass es an der Führung liegt.
											Ein Mann, Präsident Robert Mugabe,
											ist dafür verantwortlich,
											das Land fast im Alleingang 
vernichtet zu haben.
									","The leaders who ruined Africa, and the generation who can fix it",Fred Swaniker,13:26,"Africa,TED Fellows,entrepreneur"
"
","
","
","The leaders who ruined Africa, and the generation who can fix it",Fred Swaniker,13:26,"Africa,TED Fellows,entrepreneur"
"
											Now, all these experiences of living in different
											parts of Africa growing up
											did two things to me.
											The first is it made me fall in love with Africa.
											Everywhere I went,
											I experienced the wonderful beauty of our continent
											and saw the resilience and the spirit of our people,
											and at the time, I realized that I wanted to dedicate
											the rest of my life to making this continent great.
											But I also realized that making Africa great
											would require addressing this issue of leadership.
											You see, all these countries I lived in,
											the coups d'état
											and the corruption I'd seen in Ghana and Gambia
											and in Zimbabwe,
											contrasted with the wonderful examples I had seen
											in Botswana and in South 
Africa of good leadership.
											It made me realize that Africa would rise or fall
											because of the quality of our leaders.
									","
											Todas estas experiências
											de viver em diferentes partes de África, 
enquanto crescia,
											fizeram duas coisas por mim.
											A primeira foi ter-me apaixonado por África.
											Para onde quer que eu fosse,
											via a maravilhosa beleza 
do nosso continente
											e via a resistência 
e o espírito do nosso povo.
											Na altura, percebi que queria dedicar
											o resto da minha vida 
a engrandecer este continente.
											Mas também percebi que, 
para engrandecer África,
											seria preciso abordar 
a questão da liderança.
											Todos aqueles países em que vivi,
											os golpes de estado
											e a corrupção que eu vira 
no Gana, na Gâmbia
											e no Zimbabué,
											contrastavam com os exemplos 
maravilhosos de boa liderança
											que eu vira no Botswana e na África do Sul.
											Percebi que África se ergueria ou cairia
											consoante a qualidade dos nossos líderes.
									","
											Diese Erfahrungen, als ich in 
verschieden Teilen Afrikas lebte,
											bewirkten zwei Dinge bei mir:
											Erstens, ich verliebte mich in Afrika.
											Wo immer ich auch hinging,
											konnte ich die Schönheit 
unseres Kontinents erleben
											und sah die Zähigkeit
und den Mut unserer Bevölkerung.
											Damals wurde mir bewusst,
											dass ich den Rest meines Lebens
damit verbringen wollte,
											diesen Kontinent großartig zu machen.
											Aber mir war auch bewusst,
											dass man dafür das Führungsproblem
ansprechen muss.
											All diese Länder, in denen ich lebte,
											die Putsche
											und die Korruption, die ich in Ghana, 
Gambia und Zimbabwe sah,
											standen im Kontrast zu den großartigen
Beispielen einer guten Führung
											in Botswana und in Südafrika.
											Mir wurde klar, 
dass Afrikas Aufstieg oder Fall
											durch die Qualität unserer 
Entscheidungsträger bestimmt würde.
									","The leaders who ruined Africa, and the generation who can fix it",Fred Swaniker,13:26,"Africa,TED Fellows,entrepreneur"
"
","
","
","The leaders who ruined Africa, and the generation who can fix it",Fred Swaniker,13:26,"Africa,TED Fellows,entrepreneur"
"
											Now, one might think, of course,
											leadership matters everywhere.
											But if there's one thing you take
away from my talk today, it is this:
											In Africa, more than anywhere else in the world,
											the difference that just one good leader can make
											is much greater than anywhere 
else, and here's why.
											It's because in Africa, we have weak institutions,
											like the judiciary, the constitution,
											civil society and so forth.
											So here's a general rule of thumb that I believe in:
											When societies have strong institutions,
											the difference that one good
leader can make is limited,
											but when you have weak institutions,
											then just one good leader
											can make or break that country.
									","
											Claro que podíamos pensar
											que a liderança 
é importante em todo o lado.
											Mas, se vocês hoje levarem 
qualquer coisa desta palestra, é isto:
											Em África, mais do que 
em qualquer outro local do mundo,
											a diferença que um bom líder pode fazer
											é muito maior do que 
em qualquer outro lugar. Porquê?
											Porque em África, 
temos instituições débeis,
											como a judicial, a constituição,
											a sociedade civil, e outras.
											Portanto, há uma regra geral 
em que eu acredito.
											Quando as sociedades 
têm instituições fortes,
											a diferença que um bom líder 
pode fazer é limitada,
											mas quando temos instituições débeis,
											basta um bom líder
											para fazer ou destruir um país.
									","
											Man könnte denken, dass Führungsqualitäten
											natürlich überall von Bedeutung sind.
											Wenn Sie heute nur eine Sache mitnehmen,
dann vielleicht folgende:
											In Afrika ist der Unterschied,
											den nur ein guter Anführer machen kann,
											viel größer als irgendwo sonst.
											Denn in Afrika haben wir 
schwache Institutionen,
											wie die Legislative, die Verfassung,
											die Zivilgesellschaft und so weiter.
											Ich glaube an diese Faustregel:
											Wenn Gesellschaften
starke Institutionen haben,
											ist der Einfluss begrenzt, 
den ein guter Anführer haben kann.
											Aber wenn man schwache Institutionen hat,
											dann kann nur ein guter Anführer
											Alles oder Nichts für das Land bedeuten.
									","The leaders who ruined Africa, and the generation who can fix it",Fred Swaniker,13:26,"Africa,TED Fellows,entrepreneur"
"
","
","
","The leaders who ruined Africa, and the generation who can fix it",Fred Swaniker,13:26,"Africa,TED Fellows,entrepreneur"
