es,fr,pt,title,speaker,duration,tags
"
","
","
",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
											Vivimos tiempos difíciles
											porque, por un lado,
gracias a la conectividad,
											podemos ver el rostro
más hermoso del ser humano
											y, por el otro también, el más horrible:
											el hambre, la violencia, la guerra,
el odio, la intolerancia;
											todo un espectáculo diario
											que, al llegar a casa, nos deja
con la sensación al final del día
											de que todo está medio perdido.
									","
											Nous vivons des temps difficiles.
											Grâce à Internet,
											nous pouvons voir l'homme
dans ses plus bons côtés,
											mais aussi, dans ses aspects
les plus horribles :
											la faim, la violence, la guerre, 
la haine, l’intolérance ;
											un spectacle quotidien terrible
											qui donne l'impression,
en rentrant chez soi, le soir,
											qu'il n'y a presque plus d'espoir.
									","
											Vivemos tempos difíceis
											porque, por um lado,
graças à conectividade,
											podemos ver a face mais bela
do ser humano
											e, por outro, a mais horrível:
											a fome, a violência, a guerra,
o ódio, a intolerância,
											todo um espectáculo diário
											que, ao final do dia, ao chegar a casa,
nos deixa com a sensação
											de que tudo está meio perdido.
									",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
","
","
",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
											Pero no, no lo está,
											porque es precisamente en la casa
en donde podemos encontrar
											quizás una de las herramientas
más infalibles
											para tratar de luchar en favor
del bienestar nutricional,
											emocional y ambiental de nuestro planeta.
											¿Dónde en la casa?
											Pues en la cocina.
											Voy a contarles por qué
con tres historias.
									","
											Mais non, ce n'est pas le cas,
											car c'est justement
chez soi qu'on peut trouver
											un des outils, peut-être 
les plus infaillibles,
											pour se battre en faveur
du bien-être alimentaire,
											émotionnel et environnemental
de notre planète.
											Où dans la maison ?
											Eh bien ! dans la cuisine.
											Laissez-moi vous raconter trois histoires.
									","
											Mas não, não está,
											porque é precisamente em casa
que podemos encontrar
											quem sabe uma das ferramentas
mais infalíveis
											para lutar a favor
do bem-estar nutricional,
											emocional e ambiental do nosso planeta.
											""Em casa, onde?""
											Na cozinha.
											Vou contar-vos porquê
com três histórias.
									",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
","
","
",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
											La primera:
											Yo soy limeño,
											hijo de toda la sangre, se nota,
											de madre, hija de la costa,
aristocrática y virreinal
											y de padre hijo de los Andes,
de los Incas, del Cuzco.
											Y en mi casa,
											los Andes y la costa
históricamente enfrentados,
											se unieron gracias al amor,
											como ocurrió en la mayoría de limeños,
hijos del más diverso origen:
											de africanos con amazónicos,
											de japoneses con andinos,
											de chinos con italianos.
									","
											Voici la première :
											je viens de Lima,
											je suis métis, comme vous pouvez le voir,
											d'une mère, fille de la côte Pacifique, 
de l'aristocratie, de la Vice-royauté
											et d'un père, fils des Andes,
des Incas et de Cuzco.
											Chez moi,
											les Andes et la côte Pacifique,
historiquement opposées,
											se sont unies par l'amour,
											comme chez la plupart des habitants
de Lima, d'origine les plus diverses :
											Africains et Amazoniens,
											Japonais et Andins,
											Chinois et Italiens.
									","
											A primeira:
											Eu sou de Lima,
											com ascendência de várias origens,
como podem ver,
											com mãe filha do litoral,
aristocrática e da realeza,
											e com pai filho dos Andes,
dos Incas, de Cusco.
											E em minha casa,
											os Andes e o litoral
historicamente em confronto,
											uniram-se graças ao amor,
											como aconteceu com a maioria dos limenhos,
filhos das mais diversas origens:
											de africanos com amazónicos,
											de japoneses com andinos,
											de chineses com italianos.
									",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
","
","
",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
											Esta historia de amor, por ejemplo:
											la hija de un próspero
bodeguero chino cantonés
											se enamora jugando en las calles
del puerto del Callao en Lima
											del hijo del famoso pastelero
genovés, de Italia.
											Al comienzo los padres se oponen
rotundamente a este amor,
											y ellos deciden huir para fundar su hogar.
											Y es ahí donde descubren
sus grandes diferencias.
											¿Dónde? En la mesa.
											Ella descubre que amaba profundamente
el arroz frito en el wok
											que le hacía su padre.
											Y él, él amaba el risotto 
que su abuela le hacía a fuego lento.
											Ella quería echarle salsa de soja a todo.
									","
											Voici une de ces histoires d'amour :
											la fille d'un prospère
commerçant cantonais
											est tombée amoureuse, en jouant 
dans les rues du port de Callao à Lima,
											du fils d'un célèbre pâtissier 
originaire de Gênes.
											Au début, leurs parents étaient 
fermement opposés à leur amour,
											mais ils ont décidé de fuir
pour fonder leur foyer.
											Et ils ont compris là leurs différences.
											Et où donc ? À table.
											Elle a réalisé qu'elle adorait
le riz frit au wok,
											préparé par son père.
											Et lui, il aimait le risotto que
sa grand-mère faisait mijoter à feu doux.
											Elle voulait ajouter
de la sauce soja dans tout.
									","
											Esta história de amor, por exemplo:
											a filha de um próspero taberneiro
chinês cantonês
											apaixona-se quando se divertia
nas ruas do porto de Callao, em Lima,
											pelo filho do famoso
pasteleiro genovês, de Itália.
											No início, os pais opõem-se
terminantemente a este amor,
											e eles decidem fugir
para começar o seu lar.
											É aí que descobrem
as suas grandes diferenças.
											Onde? À mesa.
											Ela descobre que amava profundamente

											o arroz frito no ""wok""
que o seu pai lhe fazia.
											E ele, ele amava o risoto
que a sua avó lhe fazia em lume brando.
											Ela queria pôr molho de soja em tudo.
									",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
","
","
",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
											(Risas)
									","
											(Rires)
									","
											(Risos)
									",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
