es,tr,de,title,speaker,duration,tags
"
","
","
",Cloudy with a chance of joy,Gavin Pretor-Pinney,10:54,"beauty,nature,weather,photography"
"
											Nubes.
											¿Han notado cuántas personas se quejan de ellas?
											Tienen una mala reputación.
											Si lo piensan bien, el idioma inglés
											les ha inscrito a las nubes connotaciones negativas.
											Cuando alguien está triste o deprimido,
											está bajo una nube.
											Y cuando se avecina una mala noticia,
											hay una nube en el horizonte.
											Leí un artículo el otro día.
											Trataba sobre problemas con 
el procesamiento computacional
											en el Internet.
											""Una nube sobre la nube"", era el titular.
									","
											Bulutlar
											Ne kadar fazla insanın onlarla ilgili sızlandığının farkında mısınız?
											Onların adı çıkmış.
											Düşünsenize, İngiliz dili
											onlara karşı hep olumsuzdur.
											Birinin morali bozukda ya da depresyondaysa,
											onlar ""bulutların"" altındadır.
											Ve ne zaman kötü haberler gelse,
											""ufukta kara bir bulut var"" denir.
											Geçenlerde, internette
											bilgisayar işlemleriyle alakalı
											bir makale gördüm.
											Başlığı, ""Bulutun üzerindeki bulut""tu.
									","
											Wolken.
											Haben Sie schon bemerkt, 
wie viele Leute sich über sie beklagen?
											Wolken haben einen schlechten Ruf.
											Bei näherer Betrachtung finden sich 
in der englischen Sprache
											viele negative Assoziationen zu Wolken.
											So hängt eine dunkle Wolke über jemandem,
											der deprimiert oder niedergeschlagen ist.
											Und wenn es schlechte Nachrichten gibt, sagt man,
											es ziehen dunkle Wolken am Horizont herauf.
											Ich habe letztens einen Artikel gelesen.
											Es ging um Probleme
											mit der Datenverarbeitung im Internet.
											Die Überschrift war:
""Eine Wolke über der Cloud (der Wolke)"".
									",Cloudy with a chance of joy,Gavin Pretor-Pinney,10:54,"beauty,nature,weather,photography"
"
","
","
",Cloudy with a chance of joy,Gavin Pretor-Pinney,10:54,"beauty,nature,weather,photography"
"
											Parece como si fuera la metáfora pesimista
											que todos utilizamos por defecto.
											Pero a mí me parece que son bellas, ¿no lo creen?
											Es solo que su belleza se pierde
											porque son tan omnipresentes,
											tan, no sé, comunes,
											que la gente no les presta atención.
											No notan la belleza, 
ni siquiera notan las propias nubes
											a menos que tapen el Sol.
											Así que la gente piensa que las nubes son
											cosas que estorban.
											Las consideran obstáculos molestos, frustrantes,
											y entonces salen corriendo y tienen 
pensamientos de cielo azul.
									","
											Görünüşe göre bu herkesin görmezden geldiği
											çok vahim bir durum.
											Fakat bence onlar çok güzeller, sizce de öyle değiller mi?
											Onların güzellikleri görmezden geliniyor
											çünkü onlar her yerdeler,
											bu yüzden, bilemiyorum, belki de basmakalıp bir söz ama
											insanlar onları görmezden geliyorlar.
											Güzelliğini görmüyorlar ama, insanlar bulutların kendisini bile fark etmiyorlar,
											Araya girerek güneşi engelleyene kadar.
											Ve böylece insanlar bulutları
											araya giren şeyler olarak düşünüyorlar.
											Onları rahatsız edici, moral bozucu engeller olarak görüyorlar
											ve sonra da onları akıllarından çıkarıp mavi gökyüzünü düşünmeye başlıyorlar.
									","
											Es scheint, als seien sie 
die Standardmetapher
											für Hoffnungslosigkeit und Verhängnis.
											Aber ich finde sie schön. Sie nicht?
											Ihre Schönheit geht bloß ein wenig unter,
											weil sie so omnipräsent sind,
											so, ich weiß nicht, gewöhnlich,
											dass die Menschen sie nicht bemerken.
											Sie übersehen nicht nur ihre Schönheit, 
sie bemerken die Wolken nicht mal.
											es sei denn, sie verdecken gerade die Sonne.
											Also empfinden Menschen Wolken als etwas,
											das im Wege steht.
											Sie empfinden sie als 
ärgerliche, frustrierende Hindernisse
											und dann hetzen sie weiter und 
machen sich lieber ""Schönwettergedanken"".
									",Cloudy with a chance of joy,Gavin Pretor-Pinney,10:54,"beauty,nature,weather,photography"
"
","
","
",Cloudy with a chance of joy,Gavin Pretor-Pinney,10:54,"beauty,nature,weather,photography"
"
											(Risas)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									",Cloudy with a chance of joy,Gavin Pretor-Pinney,10:54,"beauty,nature,weather,photography"
"
","
","
",Cloudy with a chance of joy,Gavin Pretor-Pinney,10:54,"beauty,nature,weather,photography"
"
											Pero la mayoría de la gente, cuando se le pregunta,
											admitirá que alberga una extraña 
especie de afecto por las nubes.
											Es como un afecto nostálgico
											y les hace pensar en su juventud.
											¿Quién aquí no se recuerda pensando,
											buscando y encontrando formas en las nubes
											cuando eran niños?
											Ya saben, cuando eran expertos en soñar despiertos.
									","
											Fakat çoğu insan, onlara sorduğunuz zaman,
											bulutlara karşı garip bir düşkünlük beslediklerini kabul eder.
											Bu tıpkı geçmişe olan düşkünlük gibidir
											ve bulutlar onlara gençlik zamanlarını düşündürür.
											Buradaki kim hatırlamaz ki,
											çocukken bulutlara bakarak
											onlarda şekiller bulduğunu?
											Hayal kurma uzmanlarıyken yaptığınız şeyden bahsediyorum.
									","
											Doch wenn man sie stoppt und fragt, 
werden die meisten zugeben,
											dass sie doch eine gewisse Zuneigung
zu Wolken hegen.
											Eine nostalgische Zuneigung,
											die sie an ihre Kindheit erinnert.
											Wer von Ihnen kann sich nicht daran erinnern,
											als Kind nach oben geschaut und
											Figuren in den Wolken gefunden zu haben?
											Sie wissen schon, damals, 
als Sie noch Meister im Tagträumen waren.
									",Cloudy with a chance of joy,Gavin Pretor-Pinney,10:54,"beauty,nature,weather,photography"
"
","
","
",Cloudy with a chance of joy,Gavin Pretor-Pinney,10:54,"beauty,nature,weather,photography"
"
											Aristófanes, el antiguo dramaturgo griego,
											describió a las nubes como las diosas patronas
											de las personas ociosas
											hace 2500 años,
											y pueden ver a lo que se refiere.
											Es solo que ahora, los adultos parecemos reacios
											a permitirnos la indulgencia
											de dejar que nuestra imaginación
											se deje llevar por la brisa, y creo que es una lástima.
											Creo que tal vez deberíamos hacerlo un poco más.
											Creo que deberíamos estar más dispuestos, tal vez,
											a mirar el hermoso espectáculo 
de la luz del Sol estallando
											detrás de las nubes y pensar, ""Espera un minuto,
											¡son dos gatos bailando salsa!""
									","
											Aristophanes, Antik Yunan oyun yazarı,
											bulutları, iki bin beş yüzi yıl önce
											işi gücü olmayan kişilerin
											koruyucu tanrıçaları olarak tanımlamıştır
											ve bugün onun ne demek istediğini anlayabilirsiniz.
											Bu günlerde, biz yetişkinler, bizleri
											hafif rüzgarla sürekleyecek olan hayal gücümüzün
											bizleri şımartması konusunda isteksiz görünüyoruz
											ve bence bu halimize acımalıyız.
											Bence bundan biraz daha iyisini yapmalıyız
											Bence biraz daha istekli olmalıyız,
											bulutların arkasından harika bir şekilde ışıldayan
											güneş ışıklarına bakarak ve ""Bir dakika,
											burada salsa yapan iki tane kedi var!""
									","
											Aristophanes, der griechische Dramatiker,
											beschrieb die Wolken als Schutzgöttinnen
											der Müßiggänger
											vor 2500 Jahren
											und Sie verstehen, was er damit meinte.
											Gerade heute, widerstrebt es uns Erwachsenen,
											uns den Luxus zu erlauben,
											unserer Fantasie einfach freien Lauf zu lassen
											und das halte ich für äußerst schade.
											Ich finde, wir sollten das 
vielleicht etwas öfter tun.
											Wir sollten eher bereit sein, 
das wunderschöne Bild
											von Sonnenstrahlen, die 
hinter einer Wolke hervorbrechen,
											zu betrachten und zu sagen: ""Moment mal!
											Das sind zwei Katzen, die Salsa tanzen!""
									",Cloudy with a chance of joy,Gavin Pretor-Pinney,10:54,"beauty,nature,weather,photography"
"
","
","
",Cloudy with a chance of joy,Gavin Pretor-Pinney,10:54,"beauty,nature,weather,photography"
"
											(Risas) (Aplausos)
									","
											(Gülüşmeler) (Alkış)
									","
											(Gelächter) (Applaus)
									",Cloudy with a chance of joy,Gavin Pretor-Pinney,10:54,"beauty,nature,weather,photography"
"
","
","
",Cloudy with a chance of joy,Gavin Pretor-Pinney,10:54,"beauty,nature,weather,photography"
"
											O ver esta nube grande, blanca y esponjosa
											sobre el centro comercial que parece
											el abominable hombre de las nieves 
que va a robar un banco.
									","
											Ya da alışveriş merkezinin üstündeki
											büyük, beyaz, kabarık olanı, banka soymaya giden
											Abominable Snowman olarak görebiliriz.
									","
											Oder die große, weiße, plusterige dort oben
											über dem Einkaufszentrum, sie sieht aus
											wie ein Yeti, der plant, eine Bank zu überfallen.
									",Cloudy with a chance of joy,Gavin Pretor-Pinney,10:54,"beauty,nature,weather,photography"
"
","
","
",Cloudy with a chance of joy,Gavin Pretor-Pinney,10:54,"beauty,nature,weather,photography"
"
											(Risas)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									",Cloudy with a chance of joy,Gavin Pretor-Pinney,10:54,"beauty,nature,weather,photography"
"
","
","
",Cloudy with a chance of joy,Gavin Pretor-Pinney,10:54,"beauty,nature,weather,photography"
"
											Son como la versión de la naturaleza 
de esas manchas de tinta,
											que los psicólogos les mostraban a sus pacientes
											en los años 60,
											y creo que si tienen en cuenta 
las formas que ven en las nubes,
											ahorrarán dinero en las facturas del psicoanálisis.
											Supongamos que están enamorados.
											Miran hacia arriba y ¿qué ven?
											¿Cierto? O tal vez lo contrario.
											Los acaba de dejar su pareja,
											y dondequiera que miran, ven parejas besándose.
									","
											Bulutlar, mürekkep lekesi şekillerinin doğadaki halleri gibidirler
											biliyorsunuz, 60' lı yıllarda
											psikiyatristlerin hastalarına gösterdiği şekilleri
											ve bence bulutlarda gördüğünüz şekilleri dikkate alırsanız,
											psiko-analiz masraflarından da kurtulmuş olursunuz.
											Varsayalım ki aşık oldunuz. Tamam mı?
											Ve yukarı baktınız, ne görürsünüz orada?
											Değil mi? Ya da belki tam tersi.
											Eşiniz tarafından bir terk edildiniz
											ve nereye baksanız öpüşen çiftleri görüyorsunuz.
									","
											Sie sind die natürliche Version 
dieser Tintenkleckse,
											die Psychiater ihren Patienten
											in den 60ern gezeigt haben.
											Ich glaube, dass Sie Ihre 
Psychiater-Rechnung verringern könnten,
											wenn Sie den Dingen, die Sie in den Wolken sehen, mehr Beachtung schenkten,
											Nehmen wir einmal an, Sie sind verliebt.
											Und Sie schauen hoch und was sehen Sie ?
											Richtig? Oder vielleicht das Gegenteil.
											Ihr Partner hat Sie gerade verlassen,
											und überall, wo Sie hinsehen, 
sind sich küssende Pärchen.
									",Cloudy with a chance of joy,Gavin Pretor-Pinney,10:54,"beauty,nature,weather,photography"
"
","
","
",Cloudy with a chance of joy,Gavin Pretor-Pinney,10:54,"beauty,nature,weather,photography"
"
											(Risas)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									",Cloudy with a chance of joy,Gavin Pretor-Pinney,10:54,"beauty,nature,weather,photography"
"
","
","
",Cloudy with a chance of joy,Gavin Pretor-Pinney,10:54,"beauty,nature,weather,photography"
"
											Tal vez están pasando por un 
momento de angustia existencial.
											Ya saben, están pensando en su propia muerte.
											Y allí, en el horizonte, está la Parca.
									","
											Belki de o an bir varoluşsal bir kaygı yaşıyorsunuz.
											Biliyosunuz, kendi ölümlülüğünüz üzerine düşünürsünüz.
											Ve orada, ufukta, o Azrail.
									","
											Vielleicht haben Sie einen 
Anflug existentieller Angst.
											Und Ihnen wird Ihre 
eigene Sterblichkeit bewusst.
											Und da, am Horizont, 
erscheint der Sensenmann.
									",Cloudy with a chance of joy,Gavin Pretor-Pinney,10:54,"beauty,nature,weather,photography"
"
","
","
",Cloudy with a chance of joy,Gavin Pretor-Pinney,10:54,"beauty,nature,weather,photography"
"
											(Risas)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									",Cloudy with a chance of joy,Gavin Pretor-Pinney,10:54,"beauty,nature,weather,photography"
"
","
","
",Cloudy with a chance of joy,Gavin Pretor-Pinney,10:54,"beauty,nature,weather,photography"
"
											O tal vez vean una bañista en topless.
									","
											Ya da belki de üstsüz güneşlenen bir kadın gördünüz.
									","
											Oder vieleicht sehen Sie ja jemanden
oben ohne in der Sonne liegen.
									",Cloudy with a chance of joy,Gavin Pretor-Pinney,10:54,"beauty,nature,weather,photography"
"
","
","
",Cloudy with a chance of joy,Gavin Pretor-Pinney,10:54,"beauty,nature,weather,photography"
"
											(Risas)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									",Cloudy with a chance of joy,Gavin Pretor-Pinney,10:54,"beauty,nature,weather,photography"
"
","
","
",Cloudy with a chance of joy,Gavin Pretor-Pinney,10:54,"beauty,nature,weather,photography"
