en,es,pt,fr,de,tr,title,speaker,duration,tags
"
","
","
","
","
","
","Women entrepreneurs, example not exception",Gayle Tzemach Lemmon,13:16,"TEDx,entrepreneur,global issues,poverty,women,women in business"
"
											We do not invest in victims,
											we invest in survivors.
											And in ways both big and small,
											the narrative of the victim
											shapes the way we see women.
											You can't count what you don't see.
											And we don't invest in what's invisible to us.
											But this is the face
											of resilience.
									","
											No invertimos en víctimas,
											invertimos en sobrevivientes.
											Y en formas grandes y pequeñas,
											el relato de la víctima
											modela la forma en que vemos a las mujeres.
											No se puede contar lo que no se ve.
											Y no invertimos en lo que es invisible para nosotros.
											Pero este es el rostro
											de la resiliencia.
									","
											Não investimos em vítimas,
											investimos em sobreviventes.
											E de grandes e pequenas maneiras,
											a narrativa da vítima
											molda a forma como vemos as mulheres.
											Não se pode contar o que não se vê.
											E não investimos no que 
não é visível para nós.
											Mas isto é o rosto
											da resiliência.
									","
											Nous n’investissons pas dans les victimes,
											nous investissons dans les survivants.
											Et de façon plus ou moins importante
											le récit des victimes
											forme la façon dont nous voyons les femmes.
											Vous ne pouvez pas compter ce que vous ne voyez pas.
											Et nous n’investissons pas dans ce qui nous est invisible.
											Mais voici le visage
											de la détermination.
									","
											Wir investieren nicht in Opfer,
											wir investieren in Überlebende.
											Im Großen und Kleinen
											formt die Geschichte der Opfer,
											wie wir Frauen sehen.
											Was man nicht sieht, kann man nicht zählen.
											Und wir investieren nicht in das für uns Unsichtbare.
											Aber dies ist das Gesicht
											der Widerstandsfähigkeit.
									","
											Bizler kurbanlara yatırım yapmayız,
											sağ kalanlara yatırım yaparız.
											Kurbanın hikayesi,
											büyük ve küçük çapta
											kadınlara bakışımızı şekillendirir.
											Görmediğiniz şeye güvenemezsiniz.
											Ve bizler görünmez olana 
yatırım yapmayız.
											Fakat bu,
											esnekliğin ta kendisidir.
									","Women entrepreneurs, example not exception",Gayle Tzemach Lemmon,13:16,"TEDx,entrepreneur,global issues,poverty,women,women in business"
"
","
","
","
","
","
","Women entrepreneurs, example not exception",Gayle Tzemach Lemmon,13:16,"TEDx,entrepreneur,global issues,poverty,women,women in business"
"
											Six years ago,
											I started writing about women entrepreneurs
											during and after conflict.
											I set out to write a compelling economic story,
											one that had great characters, that no one else was telling,
											and one that I thought mattered.
											And that turned out to be women.
									","
											Hace seis años,
											comencé a escribir sobre mujeres emprendedoras
											durante y después de situaciones de conflicto.
											Me propuse escribir una historia económica persuasiva,
											una que tuviera grandes personajes, que nadie más estuviera contando,
											y que yo considerara importante.
											Y eso resultó ser las mujeres.
									","
											Há seis anos atrás
											comecei a escrever sobre 
mulheres empreendedoras
											durante e depois de conflitos.
											Ia escrever uma história
económica convincente,
											uma que tivesse grandes personagens, 
que mais ninguém estava a contar,
											e uma que eu considerava importar.
											E acabou por ser sobre mulheres.
									","
											Il y a six ans,
											j’ai commencé à écrire au sujet des femmes entrepreneurs
											pendant et après les conflits.
											J'étais partie pour écrire une histoire économique fascinante,
											une histoire avec de grands personnages, que personne n'avait encore raconté,
											et qui à mon avis était importante.
											Et il s'est trouvé que c’était une histoire de femmes.
									","
											Vor sechs Jahren begann ich
											über Unternehmerinnen zu schreiben,
											während und nach Konflikten.
											Es sollte eine fesselnde Wirtschaftsgeschichte werden,
											mit großartigen Charakteren, die niemand sonst erzählt,
											eine, die ich wichtig fand.
											Es erwies sich, dass das Frauen waren.
									","
											Altı yıl önce,
											çatışma dönemi ve sonrası
kadın girişimcileri
											hakkında yazmaya başladım.
											İçinde büyük karakterleri olan, 
kimsenin anlatmadığı
											ve önemli olduğunu düşündüğüm
çok etkileyici bir ekonomik
											hikâye yazmak için yola çıktım.
											Bu, kadınlara döndü.
									","Women entrepreneurs, example not exception",Gayle Tzemach Lemmon,13:16,"TEDx,entrepreneur,global issues,poverty,women,women in business"
"
","
","
","
","
","
","Women entrepreneurs, example not exception",Gayle Tzemach Lemmon,13:16,"TEDx,entrepreneur,global issues,poverty,women,women in business"
"
											I had left ABC news and a career I loved at the age of 30
											for business school,
											a path I knew almost nothing about.
											None of the women I had grown up with in Maryland
											had graduated from college,
											let alone considered business school.
											But they had hustled to feed their kids
											and pay their rent.
											And I saw from a young age
											that having a decent job and earning a good living
											made the biggest difference
											for families who were struggling.
									","
											Yo había dejado ABC News y una carrera que amaba a los 30
											por la escuela de negocios,
											un camino sobre el que no sabía casi nada.
											Ninguna de las mujeres con las que había crecido en Maryland
											había terminado la facultad,
											y menos aún considerado la escuela de negocios.
											Pero habían trabajado duro para alimentar a sus hijos
											y pagar su renta.
											Y yo ví desde una temprana edad
											que el tener un trabajo decente y un buen nivel de vida
											hacía la mayor diferencia
											para las familias menos favorecidas.
									","
											Aos 30 anos tinha deixado a ABC News
e uma carreira que adorava
											para ir aprender gestão
											um caminho sobre o qual não sabia quase nada.
											Nenhuma das mulheres com 
quem crescera em Maryland
											se tinha graduado da universidade,
											muito menos considerado tirar gestão.
											Mas tinham lutado para alimentar os seus filhos
											e pagar a renda.
											Desde jovem que vi
											que ter um trabalho decente e ganhar bem
											fazia toda a diferença
											para as famílias que lutavam 
com as dificuldades.
									","
											J’avais quitté ABC news et une carrière que j’aimais, à l’âge de 30 ans,
											pour une école de commerce,
											une voie dont je ne savais presque rien.
											Aucune des femmes avec lesquelles j’avais grandi dans le Maryland
											n'était diplômée d’université,
											encore moins d’école de commerce.
											Mais elles s'étaient battues pour nourrir leurs enfants
											et payer le loyer.
											Et j’ai compris dès mon plus jeune âge
											qu’avoir un emploi décent et bien gagner sa vie
											faisait une sacrée différence
											pour les familles en difficulté.
									","
											Ich hatte mit 30 ABC News und eine Karriere, die ich liebte,
											für Business School verlassen,
											ein Weg, über den ich fast nichts wusste.
											Keine der Frauen mit denen ich in Maryland aufwuchs
											hatte die Uni abgeschlossen,
											oder auch nur überlegt, zur Business School zu gehen.
											Aber sie hatten hart gearbeitet, um ihre
											Kinder zu ernähren und die Miete zu zahlen.
											Seit ich jung war, sah ich,
											dass ein ordentlicher Job und ein gutes Gehalt
											den größten Unterschied machten
											für Familien, die sich abmühen.
									","
											ABC News'i ve sevdiğim kariyeri 
30 yaşımda işletme okulu için,
											hakkında neredeyse
hiçbir şey bilmediğim
											
bir yol için bıraktım.
											Maryland'de birlikte 
büyüdüğüm hiçbir kadın
											üniversite mezunu değildi,
											işletme mezunu hiç değildi.
											Ama çocuklarını beslemek ve
											kiralarını ödemek için uğraşırlardı.
											Çok genç yaştan itibaren
											iyi bir işin ve kazancın
											zor durumdaki aileler için
											büyük bir fark yarattığını gördüm.
									","Women entrepreneurs, example not exception",Gayle Tzemach Lemmon,13:16,"TEDx,entrepreneur,global issues,poverty,women,women in business"
"
","
","
","
","
","
","Women entrepreneurs, example not exception",Gayle Tzemach Lemmon,13:16,"TEDx,entrepreneur,global issues,poverty,women,women in business"
"
											So if you're going to talk about jobs,
											then you have to talk about entrepreneurs.
											And if you're talking about entrepreneurs
											in conflict and post-conflict settings,
											then you must talk about women,
											because they are the population you have left.
											Rwanda in the immediate aftermath of the genocide
											was 77 percent female.
											I want to introduce you
											to some of those entrepreneurs I've met
											and share with you some of what they've taught me over the years.
									","
											Si vamos a hablar de trabajos,
											tenemos que hablar de emprendedores.
											Y si vamos a hablar de emprendedores
											en un marco de conflicto y post-conflicto,
											entonces debemos hablar de las mujeres,
											porque ellas son la población que queda.
											Inmediatamente después del genocidio,
											Ruanda era un 77% mujeres.
											Quisiera presentarles
											a algunas de esas emprendedoras que conocí
											y compartir con ustedes algo de lo que me han enseñado con los años.
									","
											Por isso se vão falar de empregos,
											então têm que falar de empreendedores.
											E se falarem de empreendedores
											em cenários de conflitos ou pós-conflitos
											então têm que falar sobre mulheres,
											porque são a população que vos resta.
											No rescaldo imediato do genocídio no Ruanda
											era 77% feminino.
											Quero apresentar-vos
											a algumas dessas empreendedoras que conheci
											e partilhar convosco algumas coisas 
que me ensinaram ao longo dos anos.
									","
											Donc, si on parle d’emplois,
											il faut parler d’entrepreneurs.
											Et si on parle d’entrepreneurs,
											dans le cadre d'un conflit et d'un après-conflit,
											alors il faut parler des femmes,
											parce qu’elles sont la population qui vous reste.
											Le Rwanda, juste après le génocide,
											était à 77% féminin.
											Je veux vous présenter
											certaines de ces femmes entrepreneurs que j’ai rencontrées,
											et partager avec vous ce qu’elles m’ont appris ces dernières années.
									","
											Wenn man über Jobs spricht, dann
											muss man über Unternehmer sprechen.
											Und wenn man über Unternehmer
											während und nach Konflikten spricht,
											dann muss man über Frauen sprechen,
											denn sie sind die Bevölkerung, die übrig bleibt.
											In Ruanda waren direkt nach dem Völkermord
											77 Prozent der Bevölkerung Frauen.
											Ich möchte Ihnen einige der Unternehmerinnen
											die ich getroffen habe vorstellen und
											berichten, was ich von ihnen gelernt habe.
									","
											Yani, iş hakkında konuşacaksanız,
											girişimciler hakkında da konuşmalısınız.
											Çatışma ve çatışma sonrası 
girişimciler
											hakkında konuşacaksanız
											kadınlardan bahsetmelisiniz,
											çünkü onlar dışarıda bıraktığınız nüfus.
											Soykırımdan hemen sonra Rwanda'nın
											yüzde 77'si kadındı.
											Sizlere, tanıştığım 
bazı girişimcileri
											tanıtmak ve yıllar içinde
											bana öğrettiklerini sizlerle 
paylaşmak istiyorum.
									","Women entrepreneurs, example not exception",Gayle Tzemach Lemmon,13:16,"TEDx,entrepreneur,global issues,poverty,women,women in business"
"
","
","
","
","
","
","Women entrepreneurs, example not exception",Gayle Tzemach Lemmon,13:16,"TEDx,entrepreneur,global issues,poverty,women,women in business"
"
											I went to Afghanistan in 2005
											to work on a Financial Times piece,
											and there I met Kamila,
											a young women who told me she had just turned down
											a job with the international community
											that would have paid her nearly $2,000 a month —
											an astronomical sum in that context.
											And she had turned it down, she said,
											because she was going to start her next business,
											an entrepreneurship consultancy
											that would teach business skills
											to men and women all around Afghanistan.
											Business, she said,
											was critical to her country's future.
											Because long after this round of internationals left,
											business would help keep her country
											peaceful and secure.
											And she said business was even more important for women
											because earning an income earned respect
											and money was power for women.
									","
											Fui a Afganistán en 2005
											a trabajar en una nota para el Financial Times,
											y allí conocí a Kamila,
											una joven mujer que me contó que acababa de rechazar
											un trabajo con la comunidad internacional
											que le hubiera pagado casi $2.000 al mes,
											una suma astronómica en ese contexto.
											Y lo había rechazado, me dijo,
											porque estaba por comenzar su próximo negocio,
											una consultoría de emprendimientos
											que le enseñaría técnicas de negocios
											a hombres y mujeres en todo Afganistán.
											Los negocios, me dijo,
											eran críticos para el futuro de su país.
											Porque mucho después de que esta partida internacional se fuera,
											los negocios ayudarían a mantener su país
											pacífico y seguro.
											Y dijo que los negocios eran aún más importantes para las mujeres
											porque generar un ingreso generaba respeto
											y el dinero es poder para las mujeres.
									","
											Fui para o Afeganistão em 2005
											trabalhar numa peça para o Financial Times,
											e lá conheci Kamila,
											uma jovem mulher que me disse ter recusado
											um emprego com a comunidade internacional
											que lhe iria pagar quase 
2000 dólares por mês —
											uma quantia astronómica naquele contexto.
											E ela disse que tinha recusado,
											porque estava a começar o seu próximo negócio,
											uma consultora de empreendedorismo
											que ia ensinar as competências de negócio
											a homens e mulheres em todo o Afeganistão.
											Os negócios, disse ela,
											eram críticos para o futuro do seu país.
											Porque muito depois de esta 
leva de estrangeiros ir embora,
											os negócios iria manter o seu país
											pacífico e seguro.
											E ela disse que os negócios era ainda 
mais importante para as mulheres
											porque ter um rendimento fazia ganhar respeito
											e o dinheiro era poder para as mulheres.
									","
											Je suis partie en Afghanistan en 2005,
											travailler sur un article pour le Financial Times,
											et là j’ai rencontré Kamila,
											une jeune femme qui m’a dit avoir refusé
											un emploi dans la communauté internationale
											où elle aurait gagné presque 2000 dollars par mois —
											une somme astronomique dans ce pays.
											Et elle a refusé, m’a-t-elle dit,
											parce qu’elle s’apprêtait à commencer sa nouvelle activité
											dans le conseil en entrepreneuriat,
											qui aurait enseigné des compétences commerciales
											à des hommes et des femmes dans tout l'Afghanistan.
											Les entreprises, m’a-t-elle dit,
											étaient cruciales pour le futur de son pays.
											Parce que longtemps après le départ des forces internationales,
											les entreprises aideraient à maintenir son pays
											sûr et en paix
											Et elle m'a dit que les affaires étaient encore plus importantes pour les femmes,
											parce que gagner sa vie, c’est gagner du respect,
											et que l’argent était du pouvoir pour les femmes.
									","
											2005 ging ich nach Afghanistan,
											ich arbeitete an etwas für die Financial Times,
											und dort traf ich Kamila,
											eine junge Frau, die mir erzählte, dass sie
											einen internationalen Job abgelehnt hatte
											mit fast $2.000 Monatsgehalt –
											eine astronomische Summe in dem Rahmen.
											Und sie hatte den Job abgelehnt,
											weil sie ihr nächstes Geschäft starten wollte,
											eine Beratung für Unternehmer,
											die Männern und Frauen in Afghanistan
											Fähigkeiten für ihre eigene Arbeit beibringt.
											Sie sagte, dass Unternehmen für
											die Zukunft ihres Landes entscheidend seien.
											Denn nachdem ausländische Gruppen gingen,
											würde das Geschäft dabei helfen, ihr Land
											friedlich und sicher bleiben zu lassen.
											Sie sagte, ein Geschäft sei besonders wichtig für Frauen,
											denn eigenes Einkommen bringt Respekt
											und Geld ist Macht für Frauen.
									","
											Financial Times'la ilgili bir iş için
											2005 yılında Afganistan'a gittim
											ve orada Kamila ile tanıştım
											daha yeni, ayda 2000 dolar kazanacağı
											uluslararası bir topluluktaki
											işi kabul etmediğini söyleyen
genç bir kadındı,
											içinde bulunduğu duruma göre
astronomik bir rakam.
											Geri çevirmişti
											çünkü bir sonraki işini,
											Afganistan'daki erkek ve kadınlara

											iş becerileri öğretmek için
											Girişimcilik Danışmanlığını kuracaktı.
											Ülkesinin geleceği için
											iş dünyasının kritik olduğunu söyledi.
											Uluslararası firmaların
terketmesinden sonra
											iş, ülkesinin
											barışcıl ve güvenli 
kalmasını sağlayacaktı.
											İşin özellikle kadınlar için daha
önemli olduğunu söylemişti,
											çünkü gelirlerinin olması 
onlara saygı kazandırıyordu
											ve para kadınlar için güçtü.
									","Women entrepreneurs, example not exception",Gayle Tzemach Lemmon,13:16,"TEDx,entrepreneur,global issues,poverty,women,women in business"
