fr,en,de,es,title,speaker,duration,tags
"
","
","
","
","Post-crash, investing in a better world",Geoff Mulgan,18:00,"culture,design,health,social change,technology"
"
											On a du mal à croire que cela fait maintenant moins d'un an
											que la finance et la politique de crédit qui dirige notre économie se sont effondrées.
											Un infarctus général.
											L'effet, le remboursement peut être, pour des années d'existence de vampires tels que Bernie Madoff.
											que nous avons vu précédemment.
											Les drogues et boissons à outrance
											Et cela ne fait que quelques mois que les gouvernements
											ont injecté des montants colossaux pour que le système ne s'effondre pas.
											Et aujourd'hui, nous sonnes dans un moment étrange, une sorte de zone d'ombre
											dans laquelle personne ne sait ce qui fonctionne ou non.
											Nous n'avons pas de plans clairs, ni de compas pour nous aiguiller.
											Nous ne savons plus quels experts croire.
									","
											It's hard to believe that it's less than a year since the extraordinary moment
											when the finance, the credit, which drives our economies froze.
											A massive cardiac arrest.
											The effect, the payback, perhaps, for years of vampire predators like Bernie Madoff,
											whom we saw earlier.
											Abuse of steroids, binging and so on.
											And it's only a few months since governments
											injected enormous sums of money to try and keep the whole system afloat.
											And we're now in a very strange sort of twilight zone,
											where no one quite knows what's worked, or what doesn't.
											We don't have any very clear maps, any compass to guide us.
											We don't know which experts to believe anymore.
									","
											Es ist kaum zu glauben, dass noch nicht einmal ein Jahr seit dem außergewöhnlichen Moment vergangen ist,
											an dem die Finanzwirtschaft und das Kreditwesen, die unsere Wirtschaft vorantreiben, einfroren.
											Ein gewaltiger Herz-Kreislauf-Stillstand.
											Die Auswirkung, oder vielleicht die Quittung, für jahrelange Herrschaft von Blutsaugern wie Bernie Madoff,
											den wir vorhin gesehen haben.
											Missbrauch von Steroiden, Saufgelage und dergleichen.
											Und es ist erst ein paar Monate her, dass Regierungen
											enorme Summen investiert haben, um zu versuchen, das ganze System über Wasser zu halten.
											Und nun befinden wir uns in einer sehr seltsamen Grauzone,
											in der niemand so genau weiß, was denn nun funktioniert hat, und was nicht.
											Wir haben keine klaren Roadmaps, keinen Kompass, der uns den Weg zeigt.
											Wir wissen nicht mehr, welchen Experten wir Glauben schenken sollen.
									","
											Es difícil de creer de que haya pasado menos de un año desde el extraordinario momento
											cuando las finanzas y el crédito que impulsan nuestra economía se congelaron.
											Un ataque cardíaco masivo.
											El efecto, la consecuencia quizás, de años de vampiros depredadores como Bernie Madoff,
											A quienes hemos visto antes.
											Abusadores con esteroides, atracándose como si nada.
											Y hace solamente unos meses desde que los gobiernos
											inyectaron enormes sumas de dinero para mantener el sistema a flote
											Y estamos ahora en una muy extraña especie de penumbra
											donde nadie sabe realmente que funcionó, o qué no.
											no tenemos ningún mapa muy claro, ninguna brújula para guiarnos.
											Ya no sabemos más en cuáles expertos creer.
									","Post-crash, investing in a better world",Geoff Mulgan,18:00,"culture,design,health,social change,technology"
"
","
","
","
","Post-crash, investing in a better world",Geoff Mulgan,18:00,"culture,design,health,social change,technology"
"
											Je vais donc essayer de mettre en avant quelques indicateurs
											pour décrire ce que je pense être le paysage de l'après-crise
											pour décrire ce à quoi on devrait réfléchir
											et comment on pourrait tirer profit de la crise.
											Il existe une définition du ""leadership"" qui dit,
											le leadership c'est la capacité de tirer profit des plus petites crises possibles
											pour en tirer les plus grands bénéfices possibles.
											Et je veux maintenant montrer comment cette crise
											qui n'est en aucun cas une petite crise, pourrait être exploitée à son maximum.
									","
											What I'm going to try and do is to give some pointers
											to what I think is the landscape on the other side of the crisis,
											what things we should be looking out for
											and how we can actually use the crisis.
											There's a definition of leadership which says,
											""It's the ability to use the smallest possible crisis
											for the biggest possible effect.""
											And I want to talk about how we ensure that this crisis,
											which is by no means small, really is used to the full.
									","
											Ich werde versuchen, ein paar Aspekte von dem herauszustellen,
											was meiner Meinung nach die Kehrseite der Krise ist,
											wonach wir Ausschau halten sollten,
											und wie wir uns die Krise sogar zu Nutze machen können.
											Es gibt eine Definition von Führung, die lautet:
											""Führung ist die Fähigkeit, die kleinstmögliche Krise
											zum größtmöglichen Effekt zu nutzen.""
											Ich möchte darüber sprechen, wie wir sicherstellen können, dass die Krise,
											die keineswegs eine kleine ist, wirklich vollständig ausgeschöpft wird.
									","
											Lo que intentaré es dar algunas pautas
											acerca de lo que creo es el paisaje al otro lado de la crisis,
											Cuales cosas deberíamos estar buscando
											Y cómo podemos usar la crisis realmente.
											Hay una definición de liderazgo que dice
											""Es la habilidad de usar la menor crisis posible
											para el mayor efecto posible"".
											Y yo deseo hablar de cómo nos aseguramos de que esta crisis,
											la que de ninguna manera es menor, realmente sea usada por completo
									","Post-crash, investing in a better world",Geoff Mulgan,18:00,"culture,design,health,social change,technology"
"
","
","
","
","Post-crash, investing in a better world",Geoff Mulgan,18:00,"culture,design,health,social change,technology"
"
											J'aimerais juste commencer par rappeler brièvement d'où je viens.
											J'ai une formation un peu confuse
											ce qui fait peut-être de moi quelqu'un d'idéal en des temps confus.
											J'ai un PhD dans les télécoms comme vous pouvez le voir.
											J'ai pris des cours pour devenir moins Bouddhiste auprès de cet homme.
											J'ai été fonctionnaire
											et j'ai été chargé de la politique de cet homme de nouveau.
									","
											I want to start just by saying a bit about where I'm coming from.
											I've got a very confused background
											which perhaps makes me appropriate for confused times.
											I've got a Ph.D. in Telecoms, as you can see.
											I trained briefly as a Buddhist monk under this guy.
											I've been a civil servant,
											and I've been in charge of policy for this guy as well.
									","
											Ich möchte anfangen, indem ich ein bisschen über meine eigene Lebensgeschichte erzähle.
											Ich habe einen sehr konfusen Hintergrund,
											was mich vielleicht zur richtigen Person für konfuse Zeiten macht.
											Ich habe einen Doktortitel in Telekommunikation, wie Sie sehen können.
											Für eine kurze Zeit ließ ich mich von ihm hier zum buddhistischen Mönch ausbilden.
											Ich war Beamter,
											und ich war auch für das politische Programm von diesem hier verantwortlich.
									","
											Empezaré contando un poco acerca de dónde vengo.
											Tengo una muy confusa formación
											lo que quizás me vuelve apropiado para tiempos confusos.
											Tengo un doctorado en telecomunicaciones, como pueden ver.
											Fui entrenado brevemente como monje budista por este muchacho.
											He sido un servidor público.
											Y estuve a cargo de las politicas para este muchacho también.
									","Post-crash, investing in a better world",Geoff Mulgan,18:00,"culture,design,health,social change,technology"
"
","
","
","
","Post-crash, investing in a better world",Geoff Mulgan,18:00,"culture,design,health,social change,technology"
"
											Mais ce dont je souhaite parler débute à l'époque où j'étais dans cette ville, dans cette université, en tant qu'étudiant.
											Hier comme aujourd'hui, c'était un endroit magnifique, avec des balles et des barques, et des gens fantastiques
											parmi lesquels de nombreux d'entre eux connaissent par coeur le commentaire de Ronald Reagan
											""même si l'on sait que travailler sur ne fait de mal à personne,
											pourquoi le faire?""
									","
											But what I want to talk about begins when I was at this city, this university, as a student.
											And then as now, it was a beautiful place of balls and punts, beautiful people,
											many of whom took to heart Ronald Reagan's comment
											that, ""even if they say hard work doesn't do you any harm,
											why risk it?""
									","
											Aber das, worüber ich sprechen möchte, beginnt in dieser Stadt, an dieser Universität, zur Zeit meines Studiums.
											Und genau wie heute war es ein wunderschöner Ort voller Bälle und Boote und schöner Menschen,
											von denen viele sich folgenden Ausspruch Ronald Reagans zu Herzen nahmen, der besagt, dass
											""auch wenn man sagt, dass harte Arbeit noch keinem geschadet hat,
											warum das Risiko eingehen?""
									","
											pero de lo que quiero hablar comienza cuando estaba en esta ciudad, esta universidad, cuando era estudiante.
											Entonces, como ahora, era un bello lugar de bailes y barcas, bella gente
											muchos de los cuales tomaban en serio el comentario de Ronald Reagan
											sobre ""Aun si se dice que el trabajo duro no hace ningún daño,
											¿para qué correr el riesgo?""
									","Post-crash, investing in a better world",Geoff Mulgan,18:00,"culture,design,health,social change,technology"
"
","
","
","
","Post-crash, investing in a better world",Geoff Mulgan,18:00,"culture,design,health,social change,technology"
"
											Mais à mon époque,
											un bon nombre de mes amis se trouvaient dans une situation complètement différente
											car quittaient l'école à un moment où le chômage des jeunes allait croissant
											et qui étaient désespérés du manque d'opportunités.
											Et j'ai passé beaucoup de temps avec eux, plutôt qu'avec des barques.
											Et je peux dire que c'étaient des personnes qui ne manquaient ni d'esprit, ni de grâce, ni d'énergie,
											mais qui n'avaient pas d'espoir, pas d'emploi, pas de perspective.
											Et quand des personnes ne sont pas permises de se rendre utiles
											elles pensent très vite qu'elles ne servent à rien.
											Et alors que cela faisait prospérait le business musical à l'époque
											il n'y avait vraiment rien d'autre de bon à cette situatiom.
											Et depuis lors, je me suis toujours demandé pourquoi le capitalisme
											est si efficace pour certains domaines, et si inefficace dans d'autres,
											pourquoi il était innovant sur certains aspects, et si en retard sur d'autres.
									","
											But when I was here,
											a lot of my fellow teenagers were in a very different situation,
											leaving school at a time then of rapidly growing youth unemployment,
											and essentially hitting a brick wall in terms of their opportunities.
											And I spent quite a lot of time with them rather than in punts.
											And they were people who were not short of wit, or grace or energy,
											but they had no hope, no jobs, no prospects.
											And when people aren't allowed to be useful,
											they soon think that they're useless.
											And although that was great for the music business at the time,
											it wasn't much good for anything else.
											And ever since then, I've wondered why it is that capitalism
											is so amazingly efficient at some things, but so inefficient at others,
											why it's so innovative in some ways and so un-innovative in others.
									","
											Aber als ich hier war,
											befanden sich viele Teenager im gleichen Alter wie ich in einer ganz anderen Situation:
											Sie gingen zu einer Zeit von der Schule ab, als die Jugendarbeitslosigkeit rasant anstieg,
											und sie sich im Hinblick auf ihre beruflichen Perspektiven im Prinzip in einer Sackgasse wiederfanden.
											Und statt meine Zeit in Booten zu verbringen, verbrachte ich sie mit diesen Jugendlichen.
											Und das waren Leute, denen es weder an Intelligenz, Anstand oder Energie fehlte,
											die aber dennoch keine Hoffnung, keine Arbeit und keine Perspektive hatten.
											Und wenn Menschen die Möglichkeit sich nützlich zu machen verwehrt wird,
											dann halten sie sich auch bald selbst für nutzlos.
											Und obwohl das positive Auswirkungen auf die damalige Musik-Industrie hatte,
											war es für nichts anderes gut.
											Seit damals frage ich mich immer wieder, warum der Kapitalismus
											in manchen Dingen so unglaublich effizient ist, aber so ineffizient in anderen,
											warum er in mancherlei Hinsicht so innovativ ist und in anderer überhaupt nicht.
									","
											Pero cuando estuve aquí
											muchos de mis compañeros adolescentes estaban en una muy diferente situación,
											dejando la escuela en un tiempo de creciente desempleo juvenil,
											y esencialmente chocando una pared en términos de falta de oportunidades.
											Y pasé con ellos mucho tiempo, más que en barcas,
											Y eran personas no cortas de ingenio, de gracia o de energía,
											pero no tenían esperanza, ni trabajo ni perspectivas.
											Y cuando a la gente no se le permite ser útil,
											rápidamente piensan que son inútiles.
											Y, aunque eso fue bueno para el negocio de la música,
											no fue muy bueno para nada más.
											y desde entonces me pregunto porqué es el capitalismo
											tan sorprendentemente eficiente en algunas cosas, pero tan ineficiente en otras,
											porqué es tan innovador en algunos aspectos, y tan no innovador en otros.
									","Post-crash, investing in a better world",Geoff Mulgan,18:00,"culture,design,health,social change,technology"
