es,fr,de,pt,title,speaker,duration,tags
"
","
","
","
",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
											Soy un historiador.
											Steve nos habló sobre el futuro de las pequeñas tecnologías.
											Yo les mostraré un poco sobre el pasado de las grandes tecnologías.
											Este fue un proyecto para construir una nave espacial de 4,000 toneladas
											propulsada por bombas nucleares para ir a Saturno y a Júpiter.
											Ocurrió durante mi niñez — de 1957 al '65.
											Fue clasificado de muy secreto.
											Les monstraré algunas de las cosas que no sólo han sido des-clasificadas,
											sino que han vuelto a ser re-clasificadas.
									","
											Je suis un historien.
											Steve nous a parlé du furtur des petites technologies.
											Je vais vous montrer le passé de grosses technologies.
											Le projet était de construire un vaisseau spatial propulsé par une bombe nucléaire de 4000 tonnes
											pour aller jusqu'à Saturne et Jupiter.
											Tout ça se passait pendant mon enfance — de 1957 à 1965.
											C'était archi-confidentiel.
											Je vais vous montrer des trucs qui, non seulement non pas été déclassifiés,
											mais qui maintenant ont été reclassifiés.
									","
											Ich bin ein Historiker.
											Steve erzählte uns über die Zunkunft der kleinen Technologie.
											Ich werde Ihnen etwas aus der Vergangenheit der großen Technologie zeigen.
											Dies war ein Projekt zum Bau eines 4000 Tonnen schweren, von Nuklearbomben angetriebenen Raumschiffs
											um zu Saturn und Jupiter fliegen zu können.
											Das ereignete sich in meiner Kindheit — 1957 bis 1965.
											Es war streng geheim.
											Ich werde Ihnen etwas zeigen, dass nicht nur nicht freigegeben wurde,
											sondern jetzt wieder Geheimsache ist.
									","
											Sou historiador.
											Steve falou-nos sobre o futuro 
da pequena tecnologia.
											Vou mostrar-vos algum do 
passado da grande tecnologia.
											Este era um projeto para construir
uma nave espacial de 4000 toneladas,
											de propulsão a bombas atómicas,
											para ir a Saturno e a Júpiter.
											Isto aconteceu durante 
a minha infância, de 1957 a 1965.
											Era altamente confidencial.
											Vou mostrar-lhe algumas coisas 
que não só não foram tornadas públicas,
											como foram novamente 
declaradas confidenciais.
									",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
","
","
","
",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
											(Risas)
									","
											(Rires)
									","
											(Lachen)
									","
											(Risos)
									",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
","
","
","
",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
											Si todo va bien, volveré el año que viene y tendré mucho más para mostrarles.
											y si no va bien, estaré en la cárcel como Wen Ho Lee.
									","
											Si tout va bien, l'année prochaine je serai de retour et j'aurai encore plus de choses à vous montrer
											et si tout ne va pas bien, je serai en prison comme Wen Ho Lee.
									","
											Wenn alles gut geht, werde ich nächstes Jahr wieder hier sein und Ihnen noch viel mehr zeigen können,
											und sollte es nicht gut gehen, werde ich im Gefängnis sein wie Wen Ho Lee.
									","
											Se tudo correr bem, 
no próximo ano estarei de volta
											e vou ter muito mais para mostrar,
											e se não correr bem, 
vou estar na cadeia como Wen Ho Lee.
									",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
","
","
","
",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
											(Risas)
									","
											(Rires)
									","
											(Lachen)
									","
											(Risos)
									",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
","
","
","
",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
											Básicamente esta nave tenía el mismo tamaño que el Marriot Hotel,
											un poco más alto y un poco más grande.
											Y una de las personas que trabajaron en ella, al principio,
											fue mi padre, Freeman — ahí en el medio.
											Este soy yo y mi hermana, Esther, quien frecuenta mucho TED...
											No me gustaban las naves espaciales propulsadas por bombas nucleares.
											Quiero decir, pensaba que era una gran idea, y empecé a construir kayaks.
											Teníamos algunos kayaks.
											sólo para que sepan, no soy el Dr. Stangelove.
									","
											Donc, ce vaisseau était à peu près de la taille de l'hotel Marriott,
											un peu petit peu plus grand et un petit peu plus large.
											Et une des personnes qui ont travaillé dessus, au début,
											était mon père, Freeman — ici au milieu.
											Ca c'est moi et ma petite soeur, Esther, qui est une habitué de TED ...
											Je n'aimais pas les vaisseaux spaciaux propulsés par des bombes nucléaires.
											Je veux dire, je pensais que c'était une super idée, donc j'ai commencé par contruire des kayaks.
											On a donc eu plusieurs kayaks.
											Juste pour vous dire que je ne suis pas Docteur Folamour.
									","
											Dieses Schiff war im Grunde genauso groß wie das Marriott Hotel,
											etwas höher und ein bisschen breiter.
											Einer der Menschen, die am Anfang daran gearbeitet haben,
											war mein Vater, Freeman — hier in der Mitte.
											Das sind ich und meine Schwester, Esther die eine regelmäßige TED ist ...
											Ich mochte keine von Nuklearbomben angetriebenen Raumschiffe.
											Ich meine, ich dachte es wäre eine tolle Idee, also begann ich Kajaks zu bauen.
											Also hatten wir einige Kajaks.
											Nur damit Sie es wissen, ich bin nicht Dr.Seltsam.
									","
											Esta nave era basicamente 
do tamanho do Hotel Marriott,
											um pouco mais alta
e um pouco mais larga.
											Uma das pessoas 
que trabalhou nela, no início,
											foi o meu pai, Freeman, ali no meio.
											Sou eu e a minha irmã, Esther, 
que é uma assídua frequentadora do TED.
											Eu não gostava de naves espaciais 
movidas a bombas atómicas.
											Achava uma ótima ideia, mas preferia 
construir caiaques. E tivemos alguns.
											Só para que saibam, 
não sou o Dr. Estranho Amor.
									",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
