fr,de,tr,es,title,speaker,duration,tags
"
","
","
","
",A lab the size of a postage stamp,George Whitesides,16:16,"TEDx,chemistry,disease,poverty,science,technology,biotech,innovation,health,health care"
"
											Le problème dont je veux vous parler
											peut se résumer en
											comment peut-on offrir des soins
											dans un monde où le coût est au centre de tout.
											Comment peut-on faire ça ?
											Et le paradigme de base que nous voulons vous suggérer,
											que je veux vous suggérer, c'est
											que pour pouvoir
											guérir des maladies, vous devez d'abord savoir ce que vous guérissez —
											c'est le diagnostique — et vous devez alors faire quelque chose.
									","
											Das Problem, über das ich heute mit Ihnen sprechen möchte,
											ist die Frage davon,
											wie man medizinische Versorgung gewährt
											in einer Welt, die von Kosten bestimmt wird.
											Wie kann man das erreichen?
											Die grundlegende Denkweise, die wir Ihnen vorschlagen möchten,
											die ich Ihnen vorschlagen möchte,
											besagt, dass man wissen muss
											was für eine Krankheit man behandeln will –
											das ist Diagnostik – und dann muss man handeln.
									","
											Sizinle konuşmak istediğim problem
											aslında şu problemdir:
											Biri nasıl olur da bir sağlık hizmeti sağlar
											paranın herşey olduğu şu dünyada.
											Bunu nasıl yaparsın?
											ve size önermek istediğimiz basit paradigma,
											Benim önermek istediğim,
											bir hastalığı tedavi edebilmek için önce ne olduğunu
											bilmeniz gerektiğini -ki bu teşhistir - sonra
											bir şey yapmanız gerektiğini söyleyebileceğiniz bir paradigma.
									","
											El problema del que les quiero hablar
											es realmente el problema de
											cómo proveer servicios médicos
											en un mundo donde el costo lo es todo.
											¿Cómo se logra esto?
											Y el paradigma básico que queremos sugerirles,
											que yo quiero sugerirles,
											es uno en el que se dice que para poder
											tratar enfermedades, primero deben saber con qué están lidiando
											- eso es el diagnóstico - y después deben hacer algo al respecto.
									",A lab the size of a postage stamp,George Whitesides,16:16,"TEDx,chemistry,disease,poverty,science,technology,biotech,innovation,health,health care"
"
","
","
","
",A lab the size of a postage stamp,George Whitesides,16:16,"TEDx,chemistry,disease,poverty,science,technology,biotech,innovation,health,health care"
"
											Donc, notre programme est quelque chose que nous appelons
											le diagnostique pour tous, ou le diagnostique à coût nul.
											Comment fournir de l'information médicale pertinente
											à un prix le plus proche possible de zéro ? Comment faire ça ?
											Laissez-moi vous donner deux exemples.
											Les rigueurs de la médecine militaire
											ne sont pas si différentes de celles du tiers-monde
											peu de ressources, un environnement rigoureux,
											la contrainte d'alléger les objets avec la série de problèmes qui va avec, et des choses du genre.
											Et pas très différentes non plus des problèmes de soin à domicile
											et du monde du diagnostique en général.
									","
											Das Programm, an dem wir beteiligt sind, ist etwas,
											das wir Diagnostik für alle, oder Null-Kosten-Diagnostik nennen.
											Wie kann man medizinisch relevante Information bereitstellen
											mit Kosten so nah wie möglich bei Null? Wie macht man das?
											Lassen Sie mich Ihnen zwei Beispiele zeigen.
											Die Härten militärischer medizinischer Behandlung
											sind nicht so verschieden von denen der Dritten Welt,
											wenig Ressourcen, eine harsche Umgebung,
											eine Reihe von Problemen mit leichter Last, solche Dinge.
											Und auch nicht so verschieden von medizinischer Versorgung zu Hause
											und in der Diagnostikswelt.
									","
											Böylece, bizim ilişkili olduğumuz program, bizim değişimizle
											herkes için teşhis, ya da sıfır masraflı teşhis.
											Sıfır maliyete en yakın, tıp ile alakalı
											bilgiyi nasıl sağlarsınız? Bunu nasıl yaparsınız?
											Size iki örnek vereyim.
											Askeri ilaçların güçlükleri
											3. dünya ülkelerinkinden pek farklı değil,
											yetersiz kaynak, zorluklarla dolu bir çevre,
											bir dizi ufak çapta problem ve bunun gibi şeyler.
											Aynı zamanda ev sağlık hizmetlerinden ve tanısal sistem dünyasından
											çok farklı değildir.
									","
											Entonces, el programa en el que estamos involucrados es algo que llamamos
											diagnósticos para todos o diagnósticos de costo cero
											¿Cómo pueden proveer información médicamente relevante
											a un costo lo más cercano posible a cero?¿Cómo lo logran?
											Déjenme darles sólo dos ejemplos.
											Los rigores de la medicina militar
											no son tan diferentes a la del tercer mundo,
											recursos pobres, un ambiente riguroso,
											una serie de problemas de bajo peso y ese tipo de situaciones.
											Y tampoco son muy distintas a la asistencia médica a domicilio
											y el mundo del sistema de diagnóstico.
									",A lab the size of a postage stamp,George Whitesides,16:16,"TEDx,chemistry,disease,poverty,science,technology,biotech,innovation,health,health care"
"
","
","
","
",A lab the size of a postage stamp,George Whitesides,16:16,"TEDx,chemistry,disease,poverty,science,technology,biotech,innovation,health,health care"
"
											Donc, la technologie dont je souhaite vous parler
											est pour le tiers monde, pour les pays en voie de développement,
											mais elle a, je pense, des applications beaucoup plus vastes,
											parce que l'information est importante dans un système de soin.
											Donc, vous voyez les deux exemples ici.
											L'un d'eux est un laboratoire qui est en fait assez pointu en Afrique.
											Le second est en fait un entrepreneur
											qui s'est installé, et qui fait on ne sait quoi sur une table, sur un marché.
											Je ne sais pas quels genre de soins sont délivrés ici.
											Mais ce n'est probablement pas ce qui est le plus efficace.
									","
											Die Technologie, über die ich sprechen möchte,
											ist für die Dritte Welt, für die Entwicklungsländer,
											aber ich denke, sie hat ein viel größeres Anwendungsgebiet,
											weil Informationen so wichtig sind im Gesundheitssystem.
											Hier sehen Sie also zwei Beispiele.
											Eines ist ein Labor, das ein wirklich ein ziemlich gutes Labor in Afrika ist.
											Das zweite ist im Prinzip ein Unternehmer,
											der sich auf einem Tisch auf einem Markt eingerichtet hat und dort was auch immer macht.
											Ich weiß nicht, welche Art von medizinscher Versorgung dort bereitgestellt wird.
											Aber es ist wahrscheinlich nicht die effizienteste.
									","
											Sonuçta size bahsetmek istediğim teknoloji
											3. dünya ülkeleri için, gelişen dünya için
											ama bence çok daha geniş bir uygulama alanına sahip
											çünkü bilgi sağlık hizmetlerinde büyük bir rol oynamaktadır.
											Burada iki örnek görüyorsunuz,
											biri gayet değerli sayılabilecek Afrika'da bir laboratuvar,
											ikincisi ise sadece bir girişimci
											bir masaya yerleşmiş ve kim bilir neler yapıyor.
											Orada nasıl bir sağlık hizmeti veriliyor bilmiyorum.
											Ama o büyük olasılıkla çok verimli olan bir şey değil.
									","
											Entonces, la tecnología de la que les quiero hablar
											es para el tercer mundo, para el mundo en vías de desarrollo,
											pero tiene, yo creo, una aplicación mucho más amplia,
											porque la información es muy importante en el sistema de salud.
											Entonces, aquí pueden ver dos ejemplos.
											Uno es un laboratorio que en realidad es de alto nivel en África.
											El segundo es básicamente un emprendedor
											que está instalado y haciendo quién sabe qué en una mesa en un mercado.
											No sé qué tipo de servicios de salud se proporcionan ahí.
											Pero no es lo que probablemente sería lo más eficiente.
									",A lab the size of a postage stamp,George Whitesides,16:16,"TEDx,chemistry,disease,poverty,science,technology,biotech,innovation,health,health care"
"
","
","
","
",A lab the size of a postage stamp,George Whitesides,16:16,"TEDx,chemistry,disease,poverty,science,technology,biotech,innovation,health,health care"
"
											Quelle est notre approche ?
											Et la façon dont on aborde traditionnellement
											un problème pour diminuer les coûts,
											en partant de la perspective des États-Unis,
											est de prendre notre solution,
											et ensuite d'essayer de diminuer les coûts.
											Mais quoi que vous fassiez,
											vous n'arriverez jamais à partir d'un instrument de 100.000 $ US
											et à faire baiser son prix jusqu'à zéro. Ça ne marchera pas.
									","
											Was ist unser Ansatz?
											Die Art, in der man sich normalerweise
											einem Problem der Kostensenkung annähert,
											ausgehend von der Perspektive der Vereinigten Staaten,
											ist, unsere Lösung zu nehmen
											und dann zu versuchen, die Kosten soweit wie möglich zu senken.
											Unabhänging davon, wie man das macht,
											man wird nicht mit einen Instrument für 100.000 Dollar anfangen
											und es dann zu null Kosten bringen. Das funktioniert nicht.
									","
											Bizim yaklaşımımız ne?
											Masraf azaltma problemine
											klasik birinin yaklaşımı gibi
											Amerika Birleşik Devletleri perspektifinden başlayıp,
											çözümü alıp
											masrafları kesmeye çalışarak
											100,000 dolarlık bir aleti
											ne yaparsanız yapın,
											0 maliyete ulaştıramazsınız. Bu yaklaşım işe yaramaz.
									","
											¿Cuál es nuestro enfoque?
											Y la manera en la que uno típicamente enfoca
											el problema de reducir costos,
											empezando desde la perspectiva de los Estados Unidos,
											es tomar nuestra solución,
											y después tratar de reducir costos.
											No importa cómo hagan eso,
											no van a empezar con un instrumento de 100.000 dólares
											y bajarlo a costo nulo. No va a funcionar.
									",A lab the size of a postage stamp,George Whitesides,16:16,"TEDx,chemistry,disease,poverty,science,technology,biotech,innovation,health,health care"
"
","
","
","
",A lab the size of a postage stamp,George Whitesides,16:16,"TEDx,chemistry,disease,poverty,science,technology,biotech,innovation,health,health care"
"
											Donc, l'approche que nous avons prise est de partir de l'autre bout.
											Se demander : ""Quel est le truc le moins cher
											qui pourrait servir à faire des diagnostiques,
											et en tirer des informations utiles,
											et pouvoir ajouter des fonctions ?"" Et nous avons choisi le papier.
											Ce que vous voyez ici est un prototype.
											Il mesure environ un centimètre de coté.
											Ça a la taille d'un ongle.
											Les lignes autour des cotés sont
											un polymère.
											C'est fait en papier, et bien sûr, les fluides se repandent sur du papier.
											Comme vous le savez, du papier, des vêtements; une goutte de vin sur une nappe,
											et le vin se répand et s'infiltre partout.
											Mettez-en sur votre chemise, et elle est foutue.
											C'est ce qu'une surface hydrophile fait.
									","
											Unser Ansatz war also umgekehrt.
											Wir fragten, ""Was ist das billigste Material,
											aus dem man ein diagnostisches System bauen
											und brauchbare Information erhalten könnte,
											wenn es funktionalisiert wird?"" Wir haben Papier gewählt.
											Was Sie hier sehen, ist ein Prototyp.
											Es misst ungefähr einen Zentimeter an der Seite.
											Es ist ungefähr die Größe eines Fingernagels.
											Die Linien an der Seite sind
											aus Polymer.
											Es ist aus Papier, und Papier saugt natürlich Flüssigkeit auf.
											Sie kennen das, Papier, Tischdecke, Wein kleckert auf die Tischdecke
											und der Wein wird überall aufgesaugt.
											Kleckern Sie auf ihr Hemd, es ruiniert das Hemd.
											So wirkt eine hydrophile Oberfläche.
									","
											Bundan dolayı, bizim yaklaşımımız tersten bakmaktı.
											Şu soruyu sorarak ""Çalışan ve yaralı
											bilgi veren teşhıs sistemini en ucuz
											neden yapabiliriz""
											ve biz kağıdı şeçtik.
											Burada gördüğünüz prototipik bir cihaz.
											Bu kenarı bir santimetre kadar.
											Tırnak boyutunda.
											Kenarların çevresindeki cizgiler
											bir polimer.
											Kağıtdan yapılı, ve tabiki kağıt sıvıyı emer.
											Bildiğiniz üzere, kağıt, kumaş, masa örtüsüne bir damla şarap dökun
											ve şarap herşeye bulaşır.
											gömleğinize koyun, gömleği mahveder.
											Hidrofilik -su seven- yüzey böyledir.
									","
											Así que el enfoque que nosotros tomamos fue al revés.
											Nos preguntamos, ""¿cuál es material más barato
											con el que se podría hacer un sistema de diagnóstico,
											y obtener información útil,
											además de función?"" Y lo que escogímos fue el papel.
											Lo que ven aquí es un prototipo de dispositivo.
											Mide alrededor de un centímetro de lado.
											Es más o menos del tamaño de una uña.
											Y las líneas alrededor de los bordes son
											un polímero.
											Está hecho de papel, y el papel absorbe fluidos.
											Como saben, papel, tela, derramen vino sobre un mantel de tela
											y el vino se propaga por todos lados.
											Si lo ponen en su camisa, arruina la camisa.
											Eso es lo que hace una superficie hidrofílica.
									",A lab the size of a postage stamp,George Whitesides,16:16,"TEDx,chemistry,disease,poverty,science,technology,biotech,innovation,health,health care"
