de,en,es,pt,fr,title,speaker,duration,tags
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
											Was würden Sie tun,
											wenn Sie 11,5 Millionen Dokumente
											verifizieren und daraus
schlau werden müssten?
											Das war ein Prüfstein,
											den eine Gruppe von Journalisten
letztes Jahr angehen musste.
											Eine anonyme Person,
nennen wir sie ""Max Mustermann"",
											hat es vollbracht, 40 Jahre
an Dokumenten zu kopieren,
											die der panamaischen Kanzlei
Mossack Fonseca gehören.
											Dies ist eine der vielen Firmen weltweit,
											die sich auf das Einrichten von 
Konten in Steueroasen spezialisiert,
											wie die Britischen Jungferninseln,
											für Reiche und Mächtige,
die ihre Geheimnisse hüten.
									","
											What do you do if you had
to figure out the information
											behind 11.5 million documents,
											verify it and make sense of it?
											That was a challenge
											that a group of journalists
had to face late last year.
											An anonymous person
calling himself John Doe
											had somehow managed to copy
nearly 40 years of records
											of the Panamanian law firm
Mossack Fonseca.
											This is one of many firms around the world
											that specialize in setting up accounts
in offshore tax havens
											like the British Virgin Islands,
											for rich and powerful people
who like to keep secrets.
									","
											¿Qué harían si tuvieran
que encontrar información
											escondida entre 11,5
millones de documentos,
											comprobarla y sacarla a la luz?
											Ese fue el desafío
											al que un grupo de periodistas tuvo
que enfrentarse a finales del año pasado.
											Una persona anónima,
bajo el seudónimo de John Doe,
											ha logrado copiar con éxito
casi 40 años de registros
											de la firma panameña
de abogados Mossack Fonseca.
											Esta es una de las muchas
empresas en el mundo
											especializada en la creación
de cuentas en paraísos fiscales
											como las Islas Vírgenes Británicas
											para gente rica y poderosa
a quién le gusta mantener secretos.
									","
											O que é que vocês fariam se tivessem
que procurar informações
											entre 11,5 milhões de documentos,
											verificá-las e interpretá-las?
											Isso foi o desafio
											que um grupo de jornalistas
enfrentou no ano passado.
											Uma pessoa anónima,
sob o pseudónimo de John Doe,
											conseguiu de algum modo copiar
cerca de 40 anos de ficheiros
											da empresa panamiana de advogados, 
Mossack Fonseca.
											Esta é uma das muitas empresas 
em todo o mundo
											especializada em abrir contas
em paraísos fiscais longínquos,
											como as Ilhas Virgínias britânicas,
											para pessoas ricas e poderosas
que gostam de guardar segredos.
									","
											Que feriez-vous
si vous deviez trouver les informations
											se cachant dans 11,5 millions
de documents,
											les vérifier et en tirer des conclusions ?
											C'était le défi
											auquel un groupe de journalistes
a fait face l'année dernière.
											Une personne anonyme
— appelons-la John Doe —
											avait réussi à copier
près de 40 ans de fichiers
											venant du cabinet d'avocats panaméen
Mossack Fonseca.
											C'est l'une des nombreuses firmes
à travers le monde
											qui se spécialise dans l'ouverture
de comptes dans des paradis fiscaux
											tels que les Îles Vierges britanniques,
											pour les personnes riches et puissantes
voulant garder des secrets.
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
											Max Mustermann gelang es,
von dieser Firma
											jede Kundendatei,
											jede E-Mail,
											seit 1977 bis zum 
heutigen Zeitpunkt, zu kopieren.
											Es stellte das größte Speicher
											an Insiderwissen über Steueroasen dar,
											das je gesehen wurde.
											Aber es war auch ein riesiges Problem 
für den investigativen Journalismus.
											Stellen Sie sich vor:
											11,5 Millionen Dokumente
mit Geheimnissen von Leuten,
											die in über 200 verschiedenen
Ländern leben.
											Wo beginnen Sie bei einem derartigen Fund?
											Wo beginnen Sie
die Geschichte zu erzählen,
											die in alle möglichen Ecken der Welt führt
											und die fast jeden in 
jeder Sprache betreffen kann,
											manchmal auf eine Art, 
die man nicht erwartet hätte.
									","
											John Doe had managed to copy
every spreadsheet from this firm,
											every client file,
											every email,
											from 1977 to the present day.
											It represented the biggest cache
											of inside information
into the tax haven system
											that anyone had ever seen.
											But it also presented a gigantic challenge
to investigative journalism.
											Think about it:
11.5 million documents,
											containing the secrets of people
from more than 200 different countries.
											Where do you start
with such a vast resource?
											Where do you even begin to tell a story
											that can trail off
into every corner of the globe,
											and that can affect almost
any person in any language,
											sometimes in ways
they don't even know yet.
									","
											John Doe logró copiar
cada hoja de cálculo de esta firma,
											los archivos de cada cliente
											y cada correo electrónico
											desde 1977 hasta la fecha.
											Representó la mayor base de datos
de información interna privilegiada
											acerca de los paraísos
fiscales de la historia,
											y también un desafío enorme
para el periodismo de investigación.
											Piénsenlo: 11,5 millones de documentos,
											con secretos de gente
de más de 200 países.
											¿Por dónde empezar con semejante recurso?
											¿Por dónde empezar a contar una historia
											que puede llevarte a todos
los rincones del mundo
											y que puede afectar a casi
cualquier persona en cualquier idioma,
											a veces de maneras que aún ni siquiera
se conocen las consecuencias?
									","
											John Doe conseguiu copiar
todas as folhas de cálculo dessa empresa,
											todos os ficheiros de clientes,
											todos os emails,
											desde 1977 até hoje.
											Representou o maior volume
											de informações internas
sobre o sistema dos paraísos fiscais
											que jamais se tinha visto.
											Mas também representou um desafio enorme
para o jornalismo de investigação.
											Pensem só:
11,5 milhões de documentos,
											que continham os segredos de pessoas
de mais de 200 países diferentes.
											Por onde começar com uma fonte
de informações tão vasta?
											Por onde começar a contar uma história
											que pode prolongar-se
por todos os cantos do globo
											e que pode afetar
qualquer pessoa de qualquer língua,
											por vezes, de formas ainda desconhecidas?
									","
											John Doe avait réussi à copier
toutes les feuilles de calcul de la firme,
											tous les fichiers clients,
											tous les mails,
											depuis 1977.
											C'était le plus gros volume
											d'informations internes
sur le système des paradis fiscaux
											qu'on ait jamais vu.
											Mais cela représentait aussi un énorme
défi pour le journalisme d'investigation.
											Réfléchissez-y :
11,5 millions de documents,
											contenant les secrets de personnes
venant de plus de 200 pays différents.
											Où commencer
avec une ressource aussi vaste ?
											Où commencer à raconter une histoire
											qui peut mener
n'importe où dans le monde,
											qui peut impacter presque n'importe qui,
quelle que soit la langue,
											et cela parfois
sans en connaître les conséquences ?
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
											Max Mustermann hat diese Infos
											an zwei Journalisten von
der Süddeutschen Zeitung gegeben.
											Seine Motivation sei — ich zitiere —:
											""Das Maß an Ungerechtigkeit,
das diese Dokumente offenlegen.""
											Aber eine Person allein
											kann diese Datensätze nicht bewältigen.
											Deswegen hat die Süddeutsche Zeitung
											meine Organisation in 
Washington DC kontaktiert,
											das Internationale Konsortium 
Investigativer Journalisten (ICIJ).
											Wir beschlossen, genau
das Gegenteil davon zu tun,
											was uns als Journalisten
beigebracht wurde:
											teilen.
									","
											John Doe had given the information
to two journalists
											at the German newspaper
Süddeutsche Zeitung.
											He said he was motivated
by — and I quote —
											""The scale of the injustice
that the documents would reveal.""
											But one user alone can never make sense
											of such a vast amount of information.
											So the Süddeutsche Zeitung reached out
											to my organization in Washington, DC,
											The International Consortium
of Investigative Journalists.
											We decided to do something
that was the very opposite
											of everything we'd been taught
to do as journalists:
											share.
									","
											John Doe cedió la información
											a dos periodistas del diario
alemán Süddeutsche Zeitung.
											Dijo que fue motivado por, y cito,
											""El alcance de la injusticia
desenmascarada en estos documentos"".
											Sin embargo, un único usuario
nunca puede comprender
											tal cantidad de información.
											Por eso, el Süddeutsche Zeitung contactó
											con mi organización en Washington, DC,
											el Consorcio Internacional
de los Periodistas de Investigación.
											Decidimos hacer algo
que era todo lo contrario
											de lo que nos habían enseñado
a hacer como periodistas:
											compartir.
									","
											John Doe deu as informações
a dois jornalistas
											do jornal alemão Süddeutsche Zeitung.
											Disse que a sua motivação era
— e vou citar:
											""A dimensão da injustiça
que os documentos vão revelar"".
											Mas um só utilizador
nunca poderia apreender
											uma quantidade 
tão grande de informações.
											Portanto, o Süddeutsche Zeitung
											contactou a minha organização
em Washington, D.C.,
											o Consórcio Internacional
dos Jornalistas de Investigação.
											Decidimos fazer uma coisa
totalmente oposta
											a tudo o que nos tinham ensinado
enquanto jornalistas:
											partilhar.
									","
											John Doe a donné les informations
à deux journalistes
											du journal allemand Süddeutsche Zeitung.
											Il disait être motivé par, je cite :
											« L'envergure de l'injustice
que les documents révéleraient. »
											Une personne seule
ne peut pas appréhender
											un si gros volume d'informations.
											Le Süddeutsche Zeitung a contacté
											mon organisation à Washington :
											le Consortium International
des Journalistes d'Investigation.
											Nous avons décidé de faire
quelque chose s'opposant
											à ce qu'on nous avait enseigné
en tant que journalistes :
											partager.
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
											(Gelächter)
									","
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Rires)
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
											Investigative Journalisten sind
von Natur aus Einzelgänger.
											Wir hüten unsere Geheimnisse,
											zuweilen selbst vor den Chefredakteuren,
											denn wir wissen,
sobald wir diese preisgeben,
											werden sie auf einen Artikel bestehen.
											Und um ehrlich zu sein,
											bei einem guten Beitrag
											will man den Ruhm für sich behalten.
									","
											By nature, investigative
reporters are lone wolves.
											We fiercely guard our secrets,
											at times even from our editors,
											because we know that the moment
we tell them what we have,
											they'll want that story right away.
											And to be frank,
											when you get a good story,
											you like to keep the glory to yourself.
									","
											Por naturaleza, los periodistas de
investigación somos lobos solitarios.
											Guardamos muy bien nuestros secretos
—a veces, incluso de nuestros editores—
											porque sabemos que en el momento
en el que les decimos lo que tenemos,
											querrán la historia de inmediato.
											Y, para ser franco,
											cuando uno tiene una buena historia,
uno quiere quedarse con la gloria.
									","
											Por natureza, os repórteres 
de investigação são lobos solitários.
											Guardamos ferozmente
os nossos segredos,
											por vezes até dos nossos editores,
											porque sabemos que, logo que
lhes contarmos o que temos,
											eles vão querer um artigo imediatamente.
											Para ser franco,
											quando arranjamos uma boa história,
											queremos guardar a glória só para nós.
									","
											Par nature, les reporters d'investigation
sont des loups solitaires.
											Nous protégeons farouchement nos secrets,
											parfois même de nos éditeurs,
											car nous savons que
lorsque nous leur en parlerons,
											ils voudront immédiatement un article.
											Pour être franc,
											quand vous avez un bon sujet,
											vous voulez la gloire rien que pour vous.
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
