en,es,pt,de,fr,tr,title,speaker,duration,tags
"
","
","
","
","
","
",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
											A few years ago,
											I always had this thing happening to me,
											especially at family gatherings
											like teas with aunts and uncles
or something like this.
											When people come up to you,
											and they ask you,
""So, what are you doing?""
											And I would have
this magical one-word reply,
											which would make everybody happy:
											""Medicine.
											I'm going to be a doctor.""
											Very easy, that's it,
everybody's happy and pleased.
											And it could be so easy,
											but this effect really only lasts
for 30 seconds with me,
											because that's then the time
when one of them would ask,
											""So, in what area of medicine?
											What specialty do you want to go into?""
											And then I would have to strip down
in all honesty and just say,
											""OK, so I'm fascinated with the colon.
											It all started with the anus,
											and now it's basically
the whole intestinal tract.""
									","
											Hace unos pocos años,

											siempre me pasaba algo,
											especialmente en reuniones familiares
											como comidas familiares o similares.
											Cuando la gente se acercaba,

											y me preguntaba,
""¿Y, qué estás haciendo?"",
											yo tenía esta respuesta mágica 
con una palabra,
											que hacía felices a todos:
											""Medicina.
											Voy a ser médica"".
											Muy fácil, eso era todo,
todos estaban felices y satisfechos.
											Y podía ser muy fácil,
											pero ese efecto realmente solo duraba
unos 30 segundos,
											porque ese era el momento
en que uno de ellos preguntaba,
											""Y, ¿en qué especialidad de medicina?
											¿En qué quieres especializarte? "".
											Y luego debía ser sincera y
decir con toda honestidad,
											""Bueno, estoy fascinada con el colon.
											Todo comenzó con el ano,
											y ahora me interesa básicamente
todo el tracto intestinal "".
									","
											Há uns anos, acontecia-me
sempre a mesma coisa,
											especialmente em reuniões de família
											como chás com tias e tios
ou coisas do género.
											Quando as pessoas
se aproximavam e perguntavam:
											""Então, o que é que andas a fazer?""
											Eu respondia com uma única
palavra mágica
											que fazia toda a gente feliz:
											""Medicina.
											""Vou ser médica"".
											Muito fácil, toda a gente
ficava feliz e contente.
											E podia ser muito fácil,
											mas esse efeito só durava
30 segundos
											porque chegava a altura
em que um deles perguntava:
											""E em que área da medicina?
											""Que especialidade vais tirar?""
											Nessa altura, eu desfazia-me
em honestidade e dizia:
											""Tenho imenso fascínio pelo cólon.
											""Começou com o ânus
											""e agora é todo o trato intestinal"".
									","
											Vor ein paar Jahren
											ist mir immer etwas passiert,
											vor allem bei Familientreffen
											wie beim Tee mit Onkeln und Tanten 
oder solchen Sachen.
											Wenn Leute auf dich zukommen
											und fragen: ""Und, was machst du so?"",
											hatte ich dann diese 
magische Ein-Wort-Antwort parat,
											mit der alle glücklich waren:
											""Medizin.
											Ich werde Ärztin.""
											So einfach ist das, 
jeder ist glücklich und freut sich.
											Es könnte so einfach sein,
											aber diese Wirkung hielt 
bei mir nur 30 Sekunden an,
											weil das der Zeitpunkt war, 
an dem einer von ihnen fragen würde:
											""Und auf welchem medizinischen Gebiet?
											Auf was willst du dich spezialisieren?""
											Dann würde ich einfach
ganz ehrlich sagen müssen:
											""Okay, also mich fasziniert der Darm.
											Alles fing beim Anus an
											und jetzt ist es praktisch 
der ganze Darmtrakt.""
									","
											Il y a quelques années,
											ce genre de choses m'arrivait toujours,
											surtout lors de réunions familiales
											comme à l'heure du thé
avec des oncles et tantes.
											Quand on vient vous voir,
											et qu'on vous demande :
« Alors, qu'est-ce que tu étudies ? »
											Et j'avais cette réponse 
magique en un seul mot,
											qui rendait tout le monde content :
											« Médecine.
											Je vais être médecin. »
											Très simple, c'est tout, tout le monde
est content et satisfait.
											Et ça pourrait vraiment l'être,
											mais cet effet dure en réalité
seulement 30 secondes avec moi,
											parce que c'est le moment où
l'un d'entre eux demandait :
											« Dans quel domaine ? »
											« Vers quelle spécialité
veux-tu t'orienter ? »
											Je devais alors juste répondre
en toute honnêteté :
											« Bon, je suis fascinée par le côlon.
											Tout a commencé avec l'anus,
											et maintenant c'est 
tout le tube digestif. »
									","
											Birkaç sene önce
											özellikle aile toplantılarında,
											mesela akrabalarımla çay içerken
											hep aynı şeyi yaşardım.
											İnsanlar bana gelip
											""Neyle uğraşıyorsun?"" diye sorarlar,
											ben de o büyülü kelimeyi söylerdim,
											bu da herkesi mutlu ederdi;
											""Tıp.
											Doktor olacağım.""
											Bu kadar basit,
herkes mutlu ve memnundur.
											Bu gerçekten çok kolay olurdu
											ama bu etki bende 
sadece otuz saniye sürüyordu
											çünkü hemen ardından 
içlerinden biri bana,
											""Peki tıbbın hangi alanı?
											Hangi alanda uzmanlaşacaksın?""
diye sorardı.
											Ben de tüm dürüstlüğümü takınıp
											""Ben bağırsaklara meraklıyım,
											Hepsi anüs ile başladı,
											şimdiyse bütün bağırsak yolu
ilgimi çekiyor"" derdim.
									",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
","
","
","
","
","
",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Gelächter)
									","
											(Rires)
									","
											(Gülüşmeler)
									",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
","
","
","
","
","
",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
											And this would be the moment
when the enthusiasm trickled,
											and it would maybe also get,
like, awkwardly silent in the room,
											and I would think this was terribly sad,
											because I do believe
our bowels are quite charming.
									","
											Y ese era el momento
en que el entusiasmo desaparecía,
											y también se creaba
un silencio incomodo en el cuarto,
											y pensaba que era terriblemente triste
											porque yo sí creo que nuestros 
intestinos son muy entrañables.
									","
											Esse era o momento em que
o entusiasmo esmorecia
											e fazia-se um silêncio
incómodo na sala.
											Eu ficava a pensar
que aquilo era uma tristeza
											porque eu acho que as nossas
tripas são encantadoras.
									","
											In dem Moment würde
der Enthusiasmus bröckeln,
											vielleicht würde es plötzlich 
auch peinlich still im Raum,
											und ich würde das 
furchtbar traurig finden,
											weil ich unseren Darm 
wirklich sehr charmant finde.
									","
											C'était le moment où
l'enthousiasme s'évanouissait,
											et un silence gêné s'installait
parfois dans la pièce.
											Je me disais alors
que c'était vraiment triste,
											parce que je pense que nos 
intestins sont tout à fait charmants.
									","
											İşte o zaman ya insanların
ilgisi çekilmiş olur
											ya da oda tuhaf bir sessizliğe gömülürdü.
											Bu çok üzücü bir şey
çünkü ben bağırsaklarımızın
											oldukça çekici olduğunu düşünüyorum.
									",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
","
","
","
","
","
",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Gelächter)
									","
											(Rires)
									","
											(Gülüşmeler)
									",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
","
","
","
","
","
",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
											And while we're in a time
where many people are thinking about
											what new superfood smoothie to make
											or if gluten is maybe bad for them,
											actually, hardly anyone seems to care
about the organ where this happens,
											the concrete anatomy
and the mechanisms behind it.
											And sometimes it seems to me
											like we're all trying
to figure out this magic trick,
											but nobody's checking out the magician,
											just because he has, like,
											an embarrassing hairstyle or something.
											And actually,
											there are reasons science
disliked the gut for a long time;
											I have to say this.
									","
											Y mientras vivimos en un tiempo
en el que muchas personas piensan
											lo que hace un superalimento batido
											o si el gluten es quizás malo para ellos,
											en realidad, a casi nadie parece 
importarle el órgano donde sucede esto,
											la anatomía concreta 
y los mecanismos detrás de esto.

											Y a veces me parece
											como si todos intentamos
descubrir este truco de magia,
											pero nadie se fija en el mago,
											solo porque él tiene, como,
											un peinado vergonzoso o algo así.
											Y en realidad,
											hay razones por las cuales la ciencia 
ha detestado el intestino tanto tiempo;
											tengo que decirlo.
									","
											Embora vivamos numa época
em que muita gente pensa
											em fazer um novo batido superalimentício
											ou se o glúten lhe será prejudicial,
											parece que ninguém se preocupa
com o órgão onde isso acontece,
											com a anatomia concreta
e o mecanismo por detrás dela.
											Por vezes, parece-me
											que estão todos a tentar
descobrir um truque de magia
											mas ninguém repara no mágico
											só porque ele tem
											um penteado bizarro
ou qualquer coisa assim.
											Na verdade, há razões para que a ciência
											tenha desprezado os intestinos
durante muito tempo.
											Tenho que reconhecer isso.
									","
											Wir leben in einer Zeit, in der 
viele Leute darüber nachdenken,
											welchen neuen Superfood-
Smoothie sie machen sollen
											oder ob Gluten vielleicht 
schlecht für sie ist.
											Fast niemand scheint sich um das Organ
zu kümmern, wo all das stattfindet,
											die konkrete Anatomie 
und die Mechanismen dahinter.
											Manchmal scheint es mir,
											als ob wir alle versuchen, 
diesen Zaubertrick zu erraten
											aber niemand sieht sich 
den Zauberer genauer an,
											nur weil er vielleicht
											einen peinlichen Haarschnitt hat.
											Und tatsächlich ...
											gibt es Gründe dafür, dass der Darm
der Wissenschaft lange nicht gefiel;
											das muss ich zugeben.
									","
											Même si c'est une période
où beaucoup de gens pensent
											aux nouveaux smoothies
super nutritifs à faire
											ou si le gluten est mauvais pour eux,
											en fait, presque personne ne se soucie
de l'organe où tout se passe,
											l'anatomie en elle-même
et les mécanismes derrière tout ça.
											Et parfois il me semble
											que nous sommes tous en train
d'essayer de découvrir le tour de magie
											mais personne ne prête
attention au magicien
											juste parce qu'il a comme
											une coupe de cheveux
gênante par exemple.
											En fait,
											il y a plusieurs raisons pour lesquelles
la science ne l'aimait pas,
											Je dois l'avouer.
									","
											İnsanlar süper gıda karışımları
											ve glutenin zararlarıyla
											ilgilendikleri bir dönemdeyken
											aslında hiç kimse bu olan bitenin
nerede gerçekleştiğiyle,
											bu işin anatomisi
ve mekanizmasıyla ilgilenmiyor.
											Bazen öyle geliyor ki
											hepimiz bir sihir hilesini 

											anlamaya çalışıyoruz
											ama sırf sihirbazın kötü bir saç stili
falan varmış gibi
											kimse sihirbazın kendiyle ilgilenmiyor.
											Aslında bilimin uzun zamandır
											bağırsakları sevememesinin
											nedenleri de yok değil.
									",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
