es,tr,pt,title,speaker,duration,tags
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											Quiero contarles cómo obtuve mis
""superpoderes"" a través de la paternidad.
											Tenía un trabajo que odiaba.
											No sé si alguien aquí ha tenido
un trabajo que odiara.
											¿Alguien ha tenido un trabajo que odiara?
									","
											Size babalık sayesinde süper güçlerimi 
nasıl kazandığımı anlatmak istiyorum.
											Nefret ettiğim bir işte çalışıyordum, 
tamam mı?
											Herhangi birinizin nefret ettiği bir işte
çalışıp çalışmadığını bilemiyorum.
											Burada herhangi biri nefret ettiği 
bir işte çalıştı mı hiç?
									","
											Quero contar-vos como consegui
os meus superpoderes na paternidade.
											Tinha um emprego que odiava.
											Não sei se alguém aqui já trabalhou
em algo que odiava.
											Alguém aqui já trabalhou
em algo que odiava?
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											(Risas)
									","
											(Gülüşmeler)
									","
											(Risos)
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											Bien, porque no estoy solo
											y tengo algo que confesar,
no quiero que me juzguen,
											este parece un lugar seguro.
¿Es un lugar seguro?
									","
											Tamam, güzel, yalnız değilim
											itiraf edeceğim bir şey var; 
beni yargılamanızı istemiyorum.
											Burası güvenli bir alan gibi geliyor bana
güvenli alan mı?
									","
											Ainda bem, afinal não estou sozinho
											e tenho algo para confessar
- não quero que me julguem.
											Este parece ser um sítio seguro,
é um sítio seguro?
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											Audiencia: Sí.
									","
											Seyirci: Evet.
									","
											Público: É.
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											Está bien. Odiaba mi trabajo,
no me llevaba bien con mi jefe.
											Estaba sentado en mi auto
mirando el espejo retrovisor,
											tratando de decidir a cuál
de mis amigos le iba a pedir
											que hiciera una amenaza de bomba
para no tener que volver al edificio.
									","
											Tamam, nefret ettiğim bir işte 
çalışıyordum,
											patronum ve ben iyi geçinemiyorduk.
											Arabamda dikiz aynasına bakarak 
oturuyordum
											bomba ihbarı yapmak için hangi arkadaşımı
aramam gerektiğini düşünüyordum
											ki binanın içine geri dönmeyeyim.
											(Gülüşmeler)
									","
											Glen Henry: Tinha um emprego que odiava,
											o meu chefe e eu
não nos estávamos a dar bem.
											Sentava-me no meu carro,
a olhar pelo retrovisor,
											a pensar a que amigo poderia ligar
											para alertar para uma
ameaça de bomba
											para não ter de voltar para o edifício.
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
