en,fr,title,speaker,duration,tags
"
","
",How Argentina's blind soccer team became champions,Gonzalo Vilariño,14:19,"collaboration,disability,community,personal growth,education,TEDx,sports,TED en Español,blindness"
"
											I opened a blind man's head.
											I didn't make him think or reflect —
I cracked his head open, literally.
											We were walking with him
holding onto my shoulder,
											I miscalculated how much space
there was between us,
											and I knocked him into a gate.
									","
											J'ai ouvert le crâne d'un aveugle.
											Je ne l'ai pas fait réfléchir ou penser,
je lui ai littéralement ouvert la tête.
											Nous marchions,
il se tenait à mon épaule,
											j'ai mal calculé l'espace
qu'il y avait entre nous
											et je l'ai cogné contre un portail.
									",How Argentina's blind soccer team became champions,Gonzalo Vilariño,14:19,"collaboration,disability,community,personal growth,education,TEDx,sports,TED en Español,blindness"
"
","
",How Argentina's blind soccer team became champions,Gonzalo Vilariño,14:19,"collaboration,disability,community,personal growth,education,TEDx,sports,TED en Español,blindness"
"
											(Laughter)
									","
											(Rires)
									",How Argentina's blind soccer team became champions,Gonzalo Vilariño,14:19,"collaboration,disability,community,personal growth,education,TEDx,sports,TED en Español,blindness"
"
","
",How Argentina's blind soccer team became champions,Gonzalo Vilariño,14:19,"collaboration,disability,community,personal growth,education,TEDx,sports,TED en Español,blindness"
"
											Five stitches in his forehead.
											At that moment, I felt like
the worst teacher in the world.
											I really didn't know how to apologize.
											Luckily, El Pulga is one of those people
who takes things quite well.
											And to this day, he says
that I was the coach
											who left the most important
mark on his career.
									","
											Cinq points de suture sur son front.
											J'avais l'impression d'être
le pire professeur au monde.
											Je ne savais pas comment m'excuser.
											Heureusement, El Pulga fait partie
de ces gens qui prennent tout bien.
											Il dit toujours que j'ai été le coach
											qui a eu le plus gros « impact »
sur sa carrière.
									",How Argentina's blind soccer team became champions,Gonzalo Vilariño,14:19,"collaboration,disability,community,personal growth,education,TEDx,sports,TED en Español,blindness"
"
","
",How Argentina's blind soccer team became champions,Gonzalo Vilariño,14:19,"collaboration,disability,community,personal growth,education,TEDx,sports,TED en Español,blindness"
"
											(Laughter)
									","
											(Rires)
									",How Argentina's blind soccer team became champions,Gonzalo Vilariño,14:19,"collaboration,disability,community,personal growth,education,TEDx,sports,TED en Español,blindness"
"
","
",How Argentina's blind soccer team became champions,Gonzalo Vilariño,14:19,"collaboration,disability,community,personal growth,education,TEDx,sports,TED en Español,blindness"
"
											The truth is, when I started working
at the institute for the blind,
											I was surprised by a lot of things.
											A lot of the things they did,
I never imagined they could:
											they swam, did exercise, played cards.
											They drank mate, and could pour it
											without burning themselves in the process.
									","
											En vérité, lors de mes débuts
dans un institut pour aveugles,
											beaucoup de choses m'ont surpris.
											Ils faisaient beaucoup de choses
que j'aurais crues impossibles :
											ils nageaient, faisaient de l'athlétisme,
jouaient aux cartes.
											Ils buvaient du mate et le versaient
											sans se brûler au passage.
									",How Argentina's blind soccer team became champions,Gonzalo Vilariño,14:19,"collaboration,disability,community,personal growth,education,TEDx,sports,TED en Español,blindness"
"
","
",How Argentina's blind soccer team became champions,Gonzalo Vilariño,14:19,"collaboration,disability,community,personal growth,education,TEDx,sports,TED en Español,blindness"
"
											But when I saw them playing soccer —
											that was amazing.
											They had a dirt field,
rusty goalposts and broken nets.
											The blind who attended the institute
would play their games there,
											just like I did at a field near my house.
											But they played without being able to see.
											The ball made a sound
so they could locate it.
											They had a guide
behind the rival team's goal
											to know where to kick the ball.
											And they used eye masks.
											There were guys
who could still see a little,
											and they wore eye masks
so everyone was equal.
									","
											Mais quand je les ai vus jouer au foot,
											j'ai trouvé ça incroyable.
											Ils avaient un terrain en terre,
des poteaux rouillés et des filets percés.
											Les aveugles de l'institut
jouaient là-bas,
											comme moi je jouais
dans un champ près de chez moi.
											Mais ils jouaient
sans être capables de voir.
											Le ballon émettait un son
pour qu'ils puissent le localiser.
											Ils avaient un guide
derrière le but adverse
											pour savoir vers où tirer le ballon.
											Ils avaient des masques sur les yeux.
											Certains pouvaient voir un peu
											et ils portaient des masques
pour mettre tout le monde à égalité.
									",How Argentina's blind soccer team became champions,Gonzalo Vilariño,14:19,"collaboration,disability,community,personal growth,education,TEDx,sports,TED en Español,blindness"
"
","
",How Argentina's blind soccer team became champions,Gonzalo Vilariño,14:19,"collaboration,disability,community,personal growth,education,TEDx,sports,TED en Español,blindness"
