es,fr,de,title,speaker,duration,tags
"
","
","
",Global ethic vs. national interest,Gordon Brown,17:10,"Europe,big problems,environment,global issues,government,interview,politics,war"
"
											Chris Anderson: Muchas gracias, Primer Ministro,
											fue a la vez fascinante e inspirador.
											¿Así que Ud. brega por una ética mundial?
											¿Diría que se trata de una ciudadanía mundial?
											¿Cree en esa idea? ¿Cómo la definiría?
									","
											Chris Anderson : Merci beaucoup, Monsieur le Premier Ministre,
											ce fut aussi passionnant qu'inspirant.
											Donc, vous appelez au développement d'une éthique planétaire.
											Décrieriez vous cela comme une citoyenneté mondiale ?
											Est-ce une idée à laquelle vous croyez, et comment la définiriez vous ?
									","
											Chris Anderson: Vielen Dank, Herr Premierminister,
											das war faszinierend und inspirierend.
											Sie fordern also eine globale Ethik.
											Würden Sie das als globale Bürgerschaft bezeichnen?
											Glauben Sie an diese Idee, und wie würden Sie sie definieren?
									",Global ethic vs. national interest,Gordon Brown,17:10,"Europe,big problems,environment,global issues,government,interview,politics,war"
"
","
","
",Global ethic vs. national interest,Gordon Brown,17:10,"Europe,big problems,environment,global issues,government,interview,politics,war"
"
											Gordon Brown: Pienso que se trata de ciudadanía mundial. Se trata de reconocer
											nuestras responsabilidades hacia otros.
											Hay mucho por hacer en los próximos años
											es obvio para muchos de nosotros:
											contruir un mundo mejor.
											Hay un sentimiento compartido
											de lo que hay que hacer
											que es vital que nos unamos.
											Pero no necesariamente tenemos los medios para hacerlo.
									","
											Gordon Brown : Je crois qu'il s'agit bien de citoyenneté mondiale. Il s'agit de reconnaitre
											nos responsabilités envers les autres.
											Il y a tant de choses à faire au cours des prochaines années
											qui sont évidentes pour beaucoup d'entre nous
											pour construire un monde meilleur.
											Et il y a tellement de sens partagé
											sur ce que nous devons faire,
											qu'il est essentiel que nous marchions tous ensemble.
											Mais nous n'avons pas forcément les moyens de le faire.
									","
											Gordon Brown: Ich glaube es geht um globale Bürgerschaft, um das Erkennen
											unserer Verantwortung gegenüber anderen.
											Vielen von uns ist klar, dass es in den
											nächsten Jahren viel zu tun gibt
											beim Aufbau einer besseren Welt.
											Es besteht ein so starkes gemeinsames Verständnis
											dafür was zu tun ist,
											dass wir unbedingt zusammen kommen müssen.
											Aber dazu haben wir nicht unbedingt die Mittel.
									",Global ethic vs. national interest,Gordon Brown,17:10,"Europe,big problems,environment,global issues,government,interview,politics,war"
"
","
","
",Global ethic vs. national interest,Gordon Brown,17:10,"Europe,big problems,environment,global issues,government,interview,politics,war"
"
											Por eso hay desafíos que sortear.
											Creo que la idea de una ciudadanía mundial
											surgirá de la comunicación mutua de la gente entre continentes.
											Luego, claro, hay que crear las instituciones
											para que funcione la sociedad mundial.
											Pienso que no deberíamos subestimar la incidencia de los
											cambios tecnológicos masivos
											en la vinculación de personas a nivel mundial.
									","
											Il y a donc des défis à relever.
											Je crois que le concept de citoyenneté mondiale
											va simplement émerger des discussions de personnes issues de continents différents.
											Mais après, bien sûr, le travail consiste à créer les institutions
											permettant à cette société globale de fonctionner.
											Mais je ne crois pas qu'il faille sous-estimer la mesure dans laquelle
											les changements massifs dans la technologie
											rendent possible l'interconnexion de personnes à travers le monde.
									","
											Also stehen wir Herausforderungen gegenüber.
											Ich glaube, dass sich das Konzept einer globalen Bürgerschaft
											einfach aus Leuten, die über Kontinente hinweg miteinander reden, entwickeln wird.
											Dann müssen jedoch die Institutionen zum Funktionieren
											einer globalen Gesellschaft geschaffen werden.
											Wir sollten auch nicht das Ausmaß unterschätzen, in dem
											massive technologische Änderungen
											die Vernetzung von Menschen überall auf der Welt ermöglichen.
									",Global ethic vs. national interest,Gordon Brown,17:10,"Europe,big problems,environment,global issues,government,interview,politics,war"
"
","
","
",Global ethic vs. national interest,Gordon Brown,17:10,"Europe,big problems,environment,global issues,government,interview,politics,war"
"
											CA: A la gente le entusiasma la idea de la ciudadanía mundial
											pero luego se confunde un poco
											al pensar en el patriotismo
											y en cómo combinar las dos cosas.
											Digo, Ud. fue elegido Primer Ministro
											para defender a Gran Bretaña.
											¿Cómo concilia ambas cosas?
									","
											CA : Les gens se passionnent pour cette idée de citoyenneté mondiale,
											mais ensuite ils sont de nouveau un peu confus
											lorqu'ils commencent à réfléchir d'une manière plus patriotique
											et comment combiner les deux.
											Je veux dire, vous avez été élu au poste de Premier Ministre
											pour défendre les intérêt de l'Angleterre.
											Comment pouvez vous concilier ces deux éléments ?
									","
											CA: Die Idee einer globalen Bürgerschaft versetzt Menschen in Begeisterung,
											aber sie verwirrt auch, wenn man einmal
											über Patriotismus nachdenkt und wie sich
											diese beiden Pole kombinieren lassen.
											Ich meine, als gewählter Premierminister haben
											Sie den Auftrag, für Großbritannien anzutreten.
											Wie vereinbaren Sie diese beiden Dinge?
									",Global ethic vs. national interest,Gordon Brown,17:10,"Europe,big problems,environment,global issues,government,interview,politics,war"
"
","
","
",Global ethic vs. national interest,Gordon Brown,17:10,"Europe,big problems,environment,global issues,government,interview,politics,war"
"
											GB: Bueno, desde ya, la identidad nacional es importante.
											Pero no a costa de las responsabilidades mundiales.
											Y pienso que uno de los problemas de la recesión
											es el proteccionismo de la gente,
											se miran a sí mismos,
											y tratan de proteger sus naciones♫
											quizá a costa de otras naciones.
											Si mira el motor de la economía mundial
											no se mueve a menos
											que haya comercio internacional.
											Las naciones proteccionistas de los últimos años
											se privarán de obtener los beneficios
											del crecimiento en la economía mundial.
									","
											Oui, bien sûr, l'identité nationale demeure importante.
											Mais ce n'est pas au détriment des personnes qui acceptent leurs reponsabilités mondiales.
											Et je pense que l'un des problèmes d'une récession
											est que les gens deviennent plus protectionnistes,
											qu'ils se replient sur eux mêmes,
											qu'ils essaient de protéger leur propre pays,
											et cela, peut-être, aux dépends des autres pays.
											En fait, quand vous regardez le moteur de l'économie mondiale,
											il ne peut avancer
											que si les différents pays commercent entre eux.
											Et toute nation qui deviendrait protectionniste au cours des prochaines années
											se priverait des bénéfices engendrés
											par la croissance de l'économie mondiale.
									","
											GB: Nun, natürlich ist nationale Identität weiterhin wichtig,
											nicht jedoch auf Kosten derer, die sich ihrer globalen Verantwortung bewusst sind.
											Meiner Meinung nach ist eines der Probleme einer Rezession,
											dass Menschen protektionistischer werden,
											sie betrachten ihre eigenen Situation,
											sie versuchen ihre eigene Nation zu schützen,
											vielleicht auf Kosten anderer Länder.
											Schaut man sich einmal den Motor der Weltwirtschaft an,
											so geht sie nicht weiter, ohne dass
											verschiedene Länder miteinander Handel treiben.
											Eine Nation, die in den nächsten Jahren einen protektionistischen Weg geht,
											bringt sich um die Chance, am Nutzen eines Wachstums
											der Weltwirtschaft teilzuhaben.
									",Global ethic vs. national interest,Gordon Brown,17:10,"Europe,big problems,environment,global issues,government,interview,politics,war"
