en,tr,pt,title,speaker,duration,tags
"
","
","
",How cohousing can make us happier (and live longer),Grace Kim,10:15,"architecture,cities,community,design,society,urban planning"
"
											Loneliness.
											All of us in this room
will experience loneliness
											at some point in our lives.
											Loneliness is not
a function of being alone,
											but rather, a function
of how socially connected you are
											to those around you.
											There could be somebody
in this room right now
											surrounded by a thousand people
											experiencing loneliness.
											And while loneliness
can be attributed to many things,
											as an architect,
											I'm going to tell you today
how loneliness can be the result
											of our built environments —
											the very homes we choose to live in.
									","
											Yalnızlık.
											Hepimiz hayatının bir noktasında
											yalnızlık duygusunu yaşayacaktır.
											Yalnızlık yalnız olmanın işlevi değil
											aksine çevrenizdeki kişilere sosyal olarak
											ne kadar bağlı olduğunuzun
bir göstergesidir.
											Şu an bu odada bulunan biri
											binlerce insan
etrafını sarmış olsa dahi
											yalnız hissedebilir.
											Ve yalnızlık birçok şeye
dayandırılabilecekken,
											bir mimar olarak,
											bugün size, yalnızlığın
inşa edilen çevrelerimizin

											- içinde yaşadığımız evlerimizin -
											nasıl bir sonucu olabileceğini
anlatacağım.
									","
											Solidão.
											Todos nós nesta sala
experimentamos a solidão
											em qualquer momento da nossa vida.
											Solidão não significa estar sozinho,
											mas sim até que ponto
estamos socialmente interligados
											aos que estão à nossa volta.
											Pode haver alguém nesta sala,
neste mesmo momento,
											rodeado de mil pessoas,
											que se sinta só.
											Embora a solidão
possa ser atribuída a muitas coisas,
											enquanto arquiteta,
											vou dizer-vos como a solidão
pode ser o resultado
											dos ambientes que criamos,
											das casas em que escolhemos viver.
									",How cohousing can make us happier (and live longer),Grace Kim,10:15,"architecture,cities,community,design,society,urban planning"
"
","
","
",How cohousing can make us happier (and live longer),Grace Kim,10:15,"architecture,cities,community,design,society,urban planning"
"
											Let's take a look at this house.
											It's a nice house.
											There's a big yard, picket fence,
											two-car garage.
											And the home might be
in a neighborhood like this.
											And for many people around the globe,
											this home, this neighborhood —
											it's a dream.
											And yet the danger of achieving this dream
											is a false sense of connection
											and an increase in social isolation.
									","
											Şimdi bu eve bir bakın.
											Güzel bir ev.
											Büyük bir bahçesi, çitleri,
											iki arabalık garajı var.
											Ve ev böyle bir mahallede olabilir.
											Ve dünyadaki birçok insan için
											bu ev, bu mahalle —
											bir rüya.
											Ve bu rüyayı gerçekteştirmenin tehlikesi
											aldatıcı bir dostluk duyusu
											ve sosyal izolasyonda bir artıştır.
									","
											Reparem nesta casa.
											É uma bonita casa.
											Tem um grande pátio, uma vedação,
											uma garagem para dois carros.
											E pode estar num bairro como este.
											Para muita gente em todo o planeta,
											esta casa, este bairro
											seria um sonho.
											Contudo, o perigo
de concretizar este sonho
											é uma falsa sensação de interligação
											e o aumento do isolamento social.
									",How cohousing can make us happier (and live longer),Grace Kim,10:15,"architecture,cities,community,design,society,urban planning"
"
","
","
",How cohousing can make us happier (and live longer),Grace Kim,10:15,"architecture,cities,community,design,society,urban planning"
"
											I know, I can hear you now,
											there's somebody in the room
screaming at me inside their head,
											""That's my house,
and that's my neighborhood,
											and I know everyone on my block!""
											To which I would answer, ""Terrific!""
											And I wish there were
more people like you,
											because I'd wager to guess
there's more people in the room
											living in a similar situation
											that might not know their neighbors.
											They might recognize them and say hello,
											but under their breath,
											they're asking their spouse,
											""What was their name again?""
											so they can ask a question by name
to signify they know them.
									","
											Biliyorum, sizi duyabiliyorum,
											odadakilerden birileri
kafalarının içinden bana bağırıyor:
											""Bu benim evim
ve bu benim mahallem
											ve etrafımdaki herkesi tanıyorum!""
											Ki buna cevabım ise, ""Müthiş!""
											Ve keşke sizin gibi daha çok insan olsa,
											çünkü bu odada aynı durumda olan
											ve komşularını tanımayan
daha çok kişi olduğuna
											bahse girerim.
											Onları tanıyor ve
selam veriyor olabilirler
											ama belli etmeden
											eşlerine ""Onların adı neydi?"" diye
											soruyorlardır ki böylece
											isimlerini söyleyerek bir soru sorabilir
ve onları tanıdıklarını gösterebilirler.
									","
											Eu sei, estou a ouvir-vos,
											há na sala alguém a protestar
silenciosamente:
											""Aquela é a minha casa,
aquele é o meu bairro.
											""Eu conheço toda a gente
do meu quarteirão!""
											A isso eu respondo: ""Excelente!""
											E desejo que haja mais pessoas assim,
											porque atrevo-me a pensar
que há mais pessoas nesta sala
											que vivem numa situação semelhante
											que talvez não conheçam os vizinhos.
											Podem reconhecê-los e cumprimentá-los,
											mas, disfarçadamente,
											perguntam à mulher:
											""Como é que eles se chamam?""
											para poderem tratá-los pelo nome,
mostrando que os conhecem.
									",How cohousing can make us happier (and live longer),Grace Kim,10:15,"architecture,cities,community,design,society,urban planning"
"
","
","
",How cohousing can make us happier (and live longer),Grace Kim,10:15,"architecture,cities,community,design,society,urban planning"
"
											Social media also contributes
to this false sense of connection.
											This image is probably all too familiar.
											You're standing in the elevator,
											sitting in a cafe,
											and you look around,
											and everyone's on their phone.
											You're not texting or checking Facebook,
											but everyone else is,
											and maybe, like me,
you've been in a situation
											where you've made eye contact,
											smiled and said hello,
											and have that person
yank out their earbuds
											and say, ""I'm sorry, what did you say?""
											I find this incredibly isolating.
									","
											Sosyal medya da bu aldatıcı dostluk
duyusuna katkıda bulunuyor.
											Bu resim muhtemelen oldukça tanıdık.
											Asansörde dikiliyorsunuz,
											kahvede oturuyorsunuz
											ve etrafınıza bakınıyorsunuz
											ve herkes telefonlarına bakıyor.
											Siz mesaj yazmıyor veya
Facebook'a bakmıyorsunuzdur
											ama herkes öyledir
											ve belki de, benim gibi,

											göz teması kurmuş,
											gülümsemiş ve selam vermişken
											o kişi kulaklıklarını çıkartarak
şöyle demiştir:
											""Pardon, ne dediniz?""
											Bunu son derece tecrit edilmiş buluyorum.
									","
											As redes sociais também contribuem
para esta sensação falsa de ligação.
											Esta imagem também deve ser
muito familiar.
											Estamos no elevador,
											sentados num café,
											olhamos à nossa volta
											e toda a gente está a olhar
para o telemóvel.
											Não estamos a enviar mensagens
nem a espreitar o Facebook
											mas os outros estão.
											Talvez, como eu,
já estiveram numa situação
											em que entramos em contacto visual,
											sorrimos e dizemos olá,
											e essa pessoa tira os auriculares
e diz:
											""Desculpe, o que é que disse?""
											Eu considero isto extremamente isolador.
									",How cohousing can make us happier (and live longer),Grace Kim,10:15,"architecture,cities,community,design,society,urban planning"
"
","
","
",How cohousing can make us happier (and live longer),Grace Kim,10:15,"architecture,cities,community,design,society,urban planning"
"
											The concept I'd like
to share with you today
											is an antidote to isolation.
											It's not a new concept.
											In fact, it's an age-old way of living,
											and it still exists in many
non-European cultures
											around the world.
											And about 50 years ago,
											the Danes decided to make up a new name,
											and since then,
											tens of thousands of Danish people
have been living in this connected way.
											And it's being pursued
more widely around the globe
											as people are seeking community.
											This concept
											is cohousing.
									","
											Bugün sizinle paylaşmak istediğim kavram
											tecrit edilmeye bir panzehir.
											Yeni bir kavram değil.
											Aslında, bu çok eski bir yaşam şekli
											ve dünyadaki Avrupalı olmayan kültürlerde
											hâlâ mevcut.
											Ve yaklaşık 50 yıl önce,
											Danimarkalılar
yeni bir isim bulmak istemiş
											ve o zamandan beri
											on binlerce Danimarkalı
böyle sosyal bir hayat yaşıyormuş.
											Ve bu, insanlar toplum ararken
											dünya çapında daha yaygın
bir şekilde takip ediliyor.
											Bu kavram
											ortak barınma.
									","
											O conceito que gostava
de vos transmitir hoje
											é um antídoto para o isolamento.
											Não é um conceito novo.
											Na verdade, é uma forma de viver
com séculos
											e ainda existe em muitas culturas
fora da Europa, em todo o mundo.
											Há uns 50 anos a esta parte
											os dinamarqueses decidiram
arranjar um novo nome
											e, desde então,
											dezenas de milhares de dinamarqueses
têm vivido desta forma interligada.
											Têm sido imitados cada vez mais
por todo o planeta
											enquanto pessoas que procuram comunidade.
											Este conceito
											é a coabitação.
									",How cohousing can make us happier (and live longer),Grace Kim,10:15,"architecture,cities,community,design,society,urban planning"
