fr,pt,tr,de,en,es,title,speaker,duration,tags
"
","
","
","
","
","
",Organic algorithms in architecture,Greg Lynn,18:54,design
"
											Ce dont je pensais vous parler aujourd'hui
											est la transition d'un mode
											de pensée à propos de la nature
											à un autre qui est porté par l'architecture.
											Ce qui est intéressant à propos des architectes est
											que nous avons toujours essayé de justifier la beauté
											en regardant la nature,
											et de façon discutable, une belle architecture
											s'est toujours inspirée d'un modèle de la nature.
									","
											Pensei que poderia abordar hoje
											a transição de uma forma de pensar
sobre a natureza
											para uma outra
que é seguida pela arquitetura.
											O que é interessante nos arquitetos,
											é que sempre procurámos 
justificar a beleza
											observando a natureza.
											Provavelmente, a arquitetura bela
											sempre se inspirou num modelo da natureza.
									","
											Bugün hakkında konuşmayı düşündüğüm şey,
											tabiat hakkında bir düşünce biçiminden
											mimarinin izlediği bir diğerine
											geçiş hakkında olacak.
											Mimarların ilginç bir özelliği de,
											biz daima güzelliği
											tabiata başvurarak düzenlemeye çalıştık,
											ve muhtemelen, güzel mimari
											daima bir tabiat modelini andırıyordu.
									","
											Worüber ich heute sprechen wollte,
											ist der Übergang von einem Modell
											über Natur nachzudenken
											zu einem anderen, das von der Architektur gefolgt wird.
											Das Interessante an Architekten ist,
											wir haben immer versucht,
											Schönheit in der Natur zu begründen,
											und schöne Architektur
											hat immer sein Vorbild in der Natur gesucht.
									","
											What I thought I would talk about today
											is the transition from one mode
											of thinking about nature
											to another that's tracked by architecture. 


											What's interesting about architects is, 


											we always have tried to justify beauty 


											by looking to nature,
											and arguably, beautiful architecture 


											has always been looking at a model of nature. 


									","
											Hoy pensaba que hablaría
											de la transición de un modo
											de pensar en la Naturaleza
											a otro logrado por la arquitectura.
											Lo interesante de los arquitectos es que
											siempre hemos intentado justificar la belleza
											mirando a la Naturaleza
											y podría decirse que la arquitectura hermosa
											siempre la ha tomado como modelo.
									",Organic algorithms in architecture,Greg Lynn,18:54,design
"
","
","
","
","
","
",Organic algorithms in architecture,Greg Lynn,18:54,design
"
											Ainsi, pendant près de 300 ans,
											le débat brûlant en architecture
											était si le nombre cinq
											ou le nombre sept
											était une meilleure proportion pour penser à l'architecture
											parce que le nez était un cinquième de votre tête
											ou parce que votre tête était un septième de votre corps.
											Et la raison pour laquelle c'était le modèle
											de la beauté et de la nature
											était parce que le point décimal n'avait pas été encore inventé —
											c'est au 16ème siècle
											et tout le monde devait mesurer un bâtiment
											en terme de fractions,
											ainsi une pièce était mesurée
											comme un quart d'une façade;
											une plateforme de construction de cela pouvait être mesurée comme 10 unités,
											et vous arriviez aux petits éléments
											par subdivision fractionnaire:
											de plus en plus petite.
									","
											Assim, durante cerca de 300 anos,
											a grande discussão na arquitetura
											foi se era o número cinco
ou o número sete
											a melhor proporção 
para raciocinar em arquitetura
											porque o nariz era um quinto da cabeça,
											ou porque a cabeça era um sétimo do corpo.
											A razão pela qual era esse o modelo
da beleza e da natureza
											era porque a vírgula decimal 
ainda não tinha sido inventada.
											Foi-o no século XVI
											e todos tinham que dimensionar um edifício
											em termos de frações,
											Assim, uma sala seria dimensionada
											como a quarta parte da fachada,
											a base estrutural podia ser 10 unidades,
											e podíamos chegar aos pequenos elementos
											por subdivisão fraccionária:
											do pequeno para o mais pequeno.
									","
											Böylece, neredeyse 300 yıl boyunca,
											mimarideki bu sıcak tartışma
											beş rakamının mı
											yoksa yedi rakamının mı
											mimari için en uygun oran olduğu hakkındaydı
											çünkü burnumuz başımızın beşte biri oranındadır
											ya da başımız bedenimizin yedide biridir.
											Ve tabiattaki güzeliğin
											oranının bu olmasının sebebi
											ondalık sayıların henüz keşfedilmemiş olmasıydı.
											Henüz 16. yüzyıl değildi
											ve herkesin bir binayı bölmelere ayırarak
											boyutlandırması gerekiyordu
											böylece bir oda binanın ön cephesinin
											dörtte biri oranında boyutlandırılabilir
											gölgeliğin yapısı 10 birim olarak boyutlandırılabilir
											ve siz de daha küçük unsurlara
											parselasyon işlemiyle devam edebilirdiniz:
											daha düzgün ve daha düzgün ve daha düzgün...
									","
											Seit etwa 300 Jahren
											war die heiße Debatte in der Architektur,
											ob die Nummer fünf
											oder die Nummer sieben
											eine bessere Proportion in der Architektur sei,
											weil die Nase ein Fünftel des Kopfes,
											oder der Kopf ein Siebtel des Körpers war.
											Und der Grund dafür, dass dies das Vorbild
											für Schönheit und Natur war,
											lag daran, dass das Komma noch nicht erfunden war –
											es war nicht das 16. Jahrhundert –
											und jeder musste ein Gebäude
											mit Hilfe von Teilungsverhältnissen bemaßen,
											ein Raum wurde
											als ein Viertel einer Fassade bemaßt;
											das strukturelle Podest davon könnte 10 Einheiten sein,
											und man würde zu den kleinen Elementen
											mit minimaler Unterteilung kommen:
											feiner und feiner und feiner.
									","
											So, for roughly 300 years, 


											the hot debate in architecture
											was whether the number five 


											or the number seven
											was a better proportion to think about architecture, 

											because the nose was one-fifth of your head, 


											or because your head was one-seventh of your body. 


											And the reason that that was the model 


											of beauty and of nature
											was because the decimal point had not been invented yet — 


											it wasn't the 16th century —
											and everybody had to dimension a building 


											in terms of fractions,
											so a room would be dimensioned 


											as one-fourth of a facade;
											the structural dais of that might be dimensioned as 10 units,
											and you would get down to the small elements 


											by fractional subdivision: 


											finer and finer and finer.
									","
											Así, durante 300 años
											el debate candente de la arquitectura
											fue si el número cinco
											o el número siete
											era una mejor proporción para pensarla
											porque la nariz era 1/5 de la cabeza
											o porque la cabeza era 1/7 del cuerpo.
											Y ese era el modelo
											de belleza y de naturaleza
											porque no se había inventado el decimal.
											Eso pasó en el siglo XVI,
											y todos tenían que dimensionar un edificio
											en términos de fracciones,
											así, una habitación se dimensionaba
											como 1/4 de una fachada;
											la plataforma estructural podrían ser las 10 unidades
											y se obtiene los elementos pequeños
											por subdivisión fraccionaria
											cada vez más y más fina.
									",Organic algorithms in architecture,Greg Lynn,18:54,design
"
","
","
","
","
","
",Organic algorithms in architecture,Greg Lynn,18:54,design
"
											Au 15ème siècle, le point décimal a été inventé;
											les architectures ont arrêté d'utiliser les fractions,
											et ils avaient un nouveau modèle de la nature.
											Ainsi, ce qui se passe aujourd'hui
											est qu'il y a un modèle de forme naturelle
											qui est basé sur le calcul infinitésimal
											et qui utilise des outils numériques,
											et cela a beaucoup d'implications
											sur la façon dont nous pensons à la beauté et à la forme,
											et aussi sur la façon dont nous pensons à la nature.
											Le meilleur exemple de ceci est probablement le style gothique,
											et le style gothique a été inventé après l'invention du calcul infinitésimal,
											bien que les architectes gothiques
											n'aient pas vraiment utilisé le calcul infinitésimal pour définir leur formes.
											Mais ce qui était important est,
											que le moment gothique en architecture était la première fois
											que la force et le mouvement était pensés en terme de forme.
									","
											A vírgula decimal
foi inventada no século XV,
											os arquitetos deixaram de usar frações,
											e passaram a ter 
um novo modelo da natureza.
											Então, o que se passa hoje
											é que existe um modelo da forma natural
											que é fundamentado na álgebra
											e que utiliza ferramentas digitais,
											o que tem uma série de implicações
											na forma de pensar a beleza e a forma,
											e tem muitas implicações
na forma de pensar a natureza.
											O melhor exemplo disto
seria provavelmente o gótico.
											O gótico foi inventado
depois da descoberta do cálculo,
											muito embora os arquitetos do gótico
											não tenham usado o cálculo
para definir as suas formas.
											Mas o o mais importante
											é que a época do gótico 
foi a primeira vez na arquitetura
											em que força e o movimento 
foram pensados em termos de forma.
									","
											15. yüzyılda ondalık sistem icat edildi:
											mimarlar bölümlendirme işini terkettiler
											ve ellerinde tabiatın yeni bir modeli vardı.
											Böylece, günümüzde
											kalkülüs temelli
											ve dijital araçları kullanan
											ve güzellik ve biçim hakkındaki düşünce şeklimize
											birçok etkileri olan
											tabi biçim modeli var.
											Ve tabiat hakkındaki düşüncemize birçok etkisi var.
											Buna en iyi örnek muhtemelen Gothic olabilir,
											Gothic kalkülüsün keşfinden sonra bulunmuştur.
											Aslında Gothic mimarları
											biçimlerini tanımlamak için kalkülüs kullanmıyorladı.
											Fakat asıl önemli olan
											mimaride Gothic dönemi, biçim açısından
											kuvvet ve hareketin birlikte düşünüldüğü ilk dönemdi.
									","
											Im 15. Jahrhundert wurde das Komma erfunden;
											Architekten hörten auf, Teilungen zu verwenden,
											und sie hatten ein neues Vorbild der Natur.
											Heute gibt es ein Modell
											natürlicher Form,
											welches auf der Analysis basiert
											und digitale Werkzeuge benutzt,
											und das hat große Auswirkungen
											auf unsere Betrachtungsweise von Schönheit und Form,
											und es hat große Auswirkungen auf unsere Betrachtung der Natur.
											Das beste Beispiel hierfür ist wohl die Gotik,
											und die Gotik entstand nach der Erfindung der Analysis,
											obwohl die gotischen Architekten
											nicht wirklich die Analysis zur Definierung ihrer Form benutzt haben.
											Aber das Wichtige ist,
											der gotische Zeitpunkt in der Architektur war das erste Mal,
											dass sich Kraft und Bewegung in der Form widerspiegelten.
									","
											In the 15th century, the decimal point was invented; 


											architects stopped using fractions, 


											and they had a new model of nature. 


											So, what's going on today 


											is that there's a model of natural form
											which is calculus-based 


											and which is using digital tools,
											and that has a lot of implications 


											to the way we think about beauty and form, 


											and it has a lot of implications in the way we think about nature. 


											The best example of this would probably be the Gothic, 


											and the Gothic was invented after the invention of calculus, 


											although the Gothic architects 


											weren't really using calculus to define their forms. 


											But what was important is, 


											the Gothic moment in architecture was the first time 


											that force and motion was thought of in terms of form. 


									","
											El punto decimal se inventó en el siglo XV;
											los arquitectos dejaron de usar fracciones
											y tuvieron un nuevo modelo de naturaleza.
											De esta forma, lo que sucede hoy
											es que existe un modelo de forma natural
											basado en el cálculo
											que usa herramientas digitales
											y que tiene muchas implicaciones
											en la manera de pensar la belleza y la forma
											y en la manera de pensar la Naturaleza.
											El mejor ejemplo de esto sería el Gótico,
											y el Gótico se inventó después del cálculo,
											aunque los arquitectos góticos
											no calculaban para definir sus formas.
											Pero lo importante era que
											el Gótico fue la primera vez
											que fuerza y movimiento se pensaron en términos de forma.
									",Organic algorithms in architecture,Greg Lynn,18:54,design
"
","
","
","
","
","
",Organic algorithms in architecture,Greg Lynn,18:54,design
"
											Ainsi, des exemples comme la Croix des Rois de Christopher Wren:
											vous pouvez voir que les forces de construction des voûtes
											s'articulent comme des lignes, ainsi vous voyez vraiment en réalité
											l'expression de la force de construction et de la forme.
											Beaucoup plus tard, les ponts de Robert Maillart,
											qui optimisent la forme de construction
											avec un calcul infinitésimal de courbe presque comme une parabole.
											Les modèles de Chaînes Pendantes d' Antonio Gaudi,
											l'architecte catalan.
											La fin du 19 siècle, début du 20ème siècle,
											et comment ce modèle de Chaîne Pendante
											se traduit en arches
											et en voûtes.
											Ainsi, dans tous ces exemples,
											la structure est la force determinante.
											Frei Otto commenca à utiliser des diagrammes de bulles de mousse
											et des modèles de bulle de mousse pour produire sa Salle de Concert de Manheim.
											De façon intéressante dans les dix dernières années
											Norman Foster a utilisé un modèle semblable de transfert thermique de la chaleur
											pour produire le toit de la Galerie Nationale,
											avec l'ingénieur en construction Chris Williams.
									","
											Em exemplos como King's Cross,
de Christopher Wren.
											podemos ver que as forças
estruturais da abóbada
											se articulam como linhas.
											O que vemos é a expressão
da força estrutural e da forma.
											Muito depois, 
as pontes de Robert Maillart
											otimizam a forma estrutural
											com uma curvatura quase parabólica.
											O modelo de cadeias suspensas
											de Antonio Gaudi, o arquiteto catalão,
											no fim do século XIX, 
princípio do século XX,
											estes modelos de cadeias suspensas
											traduzem-se em arcos
											e abóbadas.
											Assim, em todos estes exemplos,
											a estrutura é a força dominante.
											Frei Otto começou a usar
diagramas de bolhas de espuma
											e modelos de bolhas de espuma
para produzir o Mannheim Concert Hall.
											Curiosamente, nos últimos dez anos
											Norman Foster utilizou um modelo
semelhante de transferência térmica
											para produzir a cobertura
da National Gallery,
											em conjunto com Chris Williams,
o engenheiro de estruturas.
									","
											Mesela Chriistopher Wren'in Kralın Haçı örneğinde olduğu gibi:
											tonozların yapısal kuvvetlerinin
											doğrusal olarak eklemlendiğini görebilirsiniz,
											aslında gördüğünüz şey yapısal kuvvet ve biçimin ifadesidir.
											Çok sonraları, Robert Maillart'ın
											parabola benzeyen bir kalkülüs eğrisi ile
											yapısal biçimi optimize eden köprüleridir.
											Katalan mimar,
											Antonio Gaudi'nin Sarkık Zincir modelleri.
											19. yüzyılın sonu, 20. yüzyılın başında,
											Sarkık Zincir modeli
											nasıl da kemerlere
											ve tonoza dönüşüyor.
											Şimdi tüm bu örneklerde
											yapı en belirgin güçtür.
											Frei Otto, Mannheim Konser Salonunu vücuda getirmek için
											köpük balon şemalar ve modeller kullanmaya başlıyordu.
											İlginçtir, son 10 yıl içinde
											Norman Foster Ulusal Müze'nin çatısını modellemek için
											yapı mühendisi Chris Williams ile birlikte
											benzer bir termal ısı transfer modeli kullandı.
									","
											Beispiele wie Christopher Wrens Kings Cross:
											Sie sehen, dass die strukturellen Kräfte des Gewölbes
											als Linien ausgedrückt werden. Man kann also
											den Ausdruck der strukturellen Kraft und Form tatsächlich sehen.
											Viel später, Robert Maillarts Brücken,
											welche die strukturelle Form
											mit einer Wölbung der Analysis fast wie eine Parabel optimiert.
											Die hängenden Kettenmodelle von Antonio Gaudi,
											dem katalanischen Architekten.
											Ende des 19., Anfang des 20. Jahrhunderts,
											und wie das hängende Kettenmodell
											in Torbögen und Gewölben
											umgesetzt wird.
											In all diesen Beispielen
											ist Struktur die bestimmende Kraft.
											Frei Otto begann, Schaumblasen-Diagramme und -Modelle
											zur Entwicklung der Mannheimer Konzerthalle zu benutzen.
											Interessanterweise benutzte Norman Foster
											in den letzten 10 Jahren ein ähnliches Wärmeübertragungsmodell,
											um das Dach der Nationalgalerie
											mit dem Bauingenieur Chris Williams zu entwickeln.
									","
											So, examples like Christopher Wren's King's Cross: 


											you can see that the structural forces of the vaulting 


											get articulated as lines, so you're really actually seeing 


											the expression of structural force and form. 


											Much later, Robert Maillart's bridges, 


											which optimize structural form
											with a calculus curvature almost like a parabola. 


											The Hanging Chain models of Antonio Gaudi, 


											the Catalan architect.
											The end of the 19th century, beginning of the 20th century, 


											and how that Hanging Chain model 


											translates into archways


											and vaulting.
											So, in all of these examples, 


											structure is the determining force.
											Frei Otto was starting to use foam bubble diagrams 


											and foam bubble models to generate his Mannheim Concert Hall. 


											Interestingly, in the last 10 years
											Norman Foster used a similar heat thermal transfer model 


											to generate the roof of the National Gallery, 


											with the structural engineer Chris Williams. 


									","
											En ejemplos como Kings Cross de Christopher Wren
											se puede ver que las fuerzas estructurales de la bóveda
											se articulan como líneas, y lo que en realidad se ve
											es la expresión de la fuerza estructural y la forma.
											Mucho después, los puentes de Robert Maillart,
											que optimizan la forma estructural
											con una curvatura casi parabólica.
											El modelo de cadenas colgantes de Antoni Gaudí,
											el arquitecto catalán.
											Finales del siglo XIX, principios del siglo XX,
											el modelo de cadenas colgantes
											se traduce en arcos
											y bóvedas.
											En todos estos ejemplos
											la estructura es la fuerza dominante.
											Frei Otto empezaba a usar diagramas
											y modelos de burbujas de espuma en su sala de Mannheim.
											Es interesante que en los últimos 10 años
											Norman Foster usara un modelo de transferencia térmica similar
											en el techo de la Galería Nacional
											junto con el ingeniero estructural Chris Williams.
									",Organic algorithms in architecture,Greg Lynn,18:54,design
"
","
","
","
","
","
",Organic algorithms in architecture,Greg Lynn,18:54,design
"
											Dans tous ces exemples,
											il y a une forme idéale,
											car ceux-ci sont pensés en terme de structures.
											Et en tant qu'architecte, j'ai toujours trouvé ces types de systèmes
											très limitant, car je ne suis pas intéressé par les formes idéales
											et je ne suis pas interessé par l'optimisation à un quelconque moment parfait.
									","
											Em todos estes exemplos,
existe uma forma ideal,
											porque foram pensados 
em função da estrutura.
											Enquanto arquiteto, sempre considerei
este tipo de sistemas muito limitativos,
											porque não estou 
interessado em formas ideais
											e não estou interessado em otimizá-las
para atingir um momento perfeito.
									","
											Tüm bu örneklerde
											tek bir ideal biçim var,
											çünkü bunlar yapısal açıdan düşünülür.
											Bir mimar olarak, bu tür sistemlerin daima
											sınırlayıcı olduğunu düşündüm çünkü ideal biçimlerle ilgilenmiyordum
											ve mükemmel anı optmize etmek ilgimi çekmiyordu.
									","
											In all diesen Beispielen
											gibt es eine Idealform,
											da sie im Hinblick auf die Struktur entwickelt wurden.
											Und als Architekt habe ich diese Systeme immer sehr begrenzend gefunden,
											da ich kein Interesse an Idealformen habe,
											und ich habe kein Interesse, etwas bis zum perfekten Moment zu optimieren.
									","
											In all these examples, 

											there's one ideal form, 

											because these are thought in terms of structure. 


											And as an architect, I've always found these kinds of systems 


											very limiting, because I'm not interested in ideal forms 


											and I'm not interested in optimizing to some perfect moment. 


									","
											En todos estos ejemplos
											hay una forma ideal
											porque se pensaron en términos de estructura.
											Y, como arquitecto, siempre encontré estos sistemas
											muy limitantes, no me interesan las formas ideales
											y no me interesa optimizarlos para lograr momentos perfectos.
									",Organic algorithms in architecture,Greg Lynn,18:54,design
