en,es,pt,title,speaker,duration,tags
"
","
","
",How we can end sexual harassment at work,Gretchen Carlson,14:44,"sexual violence,work,women,activism,leadership,law,personal growth,social change,journalism,society"
"
											""All I wanted was
a much-deserved promotion,
											and he told me to 'Get up on the desk
											and spread 'em.'""
									","
											""Todo lo que quería era 
un muy merecido ascenso,
											y él me dijo: 
""Sal de tu escritorio
											y separa las piernas"".
									","
											""Eu só queria a promoção que merecia
											""e ele disse-me para 
me pôr na secretária
											""e abrir as pernas"".
									",How we can end sexual harassment at work,Gretchen Carlson,14:44,"sexual violence,work,women,activism,leadership,law,personal growth,social change,journalism,society"
"
","
","
",How we can end sexual harassment at work,Gretchen Carlson,14:44,"sexual violence,work,women,activism,leadership,law,personal growth,social change,journalism,society"
"
											""All the men in my office
wrote down on a piece of paper
											the sexual favors
that I could do for them.
											All I had asked for
was an office with a window.""
									","
											""Todos los hombres de mi oficina 
escribieron en un pedazo de papel
											los favores sexuales que podría hacerles.
											Todo lo que pedí fue 
una oficina con una ventana"".
									","
											""Todos os homens do meu escritório
escreveram num papel
											""os favores sexuais 
que eu podia fazer por eles.
											""Tudo o que pedi foi 
um escritório com janela.""
									",How we can end sexual harassment at work,Gretchen Carlson,14:44,"sexual violence,work,women,activism,leadership,law,personal growth,social change,journalism,society"
"
","
","
",How we can end sexual harassment at work,Gretchen Carlson,14:44,"sexual violence,work,women,activism,leadership,law,personal growth,social change,journalism,society"
"
											""I asked for his advice about how
I could get a bill out of committee;
											he asked me if I brought my kneepads.""
									","
											""Le pedí su consejo sobre 
cómo podría llegar al comité;
											él me preguntó si llevaba mis rodilleras"".
									","
											""Perguntei-lhe como um projeto
podia chegar à comissão
											""e ele perguntou se eu tinha joelheiras.""
									",How we can end sexual harassment at work,Gretchen Carlson,14:44,"sexual violence,work,women,activism,leadership,law,personal growth,social change,journalism,society"
"
","
","
",How we can end sexual harassment at work,Gretchen Carlson,14:44,"sexual violence,work,women,activism,leadership,law,personal growth,social change,journalism,society"
"
											Those are just a few
of the horrific stories
											that I heard from women
over the last year,
											as I've been investigating
workplace sexual harassment.
											And what I found out
											is that it's an epidemic across the world.
											It's a horrifying reality
for millions of women,
											when all they want to do every day
											is go to work.
											Sexual harassment doesn't discriminate.
											You can wear a skirt,
											hospital scrubs,
											army fatigues.
											You can be young or old,
											married or single,
											black or white.
											You can be a Republican,
a Democrat or an Independent.
											I heard from so many women:
											police officers,
											members of our military,
											financial assistants,
											actors, engineers, lawyers,
											bankers, accountants, teachers ...
											journalists.
											Sexual harassment, it turns out,
											is not about sex.
											It's about power,
											and about what somebody does to you
											to try and take away your power.
											And I'm here today
											to encourage you to know
that you can take that power back.
									","
											Esas son solo algunas 
de las horribles historias
											que escuché de mujeres 
durante el año pasado,
											mientras investigaba el acoso sexual 
en el lugar de trabajo.
											Y descubrí
											que es una epidemia en todo el mundo.
											Es una realidad horrible 
para millones de mujeres,
											cuando todo lo que 
quieren hacer todos los días
											es ir a trabajar.
											El acoso sexual no discrimina.
											Puedes usar una falda,
											un uniforme hospitalario,
											un uniforme del ejército.
											Puedes ser joven o vieja,
											casada o soltera,
											blanca o negra.
											Puedes ser republicana, 
demócrata o independiente.
											Lo escuché de muchas mujeres:
											oficiales de policía,
											miembros de nuestro ejército,
											asistentes financieras,
											actrices, ingenieras, abogadas,
											banqueras, contadoras, profesoras...
											periodistas.
											El acoso sexual resulta que
											no va de sexo,
											sino de poder,
											y sobre lo que alguien hace
											para tratar de quitarte tu poder.
											Y estoy aquí hoy
											para alentarte a que sepas 
que puedes recuperar ese poder.
									","
											Estas são só algumas 
das histórias assustadoras
											que ouvi de mulheres no ano passado
											enquanto investigava 
o assédio sexual no trabalho.
											Descobri
											que é uma epidemia em todo o mundo.
											É uma realidade apavorante 
para milhões de mulheres
											quando tudo o que querem fazer
											é ir trabalhar.
											O assédio sexual não discrimina.
											Pode usar-se saia,
											bata de hospital,
											farda de exército.
											Pode ser-se nova ou velha
											casada ou solteira,
											preta ou branca.
											Pode ser-se republicana, 
democrata ou independente.
											Ouvi de tantas mulheres,
											agentes da polícia,
											membros do exército,
											assistentes financeiras,
											atrizes, engenheiras, advogadas,
											banqueiras, contabilistas, professoras...
											jornalistas.
											Acontece que o assédio sexual
											não tem a ver com sexo.
											Tem a ver com poder
											e com o que alguém nos faz
											para tentar roubar-nos esse poder.
											Estou aqui hoje
											para vos encorajar a saber
que podem retomar esse poder.
									",How we can end sexual harassment at work,Gretchen Carlson,14:44,"sexual violence,work,women,activism,leadership,law,personal growth,social change,journalism,society"
"
","
","
",How we can end sexual harassment at work,Gretchen Carlson,14:44,"sexual violence,work,women,activism,leadership,law,personal growth,social change,journalism,society"
"
											(Applause)
									","
											(Aplausos)
									","
											(Aplausos)
									",How we can end sexual harassment at work,Gretchen Carlson,14:44,"sexual violence,work,women,activism,leadership,law,personal growth,social change,journalism,society"
