en,tr,es,fr,pt,de,title,speaker,duration,tags
"
","
","
","
","
","
",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
											This is me at age seven.
											And this is also me.
									","
											Bu ben yedi yaşındayken.
											Ayrıca, bu da benim.
									","
											Esta soy yo a los siete años.
											Y esta soy yo también.
									","
											C'est moi à l'âge de sept ans.
											C'est aussi moi.
									","
											Esta sou eu aos sete anos
											e esta também sou eu.
									","
											Das bin ich mit sieben Jahren.
											Und das bin ich auch.
									",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
","
","
","
","
","
",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
											(Applause and cheering)
									","
											(Alkış ve tezahürat)
									","
											(Aplauso y ovación)
									","
											(Applaudissements)
									","
											(Aplausos)
									","
											(Applaus und Jubel)
									",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
","
","
","
","
","
",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
											To be standing here in Kakuma
refugee camp feels so surreal,
											and I'm overcome with so much emotion.
											These very grounds are where I was born
											and spent the first
seven years of my life.
									","
											Burada, Kakuma mülteci kampında
olmak gerçeküstüymüş gibi hissettiriyor
											ve çok fazla duygunun 
üstesinden geliyorum.
											Doğduğum yer burası
											ve hayatımın ilk yedi yılını
burada geçirdim.
									","
											El hecho de estar aquí hoy en el campo
de refugiados de Kakuma parece surrealista
											y me embarga la emoción.
											Esta es la tierra en la que nací
											y pasé los primeros siete años de mi vida.
									","
											Être ici, au camp de réfugiés
de Kakuma, semble irréel,
											et l'émotion me submerge.
											Je suis née ici même,
											et j'y ai passé les sept
premières années de ma vie.
									","
											Estar aqui no campo de refugiados
em Kakuma parece-me surrealista
											e sinto-me invadida por muitas emoções.
											Foi neste sítio que nasci
											e passei os primeiros sete anos
da minha vida.
									","
											Hier im Kakuma Flüchtlingslager zu stehen,
fühlt sich so unwirklich an,
											und mich überkommen so viele Gefühle.
											Genau hier wurde ich geboren
											und verbrachte die ersten sieben Jahre
meines Lebens hier.
									",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
","
","
","
","
","
",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
											I think many people are surprised to hear
											that I had a great upbringing
here at Kakuma.
											But I was happy,
											I was smart, I had friends
											and above all, I had hope
for a brighter future.
									","
											Kakuma'da muazzam bir şekilde
yetiştirildiğimi duyduklarında
											birçok insanın şaşırdığını
düşünüyorum.
											Fakat mutluydum.
											Zekiydim, arkadaşlarım vardı
											ve hepsinden önemlisi, daha iyi bir 
geleceğe dair umudum vardı.
									","
											Creo que a mucha gente le sorprende oír
											que, aquí en Kakuma, tuve
una educación excelente.
											Era feliz.
											Era inteligente, tenía amigos
											y, sobre todo, tenía esperanza
en un futuro mejor.
									","
											Je pense que beaucoup
sont surpris de savoir
											que j'ai reçu une excellente
éducation, ici, à Kakuma.
											Mais j'étais heureuse,
											j'étais intelligente, j'avais des amis
											et surtout, j'avais l'espoir
d'un meilleur avenir.
									","
											Acho que muita gente
se surpreende ao ouvir dizer
											que tive uma ótima educação
aqui em Kakuma.
											Mas eu era feliz.
											Era esperta, tinha amigos
											e, acima de tudo, tinha esperança
num futuro melhor.
									","
											Vermutlich sind viele davon überrascht,
											dass ich eine großartige Erziehung
hier in Kakuma bekam.
											Aber ich war glücklich,
											ich war klug, ich hatte Freunde
											und vor allem hatte ich Hoffnung
für eine bessere Zukunft.
									",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
","
","
","
","
","
",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
											That's not to say that we didn't
have our obstacles.
											I mean, boy were there struggles.
											I would sometimes get sick with malaria
											and didn't always know
where our next meal would come from.
											But the sense of community
that is here in Kakuma
											and the pride that everyone here possesses
											is simply unparalleled.
											When I was younger,
I remember conflicts breaking out.
											That tends to happen when people
come from different backgrounds
											and don't speak the same language.
											Eventually, Swahili —
											the main language here —
											became our common ground.
											I made friends with the kids at the camp
											and even started embracing
some of their cultures,
											celebrating holidays like Christmas
even though I was raised Muslim.
											The other kids would embrace
my culture as well,
											sometimes even praying right alongside me.
											It was easy, as children,
to come together,
											blend all of our beliefs
											to form our own unique,
multicultural environment.
									","
											Bu bizim engellerimizin 
olmadığı anlamına gelmez.
											Demek istediğim, çocuklar 
orada mücadele ediyordu.
											Bazen sıtma hastalığına yakalanırdım
											ve bir sonraki öğünümüzün nereden
geleceğini her zaman bilmezdim.
											Ancak, Kakuma'da
bulunan topluluk hissi
											ve buradaki herkesin 
sahip olduğu gurur
											tek kelimeyle eşsizdi.
											Ben küçükken çatışmaların 
çıktığını hatırlıyorum.
											Bu, insanlar farklı kökenden 
geldiğinde ve aynı dili
											konuşmadığında olma eğilimindedir.
											Sonunda, Swahili
											-buradaki ana dil-
											ortak yönümüz haline geldi.
											Kamptaki çocuklarla 
arkadaş oldum
											ve onların kültürlerine özgü
bazı şeyleri benimsedim,
											hatta Müslüman olarak yetiştirilmeme
rağmen Noel gibi bayramları kutladım.
											Diğer çocuklar da benim
kültürümü sahiplenirdi,
											bazen benim yanımda dua ederlerdi.
											Çocukken bir araya gelmek kolaydır,
											inançlarımızı eşsiz bir
											çok kültürlü alan oluşturmak 
için karıştırmak.
									","
											Eso no quiere decir que no
tuviéramos obstáculos.
											Claro que había dificultades.
											A veces, enfermaba de malaria
											y no siempre sabíamos si tendríamos
asegurada nuestra comida.
											Pero el sentido de comunidad
que hay aquí en Kakuma
											y el orgullo que todos poseen,
											sencillamente no tiene precedentes.
											Cuando era más joven, me acuerdo
de que surgían conflictos.
											Eso suele pasar cuando hay 
gente de distinta procedencia
											que además no habla el mismo idioma.
											Con el tiempo, el suajili,
											el idioma principal aquí,
											fue el punto en común.
											Me hice amiga de los niños del campamento
											e incluso empecé a aceptar
algunas de sus culturas,
											celebraba Navidad a pesar de que
me educaron como musulmana.
											Los otros niños también
aceptaron mi cultura,
											y a veces, incluso rezaban a mi lado.
											Siendo niños, era fácil juntarse
											y mezclar nuestras creencias
											para formar así nuestro propio entorno,
incomparable y multicultural.
									","
											Cela ne veut pas dire que
nous ne rencontrions pas d'obstacles.
											Il y a eu des difficultés.
											J'étais parfois touchée par la malaria
											et je ne savais pas toujours
quel serait notre prochain repas.
											Mais le sens de la communauté
qui est présent à Kakuma
											et la fierté que tout le monde ressent
											sont tout simplement sans pareil.
											Quand j'étais plus jeune, je me souviens
de conflits qui ont éclaté.
											C'est ce qui arrive lorsque les gens
viennent de milieux différents
											et ne parlent pas la même langue.
											Finalement, le swahili,
											la langue principale ici,
											est notre point commun.
											Les enfants du camp
sont devenus mes amis
											et j'ai même commencé
à adopter leurs cultures.
											J'ai célébré des fêtes comme Noël
alors que j'ai été élevée musulmane.
											Les autres enfants adoptaient
eux aussi ma culture,
											et priaient même parfois à mes côtés.
											Il était simple, pour des enfants,
de se rassembler,
											mélanger toutes nos croyances
											afin de créer notre propre
environnement multiculturel unique.
									","
											Isto não quer dizer
que não tivéssemos obstáculos.
											Ou seja, havia muitas dificuldades,
											por vezes, adoecia com malária
											e nem sempre sabia de onde viria
a nossa refeição seguinte.
											Mas o sentimento de comunidade
que há aqui em Kakuma
											e o orgulho que todos aqui têm
											não têm paralelo.
											Quando eu era miúda
lembro-me de estalarem conflitos.
											Isso acontecia quando chegavam
pessoas de diferentes origens
											e não falavam a mesma língua.
											Por fim, o suaíli
— a principal língua aqui —
											tornava-se o terreno comum.
											Travei amizade com os miúdos
do acampamento
											e até comecei a adotar
algumas das suas culturas,
											celebrando festas como o Natal,
apesar de eu ser muçulmana.
											Os outros miúdos também
adotavam a minha cultura,
											por vezes até rezavam comigo.
											Era fácil, as crianças juntam-se,
											misturam as suas crenças
											para criar o nosso ambiente
multicultural e único.
									","
											Nicht, dass wir keine Rückschläge hatten.
											Wir hatten unsere Kämpfe.
											Manchmal bekam ich Malaria
											oder wir wussten nicht, wo unsere
nächste Mahlzeit herkommen sollte.
											Aber das Gemeinschaftsgefühl in Kakuma
											und der Stolz, den jeder hier innehat,
											ist einfach unvergleichlich.
											Ich erinnere mich an Konflikte,
als ich noch jünger war.
											So etwas passiert, wenn Menschen
mit unterschiedlichen Hintergründen
											und Sprachen aufeinandertreffen.
											Irgendwann wurde Swahili als unsere
Hauptsprache eingebürgert.
											Ich freundete mich mit
den Kindern im Camp an
											und nahm sogar Teile ihrer Kulturen an.
											Ich feierte Feste wie Weihnachten,
obwohl ich muslimisch erzogen wurde.
											Die anderen Kindern übernahmen
meine Kultur genauso.
											Manchmal beteten sie sogar mit mir.
											Als Kinder war es so einfach,
zusammenzukommen
											und all unsere Ansichten zu vermischen
											zu unserer eigenen einzigartigen,
multikulturellen Umgebung.
									",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
