pt,en,es,fr,de,tr,title,speaker,duration,tags
"
","
","
","
","
","
",Why some people are more altruistic than others,Abigail Marsh,12:21,"brain,communication,cognitive science,community,empathy,humanity,fear,mental health,personality,science,self"
"
											Há um homem algures, por aí,
											que é parecido com o ator Idris Elba,
ou era parecido, há 20 anos.
											Não sei mais nada sobre ele
											exceto que, uma vez me salvou a vida
											colocando a dele em perigo.
											Este homem atravessou quatro faixas
de autoestrada,
											a meio da noite,
											para me colocar em segurança,
											após um acidente de automóvel
que me podia ter matado.
											A situação deixou-me abalada, claro,
											mas também deixou em mim
a necessidade premente, ardente,
											de entender porque o fez.
											Que forças dentro dele
o levaram a tomar a decisão
											à qual devo a minha vida?
											A arriscar a própria vida
para salvar a vida de um estranho?
											Por outras palavras, quais são as causas
da nossa capacidade para o altruísmo?
									","
											There's a man out there, somewhere,
											who looks a little bit
like the actor Idris Elba,
											or at least he did 20 years ago.
											I don't know anything else about him,
											except that he once saved my life
											by putting his own life in danger.
											This man ran across four lanes of freeway
traffic in the middle of the night
											to bring me back to safety
											after a car accident
that could have killed me.
											And the whole thing
left me really shaken up, obviously,
											but it also left me with this
kind of burning, gnawing need
											to understand why he did it,
											what forces within him
caused him to make the choice
											that I owe my life to,
											to risk his own life
to save the life of a stranger?
											In other words, what are the causes of his
or anybody else's capacity for altruism?
									","
											Hay un hombre por ahí, en alguna parte,
											que se parece un poco al actor Idris Elba,
											o al menos se parecía hace 20 años.
											No sé nada más de él,
											excepto que una vez salvó mi vida
											arriesgando su propia vida.
											Este hombre corrió por cuatro carriles 
de la autopista en medio de la noche
											para llevarme a un lugar seguro
											después de un accidente de auto 
que me pudo haber matado.
											Y todo esto me dejó realmente 
conmocionada, obviamente,
											pero también me dejó con esa curiosidad 
y esa necesidad persistente
											de entender por qué lo hizo,
											¿qué motivos le impulsaron 
a tomar la decisión
											a quien yo debo la vida,
											a arriesgar su propia vida para 
salvar la vida de un desconocido?
											En otras palabras, 
¿qué genera la capacidad
											de él o de cualquier otra persona 
para el altruismo?
									","
											Il y un homme, quelque part,
											qui ressemble un peu
à l'acteur Idris Elba
											ou, en tout cas,
cela était vrai il y a 20 ans.
											Je ne sais rien d'autre de lui,
											à part qu'un jour, il m'a sauvé la vie
											en mettant la sienne en danger.
											Cet homme a traversé quatre voies
d'autoroute en plein milieu de la nuit
											pour me ramener en sécurité
											après un accident de voiture
qui aurait pu me tuer.
											Tout cela m'a, bien sûr,
vraiment bouleversée
											mais m'a aussi laissée
avec ce besoin brûlant, ce tiraillement
											de comprendre pourquoi il l'a fait,
											quelles forces en lui
l'ont poussé à faire le choix
											auquel je dois la vie,
											à risquer sa propre vie
pour sauver celle d'une étrangère ?
											Dit autrement, quelles sont les causes
de sa capacité à l'altruisme,
											à lui ou à n'importe qui d'autre ?
									","
											Irgendwo da draußen gibt es einen Mann,
											der ein wenig wie der Schauspieler
Idris Elba aussieht,
											oder zumindest tat er es vor 20 Jahren.
											Ich weiß sonst nichts über ihn,
											außer, dass er einst mein Leben rettete,
											indem er sein eigenes in Gefahr brachte.
											Dieser Mann rannte mitten in der Nacht
über vier befahrene Autobahnspuren,
											um mich nach einem Autounfall
in Sicherheit zu bringen,
											bei dem ich hätte sterben können.
											Offenbar erschütterte mich
die ganze Sache wirklich,
											aber ich verspürte auch dieses drängende
und quälende Bedürfnis zu verstehen,
											warum er das getan hat.
											Was trieb ihn innerlich dazu,
die Entscheidung zu treffen,
											der ich mein Leben verdanke,
											sein eigenes Leben zu riskieren,
um das Leben einer Fremden zu retten?
											Anders gesagt,
											was ist die Ursache für seine Fähigkeit
oder jedes anderen zu Altruismus?
									","
											Oralarda bir yerde,
											aktör Idris Elba'ya benzeyen
bir adam vardı.
											En azından 20 yıl önceki
hâline benziyordu.
											Onun hakkında, kendi 
hayatını tehlikeye atarak
											benim hayatımı kurtarması dışında
											hiçbir şey bilmiyorum.
											Bu adam, gece yarısında, dört şeritli
bir otoyol trafiğinin ortasında,
											hayatımı kaybedebileceğim
bir kazadan sonra,
											beni güvenli bir şekilde hayata döndürdü.
											Olay tabii ki beni oldukça 
derinden sarstı.
											Ayrıca içimi kemiren,
buram buram bir merakla
											bunu neden yaptığını
anlama ihtiyacı hissettim.
											Hayatımı borçlu olduğum
bir seçimi yapmasına
											neden olan şeyler neydi?
											Neden bir yabancıyı kurtarmak için
kendi hayatını tehlikeye attı?
											Başka bir deyişle onun veya bir başkasının
fedakârlık kapasitesinin sebepleri neydi?
									",Why some people are more altruistic than others,Abigail Marsh,12:21,"brain,communication,cognitive science,community,empathy,humanity,fear,mental health,personality,science,self"
"
","
","
","
","
","
",Why some people are more altruistic than others,Abigail Marsh,12:21,"brain,communication,cognitive science,community,empathy,humanity,fear,mental health,personality,science,self"
"
											Deixem-me contar-vos o que aconteceu.
											Naquela noite, tinha 19 anos,
											ia para casa em Tacoma, Washington,
pela autoestrada Interstate 5,
											quando um cão
se atravessou à frente do meu carro.
											Fiz aquilo que não se deve fazer;
desviei, para contorná-lo.
											Descobri porque é
que não se deve fazer isso.
											Bati no cão à mesma,
											a traseira do carro fugiu,
o carro girou e derrapou
											e imobilizou-se na faixa rápida,
											virado em sentido contrário;
											e então, o motor morreu.
											Naquele momento, tive a certeza
de estar prestes a morrer também.
											Mas não morri,
											graças ao ato daquele homem bravo
											que deve ter tomado a decisão,
											frações de segundo
depois de ver o meu carro acidentado,
											de estacionar, atravessar
quatro faixas de autoestrada movimentada,
											no escuro,
para me salvar a vida.
											Depois de pôr o meu carro a trabalhar,
											de me colocar em segurança
e de se certificar que eu ficava bem,
											foi-se embora.
											Nem me chegou a dizer o nome
											e acho que me esqueci de lhe agradecer.
									","
											But first let me tell you what happened.
											That night, I was 19 years old
											and driving back to my home
in Tacoma, Washington,
											down the Interstate 5 freeway,
											when a little dog
darted out in front of my car.
											And I did exactly
what you're not supposed to do,
											which is swerve to avoid it.
											And I discovered why
you're not supposed to do that.
											I hit the dog anyways,
											and that sent the car into a fishtail,
											and then a spin across the freeway,
											until finally it wound up
in the fast lane of the freeway
											faced backwards into oncoming traffic
											and then the engine died.
											And I was sure in that moment
that I was about to die too,
											but I didn't
											because of the actions
of that one brave man
											who must have made the decision
											within a fraction of a second
of seeing my stranded car
											to pull over and run
across four lanes of freeway traffic
											in the dark
											to save my life.
											And then after he got my car working again
											and got me back to safety
and made sure I was going to be all right,
											he drove off again.
											He never even told me his name,
											and I'm pretty sure
I forgot to say thank you.
									","
											Pero primero les contaré lo que pasó.
											Esa noche, yo tenía 19 años
											y conducía a mi casa 
en Tacoma, Washington,
											por la carretera interestatal 5,
											cuando un perrito 
salió corriendo ante mi auto.
											E hice exactamente 
lo que no se debe hacer,
											que es desviarse para evitarlo.
											Y descubrí por qué no se debe hacer eso.
											Golpeé al perro de todos modos,
											el auto hizo un trompo,
											y luego dio tumbos de un lado 
al otro de la autopista,
											hasta que finalmente terminó en 
el carril rápido de la autopista
											enfrentado hacia atrás 
al tráfico que venía
											y luego el motor se apagó.
											Estaba segura de que en ese momento 
estaba a punto de morir también,
											pero no lo hice
											gracias a la acción de un hombre valiente
											que tuvo que tomar la decisión
											en una fracción de segundo 
de ver mi auto varado
											hacerse a un lado y correr por 
cuatro carriles de la autopista
											en la oscuridad
											para salvar mi vida.
											Y luego, después de hacer que 
funcionara de nuevo mi auto
											me llevó a un lugar seguro 
y se aseguró de que iba a estar bien,
											él salió de nuevo.
											Ni siquiera me dijo su nombre,
											y estoy bastante segura de que 
me olvidé de decir gracias.
									","
											Laissez-moi vous dire
ce qu'il s'est passé.
											Cette nuit-là, j'avais 19 ans,
											je rentrais chez moi à Tacoma,
											sur l'Interstate 5,
											quand un petit chien
est passé devant ma voiture.
											J'ai fait exactement
ce qu'il ne faut pas faire,
											j'ai fait une embardée pour l'éviter.
											J'ai découvert pourquoi
il ne faut pas faire cela.
											J'ai quand même heurté le chien
											et la voiture est partie
en queue de poisson,
											puis en vrille sur l'autoroute
											jusqu'à ce que, finalement, je finisse
sur la voie de gauche de l'autoroute,
											faisant face au trafic entrant,
											et là, le moteur a lâché.
											A ce moment-là, j'étais sûre
que j'allais aussi mourir
											mais ça n'a pas été le cas
											grâce aux actes de cet homme courageux
											qui doit avoir décidé
											en une fraction de seconde,
en voyant ma voiture immobilisée,
											de s'arrêter et de courir,
traverser quatre voies d'autoroute
											dans le noir
											pour me sauver la vie.
											Puis, après avoir redémarré ma voiture,
											m'avoir amenée en sécurité
et s'être assuré que j'allais bien,
											il est reparti.
											Il ne m'a jamais dit son nom
											et je suis presque certaine
d'avoir oublié de le remercier.
									","
											Aber zuerst erzähle ich Ihnen,
was passiert ist.
											Ich war 19 Jahre alt
											und fuhr diese Nacht auf der Interstate 5
											zurück nach Hause
nach Tacoma, Washington,
											als ein kleiner Hund
vor mein Auto flitzte.
											Ich machte genau das,
was man nicht tun sollte:
											ein Ausweichmanöver.
											Ich weiß jetzt,
warum man es nicht tun sollte.
											Ich erwischte den Hund trotzdem
											und der Wagen kam ins Schleudern,
											drehte sich über die Autobahn,
											bis er schließlich auf der Überholspur
mit dem Rücken zum Verkehr landete
											und der Motor soff ab.
											In diesem Moment war ich sicher,
dass ich sterben würde,
											tat es aber wegen des Eingreifens
dieses mutigen Mannes nicht,
											der sich beim Anblick
meines liegengebliebenen Autos
											im Bruchteil einer Sekunde
dazu entschlossen hatte, anzuhalten
											und im Dunkeln über vier befahrene
Autobahnspuren zu laufen,
											um mein Leben zu retten.
											Nachdem er mein Auto reparierte,
											mich in Sicherheit brachte
und er sicher war, dass es mir gut ging,
											fuhr er wieder los.
											Er hat mir nie seinen Namen gesagt,
											und ich bin mir ziemlich sicher,
mich nicht bedankt zu haben.
									","
											Ama önce o gece olanları anlatayım.
											O gece 19 yaşındaydım.
											Interstate 5 yolunu kullanarak
Washington, Tacoma'daki
											evime dönüyordum.
											Aniden bir köpek önüme çıktı
											Ve tam olarak yapmamanız gereken
bir şey yaptım.
											Kaçmak için direksiyonu kırdım.
											Ve neden yapmamanız gerektiğini keşfettim.
											Neyse, köpeğe çarptım
											ve bu arabamın arkasının savrulmasına,

											otoyolun ortasında dönmesine
											ve sonunda da otoyolun hız şeridinde
											trafik akışının tersine doğru döndü
											ve sonra motor durdu.
											Ve o anda ölmek
üzere olduğumdan da emindim
											ama ölmedim,
											çünkü cesur bir adam
											saliseler içinde bir karar vererek
											yolda kalmış arabamı gördü
ve kenara çekerek
											akan trafikte dört şeridi koşup
											gece karanlığında
											hayatımı kurtardı.
											Daha sonra arabamı çalıştırıp
											beni güvenli bir yere götürdü
ve iyi olduğumdan emin olunca da
											arabasını sürerek uzaklaştı.
											Bana adını bile söylemedi
											ve ben de teşekkür etmeyi
unuttuğumdan da eminim.
									",Why some people are more altruistic than others,Abigail Marsh,12:21,"brain,communication,cognitive science,community,empathy,humanity,fear,mental health,personality,science,self"
"
","
","
","
","
","
",Why some people are more altruistic than others,Abigail Marsh,12:21,"brain,communication,cognitive science,community,empathy,humanity,fear,mental health,personality,science,self"
"
											Por isso, antes de continuar,
											queria dedicar um momento
para agradecer ao desconhecido:
											""Obrigada"".
									","
											So before I go any further,
											I really want to take a moment
											to stop and say thank you
to that stranger.
									","
											Así que antes de seguir,
											realmente quiero dedicar un momento,
											parar y decir gracias a ese extraño.
									","
											Avant d'aller plus loin,
											j'aimerais prendre un instant
											pour marquer une pause
et remercier cet étranger.
									","
											Bevor ich also weitermache,
											möchte einen Moment inne halten
											und mich bei diesem Unbekannten bedanken.
									","
											Anlatmaya devam etmeden önce
											bir an durup
											bu yabancıya teşekkür etmek istiyorum.
									",Why some people are more altruistic than others,Abigail Marsh,12:21,"brain,communication,cognitive science,community,empathy,humanity,fear,mental health,personality,science,self"
"
","
","
","
","
","
",Why some people are more altruistic than others,Abigail Marsh,12:21,"brain,communication,cognitive science,community,empathy,humanity,fear,mental health,personality,science,self"
"
											(Aplausos)
									","
											(Applause)
									","
											(Aplausos)
									","
											(Applaudissements)
									","
											(Applaus)
									","
											(Alkışlar)
									",Why some people are more altruistic than others,Abigail Marsh,12:21,"brain,communication,cognitive science,community,empathy,humanity,fear,mental health,personality,science,self"
"
","
","
","
","
","
",Why some people are more altruistic than others,Abigail Marsh,12:21,"brain,communication,cognitive science,community,empathy,humanity,fear,mental health,personality,science,self"
"
											Conto-vos isto
											porque os acontecimentos daquela noite
alteraram um pouco o curso da minha vida.
											Tornei-me investigadora em psicologia
											e dediquei-me à compreensão
da capacidade humana para a empatia.
											De onde vem a empatia,
como se desenvolve
											e que formas extremas pode tomar?
											Estas perguntas são importantes
para compreender aspetos básicos
											da natureza social humana.
											Muitas pessoas

											— e isto inclui todos, desde filósofos
e economistas até às pessoas normais —
											acreditam que a natureza humana
é fundamentalmente egoísta,
											que aquilo que nos motiva
é o nosso bem-estar.
											Mas se isso é verdade, porque é que certas
pessoas, como o meu salvador desconhecido,
											fazem coisas altruístas,
como ajudar outras pessoas
											com grande risco e custo para si próprios?
											Responder a esta pergunta
											exige que se explore as raízes
de atos extraordinários de altruísmo
											e daquilo que torna, quem os comete,
diferente das restantes pessoas.
											Até recentemente, havia muito pouca
investigação sobre o assunto.
									","
											I tell you all of this
											because the events of that night changed
the course of my life to some degree.
											I became a psychology researcher,
											and I've devoted my work to understanding
the human capacity to care for others.
											Where does it come from,
and how does it develop,
											and what are the extreme forms
that it can take?
											These questions are really important
to understanding basic aspects
											of human social nature.
											A lot of people,
and this includes everybody
											from philosophers
and economists to ordinary people
											believe that human nature
is fundamentally selfish,
											that we're only ever really motivated
by our own welfare.
											But if that's true, why do some people,
like the stranger who rescued me,
											do selfless things,
like helping other people
											at enormous risk and cost to themselves?
											Answering this question
											requires exploring the roots
of extraordinary acts of altruism,
											and what might make people
who engage in such acts
											different than other people.
											But until recently, very little work
on this topic had been done.
									","
											Les digo todo esto
											porque los acontecimientos de esa noche 
cambiaron el curso de mi vida.
											Me hice investigadora en psicología,
											y he dedicado mi trabajo a comprender 
la capacidad humana de cuidar a los demás.
											¿De dónde viene, y cómo se desarrolla,
											y cuáles son las formas extremas 
que puede adoptar?
											Estas preguntas son muy importantes 
para entender los aspectos básicos
											de la naturaleza social humana.
											Mucha gente, esto atañe a todos
											desde filósofos y economistas 
hasta la gente común,
											cree que la naturaleza humana 
es fundamentalmente egoísta,
											que solo estamos realmente motivados 
por nuestro propio bienestar.
											Pero si eso es cierto, ¿por qué personas, 
como el extraño que me rescató,
											hacen cosas desinteresados, 
como ayudar a otras personas
											arriesgándose ellas mismas?
											Responder a esta pregunta
											requiere explorar las raíces de actos 
extraordinarios de altruismo,
											y lo que podría diferenciar 
a las personas
											que hacen este tipo de actos 
de otras personas.
											Sin embargo, hasta hace poco, 
se ha trabajado poco este tema.
									","
											Je vous dis tout cela
											car les événements de cette nuit
											ont, à un certain degré,
changé le cours de ma vie.
											Je suis devenue chercheuse en psychologie,
											j'ai dédié mon travail à la compréhension
de la capacité des humains
											à s'intéresser aux autres.
											D'où cela vient-il ?
Comment ça se développe ?
											Quelles en sont les formes extrêmes ?
											Ces questions sont importantes
à la compréhension
											des aspects fondamentaux
de la nature sociale humaine.
											Beaucoup de gens,
											cela va des philosophes
aux économistes et aux gens ordinaires,
											croient que la nature humaine
est foncièrement égoïste,
											que nous ne sommes motivés
que par notre propre bien-être.
											Mais si cela est vrai, pourquoi certains,
comme l'étranger m'ayant sauvée,
											font-ils des choses désintéressées,
comme aider des gens
											en prenant des risques énormes ?
											Répondre à cette question
											requiert d'explorer les racines
d'actes d'altruisme extraordinaires
											et ce qui pourrait faire
que les gens agissant ainsi
											soient différents des autres.
											Jusqu'à récemment, très peu de travail
avait été fait à ce sujet.
									","
											Ich erzähle Ihnen das alles,
weil die Ereignisse dieser Nacht
											den Verlauf meines Lebens
in gewisser Weise änderten.
											Als psychologische Forscherin
widmete ich meine Arbeit
											dem Verstehen der menschlichen Fähigkeit,
sich um andere zu kümmern.
											Woher kommt sie, wie entwickelte sie sich
											und was sind die extremsten Formen,
die sie annehmen kann?
											Diese Fragen sind wirklich entscheidend,

											um die Hauptaspekte
der menschlichen Natur zu verstehen.
											Viele Menschen, und das schließt alle ein,
											vom Philosophen und Ökonom
bis zu gewöhnlichen Leuten,
											glauben, dass das menschliche Wesen
grundsätzlich eigennützig ist,
											dass uns wirklich immer nur
unser eigenes Wohlbefinden motiviert.
											Aber wenn das stimmt,
											warum handeln dann
manche Menschen selbstlos,

											wie der Fremde, der mich rettete,

											indem sie anderen Menschen
unter hohem Risiko und Kosten helfen.
											Die Beantwortung dieser Frage
											erfordert die Wurzeln außergewöhnlicher
altruistischer Handlungen zu erkunden,
											und was diese Menschen,
die sich auf solche Taten einlassen,
											von anderen Menschen unterscheidet.
											Aber bis vor kurzem wurde nur sehr wenig
Forschung zu diesem Thema betrieben.
									","
											Bunların tümünü
											o gece yaşadıklarımın hayatımı önemli
derecede etkilediği için anlatıyorum.
											Bir psikoloji araştırmacısı oldum
											ve çalışmalarımı insanların diğerlerini 
önemseme kapasitesini anlamaya adadım.
											Bu nereden geliyor ve nasıl gelişiyor
											ve ulaşabileceği aşırı formlar nelerdir?
											Bu sorular insanın sosyal doğasının
temel hâllerini anlamak için
											oldukça önemli.
											Ekonomist ve filozoflardan
											sıradan insanlara kadar birçok insan,
											insan doğasının temelde bencil olduğuna
											ve insanın sadece kendi refahıyla
motive olacağına inanır.
											Fakat bu doğruysa, neden bazı insanlar,
beni kurtaran yabancı gibi,
											diğer insanlar için çok riskli
											ve kendilerine zarar verebilecek
fedakârlıkta bulunurlar?
											Bu soruyu cevaplamak için
											olağandışı fedakârlık davranış
kökenlerinin araştırılması
											ve bu gibi davranış sahiplerini
diğer insanlardan farklı yapan şeyin
											ne olduğunun incelenmesi gerekmektedir.
											Fakat çok yakın zamanlara kadar
bu konuda çok az çalışma yapıldı.
									",Why some people are more altruistic than others,Abigail Marsh,12:21,"brain,communication,cognitive science,community,empathy,humanity,fear,mental health,personality,science,self"
