en,de,pt,title,speaker,duration,tags
"
","
","
",Have we reached the end of physics?,Harry Cliff,13:57,"big bang,dark matter,complexity,exploration,future,innovation,nature,physics,science,space,technology,universe,quantum physics"
"
											A hundred years ago this month,
a 36-year-old Albert Einstein
											stood up in front of the Prussian
Academy of Sciences in Berlin
											to present a radical new theory
of space, time and gravity:
											the general theory of relativity.
									","
											In diesem Monat vor genau 100 Jahren 
stand der 36-jährige Albert Einstein
											vor der preussischen Akademie
der Wissenschaften in Berlin,
											um seine brandneue Theorie von Raum, 
Zeit und Gravitation zu präsentieren:
											die Allgemeine Relativitätstheorie.
									","
											Há cem anos, neste mesmo mês,
Albert Einstein, com 36 anos de idade,
											apresentou à Academia de Ciências
da Prússia em Berlim
											uma teoria completamente nova e diferente,
relacionando espaço, tempo e gravidade:
											a teoria geral da relatividade.
									",Have we reached the end of physics?,Harry Cliff,13:57,"big bang,dark matter,complexity,exploration,future,innovation,nature,physics,science,space,technology,universe,quantum physics"
"
","
","
",Have we reached the end of physics?,Harry Cliff,13:57,"big bang,dark matter,complexity,exploration,future,innovation,nature,physics,science,space,technology,universe,quantum physics"
"
											General relativity is unquestionably
Einstein's masterpiece,
											a theory which reveals the workings
of the universe at the grandest scales,
											capturing in one beautiful line of algebra
											everything from why apples fall from trees
to the beginning of time and space.
									","
											Sie ist zweifellos
Einsteins Meisterstück —
											eine Theorie, die das Verhalten
des Universums in seiner Gesamtheit
											in eine wunderbare Zeile Algebra fasst,
											alles, vom fallenden Apfel 
bis zum Beginn von Zeit und Raum.
									","
											Esta teoria é, sem dúvida,
a obra-prima de Einstein,
											em que são revelados os mecanismos
do universo a grandes escalas,
											apresentando tudo numa 
bonita equação algébrica
											desde o porquê de as maçãs
caírem das árvores,
											até ao início do tempo e do espaço.
									",Have we reached the end of physics?,Harry Cliff,13:57,"big bang,dark matter,complexity,exploration,future,innovation,nature,physics,science,space,technology,universe,quantum physics"
"
","
","
",Have we reached the end of physics?,Harry Cliff,13:57,"big bang,dark matter,complexity,exploration,future,innovation,nature,physics,science,space,technology,universe,quantum physics"
"
											1915 must have been an exciting year
to be a physicist.
											Two new ideas were turning
the subject on its head.
											One was Einstein's theory of relativity,
											the other was arguably
even more revolutionary:
											quantum mechanics,
											a mind-meltingly strange
yet stunningly successful new way
											of understanding the microworld,
the world of atoms and particles.
									","
											1915 muss ein aufregendes Jahr
für Physiker gewesen sein.
											Zwei neue Ideen hatten
die Physik auf den Kopf gestellt.
											Eine ist Einsteins Relativitätstheorie.
											Die andere, wohl noch revolutionärer:
											die Quantenmechanik —
											ein kaum fassbarer, fremdartiger,
doch erstaunlich erfolgreicher Ansatz,
											die Welt der kleinsten Dinge, die der
Atome und Elementarteilchen, zu verstehen.
									","
											O ano de 1915 deve ter sido
maravilhoso para os físicos.
											Duas novas ideias eram
o centro das atenções.
											Uma era a teoria
da relatividade de Einstein,
											a outra era, sem dúvida,
ainda mais revolucionária:
											a mecânica quântica,
											uma perceção nova, indecifrável,
mas ao mesmo tempo bem-sucedida
											para explicar o mundo microscópico
das partículas atómicas.
									",Have we reached the end of physics?,Harry Cliff,13:57,"big bang,dark matter,complexity,exploration,future,innovation,nature,physics,science,space,technology,universe,quantum physics"
"
","
","
",Have we reached the end of physics?,Harry Cliff,13:57,"big bang,dark matter,complexity,exploration,future,innovation,nature,physics,science,space,technology,universe,quantum physics"
"
											Over the last century,
these two ideas have utterly transformed
											our understanding of the universe.
											It's thanks to relativity
and quantum mechanics
											that we've learned
what the universe is made from,
											how it began
and how it continues to evolve.
											A hundred years on, we now find ourselves
at another turning point in physics,
											but what's at stake now
is rather different.
											The next few years may tell us
whether we'll be able
											to continue to increase
our understanding of nature,
											or whether maybe for the first time
in the history of science,
											we could be facing questions
that we cannot answer,
											not because we don't have
the brains or technology,
											but because the laws of physics
themselves forbid it.
									","
											Während der letzten 100 Jahre haben 
die zwei Theorien unser Verständnis
											des Universums grundlegend verändert.
											Dank der Relativität
und Quantenmechanik lernten wir,
											woraus das Universum besteht,
											wie es begann und wie 
es sich weiter entwickelt.
											100 Jahre später finden wir uns an
einem weiteren Wendepunkt in der Physik.
											Doch worum es jetzt geht, 
ist etwas völlig anderes.
											Die nächsten Jahre zeigen uns,
ob wir es schaffen,
											unser Verständnis der Natur 
weiter zu vertiefen
											oder ob wir vielleicht zum ersten Mal
in der Geschichte der Wissenschaften
											an einen Punkt kommen, an dem wir weitere 
Fragen nicht mehr beantworten können —
											nicht, weil wir das Wissen
oder die Technologie nicht haben,
											sondern weil es uns die Gesetze 
der Physik selbst nicht erlauben.
									","
											Ao longo do século passado,
estas duas ideias
											mudaram radicalmente
a nossa perceção do universo.
											Foi graças à relatividade
e à mecânica quântica
											que aprendemos 
o que compõe o universo,
											como é que começou
e como evolui desde aí.
											Cem anos depois, encontramo-nos
noutro ponto de viragem na física,
											mas o que está em jogo
agora é muito diferente.
											Os próximos anos dir-nos-ão
se teremos capacidade
											para continuar a aumentar
o nosso conhecimento da Natureza,
											ou se, talvez pela primeira vez
na história da ciência,
											estaremos perante perguntas
às quais não conseguimos responder,
											não por não termos
o intelecto ou a tecnologia,
											mas porque as próprias leis
da física o proíbem.
									",Have we reached the end of physics?,Harry Cliff,13:57,"big bang,dark matter,complexity,exploration,future,innovation,nature,physics,science,space,technology,universe,quantum physics"
"
","
","
",Have we reached the end of physics?,Harry Cliff,13:57,"big bang,dark matter,complexity,exploration,future,innovation,nature,physics,science,space,technology,universe,quantum physics"
"
											This is the essential problem:
the universe is far, far too interesting.
											Relativity and quantum mechanics
appear to suggest
											that the universe
should be a boring place.
											It should be dark, lethal and lifeless.
											But when we look around us, we see we live
in a universe full of interesting stuff,
											full of stars, planets, trees, squirrels.
											The question is, ultimately,
											why does all this interesting stuff exist?
											Why is there something
rather than nothing?
											This contradiction is the most pressing
problem in fundamental physics,
											and in the next few years, we may find out
whether we'll ever be able to solve it.
									","
											Das ist der Kern des Problems:
											Das Universum ist viel zu faszinierend.
											Die Relativität und Quantenmechanik
lassen uns annehmen,
											das Universum sei ein langweiliger Ort.
											Es sollte dunkel, leblos 
und lebensfeindlich sein.
											Aber wenn wir uns umschauen, sehen wir
ein Universum voller erstaunlicher Dinge.
											Es ist voller Sterne, Planeten,
Bäume und Eichhörnchen.
											Letztendlich stellt sich die Frage:
											Warum gibt es diese Vielfalt?
											Warum ist da ""etwas"" und nicht ""nichts""?
											Dieser Widerspruch ist das drängendste
Problem in der Grundlagenphysik,
											und in einigen Jahren werden wir sehen, 
ob wir es lösen können oder nicht.
									","
											O problema essencial é o seguinte:
o universo é mesmo muito interessante.
											A relatividade e a mecânica quântica
aparentam sugerir
											que o universo deveria
ser um sítio aborrecido.
											Deveria ser escuro, letal e sem vida.
											Mas ao olharmos em redor, vemos vida
num universo cheio de coisas interessantes,
											cheio de estrelas, planetas,
árvores, esquilos.
											A pergunta fundamental é:
											porque é que todas estas
coisas interessantes existem?
											Porque é que há algo em vez de nada?
											Esta contradição é o maior
problema da física teórica,
											e nos próximos anos, iremos descobrir
se conseguiremos resolvê-lo ou não.
									",Have we reached the end of physics?,Harry Cliff,13:57,"big bang,dark matter,complexity,exploration,future,innovation,nature,physics,science,space,technology,universe,quantum physics"
