es,fr,en,pt,title,speaker,duration,tags
"
","
","
","
","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
											Carlos, un marine veterano 
de la Guerra de Vietnam,
											fue voluntario en tres recorridos
y en los tres recibió un disparo.
											En 1971 fue dado de baja
por razones médicas
											debido a que tenía tanta
metralla en su cuerpo
											que disparaba los detectores de metal.
											En los 42 años siguientes
sufrió de pesadillas,
											ansiedad extrema en público,
aislamiento, depresión,
											se automedicó con alchohol.
											Se casó y divorció tres veces.
											Carlos tenía trastorno
por estrés postraumático
									","
											Carlos,
											ancien marine au Vietnam,
											s'est porté volontaire pour 3 tours
et s'est fait tirer dessus à chaque fois.
											En 1971, il a pris une retraite médicale
											car il avait tant
d'éclats d'obus dans son corps
											qu'il déclenchait
les détecteurs de métaux.
											Les 42 années qui suivirent,
il a souffert de cauchemars,
											d'anxiété extrême en public,
											d'isolation, de dépression.
											Il s'est auto-médicamenté à l'alcool.
											Il s'est marié et a divorcé trois fois.
											Carlos avait un trouble
de stress post-traumatique.
									","
											Carlos,
											the Vietnam vet Marine
											who volunteered for three tours
and got shot up in every one.
											In 1971, he was medically retired
											because he had so much
shrapnel in his body
											that he was setting off metal detectors.
											For the next 42 years,
he suffered from nightmares,
											extreme anxiety in public,
											isolation, depression.
											He self-medicated with alcohol.
											He was married and divorced three times.
											Carlos had post-traumatic stress disorder.
									","
											Carlos,
											o fuzileiro veterano do Vietname
											que se voluntariou para três campanhas
e foi baleado em todas elas.
											Em 1971, ele estava reformado medicamente
											porque tinha tantos estilhaços no corpo
											que disparava os detectores de metais.
											Nos 42 anos seguintes,
sofreu de pesadelos,
											ansiedade extrema em público,
											isolamento, depressão.
											Ele auto-medicou-se com álcool.
											Casou-se e divorciou-se três vezes.
											O Carlos tinha Perturbação de
Stress Pós-Traumático (PSPT).
									","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
","
","
","
","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
											Yo me hice psicólogo para ayudar 
a mitigar el sufrimiento humano,
											y en los últimos 10 años mi objetivo
ha sido el sufrimiento que causa el TEPT
											y que experimentan veteranos como Carlos.
											Hasta hace poco,
											la ciencia del TEPT
simplemente no existía.
											Entonces no sabíamos qué hacer.
											Le dábamos medicamentos fuertes 
a algunos veteranos.
											Hospitalizábamos a otros y les
hacíamos terapia de grupo genérica;
											y otros simplemente les dijimos:
											""Vete a casa y trata de olvidar 
todo sobre esas experiencias"".
											Recientemente hemos tratado con
perros terapéuticos, retiros naturales;
											muchas cosas que puede que
alivien temporalmente el estrés,
											pero que realmente no eliminan
los síntomas del TEPT a largo plazo.
									","
											Je suis devenu psychologue pour aider
à atténuer les souffrances humaines
											et, les dix dernières années, ma cible
a été les souffrances causées par le TSPT,
											comme le vivent
des vétérans tels que Carlos.
											Jusqu'à récemment,
la science du TSPT n'existait pas.
											Nous ne savions pas quoi faire.
											Certains vétérans
ont pris des médicaments lourds.
											D'autres ont été hospitalisés
et suivi une thérapie de groupe,
											on a dit à d'autres :
											« Rentrez et essayez
d'oublier vos expériences. »
											Il y a eu des essais
de chiens de thérapie,
											de retraite dans la nature —
											beaucoup de choses
qui libèrent temporairement du stress
											mais n'éliminent pas à long terme
les symptômes du TSPT.
									","
											Now, I became a psychologist
to help mitigate human suffering,
											and for the past 10 years, my target
has been the suffering caused by PTSD,
											as experienced by veterans like Carlos.
											Until recently, the science of PTSD
just wasn't there.
											And so, we didn't know what to do.
											We put some veterans on heavy drugs.
											Others we hospitalized
and gave generic group therapy,
											and others still we simply said to them,
											""Just go home and try to forget
about your experiences.""
											More recently, we've tried therapy dogs,
wilderness retreats —
											many things which may
temporarily relieve stress,
											but which don't actually eliminate
PTSD symptoms over the long term.
									","
											Eu tirei psicologia para ajudar para
ajudar a diminuir o sofrimento humano,
											e nos últimos 10 anos, o meu foco
tem sido o sofrimento causado pela PSPT,
											como experienciado por veteranos
como o Carlos.
											Até há pouco tempo, a ciência da
PSPT simplesmente não existia.
											E então, não sabíamos o que fazer.
											A alguns veteranos
demos drogas pesadas
											Outros foram hospitalizados
e fizeram terapia de grupo genérica,
											e a outros simplesmente dissemos:
											""Vão para casa e tentem esquecer
essas experiências.""
											Mais recentemente, tentámos terapias
com cães, retiros na natureza,
											muitas coisas que poderiam aliviar
o ""stress"" temporariamente,
											mas que não eliminam realmente os
sintomas da PSPT a longo prazo.
									","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
","
","
","
","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
											Pero las cosas cambiaron,
											y estoy aquí para decirles que 
ya podemos eliminar el TEPT,
											no nada más controlar los síntomas,
											y en un gran número de veteranos;
											ya que nuevos estudios
han podido demostrar
											de forma objetiva y repetidamente,
											cuáles tratamientos eliminan
realmente los síntomas, y cuáles no.
									","
											Les choses ont changé.
											Je suis ici pour vous dire
que nous pouvons éliminer le TSPT,
											pas seulement en gérer les symptômes,
											chez beaucoup de vétérans.
											Une nouvelle recherche
scientifique a pu montrer,
											objectivement et de façon répétée,
											quels traitements nous débarrassaient
vraiment des symptômes ou non.
									","
											But things have changed.
											And I am here to tell you
that we can now eliminate PTSD,
											not just manage the symptoms,
											and in huge numbers of veterans.
											Because new scientific research
has been able to show,
											objectively, repeatedly,
											which treatments actually
get rid of symptoms and which do not.
									","
											Mas as coisas mudaram.
											E estou aqui para vos dizer que
agora podemos eliminar a PSPT,
											não apenas gerir os sintomas,
											e para um grande
número de veteranos.
											Porque novas pesquisas cientificas
conseguiram mostrar,
											objectivamente, repetidamente,
											quais os tratamentos que realmente
eliminam ou não os sintomas.
									","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
","
","
","
","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
											Ahora, resulta que
											los mejores tratamientos para el TEPT usan
muchos de los principios de entrenamiento
											que el ejército usa para preparar
a sus reclutas para ir a la guerra.
									","
											Il s'avère
											que les meilleures traitements du TSPT
											utilisent les mêmes principes
d'entraînement
											que ceux utilisés par l'armée
pour préparer les soldats à la guerre.
									","
											Now as it turns out,
											the best treatments for PTSD use
many of the very same training principles
											that the military uses
in preparing its trainees for war.
									","
											Verifica-se agora que,
											os melhores tratamentos para a PSPT usam
muitos dos mesmos princípios de treino
											que os militares usam para
preparar os recrutas para a guerra.
									","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
","
","
","
","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
											Hacer guerras...
											es algo para lo que somos buenos.
											Los seres humanos hemos hecho guerras
desde antes de ser completamente humanos.
											Desde esos tiempos, pasamos de usar 
piedras y fuerza bruta, a desarrollar
											los sistemas de armas de destrucción
más sofisticados imaginables.
											Para que nuestros guerreros 
usen estas armas
											empleamos los métodos de formación
más novedosos.
											¡Somos buenos para la guerra!
											Y somos buenos entrenando
a nuestros guerreros para pelear.
									","
											Faire la guerre —
											nous savons bien la faire.
											En tant qu'humains, nous faisons la guerre
depuis avant que nous soyons humains.
											Depuis cela, nous sommes passés
de la pierre et du tendon
											au développement des systèmes d'armes
les plus sophistiqués et dévastateurs.
											Pour permettre à nos guerriers
d'utiliser ces armes,
											nous avons des méthodes
d'entraînement de pointe.
											Nous savons faire la guerre.
											Nous savons entraîner
nos guerriers à se battre.
									","
											Now, making war —
											this is something that we are good at.
											We humans have been making war
since before we were even fully human.
											And since then, we have gone
from using stone and sinew
											to developing the most sophisticated
and devastating weapon systems imaginable.
											And to enable our warriors
to use these weapons,
											we employ the most cutting-edge
training methods.
											We are good at making war.
											And we are good at training
our warriors to fight.
									","
											Bem, fazer guerra
											é algo em que somos bons.
											Nós humanos andamos em guerra desde
antes de sermos totalmente humanos.
											E desde então, viemos de usar
pedras e força
											a desenvolver os armamentos mais
sofisticados e devastadores imagináveis.
											E para que os nossos guerreiros
possam usar essas armas,
											empregamos os mais avançados
métodos de treino.
											Nós somos bons a fazer guerra.
											E somos bons a treinar guerreiros
para lutar.
									","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
