en,fr,tr,es,de,title,speaker,duration,tags
"
","
","
","
","
","""You Found Me""",Helen Gillet,5:04,"music,live music,singer,cello,entertainment"
"
											(Cello music starts)
									","
											(Musique : violoncelle)
									","
											(Çello müziği)
									","
											(Música de violonchelo)
									","
											(Cello Musik beginnt)
									","""You Found Me""",Helen Gillet,5:04,"music,live music,singer,cello,entertainment"
"
","
","
","
","
","""You Found Me""",Helen Gillet,5:04,"music,live music,singer,cello,entertainment"
"
											You found me,
									","
											Tu m'as trouvée,
									","
											♪ Beni buldun ♪
									","
											♪ Me encontraste,
									","
											Du hast mich gefunden,
									","""You Found Me""",Helen Gillet,5:04,"music,live music,singer,cello,entertainment"
"
","
","
","
","
","""You Found Me""",Helen Gillet,5:04,"music,live music,singer,cello,entertainment"
"
											you found me
									","
											tu m'as trouvée
									","
											♪ benı buldun ♪
									","
											me encontraste
									","
											du hast mich gefunden
									","""You Found Me""",Helen Gillet,5:04,"music,live music,singer,cello,entertainment"
"
","
","
","
","
","""You Found Me""",Helen Gillet,5:04,"music,live music,singer,cello,entertainment"
"
											under a pile of broken memories
									","
											sous une pile de souvenirs brisés
									","
											♪ bir yığın kırık hatıra altında ♪
									","
											bajo una pila de recuerdos rotos
									","
											unter einem Haufen 
zerbrochener Erinnerungen
									","""You Found Me""",Helen Gillet,5:04,"music,live music,singer,cello,entertainment"
"
","
","
","
","
","""You Found Me""",Helen Gillet,5:04,"music,live music,singer,cello,entertainment"
"
											with your steady,
									","
											avec ton stable,
									","
											♪ bitmeyen ♪
									","
											con tu constante,
									","
											mit deiner beständigen,
									","""You Found Me""",Helen Gillet,5:04,"music,live music,singer,cello,entertainment"
"
","
","
","
","
","""You Found Me""",Helen Gillet,5:04,"music,live music,singer,cello,entertainment"
"
											steady love.
									","
											stable amour.
									","
											♪ bitmeyen aşkınla ♪
									","
											constante amor.
									","
											beständigen Liebe.
									","""You Found Me""",Helen Gillet,5:04,"music,live music,singer,cello,entertainment"
"
","
","
","
","
","""You Found Me""",Helen Gillet,5:04,"music,live music,singer,cello,entertainment"
"
											You rocked me,
									","
											Tu m'as bercée,
									","
											♪ Beni büyüledin ♪
									","
											Me meciste,
									","
											Du hast mich gerockt,
									","""You Found Me""",Helen Gillet,5:04,"music,live music,singer,cello,entertainment"
"
","
","
","
","
","""You Found Me""",Helen Gillet,5:04,"music,live music,singer,cello,entertainment"
"
											you rocked me,
									","
											tu m'as bercée,
									","
											♪ beni büyüledin ♪
									","
											me meciste,
									","
											du hast mich gerockt,
									","""You Found Me""",Helen Gillet,5:04,"music,live music,singer,cello,entertainment"
"
","
","
","
","
","""You Found Me""",Helen Gillet,5:04,"music,live music,singer,cello,entertainment"
"
											you rocked me all through the night
									","
											tu m'as bercée toute la nuit
									","
											♪ beni tüm gece büyüledin ♪
									","
											me meciste toda la noche
									","
											du hast mich die ganze
Nacht lang gerockt
									","""You Found Me""",Helen Gillet,5:04,"music,live music,singer,cello,entertainment"
"
","
","
","
","
","""You Found Me""",Helen Gillet,5:04,"music,live music,singer,cello,entertainment"
"
											with your steady,
									","
											avec ton stable,
									","
											♪ bitmeyen ♪
									","
											con tu constante,
									","
											mit deiner beständigen,
									","""You Found Me""",Helen Gillet,5:04,"music,live music,singer,cello,entertainment"
"
","
","
","
","
","""You Found Me""",Helen Gillet,5:04,"music,live music,singer,cello,entertainment"
"
											steady love.
									","
											stable amour.
									","
											♪ bitmeyen aşkınla ♪
									","
											constante amor.
									","
											beständigen Liebe.
									","""You Found Me""",Helen Gillet,5:04,"music,live music,singer,cello,entertainment"
"
","
","
","
","
","""You Found Me""",Helen Gillet,5:04,"music,live music,singer,cello,entertainment"
"
											(Cello music continues)
									","
											(Violoncelle)
									","
											(Çello müzik devam ediyor)
									","
											(Continúa el violonchelo)
									","
											(Cello Musik geht weiter)
									","""You Found Me""",Helen Gillet,5:04,"music,live music,singer,cello,entertainment"
"
","
","
","
","
","""You Found Me""",Helen Gillet,5:04,"music,live music,singer,cello,entertainment"
"
											(Taps rhythmically)
									","
											(Tapes rythmiques)
									","
											(Ritmik vuruşlar)
									","
											(Golpetea rítmicamente)
									","
											(Klopft rhythmisch)
									","""You Found Me""",Helen Gillet,5:04,"music,live music,singer,cello,entertainment"
"
","
","
","
","
","""You Found Me""",Helen Gillet,5:04,"music,live music,singer,cello,entertainment"
