en,pt,es,fr,tr,title,speaker,duration,tags
"
","
","
","
","
",What is bipolar disorder?,Helen M. Farrell,5:52,"TED-Ed,mental health,medical research,brain,depression"
"
											What is bipolar disorder?
									","
											O que é o distúrbio bipolar?
									","
											¿Qué es el trastorno bipolar?
									","
											Qu'est-ce que le trouble bipolaire ?
									","
											Bipolar bozukluk nedir?
									",What is bipolar disorder?,Helen M. Farrell,5:52,"TED-Ed,mental health,medical research,brain,depression"
"
","
","
","
","
",What is bipolar disorder?,Helen M. Farrell,5:52,"TED-Ed,mental health,medical research,brain,depression"
"
											The word bipolar means two extremes.
											For the many millions experiencing
bipolar disorder around the world,
											life is split between 
two different realities -
											elation and depression.
											Although there are many variations
of bipolar disorder,
											let's consider a couple.
											Type 1 has extreme highs
alongside the lows,
											while Type 2 involves briefer, 
less extreme periods of elation
											interspersed with long periods
of depression.
											For someone seesawing between
emotional states,
											it can feel impossible to find the balance
necessary to lead a healthy life.
									","
											A palavra ""bipolar"" significa 
""dois extremos"".
											Para os milhões que sofrem de 
distúrbio bipolar no mundo inteiro,
											a vida está dividida em duas 
realidades diferentes
											— euforia e depressão.
											Apesar de existirem muitas variações 
de distúrbios bipolares,
											vamos analisar apenas algumas.
											O Tipo 1 tem altos e baixos
muito acentuados,
											enquanto que o Tipo 2 inclui momentos 
mais curtos e de menos euforia
											intercalados com momentos 
prolongados de depressão.
											Para alguém que muda
constantemente de humor,
											pode parecer impossível encontrar o 
equilíbrio necessário
											para uma vida saudável.
									","
											La palabra bipolar significa dos extremos.
											Para los muchos millones que sufren
trastorno bipolar en todo el mundo,
											la vida se divide entre
dos realidades diferentes:
											la euforia y la depresión.
											Aunque hay muchas variaciones
de trastorno bipolar,
											consideremos un par.
											El tipo 1 tiene extremos altos
junto a puntos bajos,
											mientras que el tipo 2 implica períodos 
más breve y menos extremos de euforia
											intercalados con largos
periodos de depresión.
											Para alguien que oscila entre
los estados emocionales,
											parece imposible encontrar el equilibrio
necesario para llevar una vida saludable.
									","
											Le mot « bipolaire »
signifie deux extrêmes.
											Pour les millions de personnes dans le
monde atteintes d'un trouble bipolaire,
											la vie est divisée entre deux réalités
différentes :
											l'exaltation et la dépression.
											Bien qu'il y ait plusieurs types de
troubles bipolaires,
											examinons-en quelques-uns.
											Le type 1 est caractérisé par des périodes
d'exaltation et de dépression extrêmes,
											alors que le type 2 entraîne des périodes
d'exaltation plus brèves et moins extrêmes
											entrecoupées de longues périodes de
dépression.
											Pour quelqu'un vacillant entre des états
émotionnels,
											il peut paraître impossible de trouver
l'équilibre nécessaire à une vie saine.
									","
											Bipolar kelimesi iki kutbu ifade eder.
											Dünyada bipolar bozukluk
yaşayan milyonlarca insan için hayat,
											sevinç ve depresyon olmak üzere,

											iki farklı gerçekliğe bölünmüştür.
											Bipolar bozukluğun
birçok çeşidi olmasına karşın,
											birkaçını değerlendirelim.
											Tip 1, aşırı yükselmelerin
yanı sıra aşırı çöküntüler yaşarken;
											Tip 2, uzun süreli
depresyon ile harmanlanan
											daha kısa süreli ve az
şiddetli neşe hâlinde olur.
											Ruh hâlleri arasında
mekik dokuyan bir kişi için,
											sağlıklı yaşam sürmek için gereken
dengeyi bulabilmek, imkânsız görünebilir.
									",What is bipolar disorder?,Helen M. Farrell,5:52,"TED-Ed,mental health,medical research,brain,depression"
"
","
","
","
","
",What is bipolar disorder?,Helen M. Farrell,5:52,"TED-Ed,mental health,medical research,brain,depression"
"
											Type 1's extreme highs are known
as manic episodes,
											and they can make a person range from
feeling irritable to invincible.
											But these euphoric episodes exceed
ordinary feelings of joy,
											causing troubling symptoms 
like racing thoughts,
											sleeplessness,
											rapid speech,
											impuslive actions,
											and risky behaviors.
											Without treatment, these episodes
become more frequent,
											intense,
											and take longer to subside.
									","
											Os momentos altos de um Tipo 1 
são conhecidos como episódios de mania
											nos quais a pessoa pode mudar facilmente
de sentir-se irritável a invencível.
											Mas estes episódios de euforia 
transcendem a alegria habitual,
											causando sintomas perturbadores
como um pensamento frenético,
											falta de sono,
											um discurso acelerado,
											comportamentos impulsivos,
											e procedimentos perigosos.
											Sem tratamento, estes episódios
tornam-se mais frequentes,
											mais intensos,
											e demoram mais 
tempo a estabilizar.
									","
											Los extremos altos de tipo 1 son
conocidos como episodios maníacos,
											y pueden hacer que una persona se
sienta desde irritable hasta invencible.
											Pero estos episodios eufóricos exceden
los sentimientos ordinarios de alegría,
											causando síntomas preocupantes
como pensamientos inconexos,
											insomnio,
											habla rápida,
											acciones impulsivas
											y comportamientos arriesgados.
											Sin tratamiento, estos episodios
se hacen más frecuentes,
											intensos
											y toman más tiempo en disminuir.
									","
											Les périodes d'exaltation du type 1 sont 
sont connues comme des épisodes maniaques
											pouvant aller de l’irritabilité à
un sentiment d'invincibilité.
											Mais ces moments euphoriques dépassent
les sentiments ordinaires de joie,
											causant des symptômes comme
les pensées qui défilent,
											l'insomnie,
											les discours rapides,
											les actions impulsives,
											et les comportements à risque.
											Sans traitement, ces épisodes deviennent
plus fréquents,
											intenses,
											et prennent plus de temps à disparaître.
									","
											Tip 1'in aşırı yükselmeleri,
manik ataklar olarak bilinir
											ve insanı asabiyet ile yenilmezlik
duyguları arasında değişime uğratır.
											Yaşanılan bu uç sevinç, genel olarak
hissedilen mutluluk duygusundan ötedir
											ve ani fikir değişimi, uykusuzluk,
											çok konuşkanlık,
											içgüdüsel davranışlar,
											tehlikeli hareketler
											gibi rahatsız edici belirtilere yol açar.
											Tedavi olunmadığı
takdirde bu ataklar sıklaşır,
											yoğunlaşır
											ve yatışması daha uzun süre alır.
									",What is bipolar disorder?,Helen M. Farrell,5:52,"TED-Ed,mental health,medical research,brain,depression"
"
","
","
","
","
",What is bipolar disorder?,Helen M. Farrell,5:52,"TED-Ed,mental health,medical research,brain,depression"
"
											The depressed phase of bipolar disorder
manifests in many ways -
											a low mood,
											dwindling interest in hobbies,
											changes in appetite,
											feeling worthless or excessively guilty,
											sleeping either too much or too little,
											restlessness or slowness,
											or persistent thoughts of suicide.
									","
											A fase depressiva do distúrbio bipolar
manifesta-se de muitas formas:
											negatividade,
											diminuição de interesse nos passatempos,
											mudanças no apetite,
											sentimento de inutilidade 
ou de extrema culpa,
											dormir demais ou de menos,
											impaciência ou morosidade,
											ou constantes pensamentos suicidas.
									","
											La fase de depresión del trastorno bipolar
se manifiesta de muchas maneras:
											estado de ánimo bajo,
											interés cada vez menor
en los pasatiempos,
											cambios en el apetito,
											sentirse inútil o excesivamente culpable,
											dormir demasiado o demasiado poco,
											inquietud o lentitud
											o pensamientos persistentes de suicidio.
									","
											La phase dépressive du trouble bipolaire
se manifeste de plusieurs façons :
											humeur maussade,
											intérêt décroissant pour les loisirs,
											changement dans l'appétit,
											sous-estime de soi ou
extrême culpabilité,
											beaucoup ou très peu de sommeil,
											agitation ou lenteur,
											ou pensées suicidaires constantes.
									","
											Bipolar bozukluğun depresyon
aşaması birçok şekilde ortaya çıkabilir -
											düşük ruh hâli,
											hobilere olan ilginin gitgide azalması,
											iştahta farklılıklar görülmesi,
											değersiz veya fazlasıyla suçlu hissetmek,
											çok fazla veya çok az uyumak,
											huzursuzluk veya durgunluk
											veya süregelen intihar düşünceleri.
									",What is bipolar disorder?,Helen M. Farrell,5:52,"TED-Ed,mental health,medical research,brain,depression"
"
","
","
","
","
",What is bipolar disorder?,Helen M. Farrell,5:52,"TED-Ed,mental health,medical research,brain,depression"
"
											Worldwide, about one 
to three percent of adults
											experience the broad range of symptoms
that indicate bipolar disorder.
											Most of those people are functional,
contributing members of society,
											and their lives, choices, 
and relationships
											aren't defined by the disorder,
											but still, for many, the consequences
are serious.
											The illness can undermine educational
and professional performance,
											relationships,
											financial security,
											and personal safety.
									","
											Mundialmente, cerca de 1 a 3% dos adultos
											experiencia uma grande variedade de 
sintomas que indicia um distúrbio bipolar.
											A maioria destas pessoas são indivíduos
funcionais que contribuem para a sociedade
											e as suas vidas, escolhas e 
relacionamentos
											não são definidas por este distúrbio,
											no entanto, para muitos, 
existem sérias consequências.
											A doença pode colocar obstáculos ao 
desempenho escolar ou profissional,
											aos relacionamentos,
											à segurança financeira
											e à segurança pessoal.
									","
											En todo el mundo, alrededor 
de 1 a 3 % de los adultos
											experimentan la amplia gama de
síntomas que indican trastorno bipolar.
											La mayoría de ellos son funcionales,
miembros contribuyentes de la sociedad,
											y sus vidas, elecciones y relaciones
											no se definen por el desorden,
											pero para muchos, las
consecuencias son serias.
											La enfermedad puede socavar
el desempeño educativo y profesional,
											las relaciones,
											la seguridad financiera
											y la integridad personal.
									","
											A travers le monde, environ 1 à 3%
des adultes
											souffrent de la palette des symptômes
liés au trouble bipolaire.
											La plupart sont des membres
fonctionnels et actifs de la société,
											et leurs vie, choix
et relations
											ne sont pas définis par le trouble
bipolaire,
											mais quand bien même, pour beaucoup,
les conséquences sont graves.
											La maladie peut saper la performance
scolaire et professionnelle,
											les relations,
											la sécurité financière,
											et la sécurité personnelle.
									","
											Dünya çapında,
yetişkinlerin neredeyse 3'te 1'i
											bipolar bozukluğa işaret eden
geniş çaplı belirtileri yaşıyorlar.
											Bu insanların çoğu, 
topluma hizmet eden etkin bireyler
											ve hayatları, seçimleri ve ilişkileri
											bu bozukluk ile belirlenmiyor,
											ama yine de, birçoğu için
ciddi sonuçlar doğuran bir durum.
											Bu hastalık,
eğitimsel ve mesleki başarıyı,
											ilişkileri,
											maddi ve bireysel güvenceyi
											heba edebilir.
									",What is bipolar disorder?,Helen M. Farrell,5:52,"TED-Ed,mental health,medical research,brain,depression"
