de,en,es,title,speaker,duration,tags
"
","
","
",Why the only future worth building includes everyone,His Holiness Pope Francis,17:52,"children,climate change,Christianity,communication,collaboration,community,compassion,faith,future,humanity,global issues,identity,inequality,love,morality,peace,refugees,religion,social change,technology,society"
"
											[Seine Heiligkeit Papst Franziskus,
direkt aus dem Vatikan
											Premiere auf der TED2017]
									","
											[His Holiness Pope Francis
Filmed in Vatican City
											First shown at TED2017]
									","
											[Su Santidad el papa Francisco,
rodado en la Ciudad del Vaticano
											en exclusiva para TED2017]
									",Why the only future worth building includes everyone,His Holiness Pope Francis,17:52,"children,climate change,Christianity,communication,collaboration,community,compassion,faith,future,humanity,global issues,identity,inequality,love,morality,peace,refugees,religion,social change,technology,society"
"
","
","
",Why the only future worth building includes everyone,His Holiness Pope Francis,17:52,"children,climate change,Christianity,communication,collaboration,community,compassion,faith,future,humanity,global issues,identity,inequality,love,morality,peace,refugees,religion,social change,technology,society"
"
											Guten Abend — oder, guten Morgen,
											ich bin nicht sicher,
wie viel Uhr es bei Ihnen ist.
											Aber unabhängig davon freue ich mich,
an dieser Konferenz teilzunehmen.
											Ich mag den Titel sehr
— ""The Future You"" —,
											denn das Betrachten der Zukunft
lädt heute zum Dialog ein,
											um die Zukunft
durch ein ""Du"" zu betrachten.
											""The Future You"":
											Die Zukunft besteht aus ""Dus"",
											aus Begegnungen,
											denn das Leben fließt durch
die Beziehungen mit anderen.
											Etliche Jahren des Lebens
											haben meine Überzeugung bestärkt,
											dass die Präsenz jedes einzelnen
											eng mit der von anderen verbunden ist:
											Das Leben zieht nicht nur vorbei,
											im Leben geht es um Begegnungen.
									","
											Good evening – or, good morning,
I am not sure what time it is there.
											Regardless of the hour, I am thrilled
to be participating in your conference.
											I very much like its title
– ""The Future You"" –
											because, while looking at tomorrow,
it invites us to open a dialogue today,
											to look at the future through a ""you.""
											""The Future You:""
											the future is made of yous,
it is made of encounters,
											because life flows
through our relations with others.
											Quite a few years of life
											have strengthened my conviction
											that each and everyone's existence
is deeply tied to that of others:
											life is not time merely passing by,
life is about interactions.
									","
											Buenas tardes...
											o buenos días, no sé que hora es allí.
											Sea la hora que sea, estoy feliz
de participar en este encuentro.
											Me ha gustado mucho el título
""The Future You"",
											porque, mientras mira al mañana,
invita ya desde hoy al diálogo:
											de cara al futuro,
invita a consultar a un ""tú"".
											""The Future You"":
											el futuro está hecho de ti,
está hecho de encuentros,
											porque la vida fluye
a través de las relaciones.
											Muchos años de vida
											me han afianzado
cada vez más la convicción
											de que la existencia de cada uno
está ligada a la del otro:
											la vida no es tiempo que pasa,
sino tiempo de encuentro.
									",Why the only future worth building includes everyone,His Holiness Pope Francis,17:52,"children,climate change,Christianity,communication,collaboration,community,compassion,faith,future,humanity,global issues,identity,inequality,love,morality,peace,refugees,religion,social change,technology,society"
"
","
","
",Why the only future worth building includes everyone,His Holiness Pope Francis,17:52,"children,climate change,Christianity,communication,collaboration,community,compassion,faith,future,humanity,global issues,identity,inequality,love,morality,peace,refugees,religion,social change,technology,society"
"
											Als ich Menschen traf oder zuhörte,
die unter einer Krankheit litten,
											Migranten, die unsagbares Elend erleben,
											auf der Suche nach einer besseren Zukunft,
											Gefangene, die unglaublichen Schmerz
in ihren Herzen tragen,
											und jene, viele von ihnen jung,
die keine Arbeit finden können,
											fragte ich mich oft selbst:
											""Warum sie und nicht ich?""
											Ich selbst wurde in eine Familie
von Migranten geboren:
											Mein Vater, meine Großeltern
hatten sich, wie viele andere Italiener,
											nach Argentinien aufgemacht
											und begegneten dem Schicksal
derer, die nichts hatten.
											Ich hätte leicht bei den heutigen
""ausrangierten"" Menschen enden können.
											Daher frage ich mich
tief in meinem Herzen immer:
											""Warum sie und nicht ich?""
									","
											As I meet, or lend an ear
to those who are sick,
											to the migrants
who face terrible hardships
											in search of a brighter future,
											to prison inmates who carry
a hell of pain inside their hearts,
											and to those, many of them young,
who cannot find a job,
											I often find myself wondering:
											""Why them and not me?""
											I, myself, was born
in a family of migrants;
											my father, my grandparents,
like many other Italians,
											left for Argentina
											and met the fate of those
who are left with nothing.
											I could have very well ended up
among today's ""discarded"" people.
											And that's why I always ask myself,
deep in my heart:
											""Why them and not me?""
									","
											Al conocer o escuchar
a enfermos que sufren,
											a migrantes que afrontan
tremendas dificultades
											en búsqueda de un futuro mejor,
											a presos que llevan el infierno
en el propio corazón,
											a personas, especialmente jóvenes,
que no tienen trabajo,
											a menudo me pregunto:
											""¿por qué ellos y no yo?""
											Yo también nací
en una familia de migrantes:
											mi papá, mis abuelos,
como muchos otros italianos,
											partieron para Argentina
											y conocieron la suerte
de quien se queda sin nada.
											Yo también podría haber estado
entre los ""descartados"" de hoy.
											Por eso, en mi corazón,
siempre permanece esta pregunta:
											""¿Por qué ellos y no yo?""
									",Why the only future worth building includes everyone,His Holiness Pope Francis,17:52,"children,climate change,Christianity,communication,collaboration,community,compassion,faith,future,humanity,global issues,identity,inequality,love,morality,peace,refugees,religion,social change,technology,society"
"
","
","
",Why the only future worth building includes everyone,His Holiness Pope Francis,17:52,"children,climate change,Christianity,communication,collaboration,community,compassion,faith,future,humanity,global issues,identity,inequality,love,morality,peace,refugees,religion,social change,technology,society"
"
											Vor allem würde ich mir wünschen,
dieses Treffen könnte uns daran erinnern,
											dass wir alle einander brauchen.
											Keiner von uns ist eine Insel,
											ein autonomes und unabhängiges ""Ich"",
getrennt vom anderen.
											Wir können nur eine Zukunft erschaffen,
											wenn ausnahmslos alle zusammenstehen.
											Wir denken selten darüber nach,
aber alles ist miteinander verbunden,
											und wir müssen unsere gesunden
Verbindungen wiederherstellen.
											Sogar das strenge Urteil,
das ich in meinem Herzen
											über meinen Bruder
oder meine Schwester fälle,
											die offene Wunde, die nie heilte,
die nicht vergebene Beleidigung,
											der Groll, der nur mich verletzen wird,
											sind alles Fälle eines Krieges,
den ich in mir trage,
											eine Fackel tief in meinem Herzen,
die ausgelöscht werden muss,
											bevor sie in Flammen aufgeht
und nur Asche hinterlässt.
									","
											First and foremost, I would love it
if this meeting could help to remind us
											that we all need each other,
											none of us is an island,
											an autonomous and independent ""I,""
separated from the other,
											and we can only build the future
by standing together, including everyone.
											We don’t think about it often,
but everything is connected,
											and we need to restore
our connections to a healthy state.
											Even the harsh judgment I hold in my heart
											against my brother or my sister,
											the open wound that was never cured,
the offense that was never forgiven,
											the rancor that is only going to hurt me,
											are all instances of a fight
that I carry within me,
											a flare deep in my heart
that needs to be extinguished
											before it goes up in flames,
leaving only ashes behind.
									","
											Me gustaría, sobre todo,
que este encuentro nos ayude a recordar
											que todos necesitamos
los unos de los otros,
											que ninguno de nosotros es una isla,
											un yo autónomo e independiente del otro,
											que solamente podemos
construir el futuro juntos,
											sin excluir a nadie.
											A menudo no pensamos en ello
pero en realidad todo está vinculado
											y necesitamos recuperar nuestros vínculos:
											también ese duro juicio
											que llevo en el corazón
contra mi hermano o mi hermana,
											esa herida no curada,
ese mal no perdonado,
											ese rencor que solo me hará daño,
											es un pedacito de guerra que llevo dentro,
											un foco en el corazón que debe extinguirse
											para que no desate un incendio
y no deje cenizas.
									",Why the only future worth building includes everyone,His Holiness Pope Francis,17:52,"children,climate change,Christianity,communication,collaboration,community,compassion,faith,future,humanity,global issues,identity,inequality,love,morality,peace,refugees,religion,social change,technology,society"
"
","
","
",Why the only future worth building includes everyone,His Holiness Pope Francis,17:52,"children,climate change,Christianity,communication,collaboration,community,compassion,faith,future,humanity,global issues,identity,inequality,love,morality,peace,refugees,religion,social change,technology,society"
"
											Heutzutage glaube viele von uns,
											dass eine glückliche Zukunft
unerreichbar ist.
											Während solche Bedenken
ernst genommen werden müssen,
											sind sie nicht unbesiegbar.
											Sie können überwunden werden,
											wenn wir uns nicht
vor der Außenwelt verschließen.
											Glück kann nur entdeckt werden,
											als ein Geschenk der Harmonie zwischen
dem Ganzen und jedem einzelnen Teil.
											Sogar die Wissenschaft — und Sie
wissen das besser als ich —
											zielt auf das Verstehen
von Wirklichkeit ab,
											als ein Ort, wo jedes Element
											mit allem anderen verbunden ist.
									","
											Many of us, nowadays,
											seem to believe that a happy future
is something impossible to achieve.
											While such concerns
must be taken very seriously,
											they are not invincible.
											They can be overcome when we don't lock
our door to the outside world.
											Happiness can only be discovered
											as a gift of harmony between the whole
and each single component.
											Even science – and you know it
better than I do –
											points to an understanding of reality
											as a place where every element connects
and interacts with everything else.
									","
											Muchos hoy, por diversos motivos,
											no parecen creer
que sea posible un futuro feliz.
											Estos temores se toman en serio.
											Pero no son invencibles.
											Se pueden superar,
											si no nos cerramos en nosotros mismos.
											Porque la felicidad solo se experimenta
											como el don de armonía
de cada uno con el todo.
											También las ciencias
- lo saben mejor que yo -
											nos indican hoy
una comprensión de la realidad,
											donde cada cosa existe en relación,
en interacción continua con las otras.
									",Why the only future worth building includes everyone,His Holiness Pope Francis,17:52,"children,climate change,Christianity,communication,collaboration,community,compassion,faith,future,humanity,global issues,identity,inequality,love,morality,peace,refugees,religion,social change,technology,society"
