en,pt,tr,title,speaker,duration,tags
"
","
","
",What does it mean to be a citizen of the world?,Hugh Evans,16:56,"activism,big problems,communication,collaboration,community,future,global issues,government,identity,humanity,inequality,policy,politics,climate change,social change,social media"
"
											I want to introduce you
to an amazing woman.
											Her name is Davinia.
											Davinia was born in Jamaica,
emigrated to the US at the age of 18,
											and now lives just outside
of Washington, DC.
											She's not a high-powered
political staffer,
											nor a lobbyist.
											She'd probably tell you
she's quite unremarkable,
											but she's having
the most remarkable impact.
											What's incredible about Davinia
											is that she's willing to spend
time every single week
											focused on people who are not her:
											people not her in her neighborhood,
her state, nor even in her country —
											people she'd likely never meet.
									","
											Quero apresentar-vos
uma mulher incrível.
											O seu nome é Davinia.
											A Davinia nasceu na Jamaica,
emigrou para os EUA aos 18 anos,
											e agora vive mesmo às portas
de Washington, DC.
											Não é uma colaboradora política
de alto nível,
											nem uma lobista.
											Ela provavelmente dir-vos-ia
que passa despercebida,
											mas está a ter um impacto notável.
											O que é incrível acerca dela
											é que todas as semanas 
está disposta a passar tempo
											focada em pessoas que não são ela,
											pessoas que não ela na sua vizinhança,
no seu estado, nem mesmo no seu país,
											pessoas que provavelmente
nunca conhecerá.
									","
											Size ilginç bir kadını
anlatmak istiyorum.
											Onun adı Davinia.
											Davinia Jamaica'da doğdu.
18 yaşında Amerika'ya göç etti.
											Şimdi Washington DC'nin dışında yaşıyor.
											O, ne güçlü bir siyasetçi
											ne de bir lobici.
											Size muhtemelen dikkat çekici
biri olmadığını söyleyecektir.
											Fakat o en dikkat çekici etkiyi
taşıyor.
											Daviana hakkında
											şaşırtıcı olan şey ise
her hafta zamanını
											hiç tanımadığı insanlara ayırmasıdır.
											Bu insanlar onun ne çevresinde, bölgesinde
hatta ülkesinde bile değiller —
											belki de hiç tanışmayacaklar.
Daviana'nın etkisi
									",What does it mean to be a citizen of the world?,Hugh Evans,16:56,"activism,big problems,communication,collaboration,community,future,global issues,government,identity,humanity,inequality,policy,politics,climate change,social change,social media"
"
","
","
",What does it mean to be a citizen of the world?,Hugh Evans,16:56,"activism,big problems,communication,collaboration,community,future,global issues,government,identity,humanity,inequality,policy,politics,climate change,social change,social media"
"
											Davinia's impact started a few years ago
											when she reached out
to all of her friends on Facebook,
											and asked them to donate their pennies
											so she could fund girls' education.
											She wasn't expecting a huge response,
											but 700,000 pennies later,
											she's now sent over 120 girls to school.
											When we spoke last week,
											she told me she's become
a little infamous at the local bank
											every time she rocks up
with a shopping cart full of pennies.
									","
											O impacto de Davinia
começou há uns anos
											quando contactou
todos os seus amigos no Facebook,
											e lhes pediu que doassem os seus cêntimos
											para ela poder financiar
a educação de raparigas.
											Ela não estava à espera
de uma grande resposta,
											mas 700 mil cêntimos mais tarde,
											conseguiu mandar para a escola
mais de 120 meninas.
											Falámos a semana passada
											e ela disse-me que ficou
com má fama no banco local
											sempre que chegava com um carrinho
de compras cheio de cêntimos.
									","
											birkaç yıl önce bütün arkadaşlarına
											Facebook üzerinden ulaşıp
onlardan 'peni'lerini(0,01 dolar)
											bağışlamalarını istemesiyle başladı.
											Böylece kızların
eğitimine destek olacaktı.
											O büyük bir katılım beklemiyordu.

											ama 700.000 peni ile

											120 tane kızın okula gitmesini sağladı.

											Geçen hafta görüşmemizde

											her seferinde penilerle dolu
alışveriş kartıyla
											çıkageldiğinden bankada biraz
popülaritesinin düştüğünü söyledi.
									",What does it mean to be a citizen of the world?,Hugh Evans,16:56,"activism,big problems,communication,collaboration,community,future,global issues,government,identity,humanity,inequality,policy,politics,climate change,social change,social media"
"
","
","
",What does it mean to be a citizen of the world?,Hugh Evans,16:56,"activism,big problems,communication,collaboration,community,future,global issues,government,identity,humanity,inequality,policy,politics,climate change,social change,social media"
"
											Now — Davinia is not alone.
											Far from it.
											She's part of a growing movement.
											And there's a name
for people like Davinia:
											global citizens.
											A global citizen is someone
who self-identifies first and foremost
											not as a member of a state,
a tribe or a nation,
											but as a member of the human race,
											and someone who is prepared
to act on that belief,
											to tackle our world's greatest challenges.
											Our work is focused on finding,
											supporting and activating global citizens.
											They exist in every country
											and among every demographic.
									","
											Mas Davinia não está sozinha.
											Pelo contrário.
											Ela é parte integrante
de um movimento crescente.
											E há um nome para pessoas como ela,
											""cidadãos do mundo"".
											Um cidadão do mundo é alguém
que se identifica em primeiro lugar,
											não como um membro de um estado,
de uma tribo ou nação,
											mas como membro da raça humana
											e alguém que está preparado 
para agir segundo essa crença,
											para lidar com os maiores desafios
do nosso mundo.
											O nosso trabalho foca-se em encontrar,
											apoiar e estimular
cidadãos do mundo.
											Existem em todos os países
e entre todas as populações.
									","
											Yani — Davinia yalnız değil.
											Hem de hiç.

											O, büyüyen bir hareketin parçası.
Ve Davinia gibi
											insanlar için bir isim var:
global citizen.
											(dünya vatandaşı).
											Dünya vatandaşı, kendisini öncelikle
bir devlete, kabileye ya da vatana mensup
											biri olarak değilde,
											insan ırkına ait bir kişi olarak
											ve dünyamızın büyük 
zorluklarını yenmek için
											mücadele eden kişiler olarak görür.

											Bizim bu çalışmamız bulmaya,
desteklemeye ve
											dünya vatandaşlarını aktif
hale getirmeye odaklıdır.
											Her ülkede ve
											her nüfus topluluğunda varlar.
									",What does it mean to be a citizen of the world?,Hugh Evans,16:56,"activism,big problems,communication,collaboration,community,future,global issues,government,identity,humanity,inequality,policy,politics,climate change,social change,social media"
"
","
","
",What does it mean to be a citizen of the world?,Hugh Evans,16:56,"activism,big problems,communication,collaboration,community,future,global issues,government,identity,humanity,inequality,policy,politics,climate change,social change,social media"
"
											I want to make the case to you today
											that the world's future depends
on global citizens.
											I'm convinced that if we had
more global citizens active in our world,
											then every single one
of the major challenges we face —
											from poverty, climate change,
gender inequality —
											these issues become solvable.
											They are ultimately global issues,
											and they can ultimately only be solved
											by global citizens demanding
global solutions from their leaders.
									","
											Quero defender aqui hoje
											que o futuro do planeta 
depende dos cidadãos do mundo.
											Estou convencido de que, se tivéssemos
mais cidadãos do mundo ativos,
											cada um dos grandes desafios 
que enfrentamos,
											desde a pobreza, alteração climática,
desigualdade de sexo,
											estes desafios teriam solução.
											Eles são, em última análise 
problemas globais,
											e podem apenas ser resolvidos
											por cidadãos do mundo que exijam
soluções globais dos seus líderes.
									","
											Bugün bir hususu belirteceğim size.
											Dünyanın geleceği 
dünya vatandaşlarına bağlıdır.
											Eminim ki, dünyada daha çok
aktif dünya vatandaşı olsaydı,
											karşılaştığımız her büyük zorlukta;
yoksulluk,
											iklim değişikliği, cinsiyet ayrımı...

											bu mevzular çözümlenebilirdi.

											Bunlar neticede küresel mevzular
ve bunlar er ya da geç
											sadece dünya vatandaşlarının
											liderlerinden küresel çözümler
talep etmesiyle çözümlenebilir
									",What does it mean to be a citizen of the world?,Hugh Evans,16:56,"activism,big problems,communication,collaboration,community,future,global issues,government,identity,humanity,inequality,policy,politics,climate change,social change,social media"
"
","
","
",What does it mean to be a citizen of the world?,Hugh Evans,16:56,"activism,big problems,communication,collaboration,community,future,global issues,government,identity,humanity,inequality,policy,politics,climate change,social change,social media"
"
											Now, some people's immediate
reaction to this idea
											is that it's either a bit utopian
or even threatening.
											So I'd like to share with you
a little of my story today,
											how I ended up here,
											how it connects with Davinia
											and, hopefully, with you.
									","
											A reação imediata
de algumas pessoas a esta ideia
											é que ela ou é um pouco utópica
ou mesmo ameaçadora.
											Gostaria de partilhar convosco
um pouco da minha história,
											como cheguei até aqui,
											como se relaciona com a Davinia
											e convosco, espero eu.
									","
											Şu an bazı insanların bu fikre
ilk tepkisiyse bunu
											biraz ütopik hatta endişe
verici bulmalarıdır.
											Bugün bu konuma nasıl geldiğimle 
ilgili hikayemin yani
											olayların Davinia ve 
ne mutlu ki
											sizle nasıl bağlandığının bir kısmını
											paylaşmak istiyorum.
									",What does it mean to be a citizen of the world?,Hugh Evans,16:56,"activism,big problems,communication,collaboration,community,future,global issues,government,identity,humanity,inequality,policy,politics,climate change,social change,social media"
