fr,en,pt,tr,es,title,speaker,duration,tags
"
","
","
","
","
",How the US should use its superpower status,Ian Bremmer,15:37,"business,china,Asia,democracy,Africa,Europe,Foreign Policy,global issues,global development,government,iraq,law,Iran,Middle East,money,military,motivation,New York,security,politics,society,South America,war,TEDx,Syria"
"
											Quand on vient à TEDx,
on réfléchit à la technologie,
											à un monde qui change,
où l'innovation est partout.
											On pense aux voitures sans conducteur.
											On ne parle que de ces voitures
en ce moment.
											J'adore le concept de voiture
sans conducteur,
											mais quand j'en essaie une,
											je veux qu'elle aille lentement.
											Je veux pouvoir utiliser le volant
et les freins, juste au cas où.
											Un bus sans conducteur ? Non merci.
											Je ne veux pas d'un avion sans pilote.
									","
											When you come to TEDx,
you always think about technology,
											the world changing,
becoming more innovative.
											You think about the driverless.
											Everyone's talking
about driverless cars these days,
											and I love the concept
of a driverless car,
											but when I go in one, you know,
											I want it really slow,
											I want access to the steering wheel
and the brake, just in case.
											I don't know about you,
but I am not ready for a driverless bus.
											I am not ready for a driverless airplane.
									","
											Quando vocês vêm à TEDx,
pensam sempre em tecnologia,
											em mudanças no mundo,
em tornarem-se mais inovadores.
											Pensam nos veículos automáticos.
											Toda a gente fala
sobre carros automáticos hoje em dia
											e eu adoro o conceito
de um carro automático,
											mas quando entrar num, sabem,
											quero que ande muito devagar,
											quero ter acesso ao volante
e ao travão, por via das dúvidas.
											Vocês não sei, mas eu não estou
preparado para um autocarro automático.
											Não estou preparado
para um avião automático.
									","
											TEDx'e geldiğinizde düşündüğünüz
her zaman teknoloji,
											değişen dünya ve daha yenilikçi olmaktır.
											Sürücüsüz hakkında düşünürsünüz.
											Bugünlerde herkes sürücüsüz
arabalar hakkında konuşuyor
											ve ben de sürücüsüz araba
kavramını seviyorum,
											ancak ne zaman birine binsem
											gerçekten yavaş gitmesini istiyorum,
											her ihtimale karşı da direksiyon
ve frenlerin bende olmasını istiyorum.
											Sizi bilmem ama ben henüz
sürücüsüz otobüs için hazır değilim.
											Sürücüsüz uçak için de hazır değilim.
									","
											Cuando uno viene a un TEDx,
siempre piensa en tecnología,
											en el mundo que cambia,
cada vez más innovador.
											Sin conductores.
											Todos hablan de autos 
sin conductor en estos días,
											y me encanta la idea 
de un auto sin conductor,
											pero si entro en uno, ya saben,
											lo quiero lento,
											quiero acceso al volante
y al freno, por si acaso.
											No sé Uds., pero yo no estoy listo 
para un autobús sin conductor.
											No estoy listo para un avión sin piloto.
									",How the US should use its superpower status,Ian Bremmer,15:37,"business,china,Asia,democracy,Africa,Europe,Foreign Policy,global issues,global development,government,iraq,law,Iran,Middle East,money,military,motivation,New York,security,politics,society,South America,war,TEDx,Syria"
"
","
","
","
","
",How the US should use its superpower status,Ian Bremmer,15:37,"business,china,Asia,democracy,Africa,Europe,Foreign Policy,global issues,global development,government,iraq,law,Iran,Middle East,money,military,motivation,New York,security,politics,society,South America,war,TEDx,Syria"
"
											Et un monde sans pilote ?
											Je vous demande ça
											parce que c'est de plus en plus vrai.
									","
											How about a driverless world?
											And I ask you that
											because we are increasingly in one.
									","
											E um mundo automático?
											E pergunto-vos isso
											porque estamos cada vez mais
num mundo desses.
									","
											Peki ya sürücüsüz bir dünya?
											Bunu size soruyorum,
											çünkü giderek sürücüsüz
bir dünyaya dönüşüyoruz.
									","
											¿Qué tal un mundo sin conductor?
											Y se los pregunto
											porque es cada vez más el caso.
									",How the US should use its superpower status,Ian Bremmer,15:37,"business,china,Asia,democracy,Africa,Europe,Foreign Policy,global issues,global development,government,iraq,law,Iran,Middle East,money,military,motivation,New York,security,politics,society,South America,war,TEDx,Syria"
"
","
","
","
","
",How the US should use its superpower status,Ian Bremmer,15:37,"business,china,Asia,democracy,Africa,Europe,Foreign Policy,global issues,global development,government,iraq,law,Iran,Middle East,money,military,motivation,New York,security,politics,society,South America,war,TEDx,Syria"
"
											Ce n'est pas censé être le cas.
											Nous sommes numéro 1.
											Les États-Unis sont au volant !
											Depuis des générations,
américanisation et mondialisation
											sont une seule et même chose.
											Pas vrai ? Que ce soit
l'Organisation Mondiale du Commerce,
											le FMI, la Banque mondiale,
											les accords monétaires de Bretton Woods,
											ce sont des institutions américaines.
											Nos valeurs, nos amis, nos alliés,
notre argent, nos principes :
											voilà comment fonctionnait le monde.
									","
											It's not supposed to be that way.
											We're number one,
											the United States is large and in charge.
											Americanization and globalization
for the last several generations
											have basically been the same thing.
											Right? Whether it's
the World Trade Organization
											or it's the IMF, the World Bank,
											the Bretton Woods Accord on currency,
											these were American institutions,
											our values, our friends, our allies,
our money, our standards.
											That was the way the world worked.
									","
											Não é suposto ser assim.
											Somos o número um,
											os EUA são grandes e lideram.
											Americanização e globalização,
durante as últimas gerações,
											têm sido praticamente a mesma coisa.
											Certo? Quer seja
a Organização Mundial do Comércio
											ou o FMI, o Banco Mundial,
											os Acordos de Bretton Woods sobre a moeda,
											estas são instituições norte-americanas,
											os nossos valores, amigos, aliados,
o nosso dinheiro, as nossas normas.
											Esta era a maneira 
como o mundo funcionava.
									","
											Bu şekilde olmaması gerekiyor.
											Biz bir numarayız,
											Birleşik Devletler büyük ve iş başında.
											Son birkaç nesil için
Amerikanlaşma ve küreselleşme
											esasen aynı şey oldu.
											Değil mi? İster 
Dünya Ticaret Örgütü olsun,
											ister IMF, Dünya Bankası
											ya da dövizde Bretton
Woods Anlaşması,
											bunlar hep Amerikan kurumlarıydı,
											bizim değerlerimiz, arkadaşlarımız,
müttefiklerimiz, para ve standardımız.
											Dünyanın çalışma şekli böyleydi.
									","
											Se suponía que no sería así.
											Somos el número uno,
											EE.UU. es extenso y tiene el control.
											Imponer a EE.UU. y la globalización
para las últimas generaciones
											ha sido básicamente lo mismo.
											¿Cierto? Ya sea en la Organización 
Mundial del Comercio
											o en el FMI, el Banco Mundial,
											el Acuerdo de Bretton Woods sobre divisas,
											eran instituciones estadounidenses,
											nuestros valores, amigos, aliados,
nuestro dinero, nuestros estándares.
											Así funcionaba el mundo.
									",How the US should use its superpower status,Ian Bremmer,15:37,"business,china,Asia,democracy,Africa,Europe,Foreign Policy,global issues,global development,government,iraq,law,Iran,Middle East,money,military,motivation,New York,security,politics,society,South America,war,TEDx,Syria"
"
","
","
","
","
",How the US should use its superpower status,Ian Bremmer,15:37,"business,china,Asia,democracy,Africa,Europe,Foreign Policy,global issues,global development,government,iraq,law,Iran,Middle East,money,military,motivation,New York,security,politics,society,South America,war,TEDx,Syria"
"
											C'est intéressant, si vous voulez savoir
à quoi ressemblent les États-Unis,
											ils ressemblent à ça.
											C'est la vision que nous avons
du fonctionnement du monde.
											On déroule le tapis rouge
au Président Obama
											à sa descente d'Air Force One,
											et tout va bien, on est très contents.
											Vous avez vu le voyage d’État en Chine
la semaine dernière
											et le G20 ?
											Oh là là ! Pas vrai ?
											Voici notre arrivée
											pour la rencontre la plus importante
entre dirigeants mondiaux en Chine.
											Le conseiller en matière de sécurité
nationale jurait comme un charretier
											sur le tarmac.
											Pas de tapis rouge.
											Il est sorti par l'arrière de l'avion
											avec les journalistes et tous les autres.
									","
											So it's sort of interesting,
if you want to look at how the US looks,
											here it is.
											This is our view of how the world is run.
											President Obama has got the red carpet,
											he goes down Air Force One,
											and it feels pretty good,
it feels pretty comfortable.
											Well, I don't know how many of you
saw the China trip last week
											and the G20.
											Oh my God. Right?
											This is how we landed
											for the most important meeting
of the world's leaders in China.
											The National Security Advisor
was actually spewing expletives
											on the tarmac —
											no red carpet,
											kind of left out the bottom of the plane
											along with all the media
and everybody else.
									","
											Portanto é interessante,
se quiserem ver a imagem dos EUA.
											É assim.
											Esta é a nossa perspetiva 
de como o mundo é gerido.
											O Presidente Obama 
tem a passadeira vermelha,
											desce do Air Force One
											e é um sentimento agradável,
é um sentimento de conforto.
											Não sei quantos de vocês assistiram
à viagem à China na semana passada
											e ao G20.
											Meu Deus. Não é?
											Foi assim que aterrámos
											para o encontro mais importante
de líderes mundiais na China.
											A Conselheira para a Segurança Nacional
até estava a dizer palavrões na pista.
											Não havia passadeira vermelha,
											deixaram de fora a parte de trás do avião
											juntamente com os ""media""
e o resto das pessoas.
									","
											Bu yüzden ilginçtir ki, Amerika'nın nasıl
göründüğüne bakmak isterseniz,
											işte böyle.
											Bizim dünyanın işleyişine
bakışımız böyle.
											Başkan Obama kırmızı halıda,
											Air Force One'dan aşağı iniyor
											ve çok iyi, çok rahat görünüyor.
											Kaçınızın geçen haftaki Çin
ziyaretini ya da
											G20 zirvesini gördüğünü bilmiyorum.
											Aman Tanrım! Değil mi?
											İşte böyle indik,
											dünya liderlerinin Çin'deki
en önemli toplantısında hem de.
											Ulusal Güvenlik Danışmanı
uçak pistinde neredeyse
											heyecandan çatlayacaktı —
											kırmızı halı yok,
											uçağın alt tarafından
											bütün basın ve herkesle birlikte indik.
									","
											Es algo interesante, si quieren
ver el aspecto de EE.UU.,
											aquí está.
											Esta es nuestra visión de cómo 
funciona el mundo.
											Se tiende la alfombra roja 
al presidente Obama,
											él desciende del Air Force One,
											y todo va bien, todos contentos.
											Bueno, no sé cuántos vieron
el viaje a China la semana pasada
											y al G20.
											¡Dios mío! ¿Cierto?
											Así desembarcamos
											para la reunión más importante
de líderes mundiales en China.
											La consejera de seguridad nacional
vomitaba expletivos
											en la pista...
											sin carpeta roja,
											rezagada al final del avión
											con la prensa y los demás.
									",How the US should use its superpower status,Ian Bremmer,15:37,"business,china,Asia,democracy,Africa,Europe,Foreign Policy,global issues,global development,government,iraq,law,Iran,Middle East,money,military,motivation,New York,security,politics,society,South America,war,TEDx,Syria"
"
","
","
","
","
",How the US should use its superpower status,Ian Bremmer,15:37,"business,china,Asia,democracy,Africa,Europe,Foreign Policy,global issues,global development,government,iraq,law,Iran,Middle East,money,military,motivation,New York,security,politics,society,South America,war,TEDx,Syria"
"
											Et plus tard, pendant le G20,
											voilà Obama.
									","
											Later on in the G20,
											well, there's Obama.
									","
											Mais tarde no G20.
											bem, ali está Obama.
									","
											Daha sonra G20 zirvesinde,
											işte Obama burada.
									","
											Luego en el G20,
											bueno, está Obama.
									",How the US should use its superpower status,Ian Bremmer,15:37,"business,china,Asia,democracy,Africa,Europe,Foreign Policy,global issues,global development,government,iraq,law,Iran,Middle East,money,military,motivation,New York,security,politics,society,South America,war,TEDx,Syria"
